	Treacher-Collins syndrome 1	syndromic X-linked intellectual disability 14	leukoencephalopathy with vanishing white matter	"mental retardation, autosomal recessive 2"	sudden infant death-dysgenesis of the testes syndrome	combined oxidative phosphorylation defect type 15
nucleolus	1.0	1.0	0.0	1.0	1.0	0.0
protein heterodimerization activity	1.0	0.0	0.0	0.0	0.0	0.0
scaffold protein binding	1.0	0.0	0.0	0.0	0.0	0.0
neural crest cell development	1.0	0.0	0.0	0.0	0.0	0.0
neural crest formation	1.0	0.0	0.0	0.0	0.0	0.0
fibrillar center	1.0	0.0	0.0	0.0	0.0	0.0
transcription of nuclear large rRNA transcript from RNA polymerase I promoter	1.0	0.0	0.0	0.0	0.0	0.0
RNA polymerase I core binding	1.0	0.0	0.0	0.0	0.0	0.0
