	"ACH.000045"	"ACH.000070"	"ACH.000113"	"ACH.000178"	"ACH.000198"	"ACH.000317"	"ACH.000324"	"ACH.000339"	"ACH.000362"	"ACH.000406"	"ACH.000416"	"ACH.000549"	"ACH.000648"	"ACH.000693"	"ACH.000770"	"ACH.001735"
"119504"	0.133619112503339	-0.0664583648397424	-0.0322745872590508	-0.090541445757567	0.0528165836563847	0.273891127852917	-0.00898669335586285	0.0266759916216608	-0.11179743032692	0.0158839677036762	0.0251049012529911	-0.0820757064517776	-0.247488330362941	0.00481252024400693	0.0368064960933288	0.135781426384403
"8915"	-0.168194342186935	-0.126870376022421	-0.037460531834573	0.0852176489075461	-0.0294087190196705	-0.0698280353772475	-0.0494757889456748	-0.136186508202565	0.0879080498306383	0.0901984629719521	-0.055181199889401	0.184220911587235	-0.373042048910819	-0.0110297143761588	-0.107146950398429	0.107406870400068
"144608"	0.115633005147497	0.0455587090669957	0.00786709494979693	0.0969335488705464	0.052342149960051	0.037396286120817	0.118765834038529	0.0208727721223962	0.0668991286201824	0.087198591989319	0.119619509243088	-0.153892384653382	0.201363980662727	0.0963818668516104	0.120193774957263	0.0379627558073503
"8318"	-1.46731093910905	-1.48730416015085	-1.47557561864408	-1.37321025139588	-1.40409822959172	-1.48575945618462	-1.53834042219269	-1.3627095524406	-1.44239774220222	-1.60365000962214	-1.47355931325081	-1.29692012557975	-1.31303924469814	-1.36361657773163	-1.48289479110704	-1.52838929554251
"1072"	-0.602610919767123	-0.743663747414261	-0.595165022688008	-0.435592682041943	-0.762223085833846	-0.525837558465184	-0.337699032910029	-0.546276226504155	-0.668640144149159	-1.11491012238848	-0.283914918366522	-0.475508485765343	-0.726906475986067	-0.880440865898487	-0.795355192672406	-0.849086059405134
"387837"	0.0145476288871602	0.00894209868423008	-0.0236714793770336	0.0208916030979117	-0.0110237641097256	0.0574574629299473	0.0215440574467915	0.0842693630965386	0.0148330199344405	0.00859652282807203	0.101015824734473	-0.0730037700251588	0.135609119435899	0.0305283855255156	-0.0537899433047714	-2.61444206939616E-4
"8192"	-0.213093694537814	-0.126431520531567	-0.140551420030851	-0.0955914479664695	0.0391968373298633	-0.113076978306858	-0.13147593629802	-0.279382195630945	-0.0189475585578727	-0.0465326665399547	-0.222954385981834	-0.237205895625303	-0.413151169265886	-0.230757523380318	-0.0573256639999037	-0.0149017087494887
"57094"	-0.0669735418486427	-0.0132975228582386	-0.0043282553730626	-0.00793412252657671	1.44391472586159E-4	0.0444478677919341	0.0617655756888866	-0.0229088393675334	-0.00138099479858488	0.0290241411320832	0.0108320453965685	-0.0717584722546672	-0.138448328375096	0.00979342474008649	0.0804102943840812	0.0145151736047363
"7802"	-0.151730235449191	0.0776362981636003	0.123159780668912	-0.0506882611350826	-0.00290782460006437	-0.0959358707316268	-0.0421639741005011	0.0267465674962174	0.0191001338757727	0.0379431818810062	0.0415966552210747	0.140780831346365	-0.250368641959514	0.0103438839429178	0.0580103456432331	0.0258774038090571
"1854"	-1.17393630375862	-1.18208142203259	-1.01370296031118	-1.18924858734711	-1.17944864555393	-1.29960849357657	-1.30973047631202	-1.09844669732725	-1.35324454750444	-1.34537026788605	-1.11503697822502	-0.927569281267615	-1.09602173635948	-1.11421751896538	-1.10584881976515	-1.34699929969991
