	"ACH.000013"	"ACH.000021"	"ACH.000022"	"ACH.000030"	"ACH.000047"	"ACH.000118"	"ACH.000123"	"ACH.000128"	"ACH.000143"	"ACH.000148"	"ACH.000169"	"ACH.000302"	"ACH.000307"	"ACH.000308"	"ACH.000312"	"ACH.000329"	"ACH.000331"	"ACH.000339"	"ACH.000376"	"ACH.000381"	"ACH.000415"	"ACH.000416"	"ACH.000467"	"ACH.000469"	"ACH.000476"	"ACH.000480"	"ACH.000488"	"ACH.000507"	"ACH.000522"	"ACH.000556"	"ACH.000579"	"ACH.000601"	"ACH.000618"	"ACH.000620"	"ACH.000621"	"ACH.000657"	"ACH.000671"	"ACH.000683"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000721"	"ACH.000747"	"ACH.000758"	"ACH.000771"	"ACH.000777"	"ACH.000802"	"ACH.000809"	"ACH.000823"	"ACH.000832"	"ACH.000848"	"ACH.000849"	"ACH.000851"	"ACH.000856"	"ACH.000862"	"ACH.000866"	"ACH.000869"	"ACH.000885"	"ACH.000906"	"ACH.000910"	"ACH.000911"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000932"	"ACH.000936"	"ACH.000938"	"ACH.000941"	"ACH.000946"	"ACH.000947"	"ACH.000948"	"ACH.000957"	"ACH.000974"	"ACH.000984"	"ACH.000986"	"ACH.001028"	"ACH.001038"	"ACH.001119"	"ACH.001151"	"ACH.001163"	"ACH.001239"	"ACH.001275"	"ACH.001368"	"ACH.001377"	"ACH.001523"	"ACH.001554"
"51676"	0.218859994366002	0.273427246543218	0.122111563725529	0.111858528627085	0.0474925221858913	0.242437532755835	0.153135160742404	0.252121619612645	0.385364370694409	0.178959309468142	0.286851037714246	0.236250651775692	0.308602975358672	0.231402027728167	0.17338605154226	0.207255200106685	0.33757188247705	0.220035046533894	0.316778658375714	0.18063945397392	0.213265528048525	0.226633752667677	0.180305483323872	0.144118972287316	0.181375770375554	0.237009265098671	0.187897349399943	0.2151291654749	0.259085340208508	0.207647477856487	0.36238008350082	0.256381477196161	0.231627608863493	0.14134074500333	0.181844293129254	0.134211256885808	0.0652882007045858	0.236239702425268	0.203169930267434	0.223899390152259	0.111267242232867	0.199693438103736	0.194404894221769	0.234276795093831	0.246416581423027	0.26738272630054	0.284037504195156	0.153610235233574	0.204668672955839	0.296078365906817	0.1329494869507	0.156461651224796	0.267292124398279	0.128692256086483	0.276777976641726	0.205164586127393	0.199272526008182	0.140309448078517	0.232021338597124	0.144822724500038	0.171780485232859	0.180255699745974	0.116644909965255	0.166928947341148	0.207489287379221	0.0779190906982219	0.322248699232739	0.242274246264728	0.135747528499188	0.30070881323522	0.197971416853663	0.22801585083007	0.199964593742183	0.230212765125714	0.095544979195689	0.183668265823742	0.303035008557365	0.187479120302475	0.197281426967002	0.218570764351844	0.165262569356781	0.14949215436214	0.129377476463898	0.204184681297902	0.0528451340075977	0.270391944010782
"25943"	-0.0918572624832167	0.0159296649747724	-0.0887408449448464	0.0230064766220798	-0.0689051427068425	-0.134286179952802	0.014887938567285	-0.135705592725891	0.18449794590906	-0.0618173822011065	-0.101167639513965	-0.00780856464556175	-0.0611942539468439	-0.0144851540567406	-0.159805142576949	-0.0536139310981728	-0.0251913672359372	0.0338876680499789	-0.0965421872619807	-0.0371396786887594	-0.00993746885119683	-0.018005050681798	-0.0293260756480223	-0.0957895100911821	-0.0874047382227716	0.0703145127527959	-0.117720192367597	0.0947094587269067	-0.0419017649212766	-0.03300124545872	0.135536528246287	-0.0914490762888311	0.0207424236830431	-0.0498279947614574	-0.0506088640559656	-0.0839623658396797	0.0140007210802026	0.0346466852643551	-0.0890664060043459	-0.099510480107283	-0.0021835325631145	-0.0639148832922109	0.004308633526904	0.0677347387705263	0.00244034800860952	0.0258163064176581	0.104999132013284	-0.0347986070680737	-0.155440125478342	0.0566034726949182	0.0392321560585169	-0.0161575126033427	0.112296822973068	0.0565863278850076	0.0271289282125264	0.0236202707576088	0.00221290733599263	-0.121224503410276	-0.038733647788768	-0.029262500755516	-0.124746169863604	0.0131728058658106	0.0109805800646842	-0.0433751142556359	0.071178648739236	-0.0807523131553699	-0.0127487295305855	0.0280111830100177	-0.019476349584943	-0.0492105680652747	0.134938997869718	0.0308013917353995	-0.127608123686662	-0.113014888982494	-0.105240970032567	-0.119108439618591	-0.0383634660808167	0.0166956954050169	-0.0765166838792911	-0.0908207159654067	0.0678092260704284	0.0847535536032817	-0.120505072999424	0.109923576842876	-0.0619939749678328	-0.108729691235988
"51244"	-0.791324282057598	-0.818323409043782	-0.64671990019098	-0.597114175147441	-0.913186812127039	-0.779799413365012	-0.62604215233408	-0.790144601223717	-0.880972461151292	-0.561250910270747	-0.711816547177388	-0.595799366442531	-0.829747206634161	-0.902653856662704	-0.807952829268903	-0.731197277108063	-0.813341467622349	-0.605459291934213	-0.63263017525291	-0.800886557386153	-0.749857584289802	-0.692645266084492	-0.846874626405428	-0.607815253838572	-0.745494356158048	-0.71005656919781	-0.61161034225306	-0.772939004858842	-0.582341313554766	-0.724468537019218	-0.971366018252548	-0.820976877315453	-0.733442736391687	-0.80566490983341	-0.486830672025134	-0.653455146895431	-0.447182872231397	-0.74269686648859	-0.80210929227998	-0.852499306866262	-0.714702037664385	-0.690733626014428	-0.62698744163953	-0.778534867458482	-0.777690441792587	-0.784110371581436	-0.900841604296594	-0.528107121772034	-0.626224256436066	-0.686687615133943	-0.801549296760928	-0.591190126376805	-0.661558176052008	-0.698601511895808	-0.701872895270091	-0.715526721015945	-1.07835300099719	-0.746237450338312	-0.626226906641403	-0.705507791645281	-0.719410772775114	-0.752265308425994	-0.435037594907664	-0.654988720961139	-0.561174503705511	-0.460043203492722	-0.626908681189325	-0.474348590722946	-0.798407771464143	-0.804797831922945	-0.744592903596331	-0.683807725580801	-0.456972806861379	-0.696642153604946	-0.568087083111605	-0.576994211271103	-0.714672443640098	-0.768135807604776	-0.740716431716075	-0.628572550957954	-0.55489125802878	-0.717259314733526	-0.779267938485561	-0.75044007559536	-0.655123242394264	-0.717629406515205
"80212"	-0.202297596128854	-0.188541586638216	-0.103966304073997	-0.0309879997228559	-0.198147079248714	-0.209744750703377	0.0438768894355521	-0.128215109871666	-0.236818435102649	-0.0471033056943959	-0.0460919629551919	-0.084447361695729	-0.191231201260147	-0.143253969436814	-0.00974173526524313	-0.0927123291578161	0.0671032684728658	-0.128338624695706	-0.120841671439471	-0.166084353050831	-7.38472803409651E-5	-0.126609207580741	-0.0620666178178303	-0.083006574802921	-0.16226953470742	-0.101454557676067	-0.0357710278456506	-0.0783657959484548	-0.00676108054822239	-0.0895217382056389	-0.02677044729286	-0.0684128646635677	-0.123531981523202	-0.0355899573530602	-0.103910764605154	0.0486262526124734	-0.0164947605599303	-0.112014555105704	-0.112829188790682	-0.181791445839155	-0.047012749740668	-0.0398734968405391	-0.0601387870758923	-0.22521266453939	-0.0075957773598827	-0.0280757012107879	-0.169722646021389	-0.178606370496821	-0.130843914276533	-0.0489550852812044	-0.301518081672349	-0.0371542625601499	-0.050587676468964	-0.0911883853706062	-0.192056400653053	0.0396442755851671	-0.0632270974555127	-0.0372672858989162	-0.0704692547991631	-0.262124918459326	-0.122645731813709	0.0110364744185767	-0.0984060308688512	-0.209855511903572	-0.182575270266331	-0.104433929158474	-0.0877773629302469	0.0700154579043127	-0.0184223155005454	-0.0101526151091557	-0.032968371655262	-0.06969237341957	-0.134963238934975	-0.0293328381408693	0.0451924656109925	-0.149645805353038	-0.168557657951097	-0.130143456297899	-0.150254777361551	-0.0700244080331355	-0.107134302607788	-0.265234684139567	-0.134429345230446	-0.126426953151818	-0.243294062141788	-0.00414739131446582
"8453"	-0.407182388750289	-0.839731338871544	-0.178746427496787	-0.890882522614318	-0.696505305876896	-0.946140375096257	-0.775259615915601	-0.780111719226343	-0.700523975798601	-0.703768974649542	-0.847160033142158	-0.201957770017344	-0.864335658954779	-0.813511225813957	-0.949184737014673	-0.904447952016149	-1.01289453864153	-0.84082251476436	-0.848700227389493	-0.305692611537546	-0.985323226511019	-1.00983256751888	-0.662716062688091	-0.716532047461242	-0.897618973163341	-0.874974756618674	-0.794049162635044	-0.395169286269297	-0.65573836244712	-1.04264072558471	-0.921455330837175	-0.772761142005269	-0.652639261349954	-0.74355395262221	-0.838751358330058	-0.724188857650842	-0.602995079204728	-0.950489460406147	-0.938017427510133	-0.770388383866316	-0.513773073993884	-0.876460840511264	-0.728119358040765	-0.615306549740879	-0.8491597766001	-1.01642413012605	-0.844671461530454	-0.88167827533245	-0.587391637992268	-1.03719115789869	-0.860199165524272	-0.102252339177433	-0.743501208392574	-1.00481870789443	-0.417738189022817	-0.670752471434965	-0.987134722462899	-0.652676850262837	-0.878855201199645	-0.636295669438328	-0.960667131258595	-0.310949123455509	-0.636548994735648	-0.564270930918407	-0.651154888412408	-0.766693212451575	-0.900700193399381	-0.434189254345662	-0.697543121908379	-0.573949283995937	-0.596796127938549	-0.724354071634277	-0.71459187111569	-0.593252726628861	-0.944427575178143	-0.775713022025776	-0.572476351565654	-0.926763893069825	-0.93738862785443	-0.631635156015237	-0.945410588225658	-0.594931258374553	-0.782730769408316	-0.739650935414231	-0.916296768973471	-0.694395810098894
"57706"	-0.110339273804967	-0.101442142865225	0.045031222458342	0.112691454586551	0.0816222751783297	-0.0345029687577423	-0.0970626533053685	-0.0488072225998774	0.11308563028561	-0.0615971581866422	-0.0439873837413299	-0.0350809416686106	0.0357094936818979	0.0316104546928005	-0.0140329167826139	-0.0775714837922237	0.0364786770288426	-0.0120505862400988	-0.00662420920207133	0.0361391280179436	0.00284160518921479	-0.0137054523071782	-0.0626186087816041	-0.00927661687594384	-0.0507828014776	-0.027343750774348	0.0657384779221533	0.0142529616437547	-0.0614586701794151	0.0130947332848806	-0.00386593098427364	0.00221448372198655	0.0491989978355927	-0.0349788531204044	-0.0595383217224155	0.107037083280518	0.0252539411353512	-0.152392510598323	0.0898971922245343	0.0127764163013017	0.0157129072181663	-0.145328100743319	0.0124607039595928	-0.0473604391533189	0.0828533849477291	0.0094669038603211	0.072738586906294	0.0781777305863803	0.0412578918479092	0.0329563136986583	0.156637315122064	-0.0339810848408983	-0.0738241152518787	-0.251922619599835	-0.0505533650376796	0.0497771634222891	0.128906766313787	-0.0517301109405758	0.0320635169724165	-0.0688766312421754	0.0784115835016471	-0.00628062006759859	0.0172345628262496	-0.0646941829715022	0.0187374854928283	-0.0572586247130078	-0.0417074957116779	-0.0218550311381318	0.0612996303116913	-0.0342818888906839	-0.154512038144527	0.0306327362163822	-0.00539365648456835	-0.121274172003423	0.113849113726509	-0.00438981682747181	-0.0305024733018488	0.0200660838951813	-0.040044041086188	-0.162777296109075	-0.14200644189282	-0.048461181951796	0.0605792061098626	0.0267787663588736	0.0960594181571187	0.0694382811137071
"283417"	-0.38898129734102	-0.663539440552286	-0.46273717978129	-0.441127223164526	-0.665294321361507	-0.549767540291994	-0.489046772123231	-0.420212409643485	-0.867700558516566	-0.579888622556958	-0.728746392645298	-0.398761845606687	-0.507686961017832	-0.505640076935783	-0.568749983565089	-0.561056651741053	-0.423382459212057	-0.556389858332532	-0.528767236454901	-0.519679042887864	-0.558020756513251	-0.563479994407369	-0.544402006753119	-0.526357654180077	-0.643579487414847	-0.72431796377123	-0.559293274665721	-0.461081698133034	-0.520286805410174	-0.379737696114011	-0.503684074146205	-0.463077784355201	-0.594432468895919	-0.533474360166883	-0.455409710716536	-0.41167717492914	-0.41926954189491	-0.383635244304308	-0.547633148410661	-0.689749947704697	-0.478405050184329	-0.465288971813306	-0.559632706055519	-0.59119604335852	-0.523638891520592	-0.725918603337136	-0.508812827258108	-0.482269175768396	-0.617998441182913	-0.539085359178547	-0.810205557957063	-0.587825279139786	-0.367387146361045	-0.566002471389531	-0.568839820514606	-0.54595122476085	-0.357209285955807	-0.455295958698892	-0.533349104883186	-0.461832100291612	-0.624631289304599	-0.695048255219779	-0.41732614782672	-0.569823268302735	-0.517283896133487	-0.687490951744962	-0.575975900565511	-0.491296974163453	-0.589079829478777	-0.653327838875471	-0.423187242166587	-0.687618189611347	-0.504904610021187	-0.59957072400505	-0.529642881372429	-0.688769926366554	-0.39850877167069	-0.503948496840525	-0.496615819903048	-0.378679057186105	-0.574327842263909	-0.796015790693829	-0.575459557473779	-0.51348649061808	-0.579281542314108	-0.542539826881093
"199221"	0.0978561556717244	0.0367613049628752	-0.047634211085516	-0.0027742421033136	8.183155552666E-4	0.0499838305055267	0.0234769131911744	-0.220853181428029	0.183392360550135	0.125612180772256	0.0904595687365586	0.017055981266339	0.0590470953127213	0.0597929031609076	0.0573824015761551	0.074573660249656	-0.0147582105487607	0.0258764557759932	0.124112487267158	-0.0790552207800026	-0.0325124884541336	0.0742042830114381	0.0231992921728812	0.0644801869275323	0.085003398072322	0.0917155015446007	-0.0211626273994778	0.156303732870753	-0.0077971377020874	0.101770956262833	0.0949575417996359	0.15223783519697	0.135746257814971	0.0601389156422898	0.0478004716412803	0.0189494808131037	0.0132505025732243	0.0106823555161846	-0.012601520693725	0.0765830974171069	-0.00370702269208549	0.0367120382896057	-0.0976272743400641	0.0139410730606117	0.050414883750461	0.177559106694132	0.0584899297829539	-0.0165138576708512	0.0489590093404979	0.0251509121810843	0.0129268347151152	-0.0562757939563281	-0.0688811560360287	0.123164202849255	0.106795048380009	0.0210251804912731	-0.00330517804727118	0.119488762726158	0.0621843214687226	0.0371657459857698	0.0152316343189344	0.112708180861967	-0.0825147147589802	0.0275577842796511	0.0957624343906828	0.0403771778672324	0.126261468971608	-0.0334548388689261	-0.0179280512277546	0.035826394148384	-0.0226722159904749	-0.126790571091862	-0.0303874862680027	0.0724766226851936	0.107513783060145	0.0134100584135191	0.124903047944532	0.0965513203843193	0.0598934648937703	0.12596513263125	0.0381929451654389	0.155923369394713	0.0406783393682164	0.152166453321641	0.0981533366656223	0.0774155555439663
"8637"	0.0311629581570189	0.00715088430368714	0.142348512962811	0.0558240208740061	0.0314102508528038	0.0401810539133188	0.0148321526501152	-0.160716009837854	0.150328203571804	-0.0860023374354429	-0.0375087377205627	0.0158068032983843	-0.0132067783023444	0.0276221828976758	0.120089592914499	-0.0378772366545995	-0.034881762798677	-0.0135218187697894	-0.161441992243882	-0.118664477544861	0.144018858744734	-0.0517245978657363	0.026037366855255	0.0607955034223891	-0.0698770833761578	0.1686896430412	0.0349607463786214	0.017375323198647	-0.055835118966212	0.0711508577279045	0.124619093452179	3.51530498581669E-4	0.0848264227858537	-0.0585302219113969	0.0757515425139224	0.0248588456534442	-0.0894831988531182	-0.0422567077511894	0.0203352529936091	0.142100477792008	5.30785082767959E-4	0.0425832220159842	-0.0197254653843344	-0.0685248069802832	-0.068851003426309	0.0824142436288858	-0.103115140723571	-0.0477495977025615	0.105139506416671	-0.0688374424445162	0.0471221607598815	0.00820940133938842	-0.0859816585908445	0.0766310898167645	0.00295344238160955	0.070470830538931	-0.00785959173150754	-0.0577938939717158	0.0263983489551347	0.0330240880780634	-0.0774044626272138	0.00514679548741068	-0.0205440166164349	-0.00984896943120378	0.00505424225152397	0.0414509629578635	0.0186152365534753	0.047115316505219	-0.00684930132473658	-0.0931752509600444	-0.0830999981078823	0.125184104789152	-0.0586891862842114	-0.179761360262526	0.116439423963187	-0.134900868129581	-0.0440561464215905	0.0614132196536007	0.0270002690841872	-0.0683022010314629	-0.049059077368508	0.0115732114984143	-0.0256571421374856	0.0452963035725687	0.0162459310547918	-0.076296012863299
"1983"	-1.09237180935988	-1.14697052946443	-0.814397460618325	-1.0290337630546	-1.25666394476679	-1.15324000092003	-1.102574368053	-1.07242356434874	-1.30035530099813	-1.12985300380244	-1.19555841377306	-1.00333541143692	-0.999731693815635	-1.06378073067272	-1.04044796399828	-1.02876390847139	-1.1019891763058	-0.794639668413965	-1.09915166614888	-1.08286014647311	-1.15476737291156	-1.04387734808794	-1.17337110308955	-1.02110719176939	-1.22207930115448	-1.15506332453168	-1.11575765710202	-1.13630901095069	-1.11643026965295	-1.10713722258433	-1.21584873130193	-1.09929748636912	-1.14958969691348	-1.0961182218698	-1.10887559706772	-1.26692239437796	-0.947553961391759	-0.862950694994077	-0.959670888522146	-0.971697403594258	-1.19447613436845	-0.99043541767988	-1.02967002280801	-1.14953273029996	-1.12964175200241	-1.25247960413229	-1.10617491140522	-1.07588525248385	-1.02952815813022	-1.14873463171261	-1.14322887769841	-1.01324316996569	-1.05102655552251	-1.18690776845546	-1.14416712019259	-1.18842580815131	-0.970505545138518	-1.15170584342712	-1.09382112475225	-0.96772791505082	-1.13419392144271	-1.17242657232548	-0.805847982979039	-1.1112115546848	-0.980425067683172	-1.03796576470226	-0.904872775662476	-1.13703984374338	-1.10382431019419	-1.02017066924566	-1.05976184860664	-1.00047849491482	-0.921905599569917	-1.02239324259143	-1.11019202916243	-1.01671396394086	-1.14206902022202	-1.12143750618836	-1.26405255741117	-1.04326452475226	-1.00816364314412	-0.980948691613758	-1.20302083380617	-0.933848949282748	-1.28917842181967	-1.16878242262826
