	"ACH.000019"	"ACH.000488"	"ACH.000511"	"ACH.000620"	"ACH.000633"	"ACH.000647"	"ACH.000653"	"ACH.001031"	"ACH.001075"	"ACH.001228"	"ACH.001289"
"79370"	-0.101096900129983	-0.0539736885201621	-0.139485426106116	0.00895876528788719	-0.145808287064097	-0.0286267341777055	-0.056755177667271	-0.10889991060168	-0.124235171222561	-0.257439066213385	-0.0476172008165949
"332"	-1.00841347002402	-1.15077513976026	-1.09401636699249	-1.00847821405121	-0.87823764193598	-1.13361233872224	-1.22691927417334	-1.16018371043401	-1.14399439150188	-1.10591032257624	-0.887012915286178
"686"	0.0688672850957056	0.00680144033227169	-0.0258245398233705	0.0182870798445484	-0.0777878345840925	-0.00961530188905837	0.0564612340305068	-0.0188012808690249	0.0780664665800039	-0.0110476371040593	-0.0947760717348884
"283551"	0.0174150051634046	0.0194006669574711	-0.00831929891222941	0.0125243333449335	0.00209243953457257	8.94568927152014E-4	-0.0207342406756416	-0.0385317126781278	0.0216338885863956	-0.00791230190703933	-0.0179933181187315
"10576"	-1.05400369189442	-0.905828909363004	-0.96698463894814	-0.965253255914967	-1.0221714466092	-1.05228948684166	-0.928540839573857	-0.945785229149963	-0.829320044770878	-1.02907067037925	-0.924861015489397
"10575"	-1.31342586347238	-1.35986902265415	-1.19505911377692	-1.32043039872955	-1.37686172677651	-1.26742240538936	-1.39154012035134	-1.32758086104696	-1.41774735869556	-1.49227911572325	-1.29816248965407
"939"	0.0118072750006688	-0.229190912388175	-0.330927240346709	-0.106192324641725	-0.248953011167424	-0.204122814150844	-0.149781401421246	-0.31649910999691	-0.334761648786914	-0.24853451139182	-0.229124800142797
"8872"	-1.67610546011792	-1.51121503528776	-1.37671462848088	-1.40987499163396	-1.30564282005475	-1.6019868617042	-1.60661196089446	-1.57467117613352	-1.45376883399105	-1.54367891558929	-1.74798549743701
"1363"	-0.0246912102204631	-0.1948205829407	-0.274747207484341	-0.130223626959031	-0.191468873482818	-0.255217193967856	-0.237903684055505	-0.227048196120883	-0.16948699447457	-0.0377089658520278	0.0399541029888033
"1915"	-0.352094981756276	-0.816023937009327	-0.649916264415572	-0.657067702410324	-0.77358517249433	-0.805358685622342	-0.881507840962426	-0.618882255197494	-0.778640193472463	-0.581835045390789	-0.594296155730025
"55810"	-0.115917132359093	-0.0546188892226019	-0.0959432151015424	-0.131978669629166	-0.110648127407297	-0.130927912954119	0.00527224820636056	-0.120207681698324	-0.104422488734733	-0.114722143426047	-0.182110361329328
"10399"	-1.49827286235914	-1.49379008427747	-1.53841982235503	-1.54690836854156	-1.62928265258715	-1.55870233531598	-1.48634385569756	-1.84656258957886	-1.57366985455307	-1.71577430767142	-1.5514534375144
