	"ACH.000009"	"ACH.000012"	"ACH.000070"	"ACH.000206"	"ACH.000238"	"ACH.000255"	"ACH.000317"	"ACH.000329"	"ACH.000335"	"ACH.000361"	"ACH.000389"	"ACH.000393"	"ACH.000397"	"ACH.000495"	"ACH.000512"	"ACH.000606"	"ACH.000665"	"ACH.000736"	"ACH.000764"	"ACH.000777"	"ACH.000787"	"ACH.000791"	"ACH.000794"	"ACH.000928"	"ACH.000946"	"ACH.000974"
"114781"	-0.398024442758341	-0.408039205557702	-0.480017549479182	-0.497738806399488	-0.410592956983821	-0.542976365963805	-0.436901679673611	-0.40981655729813	-0.470550166099866	-0.428839101567304	-0.317897465792985	-0.455921969080495	-0.418627690745226	-0.302922520466232	-0.450506389098573	-0.497008765987088	-0.358745407679678	-0.274098250694225	-0.631836906402704	-0.413952378751573	-0.386559612648694	-0.375482392787636	-0.301827989708084	-0.5704116877621	-0.476007205281353	-0.303867789665905
"138199"	-0.025387571906607	0.236016575085089	0.0193267346516093	0.194734421859074	0.109892834722073	0.070576230324018	0.0730773860275326	0.0863038836476908	-0.106017537496471	0.116684061033745	0.0191163510948272	0.104110454800898	0.0504037964769333	-0.0731608348213674	-0.00605003006533042	0.169439191799632	0.101027730849747	0.0360414253557659	0.148465151554843	0.0323262444507566	0.0476924368722222	0.0894988775604282	0.175361773567652	0.165774582720339	0.117978778959487	0.0575239276300411
"11068"	-0.240069964787382	-0.281538043122267	-0.121079598470806	-0.23250802311316	-0.255521547099401	-0.291865698267666	-0.380189940963711	-0.212397026662847	-0.21819926313886	-0.293056056841133	-0.18121026829206	-0.193037031411863	-0.290940944411375	-0.298261377013004	-0.385495152173775	-0.122925459320722	-0.203985700548259	-0.128843697953966	-0.317825640695836	-0.0585873227631983	-0.210872328247071	-0.227137591146252	-0.259168374923819	-0.318498538004874	-0.35114999101577	-0.132190876516525
"3039"	0.310164031842895	0.202194041714999	0.24662176211562	0.364753091267229	0.300600230943796	0.26190115264695	0.365886694864787	0.216566727710133	0.181266550162157	0.382426241754175	0.198604869922599	0.290353365755343	0.219296154730655	0.110603177528511	0.395637429539877	0.224534654948649	0.171990089438026	0.222255961781708	0.368049574779184	0.29982684017221	0.226695723863357	0.304961298537046	0.282870521189161	-0.239242813414657	0.235403608350396	0.169895281769235
"154865"	0.17346994940975	0.166633356566315	0.235984968649937	0.213766808252147	0.147961287043915	0.224232266702216	0.25877968508998	0.269920695337801	0.0585223975620991	0.223428279156174	0.113023857629584	0.136512779751774	0.238127957704976	0.16860217382787	0.238561746827407	0.149321804070722	0.1482988696117	0.202254980820935	0.300016046845326	0.105901789802532	0.173212192775437	0.190636241623579	0.151039629885973	0.176057491035856	0.180700709830122	0.141950965597809
"57819"	-1.35144257007925	-1.3070272271796	-1.30837877794982	-1.17627907430015	-1.44990739940465	-1.55067538527106	-1.59419552623276	-1.28196196643826	-1.51965240697251	-1.19907208764247	-1.15689668860247	-1.58693085445252	-1.62171249397332	-1.43199367825181	-1.18555757481015	-1.20170533367291	-1.41878407574571	-1.26985704838188	-1.35076982349852	-1.42073953532382	-1.46972975548741	-1.39741915577329	-1.45847496666773	-1.43355477159354	-1.5775317318959	-1.34403587369819
"27258"	-0.844710394008523	-0.87654087158467	-0.94296930818856	-1.19900995851493	-1.02914954003179	-0.920020944792156	-0.886402551725182	-1.05140011724661	-0.895688689523551	-0.98861296160878	-0.843477157146139	-1.11950281379502	-1.09165076074606	-0.74998545216583	-0.910700863917444	-1.14627822575642	-0.9538932163489	-0.907883981411287	-0.933719729385367	-1.07347832358304	-0.898225516220189	-0.978312883247051	-0.998716856686577	-0.8830299770365	-0.912598109194133	-0.876230615844253
"51690"	-1.06014559915002	-0.930428543986109	-1.08301478751997	-1.12358328052318	-1.17532584022469	-1.02598692012053	-0.767339101672441	-1.11874660592361	-1.1123382966567	-1.04891267746909	-0.994319666390816	-1.16952043749465	-0.917633340873617	-0.773227902414273	-1.02683991015354	-1.09218477022738	-1.06932461919932	-1.02933294258806	-1.12977505400247	-0.981895932865527	-0.876255078480753	-1.12375502103875	-1.03090277861428	-0.754953048180624	-1.03682578690931	-1.01787935132514
"4201"	-0.174141738346609	-0.125127360130477	-0.0641629781627855	-0.227011857529678	-0.255454894740792	-0.216845639417648	-0.25351931646462	-0.0834132455289274	-0.111920410953952	-0.146153972633559	0.0410734804960848	-0.196007670792485	-0.233227590454802	-0.167461638518347	-0.0881745678470595	-0.236315966511119	-0.133964875571592	-0.060006167128266	-0.369637779230345	-0.121938984988716	-0.0421225395496122	-0.158590143531414	-0.192261533750343	-0.0570872189549339	-0.119018228570842	-0.185551014526991
"100462977"	-0.548163121327691	-0.22420263812913	-0.265311280885708	-0.277353049059204	-0.634235859756245	-0.377018221676097	-0.227947639367175	-0.358058920768315	0.0112744949209012	-0.438739902064239	-0.349689791136374	-0.595348599532922	-0.37135989599149	-0.259133441672236	-0.230682661388017	-0.312798425502867	-0.520967742043976	-0.268931072968745	-0.409581779764885	-0.332487096376655	-0.347860481917341	-0.479078714967895	-0.276233040739294	-0.307197321281103	-0.423725890763418	-0.38892964640935
"79849"	-0.131392986143377	-0.144078960774903	-0.0699366074535268	-0.207675726890975	-0.160317707885387	-0.0702084519103591	-0.175109885657505	-0.0236302302121769	-0.0473782038043522	0.123187840420368	-0.143354553189922	-0.231974808125601	-0.144984624333984	-0.281851145049169	0.037440526418152	-0.120855096801757	-0.068602750428678	-0.0107308419799959	-0.26926100472495	-0.0584384324665114	-0.046767179293018	-0.125494659810274	-0.112699508274705	-0.115520226290108	-0.150001483191796	-0.118200282588989
"58515"	-0.250404057137157	-0.218642995604563	-0.300651418962394	-0.235628199350319	-0.305260952260904	-0.284371739066603	-0.297137322384598	-0.276918069280081	-0.149785927786878	-0.420531610089028	-0.198271072334682	-0.259882238013327	-0.18608622802996	-0.338495630025664	-0.39742799479517	-0.174655092385151	-0.228831561936588	-0.235800378267884	-0.463948670166847	-0.214274833257626	-0.175001643375048	-0.224976071507921	-0.29021241620747	-0.223368961511298	-0.315621718990649	-0.128465112195999
"6533"	-0.1632284955919	-0.29203750704685	-0.221835234026757	-0.332167401489333	-0.220913007297598	-0.327805372161883	-0.23093653692791	-0.269614872413369	-0.432047416594217	-0.256551324817339	-0.138874425340165	-0.302765002016237	-0.268968910370092	-0.182033229368344	-0.120643226096254	-0.222058987170397	-0.289822165389287	-0.269273541670029	-0.0191791639643729	-0.164713459549292	-0.273309024746798	-0.30880322693256	-0.291360834069278	-0.349667454221571	-0.30572808361803	-0.237699743586406
"23020"	-1.70441315734878	-1.55799557358697	-1.55736913009798	-1.48619363979281	-1.55314246097887	-1.36540732945447	-1.71018550472892	-1.46950228833737	-1.50346657459263	-1.53624834481732	-1.50943093067843	-1.58698137391411	-1.68097880371527	-1.74152486633434	-1.31050796603493	-1.53403799884854	-1.47402165018522	-1.54203709817382	-1.45528795864434	-1.62840432465621	-1.58923857610002	-1.50898752540263	-1.50602305320185	-1.53579001424802	-1.6220977455398	-1.46942111868729
"54558"	0.0597993682792338	0.0905606611612477	-0.0146878368451167	0.0906674578457405	0.0786499353359201	0.098785934357651	0.0431601802903212	0.0864736235914183	0.0690633447533536	-0.114854597144613	0.0702017657576176	0.169606115448973	0.118915652113429	-0.0684155624735431	0.0887564949071287	0.135696894781604	0.179926470966874	0.100250717694872	0.0903991985778018	0.0170873484698132	0.0678103473085769	0.148581648838089	0.0851056812700028	0.0919665380778485	0.168393617935268	0.0538543280975303
"729873"	2.27208714701055	2.28403404008293	2.10580081321654	2.11146128465198	2.27022815536604	1.94168391562208	2.00891435826907	1.93920126837785	2.35542981006776	2.21349371571651	2.19116355061237	2.22590648709707	2.09102882913247	2.14889930343161	2.03135319943834	1.93593090462859	1.85702086630198	2.19694453916666	2.41857361017427	2.28382338312263	2.12006132485201	1.87724275277279	2.1721162867237	2.0965951225878	1.84883405048596	1.78358358317678
"414060"	-1.70364456751264	-1.58394334625936	-1.54112996769104	-1.61983835518624	-1.84411081798397	-1.41108761708154	-1.75549473446123	-1.45246959361687	-1.69850626556907	-1.70440823497504	-1.55347989939488	-1.70637889315333	-1.76139184770755	-1.61900056552296	-1.60111105333561	-1.47774821680939	-1.36294180815801	-1.77861402501108	-1.64717668760039	-1.68671504900146	-1.76397405348291	-1.65384871942312	-1.4873702317013	-1.8315510142136	-1.55372959729743	-1.51212245841264
