	"ACH.000012"	"ACH.000025"	"ACH.000035"	"ACH.000086"	"ACH.000095"	"ACH.000097"	"ACH.000116"	"ACH.000127"	"ACH.000133"	"ACH.000152"	"ACH.000169"	"ACH.000178"	"ACH.000198"	"ACH.000211"	"ACH.000215"	"ACH.000231"	"ACH.000232"	"ACH.000246"	"ACH.000256"	"ACH.000261"	"ACH.000265"	"ACH.000266"	"ACH.000288"	"ACH.000319"	"ACH.000324"	"ACH.000332"	"ACH.000348"	"ACH.000352"	"ACH.000366"	"ACH.000376"	"ACH.000408"	"ACH.000425"	"ACH.000444"	"ACH.000469"	"ACH.000472"	"ACH.000475"	"ACH.000486"	"ACH.000505"	"ACH.000510"	"ACH.000511"	"ACH.000520"	"ACH.000522"	"ACH.000527"	"ACH.000528"	"ACH.000542"	"ACH.000570"	"ACH.000584"	"ACH.000601"	"ACH.000620"	"ACH.000623"	"ACH.000627"	"ACH.000632"	"ACH.000649"	"ACH.000665"	"ACH.000676"	"ACH.000683"	"ACH.000706"	"ACH.000713"	"ACH.000734"	"ACH.000760"	"ACH.000768"	"ACH.000769"	"ACH.000784"	"ACH.000788"	"ACH.000865"	"ACH.000882"	"ACH.000884"	"ACH.000885"	"ACH.000887"	"ACH.000896"	"ACH.000901"	"ACH.000905"	"ACH.000906"	"ACH.000912"	"ACH.000932"	"ACH.000973"	"ACH.000986"	"ACH.001050"	"ACH.001119"	"ACH.001232"	"ACH.001239"	"ACH.001301"	"ACH.001306"	"ACH.001336"	"ACH.001346"	"ACH.001380"	"ACH.001532"
"92270"	-0.0580382768052723	0.164172305637542	0.0294659738300766	-0.0788274426530429	-0.00500130540161311	-0.0246497653348223	-0.0738218778698297	0.00508209770229909	0.0309118467782645	0.0228156196093279	-0.00619875961385547	0.0181321270872721	0.00451803602915003	-0.0182933085421036	-0.0457447045225254	-0.150203008258399	-0.113810759431022	0.0104931126319821	-0.0326762796163138	-0.0812954788323568	0.0100428533441853	-0.0902900064354238	-0.0592562700532865	-0.171422849133757	0.105451918665071	-0.00594407834832063	0.00901172462032596	0.0827662691279554	-0.036724856776111	-0.022121472018658	-0.0478096351517178	-0.0127655855732753	-0.0555315191216005	-0.0210991446089048	-0.00537302212576222	0.0344841462565485	0.0364112441875388	-0.0918247049825956	-0.0970307574137834	0.00595562039849073	-0.0364423611610983	-0.0432151074008633	-0.0154075939637525	-0.110196166010665	-0.00586923436025857	-0.071574779384039	-0.0139131716728849	0.00203404208389631	0.0132756882906449	-0.0218283084805292	0.0143584222529374	0.0798632093028117	-0.0251575777519276	-0.0919630093281746	0.0907613562968876	-0.0211901100891942	0.0511553940074452	-0.0393736415408529	0.059533916156862	-0.0493836217096675	-0.107482902084357	0.0704468680781428	0.0225519495049507	-0.0500845471510901	-0.0325991748999756	0.107825236882172	-0.0253772002396949	-0.0476078813892175	-0.0151234878284205	0.0200809141887972	0.0494034573046178	-0.0408409367953717	-0.0638205128199776	-0.115639186751818	0.0137078302104292	-0.0586406645800686	0.0164171595165419	0.0675047831535928	0.194025624736027	0.119467059277871	0.0703328282604837	0.117005486610017	0.020134049523862	0.0387398804807824	0.00200902232308617	0.0335180033587873	0.0687758049515395
"121053"	-0.622883643528819	-0.779136337229219	-0.776564462653772	-0.564317185854147	-0.543860635949446	-0.815702207315333	-0.534892442756047	-0.516038686691863	-0.516386342347401	-0.406198604713015	-0.47785242558139	-0.533659848780579	-0.662267678897782	-0.447553303182151	-0.462195372756771	-0.601319329653015	-0.61957227797927	-0.604591540907848	-0.450300804409755	-0.538905596710283	-0.441159506959624	-0.558021126713704	-0.498964536531331	-0.506608300773256	-0.482574514508136	-0.58510312533649	-0.480818208560892	-0.507751017281538	-0.595381912962103	-0.630358007057623	-0.593420417669682	-0.454533642559881	-0.411134036147741	-0.436798406637818	-0.482127751679453	-0.493077837163471	-0.502669328600442	-0.570512979585439	-0.353581484265096	-0.578304653633739	-0.558309366738211	-0.305859076742591	-0.489259615441172	-0.535516795933344	-0.493781467415551	-0.839986245925708	-0.358574028645637	-0.528535085660637	-0.374331063449573	-0.583660486501244	-0.252907206413374	-0.676669832741927	-0.568806687808583	-0.630325421352377	-0.414441597852638	-0.430528594199371	-0.713733516270062	-0.541621325401345	-0.455017085956948	-0.647544164898988	-0.516998981031337	-0.580128852075759	-0.478535975737945	-0.602403543277523	-0.607317855216959	-0.551096936993041	-0.64688789895424	-0.559463540160591	-0.542570108523192	-0.531895897689901	-0.577632581433216	-0.634042887451124	-0.564635856619011	-0.395019093980126	-0.53228674345995	-0.556886960541086	-0.314660168982863	-0.609083627926366	-0.640682594522707	-0.579410714264622	-0.607663823477954	-0.754294527474307	-0.483979999894383	-0.82605421896084	-0.473005484384686	-0.562521809168625	-0.547184509914474
"131076"	-0.349463633393993	-0.377434152117649	-0.0293908088438926	-0.0788099829298243	-0.156481719940996	-0.257133025475722	-0.106831579938224	-0.232283773660806	-0.293673514624023	-0.152082276190609	-0.542970416751683	-0.202436965727356	-0.0715482632726365	-0.242289477553796	-0.29437303138444	-0.352732775649444	-0.468447420699302	-0.141724812245187	-0.120725804037103	-0.257263123744896	-0.15418459729389	-0.275435523390687	-0.216188616298255	-0.211449656998673	-0.284128049905639	-0.295279449636921	-0.10963483655135	-0.188557004247757	-0.239082756886617	-0.374182852283772	-0.171290030935634	-0.210317202034975	-0.199946908033978	-0.156918612578287	-0.310436528938634	-0.268937512215582	-0.177603713562966	-0.219815449376304	-0.124670808280993	-0.184296143496485	-0.0765632551987244	-0.278877029925115	-0.13169185641666	-0.20894093568599	-0.311370183756711	-0.303205900004267	-0.298657024463193	-0.178040504546811	-0.136649191984939	-0.242808952859688	-0.223426173195884	-0.212101937176811	-0.232651265665677	-0.234365479797984	-0.173920478206829	-0.257723099320087	-0.122968285912287	-0.378813249692501	-0.276402679466923	-0.114605552007943	-0.290260645032801	-0.347557935302282	-0.337714578092896	-0.209942484953201	-0.305560000502499	-0.220025397946551	-0.210694148443028	-0.189133304074782	-0.272060142654342	-0.262719459802299	-0.304252719131251	-0.419020081374668	-0.254701562948944	-0.125671492191548	-0.141726799474011	-0.295791106492175	-0.309282429261527	-0.155895889269205	-0.200585984846163	-0.387567823939287	-0.260563639574556	-0.148632787993004	-0.155714945280968	-0.262904773259112	-0.215596805786354	-0.272027383948063	-0.221490936450338
"285203"	-0.021754322767229	-0.193707106182473	-0.05449789081412	0.0496327043247931	-0.0025301101070026	-0.0827540711000814	0.0145749216252456	-0.00440693310614968	0.0905693382711149	0.0532448156271202	0.0687907502817969	0.00160949352715133	-0.0314024400668913	-0.070884948032763	0.057873571243532	0.0254693651479672	-0.0654842393581496	0.0237491386933121	0.062869196428956	0.0144797180122553	0.0913009385792767	0.0748276905529511	0.13886312905053	0.0830994685643388	0.0615514699437067	-0.0550667652445284	0.174305828773316	0.02513003590536	-0.019531547201841	7.83893418731186E-4	-0.0499450707030655	-0.100883583655256	0.0925399304162034	0.180504482086559	-0.0288611252093267	0.0543040335860468	-0.0414821162245376	0.0980695195470436	0.0480775875928264	-0.00101628347828679	0.0510213722534138	0.0446660153049983	-0.0307340703691622	0.0571261261595162	0.019695868930551	0.136558002420541	0.0421749938462146	0.0412412819455148	0.0509340545925165	0.127197873304483	0.0642559659797693	-0.0043920604372718	0.0543864874587609	0.00314847955574772	0.0320993882809096	0.0692073224637153	0.00299392311992172	-0.166099624706599	0.026659986795246	-0.070297963319617	0.0120253411460274	-0.135368579350034	-0.0220948277562823	0.0242022273066191	0.0800485787388397	0.10561406724178	-0.0195030681158278	0.0208043119838948	0.0654868068816172	0.0174143687936004	0.0827264971909921	0.0210449184495169	0.0326846244259222	0.100194711766314	0.0361018592924962	0.0516382764064494	-0.0802440240361986	0.150662483697606	-0.0542325762689144	-0.0547897013863797	0.071836222802987	0.0613278364097175	0.0698668215023865	0.0843741569932369	-0.012135783435084	0.0178881311626724	0.0752115287327877
"2353"	-0.0592060400306333	-0.0778485470470221	-0.118192574342269	-0.0777755012746874	-0.0602260953045224	-0.0188700668694287	-0.080660665810949	-0.0929413407625589	-0.110284866102963	0.0248730418644238	0.0101949921771021	-0.157575550999675	0.0666713110195217	-0.192639701860629	-0.0835869270285016	-0.123966086964529	-0.115080878922447	-0.0276264462745004	0.0142372443269989	-0.149792504186775	-0.0750734141428642	-0.106434090175637	-0.0626014251765025	-0.236313350779967	0.0032647436545082	-0.11883106556589	-0.0239592192012906	-0.113503006496618	0.0312933104715298	-0.146392817746276	-0.0295720983692047	0.00962869143574413	-0.124205439816689	-0.0264988548502081	-0.12133578976785	-0.0190018821828	0.00383107478054903	-0.0542222931527709	-0.0954981690342064	-0.0982848563814512	-0.0449036605294678	-0.0669280047744274	0.0135441596037803	-0.076469654714091	-0.0490591237560721	-0.0620788369549206	-0.222053992057893	-0.039999856301188	-0.149438223177093	-0.173678223654976	-0.0877626108158264	0.00127050357016485	-0.028199253617675	-0.0643520117480319	-0.0201159099654527	-0.042357121993839	-0.100537492730824	-0.167914258152794	-0.0437045386250291	-0.0717685520397373	-0.102709508528864	-0.118201361914814	-0.0290493469716713	-0.0711193251586086	-0.231404360643369	-4.34002212438008E-4	-0.00406713416575978	-0.0509485549172928	-0.116132344581674	-0.214573789977906	-0.0226793190985636	-0.0379205852623305	-0.0803171634508007	-0.135350620616616	0.0470315710172426	-0.140966260028281	-0.0814807704939626	-0.0394266321585706	-0.117648056692632	-0.116225425861443	0.0470947452096996	0.048363022478192	-0.0993647788816009	-0.0941264650448246	0.0054370439561421	-0.0789358402792352	-0.129702828560772
"26130"	-0.0205150146228661	0.0484283004982585	0.0397386944583328	-0.138016209433859	-0.0212238939008675	0.062002150725478	-0.018234225986287	-0.177797671853658	-0.11643501092402	0.0549834965385814	0.00599419518739444	-0.0443718623235918	-0.313984096194044	-0.24119419392298	-0.271132620265106	-0.0526595930801493	-0.153409631961118	-0.127011616724698	-0.0480053913600522	-0.0597833159574003	-0.00135835700338452	-0.0928522078564963	-0.0601246034223401	-0.0555239187494887	0.0645401895972624	-0.0718918989831011	-0.0530836115707982	0.102846243403131	-0.233394051827785	-0.171644022541437	-0.1014797268399	-0.0287156370989925	0.0563747595549147	-0.173126082552485	-0.141773421148392	0.0210719640922658	0.0601165631460501	0.0599908200215367	-0.122645846933106	-0.00688597888847575	-0.204284300778472	-0.0653020378142509	0.10843119345545	-0.0425109705835342	0.0641442455405607	-0.171549812332015	-0.175101895272372	0.0222851390720411	-0.0162502857750545	-0.137775481793327	-0.00195067459224908	0.132370539763579	-0.130067077764793	-0.0157047774824375	-0.136982886005362	-0.0578935064659434	-0.0683208008374034	-0.0865538269737725	-0.055289780308117	-0.136499645602903	-0.0705771611928517	-0.179015676687633	-0.182929761992871	-0.130902086050225	-0.179914584716002	-0.0297705444557886	-0.0457131080971136	-8.08205738108828E-4	-0.0726836313409278	0.0365704208171374	-0.0426242003497837	0.0885505964352145	0.0736148791744022	0.0669835558553207	-0.193387096938535	-0.126853358887276	0.0630602601109966	-0.00162874805190099	0.00919174270695631	-0.191117980396201	-0.0934069279662552	0.217615496133521	-0.0985689465734723	-0.11655511037441	-0.0788015320103845	-0.0631366221859637	-0.0346921103368821
"2827"	0.0516958521385739	-0.039137793294923	-0.127590705509449	-0.0779288358210736	0.0664128519558546	0.040745373333677	0.0205373228656699	0.15257761093099	0.0235570390968689	0.0138504230312109	0.0497918952921367	-0.015658583475611	0.0165215454061716	0.125778523150118	-0.0187312015731276	-0.0628065860386939	0.21485791657905	0.0306830044269395	0.0765507790438334	0.0377553235405733	0.0996180416279688	0.117462836810844	-0.0938939124103291	-0.00120477791670851	0.125534951766292	0.00702426894089734	0.104546939935039	0.14866818867059	0.0434690536643676	0.0401356810772352	-0.0186353632767506	0.0455464308189129	0.0835521085141714	0.0217167788527959	0.0806821267450424	0.13349527652422	0.0511159550044757	0.154622892402284	0.120292047351597	-0.0276944228945542	0.238498521355812	0.209765938891964	-0.0288375044768465	-0.0152573637721138	0.134180544850292	0.129001840409129	-0.00187728824861951	0.0542931516056306	-0.0767911279672152	0.0148549423467746	-0.0518054595989206	-0.196557369061322	0.0704270882414512	0.0657704858874343	-0.285379932436707	-0.0754796070731521	0.023304174887692	0.0911410477021807	0.052713789727811	0.0164412170256244	0.196112087434502	0.0810059712856537	0.0457344243252687	0.041785571953764	0.0521216360943315	-0.0171413166570229	-0.0142381722386802	0.0443241619482316	-0.0234568444328549	0.143259831814524	0.0402504233290761	0.144019090946875	0.200520960224148	0.055619116541628	0.0780840039549249	0.0781396997973688	0.165623017012896	0.0219964110343866	0.176041423896541	0.0523436669893225	-0.0452511527631745	0.0908469247619069	-0.0516865220258864	0.0062991131122321	0.0220593689037263	0.0812129631027172	0.420195516967755
"65983"	0.0416293038306234	0.0844827271205962	9.000822334544E-4	-0.0770987050890106	-0.118060072592998	-0.0284808277704644	-0.0103024061562252	-0.0155230420792334	0.0168572682401312	-0.0766479242704258	0.114403840523284	0.0576513103625351	-0.00637946774096563	0.0229273169482094	-0.181503270041637	-0.0192333263845144	-0.147581596017502	-0.0195084528325871	0.1474358111632	0.00253753835905618	0.0325540426106115	0.062821923811577	0.0397474689895472	0.00395179250558606	-0.00607310143303475	0.0116850231935728	-0.0618213716934122	0.0542314043206386	-0.0158228212941761	-0.0304987603043666	0.0321364906534417	-0.0949742719555167	0.0545028520583613	0.0482324522646174	-0.045674332635845	0.0276408289762163	0.0318339141072079	0.0106260764071746	0.00801029509418779	-0.0570224210279173	-0.0639131663911211	0.0722939464280292	0.0599329921878314	-0.0186721564085824	0.0620956521044015	0.0143455700892315	0.0246889887842234	0.0923090897618611	0.108434553538692	-0.041892860138097	-0.00393854167300509	0.0451863264537999	-0.0172529085392691	-0.0573430894682548	-0.0843082705288225	0.0304585076551633	0.0661756896032474	0.0502972288545853	-0.0315970771649208	0.0650681036833403	-0.00958319644413694	0.0465104724119105	-3.51619013678673E-4	0.032790610052585	0.045268622892969	0.110041271385688	-0.064841954471476	-0.013800376909919	-0.0561537292183439	-0.00344537224844213	-0.126880518901779	-0.0875165570368268	-0.00608073841152636	-0.0310587291872919	0.00145661085782602	-0.140691777326688	-0.124105253401749	-0.0517653332808381	-0.043125105474245	0.160865305886136	-0.0418211679582089	0.0509501741149781	0.0525320176821676	0.0951964660190888	0.0322362293709963	0.0204596536535772	-0.0475936361534751
"2971"	-0.993659095919293	-1.15656113540459	-1.24731117871972	-0.979413067482149	-0.857316848022389	-1.02648030208259	-1.07892186246357	-1.03685216501964	-0.959309547667431	-1.10557061297424	-1.40911793244218	-0.922631738387725	-0.89862844741855	-1.12985657969737	-0.912208977238497	-1.01795666460921	-1.06340917019508	-0.941748534859776	-1.21582515340413	-1.02714492729664	-1.07637393999951	-0.950744662288996	-0.845099454192366	-1.11524542700141	-1.13156402867053	-1.14951195329827	-1.18428383986063	-1.26528826761489	-0.977953918635665	-1.13148591389444	-1.11566349240548	-1.03369441284894	-1.20537338751564	-1.02350760360403	-0.709117362287834	-0.983921184223947	-1.0697484492048	-1.11474196182633	-1.10068244419132	-1.2598432173226	-1.03543506323553	-1.02194536359906	-1.3970762253175	-0.968435543721979	-0.694326936428693	-1.11547362540957	-0.90602771914888	-0.989585189191273	-1.06336183105495	-1.10807663391492	-0.771600115000676	-1.10137021241975	-0.97751478455017	-1.32840067667124	-0.812673952219201	-0.903060273736805	-1.03443135885937	-1.16356311810742	-1.00866374680667	-1.21872931375804	-1.3279631592889	-0.973450620075208	-1.34384031355146	-0.841810518224551	-1.07940256493463	-0.925984523814998	-1.10576701859584	-1.12289979438909	-1.07453576146432	-0.868646181579318	-1.1493097800887	-1.06342045540472	-1.08050046832572	-1.29044833772897	-1.03657151180177	-1.08082638420836	-0.944210687809635	-0.920527370304547	-1.03600269910296	-1.01400986335128	-0.780004619487597	-1.02151471085746	-1.17845231574452	-1.36877961345473	-1.14727469575196	-1.1863042103857	-0.982504216173051
"3336"	-1.49152310662718	-1.49434342097845	-1.5075012356736	-1.40770402660127	-1.59465691698806	-1.65805813602037	-1.80201658180245	-1.32637893819632	-1.66752971639386	-1.35141552639573	-1.36606387631288	-1.63591933033995	-1.51014907649123	-1.48599534824737	-1.73812273629291	-1.5746786406843	-1.7172318628559	-1.52079020074402	-1.85202223242903	-1.63777048797484	-1.81237441777529	-1.61335677132097	-1.65878963185116	-1.4819127139971	-1.47609944840258	-1.66395394909142	-2.09980316591177	-1.72683367714017	-1.5476175514861	-1.41610179554322	-1.59265982871542	-1.19099395900724	-1.43826755457775	-1.50328883102058	-1.70245276186223	-1.66891302636634	-1.651023920345	-1.60311361915379	-1.56980499029159	-1.36837678979453	-1.6585742178366	-1.75482990772731	-1.68021769118841	-1.51606170249297	-1.48157027633559	-1.56136990805778	-1.95750281405904	-1.43979895206613	-1.72974914898209	-1.66098123433393	-1.36728415652575	-1.89430202214649	-1.49688459572662	-1.43692424807462	-1.70163045588077	-1.75072138715057	-1.74957445088167	-1.58355026817862	-1.73550826456825	-1.51188838534007	-1.67743755983985	-1.63734813641465	-1.59662201251794	-1.65709956351111	-1.6139939234561	-1.43693527109252	-1.6017476347077	-1.49925182270571	-1.49236990831969	-1.60295488744897	-1.67972396434782	-1.56458014214446	-1.61446546340769	-1.52288922316918	-1.52659528683686	-1.56586545672687	-1.5337200627134	-1.41491916536802	-1.49992867929077	-1.61594749813801	-1.59621781730327	-1.57286313414667	-1.27984383585909	-1.34403885368631	-1.4715444487808	-1.53332441624018	-1.53009549593495
