	"ACH.000014"	"ACH.000017"	"ACH.000053"	"ACH.000085"	"ACH.000160"	"ACH.000207"	"ACH.000226"	"ACH.000233"	"ACH.000248"	"ACH.000251"	"ACH.000277"	"ACH.000304"	"ACH.000330"	"ACH.000356"	"ACH.000383"	"ACH.000450"	"ACH.000477"	"ACH.000484"	"ACH.000488"	"ACH.000517"	"ACH.000549"	"ACH.000579"	"ACH.000580"	"ACH.000614"	"ACH.000637"	"ACH.000646"	"ACH.000661"	"ACH.000665"	"ACH.000694"	"ACH.000697"	"ACH.000724"	"ACH.000734"	"ACH.000773"	"ACH.000783"	"ACH.000785"	"ACH.000805"	"ACH.000829"	"ACH.000840"	"ACH.000846"	"ACH.000855"	"ACH.000887"	"ACH.000900"	"ACH.000929"	"ACH.000957"	"ACH.001028"	"ACH.001134"	"ACH.001197"	"ACH.001550"	"ACH.001554"
"7915"	-0.0706182509660867	-0.105179890522748	-0.0564623719028747	-0.150147232505717	-0.0899111227069622	0.0242109987640436	-0.0766242173636379	0.0410535882577596	-0.0881974742711889	0.270232169164858	-0.0808282258719216	0.0359179231765414	-0.0444708835359495	-0.121027772302346	-0.0194564809048994	-0.163657346509207	-0.26479965893703	0.103304306762229	-0.00759634329663351	-0.0754214636898013	-0.032130986125257	0.0828221704329304	-0.0225964195362155	0.0144080896498748	-0.230818437314409	-0.0918699546746845	-0.00512636992313159	-0.070618247646675	-0.0200629157102114	-0.118242238699629	0.131946980600837	-0.0506631193524341	-0.0379240295751198	-0.0578714289747617	-0.0319654603438919	0.127218014664836	0.0538139806604487	-0.0904552152168226	0.0674055081001554	-0.0520420478274385	-0.0438624201680314	-0.110874387357607	-0.0612296866472522	-0.0662536322891268	-0.0593782838115613	-4.16253227472388E-4	-0.0897889839889943	-0.0245895267395473	-0.0424834447131145
"410"	-0.124471421085251	-0.392453146340176	-0.255471901890826	-0.475056900193591	-0.20779581801313	-0.153520455158467	-0.246525859762244	-0.238025967274068	-0.176193634422472	-0.528761338543609	-0.227342737973105	-0.319294030164685	-0.141099561441145	-0.135426039402037	-0.188723069006915	-0.322157053099695	-0.35515232250433	-0.211135794661404	-0.248730425472558	-0.314642437968797	-0.191712173943147	-0.180369137658508	-0.0739916541854203	-0.211598725420492	-0.307152217117922	-0.131694367170082	-0.0162422929015702	-0.236520867755927	-0.249696773841467	-0.413402576055918	-0.219215091868549	-0.238254229802592	-0.356633138440205	-0.22964326890676	-0.303557239240277	-0.383337598159088	-0.115211144446745	-0.329281111578886	-0.252397847052594	-0.15332076351449	-0.201183799920751	-0.262098453460628	-0.411508821193015	-0.206557698393606	-0.239359918509377	-0.0887777034228222	-0.232297669194109	-0.222486014247977	-0.299475797635087
"613"	-0.04217467640829	0.146537378616885	0.0390084279185235	0.130603910757115	0.00925131307862853	-0.0190415056910514	0.117085824381035	0.0866829615888352	0.12408968253283	0.294084765615041	0.138076180780134	-0.0666469992762839	0.0406523941141769	0.047186649976719	-0.0236706093827309	0.153540547601572	-0.100025408885848	0.020092514846221	0.0920974517733357	0.0360155398813104	-0.00553501920290001	-0.221609693072934	-0.049210588230757	0.0778292495019646	-0.0510458634096001	-0.0141337554748221	0.114205793677687	-0.0927261643745124	-0.0581762913698479	0.0632955835104644	0.119993450273076	-0.0075135757154081	0.0347776834957307	0.160952914572521	0.0145827798656907	-0.0335248747613362	0.0866691269591063	0.18299030705944	0.0461034056723883	-0.0199152896670292	-0.0142342396259771	-0.0812215362710372	-0.113284566034928	-0.106134098420962	-0.0314752467619391	0.069458492935619	-0.14425008307466	-0.0279835631739896	0.045087012485678
"145741"	-0.0397022311538902	0.0908205929962666	-0.0903929649292317	-0.153941425689524	-0.0180234095254608	-0.120775320442571	-0.0367693569926794	-0.0576185500330271	0.0531518224298118	0.198339191405811	0.00446382310326137	0.0843782098734816	-0.00214448429454067	-0.0500473791785755	0.00166087292320475	0.276684375447501	-0.327404452985158	0.0952528594884094	0.00480982175260477	-0.0159867642232476	0.115727730380048	-0.132114767904111	0.0380524154104139	0.0800787287974031	0.0757131305085859	-0.0142625221450429	0.0272680788232124	-0.0174594663831921	0.0157353465648843	0.0999850490395385	-0.12483828075905	0.0688171421817905	-0.0112774489121944	-0.0314375010310986	-0.0595646068762706	-0.223894347647052	0.0519316792732963	0.164978888712101	-0.11310296067347	-0.102459230745345	0.0772817724150986	0.0573189408015342	0.342501829446845	-0.139696375386374	0.00464353971767981	0.15194206469975	-0.122272835971815	0.0607489924577282	-0.0393050969710925
"285753"	0.0985483037978046	-0.0358602738631138	-0.0113834338437689	0.00951843956630631	0.00298299919122196	0.0281634409745611	-0.0513243234345126	-0.0103157721124863	0.0315415132584045	-0.123460127441772	0.0449154168235764	0.160029976732918	0.0336646747718805	0.0456700638425532	0.0188508526896743	0.102729960755162	0.114623620597314	0.172779879568291	0.036734240373558	-0.0537157647072939	-0.0883532297432452	-0.124077379899572	-0.0187240311767554	-0.05233577287875	0.136504639124854	0.0798662665672671	0.0389428039285958	-0.0579546540067096	-0.089480771190856	0.0754209355028647	0.0337325544210062	0.0602110013358058	0.0255096563597151	0.0203437491112452	-0.00976209314254024	0.0902419612104289	-0.0284910346659373	0.189749842253202	-0.00440178479694895	0.0467945275742731	0.106951125529058	0.0755116166355555	0.202188612761098	-0.0209393266617119	0.00155414747023072	0.0309030428560816	0.118641495964319	-0.0373358593817723	0.0183682602359975
"84916"	-1.46656215599778	-1.56165448786709	-1.32965206592374	-1.4908701433103	-1.72163601788157	-1.07559533038861	-1.42298846077201	-1.43990382659848	-1.54962476692866	-1.49690082127653	-1.12442507450999	-1.48807446608936	-1.56539202164913	-1.37599877919106	-1.42265410988385	-1.45221589636889	-1.41738477883707	-1.11952577397717	-1.32856142383135	-1.29982581528508	-1.33895553649252	-1.44964486468393	-1.7997030179691	-1.75376806526415	-1.57176684257461	-1.01139465071478	-1.71846465609071	-1.33747969173569	-1.45815813545671	-1.35380749535083	-1.37301023442968	-1.39454526546316	-1.26326144144973	-1.22619675451601	-1.39148353572286	-1.33556815447366	-1.07703207587522	-1.45800987772815	-1.35744498224688	-1.55304179244474	-1.41217364853026	-1.37682921316386	-1.5126364615383	-1.38000160552746	-1.54922070417861	-1.29955601323452	-1.40479180700628	-1.66415678710337	-1.49576325965855
"1504"	-0.084186628724282	0.0527348770218199	0.0	-0.23331557984767	0.109792405146827	-0.0126858828836412	0.0106309350297153	-0.0231275082591605	-0.0678531369595828	0.25014563362358	-0.0468245445796981	-0.00132464274128026	-0.00152702682958407	-0.142356644540742	-0.0320880134308902	0.107379829636169	-0.123710451890583	-0.0922523102266417	-0.0755751899483566	-0.108557599141962	-0.095170746580372	0.0188675435383145	-0.0638566403936092	0.00976989179573956	-0.239787561668193	0.0600305323582298	-0.0675940763971699	0.0204405071560906	0.0621178714272454	0.12354652595622	-0.0858213562714112	-0.0186926911699985	-0.00704668791690255	-0.111822449527638	-0.0307608663126687	0.0822670743799714	-0.0683637399471408	-0.0786593617390934	-0.0156996776555883	0.0215797807276645	0.0154859509195811	0.192722897952295	-0.0303866042183776	0.00168942714090354	0.0855826039908283	-0.0130061809355919	0.179006863183915	0.107333837542746	-0.00869588252469997
"2140"	-0.117638704226795	-0.0213069704554061	-0.107588075667189	-0.14379447739466	0.225118897185109	-0.0583217368258664	-0.0657133047476328	-0.0171629068074425	-0.00490043128074637	-0.159910103711204	-0.157306462723421	-0.162233331436639	-0.0766187287588202	-0.0401946277065092	-0.149920492014356	-0.30616941540962	-0.197384446189299	-0.107558622256491	-0.150926742454611	-0.136344318308459	-0.262993545560021	-0.0688038204553334	-0.0873597872068022	0.107004347123329	-0.184270905098246	-0.0801234299091669	-0.136738068754856	-0.0711130575749711	-0.105904186445482	-0.00503766531106522	-0.104158037444323	-0.0860730682081583	-0.00228280320570475	-0.213171207428348	-0.222483895457824	-0.114187948210678	-0.121538988756008	-0.139982864374574	-0.247878981639678	0.00831242485091087	-0.243065775095415	-0.185594954070866	-0.332422912942427	0.0729833085143759	-0.091175689877111	-0.266592386108801	-0.23654863742392	0.174137402981841	0.00685169411916336
"84873"	-0.00787789979963697	-0.0416409670101682	-0.0539088718068226	-0.013507382314779	0.0723095329792442	-0.132440910992233	-0.00787588638571035	0.033944358065841	0.0727590130689762	-0.177013039084067	-0.0181026746275519	-0.0335354714642148	-0.0996916099637465	-0.110358794142791	-0.0218119734341575	-0.175712393136565	-0.151187290675373	-0.0480073301802058	-0.0152639011105803	-0.0741701505534035	-0.00287470928485712	-0.0673910902213003	-0.0286203450900258	-0.0693572301546874	-0.0787845268523834	-0.0683671215464155	0.0348597317296045	-0.0601112716376738	0.0514226101325945	0.0774014818293319	-0.113815741697354	0.0431812429258881	0.0284018436212816	0.0314640941486461	-0.0527044986660237	-0.19986551923865	-0.165809487612339	-0.096456832309414	-0.0630151350814508	-0.189223289045197	-0.042684837074474	-0.0627192877652974	0.269850932513871	-0.133209125517628	-0.120934569467973	-0.166458928947802	-0.049829165317296	0.0266328055875715	-0.009727643848026
"8358"	-0.0744528505037601	-0.211255424847443	-0.141598876137214	-0.39700370355711	-0.291006934659056	-0.162541593160316	-0.135370077047594	-0.322193154408641	-0.223899848808598	-0.422987346280733	-0.327970640448598	0.0296003089081587	-0.170166878365277	-0.190900626345478	-0.204060312292821	-0.372699541706476	-0.315752416345952	-0.11545296314217	-0.255511821979344	-0.244959232767813	-0.251924075953628	-0.265750092563836	-0.0495800628171397	-0.257808580966909	-0.341247155783116	-0.150901468290198	-0.207053080293855	-0.169801631521659	-0.245017766479183	-0.12567274357128	-0.251872125893333	-0.201111237488497	-0.271999771223122	-0.50535674982699	-0.284466729954324	-0.248390721756482	-0.0699967852730671	-0.460629252613583	-0.257205011315632	-0.418031861370344	-0.156259824311786	-0.297982064694328	-0.407552137111157	-0.0285597237021518	-0.262443696406701	-0.191989807531113	-0.462778966862131	-0.26751246371247	-0.307198306656863
