	"ACH.000030"	"ACH.000052"	"ACH.000127"	"ACH.000138"	"ACH.000178"	"ACH.000243"	"ACH.000260"	"ACH.000279"	"ACH.000288"	"ACH.000331"	"ACH.000407"	"ACH.000433"	"ACH.000444"	"ACH.000445"	"ACH.000496"	"ACH.000502"	"ACH.000520"	"ACH.000527"	"ACH.000542"	"ACH.000619"	"ACH.000649"	"ACH.000676"	"ACH.000684"	"ACH.000748"	"ACH.000788"	"ACH.000792"	"ACH.000799"	"ACH.000827"	"ACH.000839"	"ACH.000865"	"ACH.000882"	"ACH.000906"	"ACH.000912"	"ACH.001048"	"ACH.001050"	"ACH.001054"	"ACH.001075"	"ACH.001322"	"ACH.001654"	"ACH.001765"
"141"	-0.175103227336861	-0.306066040595058	-0.111332900024678	-0.230214609111865	-0.168070307852767	-0.168992799535806	-0.247720456333175	-0.16151766536174	-0.172566859663145	-0.118927290304439	-0.10855838137198	0.0610828160720327	-0.135965126732202	-0.265529783966628	-0.354473095581358	-0.128317655499792	-0.297384604828632	-0.152605242760258	-0.119373268241757	-0.172594880783191	-0.174058815244597	-0.0419136794702702	-0.329730487480765	-0.409473278782756	-0.235526866348186	-0.245460671628835	-0.111985688667395	-0.134592678622648	-0.153731607036949	-0.1476746975934	-0.153379772561649	-0.150186761577107	-0.0972058407710274	-0.205853793549417	-0.129603377634483	-0.100337411448056	-0.22947572971985	-0.205119507655768	-0.173614481642031	-0.0682167689617878
"926"	-0.22277453851164	-0.127752326681815	-0.194528132768774	-0.0423490863742707	-0.105163275747078	-0.19056587064928	-0.210315808035894	-0.109526703593064	-0.254281073343937	-0.127559604407371	-0.00960277791075661	-0.00460869089299256	-0.0649662235319897	-0.336741187965062	-0.261083496831007	-0.195491133533424	-0.31221840660626	-0.0886344821883209	-0.167347645992486	-0.267435525718302	-0.191108558402546	-0.144857785469472	-0.114482961750145	-0.122502164344991	-0.153541508312356	-0.284533204814463	0.0218713634903829	-0.100698734844048	-0.174703908007203	-0.106584733058311	-0.240661551315319	-0.166929539971954	-0.233517181930186	-0.26848097361475	-0.129764956459833	-0.0139677691672127	-0.162622940878179	-0.00416937540933983	-0.153604501153743	-0.197572906855879
"51550"	-0.687424479305027	-0.808064745404308	-0.721148359232793	-0.818003794414091	-0.883116758646201	-1.05018651468682	-0.96398971417858	-0.921221193322746	-1.06754215633606	-0.994453122115392	-1.07036034933938	-0.877549610558118	-0.929208082061533	-0.705565682113344	-1.01828200760914	-0.806651338846726	-0.914077085313288	-0.995333573913994	-0.982131303295246	-0.853155784814301	-1.05964570663764	-0.92765844835996	-1.19218660320895	-1.05245172551126	-0.769797956371767	-1.12457049855087	-0.519336211938148	-0.879348068453107	-0.79565103021099	-0.826257555975694	-0.645152946085946	-0.974456814587445	-0.765977141421366	-0.870957368394216	-1.18223721119942	-1.00599526956294	-1.13372015661319	-1.06838716039957	-0.940019578249259	-1.03770443102111
"28960"	-0.556286842540773	-0.33795130218972	-0.612864945381325	-0.491289590203806	-0.488814492888361	-0.41352979671684	-0.236975719290953	-0.639906114799553	-0.522270148110245	-0.29514056598119	-0.340330844955267	-0.293249372824568	-0.303768813823105	-0.513838153610689	-0.459444718397029	-0.519307341597455	-0.372177370124268	-0.173919509107904	-0.626452038933001	-0.798738639892046	-0.494913798008324	-0.613784211287826	-0.832331553868161	-0.530733910620382	-0.460469474153934	-0.54745609945009	-0.168028761855451	-0.340808884280162	-0.452006434576419	-0.216295959109459	-0.710596871265539	-0.648106756921975	-0.651181848927736	-0.597067196966192	-0.230452671241933	-0.673726229433436	-0.584440642930206	-0.260204439386724	-0.43991440526202	-0.545711880497587
"54935"	0.148753387169518	0.0158937113301707	0.118628062350181	0.109600133216112	0.206462997897493	0.095117907936522	0.176357196346286	0.15194639777209	0.0843092070720574	-0.110759891630611	-0.112662195463631	0.0378148931550025	0.139690059014686	0.0564314595344402	0.145933658424526	0.0899344874735466	0.0729048105071241	0.179907949297896	0.0940784453370701	0.0965546309081319	0.150990798039317	0.104169373333593	0.285074783671816	0.188665931237977	0.115028431783086	0.210221411903885	-0.0814044284667266	0.0591669437021243	0.0449953024534459	0.090984945900915	0.0679029322595764	0.188695496621889	0.113922240638404	0.112510331478756	0.107165843301573	0.0603378739938935	0.116499366806514	0.0821014346751209	0.132527120319612	0.112815074769943
"23587"	-1.06463699264654	-0.857612283420169	-1.15954373070058	-1.289530682956	-1.19997329410488	-1.28661410061832	-1.27373463884225	-1.31987577920133	-1.22683681813867	-1.20872622238195	-1.12404227611673	-0.983356637980185	-1.12547234206219	-1.07735052764337	-1.53039393818851	-0.985478861280169	-0.990877174210004	-1.12540139819595	-1.1693740362077	-1.02373632889774	-1.21047213663437	-1.05799566245388	-1.26576971252741	-1.09926040090382	-1.07623976202959	-1.10475451204983	-0.847606771765771	-1.26683931707838	-1.14115578972319	-0.893307596451016	-1.18690795156157	-1.11299914542542	-1.14416638917318	-1.22841010061647	-1.08863740946375	-1.33896732936425	-1.02020824166497	-1.08403484209558	-1.01471133597139	-1.10244416147107
"54859"	-1.12818107675127	-0.877981820819892	-1.26997575395129	-1.06027322034791	-1.05052140819578	-1.1460862988047	-1.1762094740543	-1.05039484964039	-1.24602880757737	-1.10044596430007	-1.13445128044869	-1.06600917666134	-0.928117293646991	-0.911296293024961	-1.23623791262906	-0.888091812101134	-1.00740880633456	-1.05302758860503	-1.00363312985345	-1.20337495231085	-1.10220371325089	-1.07919690931519	-1.23755037840517	-1.17189754108761	-1.13407211094471	-0.996158128993887	-0.930576409102229	-1.04939685681766	-1.16726290322447	-0.921707629623781	-1.03785295858169	-1.09464730728273	-1.11218789349001	-1.07094635805875	-1.01821665544871	-1.16382841721748	-0.827213147271256	-0.873050603682041	-1.09390206213584	-1.06411263881931
"7184"	-0.66296688053836	-0.665986192883199	-0.628459570460487	-0.624542356589874	-0.657742101019502	-0.55690851710455	-0.615778038198292	-0.452471087933598	-0.553519770649457	-0.850774430480371	-0.635311553193843	-0.2369932145137	-0.336184581307155	-0.557723936393678	-0.499078973883125	-0.819717440280442	-0.454523629109122	-0.415590655759597	-0.195678891877874	-0.58957268553128	-0.495154605593558	-0.25304873827199	-0.577981300109353	-0.353364527507937	-0.619872113608135	-0.446705977635663	-0.472371035324879	-0.461981497237206	-0.647897789075748	-0.305544012419487	-0.431367441120642	-0.186416256545027	-0.28790981701539	-0.66480455178089	-0.811284219558628	-0.537320680198225	-0.479948053557222	-0.399545311122464	-0.388796595656116	-0.401749116003461
"112970"	-0.872172023346863	-0.658091809316167	-0.994184516967152	-0.896739073244268	-0.877643439061406	-1.11653685296685	-0.989414879872605	-0.880223632048517	-0.980443769866598	-1.05042910313381	-1.01873953846427	-0.919754504778641	-1.01381566833152	-0.809912691672345	-1.12263811777409	-0.946328513888845	-0.800624065362536	-0.884729943400831	-0.878141402435418	-0.839090547055258	-0.820381694656462	-0.713353384246256	-1.11589236844878	-0.827228627906907	-0.922544659057691	-1.14701471112655	-0.699786363149759	-0.923915556078715	-0.939772302885902	-0.789649836288318	-0.852390003754088	-0.914601875957628	-0.889604956478931	-0.881736839931838	-0.930369600840511	-0.815336652256812	-1.10069458243901	-1.06288399975925	-0.984425020992304	-0.689343388885057
"100462981"	0.0864272209189482	0.136569893024451	0.170948649090143	0.119772054742663	0.132574147828056	0.14946940989713	0.158680475496746	0.0858197662885141	0.132586849685704	0.150532492895616	0.0520078078436341	0.179635350169489	0.140469619868899	0.065562517876989	0.227449377749261	0.157992523212974	0.167742981081762	0.0927653315433414	0.102796053832865	0.209385995114601	0.114109511271087	0.173317632326279	0.234153924590004	0.108543767057462	0.0731947159238363	0.118272174698488	0.177228421778662	0.121773395226651	0.191788366845346	0.118843197533411	0.183621237342014	0.079619121921743	0.118806018585903	0.220518524109612	0.0858477232810478	0.0706218023171148	0.0562411279179103	-0.0396667606079906	0.127347941664844	0.0956366888037097
