	"ACH.000036"	"ACH.000097"	"ACH.000228"	"ACH.000256"	"ACH.000264"	"ACH.000266"	"ACH.000280"	"ACH.000288"	"ACH.000352"	"ACH.000390"	"ACH.000393"	"ACH.000397"	"ACH.000411"	"ACH.000414"	"ACH.000421"	"ACH.000448"	"ACH.000463"	"ACH.000469"	"ACH.000481"	"ACH.000570"	"ACH.000571"	"ACH.000591"	"ACH.000608"	"ACH.000624"	"ACH.000711"	"ACH.000785"	"ACH.000848"	"ACH.000867"	"ACH.000943"	"ACH.000988"	"ACH.001061"	"ACH.001228"	"ACH.001328"	"ACH.001353"	"ACH.001377"
"705"	-0.901681050285252	-0.982118310798442	-1.07930786807967	-0.793889748863749	-1.15377483294053	-0.890725762613846	-1.05805900059763	-0.868444138885693	-1.13058385300529	-0.970096722120919	-1.0946782799866	-1.06138007029192	-1.01724340112127	-1.09191608395849	-1.02651267087934	-0.972959104010042	-0.927809628377045	-0.966661569652811	-0.95646555787362	-0.880542508724332	-0.966599278825269	-0.966864521629025	-0.892749665350629	-1.03815434873628	-0.970399082077648	-0.779659348395479	-0.986083710761154	-0.964958817543968	-1.01821499346773	-1.05740318060628	-0.922701690845062	-1.13595995833878	-0.828307339020422	-1.07209180771618	-0.931276000273589
"83638"	-0.253731803941465	-0.334435357106914	-0.371074363588104	-0.276240606083544	-0.268235351329483	-0.294269410294954	-0.256404832880822	-0.37206580609957	-0.375188796604845	-0.181242172656707	-0.305908321337401	-0.366129230689831	-0.383571321522975	-0.305029889108234	-0.154272839092205	-0.41010277133529	-0.253385676018114	-0.351848432529044	-0.143469801463842	-0.183376542681051	-0.239880768428572	-0.245864166401337	-0.349539332933593	-0.282715202145718	-0.242287934009626	-0.21674412031665	-0.189925355669668	-0.153724254720438	-0.169980818475163	-0.217876155341382	-0.314561890046035	-0.131861092277997	-0.282312369017345	-0.307577452663696	-0.164963133747122
"135154"	0.158879272524499	-0.0666156600348979	-0.199403964184502	0.0889595933407017	-0.0119912970494599	-0.0474611646990549	0.166765998802092	0.180745602876896	-0.132075062549282	-0.0617752291293959	0.0696699554512175	0.00241071645122558	-0.0850300574511538	0.0902399403661225	0.0591197697450734	0.0488435357711365	-0.0964013413008625	-0.0381332916745264	0.0436815772335324	-0.0294403131835189	-0.0907950592535407	-0.113189612967083	0.00217341803340397	0.0388912171602786	0.0326187397227861	0.0792601982090757	-0.0047068126970678	0.00338663980871849	-0.336890481089365	-0.116802602062261	0.0043171115114948	-0.0317786465908775	0.0261561729156496	7.78937489919163E-4	0.0320396746835172
"140690"	0.0393845279649701	0.142001063995236	0.328749655702002	-0.00532011115389862	0.157114172900303	0.152349313251106	0.183560577622136	0.227209851486463	0.0944080380389566	0.182018533837233	0.0958778508173832	0.130473304243029	0.239428961360003	0.178345426561072	0.167952239863534	0.137979158024394	0.211041512317928	0.0774892054838885	0.14236396070385	0.178543605343413	0.179425250181339	0.0842815277134277	0.0452428838702728	0.107464781647308	0.149783319262429	0.0624369212198281	0.0694222162833896	0.226024246995156	0.0814222787872102	0.0922448135655488	0.101761037511272	0.250204573305851	0.149098165492873	0.131840671671659	0.064277849220436
"50506"	-0.123342188755845	0.02293983164758	-0.285790777268948	-0.163117879725819	-0.183425671848149	-0.178144402731282	-0.126184894114573	-0.256753809014355	-0.182040691263348	-0.204927390143261	-0.238212599401839	-0.151714072664881	0.00902900424100711	-0.18126291029968	-0.240444324576559	-0.246836910818468	-0.132194578068261	-0.243670204411052	-0.358324188783044	-0.185119933662227	-0.1662057847679	-0.177372202931754	-0.24886817762247	-0.151112923530434	-0.116790418577655	-0.15418231428334	-0.177495740593839	-0.195676996970017	-0.115445109239366	-0.0823985697568681	-0.119963121074738	-0.240106308760225	-0.220486487714674	-0.138390498338404	-0.161479812104315
"83640"	-0.123739484130745	-0.0372211183694288	-0.344617995656452	-0.0791491651589073	-0.20628302199513	-0.222962305788656	-0.186934294449845	-0.253936995563571	-0.103693570277676	-0.13419290493696	-0.222523821573584	-0.0305395032244523	-0.225413159973792	-0.146577416041413	-0.34375653244199	-0.278156188774483	-0.260009489890773	-0.351433075504591	-0.211642393091278	-0.265508907814741	-0.147641308783414	-0.340121149603219	0.0483951053993482	-0.153088101315198	-0.0683349139845266	-0.0858705959240707	0.08121028501223	0.0487884347199767	-0.177335721023015	-0.168692028060997	-0.303778073701593	-0.233401754117075	-0.191151358183414	-0.0865198409392844	-0.0455497477399775
"7107"	-0.137273420349808	0.0399844970016675	-0.222510810199159	0.139909293663278	-0.100978162841593	-0.0583328515721878	-0.0559767548372828	-0.0867010148004196	-0.135512638611766	-0.0536712098047765	-0.11378507583623	-0.0618388211590793	-0.188234901289372	-0.018627640181105	-0.041136861615143	-0.178570903637558	-0.0951845221443665	-0.0383012286229711	-0.042245633030037	0.155248635165019	-0.203435659778319	0.0353742379342638	-0.070617736553758	-0.022932086318034	-0.0458808010703794	-0.0180851076343144	0.0403672566222657	-0.193852701635569	0.0287094754191816	-0.0982965172678447	-0.145899780697069	-0.035962473033287	-0.092639264844787	-0.0912645806546399	-0.0838418919437584
"2868"	0.0935436014431815	0.0411790480165046	0.214979209872164	0.132088061560362	0.0185650087258907	0.0705467558867364	0.136005888978471	0.0736658125292654	0.0879596308269727	0.00674064586343726	-0.00212365384045248	-0.00646543373011477	0.0110274754970673	0.0679298823720257	0.00999681546855353	0.132240194456309	0.0454638039850674	0.0241964798219521	0.121118734631169	0.00792187192338019	0.0631828387567675	0.0890077140944368	0.0465367737724046	0.0649547206755783	0.0548840930386363	0.0200675316575711	-0.134594803727065	0.0436265779689025	0.0261682853690093	0.148163027500856	0.106198737870549	-0.00712371215830561	0.0798951406773007	-0.0285686717809032	0.0439334093453964
"8355"	-0.155702178969366	-0.190870557316174	-0.368092303013182	-0.178902415942613	-0.273275277855249	-0.199363192278411	-0.106414962611078	-0.228418035288827	-0.0571471556780271	-0.272087847791515	-0.444859950644022	-0.098022316572018	-0.111518373624075	-0.242937448510788	-0.276310905041525	-0.265739751580067	-0.24339796854494	-0.364127011484004	-0.212760638943041	-0.192656985951039	-0.200242878282508	-0.252611312731717	-0.275375631583571	-0.132007268519277	-0.121145445422003	-0.187096822213465	-0.125331251731905	-0.212181639444036	-0.177385706521044	-0.131317181903229	-0.18602719947747	-0.186247404069201	-0.221240320723867	-0.184284109000959	-0.0787732668995113
"3754"	-0.083032467763556	0.0453679204278483	0.0974616885821739	0.0342640155338888	0.0142891155587839	0.0254947186144603	0.243008765571576	0.110628872619751	0.0846558795536662	0.00662497832501675	0.0100167569950407	0.0637346404165603	0.0441997953249962	0.0848355742087813	0.00501174018262553	0.0711958209448412	0.0121137141197166	0.0212914324534564	0.0605959471478531	0.119065309464383	0.0797215568105543	-0.103376002187226	-0.0655861915037403	0.0803803272635726	0.0574245321184775	0.120219389265149	0.107145211661573	0.143911798961418	0.0473558047832112	0.0633479183787303	0.0788967082357771	0.0888486898729189	0.0643030670215217	0.0971797605548785	0.046233569126059
