	"ACH.000042"	"ACH.000087"	"ACH.000118"	"ACH.000138"	"ACH.000142"	"ACH.000159"	"ACH.000163"	"ACH.000169"	"ACH.000183"	"ACH.000222"	"ACH.000235"	"ACH.000238"	"ACH.000253"	"ACH.000265"	"ACH.000281"	"ACH.000302"	"ACH.000307"	"ACH.000315"	"ACH.000320"	"ACH.000332"	"ACH.000350"	"ACH.000363"	"ACH.000365"	"ACH.000374"	"ACH.000387"	"ACH.000408"	"ACH.000411"	"ACH.000415"	"ACH.000421"	"ACH.000452"	"ACH.000454"	"ACH.000458"	"ACH.000461"	"ACH.000473"	"ACH.000480"	"ACH.000486"	"ACH.000487"	"ACH.000490"	"ACH.000491"	"ACH.000499"	"ACH.000505"	"ACH.000518"	"ACH.000544"	"ACH.000545"	"ACH.000585"	"ACH.000588"	"ACH.000589"	"ACH.000593"	"ACH.000600"	"ACH.000601"	"ACH.000606"	"ACH.000619"	"ACH.000630"	"ACH.000647"	"ACH.000651"	"ACH.000652"	"ACH.000663"	"ACH.000677"	"ACH.000706"	"ACH.000738"	"ACH.000746"	"ACH.000757"	"ACH.000762"	"ACH.000767"	"ACH.000771"	"ACH.000776"	"ACH.000777"	"ACH.000784"	"ACH.000787"	"ACH.000791"	"ACH.000800"	"ACH.000809"	"ACH.000823"	"ACH.000831"	"ACH.000833"	"ACH.000834"	"ACH.000837"	"ACH.000847"	"ACH.000855"	"ACH.000858"	"ACH.000873"	"ACH.000881"	"ACH.000882"	"ACH.000884"	"ACH.000889"	"ACH.000905"	"ACH.000915"	"ACH.000937"	"ACH.000938"	"ACH.000943"	"ACH.000947"	"ACH.000960"	"ACH.000968"	"ACH.000969"	"ACH.000994"	"ACH.001001"	"ACH.001061"	"ACH.001151"	"ACH.001346"	"ACH.001500"	"ACH.001736"	"ACH.001765"
"130340"	-0.32228638912587	0.0230718060467244	-0.0281724015736992	-0.104200759768434	-0.177212105956931	-0.190532601351325	-0.115582818979081	-0.130254988985943	-0.1211774413057	-0.109734179430512	-0.105001378228216	-0.0357841314326738	-0.140053738871889	-0.211178962788381	-0.0286194665350002	-0.130050099203552	-0.159637623278205	-0.305616715070447	-0.154579034628841	-0.205994631230973	-0.138982461722261	-0.147966918462651	-0.197043120420275	-0.170698612276407	-0.153625752695301	-0.119147682220531	-0.242316879761027	-0.191456457244647	-0.143805609256705	-0.151537202538541	-0.17765569863189	-0.302358591517984	-0.261902191305248	-0.218765885596704	-0.0856065651947467	-0.182993219671991	-0.148535506751511	-0.0882854470953021	-0.234540342627311	0.0267877653525331	-0.170021553807312	-0.300693887605999	-0.0759264882219181	-0.0987718652641582	-0.210313096555394	-0.145876445081314	-0.0943850339093231	-0.083355623135398	-0.108281697450431	-0.109792886290977	-0.185942247929848	-0.171898363057543	-0.173029059818568	-0.181518298650079	-0.176340740502384	-0.275561913855553	-0.0305986869625256	-0.103240829565267	-0.0828028108097271	-0.129945735588878	-0.356874857274229	-0.0152629508693638	-0.0334734860089296	-0.0653519953145827	-0.184555209899429	-0.0508750241055778	-0.25081617645506	-0.155959879818976	-0.196888281856941	-0.236953041110083	-0.326828213702474	-0.149680029627206	-0.105754758814203	-0.367681562583141	-0.0150756626764627	-0.127287817192355	-0.228098742733132	-0.0748146299169173	-0.0520402518481967	-0.148508498265499	0.0529872711980961	-0.167824511862987	-0.0892411183870175	-0.208677558502184	-0.217344386281986	-0.21638742021351	-0.133377904432065	-0.111815222522979	-0.155048743304888	-0.0913821746958572	-0.179987444668623	-0.166964187847421	-0.185673305113636	-0.286853350838919	-0.089343061754581	-0.272257275553217	-0.150248837993554	-0.259976929463322	-0.100898373744032	-0.197821853317096	-0.0599387225746285	-0.231475530133201
"647219"	-0.197022323994626	-0.228814533077551	-0.222503350984992	-0.214546022312373	-0.41761419241713	-0.239948159998287	-0.265046256994289	-0.329276966450982	-0.0612576403146428	-0.171917885670244	-0.351993327706296	-0.440822777981933	-0.38631571733474	-0.19073056202365	-0.263345407861671	-0.268325132363648	-0.194004348895617	-0.411381125936448	-0.313169458545804	-0.301175515255406	-0.261337610854711	-0.426208454995379	-0.210817084263263	-0.102293676696144	-0.166917005056193	-0.296562522426651	-0.434690950896363	-0.224305129694676	-0.371749641195137	-0.434345086229191	-0.394806372883066	-0.0838410462013274	-0.152347269099764	-0.390449449106797	-0.315291681154771	-0.108699498991157	-0.203135436016672	-0.378651901901791	-0.121139461983031	-0.0273738063123905	-0.273803207971343	-0.340986030414784	-0.0203240060053839	-0.347384114034111	-0.361284279274603	-0.4244753495726	-0.188124169204715	-0.369938545928412	-0.307549464629768	-0.452940769528546	-0.450152308863345	-0.264336857067359	-0.316392348628991	-0.350245146439936	-0.230490615097544	-0.249107315872543	-0.212069473964624	-0.238460292188683	-0.343221590309754	-0.183293279985484	-0.210289207486425	-0.218178853580481	-0.232694112873851	-0.253296511045459	-0.40841798166172	-0.150555178993431	-0.137926089978715	-0.273198730818208	-0.268441683619623	-0.341432761603703	-0.439447233030505	-0.329167931881884	-0.402797499850191	-0.24465911356786	-0.177692825989047	-0.342630005910326	-0.15686034341501	-0.160377980706358	-0.240382972420989	-0.403734748463442	-0.293599221706227	-0.216482375110434	-0.251723505146125	-0.370323000556425	-0.301342866501476	-0.27963634365652	-0.287846356503034	-0.239896899492012	-0.269204548283558	-0.327891245465224	-0.30745818027442	-0.240880091623045	-0.146918973999839	-0.102647885053413	-0.27077221930269	-0.301526790522603	-0.242803437548492	-0.230696453953176	-0.265673417898373	-0.416929015156767	-0.302829562910917	-0.259825865270339
"578"	-0.48654316100995	-0.163876357216257	-0.261156191015285	-0.325637726755118	-0.211520098581723	-0.318421280477778	-0.15870579219399	-0.292479856405117	-0.185084418886709	-0.01419088166908	-0.38773586528024	-0.247965350773201	-0.349066445097955	-0.260551826842609	-0.169473121955523	-0.261581348844384	-0.130269353631501	-0.308556343806501	-0.251857950286437	-0.277200127921962	-0.0593383918010034	-0.323702978625228	-0.296144852129548	-0.492395329437376	-0.155111091236822	-0.473492450102238	-0.16635045846708	-0.187015131791072	-0.341099819783806	-0.18537402605344	-0.360719550537488	-0.242718784898401	-0.226588334022916	-0.17095941661964	-0.202596416562728	-0.268945213400935	-0.173798262766279	-0.264764280848665	-0.363025185094734	-0.210038786529859	-0.339328358872135	-0.168282711659557	-0.200069854248954	-0.218127653836123	-0.164912783475687	-0.0976858365432118	-0.139292107488024	-0.170490467155249	-0.391921655820026	-0.185013458946642	-0.424618447838002	-0.239006599775055	-0.214300359119501	-0.248713890184162	-0.237580737643311	-0.427985134116443	-0.188759856070512	-0.473608789624793	-0.206778795906938	-0.133253341626447	-0.190226211907573	-0.0745655251046067	-0.0984391516974281	-0.436101315304048	-0.283022159492185	-0.110615621347676	-0.31932871129662	-0.373357509784997	-0.253014361466972	-0.412553033263206	-0.145551046768128	-0.274934103386385	-0.253696447482148	-0.281889936707309	-0.25416152213686	-0.149064945155429	-0.314959585739798	-0.176873849134744	-0.29404939605432	-0.273984457793205	-0.321323302512896	-0.186190765183782	-0.154037506069753	-0.199269045146035	-0.504811949050037	-0.192300860360017	-0.301522311257193	-0.422252653248118	-0.210108069375316	-0.145743207265851	-0.138338941895528	-0.213767441256225	-0.111830288855395	-0.153367210053024	-0.290688286836609	-0.474519996774328	-0.377716303047585	-0.332486722727754	-0.219286433469581	-0.279230163584883	-0.103389248345353	-0.349495044421436
"112401"	-0.156588980133449	-0.196673153958291	-0.104336109892283	-0.0912615622736356	-0.13673355686521	-0.0783940182788877	-0.123096960344581	-0.0732589577161666	0.0301324014011642	0.0685431152145274	-0.165769782636658	-0.173912990880772	-0.0762512295868303	-0.0555205483549699	0.0425330572026185	-0.261080913734041	-0.234575607520078	-0.0873390831082523	-0.165870638637929	-0.206415585389348	-0.151821939106169	-0.148046666122432	-0.142905234682663	-0.178745646913571	-0.0107126377707677	-0.0913077860730782	-0.0462638846353801	-0.0252323679839326	-0.127626630227338	-0.128417849790437	-0.227313375728571	-0.287725620395839	-0.134401488722351	-0.118982018528835	-0.00646989527233867	-0.16535417362357	-0.157656116099927	-0.045806172991022	-0.0525854725646957	-0.0620390882376518	-0.130408678487129	-0.236298141241483	-0.13038708926181	-0.0880317729516531	-0.112234996307509	0.156603874250682	-0.171164936826316	-0.0831562368931886	-0.169354759082193	-0.202652535070189	-0.120367407185708	-0.0234725900586212	-0.139458453868425	-0.156821451896245	-0.164187512877032	-0.0990282669647313	-0.0608664317308629	-0.207283742117892	-0.211718424752003	-0.192133185060347	-0.235264821428644	0.00371024455914257	0.0145229136786568	-0.220052048032966	-0.253380658126097	-0.0683006791485612	-0.0997820029322878	-1.05520219405164E-4	-0.20162277652988	-0.160031506502285	-0.0455770073600217	-0.192583632879995	-0.0451747735656468	-0.249080949373402	0.0168721009827195	-0.0902371017644972	-0.0913880825621129	-0.0905419197094558	-0.357381635085931	-0.0295661640300206	-0.115883948631204	-0.30773177848367	-0.133638658100258	0.00735706774735546	-0.269731727674108	-0.137504599069327	-0.048502381033623	-0.0792316688414106	0.0320030630698554	-0.129418540169761	-0.138150330315134	-0.0971530542678829	-0.0368254018817817	0.0879605733410786	-0.0639972052893389	-0.149997955450704	-0.137102072201722	-0.101834206893907	-0.0887662925458969	-0.213432685421921	-0.146406037993301	-0.116803035958298
"135927"	0.158096670820961	0.100362965837582	0.249194260715383	0.148033977064873	0.131060928058592	0.0906557118077569	0.141379493853208	0.219175321768749	0.230009784245964	0.103023724572327	0.0832624865571302	0.164883931797192	0.123835642209286	0.222822316620081	0.027393796601111	0.169652783199837	0.186998068572824	0.130226922459655	0.0234523502409603	0.112466720489305	0.0559138338591643	0.168554960806683	0.150384766611891	0.0875619110264011	0.189661854172874	0.162551400158667	0.128878445572114	0.151045497250396	0.161175849094566	0.139540079036493	0.181068647771838	0.101549276177637	0.119448711788343	0.143620728016025	0.187656167784224	0.169268021097042	0.117298545138094	0.221147839620253	0.179986947357764	0.221422732575426	0.106004185195414	0.137708178873926	0.06629441991221	0.112845844949671	0.115784985392049	0.0762274065410261	0.219307139373215	0.114707741535842	0.147076094312654	0.0741069172269582	0.0790092219625361	0.145832761124165	0.0352385235505277	0.120160050897339	0.189813208615364	0.127632403046159	0.104084239062874	0.201012889473861	0.118816120358985	0.215475370794647	0.0941878833768172	0.0940207084072168	0.0520704544489091	0.0905778935269893	0.092925649213583	0.0847508385935869	0.169964215392553	0.106504762878652	0.168287331280061	0.0687655141129547	0.160313167145254	0.121580814497679	0.106371912516667	0.14374673677416	0.0682314500985534	0.209931205920608	0.0318896216375497	0.0285445557370812	0.144694019661155	0.140417716981026	0.115956682267288	0.117581245040168	0.181125331164343	0.134125678168191	0.0674406034714884	0.131062468062128	0.129990553178322	0.0575830319919213	0.0565217796905461	0.168088558316555	0.211502203517354	0.11786842749025	0.0391949190453845	0.201453695169238	0.217644544302207	0.108929421309412	0.196980485029532	0.110615056949212	0.179464307652811	0.0966020147628182	0.0927826174086552	0.179801074701926
"55997"	-0.15188991539463	-0.038450325215258	-0.0430262852920259	-0.154202093950562	-0.0338413489483934	-0.101652672753975	-0.133764918753375	-0.119268115770365	-0.0857547643070496	-0.0328946848513905	-0.128116597793027	-0.183510130271151	-0.234474916405496	-0.0420627988132573	-0.0850858795435823	-0.196205262914468	-0.328241583498153	-0.314081017401216	-0.0298695069208834	-0.129361416213888	-0.0635297304573348	-0.10228684744279	-0.167938129493394	-0.128959188046687	-0.269054048838884	-0.152681067723568	-0.0557763376842002	-0.0895465189323036	-0.214981042472319	-0.00124577258776243	-0.113609154779649	-0.218703223430761	-0.0872623109933011	-0.268025522844012	-0.0395160361422577	-0.143138898070816	0.0542070850194017	-0.0491007196178576	-0.136349081463849	-0.123039046114676	-0.108787492210131	-0.223881078942197	-0.147453220073219	-0.223285870764607	-0.163001555529219	-0.0584624474137527	-0.0248525982458256	-0.148017657712674	-0.0524994691615899	-0.0857205705317442	-0.095875008328714	-0.313621451381943	-0.231062326669263	-0.118116147955637	-0.0699716093855106	-0.0685456025122738	-0.112403192727335	-0.196032575760088	-0.0610335463820787	-0.0379733020588402	-0.223456771132468	-0.0153144518117559	-0.0871960287543695	-0.171953769815392	-0.181720509290899	-0.0663239608753415	-0.174575762911583	-0.0801704452874401	-0.244735199131571	-0.113878895045862	0.103037388492046	-0.137530407407223	-0.168556091910373	-0.134119061414073	0.0709210226547024	-0.261350958957388	-0.113133413637017	-0.20687219424457	0.0214556770587028	-0.206552041252578	-0.301773981956521	-0.181452896478346	-0.117974323355269	-0.0712466565584855	-0.216269327073756	-0.191849747339798	-0.143595481626569	0.00557138853400773	-0.0381049654042179	-0.202354939064907	-0.182899327523463	-0.0178697293818648	-0.104480973720086	-0.0384845458530365	-0.127520562995102	-0.0563718898583335	-0.117935648112917	-0.129479075745345	-0.0804714643600941	-0.0684196354370377	0.0513387212942939	-0.162216246443239
"11316"	-1.03248745039326	-1.16793171335564	-0.875354651719069	-0.89256843344504	-0.744890784565189	-0.996867466468044	-1.05568834797946	-1.08080764632996	-1.09521090894106	-1.11152106280733	-1.02238675641759	-0.942148265460593	-1.01191509110907	-0.929103451205232	-0.622464953952469	-1.12224734870098	-1.18901979541364	-1.09949352086233	-0.919545861620139	-0.822035847816291	-0.510772545291185	-0.911488905377595	-0.877804021812358	-0.730439129781592	-0.969152593988542	-1.29912250262412	-0.92408862110555	-1.08318228126047	-1.14763750772433	-1.08889574707366	-0.999178044414338	-1.12118006469675	-1.05739261893401	-1.11267516176975	-0.94062951313783	-0.864721590482109	-0.924519369499558	-1.1303410524755	-0.986958221167399	-0.722601596021375	-0.989340112546122	-0.9524724025686	-0.794247835283201	-0.914279606666185	-0.646578021380379	-0.855881840249214	-1.1942178109731	-0.780752774407701	-1.09659446285282	-0.943986025723689	-0.804989036088491	-0.694759252666344	-0.996771257801178	-1.08570856290007	-1.0412590524359	-0.974056062707939	-0.969204450759461	-1.1370743147588	-1.03840654297092	-0.756801578471586	-1.01173357242732	-0.787104664805517	-0.915332784457563	-1.04080745258	-0.967023979533967	-0.626052898767054	-1.07141741044488	-1.12871770370456	-0.864745257125613	-0.81692389902205	-0.992362806845402	-0.963291352638108	-0.86250247600541	-0.941801920183519	-0.77398550952954	-1.05459706697071	-0.906315068872273	-0.761081147271621	-1.13589245582963	-1.0896026482942	-0.818868706054555	-1.02718551500818	-0.993285256888802	-1.07538790682957	-0.536735816748596	-0.816095637144687	-0.785097337440074	-0.836108117904547	-0.839099901086021	-1.02490476155105	-0.825809563504046	-0.896943620334999	-0.744168334471223	-1.11579171254586	-0.849075719112104	-0.916197749737097	-1.03045347280559	-0.997345745113188	-0.988966363284203	-0.835636059821148	-0.768547221795122	-0.995493456058711
"54165"	-0.136304735291518	-0.116591172831166	-0.207785169677834	-0.0844446330977829	-0.115248178999781	0.0367996540097746	-0.0088883418099612	-0.0859622666202062	0.148012514770844	0.0576406687367967	-0.135004334107649	-0.0859459992569722	-0.0337064967928891	0.0111099355225019	-0.0259343451264496	-0.0254346069705688	0.0154952334421208	-0.280819430477231	0.0627534164554855	-0.0929651642428368	-0.0845101259874328	0.0252159202089057	0.0550325926570042	-0.126959183359364	-0.27034376607768	-0.161386119805819	0.125870802962066	0.0485474933385423	-0.00422615157745523	-0.259269217806082	-0.112894227995684	-0.1046146426715	0.00653480623409361	-0.0893329131241041	0.229304726948716	0.04387574894139	-0.0499435169925635	-0.120536764777461	0.0356844359161197	0.0449444444087868	-0.0527939027672341	-0.033283764139395	-0.239735654152101	0.0255002056697827	-0.0801642357175673	-0.193111025620942	0.047554924114896	-0.0786987607926262	0.0140890626666695	-0.0768148941728748	0.0999862765297307	0.0722140473032356	0.0263742421562535	-0.0673593934583468	0.0614985387003548	0.0780456407298879	0.104901898418308	-0.188369180979014	0.0678564408174141	-0.121151916066282	0.129883463271072	-0.0648584396527975	-0.0254326079853708	0.0284513599870522	-0.0671003249709609	-0.0780395203546308	-0.129759247708518	0.0167421818112258	-0.101652831439752	-0.202737576118849	-0.215452433391861	-0.0849606079236252	0.103057818371821	-0.00684465752781631	-0.192780390367517	0.214540394256257	-0.0528212985732892	-0.0130608093974659	0.00219399136553297	-0.0141896116595149	-0.220509407025913	0.0310549056421491	-0.12471597226526	-0.108564617800804	-0.0617479245687052	0.0897485887501809	-0.118985869926697	-0.0374108136445567	0.0164771213720961	-0.0216075978027273	0.0111247455520685	-0.153197780681976	-0.0226903494597163	0.122793802053739	-0.100416821296833	-0.107529431649065	0.0405110026419947	0.0942870958469926	-0.0289273043935094	0.0632721754687378	-0.114352964275257	-0.0770106798368313
"93099"	-0.277128577965822	-0.404783604915648	-0.239426022990419	-0.242504583613709	-0.39489205598784	-0.275449138282921	-0.187959608311893	-0.220558000298365	-0.179675043905217	-0.320356156815192	-0.277176348136129	-0.29316422573343	-0.346113540256231	-0.242867793286814	-0.18916451037746	-0.41501883574641	-0.138222879938633	-0.237736083038536	-0.391537770026033	-0.260965821142679	-0.356724523276091	-0.328209400036085	-0.330606467693676	-0.076299489737554	-0.421127375140381	-0.542634957320808	-0.34315705522482	-0.203571478875321	-0.344429361651125	-0.152153437845499	-0.429032427954626	-0.525158856905526	-0.271644768176465	-0.173220310538085	-0.318503500358804	-0.378273921682656	-0.429135865917728	-0.193180462056971	-0.181118942929661	-0.324698701031141	-0.279139890949597	-0.196266955100823	-0.177799331306844	-0.210007283238421	-0.440216990928977	-0.454059118677814	-0.40546159726178	-0.305399639444914	-0.355924031163194	-0.325138546814497	-0.415130959815285	-0.158148879944231	-0.255130023291541	-0.230503904178927	-0.236240754609791	-0.253057494876451	-0.263831924458373	-0.364313024131849	-0.250465754233472	-0.387357245822362	-0.0749732687198319	-0.223350382676264	-0.419491240450707	-0.253086676423289	-0.190543440144471	-0.403135216595014	-0.396754158060247	-0.320145731252665	-0.384153369084612	-0.264647448349467	-0.279433624647704	-0.224045240483866	-0.334321197886815	-0.298416397048585	-0.334074970811686	-0.30087258536704	-0.40799307910423	-0.0326180298476392	-0.450470932702313	-0.453089398858714	-0.467058742521905	-0.197222050125079	-0.253431039837106	-0.382490431987814	-0.256949633183473	-0.338106265570568	-0.279624018635029	-0.252374706752087	-0.156110292846895	-0.38426869068105	-0.291493887026098	-0.221393172177786	-0.29109336233241	-0.439118034975807	-0.0323043807658711	-0.261343740832252	-0.213707388810155	-0.259307394728976	-0.241534621538884	-0.359198759650954	-0.28757139293732	-0.41652896835912
"400954"	-0.192616425045158	-0.305485508302094	-0.248036826256345	-0.233967174180243	-0.263462336658566	-0.25451040664937	-0.225870460749266	-0.15836300963753	-0.126896824994219	-0.336521080616967	-0.126613763820305	-0.263179510044961	-0.147606207981728	-0.129413363997571	-0.17963856283061	-0.254744796402148	-0.159614293160268	-0.174720986390144	-0.281746108886142	-0.280532423533422	-0.162990498397596	-0.282597442509769	-0.213427019516164	-0.24190175781513	-0.0916539083302085	-0.235334301519337	-0.224545739850947	-0.154323503289161	-0.164543342653748	-0.218145613984158	-0.243224815269914	-0.286579732961431	-0.23852364477349	-0.0538611866934657	-0.225731895869991	-0.275760019648394	-0.19263955156187	-0.125862902404589	-0.226099212797407	-0.209448183473758	-0.225984799677676	-0.309619586774081	-0.129576902082113	-0.315550495549835	-0.313484831106743	-0.386160366985629	-0.0675624949957157	-0.255070241806265	-0.14960862535532	-0.225890138260071	-0.212386322009858	-0.264889397432828	-0.218917958106993	-0.214492991826751	-0.228238896117133	0.10072549229585	-0.210062528890326	-0.0837628793707606	-0.152735905626569	-0.241008776933901	-0.185530511601974	-0.15120429995654	-0.262177045888246	-0.21464332734994	-0.0372089853795446	-0.296939234561971	-0.376584375194764	-0.102116690483837	-0.217393048075375	-0.181546375752094	-0.304025685104293	-0.197373414222793	-0.160645346159155	-0.266762969953451	-0.27442922358877	-0.184578884847386	-0.180864836124091	-0.112535239050064	-0.262907059919912	-0.153447025458639	-0.299935641644557	-0.204353202788771	-0.353623332878994	-0.307415159223644	-0.174056209980337	-0.257147380477548	-0.292846841459497	-0.166346717211272	-0.0613623126089138	-0.281698568470333	-0.163525472436332	-0.271816040618036	-0.22347428906783	-0.332933656582793	-0.354013658202076	-0.29488459051258	-0.337388970810796	-0.23891199877399	-0.157475471548969	-0.15660314038984	-0.253615875189232	-0.116573052933303
