	"ACH.000095"	"ACH.000097"	"ACH.000118"	"ACH.000223"	"ACH.000228"	"ACH.000232"	"ACH.000235"	"ACH.000256"	"ACH.000264"	"ACH.000280"	"ACH.000291"	"ACH.000293"	"ACH.000311"	"ACH.000318"	"ACH.000374"	"ACH.000376"	"ACH.000383"	"ACH.000397"	"ACH.000414"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000466"	"ACH.000471"	"ACH.000517"	"ACH.000524"	"ACH.000571"	"ACH.000608"	"ACH.000630"	"ACH.000657"	"ACH.000681"	"ACH.000683"	"ACH.000699"	"ACH.000778"	"ACH.000785"	"ACH.000796"	"ACH.000824"	"ACH.000835"	"ACH.000858"	"ACH.000867"	"ACH.000901"	"ACH.000906"	"ACH.000915"	"ACH.000943"	"ACH.001028"	"ACH.001205"	"ACH.001228"	"ACH.001353"	"ACH.001368"	"ACH.001377"	"ACH.001554"
"148"	0.255016897410084	0.197663755161125	0.113912551646355	0.198277672291164	0.149096050138512	0.259153681058994	0.234844896125572	0.15913245185715	0.146414318653351	0.183938719998309	0.180582698063658	0.220730473948336	0.218515586748914	0.249884594997826	0.0830996260684614	0.0965657879494504	0.217530745864194	0.201069497800142	0.167748324784434	0.16941105426115	0.275215171107669	0.285752130381999	0.0890337767407174	0.0665768387129719	0.251948417636747	0.149333378715375	0.182939937514643	0.19631953022299	0.12801671239044	0.194574840618581	0.215406743310088	0.150885628979274	0.198385624569767	0.0795730996347042	0.232486488220626	0.0768409275802676	0.174104187918733	0.254929760085903	0.229602508262591	0.186819368319024	0.148682697903415	0.177315032936577	0.207231326830162	0.164804090678748	0.227566588387097	0.0676531266082415	0.219385425824916	0.25837517452561	0.277712989260793	0.166120434420695	0.261218184833427
"213"	0.0858146108022023	0.0152310615016482	0.0743799355126421	0.126674366800268	-0.036198131989267	0.136647965745123	0.0950455021699396	0.160177756406236	0.0922246243682557	0.0421189247797088	0.170286966338637	0.040369280073597	0.107428022102329	-0.047853765880846	0.0756169383989461	0.0876806300652035	0.0565179123077345	0.0193122908235566	0.141593278733483	0.0144662620987585	0.00883150694002094	0.0834834377764877	0.0640156767814732	0.0538788572031581	0.076704163044145	0.0690232698945366	0.056219653338291	0.0326456432115813	0.00179686040613526	0.125787075360052	0.0634743870616577	0.077989580225073	0.0905153965912505	0.0892946093551155	0.0159905339183116	0.15268633004372	-0.0494274410938854	-0.0289329394585817	0.0747661362153415	0.0571388979389591	-0.0107537805016728	7.97473671580851E-4	0.105491118998719	0.091682187480369	0.0599916901879633	0.10202520231711	-0.0576576001262461	-0.0252454680709665	-0.0649054844974031	0.101151813895335	-0.00273519760996314
"9546"	0.172840587328251	0.157232181242898	0.0800277420582606	0.232768645723449	0.217542561747695	0.0909289457796841	0.135477874390542	0.167480096715362	0.11830044767337	-0.0133137911811312	0.156571889445566	0.14836230386997	0.0663593231774999	0.185630252933633	0.19174030900794	0.217499587332194	0.135423386696081	0.20383212306953	0.26820358206071	0.151367326009503	0.115250351385468	-0.0466395657590048	0.228389515595892	0.132905953480324	0.102156189609933	0.0942646729349381	0.107445169255755	0.0603777305638896	0.0776312568085491	0.174102773973341	0.0466512301079487	0.0693761348814579	0.161003980828984	0.111497339419859	0.0673958707586285	0.0552535019243573	0.163618286691418	-0.0492863157346181	0.00669439535750138	0.121280803211168	0.0731800740027974	0.0800588428164195	0.090237269203254	0.103869406005976	0.132649885878594	0.181467820430548	0.240039516666512	0.0723973722243774	0.0416805609483244	0.258412318967996	0.158477358042833
"489"	-0.0598252282160804	-0.114822902552727	-0.20612412426866	0.0209292648199475	-0.054559451353349	-0.124179354690001	-0.029172602005119	-0.124653919364454	-0.0137547243138596	-0.0373744725715448	-0.0424255523263864	-0.16191593736675	-0.0867778709936563	0.06056960723789	0.030644994002233	-0.0591448553087703	-0.0436000027961498	-0.00105079796088945	-0.1210395271381	-0.107653903930586	-0.128189497029413	-0.146432673229278	0.0108673379278366	-0.13194696816446	-0.0313760849858427	-0.0280948133044385	-0.0970844491120033	0.0239215262112875	-0.0157389389090493	-0.110403781796583	-0.072596986116627	0.0209009302911213	0.00366423522715131	0.0222677944485135	-0.0420731562244323	-0.082486636858271	-0.0897051898448778	0.0935195851627771	0.0382773905036119	-0.0637473555417356	0.00919332030336502	-0.00268543033248441	-0.197224332718413	-0.0889548588561546	-0.0782353173331969	0.0629536306597688	-0.0318939963002887	0.0328632072075004	-0.0745732202770668	-0.0919183388450947	-0.0230001479715832
"90580"	-0.362602787573102	-0.359724717582226	-0.525279405868773	-0.306524034174946	-0.662838490322886	-0.511573879734313	-0.487794771116064	-0.543710128677703	-0.295500077863607	-0.484537598413082	-0.728751851167484	-0.626086002870689	-0.362854787746386	-0.493890611835832	-0.560605536995369	-0.398298477202023	-0.450709745834176	-0.212259247890565	-0.426269767652166	-0.208883028470088	-0.658764817966417	-0.852723554652364	-0.671936191697995	-0.572166416658729	-0.323737363570856	-0.498639797024046	-0.370461290122431	-0.621931325881482	-0.545316649378666	-0.445167547963024	-0.530794577392601	-0.414063809866186	-0.690158358122232	-0.556975756737364	-0.237014456498753	-0.219210389575269	-0.289242958363287	-0.494996193529427	-0.553445368417466	-0.203065681555834	-0.573340897103771	-0.477104983414243	-0.480674436346589	-0.498463674001351	-0.529051661200917	-0.463412208438695	-0.251059985266759	-0.498742899035051	-0.618731852511379	-0.49307544567797	-0.562907516838455
"445571"	-0.589550237190836	-0.639855340596826	-0.531784596889266	-0.630173755329233	-0.613036588232981	-0.574668571741521	-0.582363535386354	-0.64086527736769	-0.418957445198114	-0.510335173926329	-0.564478902896638	-0.616204599643597	-0.510512381058391	-0.550943310856493	-0.571222309051391	-0.518599265135133	-0.556345946160335	-0.552837967207938	-0.537122162580899	-0.536641802608832	-0.57087857283757	-0.545465072714703	-0.472881320741208	-0.574709121960135	-0.414732166013865	-0.41657843856979	-0.575552100801249	-0.588471793576009	-0.497303894117275	-0.567310065905007	-0.472838697726447	-0.534148511086465	-0.563526553966578	-0.478661962996118	-0.593863964385198	-0.602535102383999	-0.416709749885016	-0.631504748403261	-0.633679654153173	-0.428166553011845	-0.462868705581707	-0.595498469815548	-0.583932021502775	-0.577798630794834	-0.540980347849469	-0.51192375030835	-0.62579464876139	-0.568824680778607	-0.516397351517258	-0.530836473455852	-0.508940898291535
"90799"	-0.0888426357454904	0.118404736655314	-0.116854607818752	-0.0642489625290205	0.0466429389304288	0.0373526366175084	-0.143120975485875	-0.142039355192254	-0.160492058512937	0.0446123377655294	0.0759720850661565	0.048236842363245	0.0275270317347772	0.0489960614043629	0.0713710665298839	-0.0161166416742129	-0.0372483916504186	0.0946574669232726	-0.151379151334822	2.1272934476053E-4	-0.0219202901809059	0.0923779789391675	-0.0697487349270053	-0.00809401970376569	0.0744629455371345	0.0313727201118996	-0.00896740389616889	-0.0429272695426808	-0.0266782784509679	0.0382893263462664	0.0156024978364381	-0.0108577822116213	0.0788868080754576	0.126825012947952	0.00171495295831985	0.0815419046094095	0.0119551030792616	-0.0114897249404214	-0.00656340534276764	0.0172265622544962	-0.0328433571597825	0.00940981449804639	-0.0199099282327066	0.0105533528681458	-0.0123240358842302	0.0502419427495877	0.0133287364881923	0.0849347324453617	-0.149803896528646	0.0528850305623103	0.0199899350569099
"1180"	0.09679158503153	0.0760815685234112	0.0157108886014576	0.0190875936963117	0.129863848941503	-0.072650107548163	0.0734376846165163	0.0277216794728239	0.0624755254529185	0.0886193796711054	-0.151427597068394	-0.101504145574997	0.047909670131133	0.0697408370373667	-0.04761433441107	-0.00411330401939562	0.0134864224650946	0.0699666385886672	0.0546304563460849	0.0894227246095935	0.0917840425910214	-0.136354146404213	-0.0311984982308575	-0.0993467143495052	0.0533539605995398	0.0416375554007462	-0.0201439892533859	0.0604540491197076	-0.0287143563389838	0.00245983460845556	-0.00727131696427223	0.0550354877818175	0.152490098646834	0.0345411460249861	0.0301981406953758	-0.00278910681646108	0.11702596710175	0.0665791318719015	0.0975497214400979	0.0296882077255249	-0.00812326642676544	-0.0291241534958836	0.118727497266679	-0.0213217221708934	0.0285429409268468	0.0745133715992219	0.0242502306568044	0.113194392884024	0.0141415996804637	0.0344130731878648	-0.0946301459959705
"81577"	-0.0314735131925162	0.0458035492475601	-0.0806585888281817	0.0116544712736111	0.0816704722944441	0.0640664661305419	-0.107830515431934	-0.0011078850058372	0.0146429543142977	0.0130836325925297	0.0786086185127397	-0.0765680337326907	0.0272491938155447	0.0217211299183623	-0.00488341079848133	0.0122719668602424	-0.0363710958210148	-0.0513185142913208	-0.0722157187454613	-0.0195179746775989	-0.0949557630649525	-0.181321770702415	-0.0814669354291237	0.00524218449849629	-0.0361402859576382	0.031611611580337	-0.0568310506875414	-0.0790491520199049	-0.0249346615439926	0.092493090178893	0.138666672555858	-0.0105377014724819	-0.0870701218407629	-0.0461498298841178	-0.107914287633751	0.00432998596821912	-0.0400165605870581	-0.0671070112275509	0.0285018448706676	0.018114826145544	-0.0278257781690617	0.00197808624054267	-0.0725065134723176	0.00291238337204163	-0.0026960098327149	0.105985575095578	0.030124086372729	-0.0804138147564487	-0.0435367769084321	-0.0753664483592516	0.0119875820270732
"2994"	-0.0722366315155791	-0.105253743652017	0.031573634427698	0.0152462268042839	-0.143479458008261	-0.0438570027439731	-0.0929893874498979	-0.0347837929722236	-0.0389905253229981	0.0106146401715787	-0.1476440220439	-0.131577804900124	-0.114924870794464	-0.0128126433709347	-0.216703472672024	-0.119576168127779	-0.0589911582011514	-0.0768960752175041	-0.227090819943552	-0.0764363505812292	-0.114043720962264	-0.144064174370344	-0.0863041280252057	-0.0738962187215924	-0.102675082611855	-0.0634964827084265	-0.060685151551864	-0.1020646345707	-0.0843697192255097	-0.0291148563119735	-0.00452330823285502	-0.0878023780948772	-0.160674309796305	-0.104229478099726	-0.0338806220370797	-0.0514026498065416	-0.0503351468698636	-0.0270680993072359	-0.119119863311867	-0.0628901781335746	-0.00613559450326489	-0.0352356925997197	-0.0503626880639528	-0.0771607094911369	-0.096655927112683	-0.0641706121512822	-0.0781903964439314	-0.173326743759129	-0.0660640293704161	-0.0904947942253831	0.0381504283287851
