	"ACH.000007"	"ACH.000108"	"ACH.000159"	"ACH.000189"	"ACH.000234"	"ACH.000235"	"ACH.000262"	"ACH.000272"	"ACH.000324"	"ACH.000390"	"ACH.000406"	"ACH.000495"	"ACH.000649"	"ACH.000657"	"ACH.000663"	"ACH.000684"	"ACH.000711"	"ACH.000721"	"ACH.000791"	"ACH.000887"	"ACH.000906"	"ACH.001274"
"25906"	-0.649759470695869	-0.513850033557036	-0.402421217884563	-0.554032359915107	-0.698937140370581	-0.817412305140758	-0.860514715965214	-0.435296691171244	-0.917303685529079	-1.0139386949781	-0.973904890153371	-0.788479242680251	-0.845046183134111	-0.845918507131284	-0.565444390212127	-0.824668238892103	-0.669893462754874	-0.944643497525166	-0.797543781026285	-0.554181320320737	-0.831271068784361	-0.699043763736688
"10139"	-0.416965537730827	-0.562402448394419	-0.499051954280796	-0.357589496764612	-0.499224726069608	-0.400985009064508	-0.594827248507881	-0.476516251978825	-0.576987424575148	-0.319838594390434	-0.245797072466964	-0.596802010599038	-0.588471716053199	-0.570891583438655	-0.523829798901652	-0.585352226592856	-0.463979472656379	-0.459546818655816	-0.188220428488152	-0.526621591144476	-0.526352251410134	-0.587744655291612
"85300"	-0.0583946148928158	-0.255935652460123	-0.200575840804491	-0.117241588629437	-0.264224237910558	-0.219558215828621	-0.246270094772791	-0.175168255014209	-0.232381051927924	-0.195235893008889	-0.223391150612905	-0.166616484223853	-0.163488666878064	-0.226140991657686	-0.209276049742291	-0.271218845372816	-0.214469443669244	-0.23605751519605	-0.144265340034187	-0.169626244396337	-0.213264984453471	-0.152272839380945
"146227"	-0.0435250281304817	-0.033937122567	-0.139370224592381	0.0706527097808177	0.0467511919766893	-0.131977350336603	-0.0517323871753011	-0.0116454457242726	-0.024234026381622	-0.206656526157074	-0.138609564686243	0.0025544616565956	-0.00510783752555823	-0.119676511833725	0.0618615982147268	-0.102046738556989	-0.0688271354582051	-0.175986634660454	-0.0778486835891736	-0.040140354931849	-0.0579191244694073	0.0506010885795727
"9184"	-1.51232809012784	-1.67767122857023	-1.58062797737258	-1.60405734303714	-1.80923512491235	-1.56500872189887	-1.51394723716224	-1.49615643229069	-1.56862347222131	-1.51061201546556	-1.89718190590057	-1.58979051893169	-1.70734700917921	-1.66511166071353	-1.642505884979	-1.66995823413529	-1.54427913450468	-1.50575913777934	-1.76327319460085	-1.61630814366391	-1.51188995903641	-1.65137945986919
"100130988"	0.0819126122871881	0.143401428174334	0.0346686606090328	0.128622271572992	0.109794279647784	0.0335901687218779	0.126307429841039	-0.0243895232888886	0.0268339228226256	0.05787747550331	0.060290176601142	0.0744130062748442	0.0178085781134688	-0.00345812216882269	0.122021934006613	0.111580393118614	0.0866779714840894	0.0755345448917962	0.100312926043658	0.0860743993678314	0.0269262015593333	0.107014270030461
"8208"	-1.43628794126988	-1.40434543076764	-1.44010624888143	-1.31992110679813	-1.48689131893406	-1.40111328130734	-1.51273227171826	-1.3510146227649	-1.48100083495657	-1.6089617929133	-1.63826793564568	-1.22939269982574	-1.40254699101563	-1.58954567408315	-1.4341371738834	-1.56231247482441	-1.38306518689157	-1.4394054062622	-1.46628059335161	-1.48433447784088	-1.46254093394429	-1.37908157782635
"283420"	-0.0583120369131359	0.263608898004082	0.00844529474440488	0.0550335281729957	0.115794274073691	0.0365831187591666	0.0791439198501021	-0.0480623909933049	-0.021274103724921	0.0933453405690889	0.0776510533873516	0.0973816282093414	0.0215966392227538	0.0161567920717084	0.0504122815467256	0.023130879047069	0.0553818976300975	-0.071816622987917	0.10945042806983	0.0384617920916318	0.0515769403801607	-0.0698292187915394
"1297"	-0.16476068217977	-0.192881301328893	-0.123659262415815	0.00105965658314029	-0.144722443900296	-0.148640013783153	-0.23568005594151	-0.0554656661346571	-0.123614543076753	-0.161850456708834	-0.0572847284031476	-0.207615227127317	-0.00344404965363343	-0.121281534717221	-0.0956283336238293	0.181218320746467	-0.125132541722212	-0.176601010017634	-0.119719988193478	-0.136033365541479	-0.170182948222161	-0.155028006808934
"11052"	-0.740268420749501	-0.792295521132449	-0.439713172951024	-0.55000850848779	-0.643140518770608	-0.688658591237571	-0.483256183157067	-0.454189520695826	-0.598598840316144	-0.513395863124192	-0.690379614420446	-0.633959682494663	-0.561947333542167	-0.677058120463325	-0.595566068546427	-0.688808740516985	-0.65811847385018	-0.408012391940326	-0.577437014240956	-0.641608548083522	-0.693196005691363	-0.83376980858211
"1981"	-0.748435089060096	-0.659709297426348	-0.668829994509496	-0.609318766647639	-0.719305703913488	-0.726438733408981	-0.721159280684531	-0.714032229804109	-0.50695489534444	-0.621251783642885	-0.657090128728482	-0.639786203545719	-0.735232926767436	-0.687574115291586	-0.52010556611823	-0.610577097761807	-0.501558363024858	-0.656569372050431	-0.709626997784419	-0.831669696037576	-0.652095577801029	-0.662559702638426
"2079"	-1.11256736118009	-1.17520458741836	-1.13459415891085	-1.05715092938767	-1.13957206837075	-1.03493378690652	-1.23870129161185	-1.22122989001216	-1.04263914510032	-1.10458703112258	-1.11271059133905	-1.3316123304394	-1.0246017272064	-1.08277070367268	-0.868988239140965	-1.30502321863473	-1.22758793578105	-1.06283263547987	-1.2138275263104	-1.08787416037617	-1.03894476230332	-1.02325310760864
"2098"	0.060749618498569	0.136448924065593	0.0188825155711269	0.0183713845991611	0.0154636928412177	0.0672305299856371	0.142389362825094	0.117731946401574	0.0979616074169374	0.0517121348083811	0.150254400575675	0.233709124571558	0.0595651410370788	0.0712288099962781	0.0512839073521301	0.132108994994982	0.0429688546186152	0.0915388848339117	0.0741700330279004	0.111212136170106	0.0958343250590679	0.0249918303738188
"79152"	-0.272270009198227	-0.17680337149642	-0.0978313232305326	0.0434683043713444	-0.0499930430391018	-0.142438615693017	-0.0561714516489556	-0.0814403634504984	-0.113481832491871	-0.124948799808677	-0.0737016461966036	-0.20306123183881	-0.148982163868176	-0.180924296005606	-0.14370540296113	-0.0833334725516436	-0.13296263191594	-0.103894423889356	-0.130766280682286	-0.107372743710992	-0.064698354434171	-0.122237606454983
