	"ACH.000009"	"ACH.000015"	"ACH.000017"	"ACH.000021"	"ACH.000022"	"ACH.000028"	"ACH.000036"	"ACH.000053"	"ACH.000113"	"ACH.000142"	"ACH.000146"	"ACH.000150"	"ACH.000159"	"ACH.000178"	"ACH.000221"	"ACH.000233"	"ACH.000235"	"ACH.000237"	"ACH.000248"	"ACH.000252"	"ACH.000272"	"ACH.000278"	"ACH.000331"	"ACH.000334"	"ACH.000383"	"ACH.000401"	"ACH.000404"	"ACH.000415"	"ACH.000416"	"ACH.000454"	"ACH.000467"	"ACH.000480"	"ACH.000487"	"ACH.000545"	"ACH.000547"	"ACH.000557"	"ACH.000584"	"ACH.000585"	"ACH.000616"	"ACH.000618"	"ACH.000620"	"ACH.000633"	"ACH.000652"	"ACH.000657"	"ACH.000665"	"ACH.000681"	"ACH.000706"	"ACH.000732"	"ACH.000734"	"ACH.000757"	"ACH.000785"	"ACH.000796"	"ACH.000804"	"ACH.000823"	"ACH.000827"	"ACH.000829"	"ACH.000833"	"ACH.000834"	"ACH.000836"	"ACH.000840"	"ACH.000841"	"ACH.000858"	"ACH.000865"	"ACH.000869"	"ACH.000878"	"ACH.000887"	"ACH.000911"	"ACH.000917"	"ACH.000950"	"ACH.000957"	"ACH.000958"	"ACH.000984"	"ACH.001028"	"ACH.001134"	"ACH.001239"	"ACH.001274"	"ACH.001306"	"ACH.001346"	"ACH.001450"	"ACH.001496"	"ACH.001554"	"ACH.001736"	"ACH.001740"	"ACH.001745"
"389337"	-0.0807509708046469	-0.0509309004840416	0.0335053789753724	0.0964792832319477	0.0364014707964746	0.201391977786934	0.0358027077357723	0.0696418754930929	0.133332693193201	0.00971329168913961	0.112987638153955	0.00986442551151046	0.0172638422503731	0.0848287170101279	0.149109494705529	0.0764445881073093	0.117166797443887	0.109300410015891	0.209126492157133	-0.015193360216339	0.0802911163616399	0.0935054513427671	0.0824376630380489	0.177855633172907	0.109293076583029	-0.00433452011364125	-0.0581568134725169	0.037429708773715	0.0821376291401463	-0.029890972186609	0.106414709330666	0.263181913963163	0.0891456554067246	-0.0652268165542721	0.0851277044385004	8.84900824152994E-4	0.0360536067694995	0.11443512975934	0.045338086509888	0.138650645360226	0.166739521184221	0.0367931455310475	0.102042171132043	0.0884187166865202	0.0836723809237861	0.131655071281138	0.148321787434899	0.103668826695849	0.209776203680684	0.113567436956987	0.131936936647924	0.0997179635841276	0.146776309945764	0.0624996076202652	0.13122175689593	0.171799521851261	0.139080898402624	0.183336068174616	0.186500802709226	0.0731679874141126	0.017337285206578	0.0698005230905642	0.00955660596549205	0.138047654626404	0.0788160086569193	0.132733321269221	0.12113186945035	0.219328575080964	0.12052361225852	0.194487085911461	0.217961826695704	-0.0258054615671953	0.0778833255718398	0.156041487238334	0.123192902324404	0.051988262917384	0.114884346289377	0.0529606583410318	0.0573960766839804	0.0726243489482224	0.196091787095716	0.123965280595627	0.0964828639384085	0.138307754310301
"128602"	0.107050026995354	0.174205361716037	0.135672008210633	0.144108511692036	0.19746378102303	-0.149630096976134	0.0526331318103237	0.156661605705537	-0.0499953806929716	0.195547267932797	0.0986879378584218	-0.00981857902294841	-0.0167540268571038	0.0835888396981855	-0.109226095445137	0.0817110508019525	0.0421977251696328	0.122269802528111	-0.0400943848517176	-0.128326024142876	0.050313973188555	-0.0772276771996192	-0.0236151865984531	0.0979920884366437	0.10465995599053	0.0213311055552174	0.276838832796959	0.0556689663013482	0.0826132828848923	0.0748688420090686	0.148097631500226	0.204809008367794	-0.0123587707663637	-0.15594058498302	0.0496088020266639	-0.065894269794991	0.23745783736172	0.0907250662342954	0.0234493241393165	0.130509736229581	0.0892572701020825	0.17894085766856	-0.109783317889382	0.0836260116506511	0.0414749265129558	-0.040609859337148	0.0956735755293845	0.122347573382694	0.229122713733468	0.0763734454719414	-0.059167465273166	0.162832061534255	0.264999855687423	0.128698353521029	0.0542736193394165	-0.0184972796871666	-0.0161102321765806	0.0560071002156642	0.0267310812043384	0.0251241970147682	0.0798801972918825	0.0749065663095637	0.100760224402966	-0.0179927846325681	-0.0220055118405983	0.116036507362814	-0.152592485074637	0.131900447027988	0.0769337470294916	0.0350970832554931	0.244727096575777	0.106295436590794	0.110826669303452	0.00170817727337822	0.0209896620898964	0.154297458458337	0.163450588108352	0.232589756823346	-0.170800853522418	0.196212071283415	0.0844133215327939	0.105009328465795	0.0188705495449354	-0.0822941164611618
"85445"	0.160557562105544	0.219869751250314	0.331492433261533	0.189868325243246	0.227331180141895	0.296919112827054	0.236902095630268	0.180736240898854	0.225283475500964	0.159053893299471	0.239534514411514	0.216248593937726	0.370282087342768	0.0845785104309537	0.183014891993059	0.147914822900874	0.19070693143798	0.143527220678202	0.278320327141833	0.17475294941802	0.183873843081042	0.243904163655584	0.254134809513887	0.166735763426038	0.22491351030597	0.0727646788378238	0.230045190582974	0.293016177080867	0.378737644286121	0.195880377108898	0.191958879067469	0.129157841444814	0.270875315130739	0.271367601031395	0.30941333062313	0.132790585868531	0.152473919273672	0.207187702992671	0.16227042401481	0.270585935493864	0.229872267666622	0.286637170764416	0.162016356897561	0.299228377470137	0.239142263278209	0.250868961947522	0.251489809761841	0.154290258983061	0.230086597599676	0.176030813866133	0.193724340640513	0.232634495725488	0.265388646953479	0.249067760626038	0.210128438226543	0.13587901323096	0.280427198155503	0.187156646485373	0.305999160820352	0.00138052057746316	0.19207047242515	0.347156198928836	0.259401774021284	0.211125845897124	0.31914286034799	0.244480313721201	0.290193111798552	0.226154845003968	0.292929697957187	0.205751098780229	0.153554177190991	0.201160537447601	0.165057621610353	0.189340602582342	0.17953246805826	0.255695491837255	0.383739131009604	0.276448216678335	0.0861671204438005	0.0937604947975371	0.111645916220877	0.228394902436669	0.314367525175729	0.10988093978415
"51692"	-0.72020571665029	-0.889839823915945	-0.843320008670471	-0.83990308127173	-0.751753424313629	-0.750556050913068	-0.81785888585354	-0.960970731664732	-0.677842092825041	-0.839073682744647	-0.966918615262422	-0.830808367999914	-0.777135367975367	-0.866517045314344	-0.598379897228176	-0.910302866906376	-0.804899406907401	-0.82363466851261	-0.832674860669664	-0.992098001621845	-0.879354709147972	-0.832243837012952	-0.739875866475732	-0.636960295442032	-0.677610387177303	-0.58207485893092	-0.628906170572507	-0.874830640750072	-0.886794387174691	-0.88603556643694	-0.831585863782773	-0.591607879256725	-0.755606018183048	-0.974949735628883	-0.71399538601571	-0.707778919555469	-0.812248297948287	-0.804306607626902	-0.867578088880079	-0.879718201296906	-0.749602822677699	-0.555054179574458	-0.765426435882438	-0.812690088769375	-0.98078608667889	-0.551113050572824	-0.714462717762875	-0.652730615204283	-0.788865862605494	-0.564258772746357	-0.771632046595046	-1.0113838332905	-1.37200452111763	-0.908136727634246	-0.748606619102938	-0.937749773999264	-0.548040612911357	-0.74122210543431	-0.566525417856017	-0.965113891327614	-0.902555097065077	-0.738739771268693	-0.921566450173326	-0.632109306073044	-0.931729455076855	-0.742847774560473	-0.741116674646948	-0.796953108023912	-0.865565629689129	-0.676423576051335	-0.890448623410565	-0.755223409970015	-0.666455268927507	-0.689185001590436	-0.809108877567857	-0.95382715236439	-0.96070963100436	-0.909645189474129	-0.6860563829455	-0.633634581411461	-0.861857991544807	-0.917446540191778	-0.746873441853154	-0.718924397189559
"3301"	-0.645092690688095	-0.514304232935781	-0.826258181457057	-0.472071428271621	-0.457573056424359	-0.61042554175774	-0.408865504276034	-0.491229035824144	-0.545735530040443	-0.407465022525132	-0.344441447189493	-0.490624574236544	-0.334243312532942	-0.465195452673152	-0.501778133458528	-0.294559586245451	-0.365273179788554	-0.469687256837203	-0.454438233448272	-0.720538356448051	-0.464012330078235	-0.642985570393421	-0.335537826081039	-0.534559887068292	-0.431119605184457	-0.398832991484391	-0.428135015673178	-0.459936533805971	-0.347206376062932	-0.119564249741622	-0.442794042263241	-0.45766214710464	-0.446101437077889	-0.354097612288579	-0.474763208464574	-0.268459948873274	-0.282557068325591	-0.369843323592628	-0.502303608989608	-0.370726656452393	-0.181631827294727	-0.268110400137912	-0.199566701939999	-0.38270596062537	-0.510982198408468	-0.26154231205885	-0.304201775460989	-0.431756864481445	-0.524036418605088	-0.516896851145328	-0.50369723179813	-0.515117406257411	-0.415409773351443	-0.685780050623527	-0.502213076478684	-0.491912316154741	-0.119745696130057	-0.564197038865869	-0.428330332976829	-0.466101718050242	-0.39618894594405	-0.414536239059342	-0.312676268565788	-0.609259546913206	-0.688967986426546	-0.206508179156367	-0.345996499182834	-0.418669228227783	-0.443458970491235	-0.438359009466642	-0.438931046592432	-0.494497187814226	-0.501197626084337	-0.4904964205195	-0.59722129501189	-0.616287951882063	-0.257056645579278	-0.373202353563624	-0.548606236916623	-0.757104288976669	-0.394796410179949	-0.385135689351352	-0.539412900548604	-0.614624277426384
"1809"	0.113920172900878	-0.0194550562094379	0.126979354547469	0.154266324560358	0.0888443411947748	0.0406291278838703	0.145800939432788	0.0155658765246133	0.125421577496035	0.0958199515420841	0.111153531026754	0.0246064962456335	0.0478346457647447	0.0540074675114754	-0.00625461933881505	-0.054274891177158	0.0897463548071677	0.0450461964328882	0.128657692877268	-0.0077895928997627	0.0928531809200002	0.0880348733228553	0.0878005962378249	0.269467806569229	0.0519898714949369	0.11965870443986	0.0848018714252248	0.169694779996144	0.175088063370905	0.0680489927654675	0.0774586774870759	0.164502516097654	0.0970449932257439	0.0642075072409626	0.13918410951585	0.0960220599366739	0.100399019594848	0.146374565162065	0.0239067154135013	0.0915047038632306	0.0152618018930817	0.175470073624506	0.0506986474777951	0.13050462140565	0.0546984626386382	0.0457854508025793	0.111042562392306	0.139244394573788	0.13091921743616	0.127275026100379	0.0813436615847812	0.0961396459787524	0.0615233930239478	0.153088911906989	0.0827403343513219	0.152288676331684	-0.0353607579367436	0.171370446442524	0.159859399351104	0.037705961168079	0.0546816217021424	0.140185629190678	-0.00914924301326784	0.0432992194186045	0.0870054578822223	0.0403861443322601	0.102249059929714	0.113395331728693	0.0187888349962665	0.0428966970539259	0.21766935765049	-0.0442400332360151	0.101626960769522	0.21603856793785	0.0999739245683999	0.100717551740313	0.182087759399904	0.0636856933522804	0.196339955360352	0.150498114066618	0.019172899097869	0.252482990122067	0.17289254081832	0.0981843272398834
"1979"	-0.126004913424496	-0.242990347545234	-0.165007538999137	-0.0949391254752933	-0.0970117332580308	-0.313203007890981	-0.176392698523407	-0.175681027090382	-0.319277960333457	-0.195645679870783	-0.203340528868476	-0.123834780397038	-0.279254056501402	-0.188916118201089	-0.137989866151422	-0.317424053268972	-0.292069491453685	-0.186987599115576	-0.146404573056975	-0.320626067465152	-0.189973902881578	-0.0889120228985634	-0.157492552554835	-0.402862670865326	-0.299733627262108	-0.111566614434239	-0.0901675585539212	-0.253172219400524	-0.125376844606563	-0.176498161275875	-0.194601431433508	-0.123154094977337	-0.143366881730576	-0.145906400912467	-0.117864825318025	-0.237012412691207	-0.220315825219956	-0.24781042002671	-0.203874957868697	-0.273329644106942	-0.0516036331114822	-0.196775622764903	-0.17139560490412	-0.203492499820069	-0.295375693178136	-0.154779656930294	-0.225714144732701	-0.203176551671345	-0.121264218729058	-0.129653722297107	-0.270361790251274	-0.26387723772856	-0.193743680349655	-0.117438674463196	-0.247312085084226	-0.0982805520851652	0.051662922766311	-0.0692979410326233	-0.189334532283084	0.0305305509540867	-0.241398537241976	-0.182267099456563	-0.279596439990983	-0.140211483276978	-0.356398756796618	-0.240187863484447	-0.20261626599003	-0.0635386486000522	-0.237751176905403	-0.203312737312363	-0.266934140380179	-0.192397449306361	-0.301503957312218	-0.184586033153728	-0.167087093205955	-0.341703127548475	-0.261517992994154	-0.243417856983337	-0.057646946660885	-0.160798219532846	-0.0564684061306821	-0.261261731925587	-0.169284899708754	-0.0736761293332876
"83641"	0.215216602739815	0.219728972079338	0.185185452187778	0.0382431055055469	0.224939457040411	0.174481475496284	0.120056688911743	0.109659865095998	0.190046409385849	0.216600757231402	0.150879723645473	0.0489567286996295	0.107739129239763	0.05291610975787	0.281810556907713	0.111557682111952	0.15983336420227	0.109455335869222	0.261908282617675	0.184219026203176	0.170293479749611	0.192761258306355	0.0872824503503851	0.20285406005606	0.171020701553935	0.192815406430423	0.153970061136835	0.131970343873163	0.113842779826097	0.222980385487583	0.0589468227915873	0.334971301898802	0.179454946355007	0.194564108157396	-0.147182552076774	0.218321569133799	0.20278658690419	0.156714677216587	0.1267510153154	0.147846949406784	0.231204710296089	0.0796850139722183	0.122588125880857	0.149705688926631	0.212856034594707	0.0471577885276951	0.132253099927245	0.179879585754198	0.160183818271296	0.204273605546898	0.127994861709056	0.0911239310310952	0.240843943124573	0.216245294533505	0.0988335068431778	0.184602926450377	0.18364204384394	0.146216941310435	0.110567131323746	0.0711328988277412	0.132256501494187	0.177546577343239	0.159003800673898	0.0967853371055385	0.276530735270361	0.144906138889254	0.139885581854955	0.183054986246446	0.0701259167693816	0.0835251854260743	0.0709318783382804	0.00444409047964942	0.129515952614908	-0.227725628365984	0.194911896799586	0.199615651639523	0.141887434775792	0.194272924556208	0.133046439231796	0.185453871238442	0.221304320255335	0.0927820104011013	0.313400064463768	0.246354266102167
"54815"	-0.449752311055032	-0.495624231301382	-0.199656336912418	-0.260798026398917	-0.383179353530531	-0.63355407188958	-0.809845865937948	-0.438440188514624	-0.641435910007138	-0.663267766173481	-0.327787675129411	-0.109420967829935	-0.451831142339022	-0.36309532180387	-0.601379955197234	-0.422369061949606	-0.466351594222739	-0.4815392177618	-0.260956492295152	-0.430748486169215	-0.305043755425563	-0.30366429300527	-0.190362103128572	-0.609782334164669	-0.40954238830172	-0.57381878106128	-0.258070597821447	-0.378562808430258	-0.281165966590119	-0.390377995127495	-0.448983462021522	-0.411634829648087	-0.717118134134779	-0.444252886190967	-0.58998412079274	-0.156301337496089	-0.429992544681226	-0.368602586324797	-0.56075935487313	-0.3346678831406	-0.638212139614727	-0.628555706714828	-0.529780801198215	-0.294180559691777	-0.381029761915535	-0.502698648695723	-0.315895865548245	-0.64395690210391	-0.55865937389783	-0.523880743034304	-0.220293862660588	-0.337637415221541	-0.305128569563937	-0.553105200973257	-0.45178295082986	-0.276477414400959	-0.46267068645946	-0.365348620277111	-0.179041880292049	-0.431478389692044	-0.389113756493919	-0.432706377917276	-0.261125979833706	-0.407380398405143	-0.616357170823699	-0.369020038503593	-0.358134400039847	-0.463397158901837	-0.675207586425869	-0.43746199755728	-0.34659260304591	-0.412268492991142	-0.571313034079813	-0.764263436350188	-0.43795313537768	-0.735662778339928	-0.430441622412404	-0.322437717689999	0.520467057991511	-0.151529811728152	-0.424504476660852	-0.568954265744606	-0.645121137317834	-0.415223198454336
"2878"	0.0622490803294969	0.138687209785652	0.073268855412517	0.0924896674737357	0.170400322629985	0.206382576611686	0.211783507639282	0.14100540930821	0.210773776092423	0.270450305497049	0.179202809035003	0.0798825770455628	0.119466490170959	0.0818005144655505	0.220816228011423	0.152714113860102	0.136915839742474	0.121023089477827	0.157244377949098	0.108275278886063	0.119029376933804	0.199320918489874	0.220023890755514	0.230379647945382	0.156665481271293	0.0994255554584886	0.207170312313051	0.193404037897844	0.1831403807145	0.0288349526376368	0.137144269908035	0.237611243573289	0.164133700137596	0.212243763594054	0.101124102296684	0.187858570575921	0.152205518680962	0.14267162986308	0.264851098472971	0.153958010866622	0.186148947011016	0.0747550764130809	0.137472065229822	0.10684138199521	0.130237330826501	0.189573055383153	0.177176862454818	0.191518456842523	0.171485320130164	0.22130438490914	0.127525398828077	0.108725063968236	0.203101750151537	0.242326056114533	0.0726734303676561	0.146987692983909	0.0352093333887613	0.203182800544108	0.157217991815505	0.0382833763536899	0.13533967378047	0.212516065063584	0.0856801436964488	0.182405874598183	0.0990059917312027	0.143697622969985	0.155846455044076	0.0763779296307799	0.265370662567355	0.339466138365556	0.155448266950496	0.160940556344476	0.10181123373239	0.224998288202186	0.144440372949535	0.148268956272157	0.195083659863005	0.0814751470933918	0.191638418733525	0.212013172686246	0.135646835132257	0.223920707842907	0.229161950464456	0.144642821897097
