	"ACH.000004"	"ACH.000011"	"ACH.000018"	"ACH.000042"	"ACH.000053"	"ACH.000060"	"ACH.000118"	"ACH.000127"	"ACH.000133"	"ACH.000138"	"ACH.000142"	"ACH.000153"	"ACH.000183"	"ACH.000188"	"ACH.000198"	"ACH.000222"	"ACH.000233"	"ACH.000235"	"ACH.000238"	"ACH.000243"	"ACH.000261"	"ACH.000262"	"ACH.000266"	"ACH.000281"	"ACH.000307"	"ACH.000319"	"ACH.000320"	"ACH.000324"	"ACH.000334"	"ACH.000339"	"ACH.000363"	"ACH.000368"	"ACH.000374"	"ACH.000383"	"ACH.000387"	"ACH.000397"	"ACH.000406"	"ACH.000421"	"ACH.000433"	"ACH.000444"	"ACH.000452"	"ACH.000458"	"ACH.000460"	"ACH.000461"	"ACH.000469"	"ACH.000470"	"ACH.000487"	"ACH.000491"	"ACH.000511"	"ACH.000518"	"ACH.000520"	"ACH.000548"	"ACH.000571"	"ACH.000584"	"ACH.000585"	"ACH.000588"	"ACH.000589"	"ACH.000591"	"ACH.000619"	"ACH.000627"	"ACH.000633"	"ACH.000649"	"ACH.000651"	"ACH.000677"	"ACH.000746"	"ACH.000753"	"ACH.000757"	"ACH.000762"	"ACH.000767"	"ACH.000770"	"ACH.000777"	"ACH.000787"	"ACH.000792"	"ACH.000794"	"ACH.000804"	"ACH.000809"	"ACH.000811"	"ACH.000831"	"ACH.000834"	"ACH.000835"	"ACH.000841"	"ACH.000846"	"ACH.000847"	"ACH.000856"	"ACH.000858"	"ACH.000861"	"ACH.000876"	"ACH.000880"	"ACH.000889"	"ACH.000906"	"ACH.000911"	"ACH.000937"	"ACH.000938"	"ACH.000943"	"ACH.000950"	"ACH.000960"	"ACH.000984"	"ACH.001001"	"ACH.001048"	"ACH.001328"	"ACH.001353"	"ACH.001367"	"ACH.001500"	"ACH.001736"	"ACH.001745"
"4299"	-0.00228518917078478	-0.043016217475054	-0.0783879021604189	0.146643398230934	0.021697297213257	0.147381344374823	0.237037896537093	0.129046983389952	0.173958683109892	0.0900890283101165	0.089471298481571	-0.275194901867557	-0.172478739332684	0.124220222140262	0.161819271009013	0.123801580132027	0.0621905714823149	0.048135705366309	0.0520199486793342	0.0998137014146699	0.171017019326861	-0.0288876206486245	0.124081257337518	0.0399213826926451	0.108243808835537	0.108546315432469	-0.0181175807024095	0.151345843593002	0.106547663845641	0.152068846954113	-0.107898006232671	0.0911329439954644	0.129419031224098	0.118840242308987	0.135397140051916	0.124805544253623	0.144456374692537	0.0860230564558555	0.109401616333705	0.125307709830898	0.130488479099449	0.183682076276308	0.197303472863681	0.166628489345685	0.0867611694411619	0.095771045332968	-0.209751983723403	-0.00451327603888209	0.0532322867812768	0.179647942247499	0.121824948700072	0.195548590775108	0.0599759024425214	0.122256537864599	0.183897613227425	-0.149723508917382	0.0273693325774331	-0.00699650185729117	0.0814493267343287	0.141445580535079	0.17971975611807	0.012344659433243	0.0159171402228419	0.177692228559131	0.403071705490136	0.106806861646093	-0.0113782092289806	-0.0491098973939955	-0.0724843564960581	0.0235618014397025	0.109191352080022	0.127321775106398	0.177858441705894	-0.0666159736355795	0.104144931043897	0.0708463863551905	0.125402978992363	0.0198335157807107	0.120317252719158	0.102154702648837	-0.0885922273802116	0.157932353504388	-0.117433464773207	0.0996837815480552	0.157797030653522	0.145445993769429	0.110718719168678	0.254429716584982	-0.222298085730467	0.0955247527126372	0.152194360533468	0.160283712259946	-0.0165755607490147	0.20103579204863	0.0884071419412083	0.100190178553609	-0.00351574185999061	0.131286054323578	0.123018299359461	0.156769130156377	-0.027162809677959	0.161479113344225	0.0962237171417896	-0.374799839510765	0.228444756081787
"247"	-0.0669548958975027	0.131193832903736	0.230696989739436	-0.0183964477016513	0.138218327794051	-0.0869126686984735	0.0752883000827742	0.0774496889313154	0.0221187657225455	0.102722710884207	0.0599249341764204	-0.0858715381725817	0.146770167668318	0.0901039777526395	0.105400381438219	-0.0240076737820697	0.111713947432727	-0.00742055166909483	0.0326117109559824	0.10895197081407	0.157605632188978	0.106991997464577	0.113657302811628	-0.00748614974286634	0.21891325050476	0.0602583332159564	0.238223500570459	0.17758221992183	0.249885889222397	0.13587350471493	0.182675821596765	-0.0261352102693932	0.0236939781422453	0.115069051123881	0.0706771146306628	0.133658253929373	0.0626097715452998	0.184305675688213	0.106905621007325	0.165574836126824	0.195249686496496	-0.0121273222578215	0.135342693033922	0.132465987296771	0.0178155853304075	0.106187546260232	0.0959224298828732	0.184312065711515	0.0362869730242333	-0.0530087353930341	0.117342910239458	0.130366550463169	0.109701524381772	0.0478107473227652	0.119434487498734	0.0990420204234613	0.105117363920848	0.0304997008994117	-0.0316287563114819	0.154974161036274	-0.0213331222413195	0.181637472905626	0.116128440532025	0.160803848485385	0.286382687773932	0.00151642725638166	0.0211069460993528	0.0122935946702064	0.116096258511063	0.174738919693112	0.0674795672631341	0.0937780952838487	0.159653959182055	0.15678928317229	0.228813991350615	0.0306400359498813	0.0773598964227311	0.368873864237716	0.0286673591870854	0.108373256595046	0.148634925531846	-0.0563576632046028	0.066742892814842	0.114947543073859	0.0744705371808559	-0.0569149444445715	0.150894431885298	0.0807265243943073	0.148875543516049	0.0866375624991687	0.11384833943321	0.0886527578918026	0.0277621403250041	0.221690768038681	0.180927076512316	0.133050351783888	0.0975910118556835	0.0631068787698038	0.121886027730258	-0.0863828580739873	0.0612200582195719	-0.0494784282428951	0.144603831676135	0.144611861546472	0.12544335650173
"116519"	0.0188419847963778	-0.0297299931341715	-0.107126793077009	-0.0576239976604308	-0.0784101840742183	0.00348084207167454	-0.205230163153389	-0.0448562931040283	-0.036902392282926	-0.174043675910451	-0.1595983174849	-0.245350274792836	-0.241656729478576	-0.150823873424561	-0.17322077207679	0.117645100407805	0.0822286977808013	-0.0369278412560376	-0.0221458792083107	0.0459401629213805	-0.011353180896953	-0.0270652893332363	-0.0324033320634014	-0.0916448522377359	0.0622195049870277	-0.120104508218701	-0.0954239145828035	-0.0209706198263378	-0.0343664085873833	0.00165317945530342	-0.0555292112613652	-0.270678722494167	-0.225771651517967	-0.00309129517040503	-0.060810612113937	0.0664351653098979	-0.0893914361089313	-0.139420984638602	-0.307184657829386	-0.065896784643232	-0.0921550129732518	-0.0149668248987279	-0.134576219396124	-0.0526299725923955	-0.0261138396844745	0.00791254607417454	0.0272485820872229	-0.0481112709595874	0.076658283984964	-0.0923196020367957	0.0934888575063605	0.0029053967872365	-0.0597638815732171	-0.0903377387858466	-0.0630536163133636	-0.174258817798632	0.0717225159178084	-0.0839428605232602	-0.10069572164831	0.0354572624917349	0.013048092785432	-0.0167793305664007	-0.00409876194532727	0.105668419656454	-0.205897857875745	-0.027628616679258	-0.240584499860075	0.0228740957272569	-0.0993564974981905	0.0296210242400624	-0.0827319750526702	-0.0277767741675812	-0.13961016945316	-0.22387300252562	-0.111995282457759	-0.0134419507214243	-0.0136437174355126	-0.244983895565125	-0.270980429608248	0.0289832004457923	0.0652874573661626	-0.0631083176099588	-0.279506824063846	0.0160784870539599	0.0468834775795744	-0.161885283616165	-0.119267374336278	5.25221707145965E-4	0.0561071602292992	-0.0914981327649111	-0.00784136257950241	0.00899675568578545	-0.0487637659145463	-0.0856689820781935	0.0795711624510059	-0.102472881569099	0.0221943615587179	-0.108461062148763	-0.126799840785926	-0.100943962204643	-0.0214956359922467	0.123865861846789	0.0307243548647806	-0.188032402984243	-0.165963959235939
"27091"	0.249708410506876	0.0516857591120941	0.157760194191234	0.126948320225852	0.184408705308794	0.0637311384492807	0.154462576208097	0.0929075891519112	0.125255034787277	0.0575480355374535	-0.0382552913973511	0.306870467150854	0.20884186059969	0.0722315103456086	0.239368313748566	0.31034972485878	0.202502903750474	0.187106743918927	0.0263469801513644	-0.0529777055279531	0.0525744571650053	0.233013504126277	0.178580200600401	0.0450777912662286	0.111029252138467	0.0829658242125879	0.151597763640523	0.0667044658271535	0.326565414423255	0.188979439417685	0.080294778159175	0.231402832303657	0.246530001268335	0.0893756087776151	0.139887228558482	0.133866747535559	0.156170133095923	0.162220246098204	0.0601973247084287	0.193679432904506	0.145090057244366	0.194362361612639	0.189053535120862	0.183374262425028	0.2063949925371	0.126988740185512	0.240155588531665	0.120879277871627	0.201333845506686	0.158076643553188	0.141343465770558	0.0873621146343994	0.215251729166563	0.119552062240325	0.202139086179835	0.197275138318148	0.139504856376056	0.120354830358001	0.166720622967153	0.20373981498859	0.0527673732628621	0.132834094213586	-0.00348892836405857	0.216537781093702	0.113155340041165	0.0688037814386327	0.201452602923282	0.0383809044225458	0.119346578908452	0.196828483146243	0.0610225615452435	0.128573251365868	0.136039618043979	0.113772841828511	0.0573496424039376	0.0728368657260189	0.116589705002703	0.101262553751197	0.311435564367254	0.123657999428476	0.164680301565813	0.176590846050707	0.10252644922268	0.124806165879742	0.119546477575687	0.149463349842519	0.241730116168509	0.103293900317618	0.185282988184045	0.168252009865108	0.0902866473047504	0.0966276822215671	0.167777240868009	0.133277501230819	0.10753735818585	0.146505935371227	0.0626576257996683	0.149957682604287	0.290340557966691	0.0767954099203085	0.0871609233711068	0.202374911068279	0.0299946355649443	0.163312724191691	0.179783505762484
"83461"	-0.277768624026645	-0.130423237845642	-0.371537174270196	-0.271330446115218	-0.17973647520323	-0.122306371783357	-0.371501000176305	-0.361610841004298	-0.397491480112393	-0.508304330457463	-0.319732356995014	-0.664542086481194	-0.462116399592541	-0.645734973989935	-0.576729023242242	-0.62458212251204	-0.212663351304947	-0.2843283070567	-0.349299943224637	-0.342335147849455	-0.217651313635538	-0.290107321408938	-0.283660740402618	-0.364037432964069	-0.738998263065078	-0.37538341134802	-0.42825330947796	-0.311958406069668	-0.563059252863159	-0.36477626645571	-0.318496526732437	-0.513513663274766	-0.242239700840758	-0.305699984567167	-0.2249362396233	-0.164283813127685	-0.536694669187444	-0.418071604807879	-0.369446962687999	-0.324812276524071	-0.375844816205	-0.198064686614004	-0.237786950549357	-0.464507182795141	-0.461476859434576	-0.644683877233014	0.00420546969579314	-0.302737603788664	-0.369035604678621	-0.227868205768742	-0.426149380756733	-0.198794808622617	-0.511325630673908	-0.564120555225228	-0.368394250362499	-0.618987976156907	-0.662453954230894	-0.505173604418147	-0.436422254907638	-0.416808088976345	-0.196429033593315	-0.246097964396104	-0.459496280634592	-0.545282728905173	-0.563727153520402	-0.169512085158589	-0.618863058002346	-0.0994005830448358	-0.460743500387418	-0.32527870203879	-0.187310629672467	-0.254132836098867	-0.2195441943728	-0.34889231080422	-0.207517471793124	-0.367358735106187	-0.296625772267084	-0.859203718919808	-0.394108508513416	-0.538698176580564	-0.525686639212268	-0.347528358229775	-0.45513128973233	-0.404362969646294	-0.544237968640974	-0.291822404677808	-0.396069772421216	-0.399377288325105	-0.651452784817128	-0.314124975112768	-0.183844371999434	-0.475729425346867	-0.615121792513164	-0.188341260690846	-0.265061021548138	-0.472281361770729	-0.239136804780637	-0.669638612991022	-0.214917271926048	-0.356753430122356	-0.171516544465486	-0.217653709435555	-0.370596020731823	-0.497700399414497	-0.132067649686562
"728642"	-0.473889542439225	-0.84036663786996	-0.772670369985394	-0.647446302636822	-0.615313490179745	-0.902128456443183	-0.702797642791501	-0.825235755731694	-0.751028913208359	-0.648635535224986	-0.755965906580056	-0.552427555908387	-0.479338210229848	-0.736298852817871	-0.505748588675058	-0.661669079120885	-0.732745204720386	-0.663848242461921	-0.810438303410238	-0.703495783786327	-0.768370024270349	-0.593587857672553	-0.464903417025555	-0.61466923214969	-0.649024514246237	-0.858985711428308	-0.746474780700873	-0.740219952093574	-0.693313336090308	-0.599281484432407	-0.702860206884024	-0.593714522657267	-0.54612638965633	-0.873076504013405	-0.653719329724928	-0.841200484035013	-0.723118053711268	-0.594160205138175	-0.737596612246231	-0.945177842213899	-0.555752337315027	-0.619277818016487	-0.756058968234163	-0.472291294169616	-0.690822396797451	-0.58204808338563	-0.534320286917026	-0.722835791286274	-0.654562256756012	-0.564727294808833	-0.57714570992533	-0.804077977016005	-0.597879887991162	-0.547142337097967	-0.878009141553569	-0.691258028665113	-0.805421260617063	-0.624176423852426	-0.635326040083975	-0.884445494455281	-0.523413354365763	-0.62342333134277	-0.682223331756317	-0.743638930079464	-0.846032074773876	-0.540830534191449	-0.656917974336364	-0.629955713459062	-0.581730667142014	-0.631113901485834	-0.680937323101934	-0.717884342171449	-0.914771553403618	-0.590179050242756	-0.79007426311807	-0.593460641576395	-0.660248642405788	-0.640035357629612	-0.667973905993947	-0.573007162076991	-0.57727004225308	-0.760848751425747	-0.628803430748352	-0.856502534882172	-0.778465585657759	-0.521319007722167	-0.603791153967582	-0.848216684750796	-0.87623550710906	-0.678647673594189	-0.733329641079651	-0.584847901932248	-0.521502850679553	-0.870483144885977	-0.447550439417966	-0.679056534135982	-0.889571781729289	-0.645541869436933	-0.652478976487678	-0.477864407065211	-0.764374303752199	-0.675510787681521	-0.611785253637624	-0.738968277141578	-0.978950513652361
"256223"	0.0288382426714022	0.0379919702804189	0.0260256188268774	-0.0096070781055238	0.0944532156397221	-0.189170553127032	0.173217526960512	0.128493610807309	0.0193669212922353	0.0469101699226798	0.040107428286182	-0.222276214080172	0.110754631059613	-0.0429249678068964	0.164230904367862	0.18696460986768	-0.0170775436322475	0.0042442507915268	0.0868193554852314	0.0849761327223083	0.175538779370042	0.0567688674607366	-0.00223759985905096	0.0299483442899619	0.142456846726747	-0.0112690876894964	0.110110446743148	0.155985520362611	0.189321142313824	0.0702078670694726	0.0399698112095361	0.246068044965314	0.220002353421183	-0.0544480553163417	0.110546885192418	-0.0830517425028501	0.092618111556919	-0.0398252554008202	0.250347162131286	0.134875187659309	0.0744394720739901	0.0403736711339276	0.0224124673400436	0.0470020414147297	0.0246804254196934	0.060159361450483	0.0975069662659621	0.0449746779290148	0.0259479643706022	0.113986799102308	0.0973997617944615	0.167623442953236	0.0891485682883266	0.0524749626317095	0.0696440463484994	0.153799287698123	0.0362031938385796	0.055019163577818	0.175667141221017	-0.00767944792281506	-0.0172775112245924	0.1717314376646	0.0658885272909877	0.198455378338573	-0.00378131703150666	0.0439022351604324	0.12332314292068	-0.0158506099800695	0.0410443566543891	0.14645380967931	0.0122238367039345	0.129055786174291	0.0629081500445385	0.188346145434157	0.168179934392478	0.0608119099279234	-0.107359683459454	0.0474160234661631	0.0228661880382753	0.063077041630788	0.156775504658187	0.00980554846916363	0.0300734447115819	0.0414211781231012	-0.187264437575342	0.0101256036801106	0.138184978506981	-0.0447129563137015	0.120104087584202	0.10774827718939	0.00833440499025249	0.0227209334687818	0.074522332351387	-0.0198335142063414	0.0776746631704011	0.189795781446173	0.140982300355117	0.126162593184986	0.0511229180350306	0.104048738092084	0.156838346036168	0.0166335655503064	0.0122511125368356	0.181980576647253	0.131686843325648
"1314"	-1.28950257666744	-1.03576438066253	-1.16303937098896	-1.19150703593155	-1.37673552106121	-1.11483860318099	-1.31714638808122	-1.44978429761109	-1.23129654611341	-1.2075427797471	-1.32958949756822	-1.55386581743977	-1.22266358661461	-1.29105876821908	-1.27357909916159	-1.35018086805052	-1.20165548108797	-1.14792386716457	-1.45544441788308	-1.32311576312134	-1.09306566804478	-1.30540521136571	-1.29757567587505	-1.14326254401782	-1.18156262962576	-1.29375809827569	-1.33819464901395	-1.3122324037427	-1.58444472924053	-1.3029551210037	-1.28927390161272	-1.39942203089727	-1.25015959238389	-1.38209962679522	-1.32258842542395	-1.03855931756184	-1.17594708101793	-1.18751891838425	-1.17077985659893	-1.13458719058116	-1.18395225481418	-1.15260215458458	-1.01354198552841	-1.15207435078486	-1.3774581212828	-1.27034772036847	-1.36157207718649	-1.18436195621746	-1.24354542975084	-1.1157898567551	-1.03568495210442	-1.5173929602087	-1.3518857726528	-1.34704805679917	-1.06035997184868	-1.18014203196416	-1.20664595436473	-1.20480848075553	-1.08399717743675	-1.02500275378032	-1.24012909695901	-1.4229145670891	-1.2503843796914	-1.29590647210628	-1.49504697387974	-0.982325756804373	-0.910645770551694	-1.11577237092237	-0.902685316849859	-1.1787963626329	-1.13154790871991	-1.25882116614221	-1.23129168390638	-1.17027526834049	-1.14291000397621	-1.16482354160346	-1.25225400363852	-1.37321058926683	-1.16263514893206	-1.33869303495228	-1.14649008305437	-1.13255183098768	-1.3243065968778	-1.27990137918693	-0.998921845486982	-1.36186889024312	-1.44060971626031	-1.00602801946163	-1.15788997903811	-1.37914895090059	-1.30005415987033	-1.06446081540703	-1.05719388623873	-1.33113568624737	-1.36901915978218	-1.09221488962301	-1.28660683939636	-1.25073116196564	-1.40433089494857	-1.06287183586908	-1.17842635533095	-1.10328106596069	-1.33314825274185	-1.14711870437008	-1.06737324067456
"51076"	0.0539465282355254	-0.0170352389651499	0.0594032303151036	0.0643764629019991	0.11067480929446	-0.0969748728830802	0.0142489399640207	-0.0524497850528609	0.0134858449924988	0.00742895432409832	-0.0909805653491196	0.245138663877675	-0.0556473775637875	-0.00234290096358962	-0.0250426370388104	-0.0276866301632786	0.00660361216514155	-0.0370278680025935	-0.030765476660303	-0.0738067755828643	-0.0571730133987817	-0.069403001481886	-0.0150319621423276	-0.0475323108291725	-0.100880693549658	-0.0865821383866326	0.0690803435513121	-0.133724759778477	-0.057864870230326	0.00909474816175307	0.0387686405968988	-0.00205645830007553	0.0117400287365647	-4.23909943663217E-4	-0.0531691107195476	0.064386660850631	-0.0124188345099175	-0.0486463856668195	-0.179062640482468	-0.0213412530890174	-0.116408004256605	0.0274134043586783	-0.0210190994243253	0.0314331067809188	0.0238341225931152	0.025139443211581	-0.0576207248625039	0.00398043396425424	0.00662504156941772	-0.00833615220295419	-0.044790099030505	-0.0830564002919734	-0.00908412826964748	-0.0664196627169295	0.0272316866051853	0.0370498045815181	0.0333945331091467	-0.13059407901335	-0.0844832956494243	-0.00637327739330458	0.0342664914395084	-0.11594164152909	-0.0197188384219293	-0.116096186325337	0.0619987966081019	0.0257920386237265	0.020912741470813	-5.62414457908983E-4	0.07441950005365	0.0143399376160227	0.012243170508831	0.0609457204677544	-0.0471608138726501	-0.0729235681108836	-0.096206626072316	-0.0307315130670002	-0.0563870285280572	-0.0798495300222481	-0.0162199507783044	-0.0399785860678943	-0.0989561310958859	-0.187863989582558	-0.146733075849557	-0.0955912754931429	-0.0456737811593091	-0.16684981885885	0.00903198527541715	0.0421197685395681	-0.0634088297410034	0.0618410356434342	0.0835003241293279	-0.0170483973479169	0.0053007172018786	-0.00560043493446299	0.0262746755874133	0.00768574029404907	-0.122227763974707	0.0348412198621302	-0.0465243544115864	-0.0957021710825471	-0.112583071069656	0.036957045358227	0.0750085544876362	0.159166875391156	0.0574995604559835
"2867"	-0.244106752474398	-0.128684265838835	-0.379441325604616	-0.188332749113729	-0.257923139903033	0.00942636109201856	-0.243338576112904	-0.199203593581072	-0.142982215374116	-0.28686079168892	-0.139595440576923	-0.351659142389123	-0.156269455810801	-0.181638410655918	-0.282625918433087	-0.0868779671633154	-0.206680474776854	-0.290783554569187	-5.38856015531814E-4	-0.145345926572317	-0.183728393296207	-0.54725333560408	-0.188237376178853	0.0276588489195719	-0.0783233246633925	-0.232986638385513	-0.0366970560193274	-0.253362351896389	-0.263841750903681	-0.309008672947246	-0.183666149062093	-0.0551450121288266	0.00909560847114102	-0.283258681107959	-0.313479343417198	-0.205579835531906	-0.205664952397405	-0.143189456445421	-0.195939036832634	-0.108574911721679	-0.138856656406385	-0.0859585513272483	-0.143332575916143	-0.113761994913382	-0.213484813332669	-0.292217048929273	-0.221039343786475	-0.0631248754613918	-0.302124308782971	-0.249882884648285	-0.170889149253802	-0.150969626382023	-0.301157854771832	-0.200484225514197	-0.210794941944211	-0.318053350646514	-0.0885556271702605	-0.112089283435679	-0.107177074408716	-0.177103968292042	-0.197329376708674	-0.233561389086769	-0.188438852648287	-0.249073791692578	-0.389044247248848	-0.14487143799058	-0.178609153247943	-0.0360171533450757	-0.153429255953011	-0.21502906061784	-0.376075079729345	-0.222373146750322	-0.263225050318306	-0.0824715863199935	-0.319097975137147	-0.204288048840545	-0.119204840331171	-0.460100776425438	-0.0308416210514488	-0.312189221821689	-0.148621979379971	-0.154446479643248	-0.321441965189711	-0.22361563651512	-0.269067085907743	-0.425750812124172	-0.0767148755675321	-0.224552697341861	-0.36049250550113	-0.322384040887964	-0.309669819856141	-0.226390665785919	-0.189685814842001	-0.254773793094606	-0.297128097719724	-0.143588547112945	-0.179833199738786	-0.223147393672594	-0.265044929960908	-0.133624915858596	-0.275213581335751	-0.219426243555393	-0.444002531229516	-0.221014580748431	-0.243419396604717
