	"ACH.000036"	"ACH.000040"	"ACH.000067"	"ACH.000099"	"ACH.000108"	"ACH.000150"	"ACH.000178"	"ACH.000237"	"ACH.000246"	"ACH.000260"	"ACH.000280"	"ACH.000307"	"ACH.000331"	"ACH.000332"	"ACH.000368"	"ACH.000433"	"ACH.000445"	"ACH.000463"	"ACH.000464"	"ACH.000528"	"ACH.000550"	"ACH.000616"	"ACH.000673"	"ACH.000766"	"ACH.000792"	"ACH.000799"	"ACH.000811"	"ACH.000839"	"ACH.000840"	"ACH.001050"	"ACH.001054"	"ACH.001075"	"ACH.001654"
"130013"	0.151271433052385	0.0792130539151591	0.0684389491213824	0.202076724550476	0.115482974547613	0.156299344189731	0.165886396890164	0.136198478033744	0.157743013423735	0.030535862692631	0.0680072174542995	0.0974224945250453	0.132377473464176	0.179356860942951	0.220237423881723	0.0471717151006946	-0.0605462453047803	0.140945000507834	-0.125491832404152	0.120076352245954	0.0623217617897016	0.0845489745721476	0.0894104324013013	0.173506374136033	0.0843767666598565	0.00987625617256392	0.107786847288883	0.2168710008479	0.0863543456833607	0.144212046834961	0.157479904945504	0.141393476149257	0.0899496501540619
"23305"	-0.0640143149169011	0.00390110934467784	-0.0579631982203243	0.0289192621740623	0.0780382079914105	-0.242676550326097	-0.0152577241500212	-0.00268609986006209	-0.0306787900888457	0.00905358552406914	-0.189246176647258	-0.109068243001742	-0.0232843207881488	-0.0633551933815292	-0.241352325534928	-0.0538053802652966	-0.0849526168561878	0.0284610642093426	0.0659050659705952	-0.0289447268725546	-0.0657812125870691	0.00214317725102952	-0.0766211142401983	0.0221234035450813	-0.041278417661284	0.0566723435162612	-0.108414304775254	-0.049511333248699	-0.0944881475795274	-0.137429145767153	-0.0778908624148668	-0.0125314615578152	-0.085710254130953
"166"	-0.098281894885754	-0.144997630812255	-0.253930059812127	-0.247280689480245	-0.0903810498997081	-0.257605929572665	0.0734983777906426	-0.198997132209487	-0.216336050554232	-0.136415596188931	-0.300261502016946	-0.218121135703194	-0.0973199210124359	-0.152773173429828	-0.201903923093657	-0.292269783123081	-0.301731176745643	-0.185531003515066	-0.0343325425351669	-0.195861699843038	-0.236019211792802	-0.0606924350736608	-0.131918612191772	-0.13556306461616	-0.186153426398315	-0.146177008774143	-0.146329855996402	-0.202961155174616	-0.0876972759373003	-0.279619874733916	-0.0663822584460008	-0.00156294875839087	-0.231768411100167
"1021"	-0.805303978246137	-0.708414414737548	-0.708257751147141	-0.651691835890745	-0.674487847880288	-0.689430458191117	-0.776527928228518	-0.495521379312805	-0.890045476732858	-0.910251367059611	-0.792087237208698	-0.659982466561095	-0.760399669564955	-0.642918673534657	-1.02560559706926	-0.539954329367005	-0.571239321034032	-0.583519177293862	-0.906376060858055	-0.588697403924559	-1.01832351826427	-0.595739090214246	-0.454513096257935	-0.759691087730791	-0.755710108259074	-0.728174947907681	-0.558186314486322	-0.81667083721812	-0.749991039660655	-0.942589283455275	-0.742959541507913	-0.754510385831988	-0.71921614090719
"1031"	0.197292917783178	0.617353302488816	0.490789542073635	0.418760153840631	0.284663538985405	0.318947800407048	0.393568364657547	0.256172056715767	0.173558010562476	0.549727464897809	0.407312010524736	0.246665410751039	0.467434851562278	0.256152526514765	0.472591550238983	0.231477967880193	0.279730114286855	0.232950088431019	0.243020568695646	0.262909510598484	0.431150864868695	0.376898814048135	0.560664557655832	0.303796942954613	0.216665851990328	0.258210577667131	0.306997985019728	0.226881734136429	0.304535525005604	0.152408217009337	0.186629360354766	0.344341965650055	0.140886201562603
"79019"	0.15704556102189	0.331631524331908	0.156949513012078	0.324616963676838	0.118430011626516	0.394503190985448	0.229027268718641	0.230163865999611	0.251962904438559	0.248313671111806	0.163587245076344	0.257164829906405	0.317780736309252	0.232669578390335	0.176035441913564	0.0938694918721744	0.198314823947283	0.137050422458375	0.388456973688858	0.226021258737933	0.367859653626407	0.285859569726251	0.305140769027601	0.190334421489215	0.293063030614395	0.267581858439441	0.284454396308938	0.216921869849832	0.332944073606315	0.260005608438969	0.335237760386497	0.234839326058425	0.197209907416123
"57699"	-0.0739628160553598	-0.184055180560803	-0.315138136277744	-0.0799488518737366	-0.292174889694072	-0.146510819395874	-0.154582648649019	-0.185941030958847	-0.132327774502553	-0.234644187409049	-0.160727285740824	-0.233320845366842	-0.182284498187824	-0.213561102866333	-0.239696724449703	-0.195188869626122	-0.0998847738793842	-0.135395498532737	-0.107603478857926	-0.239641307578086	-0.234188284557612	-0.0986518937633629	-0.233532794823518	-0.291072546137701	-0.218883816509737	-0.124484345722953	-0.222254826734157	-0.157025326008205	-0.204279211482372	-0.182327539874938	-0.219623528696805	-0.287799302512132	-0.251715327990844
"1464"	-0.208737856349909	-0.0538813245813009	-0.266752352478441	-0.143443894486178	-0.253718635422945	-0.351152033293962	-0.198934021618871	-0.180578382342645	-0.155000204744862	-0.188499694162822	-0.341924436842344	-0.221352590731787	-0.291442104696067	-0.305045676093167	-0.317467591260259	-0.158567813766975	-0.118576563635926	-0.241324535687538	-0.335194515262044	-0.264373953563095	-0.237055773646633	-0.111578887141535	-0.157995967868616	-0.187363533944951	-0.23344783807694	-0.250041263273959	-0.300510577991178	-0.324953967662859	-0.0859751588113437	-0.148839683893804	-0.181437301479046	-0.128081745914679	-0.194515064008602
"2947"	-0.134770879409969	-0.338643634166581	-0.366654433463467	-0.121339142673102	-0.213354341073118	-0.171887473743725	-0.147884562988031	-0.183982199787526	-0.108478096225233	-0.242373371717252	-0.220242453937641	-0.233261607057907	-0.231814026344546	-0.180348888606349	-0.396495365678955	-0.203581121290343	-0.123201796932642	-0.118763632977338	-0.245862237750089	-0.239093186634215	-0.240882682346995	-0.122639600257513	-0.269620396273805	-0.140527055747128	-0.290613681859399	-0.0395452204916156	-0.263540357993137	-0.110967118574821	-0.109258241328655	-0.27684509296361	-0.14351275732235	-0.207154420882171	-0.221998457802423
"4010"	0.17628099982393	0.0728987760906431	0.149048797423677	0.0723224659559551	0.244313518725347	0.141843020241134	0.0715100614730321	0.194493856958976	0.206072870967366	0.156857584107726	0.11533394033405	0.10609639282498	0.229909188570289	0.119527771750397	0.355431560189494	0.243314920065972	0.0313834610826388	0.154980506067069	0.0800787099731326	0.136289898835815	0.0666475975130241	0.188008166855114	0.232242523056053	0.169887874249483	0.300440351183158	0.0786801993702832	0.195133134480126	0.157260488979857	0.175256838929302	0.121919574023245	-0.00790000572704596	0.249970511847011	0.166747292833389
