	"ACH.000017"	"ACH.000085"	"ACH.000116"	"ACH.000188"	"ACH.000226"	"ACH.000259"	"ACH.000277"	"ACH.000291"	"ACH.000296"	"ACH.000330"	"ACH.000444"	"ACH.000450"	"ACH.000480"	"ACH.000484"	"ACH.000510"	"ACH.000527"	"ACH.000528"	"ACH.000579"	"ACH.000580"	"ACH.000606"	"ACH.000614"	"ACH.000637"	"ACH.000676"	"ACH.000694"	"ACH.000697"	"ACH.000769"	"ACH.000783"	"ACH.000805"	"ACH.000846"	"ACH.000900"	"ACH.000924"	"ACH.000957"	"ACH.001031"	"ACH.001134"	"ACH.001164"	"ACH.001197"	"ACH.001450"
"29760"	-0.0891256343281263	0.13631064254135	-0.0534308142901157	0.00825532666738644	-0.0881775646711552	-0.0398632535904978	-0.114387786433404	-0.128873230920353	0.0593685994176123	0.0598399244515415	-0.106282902140887	0.0351602447496925	0.0248116909065935	0.0111053590400052	-0.136517828065641	-0.0345932759017927	0.0384347235785218	-0.0117112397422661	0.0859712307219535	-0.0289925351159793	-0.0566020669690359	0.0557178164725252	-0.156463537416397	-0.06863112714071	-0.0785084778529302	-0.0226027085520889	0.0300799431204137	0.0741575614054598	-0.0240671971654838	-0.0463368581538749	-0.0456540331868765	-0.157692859346359	0.043669461222499	0.0519555662209337	0.0545570624280196	0.162801598692737	-0.133400416807905
"29035"	-1.26679066664379	-0.602735016912857	-0.593121457140636	-0.81318235391089	-0.445334788853705	-0.473301055824747	-0.694547640803333	-0.489790976037107	-0.705188222968321	-0.617604328168354	-0.625626896121969	-0.815968665726523	-0.633610317188713	-1.01290615678807	-0.488681509864973	-0.5732361151165	-0.630065708006755	-1.0159992924379	-0.965638964820472	-0.64705676794603	-1.16910581736782	-0.528002138019109	-0.563321611123912	-0.598421759412592	-0.703657365309528	-0.429143292123447	-0.640029429393614	-0.665060899039202	-0.523480480472505	-0.169677764572948	-0.475270941328848	-0.827304934762426	-0.762745657690694	-0.853026652070667	-0.913307495003344	-0.534126799315558	-0.668319856799129
"445577"	-0.258172780984575	-0.353612192136886	-0.111983859628189	-0.392629309238695	-0.183615386437553	-0.277731323555568	-0.282605266102464	-0.296826555642078	-0.126838596379805	-0.354351764934428	-0.352437873137487	-0.382414698108278	-0.196694632894253	-0.176905239996292	-0.204922252472801	-0.253038307358941	-0.294999656718476	-0.446577720264283	-0.427391138810621	-0.296879636047094	-0.437030472896809	-0.219293450489037	-0.463854922470181	-0.424775232769878	-0.179165436805474	-0.2628193623505	-0.263043852433789	-0.368502112105503	-0.0954917984335416	-0.115595084152633	-0.186971540113138	-0.237352942576484	-0.424527546398639	-0.261330191353555	-0.464627377850537	-0.0984215817703904	-0.270424383215448
"55140"	-1.08869268369132	-0.988265943557963	-0.964902895587609	-0.877937908870938	-0.804829451856576	-0.885649235822317	-0.927779392356875	-0.873064911842702	-1.00146181454217	-1.33995011885062	-0.888248646361565	-1.17821704013836	-0.891547562116226	-0.982749634709116	-0.88254645986049	-0.977207106456916	-0.892928242932283	-1.05948033484071	-1.10022889290283	-1.18819548007686	-0.911473882538458	-0.818988339557052	-0.798155723856257	-0.919665430658745	-0.832978794696488	-0.868015265107627	-0.575313573772447	-1.07285652262151	-0.951937094393996	-0.769940139519979	-0.876918698233213	-0.663141578802729	-0.744702630604069	-0.677464143575627	-0.928608390942792	-0.811482551971358	-0.962933208541845
"253152"	0.184960919398826	0.0416023667850314	0.0104396881064588	0.0608454859992813	0.0791565609955602	0.0341430874081444	0.0581628054977548	0.0444093486468427	0.0118674630709717	-0.0984656312409453	0.135593281947498	0.169595712149333	-0.0720254776588295	-0.0410521698923256	-0.115822667035088	0.0298617316146211	0.0583610966529728	0.0174724487916211	0.189132467335301	0.154951251539998	-0.0915413828064583	-0.0267098983567833	-0.113042182380413	0.0906764900733147	-0.0892025522576731	0.0142243853462406	0.0547729597362079	0.0716050298475441	-0.0256960344528583	0.199558151219813	-0.148942412980008	-0.245210016347174	0.188322716895276	0.0478628553877395	0.217316727491969	0.146097190911476	0.0901901630688883
"50628"	-1.04918000339756	-0.985618968433423	-0.876335000847311	-0.708210607351122	-0.58128967155441	-0.833101600884766	-0.55494244435622	-0.818358181846212	-0.847173855859092	-0.882738200829763	-0.850546021025238	-0.661123508829728	-0.755443173325289	-0.670790711734797	-0.625758778112981	-0.804591621786585	-0.756445414199733	-0.487079129335486	-0.845547875504485	-0.657780834761816	-0.755776045718458	-0.77797896493622	-0.664609205012006	-0.558755976248588	-0.664837774283691	-0.576351827483998	-0.420934028654161	-0.552286834436298	-0.622016482541157	-0.567480227145292	-0.724073953560815	-0.865713981443189	-0.765444046958171	-0.565877620520004	-0.920590164958371	-0.951809271960413	-0.590749409712807
"254950"	-0.543711900320853	-0.329768248454959	-0.271807797927433	-0.435673194848487	-0.346190365999284	-0.30927534965961	-0.414077037722879	-0.409746415818393	-0.188793077692155	-0.248026400658832	-0.232816151602483	-0.346137115311586	-0.283971954234106	-0.383787637726893	-0.266887230650566	-0.344581690077287	-0.210477312697021	-0.300871192879891	-0.427673873526089	-0.39623037121267	-0.172812286228013	-0.255306810328976	-0.270921146790107	-0.26821718806556	-0.14745310265976	-0.468173999439943	-0.333089758949446	-0.299856957963859	-0.150804330762764	-0.317166525240329	-0.34937534388867	-0.311166580615421	-0.369203347964054	-0.452326340290977	-0.335705791030928	-0.173441534943462	-0.299165497842911
"199834"	-0.242071513914477	-0.110578608878235	0.0369068142346179	-0.05161798733179	-0.289179610637217	0.00137736247323065	-0.102574248869051	-0.028143210562904	-0.205375508301483	-0.0214213617190174	0.0534394830582103	-0.187954894815515	0.00401594162307172	-0.0422055289323765	-0.192158905165394	-0.0176686303101842	-0.0423623478142173	-0.163317912784073	-0.145356132865654	0.0916701055752071	-0.0672006186537012	-0.0425659658636364	-0.0934933278704911	0.0643925678727405	0.188131767087477	-0.108788341262859	0.0806315635001932	0.0255682105918902	-0.113561416095493	-0.0186689973033763	-0.0415309749750079	-0.242835529895081	0.0637131648896149	0.178688961395997	-0.133637804574865	-0.110703690640134	0.100076325346452
"127018"	0.243431670685227	-0.125831325687443	0.0403710490435029	0.0388445619107764	-0.0412375329381135	0.0203969618214794	0.126203986997401	0.0570622995600283	0.00174516159168379	0.0418796680498731	0.103037722277142	0.158856510595696	0.0813648568624859	-0.182836503315946	0.0047165723886699	0.0679908207025831	0.00731987141414639	-0.0913399637693326	-0.110949833796777	-0.0275773556025699	-0.0622583445213882	0.125187608481652	0.0974438691730486	0.080029096602374	-0.0418668914569908	-0.145120693379172	-0.0190766914759619	0.244112894741206	-0.0267750930552778	-0.0586262500347789	-0.0502129756257094	0.13769332088814	0.111764656437726	0.0284134973748088	0.126328762008637	-0.122621664893413	0.0375389883056089
"256586"	-0.0444665521812806	-0.0328350514618849	-0.0218839262645535	-0.0374638162807068	-0.222926385804711	-0.00566405349391224	-0.0177914169686994	-0.00675800075926592	0.00547404187386252	0.19438367961937	0.0360327422853224	-0.11542956256393	-0.151018980347081	0.175634081827063	-0.0902033267910532	-0.0610105743810558	-0.0502414515253014	-0.0393893891154248	-0.21134765944782	-0.0287640400325783	-0.031757280435602	0.0539009524339154	-0.114015684832357	0.0537844697477344	-0.111501979536705	-0.105827509789461	-0.0630701870681274	-0.0766786226404386	-0.0211248977603277	-0.0870588706957686	0.016863268636728	-0.205267314999415	-0.0299599837447915	-0.0513286732634721	-0.134284098032712	0.0198891431750714	0.0951128957940519
