	"ACH.000082"	"ACH.000123"	"ACH.000215"	"ACH.000243"	"ACH.000274"	"ACH.000452"	"ACH.000470"	"ACH.000485"	"ACH.000516"	"ACH.000718"	"ACH.000736"	"ACH.000781"	"ACH.000867"	"ACH.000898"	"ACH.000958"	"ACH.001391"	"ACH.001532"	"ACH.001765"
"57143"	0.179713212534732	0.144312459038716	0.258119554622531	0.0679804072636119	0.238886863631248	0.281419620267549	0.268116070908788	0.206753545057883	0.16753169170503	0.17037277019196	0.0949317069882242	0.140399943660675	0.222733924002018	0.303862359523024	0.292815687066388	0.144353626022223	0.216217663457524	0.19281856070197
"3899"	-0.150544580866109	-0.185774279726955	-0.123341656812204	-0.138885852991187	-0.171559541513521	-0.132996266024564	-0.241095608965785	-0.0995139010881069	-0.229538892580248	0.0347116299945044	-0.214907975051215	-0.146591553984782	-0.2164239142288	-0.331822763491778	-0.349293870679008	-0.0288786744021709	-0.139073688574037	-0.208146711316003
"340120"	-0.141155038751771	-0.0936575417546833	-0.123579261469004	-0.0285475096903434	-0.19072628425504	-0.0285705802036565	-0.128180624558683	-0.115532604111672	-0.0477626875594615	-0.058578009739595	-0.122141554666539	-0.0632673013191013	-0.0836115703256282	-0.126730364326279	0.0428838443236803	-0.0651566481839988	-0.0610039703564343	-0.00947474315105615
"81575"	-0.119626496264385	-0.20526361175357	-0.133669943436598	-0.01609535258705	-0.25093483480553	-0.1320090549255	-0.367241953582804	-0.161807305040663	-0.11915986105229	-0.129940025570458	-0.0824108752821189	-0.0923187263964555	-0.16009666247092	-0.174594531255314	0.0332940477237087	-0.0941723116334571	-0.22351588633897	-0.123317939213733
"54998"	-0.280154653215349	-0.429775647900701	-0.521696110853474	-0.409063488117338	-0.537322772043748	-0.373470329688039	-0.417766262306376	-0.338791532108786	-0.216050592883465	-0.432085798465467	-0.439340948224505	-0.362755693779548	-0.337403914081489	-0.541725797272276	-0.363017275268363	-0.376597424718108	-0.505472894836562	-0.291033095353983
"51411"	-0.114503296515474	-0.114903807104738	-0.161217845753458	-0.123672220167181	-0.159861761897973	-0.234977985043742	-0.183632524899054	-0.123660520917565	-0.138668618529648	-0.128745170579204	-0.0832128770097981	-0.0585656755066451	-0.137746545331576	-0.173258597791318	-0.204036656540824	-0.0842515770569605	-0.12374311161892	-0.193805835623718
"708"	-0.395236723193558	-0.548197470365545	-0.472286535476493	-0.400316741739481	-0.577059793574157	-0.541060399186057	-0.593036733197563	-0.267448603222354	-0.462379250812936	-0.464035761314089	-0.317802463979947	-0.39029674655818	-0.434324978797284	-0.584039583614991	-0.468845231092071	-0.271184433835901	-0.498436916986392	-0.560331534819631
"770"	-0.116266322044772	-0.0471010764962971	-0.105669000381441	-0.0985751242805987	-0.158756968519701	-0.0117962252649854	-0.14020059115903	-0.00502781805695515	0.00828442997672757	-0.0605998836197031	0.0393842476269605	-0.117443412263621	-0.0503762238314778	-0.129504795620148	0.0810785704898566	-0.119726638289891	-0.124226074625058	-0.15438989581966
"1181"	-0.093566866308578	-0.124563232012291	-0.0864574281449876	-0.153689550261427	-0.180148389505641	-0.123762051829093	-0.246617909858169	-0.106331298549393	-0.124051731132911	-0.0486756210000458	-0.170520303153129	-0.168200336076809	-0.0917176106356416	-0.183020198561625	-0.110828077483128	-0.0984875576052042	-0.165163010169467	-0.1012188016586
"1618"	0.0867222688708845	-0.0794500899512989	0.0329086566413137	-0.038637726855732	-0.131153887405398	-0.00165213752468429	0.180395745614377	-0.116431012762186	-0.107472109110065	-0.0486981707288309	0.119150958041613	0.0641880005466063	-0.0803550948847666	-0.11884999063224	0.0170934255344503	-0.0693759846884034	-0.110552305319719	0.169944654232803
"79956"	-0.152463858895847	-0.0392617433745959	-0.175988151015341	-0.0405255395446206	-0.138782917582722	-0.0859282334244992	-0.26451726295727	-0.10820765256863	-0.120074466057251	-0.0851389764884867	-0.142844889003859	-0.0860660342388751	-0.123080403435825	-0.284458292879226	-0.0578916656455599	-0.0712114517043367	-0.137531508090766	-0.0996381774244204
"80256"	-0.280184390113521	-0.142476689501488	-0.193422560635248	-0.237418063156348	-0.293674865864113	-0.187530436594149	-0.20039268124136	-0.0924499848164476	-0.0793185527341262	-0.0476176782598842	0.0499229977493739	-0.0899242802346541	-0.164800396782839	-0.246577958392353	-0.0885453774647483	-0.0773962155401037	-0.176153898527701	-0.126387628375161
"196483"	-0.564598410305555	-0.630597308157963	-0.66822982573109	-0.693163185854651	-0.729325220380519	-0.761781595651588	-0.631975116580656	-0.551072796387469	-0.670503363460073	-0.63218732813096	-0.619524482261968	-0.682831783030457	-0.697223029716292	-0.734769775573245	-0.603724542536004	-0.511396381069055	-0.61417860272764	-0.714266805760654
"2091"	-1.10617782043909	-1.23177148805878	-1.08244486225234	-1.16882337887517	-1.14737358689213	-1.28185826134474	-1.17885512715735	-1.00006483019669	-1.10090734692262	-0.951965006233245	-0.919624037407083	-1.24911974105129	-1.15633377377522	-1.39636311523751	-1.14254123031623	-0.995485886496608	-1.42305004087481	-1.30130970057986
"137362"	0.0720533262056967	-0.0184302331562566	0.155849949489785	0.0194982755871376	0.153698403439033	0.0410069077778965	0.174062645817145	-0.076112814250762	0.0328989963730524	0.0743778310601393	0.172158829689851	-0.0151772448928005	0.075952025636418	0.135216197609589	-0.140139092863679	0.00959267809875156	0.126170398100936	0.156285877416286
"51179"	-0.181930011463998	-0.344060658386968	-0.198198961368374	-0.22596333329653	-0.344655755902595	-0.186418204703046	-0.250553611088503	-0.315758599858795	-0.281866759837758	-0.245939888870214	-0.254589771648065	-0.196914802726444	-0.21178430580909	-0.406199862248554	-0.168968756362312	-0.069090605036382	-0.267133252446415	-0.168294155451183
"3233"	-0.179840043578388	-0.182224439816832	-0.137318290476724	-0.150954695578028	-0.192575325388861	-0.121611990685539	-0.250332848143324	-0.0883574667486779	-0.116017143418746	-0.0586035726164009	-0.0526079420299496	-0.204826356937665	-0.202960858656368	-0.180512476396317	-0.130421531855695	-0.0220839489475284	-0.142207960840844	-0.190145095865881
"163702"	-0.38079660515685	-0.230404360466914	-0.370237593946903	-0.245792807136511	-0.53337286551283	-0.249699284742259	-0.350780764856955	-0.175033693558049	-0.330989835895506	-0.293382363571856	-0.288210885157094	-0.266838661467085	-0.310811378419684	-0.382819063837452	0.130758423465028	-0.195110814139988	-0.26045930429096	-0.406003557971237
"3549"	-0.123403614387271	0.0689457804129881	0.0787535582802838	-0.00291053280021059	-0.185221724419147	-0.0228238946850918	-0.0947318937274242	0.0610708175381011	0.0185990174351334	0.0582954525458092	0.066986669993492	-0.0622606483901481	-0.0192378866682765	-0.155803932790052	0.0392882119150149	0.00358778312312939	0.0919828956386866	-0.0964692941302942
"9766"	0.10529200992588	0.22907753462933	0.135813347558327	0.0617893804602	0.247449347295556	0.215929337621288	0.237805169092119	0.109362566314128	0.228358327473001	0.0116751507549218	0.205548500822525	0.138393833079022	0.161298964111492	0.329546119491996	0.179744002591208	0.0749759750118391	0.216727169620969	0.126435408887929
"51690"	-0.880287214267454	-0.947509097104081	-1.11089513337923	-1.14324836410481	-1.12872633366371	-1.03058808123907	-1.12617340290545	-0.955206877375339	-0.928231864035627	-0.976703890054578	-1.02933294258806	-1.05317490049835	-1.1637174133824	-1.11717693554908	-0.962643312279868	-0.965577208215107	-1.15474242994604	-1.13766137881255
"28998"	-0.387548142511273	-0.497586546933847	-0.49414847539228	-0.419333713346405	-0.481095061503737	-0.36249283529031	-0.472933943215065	-0.323838733385619	-0.515744396349509	-0.375131048296662	-0.569782270794782	-0.517119495223338	-0.35531845101784	-0.707160338820445	-0.507082989360805	-0.246024181826208	-0.47036054554354	-0.549794897581058
"65080"	-0.41947877283764	-0.294600566137281	-0.388890675826128	-0.329226837894399	-0.369438747181323	-0.26917003985382	-0.346358238861935	-0.300154713710303	-0.217974894470863	-0.277406141094684	-0.312985057202583	-0.376614890697256	-0.326431042357166	-0.461366733528248	-0.173259926629185	-0.218627666892845	-0.232561022588687	-0.2841821624121
"390275"	-0.218768832006013	-0.276835731571454	-0.328765071209163	-0.353692382207145	-0.517946005439851	-0.311288152137733	-0.332108118868416	-0.240863905925248	-0.136036975499892	-0.19468626599352	-0.249321981072984	-0.32559521549914	-0.522700872585458	-0.48888013209103	-0.309417649196897	-0.349645428621129	-0.408783657004925	-0.236857392576372
"54984"	0.104493356673804	-0.114838747325703	-0.0167984105164466	0.0337163556826134	0.104187742744615	-0.0175570815206477	-0.0907010305130517	-0.040233766352074	-0.0835530984189097	0.0428919837064457	-0.036367718973702	-0.102023537974565	0.0501210771300899	0.113387860392931	0.0514500916940157	-0.00397879276199918	-0.0862277475998712	0.0375122399803909
