	"ACH.000021"	"ACH.000070"	"ACH.000123"	"ACH.000146"	"ACH.000362"	"ACH.000527"	"ACH.000537"	"ACH.000657"	"ACH.000770"	"ACH.000782"	"ACH.000878"	"ACH.000947"	"ACH.000948"	"ACH.001735"
"78995"	-0.204894171419733	-0.300441092146191	-0.272403974031702	-0.146985750788479	-0.262623769120115	-0.206703491073072	-0.254830984072566	-0.28297184256714	-0.247981178468648	-0.217329186386546	-0.142862430828565	-0.300238486439589	-0.29327629042899	-0.282915766883804
"10523"	-1.05129086874155	-0.908965402104641	-0.950692213310361	-0.970043751530284	-0.986281480486681	-0.955626520843296	-0.991127524190626	-1.05352808150917	-0.955012252873509	-0.957387760583349	-1.04359297389571	-1.13029413879025	-1.02710891115368	-0.997483923949281
"9486"	-0.0199627398914013	-0.13941163898934	-0.152066663253167	-0.113682112314987	-0.0944952276368573	-0.0869918957660595	-0.0136579131447466	-0.156735540641763	-0.0575212394288793	-0.164429336603137	0.0101391004655689	-0.13079763075615	-0.193212995125908	-0.0775684966765069
"28958"	-0.243793812497009	-0.358731697597083	-0.243966416547368	-0.439275582928049	-0.173552000126802	-0.288018886797431	-0.48876749116452	-0.295754005330111	-0.145299330940541	-0.352105574378277	-0.116413322812371	-0.405967828146334	-0.417519320206024	-0.237421834043321
"1998"	-0.0794377859501686	-0.206430923832505	0.0494008420687194	-0.261422589749197	-0.106744573408775	-0.0827443423122185	-0.162837731887737	-0.177062957510271	-0.0819562686242943	-0.312026061456371	-0.0962933700184543	-0.0898455398299423	-0.139917809002199	-0.0756167671497124
"10056"	-1.51331010688022	-1.31765812865491	-1.3570015592951	-1.65022061421292	-1.55191776219354	-1.45937381562186	-1.68255024794824	-1.6126769164702	-1.5090580454067	-1.49984232689422	-1.6101005147999	-1.66979994638573	-1.30245301195204	-1.619219809652
"8870"	-0.125909916722876	-0.260481684646221	-0.233425510458995	-0.202718465803088	-0.233711100258499	-0.169466603491817	-0.262684600752294	-0.168427396216338	-0.18015633762419	-0.253216706519156	-0.279935430275924	-0.146497782829757	-0.188559700432153	-0.287234810283689
"3735"	-1.32223165542298	-1.18315753275498	-1.07008221469245	-1.32366325709863	-1.14154548376097	-1.17230892747	-1.42644180561994	-1.2157529785762	-1.25849731667475	-1.28536216932262	-1.27318590882896	-1.25100694507622	-1.09168608164251	-1.32066166477073
"79165"	-0.406766605366749	-0.409182584373218	-0.399380092652441	-0.273454086624003	-0.24599371560755	-0.459226713124509	-0.40886280186342	-0.304883078254693	-0.145934777586608	-0.285895299544478	-0.278405067660813	-0.367157395387038	-0.483388486772443	-0.281291865552265
"84171"	0.00828416653758185	0.0866177980356867	-0.018407699023264	-0.154851263969903	-0.0345181828182264	-0.0525037754632458	0.0202243573955529	-0.149586172192226	-0.0643289720076557	-0.156227970503209	0.128816067602059	0.0172503196150636	-0.0633137979497073	-0.113391862074559
"4713"	-0.546480861150047	-0.480136631504194	-0.414470108551882	-0.402779571747266	-0.29144413424603	-0.41173275452151	-0.495134490763453	-0.406691339816805	-0.189828581186578	-0.307136988968245	-0.34808825858594	-0.636773703366669	-0.611764121297977	-0.296342918466246
"81318"	-0.137836946920472	-0.256298776111241	-0.134803539365691	-0.169131516897621	-0.151412156618774	-0.141338710937599	-0.129441514986325	-0.25644152423963	-0.165610844800098	-0.128385166165117	-0.21649921336156	-0.147827241107717	-0.123219743753442	-0.281310227816689
"87178"	-0.706835704652661	-0.636728464367987	-0.577345389366744	-0.606402004479466	-0.329272757166042	-0.61669925179138	-0.546800653883451	-0.590061090803212	-0.60328870901017	-0.565659505045751	-0.594286936897843	-0.625466244721457	-0.633253764696906	-0.493065179166956
"5836"	-0.0511486702993809	0.0162313737818313	-0.0567717564948062	-0.102866234285754	-0.0469224013246681	-0.0752227782343244	-0.00208299965589773	0.0140521308523475	-0.019289227166297	-0.108684859796844	0.00472200437838551	0.00967818355706168	-0.0374020828849592	-0.0475409503820098
"5982"	-1.34954613462525	-1.30825616085245	-1.22878246463965	-1.49067908479377	-1.34867911941545	-1.23190103728972	-1.53582746138414	-1.26918283143181	-1.16943178261629	-1.38891916747022	-1.46421294089571	-1.29274398879985	-1.06447666983506	-1.34634357624735
"6621"	-0.783474066702622	-0.645989962366354	-0.679751184652776	-0.743579226236928	-0.570105000693732	-0.579767299214486	-0.834984443613362	-0.772007605318729	-0.569383369814963	-0.717899202762661	-0.798437210720505	-0.778647012284155	-0.660615322057643	-0.770037187331511
"729873"	2.01078915252059	2.10580081321654	2.05451976038957	2.03663833654169	1.91694688088116	1.95564639099017	1.96997093522181	1.8980667607905	2.03339887021624	1.88511458798129	2.10589263860321	2.01305696505475	1.99538226950942	1.89129174259254
"81554"	-0.795293679756475	-0.597263173719674	-0.595391212529037	-0.509368630309973	-0.446412760834927	-0.645083278208088	-0.782538144673019	-0.634816082740455	-0.420558119364406	-0.432301297857259	-0.557101908066381	-0.745306616900668	-0.807728026847532	-0.587910445352635
