	"ACH.000012"	"ACH.000015"	"ACH.000025"	"ACH.000028"	"ACH.000035"	"ACH.000086"	"ACH.000095"	"ACH.000127"	"ACH.000133"	"ACH.000138"	"ACH.000148"	"ACH.000152"	"ACH.000169"	"ACH.000188"	"ACH.000211"	"ACH.000215"	"ACH.000228"	"ACH.000231"	"ACH.000232"	"ACH.000234"	"ACH.000238"	"ACH.000253"	"ACH.000255"	"ACH.000256"	"ACH.000261"	"ACH.000265"	"ACH.000288"	"ACH.000307"	"ACH.000319"	"ACH.000332"	"ACH.000348"	"ACH.000352"	"ACH.000376"	"ACH.000390"	"ACH.000401"	"ACH.000410"	"ACH.000425"	"ACH.000444"	"ACH.000452"	"ACH.000458"	"ACH.000467"	"ACH.000468"	"ACH.000472"	"ACH.000475"	"ACH.000486"	"ACH.000505"	"ACH.000510"	"ACH.000511"	"ACH.000522"	"ACH.000524"	"ACH.000527"	"ACH.000528"	"ACH.000542"	"ACH.000552"	"ACH.000570"	"ACH.000573"	"ACH.000576"	"ACH.000584"	"ACH.000623"	"ACH.000627"	"ACH.000638"	"ACH.000647"	"ACH.000661"	"ACH.000665"	"ACH.000676"	"ACH.000677"	"ACH.000681"	"ACH.000683"	"ACH.000696"	"ACH.000706"	"ACH.000713"	"ACH.000720"	"ACH.000732"	"ACH.000734"	"ACH.000760"	"ACH.000765"	"ACH.000768"	"ACH.000769"	"ACH.000777"	"ACH.000781"	"ACH.000784"	"ACH.000788"	"ACH.000791"	"ACH.000819"	"ACH.000832"	"ACH.000835"	"ACH.000837"	"ACH.000841"	"ACH.000846"	"ACH.000849"	"ACH.000859"	"ACH.000861"	"ACH.000873"	"ACH.000881"	"ACH.000882"	"ACH.000884"	"ACH.000887"	"ACH.000896"	"ACH.000901"	"ACH.000905"	"ACH.000906"	"ACH.000912"	"ACH.000932"	"ACH.000943"	"ACH.000948"	"ACH.000973"	"ACH.000986"	"ACH.001232"	"ACH.001239"	"ACH.001306"	"ACH.001318"	"ACH.001336"	"ACH.001368"	"ACH.001380"	"ACH.001654"
"417"	0.0477579288116634	-0.0154159446834277	0.0598893258070454	0.0234265088476164	-0.0263920370648689	-0.0121719356873806	-0.0612599327223462	0.0358856159065269	-0.0449418410827344	-0.212779091846238	-0.0577525578348558	-0.0368281590621052	-0.093068639742747	-0.0045469010953894	-0.0262984799758024	0.028388631719216	0.083599211610117	-0.0200322930894614	-0.0313594098638785	-0.134972920917113	-0.120342648814104	0.00593282758428468	0.0948744960255968	-0.222386536339764	-0.161327599796947	-0.0770667816505423	-0.147390025534953	-0.0903651585874036	-0.0423446345377884	-0.0303831701322209	-0.104526016299083	0.0151701644251632	0.0623121655148266	0.0414210836285452	-0.0296130381530112	-0.0436879742454191	0.109326317437654	-0.0192012565219188	-0.0392943898823021	-0.0672527400530054	-0.0680524524332023	0.0685269568716263	-0.0699992420177879	-0.0735688945483119	-0.121851259268643	0.0201794463328478	-0.117406140315361	0.0722670338007362	-0.12367859227226	-0.045588779954121	-0.0763341463210433	-0.0638113151869465	-0.0138724789188317	0.0786196536760729	-0.0745614961312559	0.0143784912009036	-0.0714850376299113	-0.0945491193097572	-0.127687552273198	-0.0585238380660841	-0.00505757024742768	-0.0991339279715684	0.0654906231634965	-0.01453834463639	0.123470833443372	-0.0576065679555215	-0.0712874864899626	0.0149351607625651	-0.0043082929555309	-0.0457071605922332	-0.113766796096286	-0.110008103528537	-0.0374864336475509	-0.0756439489753779	-0.0441558042035315	0.10114202196118	0.0799147068101389	0.0576619052256772	0.0141355404161631	-0.0118647643103719	-0.113691632887402	-0.0676667873296238	-0.0417114442917544	-0.197501034726469	0.203443453854135	-0.102847143464759	0.013876407893988	0.0372512486402312	0.0427250950417787	-0.0832016898985711	0.153174649788683	-0.00158768586577495	0.154823493586732	-0.0708415894599024	-0.0598156568776804	-0.114958235351506	0.0423716273064483	-0.0499306266740829	0.012935287832199	0.101090620819742	0.0448442029016873	0.0145999526758815	-0.180672326225928	-0.0339365616549418	-0.0896103042440338	-0.0397119462332515	-0.16658336517283	-0.092643243800409	-0.0260322803884698	-9.51932840273584E-4	0.0916328765956312	-0.0767262765319281	0.0675242007542256	0.00180004605813024	0.0100823210983178
"474"	0.175371146153506	0.0241583945761167	0.0374488746818743	0.116947259494738	0.0798381245060042	0.0806398349674984	-0.0349202409696849	0.0642666424917881	0.0781089968869813	0.159697507163862	0.170942050054142	-0.0581030619412684	0.0435656779396032	0.101351749912234	0.0912172579483212	0.00525284175549626	0.0757330230333203	0.0943844223053892	0.00559816089034261	0.0810528930527348	0.247173415945122	0.0767930600356344	0.0168188567508416	0.0771145396227049	0.0336636308535951	-0.0738192807739625	0.124048778055434	0.0154042043652255	-0.022586270812191	0.0848598909235208	-0.0257129204052571	0.0210365012779593	0.101579779277528	0.0792471914606136	0.0504287089727721	0.0885480520461565	-0.0143783908389617	0.0930259522106624	0.0698202342546891	0.104119706492815	0.0652489757658404	0.0387031691567669	0.0895333483565929	0.0762481179950726	-9.01283254714267E-4	0.0317366422726688	-0.0818481058443809	0.181986719881122	0.0937556973327864	-0.0675784917754784	0.0987564474343979	0.141896650886548	0.0808445816779063	-0.0408889399846252	0.101595833166081	0.0166454978274479	0.181711008227664	0.0969477418957097	0.0810244281478557	0.0762289399300416	0.0178891185457887	0.0860006198762917	-0.0590789592562258	0.0473031669430771	-0.0125892062248103	-0.109575942579323	-0.0119529388612292	0.0618588072158429	-0.0358376954178594	0.20118501090761	0.0417101575725868	0.0329104366673442	0.0968111628741498	0.14204217597295	0.0530493924013225	-0.0867951841225321	0.0601130734176459	0.061181621271929	0.109456956787089	0.0846667563802847	0.0340785017682568	0.126492266570703	0.0797963191516559	0.0705149504437104	-0.075764371657816	0.152767798557203	0.146901381713754	0.0537381394650405	0.0362405095358362	-0.00997106071240668	-0.00873633418819595	0.0842677719090813	-0.0412643731723065	0.168816786699914	0.15096829373645	-0.0377625308350774	0.0421662771580071	0.0440792386208277	0.0751158674969511	0.0614141187035117	-0.0190798452481299	0.0812388942709677	0.024879306833382	0.070757911007857	0.0827547391933157	0.0900750479412682	0.0814065563571146	0.141838055478691	-0.00385996629965885	0.0256967470915106	-0.0604047968928174	0.206965642244595	0.00161908012242726	0.0540438890460161	0.0957879377930567
"79591"	-0.0750142794887678	-0.188335277460692	-0.517828490666154	-0.250327868391367	-0.135710924562826	-0.295168932080886	-0.101604055690152	-0.376984351841719	-0.0590532191692496	-0.328485165781809	-0.36564254101618	-0.298648662862545	-0.0496940795523247	-0.16488309732543	-0.150478188090421	-0.163580613984198	-0.168132366885601	-0.100095153001463	-0.200886827725335	-0.215186122742696	0.0412650538462999	-0.263596822351901	-0.186450620152608	-0.251028673980067	-0.100874537733044	-0.123792153726232	-0.330293059210732	-0.232059520503841	-0.424730708578401	-0.229333514268613	-0.267500876802184	-0.224112765504179	-0.253586685738416	-0.119759409853784	-0.211219976933147	-0.127903940903427	-0.309154919913197	-0.206067082943943	-0.184841073605625	-0.0974463437126914	-0.280038497302834	-0.263235403323612	-0.114044667233164	-0.175237650230182	-0.0688650038775503	-0.154792833191134	-0.109512946392836	-0.372224198930243	-0.308168395654264	-0.222529885071038	-0.15180653297751	-0.131333876995779	-0.25531717223204	-0.0740502401255649	-0.225188324991656	-0.227748088351787	-0.228218661544762	-0.0608909672210886	-0.232882139514202	-0.336604657838439	-0.132322748874966	-0.144961494370954	-0.144444093747076	-0.123574170557349	-0.134922460958478	-0.244716674953535	-0.213146676290893	-0.0396162634783965	-0.335913958501482	-0.0992782638833223	-0.200051246066477	0.00752207238018938	-0.20621752029881	-0.149529988460018	-0.208506485918832	-0.221723656977976	-0.264120816988946	-0.259833342881322	-0.115289770764191	-0.127597017812943	-0.071582207205	-0.0771464833121309	-0.136314083967753	0.0868391811718672	-0.111012606555874	-0.217719207467192	-0.257329918385893	-0.459806308147015	0.0147955125289461	-0.284483098552146	-0.378864118546942	-0.385189902302599	-0.315714741351032	-0.327443065032083	-0.429719620434639	-0.39484657868262	-0.160381501890356	-0.0292814192973271	-0.0867078882442374	-0.332682332968128	0.0186756614180116	-0.304236032843555	-0.303752745756433	-0.211219127447037	-0.141478617768912	-0.355126257687723	-0.0280271532017382	-0.35259578206507	-0.205634366452172	-0.340951694273452	-0.221690191301931	-0.138948891219296	-0.0315273291303929	-0.155471519334767	0.0455545249002947
"64771"	-0.109418417222289	0.0399630456282856	-0.0231754705631198	-0.146349524060152	-0.183024994304597	-0.0832505687232681	-0.018577116398667	-0.220597504303637	-0.113611542417177	-0.141543451600757	0.0050669695069101	0.0354923980186014	-0.219737282787209	0.00886562670827731	-0.196014840452297	-0.198634307699618	-0.146697231661887	-0.0590908248152648	-0.141695243361977	-0.111965996499586	-0.139157941534357	-0.0580193606089516	-0.147482804673473	-0.163057695669067	-0.124091309249737	0.0133519681201513	-0.111997561616075	0.0262124119408219	-0.0186509782788331	-0.200748243854377	-0.0637112394377615	-0.242164830808566	-0.128398475604684	-0.016869557105914	-0.00247921061447969	0.063860521736289	-0.148702465148631	-0.13289521817504	-0.110441525039677	-0.0936120014664709	-0.0486990027041512	-0.0842584314456102	-0.0919756774506534	-0.150620315845793	-0.124950727763974	-0.173321607797537	-0.0992723166421234	-0.128512047900935	-0.070622159014546	-0.22801432291495	-0.216548932859884	-0.236678866487714	0.00841944513946641	0.0479172297823513	-0.233717014469351	-0.0892482153716569	-0.0935382483696814	-0.128904943821588	-0.0787855859113077	-0.165017769254249	-0.112010125061743	-0.146943039284044	0.0263903863001547	-0.107928044089607	-0.0483217457110116	-0.0826774106457555	-0.0728924209608083	-0.0170569718630052	-0.112747056711888	-0.198524342629829	-0.0613138030699823	-0.16966077353267	-0.0941408027892268	-0.145595674778947	-0.0991363172666959	0.0267635999831076	-0.198522788209209	-0.160644630649678	0.0139630764317439	-0.158059459885308	-0.0625924698919014	-0.146653416147401	-0.148287812309667	-0.0948847545221438	-0.128420822547464	-0.143822400480724	-0.0605515609032231	-0.125256402426806	-0.176299761762332	-0.141802934709656	-0.184864958008182	-0.0133270243945075	-0.251188629918533	-0.086352121462323	-0.155194344038067	-0.00339204125894113	-0.134132328615622	-0.057114426184937	-0.0843126891762258	-0.218537252888098	-0.0774073576274431	-0.0848012625485179	-0.168952627731552	0.0161580146788308	-0.20778597233562	-0.155452413992757	-0.168210914874779	-0.085407113580354	-0.257538114103173	-0.106612369272115	-0.068039713470431	-0.290234789138558	-0.054703501225042	-0.15117495435391	-0.0993607906433543
"9023"	0.0326549722993561	0.184790051941962	-0.0674618235188452	0.122340778735946	0.0616345438308637	0.0421252768962711	0.174866599685401	0.0924565309095112	0.0520637441839032	0.102327343829711	0.0699150409882159	0.267676977670051	0.22460364588842	0.204435813882456	0.128629712734294	-0.00724516126613202	0.165718428314117	-0.0245888525579177	0.183655256631138	0.148232852464974	0.152043635946871	0.109774630258748	0.102515945536497	0.0513317618474173	0.188886987753737	0.041140024017517	0.158995450606652	0.0321188357339321	0.164498526624247	0.146967559479486	-0.0098432077503089	0.0134450488533894	0.00826067793565922	0.0648868189586241	0.186666460301763	0.221970377838923	-0.0603494689635834	0.169991656821039	0.00569001049635255	0.113677396675615	0.186945051094854	0.078043623239309	0.123298322838565	0.100185758345157	0.039559654742144	0.139898968392825	0.06847078394123	0.16277199071716	0.11063361390945	0.168419424792871	0.208125089496024	0.101156550537471	0.13373908550747	0.0257164482175428	-0.126402632466885	-0.0415054904974107	0.121261968654602	0.0701757984941005	0.0663190039803352	0.102737103307976	-0.0199012098897098	0.0341763217143289	-0.0414093715886488	0.0950122337304131	0.168503264044564	0.020277797316506	0.288472329573087	0.116539417450513	0.136114703528037	0.122362914732029	0.124122217172798	0.121201399533754	0.252047389347888	0.0142303390202377	0.0387258864840657	0.122783185104573	0.14119833843874	0.0623279860774842	0.106567958396569	0.0502505031200778	0.0353338088014713	0.16867860160239	0.162239466001992	-0.114058255408506	0.189651776263351	0.129456330730757	0.0426650408539841	0.0432734374538897	0.197696548024931	0.112001064412486	-0.103670065348056	0.0309473610540994	-0.0430969482562156	0.125096187018972	0.0661912314019267	0.191212160296747	0.130012971793394	0.128689153484649	0.0713644961707429	0.251618959902516	0.124786176970849	0.0191630717904093	0.070985986935081	0.0810295177837118	0.183321177943759	0.123030590318195	0.0560248215229013	0.0760356821183807	0.159823967223014	-0.0490970058374389	0.109494745034609	0.164100668827035	0.190109558242479	0.133383260498252	0.0596049669069754
"9382"	-0.580010162337573	-0.411630611972099	-0.468913007392577	-0.511631429976533	-0.567076037870783	-0.733348750873846	-0.413891095271687	-0.349142509577976	-0.458301168249264	-0.481764687493633	-0.67106406066132	-0.607124052194964	-0.6143669227729	-0.599868879688291	-0.329257505289997	-0.235717131738375	-0.40136246658784	-0.696623371673971	-0.469349271217941	-0.433224040028767	-0.642567296533925	-0.543559315835572	-0.590476933090476	-0.394297148710556	-0.379517993013288	-0.237491273946851	-0.551224731992286	-0.511085091819494	-0.826992530252319	-0.393288168525055	-0.454834331227509	-0.362963005356523	-0.414537204028292	-0.377754807150834	-0.41052455585293	-0.286361012542104	-0.564803564378874	-0.490005116748828	-0.382655889360802	-0.508929393473159	-0.688746691991568	-0.42126699461422	-0.363128538268143	-0.797479576929603	-0.406429760271114	-0.296926173700269	-0.298884946049951	-0.537052607849464	-0.457546132223074	-0.728871896916684	-0.527920406792726	-0.787122000965501	-0.309022483072302	-0.5285849494144	-0.575434530003484	-0.629828823768817	-0.442917433441778	-0.284191928316908	-0.613226418253685	-0.461895324815309	-0.311224942045165	-0.507068926355768	-0.271687961525187	-0.290262798816611	-0.396029111795231	-0.449624914522073	-0.390955738270179	-0.320610437041289	-0.539963045008046	-0.337048427640799	-0.398826879668376	-0.509461980350444	-0.919164049803532	-0.28245883196813	-0.456018565860947	-0.459321852790506	-0.589904161313543	-0.303962711386262	-0.391909415650977	-0.534504998935433	-0.607795812874862	-0.463473720987124	-0.423595288262226	-0.510832601476066	-0.404322717467565	-0.314880330721789	-0.366044459983666	-0.439469604015647	-0.320299905416687	-0.36164900023622	-0.565521681379283	-0.504970666159154	-0.505736640159767	-0.285233112631854	-0.605220646472221	-0.660217645774996	-0.431118772250084	-0.360952313663235	-0.34087623418592	-0.462123589938837	-0.333669011318657	-0.246990905441575	-0.366059904470685	-0.425469346362351	-0.499043486307396	-0.377157841630398	-0.585159607387779	-0.722843810928883	-0.308462160740785	-0.298348675269258	-0.485826160238343	-0.513099820119296	-0.376796456521064	-0.573589984148644	-0.380433482248987
"22796"	-0.510115272275749	-0.662110711982299	-0.703288451271315	-0.604975807450908	-0.717151127143078	-1.02737365656201	-0.476566155702355	-0.717267419349201	-0.876336013207477	-0.494734390984205	-0.758260987216163	-0.520833217346694	-0.617556661935622	-0.525683414200758	-0.493904335069103	-0.549059134355268	-0.535960090539419	-0.578693714742469	-0.666346838711748	-0.681023272649353	-0.478613424618189	-0.612080711297478	-0.630129290400397	-0.651700040100707	-0.449568772887138	-0.423498901078114	-0.689995071389298	-0.541531428141589	-0.781087178196017	-0.550976671652431	-0.605606590482371	-0.578354831598383	-0.663279935509948	-0.594860840783446	-0.764817162581063	-0.719241783571929	-0.780196495595161	-0.549638135111709	-0.623612125261398	-0.478497811465814	-0.702662887033167	-0.622312443760992	-0.533421369788563	-0.600077154255194	-0.736636850553392	-0.575518476062574	-0.605311821288406	-0.685830001107359	-0.623868812929119	-0.515519699001253	-0.719671749349808	-0.706416158133709	-0.542067664925033	-0.671922831593282	-0.667792512970838	-0.574721673352382	-0.429782454955762	-0.577628792488982	-0.639367956251057	-0.776185855175376	-0.460465345434366	-0.587759430297791	-0.496709285963907	-0.389191286284775	-0.616741884889858	-0.606635275872949	-0.473503398169096	-0.498073234756596	-0.678825228127583	-0.606971338411873	-0.699849838790673	-0.563471300848871	-0.5899303008395	-0.468158434235588	-0.592627354883354	-0.659691900648523	-0.697644890207449	-0.493729621892711	-0.566581240937666	-0.536507214468635	-0.579799340275848	-0.422502501718193	-0.57741628538174	-0.629081246622229	-0.713519698138716	-0.682381837596091	-0.622249896899918	-0.396846513932405	-0.593629038109137	-0.623761569642716	-0.645953831346071	-0.487098860258232	-0.771466837773571	-0.414894622221678	-0.648391422169672	-0.748356367297873	-0.450208307172577	-0.660071518648257	-0.52201168722273	-0.525238397957302	-0.495148859737839	-0.330601321916737	-0.661011033154927	-0.537066269319985	-0.795647447940453	-0.634201973846216	-0.590058238183609	-0.51448127612652	-0.464524721774307	-0.616860826646182	-0.622287539655459	-0.558626806884635	-0.576939165961562	-0.630879986264452	-0.679785826619895
"83548"	-0.894639004618392	-1.04890186676989	-0.865841892836001	-0.96431397548106	-1.01871541604164	-0.94791311579019	-0.876935340762047	-0.822389682291269	-1.02864393592508	-0.983252699060689	-1.03500616776142	-0.985207933766141	-1.0816789160963	-1.00579256072149	-0.730490516304066	-0.770863777466267	-0.724062984055656	-0.928473893057283	-0.859476259097258	-1.01760427387811	-0.9722751285113	-0.723222721525334	-1.05017257293502	-0.974861264060897	-0.73760750494367	-0.81686081361458	-1.20136404021266	-0.969102754152193	-0.887560828753067	-0.862481628006281	-0.926416604373778	-1.04785333534091	-0.770045642633205	-0.8786042712368	-1.02194982007464	-0.791029993440552	-1.10809016308095	-0.905340158038511	-0.796536525545578	-1.05021092201112	-1.00718403925116	-0.831069952779667	-0.62838464701577	-1.11479078972452	-0.803192791284812	-0.80757666167305	-0.803051268141697	-1.17577152653236	-0.781618409347067	-1.03063268511658	-1.18532524822043	-1.16299512642216	-0.71760012452385	-1.02920168640498	-1.20165924113414	-0.760190364446625	-0.867276806299117	-0.709949667454633	-1.04325802980265	-0.847900191501191	-0.814307272996363	-0.870537530287369	-0.83122379270633	-0.689931163782771	-0.63340102999654	-0.962619190627066	-1.07571979798882	-0.637187549636134	-0.968919591548204	-1.07569574830871	-0.973439623515799	-0.801116930324449	-0.975824575245401	-0.762256844041158	-0.773277419066185	-0.662304446672242	-1.09337341995122	-0.788655834737226	-0.806447232441228	-0.982370744319873	-1.08033296582776	-0.644820323584263	-0.837892385753121	-0.742758776224584	-0.869596034821142	-0.802984608583	-1.02081906022194	-0.712723540241784	-0.701834445991031	-0.785460314146055	-0.747411740839275	-0.931067821579136	-0.879941572548832	-0.969818623720971	-1.04032019537953	-1.11724133089354	-0.856486282755457	-1.09251296591376	-0.8629717408045	-0.878121541461384	-0.763941486723717	-0.495469301311723	-0.879734105702805	-0.742985953891731	-1.03602888075693	-0.708528009768476	-0.942219075830109	-1.03636212369825	-0.747424952218967	-0.794153025469104	-1.23606289518713	-0.960555752326742	-0.667146181565026	-1.22308928264268	-1.0878331078269
"25839"	-0.489202404072002	-0.573406367424932	-0.616571574859533	-0.38210443399335	-0.384064038823382	-0.621989293333521	-0.511837677233545	-0.356123910064266	-0.546607853700043	-0.612718164448271	-0.708588404259841	-0.580327238740709	-0.427482716774304	-0.429342200438921	-0.473546378721087	-0.359875636590286	-0.525062688923662	-0.440659207893034	-0.419807656509624	-0.526322215282085	-0.601876140299124	-0.557086240619341	-0.626551627250044	-0.558710457797347	-0.43452495456959	-0.295487607578174	-0.596727298859998	-0.532071545682956	-0.644035812904224	-0.559783310104107	-0.536515921003978	-0.733156167736621	-0.579064064817639	-0.47190399666886	-0.657942694612705	-0.592741787337032	-0.571660253433416	-0.588276785110243	-0.50044391688433	-0.518616092984141	-0.654801678372211	-0.474811900310621	-0.490476582428748	-0.571401363417199	-0.444957672137533	-0.556542838733572	-0.338515938010754	-0.675858624978291	-0.504772886204333	-0.6794771724873	-0.758317883557038	-0.838584362020051	-0.4634107452074	-0.56946948060444	-0.5875897453746	-0.663128286882404	-0.58990468859608	-0.595057946764473	-0.529597714159662	-0.413038651280049	-0.346705998616305	-0.563113111556825	-0.384715121651114	-0.322109918647343	-0.453159676187231	-0.617188554229075	-0.600107954057275	-0.428582715540431	-0.50569909338056	-0.729171315164214	-0.536062512804762	-0.47559619664213	-0.77415056909298	-0.381027095049826	-0.432154798551938	-0.412862680341256	-0.693846589180287	-0.531247687255526	-0.634966554355319	-0.535619830043281	-0.543118278925225	-0.379392898653638	-0.621575926470133	-0.524732790459054	-0.628210722297005	-0.377553169554638	-0.705576821799498	-0.426489394331952	-0.520925100795584	-0.669716135233346	-0.672176736142877	-0.378791453214994	-0.56066990660079	-0.378422923605906	-0.506762671193767	-0.617321888781301	-0.604999793721429	-0.513053791898939	-0.432714021700081	-0.654185430058478	-0.323696109929751	-0.221971098788211	-0.562266633195137	-0.444857704496282	-0.795704855779256	-0.573133158171164	-0.676325932463936	-0.698130540461932	-0.437194995469774	-0.418897966312236	-0.832776911676628	-0.575694091320132	-0.514360589547819	-0.510867977504138	-0.495479350076499
"57511"	-0.202724998921809	-0.573932309828878	-0.447932236150794	-0.3116664712731	-0.3906776084581	-0.546185562081235	-0.410819384690308	-0.487048632779837	-0.542783690315998	-0.395047429853532	-0.412082240313454	-0.40283020885061	-0.50229606766585	-0.463732331339955	-0.423746644585522	-0.195095574629805	-0.227645997286949	-0.481085792442205	-0.503955160439469	-0.407512610802372	-0.335736435789775	-0.329042203487244	-0.352131740141686	-0.340817974896478	-0.421153506116107	-0.295333565248397	-0.581331825574445	-0.331925886740385	-0.423342429688203	-0.256473334250719	-0.410049514796421	-0.337903489991556	-0.350884524553172	-0.391477890013491	-0.317706648532834	-0.528421317140018	-0.838734860160462	-0.563881165385926	-0.456204290660499	-0.297655122494784	-0.380952270250416	-0.499172145119297	-0.332372342252701	-0.548523244438568	-0.43015054487546	-0.359395576678015	-0.368236000775257	-0.537408264337746	-0.519530031785106	-0.390287588164929	-0.539041417677757	-0.661050371616319	-0.333830421641164	-0.328043683649409	-0.537420975909494	-0.351063298853513	-0.218544513349906	-0.271985706296035	-0.413523841715207	-0.759389161493481	-0.35429466560038	-0.325060503716739	-0.483103617067006	-0.423397471105154	-0.312230334889748	-0.30282559266661	-0.248421365113007	-0.338091688381965	-0.513779977972887	-0.353747066687984	-0.340030170303952	-0.310433232395548	-0.439994131087212	-0.364026810228301	-0.25837860089607	-0.272983160239913	-0.631170126831436	-0.49423589548802	-0.34322488236698	-0.371731117398025	-0.464455912500035	-0.379342136619215	-0.26834262952511	-0.167937705653996	-0.583474590597605	-0.300040435430368	-0.339480081681917	-0.355407685715846	-0.333250983956467	-0.324343114994303	-0.399490209111307	-0.364581721146613	-0.465225265309035	-0.501627136708856	-0.518958946962653	-0.577145570177762	-0.317036596073854	-0.359238596450843	-0.381273248809278	-0.590590097106794	-0.323809267141118	-0.286380212027509	-0.345483754975485	-0.304265838224744	-0.224959341804615	-0.332214185476774	-0.526699159084954	-0.507142327254733	-0.373032215573631	-0.350302113606438	-0.355914543901763	-0.451792598086939	-0.308339177456352	-0.277415994897927	-0.44557981035345
