	"ACH.000009"	"ACH.000013"	"ACH.000021"	"ACH.000022"	"ACH.000078"	"ACH.000097"	"ACH.000128"	"ACH.000178"	"ACH.000188"	"ACH.000215"	"ACH.000235"	"ACH.000274"	"ACH.000279"	"ACH.000308"	"ACH.000329"	"ACH.000339"	"ACH.000414"	"ACH.000416"	"ACH.000461"	"ACH.000467"	"ACH.000488"	"ACH.000517"	"ACH.000545"	"ACH.000556"	"ACH.000601"	"ACH.000618"	"ACH.000621"	"ACH.000657"	"ACH.000683"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000738"	"ACH.000753"	"ACH.000758"	"ACH.000794"	"ACH.000804"	"ACH.000824"	"ACH.000862"	"ACH.000866"	"ACH.000869"	"ACH.000885"	"ACH.000910"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000932"	"ACH.000936"	"ACH.000937"	"ACH.000941"	"ACH.000946"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.001028"	"ACH.001038"	"ACH.001119"	"ACH.001151"	"ACH.001163"	"ACH.001280"	"ACH.001377"	"ACH.001554"	"ACH.001735"
"348110"	0.0693207844770869	0.0504578673854992	0.117635537074526	0.0730401689124449	-0.026305337916921	0.0780978773459797	0.0628373707470213	0.0967661915550331	0.171826791260945	0.0302554594646116	-0.0165683213338537	-0.020100322100925	0.0388184974370422	0.0722530629702928	0.0988014197745187	0.0459526100862161	0.0376160854367368	-0.100960156525769	-0.0979956750859664	-0.0695696652113908	0.119942558014817	0.00531749978760126	0.134253619818204	0.0534167582445614	0.0740035157660774	0.17340066237453	0.115030857552725	0.0636037397294307	0.00356687582782085	0.126043918017379	0.112458127850952	0.119976041410209	0.0224792196654046	-0.00764797670356612	0.0216767194829267	0.100516634589096	0.0353449388973409	-0.0153193811901844	0.0702489468657596	0.086735895728814	0.108817281353546	-0.0138052403800229	0.113925974256434	0.122642289966208	0.0808517313151041	-0.0289363428586397	0.093217012861888	0.096063692771689	0.0222125892611552	0.0985206707653962	0.105765738349058	0.254463848382968	-0.0272582737023351	0.0431169087360109	0.103862716640142	0.118363576960554	0.11066931266422	0.0271191729109292	-0.0575777974841089	0.0946490992317912	0.104178918679315	0.0761328166480268	-0.0578317125084517
"8815"	-1.04118512551056	-0.921642186925322	-0.99372514766924	-0.816996728595462	-0.887592616119428	-0.838462518536492	-0.942699869261954	-0.849831544771087	-0.841956613570308	-0.98657838637035	-0.755853925625758	-1.03410276835081	-0.934810579444753	-0.955034355923782	-1.00267529044666	-0.872852030675514	-0.952756414622582	-0.886551551307758	-0.979844772110974	-1.02598525125215	-0.7720352841446	-0.967491356141694	-0.795485410816808	-0.924784349024808	-0.86886874446475	-0.936672279903445	-1.06822569790112	-0.837755627002386	-0.932186273270007	-0.747368804375309	-0.83089244731138	-1.02815473198827	-0.911322841760474	-0.883250811403286	-0.874704177342423	-0.776258121812846	-1.01163013651729	-0.942472265257774	-0.744833794963975	-1.01874245750465	-0.932187727699951	-0.888685478159907	-0.892998072569243	-1.0898075774551	-1.02052085306751	-0.736468540669332	-0.928024588393823	-0.825429873051645	-1.13709322950881	-1.07684360881528	-0.814780542601735	-1.0333412905071	-0.843231075775259	-1.05383069706535	-0.973657136889037	-1.11509700389479	-1.07750550548643	-0.894263022777294	-0.964519616283785	-1.15049200603767	-0.802411876093245	-0.893678029489427	-0.948095489828194
"55727"	-0.102932513245782	-0.0477058993324866	-6.66624507444244E-4	-0.0772231922973303	-0.0718691108185981	-0.0972162771259527	-0.032751753020401	-0.0406855884571032	-0.0984307033597282	-0.00749676886216548	-0.0662130111096791	-0.0857798011408698	-0.142694637013503	-0.0555062854259457	-0.090669468108389	-0.0762846077305325	-0.117650115050552	-0.184562407921538	0.0681249804507473	-0.0701275762321153	-0.0313637065093745	-0.10546000711153	-0.0451302914252951	0.0372253029904905	-0.0440501094763829	0.0221970715366203	-0.168876958032716	-0.0939573839200674	0.0672075116047335	-0.0425363088235809	-0.0965935698896182	-0.00784963524399846	0.00294607411697789	0.0397197547551354	0.0890041472300273	-0.00646693520022227	-0.0953525169435424	-0.0365336887642002	-0.0180051720797915	-0.124226773966987	-0.0757515947226349	-0.0417641269050117	0.00833377278730178	-0.0676156986782857	-0.0968363302307681	0.0175785571371879	-0.125190297813854	-0.00991376436729251	-0.00538046904363582	-0.0192544754707858	-0.0807452645251922	0.162097569365135	-0.112772627344384	0.0299493212049524	-0.0493587734692369	0.0136608146726753	-0.118243505272904	-0.110442806145714	0.0306559391608439	0.054745485593309	-0.0673409029371248	0.0245468964611061	0.0886748378849004
"79794"	-0.373304152171542	-0.182623248839607	-0.364241955435711	-0.153952756566812	-0.23755457855576	-0.129581033382606	-0.255749861064774	-0.245082854809614	-0.251003110650507	-0.504974914277437	-0.227639887735232	-0.231686385731237	-0.253246805398567	-0.261999072292945	-0.332861505026959	-0.401837081274757	-0.206901571884839	-0.230800864702765	-0.234712675234154	-0.376666832073142	-0.461144515053613	-0.218546341578231	-0.313433243091275	-0.182741480505082	-0.372115272165295	-0.174638149607159	-0.292608264474076	-0.241896610415147	-0.206513135375578	-0.180808811485513	-0.29188465952579	-0.349184728077922	-0.160947795950463	-0.211770411239766	-0.220297963895574	-0.266753807598565	-0.235795188355529	-0.181276758460365	-0.16306571846113	-0.433603841172847	-0.357283898506622	-0.285760783202092	-0.229471729852108	-0.343788043387138	-0.50458633834687	-0.294140947542455	-0.228732733643523	-0.226581688277274	-0.252531068441119	-0.286445772456297	-0.454680967844891	-0.414603124336662	-0.295792349547353	-0.256783486455771	-0.412950720852088	-0.50959430971785	-0.228359991624664	-0.382041627913317	-0.20532851854937	-0.245825463551578	-0.257049489587312	-0.158026533688863	-0.367698219617832
"65265"	-0.233514779785516	-0.401351154184418	-0.309503530890542	-0.52010310378328	-0.68609408594086	-0.413929745863469	-0.0936159055218337	-0.541881376409105	-0.530720829027788	-0.253646509966599	-0.361071660968863	-0.344701541711709	-0.449747265945035	-0.347236009020168	-0.439870226110531	-0.339504952813472	-0.672357021551892	-0.352530813391333	-0.470277295541121	-0.54171773332352	-0.538688654242639	-0.451948118302449	-0.383749946799816	-0.397343646057359	-0.438588850388611	-0.446017438456801	-0.560771360441598	-0.324243580694749	-0.519974909363706	-0.223272375637514	-0.293405662667117	-0.270627267221496	-0.334860839872427	-0.383797235717471	-0.201816513914903	-0.510004063601793	-0.517674462197981	-0.476271114671247	-0.63589559871301	-0.228951521455205	-0.124419682435336	-0.40771208175676	-0.433933502571073	-0.339871209033375	-0.228841004662206	-0.668907128737861	-0.36990825393266	-0.245522506674131	-0.283209199788249	-0.169802690360052	-0.453456966074735	-0.725368201151828	-0.469108158653454	-0.24361679382792	-0.311541416007197	-0.434840164389162	-0.567493304375558	-0.386557746902236	-0.335243471102937	-0.537593990630025	-0.522443500656662	-0.583992284725103	-0.356988686980696
"868"	0.0669725205162913	0.0592991655821919	-0.0107049096401906	0.012715681378551	0.0404237016283674	0.0643486600601745	0.00910030383704454	0.0177704946286935	0.00159818113247236	0.0303636702509576	0.0640257488765974	0.0126415563780006	-0.00324620608886613	-0.0589187204813531	0.0897065000649866	-0.118491486192377	0.0127496307152249	-0.197233220589421	0.0567407090458625	0.0169173942798202	0.0316019443505938	0.0100185804227529	-0.0291994442231078	-0.038757249875005	0.0598429409526063	0.058533664348432	0.0307996316786397	0.0741938225445042	0.00145411574201957	0.0108935030764822	0.0467152086996335	0.0328256494954703	0.0184404237506876	0.0129237913191562	0.0526867162171407	0.0767637246761185	0.140472554370257	0.0725854517444213	-0.0193675379953811	0.090943169391502	0.0607843328607307	0.0677392006207141	0.0155573896659303	0.051548997658696	0.0580014686338505	0.134003599526935	0.0842910840489523	0.0281126366275549	-0.0433606074800177	0.00618022091771261	-0.105525538319666	0.0300421087081636	-0.00726159666226239	0.113734925934862	0.0779757623483486	-0.0630512159317543	0.129045364986509	-0.0355742805589908	0.103728497790145	0.119456987731852	0.0486900541133991	0.0235171844838649	0.178852272159413
"56267"	0.093704415466562	0.125772042412957	0.220058696270023	0.225223234447348	0.215777621198668	0.0886523329567054	0.146494074937255	0.16034244493313	0.103337552818295	0.123626494530999	0.100907987896938	0.0959256433976443	0.188130930852175	0.157190706735557	0.161561762970207	0.125335542892218	0.160440043696323	0.182281437429958	0.146932970705223	0.13271616380253	0.131779648880656	0.222386989821982	0.128835554568759	0.0746658706699175	0.192054271696266	0.145435740787664	0.116375023042979	0.104935445323648	0.132053828701265	0.0685456085541383	0.169003232063402	0.179318708464322	0.103862888780862	0.104972139279032	0.083551316780387	0.0273293105653041	0.205597782633437	0.173013247637434	0.117818197599776	0.199936311517226	0.205082137366335	0.243371295002912	0.146563888358062	0.00350979944429697	0.17107679940996	0.222177006952369	0.0901756839834288	-0.0206256127601796	0.0915633220334814	0.112392464197549	0.0854817212966531	0.292486320871588	0.136892576252226	0.142303526238587	0.147986817230093	0.183209038757906	0.129739936913117	0.201638732755017	0.130758703693485	0.18666714567421	-0.0105161505728877	0.203095580679812	0.177749521664672
"80129"	0.234591112462065	0.0687811649698975	0.096415787150755	0.192463580448085	0.025477981980618	0.277597164434618	0.0177912680613056	0.148286784779994	0.168436588287781	0.214301417851379	0.216589472315898	0.199051858787841	0.207150367491882	0.251893177024154	0.125238512085644	0.242589548167542	0.181139031594267	0.259329411232839	0.211138630907011	0.315086976776158	0.124043000998545	0.145554506526161	0.2506817293705	0.195155201827882	0.223907279522067	0.168153236657467	0.173467024972691	0.117841904093283	0.163880180617139	0.259858827973064	0.238375360416825	0.193524703871729	0.20867419976483	0.216752974304012	0.143338798663616	0.388505176865362	0.241880565748395	0.227850298140362	0.31293341940188	0.180474757054098	0.282477048426393	0.083932193555006	0.128285616492435	0.167013718412723	0.246019831970331	0.192925506219528	0.0662556265926574	0.204974946734253	0.123482623220017	0.25584295881766	0.198043795747279	0.301435110586477	0.25515837818854	0.23527243919409	0.10321595978155	0.17292794943799	0.247248870494943	0.296008585963334	0.169314964108788	0.1309996546165	0.205437654330588	0.170976854009343	0.0494913678939295
"129881"	0.103811168470734	0.179908393331826	0.172941603300478	0.0752562910788015	0.117707342085985	0.125704577128088	0.125035791687535	0.105764214269491	0.163472040698841	0.0456814274389731	0.140047244916891	0.145077955867271	0.152217430537664	0.168545165006268	0.173921250003631	0.169541034486921	0.135333516457429	0.110354741337206	0.196606255630379	0.123237089885316	0.137110621270939	0.219783172728421	0.0432086885501204	0.0686118268021127	0.094185034028335	0.0946978834416414	0.150124780408771	0.113374880595604	0.123147748519004	0.121853366148078	0.150863015862366	0.202114224005587	0.0686865055702097	0.0759102614052534	0.0206561296139756	0.163023100865059	0.0731242774715014	0.19491579936733	0.124580631412023	0.161742091789514	0.0496707429812927	0.0717437274174968	0.117378145926224	0.0483470563725443	0.112840543851972	0.115027918914098	0.135795980611435	0.0545459373282965	0.068254327115536	0.132826008633163	0.0321374739015899	0.15000396945232	0.145698338861555	0.11656959240315	0.112434759562314	0.111353262382813	0.0700330511370082	0.243644049490912	0.11927121953136	-6.66973261823247E-4	0.22384919152476	0.133866275323112	0.162541691394777
"130106"	-0.334061480207116	-0.18792177664047	-0.148174904594986	-0.281395438367749	-0.186152888522328	-0.10324579170504	-0.25494074914812	-0.226545439440367	-0.342478699130896	-0.207459483132157	-0.0952073475318486	-0.272434766068732	-0.287630915231194	-0.163581071543048	-0.197507846991896	-0.130380593385247	-0.211224731355756	-0.177808265240879	-0.168628840512123	-0.152495336490029	-0.0845276385729423	-0.280258689869697	-0.101399395042458	-0.177287266739471	-0.154540971724272	-0.140743673746073	-0.223108216327981	-0.272482779894071	-0.165694268427078	-0.173010992522534	-0.132573722461641	-0.232584118037795	-0.097141359174573	-0.102069600940923	-0.203525600440966	-0.289941762792531	-0.274259797722327	-0.220200162549761	-0.0936965403662735	-0.250915514359246	-0.110367972118389	-0.202924309457859	-0.155611745599902	-0.0939059862683322	-0.0666340390530592	-0.137233925375454	-0.0430628810527185	-0.10557700445652	-0.260617038465514	-0.011964542855939	-0.315917932000718	-0.369267045617149	-0.361825558663769	-0.101975613907827	-0.179659112289151	-0.284391680516932	-0.222007529953776	-0.286261593129676	-0.122610066917622	-0.118131267274213	-0.0493244182427035	-0.297842934609518	-0.16670305706393
