	"ACH.000118"	"ACH.000127"	"ACH.000152"	"ACH.000190"	"ACH.000251"	"ACH.000260"	"ACH.000278"	"ACH.000339"	"ACH.000397"	"ACH.000448"	"ACH.000450"	"ACH.000495"	"ACH.000502"	"ACH.000527"	"ACH.000631"	"ACH.000676"	"ACH.000711"	"ACH.000764"	"ACH.000768"	"ACH.000881"	"ACH.000896"	"ACH.000929"	"ACH.001020"	"ACH.001196"	"ACH.001346"	"ACH.001523"	"ACH.001554"
"9429"	0.151672427565915	0.0987460302381375	0.0890267754722657	-0.066568256334575	0.0498641767886275	0.0598291207946926	0.0312222012966137	0.163196608562195	0.13442664438113	0.0993427906568684	0.182557045227991	0.26580047390735	0.152672689449464	0.10913574448039	-0.140535147697537	0.115508553267614	0.147373340695625	-0.0220337423539279	0.121415340473739	0.137209445197564	0.147230843935346	0.054914377001791	-0.127941855211968	0.165593534023341	0.0448544082789396	0.0824437388850835	0.114476508255837
"132"	-0.199892918293778	-0.0584388058561738	-0.171022575654528	-0.00903625615397546	0.0596100943717235	-0.0665465592907657	-0.033238944069761	-0.112308838837764	-0.109190055011672	-0.0849931714965805	0.0303499714124648	-0.228761223068138	-0.0726983835614262	-0.00824266926465546	-0.359682313907322	0.0056273554278528	-0.0821365071406967	-0.0681267572891786	-0.0417232215021504	5.35709105060993E-4	-0.0857476048263304	-0.00884822995743867	-0.124765490502737	-0.153809850155156	-0.180995549676356	-0.0120401302141233	-0.122406736708782
"79798"	-0.31501073209951	-0.39693799445025	-0.464492795474317	-0.398369148778343	-0.573942746517771	-0.354268043178383	-0.307345735359827	-0.646936650559505	-0.195901188410344	-0.331231635104825	-0.439307962854112	-0.628988189601299	-0.577917315722005	-0.265616450068983	-0.321566147566746	-0.230135088032295	-0.304321553016139	-0.582327067426349	-0.427639929017016	-0.214072375652345	-0.511057084679949	-0.364862811627603	-0.601620536168276	-0.229345134626269	-0.211162157140051	-0.45901594708889	-0.462299169597285
"80341"	-0.0573341380610598	0.0582476404354888	0.0359702412447697	-0.209748964641809	0.0226921477442156	0.0403561002304509	-0.0906050776988603	0.0489652834903319	0.0683946547533339	0.00222727853978041	-0.184807540765305	0.0308008249023401	-0.0727187333044999	-0.0617255792430976	-0.194488356942281	-0.0268828215707535	-0.0063421993831403	-0.138464167887437	-0.0682359678155464	-0.00615966919335387	0.035976377613373	0.0726897079278026	-0.0547939112007368	-0.0786502441287612	0.0663991773328744	-0.0804921068078941	-0.0642901248077135
"159989"	-0.0201036460873659	0.109383796176684	0.0328758196092426	-0.122500333485821	-0.0785514981903074	-0.0213724209291781	0.131283206030326	0.0145769880005148	0.0214870095966853	0.0499777010773238	0.221479277403222	0.16376840242269	-0.0677721590080479	0.0724594883496286	0.169091635062306	0.064055738399855	0.0401456613714298	-0.250299775933524	-0.0144673910573645	0.0514760217256808	0.129255473312621	0.13789602699898	-0.161186885410972	0.111072383485492	0.10354524057081	-0.0290674249720792	-0.0139403963654646
"157313"	-0.110224520165743	-0.0457956567308278	-0.0385143395583779	0.0599958366823937	-0.0502584782410306	0.0405237962540917	-0.0739462579178256	-0.104747293110445	-0.11490048904142	-0.0610705570791547	0.0429434819276954	-0.0903769450482456	-0.0915201478469279	-0.048273681428168	-0.239200952278847	-0.0687622577568362	-0.0876715016414464	-0.232213029067875	-0.0888821399110842	-0.0770639633904321	-0.151829788527626	0.261038174078422	0.413898344643523	-0.268794884493638	-0.065848869526593	-0.0591694043968286	-0.124323534148169
"9586"	0.253203002685667	0.290217948985939	0.304778467832765	0.270907040145642	0.348158326170318	0.247733406127966	0.185945849647417	0.317426383302506	0.238358927821176	0.290232587183688	0.137503386277268	0.232757856743793	0.253032477619934	0.271278828676929	0.143425338292185	0.227969396472067	0.204880205780559	-0.0494090567408415	0.191098061149261	0.117702398341909	0.243873106971433	0.249017447860592	0.304432907160355	-0.0104079215018005	0.233970489084585	0.163137170041421	0.231783770224966
"1875"	0.0880156537526572	0.144496788671823	0.166335033148902	0.186271012705147	0.00415751977414916	0.183929143043035	0.0456796284743883	0.210623757186801	0.110806646794478	0.125574536546371	0.0772426600223526	0.0507207859077394	0.0466234792262763	0.209103622806542	0.270278623667915	0.0284147250807171	0.131834509451568	0.133125442801974	0.181606224103875	0.263557723406232	0.0802101314732299	0.101749198184546	0.0863725290823465	0.337909107294329	0.116256808827704	0.215659502584402	0.14982659194102
"2107"	-1.30652434356426	-1.338906537908	-1.31293001100048	-1.57870246785007	-1.22924599921908	-1.40250968320605	-1.10488060357136	-1.34971394447985	-1.4455665000809	-1.34396074070273	-1.15114298129573	-1.19657480321655	-1.33197380344595	-1.37060313032373	-1.32010971010901	-1.32704250511787	-1.47143564255421	-1.43483914430625	-1.33411890517298	-1.40838880101573	-1.33751424219672	-1.16063806376653	-1.53522542193538	-1.60372231719112	-1.26964630439462	-1.5424094025161	-1.49121386839339
"2113"	0.0977040023721666	0.253317597747522	0.291803500406189	0.287732483617174	0.204457925433788	0.232601873703371	0.173444406542272	0.24787626116162	0.433897495653043	0.121047366838042	0.147485428092243	0.305766712467263	0.340055137563352	0.187387207402182	0.402558363920322	0.245176061281943	0.259405378373115	0.164285681419109	0.316189161237503	0.309817203435494	0.0949291724248976	0.354727823620231	0.133749096802139	0.173800902046912	0.191924379578881	0.165462609561347	0.239748018374176
