	"ACH.000022"	"ACH.000235"	"ACH.000261"	"ACH.000266"	"ACH.000397"	"ACH.000452"	"ACH.000476"	"ACH.000485"	"ACH.000516"	"ACH.000718"	"ACH.000827"	"ACH.000984"	"ACH.001532"
"64137"	-0.00926875900856782	-0.0219608110068777	0.0377608954789492	-0.0420577754268552	-0.0199570768300253	0.0152783087058134	-0.0402544669299054	0.020215584153137	-0.0336040445838993	0.182827822896071	-0.0252567809703724	-0.0689758420145093	0.0300509903494853
"151888"	0.122278899819333	0.0814879454037463	0.0318987744219954	0.113191453012897	-0.0149162372086906	-0.00323589341499489	-0.0109021439887149	0.100977580135446	0.114996602620543	0.113949788509058	0.0612518189481898	0.0226749676498515	0.100435807578203
"57827"	-0.118124350926249	-0.213790728594467	-0.145492373272643	-0.224818373918713	-0.35188441949014	-0.247302642316012	-0.245813254964071	-0.297072326053693	-0.255448498029111	-0.305349317507142	-0.24740633102297	-0.173181444270223	-0.211492844836473
"833"	-1.01973029306754	-1.03153487391406	-1.08380808565057	-0.978903032749261	-1.11463028922031	-1.21759490019876	-1.02087780471167	-1.11549030039373	-0.992818872927989	-1.11616419486648	-0.907417129670469	-1.0142704864785	-0.891039846352742
"285753"	0.0680566226332653	0.0334743890158706	0.0320299562449977	0.0315184118956286	0.0853929166765979	-0.0778968184380742	-0.00525727182202139	0.0627483476352476	-0.0764549153772755	-0.130934426203993	-0.0258294144168024	-0.0122014690128076	0.0733435481704916
"9547"	-0.131608744706265	-0.123288973035874	-0.0805141307499681	-0.0754240555527699	-0.143976864459702	-0.119831219449307	-0.16347629905615	-0.133381987684421	-0.275777611139619	-0.172549130450076	-0.158050298460587	-0.268730266576001	-0.0987893218784146
"1638"	-0.0545665961430372	-0.0231119352630821	0.00789369361015427	-0.0458300900914861	-0.0287206073228792	0.0147344388673667	0.00835282003951309	-0.0549574959190288	0.0646741669127317	0.123520042853476	0.0259139207998478	0.114076989371746	-0.0135988675958895
"1810"	-0.689895306772629	-0.815403652326317	-0.712636748110877	-0.757085790010627	-0.776894479422302	-0.848934864203841	-0.69392760193593	-0.77975311113247	-0.728586427602923	-0.801113722153386	-0.681909855427316	-0.736289677887566	-0.619852353768683
"10589"	-0.437052027113131	-0.735742075127383	-0.44692783034786	-0.543818081087263	-0.68846812570381	-0.598394217605467	-0.518590553210905	-0.629591004594855	-0.418453866436487	-0.714784672079638	-0.400736405913775	-0.506145045301009	-0.384951597652743
"60412"	-0.389323100069702	-0.599415437000298	-0.559403220555323	-0.653864388629887	-0.595790199697556	-0.681573515731278	-0.558484531263003	-0.414673673772441	-0.617020839390464	-0.438024780761909	-0.470368657085063	-0.477971900924998	-0.548367279485305
"84691"	0.160675002972358	0.179927718048621	0.187049770550092	0.151745233505054	0.252180472785443	0.256601549977481	0.18120346880853	0.217253284718733	0.228507756168684	0.232404048406461	0.259796846757513	0.225375487515009	0.243678647699974
"29997"	-0.719100343538985	-0.558502460243495	-0.527784954015539	-0.732164553353963	-0.559954880160491	-0.539437293544875	-0.566241311179223	-0.630867598212555	-0.60632966271278	-0.442603142820073	-0.693570676750866	-0.756944988987979	-0.504302800242066
"3336"	-1.70941413964239	-1.60176191807888	-1.63777048797484	-1.61335677132097	-1.53073203509675	-1.87387579330054	-1.53007724447244	-1.5706393786393	-1.62379002390103	-1.60883313113818	-1.55359371408146	-1.51863693068724	-1.53009549593495
"8609"	-0.358021496980222	-0.259023526486691	-0.232030564230658	-0.339851827368198	-0.372019817963352	-0.394386735109148	-0.127019350872149	-0.358595804339403	-0.270624472228846	-0.418661706212468	-0.268388165403356	-0.286870898240249	-0.515994941896811
"100505753"	0.101336239470324	0.0788743753171503	0.0405385796330785	0.076786940590699	0.0382241478122616	0.0570934847400408	0.0722444570950768	0.101578771346452	0.109526079375023	0.149367739417915	0.0712702847676528	0.061402767082745	0.0455416013422186
"55788"	0.134219830893489	0.0657492031168431	0.0810907918494155	0.107014944394045	0.0951443879802137	0.136214152953771	0.113667102551028	0.0442263315820505	0.127229592661204	0.214764263322109	0.0922316763029889	0.148105956216595	-0.0244773101519701
"8888"	-0.920002719833658	-0.86752733075181	-0.843655332131741	-0.922094232211659	-0.856163668088322	-0.863457005616263	-0.828445322660468	-0.790662459274961	-0.852567725048166	-0.838005578676104	-0.800619433500314	-0.907968877436189	-0.749807795785678
"4595"	0.0151019276437558	-0.0194805370444243	-0.00865619758690019	0.00822183887286865	-0.0379551208546032	0.0601092279390906	-0.0044319529374966	0.0965137513571358	0.0979092128614018	-0.0392794633037662	0.0538552380375009	-0.0350982189310564	-0.120816154909602
"57624"	-0.0899701552685888	-0.00307661051650243	0.096082352384322	0.0349308372194449	0.0684460983811511	0.124459767421139	0.0962514341523487	0.0916885001540081	0.077909518554278	0.212956294241533	0.0836154969678682	0.0835915984718179	-0.032209699247602
"84844"	-1.3813381865402	-1.30141390919463	-1.24678342656534	-1.3104527685167	-1.48148707422439	-1.39214997497261	-1.31498283847494	-1.33919232772356	-1.25502616484467	-1.41718779664486	-1.26886095131306	-1.30691897971815	-1.42859219981117
"55228"	0.0440998683743928	-0.114028254766095	-0.0696139984636	-0.0693359677124704	-0.0775697499888405	0.089552982478032	0.0014205341914645	0.0142444186527953	-0.0377379105358979	0.150333005951388	-0.0391915523235479	-0.115659604143591	0.0255259665334529
"5439"	-1.60662409552081	-1.5811343672632	-1.48942601015266	-1.51708840810133	-1.41245419214782	-1.87270619741565	-1.32368864890702	-1.21760336991854	-1.54362215095102	-1.34331052849194	-1.30378980072947	-1.50220865582559	-1.34782214162829
"84988"	0.0544196664123085	-0.00620833001233687	-0.0207713289063215	0.011124490191726	-0.00744131338233954	-0.0719768020622427	0.0980322248603106	-0.0660452574490099	0.125384758452712	-0.0878082350382944	-0.0810657828392163	0.140237688975924	0.0818764799149446
"63910"	-0.127865923298519	-0.0888453251232754	-0.0957768876052227	-0.118128050612625	-0.161292494830516	-0.213461224538672	-0.180161281167506	-0.146089954794804	-0.194262158059373	-0.215371202380574	-0.0972244996712508	-0.15143555019879	-0.121904571695045
"23020"	-1.54934141207179	-1.47483032054284	-1.42997043698345	-1.51942676805497	-1.68097880371527	-1.6388175978967	-1.48537376838188	-1.44129382597893	-1.43870881807455	-1.5969107157146	-1.49497693750374	-1.48916428258383	-1.74523208387215
"6861"	-0.18894303269738	-0.422287625676559	-0.270622933032652	-0.314766377884925	-0.294435823566959	-0.288123623679865	-0.407485552951863	-0.250073154081996	-0.336185045451209	-0.387839364983107	-0.239992359984453	-0.412227292054971	-0.258839558756292
"729873"	2.03216844487261	2.08761469391238	1.95215343252686	1.90344701679304	2.09102882913247	1.88331479183934	2.04234415984606	2.24844961719152	2.18597488740416	2.41149617763209	2.00505180405655	2.11065139199764	2.12443227887751
"66008"	-0.0914987103915897	-0.01435075083804	-0.0117436304345362	-0.00356715769941306	-0.0204620540485031	0.00156380890719557	0.0781880131590886	0.0765763406451724	-0.109479421891606	0.0191682363191768	0.0747658305260757	-0.099804291764977	-0.0686676520781254
