	"ACH.000007"	"ACH.000011"	"ACH.000234"	"ACH.000246"	"ACH.000250"	"ACH.000255"	"ACH.000272"	"ACH.000324"	"ACH.000348"	"ACH.000389"	"ACH.000495"	"ACH.000505"	"ACH.000517"	"ACH.000521"	"ACH.000552"	"ACH.000601"	"ACH.000649"	"ACH.000663"	"ACH.001067"	"ACH.001380"
"199800"	-0.222209700441713	-0.036443887980827	-0.0206037466330783	-0.137995806881541	-0.121768283606405	-0.0794909267574958	-0.0453102105678261	-0.111771748516212	-0.181191245791637	-0.119180517385797	0.00224109740838826	-0.0506803940942409	-0.0357693192559924	-0.0792863815395065	-0.267619586313351	0.0158011768626745	-0.133201805136989	-0.0782402391806876	-0.213410378402389	-0.0739655899108153
"55082"	-0.494837716538103	-0.785266950643618	-0.699089880103225	-0.770659113628024	-0.780597684520729	-0.747673193095113	-0.556519288031223	-0.884537820100124	-0.839973919941188	-0.898833050003946	-0.662155187184558	-0.712586526053638	-0.771064326058508	-0.859660604786597	-0.938243568026116	-0.674426254276416	-0.692754906913992	-0.648523018091114	-0.631553496435325	-0.789341764379809
"1022"	-1.27349377289254	-1.46461110936308	-1.08370805594948	-1.23317933956127	-1.36191658418726	-1.22508662408664	-1.17524237949064	-1.34049187586478	-1.2831657307578	-1.52642245648556	-1.39369715881196	-1.31505026274878	-1.28153791509903	-1.29780801075114	-1.13555908766765	-1.13934276082886	-1.45594573346795	-1.57350217868073	-1.22540438803328	-1.22486533096802
"1146"	-0.334657584870541	-0.392816029100184	-0.330276110651198	-0.375955718556635	-0.243148717389102	-0.374847837606131	-0.261967274743551	-0.319246097525833	-0.330759531566139	-0.344520385876846	-0.280321586395215	-0.267282715929432	-0.306048209092437	-0.382944423193643	-0.413071082692147	-0.416788255068528	-0.354851315826162	-0.240382903632667	-0.382673311642441	-0.297605612498924
"497190"	-0.22270007631937	-0.206939495485247	-0.18278663494296	-0.0697930098528654	-0.199388954065875	-0.0524175549943046	-0.220158970946687	-0.272743933319374	-0.157216227053868	-0.226975298498504	-0.189639248330728	-0.350160137224462	-0.225866384508118	-0.219069697357907	-0.0992664817379744	-0.200837091333815	-0.240370721577138	-0.194122473572711	-0.137094795420584	-0.143123065480619
"81624"	-0.124538371193319	-0.219511127451961	-0.234153903893824	-0.216362020382753	-0.329108826492837	-0.144380503927305	-0.128709471519983	-0.301422113301779	-0.216800462469223	-0.344580869740592	-0.205620345524606	-0.188677850519035	-0.249169825359811	-0.27011228449425	-0.0985929094991277	-0.200381813143142	-0.334649617868018	-0.229753157944145	-0.148027228205135	-0.277170824767121
"51162"	0.0929649892422634	-0.222696997332145	-0.126318846291327	-0.128221510552248	-0.166740771544216	-0.0454535733179694	-0.28129069125306	-0.0475561604348154	-0.138433183753851	-0.372562355641809	-0.119799654878253	-0.0421010890532884	-0.0895386630350522	-0.147424816069597	-0.119325722599314	-0.0837342543338037	-0.156850431186117	-0.135982304840538	-0.0303168342669992	0.0673132322728217
"10289"	-0.131112568391738	-0.130109735743445	-0.118865498166277	-0.1778270762654	-0.0611662641166042	0.0334429700048483	-0.0614326852760407	-0.148420168402165	-0.103782308591454	-0.0792506595933237	-0.0911949716562468	-0.0694017073052985	-0.130558197655649	-0.134947542064673	-0.0903720608800719	-0.100213347111727	-0.121444128577717	-0.179657707614491	-0.0144212266954384	-0.108729489649428
"138311"	-0.0609629805009449	-0.119108432800488	-0.0937537926579899	-0.167614191010993	-0.222578874913157	-0.103946488882334	-0.0417961543898742	-0.14627803156298	-0.146665759755689	-0.058932334814615	-0.0801890716241542	-0.0578038848884165	-0.0705852833609793	-0.219183977867875	-0.0927979608824533	-0.10530765508709	-0.288757044129087	-0.107279081995005	-0.202977301007022	-0.102466102654366
"79760"	-0.717346078703153	-0.4963063388917	-0.382641857599885	-0.613419151604314	-0.658394723423422	-0.690125230161342	-0.454351055796539	-0.669652695590021	-0.516442828910147	-0.60800990671127	-0.649790797821964	-0.647035365525857	-0.441301281396195	-0.548036934331741	-0.624258987382565	-0.511990234260128	-0.7201683923762	-0.689746866292392	-0.579670429255398	-0.568470508478162
"219970"	0.398978831440834	0.416782409107543	0.355749442778092	0.34182317662602	0.380640010374927	0.295726285981218	0.295383194617693	0.380296238879065	0.440217951578354	0.376864291427084	0.325054870134827	0.330163632940155	0.343695206226597	0.474098042615241	0.390735445795033	0.278568516237344	0.325196303144408	0.367449875247632	0.320039383846961	0.276496775964815
"653125"	-0.448000607750029	-0.628669574475468	-0.521854888132836	-0.482343183173123	-0.602172356247016	-0.424963035128756	-0.62786124405207	-0.638583615600439	-0.462378930438692	-0.63615768039939	-0.664239411568196	-0.62527845964718	-0.772254806238942	-0.599001402531846	-0.568815945602079	-0.544822708009336	-0.613271508824035	-0.697386363786036	-0.654383082702235	-0.620016829271096
"8820"	0.0607349283347031	-0.00867272991222978	-0.151526669335664	-0.045735189696473	-0.116924098781875	-0.276507656247998	-0.133591027140005	-0.121861085123372	-0.153952360950357	-0.227013253300243	-0.0881935086195816	-0.0725392454114194	-0.170899469611153	-0.0590287403840439	-0.0970011325186519	-0.0791380928420749	-0.202353538014166	-0.221528060671352	-0.205391192242713	-0.213256109556126
"3727"	-0.248159065892905	-0.0854238300555855	-0.203807462157379	-0.2458402236379	-0.301371128427453	-0.0548984119431269	-0.277156411087414	-0.271157419112796	-0.161889756457915	-0.373348037965619	-0.164136372117728	-0.245666187915777	-0.175795386943838	-0.0928698819783386	-0.165102269942274	-0.289117917815857	-0.243128707841305	-0.417460632830487	-0.283991672693362	-0.335639184133324
"84946"	-0.601317820899765	-0.853721580907282	-0.648396629965882	-0.689454665848338	-0.67674621001864	-0.701298221504912	-0.644763009794064	-0.55713812865705	-0.532174083304591	-0.980406467830693	-0.705780114189739	-0.649455854069996	-0.697026462636068	-0.643564497541974	-0.548140806942955	-0.567671255437675	-0.752320063327572	-0.834566820978379	-0.687369204803988	-0.711395742551414
"27043"	-1.22836589940554	-1.219443531629	-1.10720131483873	-1.20242551995113	-1.28798931658846	-1.12877277443696	-0.846846922134801	-1.23311829824819	-0.995507660256895	-1.5468625757889	-1.17122110316873	-1.12338074645624	-1.03513620597021	-1.19157765017802	-1.24920482454549	-1.084269460797	-1.31301120792458	-1.35117451768277	-1.03407735181859	-1.17406631307654
