	"ACH.000011"	"ACH.000012"	"ACH.000025"	"ACH.000035"	"ACH.000036"	"ACH.000040"	"ACH.000060"	"ACH.000086"	"ACH.000097"	"ACH.000120"	"ACH.000127"	"ACH.000133"	"ACH.000148"	"ACH.000152"	"ACH.000159"	"ACH.000208"	"ACH.000226"	"ACH.000237"	"ACH.000244"	"ACH.000246"	"ACH.000250"	"ACH.000255"	"ACH.000265"	"ACH.000272"	"ACH.000280"	"ACH.000320"	"ACH.000322"	"ACH.000323"	"ACH.000330"	"ACH.000337"	"ACH.000339"	"ACH.000348"	"ACH.000389"	"ACH.000407"	"ACH.000408"	"ACH.000410"	"ACH.000424"	"ACH.000452"	"ACH.000486"	"ACH.000490"	"ACH.000495"	"ACH.000505"	"ACH.000518"	"ACH.000521"	"ACH.000542"	"ACH.000549"	"ACH.000606"	"ACH.000619"	"ACH.000622"	"ACH.000632"	"ACH.000646"	"ACH.000649"	"ACH.000657"	"ACH.000658"	"ACH.000673"	"ACH.000696"	"ACH.000748"	"ACH.000758"	"ACH.000768"	"ACH.000771"	"ACH.000773"	"ACH.000788"	"ACH.000794"	"ACH.000799"	"ACH.000819"	"ACH.000831"	"ACH.000832"	"ACH.000837"	"ACH.000859"	"ACH.000862"	"ACH.000869"	"ACH.000880"	"ACH.000887"	"ACH.000900"	"ACH.000901"	"ACH.000906"	"ACH.000911"	"ACH.000912"	"ACH.000920"	"ACH.000947"	"ACH.000948"	"ACH.001020"	"ACH.001067"	"ACH.001075"	"ACH.001232"	"ACH.001239"	"ACH.001346"	"ACH.001353"	"ACH.001367"	"ACH.001377"	"ACH.001523"
"343472"	-0.265003718395267	-0.0749539539477204	-0.358185710367461	-0.25132521549731	-0.162164478609197	-0.220091265331691	-0.320042789087499	-0.145204642725512	-0.277263160090754	-0.128309808277049	-0.149937895154356	-0.209335215553274	-0.126456029990594	-0.0731693386192346	-0.0931115329744437	-0.0713504003901494	-0.281514240977587	-0.114811731895783	-0.186354111176679	-0.101665748366986	-0.119433171996704	-0.211003675715447	-0.280104487854789	-0.170430125110125	-0.15429705959377	-0.250148575792378	-0.295726737739269	-0.194098859431312	-0.411354667156063	-0.199448530935943	-0.127209857381513	-0.260875489237457	-0.197183054948206	-0.204548460225258	-0.278987971853129	-0.153186713197017	-0.211383098615421	-0.123894501573381	-0.159761693474814	-0.224611532873681	-0.191717947799466	-0.187534639345656	-0.109746804260713	-0.173656166458104	-0.162813763539095	-0.105413527322862	-0.192985588291162	-0.0880333121458614	-0.141842084650898	-0.21652967910178	-0.311312248286053	-0.308899638051141	-0.127218987488038	-0.0807955670668919	-0.115802828411424	-0.170097085368057	-0.172371598682272	-0.332356895609272	-0.126009540629458	-0.178462096503818	-0.0558668839058332	-0.203786366255021	-0.216583677991061	-0.113222492869261	-0.122375493729885	-0.327270573648655	-0.371113168085316	-0.208341474741214	-0.111580369314527	-0.0538402962339587	-0.224285140365571	-0.240660546964853	-0.313500018991495	-0.0762110348765728	-0.159407389186301	-0.178861889933766	-0.215569740019113	-0.212926038993843	-0.405786676593801	-0.142638071192664	-0.117175167859246	-0.236795046028631	-0.157535469979573	-0.0159692173483006	-0.185897603441106	-0.0762723703858791	-0.26251227737789	-0.265538423363939	-0.191372594847302	-0.12486319204713	-0.243124227689754
"8678"	-0.365274930676017	-0.0827780336497924	-0.160839385275131	-0.41401924886938	-0.110266694683956	-0.178804500083354	-0.0315714410762239	-0.128633879117976	-0.201257196324713	-0.184694844902557	-0.250835557120461	-0.0899791929158472	-0.283081551511981	-0.367992901591253	-0.289112661409411	-0.228552829656749	-0.1433179305427	-0.220116466060724	-0.403647693224755	0.0820907476541126	-0.202056197835618	-0.460144611656695	-0.0757054253492163	-0.171307289664525	-0.394089970923339	-0.106780552948839	-0.125976677711122	-0.507496465209176	-0.34769046876599	-0.349703544200414	-0.416510689632098	-0.332270420746162	-0.0396540274397825	-0.14624524074842	-0.267318236443946	-0.257315507599944	-0.183009481605657	-0.3313915410114	-0.11606869876486	-0.360191453190218	0.0952135423878429	-0.0227266136931333	-0.148455076926283	-0.508270190351543	0.0198791093803141	-0.278594288821405	-0.266746768160648	-0.0597528661115296	0.0869137889942876	-0.15018662665818	-0.430252016767974	-0.18841346599249	-0.215760159223499	0.0489197171464204	-0.21291140674168	-0.238399508878293	-0.296056188724729	-0.410303431864341	-0.314761821577016	-0.376559760268152	-0.225557922922928	-0.177897626015401	-0.145422014632345	-0.150043099150399	-0.00585969122709722	-0.150339694475465	-0.222781868937791	-0.330922331069147	-0.272172277236117	-0.386758218695314	-0.26869128518958	-0.559870292259394	-0.455241927055712	-0.238262119275363	-0.0676235066316084	-0.224535102070187	-0.100039696329024	-0.0631192473578613	-0.176727194055711	-0.306250957239066	-0.335619314458749	-0.414311246412684	-0.351175969190784	-0.278567029826529	-0.178820094001924	-0.169038770475427	-0.213663510644098	-0.101749643211309	-0.210259042312392	-0.121860463461795	-0.232540365173459
"221927"	-0.722672791323731	-0.717801822244623	-0.48673604405151	-0.771121045458363	-0.729289082899269	-0.561001323184581	-0.799966986098911	-0.735472683367227	-0.705935761591992	-0.458054394186864	-0.822212556106092	-0.520835957378491	-0.692627968455296	-0.6865135593929	-0.752414898248506	-0.76248165627519	-0.637477304440244	-0.598422298434874	-0.563881044408605	-0.77827942559445	-0.927832225953478	-0.843198028516866	-0.674165091561761	-0.694608650081908	-0.765378541684878	-0.655033619989013	-0.479460493599753	-0.65185557001158	-0.821580963478703	-0.879305723262869	-0.700583485552658	-0.627534687504948	-0.849036153901916	-0.672792558819222	-0.654999480857074	-0.646967940968146	-0.636238290458489	-0.813542459934061	-0.793213149191624	-0.749003800166402	-0.7921951158241	-0.728472714375992	-0.480385650343876	-0.983501500145155	-0.414977585052416	-0.864190476001591	-0.787788976637745	-0.637197240571081	-0.557184083233238	-0.558736829503669	-0.431099490756715	-0.710196359428378	-0.840827227127172	-0.473316385600008	-0.714311240472115	-0.668967083418851	-0.895631550617026	-0.886547588398342	-0.687793731832735	-0.748321147910959	-0.751163446742719	-0.685259505771457	-0.67932695125966	-0.610799668773793	-0.661499272465925	-0.537831178960306	-0.465912994314491	-0.792715002235421	-0.629459534952703	-0.523529552551908	-0.66008532191816	-0.713447851904769	-0.677143958985819	-0.735793269516345	-0.615737944890645	-0.597013782310398	-0.927873262902524	-0.859501993516762	-0.374885577175331	-0.902101916126927	-0.664537490906877	-0.706079092958188	-0.751898939966655	-0.788306063926661	-0.679284081756696	-0.507544564373891	-0.70170768665559	-0.740193689970005	-0.697869912486181	-0.755176658884176	-0.672503449171857
"646498"	0.204226199157767	0.174510029823718	0.0939268132595726	0.0253570931245187	0.172920911986801	0.0876887505394174	0.116153503305038	0.168619472502247	0.203502068595079	0.0990711537572671	0.173742114480531	0.0310920218967235	0.294818444510751	0.106902792917084	0.151390434957884	0.206087013181917	0.218928489001475	0.0498994909817316	0.0270574242347633	0.185668234493673	0.136815722604692	0.133664379574827	0.0898135989327059	0.217188511004551	0.189166980930812	0.048884266472794	0.0924708332338559	0.159370456961394	0.227370334386187	0.190483497876378	0.203769021761163	0.216334225699273	-0.0288433786345844	0.144827396389423	0.126441507504083	0.200946786560918	-0.0110609757450345	0.10563673940972	-0.0139793300275691	0.11093748263059	0.113519850494673	0.130438220182914	0.218568954138274	0.191139096904613	0.166313622297977	0.0863512004704556	0.119320891695596	0.0643953870800049	0.132638289845565	0.105212297525237	0.126604541468556	0.180408238241328	0.205357080759048	0.108939952384096	0.121893150197607	0.209859650001473	0.166789898538092	0.0229687674224073	0.13050316339501	0.198207534577652	0.0759165889177582	0.182388088311764	0.0276173545630099	0.154256277504365	0.188974066568214	0.148556223175195	0.142431402544768	0.149095147064648	0.0922666421223558	0.166249754492279	0.121172264416054	0.18484929161749	0.168506938004883	0.0986947996276669	0.106366746529747	0.200941497011601	0.11910630781678	0.179522434133039	0.0827439051272136	0.243254240056242	0.154493223097042	0.0110248738305464	0.175537359231214	0.185769134126279	0.107698227359236	0.147569733715415	0.128992336542963	0.177321305388868	0.164950169348446	0.25946870060712	-0.00634947171081236
"58509"	-0.98753341723464	-0.979561544853119	-0.838944112758985	-0.872419855789979	-0.790133683899537	-0.903522603528675	-1.00658215607168	-0.895270078738808	-0.965349967329565	-0.696969979024317	-0.897319209726771	-0.931953220011631	-0.869764134525469	-0.718632788510346	-0.669492524586558	-0.762710467866518	-0.79882308270038	-0.989420394829293	-0.962585709438339	-0.888039546578461	-0.975127457944954	-0.691425809340429	-0.860980999407146	-0.748862113033131	-0.645639779038749	-0.55177076635815	-0.936955123962729	-0.699409068895536	-0.794467505951584	-1.214111976907	-0.965742954669073	-0.93541899486161	-0.819735420569258	-0.930075818392684	-1.04238149868616	-0.880604027683027	-0.939208646689455	-0.750325106195799	-0.827339324874306	-0.970517074039016	-0.861004617726012	-0.681286898845515	-0.830278874006245	-0.967980281311869	-0.928350995252423	-0.896523857262345	-0.858350180283312	-1.10598080020498	-0.717490877221933	-1.00289412822094	-1.00563120603093	-0.781819113818469	-0.797412774476097	-0.684667939301018	-0.709595722019864	-0.812289634918645	-0.690107045299777	-1.02508196303589	-0.92892658955214	-0.889585644691759	-1.00777114141392	-0.848470201261721	-0.752831920464427	-0.997896470093097	-1.00520043553249	-1.01413030365182	-0.728062881626611	-1.0248644340702	-0.789318970126576	-0.974719481701031	-0.950670941565462	-0.723855260857846	-0.983139003721216	-0.799286941370137	-0.904976940872585	-0.905280286409902	-0.956462388156088	-0.940627862157541	-0.874846304009081	-0.894705838791848	-0.758749755043491	-0.910323480067936	-0.954219498137345	-0.856427339318651	-0.74840205206511	-0.992067593035226	-0.934161679627375	-0.854651074452197	-1.0781962898034	-0.931706336374902	-0.897691893433404
"832"	-0.961251649495387	-1.1005122975021	-0.810238923016444	-1.12458822419442	-1.17375908048963	-1.16402444498029	-0.897337356020345	-0.909707653397704	-1.15728105489342	-1.35324060449543	-1.00809747974142	-0.714103753759557	-0.977653596755169	-0.675381856070504	-0.957924583941638	-0.958511816363653	-0.951593591404473	-0.882880214249783	-0.644502533056728	-1.29953729071001	-0.929165821371767	-0.849573191637429	-0.979231383613805	-1.10813926795566	-0.870561892168633	-0.966640287712901	-1.09646075853589	-0.925870451400846	-1.11049076911362	-1.0740726361087	-0.969214727793532	-1.15903855640269	-0.886328648914595	-0.90375015395699	-1.07202591276104	-0.696095259863537	-1.10002146766937	-1.26522199646056	-0.870617617263417	-0.962283511618889	-1.06249022019245	-0.88815228757348	-1.22766305912166	-1.07063660912371	-0.901395752165907	-0.914408572587977	-0.862783728048337	-1.16991342530751	-1.18333049202696	-1.01414347238569	-1.22466938779666	-1.13523881414607	-0.92531789363624	-0.627501607677487	-0.970765227159587	-1.07429977040395	-0.837215154608011	-1.24539795435732	-0.694926720013846	-0.95373369299642	-0.879903990170721	-0.811982314584505	-1.02603811495637	-0.806955359139232	-1.11989729980413	-0.963704854539462	-0.748663401144604	-0.941861113819425	-0.884877265208263	-0.885773123419552	-0.974939283390335	-1.07628944951222	-1.19739149210783	-0.901597198990978	-0.881263738749034	-0.821141727793935	-1.05929225173409	-0.901098264188656	-0.982992286760061	-0.980065221719785	-0.951300569951176	-0.676394263254392	-0.806594906361805	-1.24970235895234	-1.02491212964246	-0.712164375668945	-1.02707506372942	-1.06684982315444	-0.925619661958423	-1.35404857728589	-1.13493214751376
"22820"	-0.991577565003148	-1.29726374869577	-1.26621834505963	-1.36930377619146	-1.23003969556601	-1.09307988972217	-1.28311659439987	-1.26523240120251	-1.32305997515335	-1.21452015895375	-1.3144806626515	-1.23132594945415	-1.28915029996748	-1.27476718519848	-1.24964467640815	-1.04981542647481	-0.947786761307601	-1.27501648230029	-0.970224857368067	-1.11597012112645	-1.26968093562668	-1.01046775880932	-0.982624303951607	-1.24564234488109	-1.39005553471555	-1.12812754581574	-1.11906854285393	-1.15785678933997	-1.46602417853861	-1.36215845998377	-1.05003919206382	-1.17165400425855	-1.31943086429488	-1.13024661515316	-1.18002558799762	-1.0367106485345	-1.22200411196937	-1.15031415612471	-1.01287004926745	-1.20024707321405	-1.26384789666491	-1.15480077270992	-1.28356016041914	-1.2450684936658	-1.23968909660283	-1.36665351802507	-1.24130849483632	-1.18684813681735	-1.39401218647928	-1.2029015528474	-1.46702098142336	-1.48969743818615	-1.39882682955495	-1.34965295016646	-1.13271175830627	-1.23902961674664	-1.30296142123042	-1.33836437799283	-1.17285313329573	-1.08571570591182	-1.16950390036959	-1.30049657777497	-1.14586359574718	-1.01505165069365	-1.22410650671078	-1.29672246591664	-1.12630656476067	-1.24067628293276	-1.40437905956713	-0.741873247209388	-1.37150346979896	-1.46825680808456	-1.17992549924112	-0.761352878278792	-1.14770857921457	-0.761990454016891	-1.27005721949949	-1.22366721469049	-1.11132820297241	-1.29807331573465	-1.2561645929007	-1.22683237568356	-1.29568802479646	-1.18777331271007	-1.23865035537291	-1.29006096263698	-1.29787340356676	-1.23726054127834	-1.17194161921454	-1.33928583731507	-1.21726248572761
"340168"	-0.497020051975389	-0.45237112603345	-0.464650584548635	-0.254912632250436	-0.412101757291917	-0.401772446728525	-0.417288946928668	-0.425153015119063	-0.359013791931454	-0.6118026434768	-0.531325578073118	-0.340885373440378	-0.382504301266836	-0.411365103414322	-0.310874040966411	-0.327823123188389	-0.477046574011061	-0.441249052309292	-0.319966816643404	-0.45890301700285	-0.209979309815173	-0.530149289887238	-0.360718596403451	-0.573155525185116	-0.396925874393312	-0.482859840444931	-0.381451983883206	-0.414981283376227	-0.416805972486817	-0.125786504179849	-0.430050981936561	-0.308444200203217	-0.429022144648643	-0.532176143916161	-0.625205490986357	-0.51654132915736	-0.23276940575676	-0.454085291250006	-0.25988496216711	-0.448338295342994	-0.205427556742516	-0.414002866950868	-0.508876386311205	-0.368477650625976	-0.362570279995483	-0.387922156740517	-0.708152661987136	-0.441767591003595	-0.69658218507153	-0.54844481035118	-0.475248921472112	-0.4529428448143	-0.439505801766429	-0.352716991184628	-0.486451923124671	-0.331598854929846	-0.343565970988492	-0.33445027656709	-0.502928768404461	-0.416961865796361	-0.362073555181528	-0.321847144618585	-0.529916943236886	-0.352879714774353	-0.471661594397522	-0.349457827652356	-0.381778497251118	-0.445671160910867	-0.595297319318293	-0.406521056005141	-0.283592212510923	-0.336677833021864	-0.379341247736504	-0.460634240629994	-0.436020732301335	-0.367477143289173	-0.433402082369229	-0.367251682478554	-0.350880030638897	-0.499129756479782	-0.338652997017112	-0.382100830244211	-0.501007051382052	-0.606166107170798	-0.461855019150309	-0.312355598705414	-0.516971210973413	-0.340726814212676	-0.190183588771636	-0.356067267040596	-0.408386271977588
"8666"	-1.38239606218902	-0.762779613895007	-1.4259658089155	-1.08384881697018	-1.14143944253539	-0.962086187469179	-1.07611584200253	-0.942347474664978	-1.26571166607157	-0.951498473494032	-1.1496188463487	-0.781195540179114	-1.09643945032748	-1.15001281948906	-1.09611065250141	-0.788736390495452	-0.914272985183124	-1.43042176781589	-1.08779465763984	-1.26538382625986	-1.32693033557153	-1.12482837070105	-1.0528926782096	-1.13445140066979	-1.15928935926943	-1.18817737651126	-0.755802914232771	-1.20253744268031	-1.25837971521131	-1.13137236028956	-1.11441557291057	-1.09594200827674	-0.910158644371306	-1.15459049483754	-1.0595536071134	-1.18367399974153	-0.87794475022653	-1.25912800800935	-1.25485776360954	-1.17950763588244	-1.25728620139361	-1.38297552731205	-1.01460240593335	-1.10792281129191	-1.21968452445816	-1.28604871106899	-0.949368206060498	-1.27532036991204	-1.0314166388897	-1.01416513531211	-1.09970515754143	-1.14255972846674	-1.27702962008977	-0.992890448773053	-0.918212332284296	-0.973404548422589	-1.14126965883382	-1.14597581058178	-0.995691799248164	-1.12326225319002	-1.18318367773287	-1.27137442472546	-1.19725612873377	-1.10489587149329	-1.028411687137	-1.28073926587526	-0.950319441399943	-1.05181711219115	-1.19302573498067	-1.22318013223534	-1.01029694979281	-1.04629564969295	-1.28273087762697	-1.03300913389921	-0.971726911442571	-1.17305060404644	-1.00873502934676	-1.00922473038888	-0.9875442335596	-1.13301216898794	-1.27422681468103	-1.05901370598347	-0.918674217858161	-1.23880716733672	-1.21896811804596	-1.2209769865083	-1.12735677264026	-1.09174742083931	-1.16623580361623	-0.971999247827092	-1.20675814417609
"125228"	-0.368459268671115	-0.525026138934364	-0.232650524135754	-0.370802780525465	-0.127312819593917	-0.22939668824825	-0.240501458384961	-0.36442390829948	-0.387359343873651	-0.337223682428274	-0.14545864481555	-0.213298009422762	-0.339430687543855	-0.268624729224944	-0.389064312560274	-0.599767243812159	-0.398221234682565	-0.236857016609017	-0.292863484658524	-0.532182351192561	-0.166331390221464	-0.285878906633698	-0.283759972327238	-0.369908674059981	-0.21441094622761	-0.175332124620932	-0.406766116478026	-0.316907478305512	-0.600023546326141	-0.497025893828285	-0.343883151893366	-0.34812488029854	-0.43251950187434	-0.180346525872569	-0.231849869439312	-0.368146999820524	-0.185204933587675	-0.3212212828787	-0.280037615953433	-0.439956230005223	0.0207074142817115	-0.0792351813232912	-0.270822395248001	-0.501651948982011	-0.208167999785522	-0.213773405886462	-0.26393622533716	-0.281183211108495	-0.327431873742269	-0.420666119245389	-0.184664410382809	-0.30170107621894	-0.238313177417637	-0.325818440461546	-0.0330761277422216	-0.283178394873828	-0.196440577687395	-0.594139048269313	-0.118971445945597	-0.429339213948324	-0.323046574375393	-0.453974599243963	-0.213770897574288	-0.00621045281719367	-0.161441701735922	-0.335498677312809	-0.153050306326232	-0.326596668023211	-0.207374979462484	-0.239572045293569	-0.849480005220723	-0.310584227300493	-0.404872654856561	-0.14278991126623	-0.1969572002139	-0.254723974852259	-0.192216296372832	-0.435926561727576	-0.37051613576725	-0.364462732228559	-0.419189839509277	-0.395954724117373	-0.317456911302642	-0.449775847973947	-0.356057774120418	-0.186209409565245	-0.287112041117217	-0.135672899204739	-0.213824103706823	-0.318860058262293	-0.525927142567705
