	"ACH.000127"	"ACH.000143"	"ACH.000146"	"ACH.000150"	"ACH.000169"	"ACH.000178"	"ACH.000222"	"ACH.000226"	"ACH.000228"	"ACH.000231"	"ACH.000235"	"ACH.000243"	"ACH.000277"	"ACH.000288"	"ACH.000312"	"ACH.000322"	"ACH.000331"	"ACH.000335"	"ACH.000348"	"ACH.000361"	"ACH.000408"	"ACH.000415"	"ACH.000452"	"ACH.000473"	"ACH.000511"	"ACH.000549"	"ACH.000589"	"ACH.000591"	"ACH.000620"	"ACH.000638"	"ACH.000649"	"ACH.000653"	"ACH.000663"	"ACH.000693"	"ACH.000694"	"ACH.000714"	"ACH.000718"	"ACH.000736"	"ACH.000760"	"ACH.000783"	"ACH.000784"	"ACH.000800"	"ACH.000867"	"ACH.000887"	"ACH.000896"	"ACH.000906"	"ACH.000924"	"ACH.000928"	"ACH.000988"	"ACH.001228"	"ACH.001239"	"ACH.001277"	"ACH.001654"
"54971"	-0.794889865794126	-0.621590881146883	-0.542008123198953	-0.538013268926353	-0.838731813760801	-0.540923393084594	-0.71523501096553	-0.576214326017719	-0.640705841572658	-0.793098797228656	-0.661951445205971	-0.690437979579327	-0.610808595121534	-0.925385306425675	-0.812025962746913	-1.04235908547834	-0.695021025584024	-0.767880232216429	-0.693698639610715	-0.927488853869438	-0.88367379413045	-0.76001381965699	-0.868445565568673	-0.572859375956422	-0.631777233360623	-0.921192080832789	-0.721091464127503	-0.845762073379648	-0.746169673563725	-0.660487045034444	-0.618562686210587	-0.693850208112097	-0.513160240958188	-0.765053488597098	-0.743925447341023	-0.74252020200054	-0.722411250992263	-0.582234782786215	-0.757356119589627	-0.817424918154748	-0.845720407030479	-0.414047646376843	-0.688658354657172	-0.638955371153878	-0.676120373570473	-0.615029635449038	-0.80682920606535	-0.896645663426098	-0.70890161154243	-0.915162538290954	-0.654973983825952	-0.890516452386238	-0.76296305295295
"10368"	-0.0716366232746544	0.0347281740215548	-0.0317766763837754	-0.0378445815135177	-0.0376121778931751	-0.103025101675789	0.272315351808139	0.00904896700814655	0.0164302697540332	0.0561827297514719	-2.19644478270993E-4	-0.107811192408405	-0.1102893449197	-0.0871520835820629	0.0489226561311644	-0.0567896255000787	-0.0833066841639005	-0.087303486181573	0.066653740832918	0.0306587677333774	-0.117634852856612	-0.0812589970541913	-0.0814168885174079	0.0148295256314266	-0.0585914756508991	-0.124679557196462	-0.0151810002108413	-0.010628460096449	-0.0631532553150177	-0.0518058260973221	-0.0452400577385102	-0.0898243373249314	0.014641880645081	-0.0042630949515577	-0.0508655683860265	0.0479322611001794	0.0173795913862912	-0.0742097980772977	0.0206935884885274	-0.0325135993343239	-0.0197621072207034	-0.134640390948589	-0.0368248488641221	0.0234571549181501	-0.0286399409356939	-0.0458089439439722	-0.0281283095084188	-0.050912338385645	-0.0429496119280818	0.0798259246763403	-0.0272952951155348	-0.0495625849868282	-0.0376287870972268
"79577"	-0.650611209725124	-0.655021321620881	-0.58721784502843	-0.709449628797209	-0.71068514531692	-0.587675375617252	-0.684008077371966	-0.751819551696768	-0.677814759986062	-0.876881046266895	-0.541678862039962	-0.760901118828233	-0.578192085389947	-0.678142148096187	-0.595405588867246	-0.962558785569019	-0.884248782306882	-0.693239878768579	-0.747490693635774	-0.759852146689103	-0.801684659449616	-0.635582384457364	-0.654169510714716	-0.830932708137323	-0.801960477430683	-0.730455141407565	-0.592254392173959	-0.638740652345318	-0.605977454197615	-0.716409211463485	-0.565773365865239	-0.848761416035657	-0.668283261255262	-0.674873120595749	-0.536438750865079	-0.652283474677017	-0.570199426395074	-0.728748317754693	-0.870400253205585	-0.707203800824053	-0.660273725807164	-0.995511528493847	-0.846037937410049	-0.564476317650186	-0.749536864765297	-0.722713997162296	-0.731429418100719	-0.844949790015065	-0.906751226835334	-0.538978475887569	-0.43887093235061	-0.575963723219411	-0.74849904419147
"1025"	-0.959573441718727	-1.12231507925476	-1.19785650174694	-0.992704154417469	-1.10740582180047	-0.969354925043509	-0.932969419393527	-0.981316121063351	-0.866547596244388	-0.947002104102979	-0.975770254180983	-0.976346609158138	-0.858508117063636	-0.923130510625726	-0.973152660051216	-0.97518805810937	-0.939382726290424	-0.84217244765348	-1.03379108477486	-1.16388542069253	-0.858955152762471	-1.04749750198109	-0.777930551479165	-1.10024277185008	-1.01565314977137	-0.756732634151868	-0.875195578695399	-1.12829542635275	-0.888215785229701	-0.826274360103026	-0.818650171444315	-1.06639576639753	-1.03338122711261	-0.932054771658318	-1.02659887071932	-0.868530261137468	-0.993557299889093	-0.976037891231919	-0.95910021189244	-1.00665820537176	-0.89481450619997	-0.894943560039952	-0.824347907661675	-0.986377958581483	-0.992438307760021	-0.909495908714411	-1.12891270674531	-1.07509412873043	-0.885489596388546	-0.907509615819022	-0.932957047895667	-0.98575156467443	-0.977859788659811
"64105"	-1.03983663085512	-0.882768438748842	-0.835932572129395	-0.902605817067124	-1.1761727018929	-0.968540882975449	-1.10005707465414	-0.975637490510676	-0.988271694880047	-0.964383714268148	-0.987373302760864	-1.07421312232222	-0.891239240578072	-1.06277543244999	-1.01457903594945	-0.8426779950359	-1.10382275307921	-0.827147642254089	-1.08698856482316	-1.1755409557351	-1.13025085669042	-1.14010971488769	-1.04401216344507	-1.04881135624883	-1.03415419764768	-1.15787482266559	-1.06921070826637	-0.993990788908806	-0.945848034621717	-1.02929241925176	-0.9967799751522	-0.918207443164303	-0.999422307540437	-1.09800672956549	-1.18455941081104	-0.914966056914824	-1.07009817802131	-1.08908066275365	-1.23376712752266	-0.891394237390287	-1.03690360988766	-1.13751599515787	-1.17625767180777	-0.888407075928633	-1.10867925404735	-1.02559556194181	-0.903798458117787	-0.894433589440388	-1.16994846873286	-1.12056269437513	-0.94650730416389	-1.24165119059616	-0.962147362555745
"55839"	-1.04871013620992	-0.970259227236693	-0.665439541556637	-0.76384567283829	-1.12411632273578	-0.982421947794778	-1.03609902574037	-1.01122179438348	-0.764529836110159	-1.24860936451325	-1.06201092205984	-0.92220349405203	-0.922331747940568	-1.20670165012639	-0.912175120401232	-1.13994113511237	-1.01708111934553	-1.1142408326648	-0.973615502028337	-1.04727488302332	-0.992411190037632	-0.795759586135095	-1.06207519262745	-1.03726967079266	-1.19680629115397	-1.12173494367289	-1.00797936094784	-1.0743354012878	-0.979317066114123	-0.891977547829602	-0.918966759890194	-0.981033124741842	-0.733388269420316	-0.874455133684157	-1.11891565223859	-1.13471014261518	-1.16203944564764	-0.961456738442833	-1.01714137747172	-0.836434802341673	-1.08990657746349	-1.04692738838856	-0.982346466707466	-0.942359535155616	-0.86830112965424	-1.04097969082261	-0.899692843147893	-1.19413039325402	-1.01319894537217	-1.20006757864707	-0.984222791830317	-1.15593748681774	-0.998301442848418
"10978"	-0.985154442618667	-0.859461738349971	-0.843367416821133	-0.944077383202194	-1.15432957545887	-0.776328965910301	-0.961888259363214	-0.954652403081349	-1.06462817632568	-1.05047550935032	-0.959230849728925	-0.883860687093345	-1.11042227080807	-0.965314222141594	-0.995174924254085	-1.13718096861937	-0.919013245593052	-0.838119239293061	-0.802074858805549	-0.915402172017935	-0.889165367090965	-1.20155745674085	-1.20660609540293	-0.899485858776829	-0.871091609862015	-0.918276837718267	-0.933848925904667	-1.04179580338727	-0.830761606496674	-0.917425569834123	-0.979186571679273	-0.789679326662286	-0.829430025186121	-0.810554472109491	-0.955256885025505	-0.863407719460554	-1.19804473524938	-0.836031648051888	-1.18759126503342	-1.04625367154691	-0.893916573738478	-0.853310700963678	-1.01884449791973	-1.04980877966102	-0.894011672769843	-0.960053301636358	-1.01845821498904	-0.929581746962123	-1.06788227848979	-0.914712434936326	-0.867889861307575	-1.10727742516427	-0.957305046311067
"1469"	0.0220241886147666	0.00732764933428118	0.0474885787673968	-0.17504269817043	-0.0243513414753998	-0.0693863682161125	0.107945858298715	0.0529705386783713	0.0516308170504116	-0.0406426309404981	0.0254475956893211	0.010799826034727	0.0605404542599513	0.018566860367463	-0.0229988694869939	0.140221832762048	-0.0162677173573246	-0.0345767682049155	0.0061530480706007	-0.043141926803209	-0.0291715412973733	-0.116310684794037	0.0151246847258187	-0.0353146252258734	0.0244133893880835	0.0539744951085243	0.0202773303253533	0.0310318674888029	0.0499183509580211	0.0443407660251271	0.0526414168161366	0.110659557112852	-0.0857334269026458	0.0551858721403928	-0.10823136774721	0.0369779035219805	0.0318439520510334	0.0847018125236372	-0.0553911228834888	0.0899830569896993	-0.0290535184103415	0.0651925483785488	-0.0669547068604203	0.0395797941260667	0.159717335131075	0.0553052109804845	0.101595852696841	0.177094350172879	0.129682148797895	0.108288038751217	0.0599561129236304	-0.071763517975441	-0.0847790558375611
"10664"	-1.15488642210578	-1.24107075728814	-1.12028322303067	-1.16441015151241	-1.32983136524566	-1.03270530017065	-1.37851102088102	-1.11597297439243	-1.08647057721771	-1.09831753182269	-1.1902785300913	-1.217741109838	-1.47586930550905	-1.00011320620261	-1.24818592845121	-1.0770155643256	-1.30037980403371	-0.981069116785865	-1.09175642219696	-1.24594505126931	-1.24600977276944	-1.17461364002197	-1.22653902380506	-1.23413888032853	-1.29222687841765	-1.14782952687702	-1.19878105295782	-1.23737070916713	-1.31631414840182	-1.15935393578764	-1.20245166259921	-1.10740756060884	-1.09768199364957	-1.19577952735173	-1.1512323071769	-1.1998408870738	-1.24915365816964	-1.23674651030634	-1.2880313319535	-1.44698369592548	-1.22976245199434	-1.68936463582086	-1.25972446259516	-1.08333832414239	-1.24705581739432	-1.16743768438161	-1.21493451709061	-1.2256349235179	-1.43764340621225	-1.09323510436076	-1.13925575262479	-1.41826597430898	-1.15010097542767
"1642"	-1.36867759401663	-1.35270381112127	-1.68981558626645	-1.33391926024628	-1.31389587073197	-1.29137733806041	-1.42322800408625	-1.36299240949085	-1.4659710878498	-1.37874939283938	-1.30855983111398	-1.28612268096827	-1.63860272691367	-1.40789733375518	-1.34979431827591	-1.11216265576315	-1.25907996732258	-1.49702579550763	-1.22439516969653	-1.43020989508504	-1.27134139331865	-1.53441879580716	-1.58357158584864	-1.57925813085012	-1.29457047246785	-1.2575274442575	-1.37641142779603	-1.37869444129211	-1.40314048327777	-1.29772238527146	-1.42237758936247	-1.40751142558538	-1.42454754448685	-1.30840418314761	-1.5746144124344	-1.4843696887509	-1.52870911365539	-1.43683022525968	-1.33055908777479	-1.52506628091397	-1.18858358669397	-1.51190745063011	-1.3577984554622	-1.4099311309293	-1.49429749002407	-1.26758945408421	-1.21442962031129	-1.48429658397838	-1.48355888687226	-1.58154738754069	-1.30848976390864	-1.20773942973713	-1.37101456523278
"11319"	-1.1106073025231	-1.19457309730382	-1.22836752117537	-1.06526205896548	-1.12895591525462	-0.962984187040162	-1.10650672936802	-1.03508031271922	-1.22566040038204	-1.14182148432758	-1.03262077512133	-0.98225468928218	-1.17932611331996	-1.07999402205938	-0.927093006929521	-1.12612764850534	-1.00315950101001	-1.15259766006307	-1.08440009663945	-1.15019720441571	-1.10120858681928	-1.08312658871758	-1.03662231885895	-1.16343888145885	-0.993036641519495	-1.25201984003614	-1.0199389531503	-0.956779588425762	-1.05049147253083	-1.17760512519828	-0.986682294396188	-1.09416772722355	-1.05344471441444	-1.05560354983793	-1.05477380138431	-1.09049342401006	-1.24786745591862	-1.08011486699109	-1.10287737067489	-1.37397279534825	-1.13366791493243	-1.28305688863699	-1.15570604632314	-1.0132443529266	-1.06843237676874	-1.04544920608645	-1.18443666221828	-1.09244038840193	-1.31355168052411	-1.23789410155775	-1.08994880014787	-1.24317053441238	-1.21719819486597
