	"ACH.000013"	"ACH.000021"	"ACH.000022"	"ACH.000047"	"ACH.000128"	"ACH.000143"	"ACH.000148"	"ACH.000288"	"ACH.000302"	"ACH.000329"	"ACH.000339"	"ACH.000381"	"ACH.000467"	"ACH.000480"	"ACH.000488"	"ACH.000507"	"ACH.000556"	"ACH.000593"	"ACH.000601"	"ACH.000620"	"ACH.000657"	"ACH.000671"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000711"	"ACH.000721"	"ACH.000747"	"ACH.000758"	"ACH.000823"	"ACH.000848"	"ACH.000849"	"ACH.000851"	"ACH.000856"	"ACH.000862"	"ACH.000866"	"ACH.000882"	"ACH.000885"	"ACH.000905"	"ACH.000910"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000932"	"ACH.000936"	"ACH.000947"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.000986"	"ACH.001028"	"ACH.001038"	"ACH.001163"	"ACH.001275"	"ACH.001336"	"ACH.001368"	"ACH.001523"	"ACH.001554"	"ACH.001765"
"386724"	0.084396464525849	0.0943812221779616	0.0692587987275299	-0.0862825662694291	0.0105586494253639	0.0409009926455687	0.198785700734342	0.0413219547328576	-0.0381726473432142	0.0542185764041615	0.0349642446981799	0.108089084227615	0.0475481843609078	0.200778049151321	0.021628876407182	0.0315863578253517	-0.00790324792206648	-0.0618044047757885	0.0348348707170726	0.0346058771373153	-0.00228771534637953	-0.0846524700348413	-0.12828397012793	-0.0498671701500402	0.0557859040206883	0.0662262555522463	-0.0164691567341187	0.0469384671361863	0.0558324445888602	-0.00219276206598099	0.0937947571434992	0.0836600157324431	0.0436076539303955	-0.0316200712031967	0.0853765998967023	0.123730570719189	0.0999767656151118	0.0857678190387055	0.0358202273566711	0.058185895082986	0.0770922627707842	0.0342150560528694	0.0231670079621298	0.0838906014789928	0.0479109468912309	0.158015170804534	0.15604047403549	-0.00200158404319984	0.0197893607118819	-0.0846089407338942	0.0252526328632311	0.0603331353774692	-0.0238600143821814	0.0878474112858638	-0.0473250040252651	-0.0155041319642271	0.0300819533177333	0.0620586955198609	0.013002931988498
"124401"	-0.132175536251715	-0.186430996436147	-0.110377791853677	-0.173761264353421	-0.0515574708112672	-0.0257600917884006	-0.214349822050544	0.0539243899236315	-0.27972955412647	-0.0879260206485265	-0.0935134059749397	-0.0223830611103681	-0.0144289177219929	-0.123135780898409	-0.120772696344943	-0.0386455213416759	-0.139270030551424	-0.157346060532508	-0.0841462981848019	-0.367463763070342	-0.100036563863183	-0.27390524596675	-0.0188642575150556	-0.0562041234271786	-0.114536027977499	-0.094791984671428	-0.183634107341864	-0.132012901859926	-0.0733672668774171	-0.0692775553877251	-0.114703382297576	-0.10161546807924	-0.0786271189543926	-0.0142462208157622	-0.0994803609282621	-0.0656522637140843	0.0801636703961845	0.0885059476434873	-0.137674825481699	-0.0891403685509214	-0.0845276916926267	-0.0536773318124272	-0.191232857098619	-0.0439695556446713	-0.250169002967798	-0.0988230636406688	0.0449912595840249	-0.202501836749144	-0.134818814253619	-0.0835939024737412	-0.0854335236772483	-0.0801906939648361	-0.071190463734344	0.0680962783668188	-0.169042686495365	-0.0247817424475587	-0.1642159100996	-0.101386419487103	-0.0967345773908116
"79946"	-0.206871485805856	-0.150740825230896	-0.216965547473703	-0.179639803100107	-0.246949598381072	-0.260390543769547	-0.288978489590425	-0.275718829803916	-0.235644066540624	-0.365161579732971	-0.275666526727533	-0.236721310287187	-0.143979659104021	-0.190189647930555	-0.178609883573057	-0.150104188577289	-0.231886022718057	-0.180433463118458	-0.22047648220298	-0.0823339611097426	-0.326014738505599	-0.222533400646601	-0.191322040507802	-0.206242046437847	-0.307904505773059	-0.278552840931883	-0.303416197088177	-0.30385661943322	-0.274807677351184	-0.23947643215911	-0.333597799173278	-0.257642874460805	-0.226884087461459	-0.154781591857246	-0.189919934278187	-0.145234214280522	-0.403752958675578	-0.291027339371756	-0.319645141128452	-0.231506084008938	-0.314832037745243	-0.276229912978848	-0.154752502079077	-0.209911155286908	-0.258353510171134	-0.327451645176367	-0.303750344256432	-0.344151927713633	-0.249783332464862	-0.316218792555208	-0.251852284598602	-0.279748518044348	-0.300501080992487	-0.032466874074303	-0.320729432521679	-0.224484809152644	-0.165337702242226	-0.306088005673247	-0.327505182383698
"203238"	-0.115954427182727	-0.0953495921950589	-0.117856654458595	0.0420858672205489	-0.0030829725877243	0.0686689889428534	-0.106954171466019	0.0264210870385355	-0.0567733971443168	0.0950240786332094	-0.0152949435319343	-3.29949818912375E-4	0.0590465927823353	-0.0942263569620307	-0.101872004305688	0.00584527373229449	0.0398600026423698	-0.0762327628703486	0.00213722583630933	0.00901854954724147	-0.140018607098977	-0.118502070338015	-0.055652836639137	-0.00687110670032495	-0.071549044890809	-0.0976252632226177	-0.0308730830590304	-0.176433414978672	-0.073949250515439	-0.0364924321357841	0.110826627136091	-0.123883880724409	-0.0314222422984726	0.0987694841790416	-0.0317671465329952	-0.0236555226341302	-0.0475842995977954	-0.130694508496094	-0.0701251058255656	-0.0457459542009475	0.0342310355198565	-0.0765291580360379	-0.0144538961435969	-0.102915229632921	0.0542888413861218	-0.108058916335974	-0.0723834142766039	-0.101084816981101	-0.104628585041025	0.0321467125374366	-0.113212669296463	-0.0502519780010268	-0.0723173910835557	-0.0662440332114217	0.0181832507020077	-0.0851620419872406	-0.036404850538754	-0.132013168139969	0.0114513188947631
"79172"	0.135395751712993	0.0672528176822532	-0.313807800374492	-0.352424204175093	-0.0723804150442193	-0.184226626263343	-0.263479362064602	-0.206774112800147	0.0307697826376964	-0.168936132667176	-0.251884432528578	-0.234000388427901	-0.301452760922117	-0.380343801556767	-0.161543350787677	0.0455365521272096	-0.137671832303451	-0.249957126513847	0.0696009258333903	0.0670775937448724	-0.151599835324851	-0.0789225984985207	0.0347214261222251	-0.218505693011696	0.0623659636381899	-0.395166182214594	0.0378120627249951	-0.187480618493561	0.174062828827502	-0.177483786526224	-0.335212975163616	-0.0321769131710184	-0.255046848021422	-0.271093505499285	-0.123700425773072	-0.524718884460105	-0.471286191852019	-0.2381408628202	-0.339201644169365	-0.0806834689761182	-0.0361267784585068	-0.209348327280248	-0.107104808058629	-0.0782684981696226	-0.277383703069855	-0.402494046351188	-0.0133177654872875	-0.138673745329453	-0.138370469703943	-0.156187518214511	-0.0464832579830183	-0.138310606614391	-0.11358533163917	-0.0879520297683709	-0.170552839756532	-0.179251310292342	-0.385013437501952	-0.166958478273519	-0.175500178156224
"401541"	-0.180609809538878	-0.262377156577761	-0.736177357839055	-0.570901731939638	-0.671001272659854	-0.558182804249138	-0.733704008186189	-0.38651067544757	-0.263177432221953	-0.373983369160201	-0.496294519478058	-0.66633663027296	-0.606300113753028	-0.451224921339768	-0.369196456246991	-0.401040079742394	-0.320343318926481	-0.519384207594186	-0.0827136777526964	-0.163696228348917	-0.443738899345049	-0.374988401302208	-0.116536986583301	-0.487411556089794	-0.0932954492495398	-0.578790806520822	-0.210872075253715	-0.49376608125415	-0.201751047096805	-0.798304115560297	-0.606975641445816	-0.33898039017955	-0.440409854126706	-0.6096020333685	-0.392916527203799	-0.948987343371059	-0.869508797579365	-0.564423859014261	-0.540744768393253	-0.243957303390859	-0.0882191950580181	-0.432119733800819	-0.390266871108092	-0.439801724495969	-0.579251976141052	-0.853028557537355	-0.196439355771087	-0.333574780258262	-0.494435041946912	-0.560958434651182	-0.174544800157404	-0.350231925145118	-0.322317205087677	-0.457376391369803	-0.402474660656433	-0.534371810235019	-0.529383477753466	-0.569843022043487	-0.592462516300116
"1315"	-1.21640098517531	-1.43445244419347	-1.46103470534741	-1.41219486342852	-1.44600228518022	-1.33518338551119	-1.54261560769268	-1.30229356184879	-1.44000101826506	-1.49312831512249	-1.34212123384526	-1.05420686877193	-1.19114571281475	-1.2683299264385	-1.17780966592614	-1.37633151463906	-1.31384828085299	-1.29529186013581	-1.46344863033112	-1.5403849945561	-1.39167071566851	-1.67974302396807	-1.33387066912777	-1.30848737278492	-1.51250158249439	-1.26892787300928	-1.07590285337726	-1.55422285422013	-1.43427402585481	-1.31155236811482	-1.26560921604916	-1.30539970827103	-1.27321079983144	-1.35672266873115	-1.3315124030747	-1.41832185635214	-1.43035142592338	-1.51225449337768	-1.27863453955376	-1.60384029970096	-1.40475920999777	-1.52892767263831	-1.41451696114226	-1.41223863316504	-1.32059652354032	-1.56423555391312	-1.58628467385976	-1.25250154547428	-1.16045573807177	-1.27101744279607	-1.21332899789647	-1.41411931779047	-1.24821165274297	-1.29840323873986	-1.19788922859228	-1.43340927656453	-1.40122834343152	-1.50188898197639	-1.39952867076928
"79869"	-0.0616099389988354	0.0217344779238713	-0.113605722647123	0.129516234567212	0.116683177426118	-0.0191639586370397	0.0550776411979689	-0.219648067647329	0.183746187122472	0.080104284437904	0.00984416397607535	-0.0142844119996133	-0.0183494521075881	-0.19602745887899	-0.0020716545082491	0.0991896756044657	0.0135113172923919	0.133154695477134	-0.272981075956867	0.0452631702365931	-0.0403749476146675	-0.14194123213138	-0.0367608719349818	-0.0573235166545866	-0.0163741920551483	-0.0696745092559747	0.0385256147601156	0.0338251744609989	-0.0128567217916041	0.134293563162862	-0.0887506925830505	0.226393528766774	0.032032745408244	-0.136469248292472	0.042538481325403	-0.0413238101338121	0.0797592387730973	-0.00359896335090067	-0.0204673016457372	0.0711628154982171	-0.0546011412955703	0.170892167732101	-0.0752804054026481	0.0985937685041973	-0.066430891162622	0.153459844794475	-0.132437719562198	0.0774206570919785	0.0585677093455409	0.0225034982151272	0.0252416871858965	0.0562725316283637	-0.194425508094846	-0.0396895945348692	-0.0467959200332472	-0.105195824391069	-0.0207632658501284	-0.040299082796287	-0.0114562892858998
"284340"	-0.0853925994917923	-0.129217630263165	-0.130412751822222	-0.0543411733881362	0.0832870517380264	-0.0332307750445118	0.071401236623069	0.10944291547944	-0.125741504425946	-0.203984773722903	-0.175952724811829	0.0569448482258859	-0.106212182315984	-0.0886829941421267	-0.0142740522321128	0.0420338114201985	-0.132033430872193	-0.0955375800338734	-0.120624917732771	-0.180508495045284	-0.151791088382192	-0.0338619984911942	0.0223388773239508	-0.147632479448632	-0.0505653042320677	-0.0736576643847692	-0.0819608205624602	-0.0502733237853824	-5.19275084855711E-4	-0.0434844890288695	-0.0912790214704126	0.0525828685236548	0.00444584056213758	-0.210152117799591	-0.0398883552616501	0.0286475856780556	-0.0469654887205269	-0.155826308490047	-0.103878017500415	-0.00678772009103722	0.0687723524178586	-0.0368618066685341	-0.0379337188373596	-0.0108578228640094	-0.139273311846893	0.00983617509108075	-0.0894929207266859	-0.00355683957722737	-0.030963384140444	-0.125811860350245	-0.0559719424009226	-0.0678843963316637	-0.0435597732483564	-0.0519845199141936	0.0251166588888503	-0.0216638219490022	-0.056355967125736	0.0467640951561127	-0.142876471922986
"201625"	0.14873451963194	0.104263925560602	0.115042155218711	0.11149645714119	0.110796737750461	0.11456175255709	0.293965452503275	0.163101389393616	0.136852836886008	0.0983452829509284	0.0600819434268614	-0.0347181454355984	0.0968956653208993	0.17849099870589	0.0883029638197387	0.0828944984923272	0.0203545291488949	0.104384443683486	0.108478397140677	0.094851641821897	0.115222610448642	0.150471960269289	0.093135091299138	0.197369376255349	0.226113340675376	0.0893712081825779	0.0986870959576649	0.133772924893285	0.171551261077905	0.0685152723186169	0.0876932925405544	0.114075779906094	0.109437335812837	0.116841081992859	0.0409551292054772	0.147167460161277	0.114012943666467	0.214960628813071	0.139465759661501	0.131071807681571	0.134457515534234	0.0685109990248976	-0.0219636172681117	0.119035959042808	0.0542994365991548	0.186156513750593	0.162565279360122	0.0625607924776755	-0.0170682404141251	0.137277730779249	0.134376782948532	0.116107794065726	0.106677201636776	0.166818161085577	0.139148298737386	0.131518707572426	0.102925674063269	0.105348496500465	0.125025302029581
