	"ACH.000082"	"ACH.000095"	"ACH.000123"	"ACH.000274"	"ACH.000296"	"ACH.000383"	"ACH.000485"	"ACH.000516"	"ACH.000622"	"ACH.000718"	"ACH.000898"	"ACH.000958"	"ACH.001239"	"ACH.001391"	"ACH.001532"
"83451"	-0.433215300848664	-0.34463244903039	-0.348486310952928	-0.497828034247069	-0.505542972634701	-0.518780857402176	-0.466951765238015	-0.388605625710853	-0.699555848260364	-0.385064332447789	-0.500424905122156	-0.510928507133827	-0.556135963445431	-0.440097061304141	-0.411156720681299
"23141"	-1.52771923892336	-1.48048364237802	-1.4764122613049	-1.39820220780821	-1.62676747571365	-1.34097154785003	-1.36616464626139	-1.49540021061143	-1.40825304027792	-1.63393854621988	-1.49598125427507	-1.25510976334417	-1.33396325085084	-1.64188540192595	-1.61184574036461
"402573"	-0.120005134140439	-0.175022121724543	-0.126872379359114	-0.171519801472603	-0.163336759456562	-0.374620106734419	-0.198447299107143	-0.125957206727924	-0.239734848252529	-0.180771980859285	-0.223621551174053	-0.208791235321432	-0.321467777314295	-0.198418503137216	-0.191277322866479
"1022"	-1.27995582905166	-1.40922514483356	-1.24481570294264	-1.37936203423427	-1.31602671268727	-1.38558570454104	-1.37377987695669	-1.26828348485485	-1.56557966549672	-1.28016988134646	-1.21340330594562	-1.47891005205142	-1.35652930888566	-1.34679234975937	-1.30228361508332
"9731"	0.0141072847965388	0.11134420668186	0.0605769784863985	0.0838580108206467	-0.106411548030277	0.054258703621538	0.134985862146533	0.0197930124579313	0.113034399193375	0.0399391907407955	-0.102946222976442	0.113253420903909	0.0559447924603839	0.125329674673203	0.104846597662057
"284361"	-0.0138295041361367	0.0407447396324529	-0.0904039401315433	0.103272175118136	-0.0983992569306581	-0.0636383416916163	-0.102157569235156	-0.0667502762533041	-0.0683436920910665	0.0513624817208557	-0.0570847176921817	-0.0662340012719448	0.0454030852317734	-0.101691000788395	-0.0274444307554505
"221395"	-0.16699528068726	-0.195365801748697	-0.153731035057354	-0.162297673116994	-0.190335827961584	-0.183340823114244	-0.295880881168444	-0.173854375709535	-0.263727573819481	-0.131786804688869	-0.192372441268498	-0.311723467088917	-0.131822725299519	-0.361692303966558	-0.177190579293394
"115653"	0.0903047658009471	0.117615860612785	0.101408497378107	0.209614048386542	0.123924750982972	0.126682915464493	0.236834947285792	0.17130182253101	0.281727896792881	0.174336367343578	0.178905482624838	0.201722749598549	0.129343165442116	0.216508491421045	0.180512620845918
"26524"	0.0980439807869434	-0.204188669892478	-0.0959912691251539	0.179262573262731	-0.168013849357392	-0.245131046010213	-0.215865450423255	-0.156597132319787	-0.312096718964451	-0.137589489443742	-0.160945034586449	-0.209878060718267	-0.182979977955339	-0.280946516145874	-0.077881251591481
"353143"	0.128683040228613	0.300576311120088	0.204977052841919	0.387512455212237	0.261471995869218	0.235978054396592	0.329453696603418	0.142831987298563	0.289196082959321	0.160319142379102	0.240214868934698	0.233292418750335	0.268871646251272	0.267387865840169	0.275428679804328
