	"ACH.000009"	"ACH.000013"	"ACH.000021"	"ACH.000022"	"ACH.000030"	"ACH.000047"	"ACH.000060"	"ACH.000082"	"ACH.000097"	"ACH.000128"	"ACH.000143"	"ACH.000148"	"ACH.000178"	"ACH.000238"	"ACH.000260"	"ACH.000277"	"ACH.000278"	"ACH.000291"	"ACH.000302"	"ACH.000308"	"ACH.000329"	"ACH.000339"	"ACH.000403"	"ACH.000416"	"ACH.000421"	"ACH.000467"	"ACH.000480"	"ACH.000488"	"ACH.000517"	"ACH.000548"	"ACH.000556"	"ACH.000601"	"ACH.000618"	"ACH.000620"	"ACH.000621"	"ACH.000657"	"ACH.000671"	"ACH.000683"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000720"	"ACH.000721"	"ACH.000747"	"ACH.000758"	"ACH.000782"	"ACH.000787"	"ACH.000794"	"ACH.000823"	"ACH.000846"	"ACH.000849"	"ACH.000851"	"ACH.000859"	"ACH.000862"	"ACH.000866"	"ACH.000869"	"ACH.000885"	"ACH.000910"	"ACH.000915"	"ACH.000917"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000928"	"ACH.000932"	"ACH.000936"	"ACH.000941"	"ACH.000946"	"ACH.000947"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.000996"	"ACH.001028"	"ACH.001038"	"ACH.001061"	"ACH.001151"	"ACH.001163"	"ACH.001275"	"ACH.001368"	"ACH.001377"	"ACH.001380"	"ACH.001391"	"ACH.001523"	"ACH.001554"
"1645"	-0.197132420079622	-0.0896080142984589	-0.22051605523649	-0.214420097363904	-0.184296370484092	-0.136649131300925	-0.173699315648853	-0.105070298994664	-0.229561941785922	-0.141270927572058	-0.139673569068859	-0.187016511643831	-0.157157911698481	-0.123250821472379	-0.112541257236439	-0.0639676386640505	-0.119227228999272	-0.207184092607591	-0.204812745550481	-0.191537600623898	-0.0457174288832614	-0.130435894046384	-0.317606962658098	-0.207869793579597	-0.147808617033683	-0.19923304049381	-0.106753692786728	-0.121919609070726	-0.249846914378783	-0.127655887531783	-0.152076519248535	-0.0807270236085551	-0.086759965065044	-0.0762577730649532	-0.144053079775271	-0.229016806640053	-0.0927290651289649	-0.102425488137586	-0.156085432246727	-0.230745616190312	-0.152834944274781	-0.170635234980883	-0.137330828020239	-0.0974730849793011	-0.143054470878523	-0.172261034242622	-0.169220026175494	-0.0708414293760765	-0.12105814932833	-0.0295652910088023	-0.100672457766443	-0.0852452365817586	-0.0203198832699471	-0.188880004000971	-0.136987018922422	-0.291437829814029	-0.404557610655608	-0.17795608275502	0.0110996868769545	-0.0645512303953752	-0.139072340475089	-0.173817655089217	-0.254423175891919	-0.115700894212063	-0.171308539008911	-0.0743533363170916	-0.227801120128068	-0.216979474677406	-0.216532662677069	-0.0882727920840902	-0.171519262020892	-0.115318320136785	-0.0366943670186239	-0.190085102853663	-0.154240867259357	-0.114386955460792	-0.152631296242406	-0.0665930278865858	-0.151507564909402	-0.177385110257585	-0.166405122045073	-0.103881569466697	-0.166310251760539	-0.0894882880694337	-0.0858794298130293
"64682"	-0.725547720587111	-0.874773836854574	-0.930963269796576	-0.602975664749114	-0.95865392703548	-1.01356518989693	-0.878509871004397	-0.89572453151903	-0.867500903600773	-0.783979482539224	-0.877301989563895	-0.858020579339665	-0.772401893132409	-0.788513908059473	-0.804824136043773	-0.794877176265787	-0.845560066355478	-0.838336233002932	-0.892261504058238	-0.945917036675317	-0.830817999127154	-0.782020050970417	-0.989709609156442	-0.810271101387804	-0.747200205246148	-0.74472890054346	-0.751091076784011	-0.772018468186609	-0.876818744374384	-0.902701997833473	-0.938908483809101	-0.80614589195069	-0.62772474228999	-0.711401001224279	-0.9649464847924	-0.775409655532207	-0.742762081909232	-0.733431586807781	-0.868654662161953	-0.769279053632136	-0.805002173719874	-0.680638422616643	-0.944020931430302	-0.971246047141291	-0.618120685981487	-0.648810873810018	-0.910472608984244	-0.67900430574016	-0.828428873062068	-0.790917752095958	-0.756685357863241	-0.738211876680905	-0.870835088017795	-0.749343823720913	-0.833142552319158	-1.14228050257536	-0.906573096282564	-0.675104801879267	-0.64627846811281	-0.610349552062569	-0.922474041501917	-0.990526201159381	-0.686664214574973	-0.917504158491	-0.556117277050443	-0.782364094517062	-0.874189223362888	-0.795923133819628	-0.806257469425035	-0.785967042120541	-0.86964651522692	-0.76255455931262	-0.843113754280336	-0.773546311590328	-0.957450878855847	-0.832538800701418	-0.778195873167566	-1.01122372317267	-0.677497186406534	-0.854431819482156	-0.666253273092491	-0.739948214661973	-0.857047903067777	-0.928065450187842	-0.777384438830062
"22881"	-0.0375043140784852	-0.0463518947767127	-0.180399761585413	-0.0922768300417829	-0.0607282547956677	-0.0965967125525959	-0.0661385046997664	0.0146085737340508	0.0363300681533227	0.0273905856316014	-0.192981227837209	0.109658352143896	-0.0118077020012499	-0.115525549444539	-0.0353916077165152	-0.00475662716008791	-0.0535962513514006	-0.0111443502653578	-0.0813885341615947	-0.150172991518052	-0.00794712096572602	-0.0581737813736322	-0.0750100514322466	0.0264614615576365	0.0641658451041171	-0.0775551139903985	-0.028050986174537	0.0827050703829032	-0.00557740599376337	-0.0526418634934198	-0.0756604563025808	0.0114768853516951	-0.0464745547010569	-0.0788521882256096	-0.074251752996535	0.0373909113318412	0.0255981588809194	-0.0252019688145824	0.0270872916221807	-0.0112825330669774	0.0253410067932286	-0.0236161923938791	0.0064448195996023	0.0883053371098902	0.007127157877819	0.0291988968656827	0.0532248399805691	-0.0350238411946787	0.0406402738059834	-1.76673910389578E-4	0.00472124789361348	0.0754988861745276	0.0143270205302804	-0.0134835370167023	0.0493974683421763	-0.103642522204421	0.0676174376644322	0.0703468871247175	0.0961262756263298	0.0369879434065805	0.182646676313582	0.00519838938787882	0.00670738819186598	-0.049588342806492	0.0390901425547394	-0.0825497489029285	-0.132825928865965	-0.0825700677158589	0.0227987912405135	0.130548991690583	0.0459407463855182	-0.0486378404122933	0.00281371768029832	0.10039244299978	-0.111526380888955	-0.0458636468506054	0.0630431209419123	-0.00988062387392499	-0.0250875904778209	0.011371599824293	-0.0681246426367781	0.0516489457760811	0.118056466177802	-0.0406475707507829	-3.81769116519696E-4
"84699"	-0.0187375498794223	-0.152729815379017	-0.219894307902005	0.0054044716835823	-0.0754409689635794	-0.137133379035542	-0.0586799870579609	-0.105602576469575	-0.0888201157240613	-0.0379343498340357	-0.0667740498430518	-0.11335599119214	-0.0695178017911106	0.0567536843443142	-0.0977677290092053	-0.152971117734235	-0.114855972088272	-0.385926308698019	-0.176732513230389	-0.103388259306877	0.0389449144640568	-0.0504758899210944	-0.117688625322986	-0.138747635752575	-0.183068722504441	-0.0315984660583972	0.00546478992653737	-0.0631633966454262	-0.169653501762295	-0.0174931180031161	-0.0970048114323594	-0.106566763693277	-0.110257071626432	-0.111018828051887	-0.127759316246262	-0.0526111683768471	-0.0252463514437796	-0.15504735171423	-0.129917052609777	0.0136504797847178	-0.143417202014418	-0.00911182670256085	-0.0366976518354981	0.0324696163500493	-0.110667966579646	-0.184284572676684	0.00532168015748609	-0.229296502196787	-0.144449024614671	-0.30999333366575	-0.225648711719126	-0.109850814912517	0.129090088421023	-0.0206192685480011	-0.00189492470132464	-0.219107002338526	-0.159411126511927	-0.0537471689241716	-0.0651644110323218	-0.0400914852070613	-0.0899361055493285	0.0120156304946598	-0.152075113693035	-0.267820747492326	-0.0361193718923055	0.0193501406623695	-0.324925514890017	-0.0729524866062396	-0.179860533963711	-0.06998113327863	-0.205313884205854	-0.185256302785253	-0.251578562237964	-0.132282226607929	-0.0613791619881178	-0.051030606517826	-0.0364412538889946	0.0589935609267486	-0.0820615196423054	-0.115730618702657	-0.060630324755506	-0.0364331633747885	-0.0521215442649777	0.0619502026116082	-0.149814804322361
"128822"	0.201719609020328	0.0793049238267352	0.171266478846783	0.0899750059052887	0.0685779250511134	0.177181199846717	0.143412121686869	0.103784806331903	-0.0862528175875933	0.12025051142284	0.164412409979017	0.0662506503265222	0.0424770133009976	0.0690636522551932	0.0916189494621709	0.0467475240285017	-0.136675644946754	0.116869673121511	0.193559260622102	0.142538106489122	2.67091653384488E-6	-0.00987806976675111	0.112740324626386	0.152582481487997	0.0897661254693623	0.17607639374838	-0.044759171739581	0.0942779223344236	0.108824989116494	0.237444947170313	0.175790562076166	0.154674010302515	0.00143285952499752	0.160220818418352	0.0918479400217198	0.0651222729660837	0.0978061409948368	0.167949437987992	0.153657183534945	0.0791351032002815	0.170789651938921	0.110808639115281	0.0914104115445017	0.194052817858718	-0.0838371586411608	0.161178436270788	0.154807089637713	0.162160275272221	0.0566052653198432	0.0619914457872031	0.0972788689828553	0.0807162641467035	-0.0651694800472353	-0.0560565988565588	0.072215779902077	0.138766132555628	0.0756919055693573	0.175435329971828	0.129757443216601	0.11090800983137	0.0875830121540645	0.0658025904515533	0.070815669995293	0.172548691084483	0.0513294360633942	0.118145390196382	0.0642189244680748	0.0327844224253174	0.016765325387951	0.0417214090468405	-0.0295623392656273	0.0603242105652637	0.0930079375917462	0.0585146378704783	0.117977258730326	0.0571848828158468	-0.0559275717670932	0.10973005624252	-0.0111244738454434	0.133422913208643	0.0559279489424787	0.0826421282702189	0.0990895449045211	0.0557528045699563	0.0438403806873107
"8029"	-0.142636052772183	-0.146843472118227	-0.222010618445141	-0.0880369184397238	-0.18344910626956	-0.0214335018394767	-0.24773029816166	-0.227401961665684	-0.20958894766697	-0.172158792442477	-0.202225879156141	-0.275289466329085	-0.275106100498036	-0.105736893398801	-0.195157933140456	-0.0795697773063865	-0.128335445582889	-0.122430570911826	-0.172471333811351	-0.198987577404456	-0.14057403243011	-0.078683105307306	-0.157433619284701	-0.0991585837885072	-0.0587502218112263	-0.192926788654269	-0.158874712497681	-0.0780775270435993	-0.0800304835190676	-0.129346575181406	-0.184868408730075	-0.0599811405225978	-0.108344638535185	-0.0359266454469088	-0.135889090934259	-0.153242634652967	-0.112310847694664	-0.141096066490058	-0.135008164625528	-0.100444784964863	-0.0693779729860533	-0.0811509980922198	-0.192579479034853	-0.16945758290621	-0.0688299304475592	-0.159027918148843	-0.189291910604122	-0.0868237401405349	-0.160920310346483	-0.257979337090055	-0.166761482552067	-0.263570361244582	-0.137383843141153	-0.0647522321315434	-0.0874105993611555	-0.243013724904419	-0.256914496493055	-0.168024828660099	-0.045662294973414	-0.130981112472381	0.0382283777655617	-0.0989861061946833	-0.151810169955959	-0.0525046628495342	-0.231928010778414	-0.0309677582230713	-0.241468437405129	-0.114914816355156	-0.191300153285364	-0.0522816015377586	-0.187850669514454	-0.24569773113607	-0.0496929692338857	-0.193091267932548	-0.160995495920686	-0.213120161653744	-0.140435590806761	-0.0699620150322888	-0.124827753467113	-0.176026047047026	-0.0345349978066011	-0.186797289174875	-0.214185373410617	0.0275507160357096	-0.0639246262737169
"84277"	-0.171705155069499	-0.280360044604357	-0.235793404153887	-0.328235885323213	-0.0540739525520368	-0.287568773463201	-0.15339597427404	-0.248883765874387	-0.224614085326577	-0.113813716804945	-0.136900647863707	-0.227702977174078	-0.20578208607264	-0.134738534483751	-0.0855298890318713	-0.131716911376609	-0.0352659781064633	-0.081123880484196	-0.439497949114051	-0.295682549125364	-0.205213852606517	-0.244290921963412	-0.255011430849773	-0.218446587688894	-0.2274038252148	-0.203865456510352	-0.169972627991	-0.142022073800994	-0.159844244810928	-0.150389440261448	-0.215436355243511	-0.205351466287771	-0.119775125668489	-0.127518580136929	-0.16067454518059	-0.324523465845814	-0.0754631686774375	-0.184622765538772	-0.145118829446703	-0.225735793294391	-0.114186681414332	-0.183598534048303	-0.119956865950565	-0.261331464315099	-0.199037362186652	0.0809701872749055	-0.145910940985277	-0.0842884899998146	-0.363078198875711	-0.0806078161147811	-0.00751714076131225	-0.136386360479128	-0.195432682001278	-0.176686316554775	-0.172618788512674	-0.406750716831626	-0.214764344022314	-0.267199829992352	-0.0986690852089225	-0.155249431054197	-0.421345757038686	-0.240366623328198	-0.243092831751412	-0.275285385833889	-0.00406938186821999	-0.181992019745412	-0.216750641288871	-0.271287950146663	-0.214827140561461	-0.236886075419058	-0.137783623010959	-0.164790739105236	-0.149118949378269	-0.188709698703594	-0.286424229168445	-0.232072013082058	-0.168798017959959	-0.221094583736106	-0.0782744605633202	-0.200524700156785	-0.0919851207927891	-0.242791338830111	-0.0935860829577614	-0.254601018912129	-0.131296383830375
"10517"	-0.024151167861405	8.92377297922403E-4	0.0984899859402823	-0.07521820779227	0.0766567966897102	0.200409000770208	0.0822074982355831	-0.011347856478197	0.0463506599294703	0.160460874055268	-0.068991547017245	0.0739371044339003	0.0264736403654278	-0.152078510272354	0.0463319086425981	0.0281329466629032	-0.00152863804438227	0.0808221691764963	0.130253538916358	0.153528302530568	0.278549122852009	0.0031018860152736	0.124448296091246	0.0848627533826517	0.0580204423671807	0.113360795611364	0.0702415860911828	-0.0428968187652007	0.0402943189856759	0.0555905156754621	0.00111461200937902	0.145619161365091	0.0288222368858998	0.134717508082563	-0.0858928377406769	0.110363418508114	0.0809653898192128	0.185871997407076	0.103750225020925	0.12322164488038	0.0941137015812887	0.0331965192414974	0.0305383442918739	0.186401321797618	0.15129151494027	0.00601576560921474	0.0625626034387921	0.0426590731277537	0.130391403772135	0.0780215926187434	0.0395820594280967	0.00708052762939644	-0.00717981447443994	0.0868958941452377	0.0240602379254691	0.2052215308746	0.156118636149543	0.0359141795087287	-0.0194948301291812	-0.0623105678732533	0.180909471174151	0.21441250734662	0.0815982813209607	0.242375591573669	0.168882685882282	0.122695004402205	0.0708186959381231	0.0738665466495892	0.129268155649573	0.176044026635986	0.0835267822793656	0.107833298638122	0.020384089462977	0.132914530764834	0.121151582641492	0.147071708818448	0.131784429783752	0.0385407069736591	0.206839344048662	0.177477838147826	0.090537381948357	0.127194902236334	-0.0158323640185996	0.00294096381686527	0.161952785123389
"2483"	-0.28446702264837	-0.145176604968083	-0.487462542655655	-0.237298731831768	-0.443070272585931	-0.314491901039033	-0.272725523689814	-0.422054684015885	-0.332457765833429	-0.216598006399513	-0.391030282176943	-0.405037829503494	-0.383354313525933	-0.511652358774237	-0.475434991081069	-0.202331387138869	-0.555599605896336	-0.505603665724692	-0.285834921952241	-0.383446328505972	-0.280597054525945	-0.286138656249502	-0.428528163089809	-0.336166900155408	-0.312734395660178	-0.390026532532906	-0.269774507700655	-0.456026065672713	-0.369673164546982	-0.578087106141767	-0.211030244607662	-0.420612147121406	-0.327719671687198	-0.267201337560154	-0.361552991732483	-0.188024981069376	-0.139485858008608	-0.411633552853766	-0.297289671270141	-0.357642204278839	-0.204137833592643	-0.29221384239839	-0.205465034407934	-0.353307811530283	-0.151374487112461	-0.32129751580791	-0.270210251005764	-0.250662626505975	-0.172544061955652	-0.320880042145932	-0.184927701979208	-0.353075682077102	-0.384272511646558	-0.239841744974169	-0.227667167297368	-0.538980440178952	-0.353951050683155	-0.345019373804389	-0.354507761433835	-0.244921764765721	-0.448770496322681	-0.439295803822423	-0.21343693059188	-0.512847529287258	-0.0876229212226234	-0.227039935689483	-0.273903146167769	-0.335311417988281	-0.349007872749855	-0.456439762583652	-0.404479335714103	-0.327429975013182	-0.380494045038632	-0.196599185728142	-0.266535822716098	-0.566911003303337	-0.357230174591825	-0.314462159234651	0.0387010823988973	-0.416364411109812	-0.350535914437067	-0.290656118896416	-0.468523501018215	-0.353576084425414	-0.313647045453938
"113510"	0.0585093862118765	-0.0129944550890866	-0.13390239996118	0.0616616994633941	-0.0330292985105125	-0.137476620645068	-0.0735247468153533	-0.018285317785626	-0.0832649344877787	-0.105233667111001	0.176229337672921	-0.166196903492745	-0.00593834559977582	0.0297397657532638	-0.0287730841940119	0.098367237486219	-0.0706376409014474	0.0195323224337838	-0.146155394854655	-0.12157836205693	0.0417069150112659	-0.0427596955228668	-0.0791857839942221	-0.0770035844825971	-0.132906460898133	-0.0378501524986388	0.0123614112003808	-0.0568423951884213	-0.00733659685400858	-0.124821023183077	-0.0820398947289007	-0.0625220687983335	-0.0600038069960576	-0.0860402776295959	-0.075434121992228	-0.0121583051018723	-0.00359173719535088	-0.0498526964475636	-0.0813425392709455	-0.10609506873122	-0.100275881932945	-0.158842637771827	-0.0331074027582747	-6.72385038454924E-4	0.0521068593056811	0.146130500987505	0.0200004633634857	-0.141028838393047	-0.0396365516470337	0.00323953455375259	-0.0750082063147765	0.00626410289294651	-0.129762738102611	0.00477452870342253	0.0100348459237711	-0.0979597540315581	-0.0737036297488869	-0.0783240730719344	-0.0497460421175632	-0.073378208310772	-0.112308970862873	-0.0818120991972817	0.0938021100773931	-0.251922132241405	-0.0121103512622502	-0.0109673694891514	-0.154291516260257	-0.118027438695082	-0.132346660910162	-0.0540717133178374	-0.114890524433348	-0.12954461874666	-0.0902864457959223	-0.149557424549331	-0.133187603292369	-0.0418745809560859	-0.0395235778423081	-0.00883422805169764	0.0564970224047596	0.0430261341917989	-0.00340931406472473	-0.00180367874873857	-0.0456600762831498	-0.0788042400566515	-0.0778447849710432
