	"ACH.000018"	"ACH.000030"	"ACH.000040"	"ACH.000042"	"ACH.000054"	"ACH.000082"	"ACH.000087"	"ACH.000097"	"ACH.000098"	"ACH.000118"	"ACH.000138"	"ACH.000142"	"ACH.000148"	"ACH.000178"	"ACH.000183"	"ACH.000188"	"ACH.000208"	"ACH.000215"	"ACH.000221"	"ACH.000222"	"ACH.000226"	"ACH.000235"	"ACH.000238"	"ACH.000250"	"ACH.000262"	"ACH.000264"	"ACH.000266"	"ACH.000281"	"ACH.000307"	"ACH.000320"	"ACH.000332"	"ACH.000365"	"ACH.000374"	"ACH.000387"	"ACH.000403"	"ACH.000408"	"ACH.000415"	"ACH.000454"	"ACH.000458"	"ACH.000461"	"ACH.000469"	"ACH.000471"	"ACH.000487"	"ACH.000490"	"ACH.000502"	"ACH.000511"	"ACH.000517"	"ACH.000518"	"ACH.000544"	"ACH.000545"	"ACH.000548"	"ACH.000549"	"ACH.000570"	"ACH.000585"	"ACH.000588"	"ACH.000601"	"ACH.000606"	"ACH.000614"	"ACH.000619"	"ACH.000633"	"ACH.000649"	"ACH.000651"	"ACH.000652"	"ACH.000661"	"ACH.000676"	"ACH.000696"	"ACH.000701"	"ACH.000721"	"ACH.000748"	"ACH.000753"	"ACH.000762"	"ACH.000766"	"ACH.000771"	"ACH.000773"	"ACH.000776"	"ACH.000777"	"ACH.000787"	"ACH.000791"	"ACH.000794"	"ACH.000796"	"ACH.000800"	"ACH.000802"	"ACH.000809"	"ACH.000831"	"ACH.000834"	"ACH.000837"	"ACH.000847"	"ACH.000873"	"ACH.000876"	"ACH.000889"	"ACH.000906"	"ACH.000913"	"ACH.000915"	"ACH.000937"	"ACH.000938"	"ACH.000943"	"ACH.000946"	"ACH.000950"	"ACH.000960"	"ACH.000969"	"ACH.000973"	"ACH.001001"	"ACH.001048"	"ACH.001061"	"ACH.001328"	"ACH.001346"	"ACH.001408"	"ACH.001654"	"ACH.001736"
"339263"	-0.0495022406644385	0.0962829704616966	-0.182698745269324	-0.12737192026633	-0.14871354746226	-0.121519037488901	-9.36588355599681E-4	0.00926018199213975	-0.15795428019274	-0.0717399145785374	-0.170219736765442	-0.00608480525042576	-0.0162804904699185	-0.0980052541074524	-0.114884731657636	0.0263526120810613	-0.270034228273802	-0.0186584965443807	0.0158242977275872	-0.0295234066687627	-0.17715660213805	-0.145003272053902	-0.0392950391757923	-0.138439050302255	-0.0552399766623196	-0.00613751532052504	-0.117542783406851	0.0212013507186656	-0.0112254766499174	-0.261203254254232	-0.141593426378367	-0.0152319500004244	-0.101599805044254	-0.0181404776369985	-0.0890219146382723	0.0546226332727165	-0.11235358500677	-0.0514768367093004	-0.115698909773273	-0.0172898519247076	-0.0900861820664478	-0.111033964208278	0.0198170044867655	-0.118000928893262	-0.0878604118434223	0.105726767565759	-0.101866124487143	0.0305706915633823	-0.0703942126240637	-0.104209769942253	-0.105814718663729	-0.0455709049407627	-0.176384413525695	-0.2016064569039	-0.0359723568416552	-0.128729778867313	-0.0379199633020349	0.20050170784656	1.57928462971445E-4	-0.119897715001874	-0.0376207796628819	-0.0987451792556312	-0.033181394853308	0.0169101462915159	-0.0106605649206048	-0.0784815681025834	-0.154599650548837	-0.059655790805264	0.0249696105630322	-0.0637453800043642	-0.164084182521769	-0.122959926575835	-0.0900258524291597	0.0267692803403903	-0.0271385339714356	-0.0934229986351786	-0.0257678584342771	-0.237741669923061	0.0690887710207408	-0.0702280221133976	-0.171034522207746	0.0455569339900566	-0.00131565797542404	-0.028102702793011	-0.0623774089219892	-0.179024968015543	-0.00153519800586761	0.152512935127708	-0.118849607428833	-0.0317727814291046	-0.0296084520275097	-0.187730799314985	-0.17289864643798	0.00572087170676867	-0.0803211928814926	-0.0178117522964244	-0.0392552098954661	0.0680369016618193	-0.0797065804143536	-0.10120901622265	-0.102429905942847	-0.0957545733892474	-0.0379599131280075	-0.0468596575066103	-0.0374802229921928	-0.0632541986021138	-0.0814480707368754	0.00398444223131734	-0.0222984588942312
"23601"	0.179700438683655	0.135336800762377	0.0719493068680383	0.156329000274158	0.148190502499252	0.164415376661602	0.379569718615934	0.12259776865512	0.223261814786217	0.149629804095036	0.166451923346619	0.189362927382075	0.0996393054321161	0.0332030603489874	0.136033554519107	0.189020607473102	-0.12385162631581	0.152280728039126	0.105424157209841	0.0163052912629391	0.12612188144944	0.166810580496504	0.163348200533802	0.0752822751283603	0.178278023696149	0.122126537637551	0.191895479154118	0.162767932088955	0.138591517663941	0.170171752017013	0.172583631994927	0.154570076487693	0.0206321482840907	0.194224740650042	0.082013052693565	0.282461582089859	0.144824945553919	0.117372544903437	0.333801379684177	0.282456690051314	0.210694311981699	0.131714156829706	0.0769887106481861	0.0619886544361419	0.183558552003641	0.141201612006156	0.132492950945913	0.18758211006819	0.197211089458911	0.169556036094606	0.231031575935645	0.193367823246777	0.252013255551741	0.172701144402284	0.254118707348093	0.140803981224137	0.148516424168257	0.0961691185864251	0.146509617800718	0.0455852151301813	0.143218309513912	0.245927950267988	0.134044672889844	0.14481989609886	0.0797222737192401	0.0844823375319655	0.0771495826881239	0.222392314509358	0.270222153890391	0.104777699540573	0.0808802888462638	0.298566355835085	0.193282607161886	0.0629089274044384	0.231447280058734	0.204050474458285	0.202478547515167	0.232010663032492	0.26076581463903	0.155927083036524	0.211517843110155	0.106963212415177	0.0701610234115313	0.209192399108044	0.157874176070343	0.259414986917827	-0.0201021470171991	0.2291888284542	0.146882811463265	0.00878980671466269	0.103277041011194	0.169915498210309	0.162435944693695	0.0941375665992067	0.144875538146698	0.0549297084605336	0.197765899883418	0.0636174719204512	0.162189166654879	0.161390813588053	0.199108551673528	0.188243438826079	0.29105824622334	0.149671954767668	0.157770958658643	0.213250924777532	0.0618046231440116	0.157089853867106	0.13560473893729
"64506"	-5.71298640867292E-4	-0.126417320096219	-0.1794691809715	-0.165020904641463	-0.157196975845027	-0.177081774299418	-0.136380624176506	-0.137392199302369	-0.236366267312122	-0.0880137371870192	-0.0614046869946894	-0.0122391720422895	-0.111321028647117	-0.150797638134985	-0.137754323854056	-0.0972181713481256	-0.334322518375854	-0.0830835303431054	-0.191599371142821	-0.138400573264479	-0.0554534449301836	-0.114137639180875	-0.229234749075565	-0.22141124734705	-0.135182214016102	-0.103198473076167	-0.160059676802968	-0.399015694754234	-0.199949649795581	-0.0951680984171174	-0.11316260490761	-0.138153197570517	-0.0115209612132795	-0.303912130269091	-0.116069436213315	-0.152977354896651	0.0525565022402769	-0.309706859538918	-0.331931609893324	-0.0958379095689841	-0.14833615722625	-0.118482860929384	-0.132974344859	-0.105172168864132	-0.137222700299612	-0.120342040727192	-0.271693865806738	-0.0440193740032324	0.00360351124912207	-0.0513427669329754	-0.0157258990675649	-0.162312385855991	-0.134755168402948	-0.129757978762685	-0.207183071078377	-0.123531378621404	-0.0175570287239712	-0.0886383836547252	-0.112808176353403	-0.0323785403655723	-0.168930973203371	-0.0805536890823818	-0.0511603346634908	-0.204630156801031	-0.135095287645838	-0.179369704858057	-0.117550124589781	-0.131300917190595	-0.0944481155602861	-0.214910330411327	-0.12420689658656	-0.0255586264825171	-0.0907341691108069	-0.271067519540809	-0.090918643855052	-0.170900139317497	-0.122140321089421	-0.0919927014077794	-0.158216720756411	-0.0986055088831066	-0.148612119003261	-0.0539865149681752	-0.0743851523624774	-0.1493113062146	-0.260952862773487	-0.11330642892075	-0.0586150465113853	-0.25376187084121	-0.162467758870988	-0.082291788944592	-0.119425215759176	-0.166175377660959	-0.153817874080958	-0.123428655611421	-0.095311897368463	-0.148097660488096	-0.190033507001952	-0.158983582472299	-0.111731761111458	-0.124095557735674	-0.121269597820491	-0.205587773950873	-0.129864779666296	-0.171669335791689	-0.149280358337816	-0.0947706590309907	-0.0751598656465537	-0.166942471485594	-0.0152952380127128
"64858"	-0.32482352260329	-1.24574483001561	-0.849374211127779	-0.407724859475331	-0.812116735799852	-0.946688934799392	-0.609846121196096	-0.673382865243518	-0.754761730221681	-0.764855193780701	-0.939587003693986	-0.546094584398502	-0.90953668582705	-0.680494573594093	-0.236998571007409	-1.04556388445831	-0.763860864187097	-0.71338927024023	-0.95833282242175	-0.593855775082306	-0.77600921126624	-0.629868197323935	-0.61437881586437	-0.711366061393056	-0.704992591709855	-0.772547548881029	-1.09139898476825	-0.862170164069492	-0.564331162648687	-0.579646406432855	-0.560582665103901	-0.805047468877628	-0.44627457955968	-0.334847777065476	-0.786331892827907	-0.453914015639523	-0.444590864636846	-0.597905079120373	-0.525889737271619	-0.756593490688878	-0.853465074774183	-0.718993742631048	-0.751930318223467	-0.459310380808279	-1.10920722235267	-0.717794586453114	-0.524871761193007	-0.481786104980051	-0.413212155666088	-0.639649647232967	-0.729640990054695	-0.976242159734536	-0.802282584335872	-0.640122862940879	-0.835134423383094	-0.820531741213857	-0.528534128231952	-0.712349317757758	-0.721649511586699	-0.526869173263188	-0.585776722965529	-0.24426817547414	-0.714016872820609	-0.911190624562464	-0.845825306896456	-0.745791492764923	-0.758841045175965	-0.527831912697162	-0.853173138267907	-0.584595219772043	-0.826771287926944	-0.679929207641789	-0.486373055389618	-0.651036779286428	-0.559147753670316	-0.554364688416221	-0.666394887373969	-0.509193345328304	-0.9869675727806	-0.620926394482944	-0.575437262417322	-0.424657189830268	-0.534767264395858	-0.492923505991582	-0.825720359252639	-0.783005455363582	-0.392653457929521	-0.644053215503579	-0.620125660834574	-0.263036169923668	-0.541486261485158	-1.43032254038475	-0.63219328313184	-0.349502201495201	-0.96215993970755	-0.607327740484599	-0.785712039262495	-0.985809229439661	-0.713692931333968	-0.320905862190329	-0.627265998430598	-0.685532470372381	-0.622622795326787	-0.403348673563525	-0.977183162499945	-0.656150449758324	-0.593255104365789	-0.651036605979364	-0.640629410116364
"8669"	-0.362863110446207	-0.436934534334172	-0.397682267042927	-0.281037928885775	-0.47470848362449	-0.371326304120183	-0.539626005254885	-0.403280209883168	-0.318365699101589	-0.508045708346609	-0.320114607517023	-0.292510602309683	-0.546305032902398	-0.66783469953235	-0.327534784552995	-0.329373016985299	-0.45470399597602	-0.351778108606298	-0.214075730034079	-0.449577396447591	-0.39364169149352	-0.36568100652686	-0.402009557087206	-0.437045839692626	-0.360132631824092	-0.387328340666563	-0.423351863284921	-0.515527990061084	-0.345027612045964	-0.324673886292633	-0.54500684099904	-0.266057340113105	-0.244842386064657	-0.408118858328115	-0.32624497471125	-0.443516634967023	-0.233198552104623	-0.492734927010891	-0.38873913665422	-0.544456215267958	-0.37160598553716	-0.296828817590492	-0.370967052701226	-0.385923997870074	-0.414717024618357	-0.487885203220307	-0.341236627734242	-0.259731157490251	-0.294588671496797	-0.293187214931038	-0.25656561643731	-0.318931316690733	-0.538244977040341	-0.504537550007732	-0.328910479103666	-0.460118497124525	-0.431856139143351	-0.502510124013094	-0.477953091135164	-0.0948625755881695	-0.405018973381697	-0.228279223196423	-0.221121543486136	-0.281368311208712	-0.510596769152999	-0.460909371051782	-0.493744431505403	-0.268209093549637	-0.524622541409966	-0.336369644347712	-0.547558694553371	-0.583450506254472	-0.261147528195773	-0.422342820875968	-0.432398867545098	-0.559219297281465	-0.32566554820889	-0.640309824200325	-0.437639447358319	-0.358406489333299	-0.310900021814806	-0.368476243554668	-0.303536175582122	-0.33127285900604	-0.251109297227721	-0.272030305284172	-0.279871439781688	-0.325116824238399	-0.240569912719778	-0.105333187248225	-0.461767931929679	-0.14909266827786	-0.53096902678157	-0.304760389974009	-0.441742134153043	-0.486399188203026	-0.479226365358565	-0.679822753692778	-0.438445386201801	-0.412687096568536	-0.391588665883372	-0.368856324893177	-0.449805115431638	-0.259197028661336	-0.307009631791381	-0.307323415858914	-0.395378306415923	-0.516661487973497	-0.223910457851418
"10640"	-0.406656791717927	-0.480743400624288	-0.511183741238049	-0.420728073669947	-0.52530610071556	-0.536244560571826	-0.616603040922744	-0.4930362225816	-0.592193208700539	-0.54972333095821	-0.330999418364509	-0.472165436405903	-0.586669488046468	-0.43683003669987	-0.408929089732345	-0.241998024628985	-0.463072937882929	-0.334143807973375	-0.157242485995286	-0.389266672621443	-0.380514839481634	-0.398171076357464	-0.383535512490025	-0.506996754874578	-0.610361656041643	-0.500406457352264	-0.493695993709952	-0.548286138485543	-0.458884403001273	-0.423095307001906	-0.556694834255516	-0.253959470238338	-0.430926349299516	-0.490181837460116	-0.591851227865731	-0.33205547696045	-0.251650350930823	-0.519859801401848	-0.369455437537263	-0.325993981272237	-0.378296252166314	-0.659857984719684	-0.449949654717962	-0.395395049467595	-0.353952419853083	-0.546677874363788	-0.43130210877525	-0.400198121439096	-0.478646221317983	-0.534280940999393	-0.464301323609367	-0.359875738998245	-0.506877441127532	-0.371635471157576	-0.535280277813313	-0.335414068545638	-0.236434400476081	-0.729919558096392	-0.349264929834068	-0.375187408359545	-0.576360992152776	-0.348338427589744	-0.508036448428629	-0.52794764486661	-0.392876659850362	-0.495295335572749	-0.318822979805532	-0.482319372584648	-0.318028293866267	-0.471921367085464	-0.455139381117071	-0.687805734093274	-0.48761500646865	-0.435690810296218	-0.418843505948829	-0.302093259852437	-0.433577437872242	-0.631035510182597	-0.49635324909048	-0.612082853504366	-0.287785494747546	-0.306218845294403	-0.382016311893379	-0.44654908484696	-0.250324760740658	-0.360507724844437	-0.358096710449622	-0.389513094686896	-0.297290319159096	-0.234525084454028	-0.242208242525247	-0.389190508113157	-0.542168138570888	-0.214723818545762	-0.587783687244119	-0.517094186461285	-0.455910704708817	-0.368525862953192	-0.312192558632483	-0.566284797994674	-0.359903603679598	-0.41426153447772	-0.636958217243505	-0.66933786828458	-0.405242998988993	-0.364261369849463	-0.34756992724408	-0.384070114927268	-0.459765464126126
"2318"	-0.0972276504262825	5.61953547818264E-4	-0.0714105147766825	-0.0163616818262035	0.0361649983639128	-0.0234431927040047	0.0810806311500348	0.0777969415652856	0.0128566590359716	0.0637172546358288	0.116002621512549	0.055790872494273	-0.0188299245242449	0.0557999071628717	0.12242758879182	-0.0775941918642031	0.0683245794359319	-0.024086741513041	0.0701221787026544	0.0887441112447624	0.00873656730316302	0.0109645331194017	0.0348950385121838	-0.151194737882368	-0.103069409875615	-0.0200935077346894	0.00959600402377158	-0.0584403207039125	-8.99422873130639E-4	-0.0120028578247043	0.0771025144335258	-0.0728776203000569	-0.0229203997697824	-0.0461120475638908	0.00442390897337144	-0.0966407558436699	-0.0362084889239386	0.0965518177893364	0.157038279576387	-0.0131709616309372	-0.136724046673763	-0.0573582366193079	-0.0771393510573829	0.0357752908128311	0.0838154813033478	0.0419962504198617	0.0466586707592576	0.0538678812597386	0.0674636294378879	-0.0144519512429922	0.0266448837379326	-0.0515117586799861	-0.0314142609296465	0.0213718062295886	-0.140103337352055	-0.0189575667470784	0.0700788699474467	-0.184365322388797	-0.074613027083867	0.0747518146124666	0.0180458707592469	0.102361596503792	0.0394704594675825	0.0697560130151152	-0.209145647377726	-0.185919538597398	-0.0137605986829136	-0.0573635171963832	0.00957492413904304	-0.0471696283719976	0.0409145585824319	0.0493978736713824	-0.00131521623316085	0.0458677332027012	-0.0196862037755324	0.0998415934987963	-0.0357007562896592	0.0712055339030171	-0.0114661628843614	-0.0513838596556587	-0.0390848709070902	-0.0367664730948898	0.0376622514743289	0.00623879601546409	0.0234247674616946	-0.0380314000769833	0.0177954951172215	0.0848509418588729	0.152584404105616	0.0231624718883452	-0.074601637471064	-0.0598119835415941	-0.069857827461216	-0.0218936693396753	0.0674544556228503	-0.0840682366041527	0.0320339179526584	0.0492740456669751	0.0202222852226351	-0.0441860092662684	-0.0141830659677244	-0.102650596002813	-0.061813366146514	-0.052764996058684	-0.0198317136432028	-0.0357580898788764	-0.0831844383449773	0.0321597264843542	0.0394402053159931
"50486"	-0.0778585412906125	0.0897522753585653	0.0340915759740565	0.157606305884713	0.0947402919782024	-0.0372421406693529	0.0170081266729853	-0.0167376194112865	0.0224584768456181	-0.049773060675777	0.0728659505549457	0.0455215433295453	0.0528628238107831	-0.101424589465961	0.035523330260429	0.0764980853447088	-0.0448084538397781	-0.0474686786543486	-0.0863070966981863	-0.0324162644001068	-0.0202749653456849	0.0354415712511802	-0.143278529065605	0.0897200413267044	-0.0029042057646922	0.0458678408434565	0.0158450593533442	-0.142292044876523	0.0960761316270664	-0.0900657123406795	0.0125435431241637	-0.00233453213538382	-0.0097972376437115	0.0956134910973822	-0.0220884358688297	-0.108945269682182	0.00278074924725426	-0.0832649020943697	-0.0277559215428822	0.0474162916065801	0.0616972158448269	-0.0528324869405789	0.0353688013131475	-0.0670866532814889	0.0923482194444172	0.00874767502142543	0.0105067411432118	0.0612542386054881	-0.0120912397747891	-0.0872651024757376	-0.0548595239853306	-0.0971466333891281	0.0957371872918902	-0.0100943116952026	0.157653306555378	0.0133880759456733	0.011893629441525	0.10087715691184	0.0224261650715562	0.0312651958785812	0.0313948033700057	-0.0695540820240255	-0.147131966657318	0.0437403459278067	-0.0239338798774806	-0.00952235015756496	-0.150775013715002	-0.0115622524663629	0.0581067242197307	6.24935306314695E-4	-0.0759018619693166	0.0903543938936075	-0.041417924476525	-0.0772482360579934	-0.0252428712666825	-0.0538094705728727	-0.0691750858124372	-0.0849919348676952	0.0104151523929803	0.00945093067887742	-0.130863158660967	0.00479872245395292	-0.0107023480491471	0.0764846903555439	-0.0549775906609012	-0.0118068321115077	0.0134386364011787	0.0884373586379726	-0.0289810262173314	-0.0684136325753817	-0.0225150839587943	-0.0618099984224221	-0.0352200500386928	-0.00365521124811606	0.0273164758420631	1.50007947780483E-4	-0.0520076141445128	0.101829641829797	0.0303432846536237	-0.0154930351147563	0.0011193698719739	-0.0543618961972365	-0.0767585881571391	0.111197696539142	-0.0155350693824955	-0.0255974052687147	-0.120800910808564	0.105722355809268	0.110756751907561
"123688"	-0.111094803454846	-0.0912234636078066	0.0112233062776577	-0.154756439738439	-0.18762727530224	-0.150936601570489	-0.151119771633246	-0.210216101038744	-0.0629179178286814	-0.0601929022058236	0.0395877609805814	0.0306438895224643	-0.0971086417586419	-0.0156267092232531	-0.112888881237158	-0.042769200599978	-0.234318231889944	-0.0554183139625431	-0.0537164591050635	-0.0865666084074581	-0.00895327292892699	-0.14819062377552	-0.0168121977844563	-0.119569623460816	-0.0301859343410858	-0.0856934588549392	-0.152615274783361	-0.275157287815716	-0.222662219457552	-0.00881703547431933	-0.0943785235722991	-0.142389472636235	-0.00182679090712241	-0.147011083355338	-0.0717712489996371	0.0234253122129865	0.0221838534362255	-0.00796437612562072	-0.172885317778068	-0.0552027247842994	-0.0599945235709375	-0.0575334440354623	-0.0661806945730465	0.0036935898441463	-0.10663623857168	-0.0482759309496067	-0.104137839066205	-0.00503553224812756	0.056902596266751	-0.00607300367291243	-0.0229139958973141	-0.0767351018457433	-0.0677561025309971	0.0133023381209893	-0.0773065995563004	-0.130513546737166	0.00469796810103781	-0.091273561056283	-0.0587184913519869	-0.0654851245326065	-0.117935735056087	-0.0291509671628236	-0.0825965499381661	-0.1676191830189	-0.24961703703409	-0.0885801409164661	-0.228875835718594	-0.0587873344762699	-0.173271933667505	-0.145350944961922	-0.0892276300844645	-0.0847115686399497	-0.143778803903172	-0.0801716127727257	-0.0838624914679361	-0.0517023797613113	-0.0951279972415132	-0.169375623205609	-0.0483112013913611	-0.205062925126892	0.0104684892027011	-0.00237207042613636	-0.0776868307805822	0.027381023569195	-0.193370427147824	-0.0795667842317901	0.0101592990011299	-0.0399299774318518	-0.0268813471446371	-0.0103644857680393	-0.0981444239181711	-0.0818884516854607	-0.176088606509162	-0.119344573638522	-0.0693391853348337	-0.0746256471427963	-0.206516620452581	0.0743631446034474	-0.06873593972192	-0.0445466582615335	-0.141988364493549	-0.0619756932033807	-0.107124688649742	-0.146376411877268	-0.0642292560949031	-0.00786935503732773	-0.166302299054523	-0.128585481830856	-0.0308979150424217
"80333"	0.175865640742019	0.0226701502507974	0.00984224265527566	0.120392317145067	0.133132522605228	0.0735355278181775	0.112267659099871	0.0803844455591429	0.162384872315117	0.0359298499435796	0.15116228574848	0.111754218278489	-0.0463006453398933	0.0136589526208284	0.130268506675632	0.0510362531274167	0.0924373983412619	0.00935944414335367	0.0795253368372605	0.140186572365108	0.063604601509535	0.0931463141680401	0.0995734417463645	0.00725902979714487	0.176175578532634	0.120277314132284	0.0860741675521891	0.0473425462357228	0.0559709732460109	0.124850097432272	0.090036078680037	0.0850992357075473	0.112824781338934	-0.0240088878613049	0.0579877052881916	0.152243176075418	0.0319864045774562	0.0218114600728016	0.173033577239528	0.206408903979156	0.0544771666138742	0.0784762641329291	0.120299742263107	0.0625899712010562	0.0449998870139666	0.0787820185129127	0.0351289850647617	0.0197313391677294	0.119230640292931	0.122270363823197	0.0575946945240396	0.0773889947268821	0.0702100616210946	0.0734467706526483	0.104638770544093	0.0276794253420206	0.122642006207673	0.0491339869098318	0.00472896986061631	0.0805448093550328	0.103877015206953	0.0906196685595955	0.0487477298339244	-0.0348152723113386	0.0692944798061705	0.071319947324369	-0.0208879709474743	0.122323459853111	-0.0252167278464653	0.0693856928031225	0.157006060874909	0.123908459252708	0.182075320830388	0.0181145957343293	0.180869585422809	0.0484386472453304	-0.0191540627199924	0.139541904241387	-0.0331566118975658	0.0649442382563183	0.130252588549285	-0.0252107372067824	0.0482478586859263	-0.0328885627563547	0.0698522100310726	0.0819858561762173	0.0272924410715352	0.0197823531160422	0.0802299433557539	0.0393952445049264	-0.0280397945082968	0.095679914534613	0.093036271706832	0.103909493961788	0.00865923301293089	0.00192222490295803	-0.0779355552008965	-0.0154200689273209	0.0513282605767875	0.0155105854173386	0.0863668356502072	0.0729021176245048	0.0877839481505965	0.0930188625302581	0.0487916267077058	0.0995520506670444	0.103925013265698	0.0774312555633439	0.0606746971540292
