	"ACH.000004"	"ACH.000022"	"ACH.000204"	"ACH.000206"	"ACH.000235"	"ACH.000258"	"ACH.000376"	"ACH.000426"	"ACH.000464"	"ACH.000511"	"ACH.000548"	"ACH.000576"	"ACH.000601"	"ACH.000620"	"ACH.000653"	"ACH.000706"	"ACH.000714"	"ACH.000784"	"ACH.000827"	"ACH.000839"	"ACH.001450"
"23"	-0.634912324936165	-0.710702319662613	-0.742070295697345	-0.828564460854091	-0.794803845989811	-0.558236355578188	-0.656164800190199	-0.375090264466054	-0.779665846932745	-0.832994346036607	-0.709447674273676	-0.872136778139176	-0.659089577788729	-0.791881984449433	-0.841019774243128	-0.838965734667114	-0.71711102133106	-0.944355754882129	-0.934356739215086	-0.802612027155599	-0.815512086419113
"91947"	0.156118299531399	0.157446749799166	-0.00443956004637923	0.11321655246166	0.0807454842789972	-0.01108730960213	-0.0359087777069023	0.0914384951620846	-0.140558727030608	-0.0799321403090737	0.0461550342520179	0.101452748969065	-0.0625853265781083	0.0403473430209031	0.113906588860668	0.0755783746491991	0.0349969740782234	0.0823536258969396	-0.0220604489588832	-0.0353395645152199	0.0956156736399987
"526"	-1.71842684660625	-1.30171594006144	-1.32141587940974	-1.34501244867187	-1.33273513827564	-1.39933059498226	-1.18330789565841	-1.29979467141083	-1.38468958537863	-1.17640240326111	-1.531853842228	-1.34482856440903	-1.30009022370885	-1.40043994139806	-1.4666718126735	-1.52127554947011	-1.45253148457374	-1.37852781214298	-1.30586268962968	-1.1044741329352	-1.42702065719508
"284071"	-0.265807999565374	-0.291021487430579	-0.296227188031823	-0.272938067016092	-0.195181202124988	-0.0816634700271251	-0.255479994912817	-0.233115036338687	-0.35835110959196	-0.241034423378332	-0.291618588411883	-0.260196005781001	-0.289179644191018	-0.229769763913288	-0.172696389239632	-0.184477654770684	-0.255741549923639	-0.316876492881356	-0.221704975093809	-0.361555108329784	-0.144304993313731
"56245"	0.129965607808569	-0.00221073048056778	-0.0315384610648232	0.123448263040358	0.0607692069607526	0.054785562400141	0.0443452093619624	-0.101407814893598	0.165958961005931	0.147267132044243	0.0632998866142653	0.0683205160884179	0.141535830465835	0.14312305142218	0.0650532853037936	0.143690839342088	0.141218450441544	0.0424815782750933	0.118275831917497	0.0173647382385356	0.136739351254802
"83879"	0.201259770195805	0.0648068294837882	0.0927657999586868	0.0843442537861528	0.0995441217789999	-0.127425547335285	-0.0348441147931141	0.122081629534562	-0.0563813277768323	0.210229996125658	0.0553751480858907	0.143504446294547	0.0961603938517562	0.18036191186696	0.0886017611094638	0.10140552762389	0.114413901115443	0.182059192478589	0.0742142778211353	0.0504425175875545	0.127261700642298
"28513"	0.224708812321801	0.142935790758341	0.158575469966471	0.226161332729898	0.0938268413705358	0.134723053313086	0.0797965523258551	0.166568199761182	0.146674267595197	-0.00362176962877942	0.0932924015759134	0.127527157898612	0.0998200158990155	0.0561427744587198	-0.113133020033968	0.0752307310516001	0.16151268130826	0.0382187004696279	0.0520365731001033	0.00712343616214966	0.345680487481992
"629"	-0.296292585112443	-0.114006527285475	-0.261347691666045	-0.312946640354943	-0.205572392543326	-0.220865359035208	-0.257943009825737	-0.471939881570464	-0.183455989816934	-0.25714258872661	-0.250183987887457	-0.323088787376016	-0.186713308252443	-0.171200974295956	-0.212860931608741	-0.207584721339352	-0.316928051768281	-0.140321528255322	-0.271583490389726	-0.09655156714688	-0.416575475022585
"1138"	-0.266420687758452	-0.117162936180231	-0.0735575427348338	-0.198827469190452	-0.146001212837012	-0.166091213784484	-0.144326987197593	-0.168484153778984	-0.208009702671248	-0.0205290185879346	-0.0860163662529223	-0.316480262238372	-0.0679647481807719	-0.115573927212339	-0.103786957618117	-0.0184590299692037	-0.155719746183721	-0.0507783348686529	-0.143678405222863	-0.107023926796559	-0.207210805307151
"23563"	-0.181165781137287	-0.0538359926139548	-0.0377017671307295	-0.152608993976094	-0.106883221523699	0.0703478027910535	-0.160497552442481	0.0291099365058252	0.0573630934192358	-0.143528190275511	-0.212322104090055	-0.0617698469403401	-0.0997179683298666	-0.0772272281124262	-0.0153803589889646	0.0440776035703587	-0.0568960478085788	-0.0591151333538015	-0.118087698261529	-0.0187163668271393	-0.0476415623274692
"55571"	-0.321190355265899	0.108098399359575	-0.367892085634105	-0.31509484098558	-0.113656516789464	-0.0630777471332898	-0.215254562933666	-0.215796724594743	-0.271041695680755	-0.0248407250653702	-0.339010406891674	0.220411045187166	-0.26561327841905	0.142482821089926	-0.1716749427428	-0.102214288571753	0.138157275316437	0.105862018757768	-0.00222085729520982	-0.192440357893317	-0.377849374295395
"1830"	0.278707115002466	0.121388062195137	0.243767431806388	-0.124834846365397	0.150958725864724	0.0999407350864939	0.0254916722284585	0.206441549224266	0.120762599141841	0.094514028764115	0.0839104836145664	0.137168496714556	0.151372113329721	0.0910537471989526	0.0964834212144937	0.115016629231008	0.0905471932165098	0.0547551241515448	0.0631631187059549	0.0489239698698183	-0.0148895500554754
"1965"	-1.74018322481632	-1.32804607397331	-1.48543932858313	-1.31230946450156	-1.51205559015695	-1.30502398975828	-1.3464304703757	-1.34500096534342	-1.50222813677243	-1.49941215080722	-1.46821402875023	-1.36284386376605	-1.4533318193825	-1.59039418762322	-1.47415028252452	-1.51969623544335	-1.72276490981701	-1.30277249495675	-1.38909124623483	-1.17273950112576	-1.51536648622223
"23404"	-1.01531144159913	-0.991328049404178	-0.755324688868126	-0.712509004656432	-0.755108527098413	-0.732650937513649	-0.922910833829895	-1.01750001089196	-0.915998183551736	-1.03271451404553	-0.834235687047901	-1.03013631422182	-0.868695116775882	-0.764484713432692	-0.935409609235575	-0.859878913011761	-0.831361788616763	-0.820373461570454	-0.850232219461351	-1.03730995903996	-0.90407614228139
"2195"	0.105563350722283	0.0614396739598758	0.014291544044314	0.202283023901516	0.0466152478524093	0.0275652030545703	-0.0578848175285505	-0.0533048756002001	-0.035724964835494	-0.00268360241053003	-0.0500911440455059	-0.068530085811998	-0.0220401386097371	0.10012573079275	0.058701688646841	0.0567322039559552	0.0530401870456283	0.0958673002862029	-0.00387254582065063	0.0499324972910314	0.006410712679479
"10399"	-1.52570530014522	-1.52565539058093	-1.33913886939454	-1.63055805458395	-1.53283117420323	-1.71261631023546	-1.43052172301743	-1.65166266390209	-1.44720894540696	-1.53841982235503	-1.46296194735478	-1.56227628605272	-1.33247270251725	-1.54690836854156	-1.48634385569756	-1.40530971994169	-1.39709498418366	-1.49080666221836	-1.6096824641795	-1.54058005718035	-1.35711906892163
"9328"	-0.537422757899345	-0.572170488511631	-0.716510540589131	-0.461290669046941	-0.601077341595728	-0.644452043319703	-0.654004107232513	-0.447327061903717	-0.546815666757433	-0.573548383202667	-0.369429813033762	-0.470039823314176	-0.459786583724147	-0.63361500706272	-0.538733914626726	-0.64587080537391	-0.377866298031382	-0.566525345925243	-0.597478821668507	-0.591039610001816	-0.480665185861252
"3419"	-0.360521981492636	-0.345416701092221	-0.211946438997228	-0.292515544700935	-0.52020024476694	-0.243562969653445	-0.363093128529921	-0.220210429408583	-0.365517868065797	-0.446096993443075	-0.275951717955775	-0.406763550402843	-0.602129369202639	-0.381091101737393	-0.192741129865131	-0.373256019482873	-0.403566549143083	-0.281151406666493	-0.435070054719	-0.22090439424535	-0.596441990861841
"3655"	-0.190837611908935	-0.135491048565828	-0.136032432450634	-0.242992831432008	-0.0964288058829435	-0.119838389767622	-0.174751735108614	-0.249427433445718	-0.289465290500053	-0.063229037359053	-0.18315270353072	-0.255445418010659	-0.151537986103884	-0.0218805913632875	-0.195252106781455	-0.0208098690173695	-0.262651748113852	-0.0762154243602253	-0.199729101979566	-0.140826901568008	-0.267936319339474
"57565"	0.124322551731803	0.178712664297971	-0.0450510949170943	0.198739313726984	0.158469787161619	-0.0314524844936915	0.238577712356159	0.0951927238137701	0.154255586739298	0.165336647604534	0.137018235883127	0.202671465177678	0.239004733983684	0.156253298884622	0.107896664124738	0.101711312538544	0.224447998640605	0.139861356421666	0.167936258819888	0.164094363528138	0.138385026440444
"57689"	0.132277336130791	0.0344009636628901	0.00478377928415512	0.124086647716965	0.0882103936673739	0.0514871429355054	0.0970652617985418	-0.0525472203139432	0.147349130618924	0.112203944012257	0.108965557382961	0.180259035173294	0.133874347107037	0.0489673931167982	0.180110043726921	-0.0194572102990211	0.192612875597941	0.083937279231919	0.0913846998397865	0.0770072626935848	0.131748213204785
"80740"	-0.243051068626142	0.0624149048130912	-0.0741777503022452	-0.125627552647427	-0.00371103833811447	0.108500909901295	0.050339904024889	-0.199542690029848	0.0784113590016286	0.0379657452213144	-0.108896284891373	0.187568271033975	0.0365110483810997	-0.0195330813210248	0.0735345604382787	0.0168246216858596	-0.089227907391104	-0.0026835694915945	0.0298816220821612	-0.0682176291849491	0.254820878724157
"84549"	-1.27604139464065	-1.38020719115493	-1.17628311563698	-1.12640938352398	-1.30641155232314	-1.0344786708864	-1.19974798080102	-1.14121162379684	-1.3673373917385	-1.29989792543823	-1.31025452616695	-1.09938778070779	-1.21702475031628	-1.37434978552647	-1.2267406417778	-1.32547739577862	-1.29967922108155	-1.42602931096556	-1.24415766289575	-1.28813030566844	-1.37403908937846
"22879"	0.101803999590889	-0.0111165800833692	0.106584245847622	0.13968651250417	-0.0371362322802943	0.0309570770314604	-0.00937649120999648	0.0492844927747991	-0.137765391021523	0.0654161594933456	-0.122026508638678	0.126963935537418	0.0320475428352669	0.0276477561342208	-0.122973884950765	0.040519452210701	-0.0660828699170463	-0.0261731627093924	0.0354177705967437	-0.0650289860189653	0.21845382900886
"113115"	0.0849826915156992	0.129324245398445	0.00756058499146066	-0.017188486830259	-0.0169646629757013	0.00323554684062887	0.0605143602928711	0.0454965639584896	0.180833467743924	-0.0204203389315919	0.0362263750214424	0.106857290081565	-0.0222925836653541	-0.0740788708682796	0.0953011054390474	-0.00995031832199596	-0.147065107540331	0.0424112842197185	-0.0101614668155621	0.0285018630525211	0.0928404743111777
