	"ACH.000028"	"ACH.000035"	"ACH.000042"	"ACH.000087"	"ACH.000118"	"ACH.000120"	"ACH.000143"	"ACH.000183"	"ACH.000223"	"ACH.000252"	"ACH.000302"	"ACH.000307"	"ACH.000323"	"ACH.000363"	"ACH.000381"	"ACH.000420"	"ACH.000421"	"ACH.000436"	"ACH.000452"	"ACH.000466"	"ACH.000483"	"ACH.000488"	"ACH.000507"	"ACH.000571"	"ACH.000608"	"ACH.000681"	"ACH.000693"	"ACH.000697"	"ACH.000706"	"ACH.000711"	"ACH.000791"	"ACH.000798"	"ACH.000833"	"ACH.000878"	"ACH.000948"	"ACH.001038"	"ACH.001196"	"ACH.001377"	"ACH.001740"
"83451"	-0.599923884173513	-0.565537556373348	-0.535845915767851	-0.494866796340335	-0.42270292760401	-0.464222805734523	-0.425822954926396	-0.42541313120566	-0.547000470197454	-0.540626936169394	-0.493335956506938	-0.498440183436539	-0.53792233269006	-0.529798574528173	-0.512758297440089	-0.616065305567858	-0.615841945872538	-0.358809065193661	-0.702044252917575	-0.420821875391979	-0.429621807038871	-0.504540163228546	-0.382928173741573	-0.442988401107808	-0.619882535563659	-0.60348841689321	-0.52087585058527	-0.448591307872254	-0.598546088856792	-0.57794103728411	-0.438450300347673	-0.460658218958602	-0.546621651456042	-0.419668558854779	-0.518505042876634	-0.478753264905629	-0.579972978220913	-0.580843384243833	-0.606000390871499
"9031"	-0.368332618213081	-0.395167623494318	-0.327299460084514	-0.480463657681011	-0.309521055793063	-0.00667990975681703	0.0385824996567289	-0.324963459310913	-0.111916842055379	-0.330786287286586	-0.207618128556892	-0.24476005917206	-0.207642742151323	-0.223501485711376	-0.126803726428007	-0.213918886728424	-0.382373516660839	-0.209327732052255	-0.290736678292226	-0.373718292905921	-0.186136054762501	-0.286522272096324	-0.177176497282398	-0.250237579280578	-0.282155950866044	-0.183845747656947	-0.296565398334765	-0.288375163241755	-0.211398536206463	-0.201482387586335	-0.295422365767719	-0.4177667441743	-0.282368751506537	-0.329517464431967	-0.365391467295185	-0.180670292349921	-0.301440206174659	-0.1414519579376	-0.20564166110691
"2186"	-0.374148473853335	-0.581908466379196	-0.232913441475289	-0.474774335619031	-0.344739635331676	-0.35742689973823	-0.465640516378321	-0.432575226663174	-0.042142341211617	-0.520877817965028	-0.241038997475311	-0.381141072699683	-0.367337744769251	-0.447342227054746	-0.245508966618229	-0.371633931661874	-0.39704457986966	-0.328452616657794	-0.440871893333126	-0.383414498445542	-0.117100137338039	-0.342379135990539	-0.167450653503775	-0.267437786203775	-0.423297338366268	-0.290630271669222	-0.229496981689385	-0.513444047771363	-0.458817177404188	-0.220550488684206	-0.176761855621136	-0.262815005008303	-0.335133241723662	-0.267916605816873	-0.654974654988886	-0.431439377748629	-0.259764307307263	-0.244071274118505	-0.0958064713078119
"59284"	0.388303241600468	0.130817893529038	0.272679822371623	0.422556568049169	0.278136215383265	0.210582594463513	0.371400545459781	0.227077916283164	0.42418466985031	0.272480087483602	0.0946016523527878	0.318026537695466	0.29495670808599	0.142079379082476	0.302534716525195	0.254166893621314	0.270149176652861	0.278280952115138	0.280332061559226	0.29297884099401	0.317858685602068	0.304302938717562	0.156324361162343	0.269180992435644	0.339424429359031	0.287649784863865	0.245280019568166	0.303864146921188	0.335574324608926	0.344181480478238	0.262838923629086	0.406660752450774	0.383746494001893	0.417874526401116	0.359857058193221	0.240507439982685	0.358333552686663	0.244579483560705	0.334508294887459
"10344"	-0.284170199545651	-0.16229475138011	-0.155061790263516	0.0711935979435781	-0.193533650980829	-0.168493653132879	-0.168669249461385	-0.190349412368812	-0.197578568204764	-0.255875532647392	-0.137027455787914	-0.109190232276726	0.0180975096313957	-0.228136841908497	0.120268261692641	-0.219828496779899	-0.130480552174966	0.0307743640460778	-0.261944882093672	-0.0587197790673691	-0.242558326586042	-0.329591063771403	-0.0443820537758026	-0.0562020369948136	-0.255891292154648	-0.073800548851397	-0.177636066249937	-0.153630217294022	-0.110279795127099	-0.258644485180093	-0.159370220487996	-0.119173342652787	0.0517599483478161	-0.126715559923922	-0.0440863432877695	-0.0843700325232097	-0.317325777050308	-0.199053635970299	-0.0908196158899905
"973"	0.19623935327817	0.174135960574705	0.251518950601903	0.0758719145172587	0.0489420572122873	0.235069846718012	0.269440037042233	0.121522313929734	0.254855629192817	0.0562219262140089	0.0553814645729641	0.268043752239415	0.384565759745363	0.270967736203095	0.034288559994005	0.138825758849691	0.107604362905831	0.125633964322528	0.196757828494748	0.0669856670472456	0.148695882020687	0.237139504797703	0.356822883458138	0.150286650330206	0.128957657266937	-0.0109002569636473	0.181184347906185	0.24191578638333	0.107813623333073	0.199275713345879	0.216770787066243	0.018122904291132	-0.00844932469701733	0.110203030087033	0.0807369917540868	0.0968747161344168	0.186796984564519	0.207083225388155	0.13837873286173
"192668"	-0.124821018534917	-0.265722478214291	-0.388576251708584	-0.754316158319413	-0.455710188785748	-0.242596623995547	-0.521706990120147	-0.166860533550507	-0.397759149162361	-0.257237040502637	-0.290309303595278	-0.452404298969073	-0.500722722593405	-0.397673881259927	-0.447247655453258	-0.14696132434575	-0.539113144437548	-0.386617858219281	-0.418688675204008	-0.372910421253597	-0.194764216273632	-0.484741927472249	-0.237330067423938	-0.32968252049328	-0.460131372498989	-0.483325252844585	-0.344606364288375	-0.0309499926732076	-0.226057413678758	-0.413993260505934	-0.332143690203732	-0.474520986216548	-0.180432626621183	-0.43643523025215	-0.358353263897388	-0.399670831983904	-0.514135336176572	-0.38516533598772	-0.332533017520858
"55192"	-1.36903012347378	-1.25016510113801	-1.23515565961875	-1.41965326306833	-1.23543175145127	-1.22047051858521	-1.05221363015327	-1.27639105312049	-1.33325138054082	-1.45083598665624	-1.42515144645939	-1.24656104154145	-1.20669893089624	-1.29195948114269	-1.24826337559439	-1.1473502497677	-1.21311732374662	-1.17619569919829	-1.40884173888148	-1.29414812817117	-1.37065144573962	-1.26131609856158	-1.38529903431874	-1.50507881690841	-1.4304711059777	-1.3231555410804	-1.20192959993481	-1.19190741476752	-1.21200223758003	-1.24319513703986	-1.2774027302398	-1.1741466707648	-1.33313862974256	-1.3071628254251	-1.47340912804224	-1.24554323189618	-1.27044387083514	-1.10898442636	-1.19958251254666
"84277"	-0.141212921650892	-0.251373200790031	-0.194715225260965	-0.239221329156591	-0.260396336293879	-0.108110407071688	-0.136900647863707	-0.123805574211044	-0.220613192229761	-0.070917145954219	-0.439497949114051	-0.101435526929506	-0.127112159969358	-0.293974545012239	-0.184320234972849	-0.310300805217251	-0.2274038252148	-0.136660474912507	-0.233595256782137	-0.401366204287019	-0.189651892208907	-0.142022073800994	-0.0422990044882303	-0.195650867273428	-0.181982979883796	-0.1977930893108	-0.145118829446703	-0.267581545140726	-0.156796003898245	-0.223885744393753	-0.321342050651523	0.100171184814215	-0.218668884961835	-0.073492727686127	-0.236886075419058	-0.286424229168445	-0.125997489157519	-0.0919851207927891	0.0442101484981902
"54583"	-0.10184175566174	-0.0312018991882206	-0.251316940541103	-0.272271899820709	-0.144603638394714	-0.0711205430960127	-0.195997157350931	-0.0987377117330763	-0.0773989867576884	-0.0984261294264909	-0.322857076052198	-0.285376928749583	-0.0232814055683936	-0.103079455478477	-0.0206072699942596	-0.322567729877395	-0.110766312687435	-0.178936400984311	-0.0718048487755334	-0.165329246431633	-0.175417998809173	-0.227063935943557	-0.0448093087969608	-0.185219428897109	-0.0566816287574945	-0.257592961095346	-0.0932471673165272	-0.13389166199388	-0.269647629053928	-0.256856026964443	-0.136334527123835	-0.260532382617669	-0.018982819403768	-0.2741681734016	-0.195076069351588	-0.120992638954057	-0.245742206344397	-0.00859698493266078	-0.238757328555263
"57634"	-0.675733429583012	-1.14260803723753	-0.82908800224612	-0.968406591165262	-0.739756061213326	-0.796518474950743	-0.776786724191396	-0.797404498468168	-0.780475542214227	-0.798073770005129	-0.954468080462519	-0.976824193572738	-0.914947372588476	-0.866239820533699	-0.761837062295537	-0.981576582403527	-0.839805889318327	-0.64055554379246	-0.961969156314094	-1.01548247283831	-0.939531189240392	-0.744134719727513	-0.875948401344692	-0.907592276424956	-0.679918739000327	-0.823249893746992	-0.989317671326768	-0.839272880109284	-0.78341667974471	-0.739990086567849	-0.769977418093511	-0.875375495338171	-1.0582762854776	-1.17589376911129	-1.05490122136138	-0.857562454650845	-1.01834760297931	-0.727598274760231	-1.03506911782012
"2086"	-0.218806665630322	-0.211394367055603	-0.0450673003223793	-0.162536526595423	0.0235707430882658	-0.0772324715830071	-0.0444248087911694	-0.0486004025839504	-0.235755583627177	0.221558048494875	-0.147767032247143	-0.0779607751996642	-0.0278072141308475	-0.0669306759527796	-0.0495225761829208	-0.135953015427828	-0.142695403385565	-0.0839815434565776	-0.206699808284817	-0.173791141148778	0.0086861285887502	-0.0639795760827967	-0.00318096940926298	-0.110223307641479	-0.100821993602293	-0.155758243180827	-0.18515902917948	-0.167057436555642	-0.177117669927103	-0.0261624505540895	-0.141813859396375	0.0296813767139015	-0.0149192753597182	-0.143414254438287	-0.272351486578505	-0.12882345659586	0.00188081209754595	-0.125655565406146	-0.0651957125518175
"51659"	-1.3189431258359	-1.49226277403795	-1.45515405180873	-1.3843816789201	-1.32826639313458	-1.64023285861137	-1.53311737186145	-1.57815773633244	-1.36972868979479	-1.51203177249117	-1.54199571967712	-1.41705015401509	-1.62274964207872	-1.6454130919173	-1.38272758082647	-1.38662699340683	-1.40414735530814	-1.54952377292421	-1.69944477847491	-1.5303877427792	-1.55675409003831	-1.2589718333692	-1.44713426568445	-1.63134868243124	-1.36838914244127	-1.48522816078969	-1.58171608069538	-1.16083274957773	-1.55132512101009	-1.40995616004281	-1.39994489037365	-1.29302415917255	-1.58737267526078	-1.45212201103592	-1.37557348033659	-1.5933358411561	-1.66005841699641	-1.42770497857159	-1.37808339442398
"55662"	-0.110604357851716	-0.239153932675211	-0.184715525905327	-3.43821202348811E-4	-0.0958729042034919	-0.1764132158465	-0.142499073550682	-0.47323654316	-0.188644320299667	-0.101273455431551	-0.213152238667497	-0.36190525582364	-0.230216858524604	-0.0407620140314997	-0.0609213498592654	-0.153296067581278	-0.146317551333278	-0.425412567167474	-0.226546893685089	-0.254864767572942	-0.414378741487722	-0.189414368299444	-0.0229520919481456	-0.174779038354972	-0.157070973445661	-0.122016924994794	-0.123597038977415	-0.334845383217151	-0.175075715164046	-0.260496240355765	-0.167356420190508	-0.220942580484851	-0.107483671727437	-0.236446043754814	-0.219547039271399	-0.198958136592065	-0.246354485130113	0.106962347895662	-0.36851731770667
"3336"	-1.35082439196554	-1.5075012356736	-1.72926447780414	-1.54118679174308	-1.62203614000466	-1.60992335567365	-1.71399120500171	-1.66482333972337	-1.69949484256731	-1.6769286830343	-1.9869636780609	-1.86013012623283	-1.56820068234032	-1.60503794231326	-1.73142752827101	-1.46888927343728	-1.60276219916681	-1.80516334428348	-1.87387579330054	-2.02915681907707	-2.01004170671626	-1.55108716487709	-1.52751102369911	-2.2519746270212	-1.25349562005041	-1.63754193511689	-1.62098961283584	-1.53890808722132	-1.74957445088167	-1.66769244893736	-1.57282824358431	-1.55174451513145	-1.78561668524939	-1.81269374680682	-1.77998143819739	-1.86828698609717	-1.76721834367787	-1.63622261297812	-1.75497032667597
"3706"	0.0682831189929299	-0.213915045041568	-0.182463285192398	-0.380227255644967	-0.228412911516031	9.4905343866372E-5	-0.173702586811303	0.0112828052510593	-0.297301704353717	-0.297922220075358	-0.239919093755345	-0.265442147005237	-0.230671266682736	-0.112539094715583	-0.27819213233648	-0.0564454041922087	-0.457627988551943	-0.201390194418554	-0.243040994567101	-0.222887399524802	-0.340265420152768	-0.210381290586934	-0.0632507807637667	-0.147049835193344	-0.319105438852051	-0.0596451518661358	-0.248903849289453	-0.0252124905906009	-0.124747283517077	-0.203385197657714	-0.147422488431594	-0.422368554713232	-0.323728628538703	-0.106127226550312	-0.131699042554298	-0.062793886013198	-0.373228399980469	-0.226678437848415	-0.0656326179133423
"200030"	-0.300743169993905	-0.276685894769693	-0.43553684791849	-0.471407035673466	-0.508175024673999	-0.262039692678731	-0.475384844660279	-0.137844174000347	-0.650297688999173	-0.390744589565449	-0.624991707359477	-0.472972956448182	-0.381411333227375	-0.230759580752253	-0.454879568411179	-0.334622898377137	-0.382496832415289	-0.685412256397895	-0.649382854960241	-0.65963876095049	-0.638177444813893	-0.454664373507753	-0.477385164398762	-0.603562735313257	-0.374151283790761	-0.547728200050528	-0.246053558981738	-0.0655101320186349	-0.317740611845282	-0.532655020794608	-0.524063581359494	-0.220010928990418	-0.76602584887992	-0.592831490442997	-0.360912908093361	-0.375876906680747	-0.556874106564328	-0.418068958075611	-0.587617435378955
"4686"	-0.746329684282118	-1.17187765559276	-1.06391369572016	-1.0657275086428	-0.969543161763986	-0.864522519049905	-1.05788169074534	-1.2168473585253	-0.951647293230552	-1.16242772963869	-0.859958665503297	-0.852104617940111	-1.13340478053234	-1.08713814374792	-1.02370206423243	-0.883688366960369	-0.915983699456906	-1.06124331447191	-0.909808949761371	-0.976015857138431	-0.84580476385834	-0.852023609545513	-1.09581917736075	-1.02586594987855	-0.892405044101905	-0.738440911370906	-1.11665299613942	-1.12092852329716	-0.944821219762235	-0.811868934689877	-0.945787956583345	-1.02440719783569	-0.741077450236802	-1.04531454960744	-1.08154735297096	-1.00911568197215	-0.946395912835419	-0.826064034754628	-0.862480566701422
"53371"	-0.741470871665577	-0.487163820895863	-0.746682649967096	-0.693155578624188	-0.825063876336814	-0.632001546833982	-0.660155262797052	-0.747876576467196	-0.980925687384983	-0.711786342795775	-0.696836199091424	-0.739125317273254	-1.02081080216342	-0.726750105518597	-0.761160869889533	-0.924866603720163	-0.767947424641204	-0.756140879648622	-0.863251004657182	-0.700764660954731	-1.02942929688023	-0.822994520393633	-0.598130247646164	-0.782386664425068	-0.799686462998036	-0.846608612743841	-0.796580543694933	-0.964338713182509	-0.755877880973955	-0.688628303738207	-0.788768398783355	-0.736754434611349	-0.379121372620206	-0.865697302485806	-0.881074937571806	-0.852267369064904	-0.732433146316154	-0.657542377321203	-0.967338605887152
"5441"	-1.58769083680997	-1.75029473733761	-1.86442404173544	-1.62790395055528	-1.57706565771412	-1.66160124093843	-1.72750299221837	-1.6905955767002	-1.66723839672234	-1.40180981327239	-1.75571314265918	-1.75924686986257	-1.65646549070336	-1.64561575761225	-1.40090568918874	-1.44940369326174	-1.75440267096322	-1.46863487663979	-1.63340209406444	-1.70706596512475	-1.7824086383909	-1.57230722878207	-1.66361413332742	-1.65232454216955	-1.71704305204128	-1.74640252577313	-1.57451121624614	-1.38149126020622	-1.67276848405036	-1.69635637512924	-1.58415336850759	-1.47460665690093	-1.53340303091797	-1.53118316181314	-1.66887530918323	-1.67821157838595	-1.56449900120155	-1.68608349696372	-1.8276774971272
"5684"	-1.55954131478581	-1.27220238691595	-1.58470578205829	-1.59202868924512	-1.60328924609798	-1.45582597204014	-1.71737426598858	-1.4129752625606	-1.53706386765562	-1.48521784719491	-1.61352236661463	-1.49788367793361	-1.59909618451902	-1.47346039869174	-1.52130625000363	-1.42720448842316	-1.32922122524317	-1.73391715858968	-1.51485631559095	-1.566986405013	-1.58896656013606	-1.37743257809747	-1.56443445905332	-1.85208595407855	-1.5297385465757	-1.66065417780486	-1.42437995885812	-1.53776261761128	-1.48335951383226	-1.52775402670632	-1.53741907939902	-1.26970030889014	-1.59556777773248	-1.70720712116911	-1.76498968742196	-1.61932365821267	-1.42149617573121	-1.46113759494219	-1.64395520209378
"5713"	-1.2672244113152	-1.34968393590579	-1.47086952237438	-1.48157041698453	-1.44701880987419	-1.38238415705611	-1.58890846476904	-1.67934880540035	-1.58445147291102	-1.60552632298665	-1.78157666368738	-1.61082512844511	-1.63544401297518	-1.61628099330033	-1.61103484228358	-1.61727403829082	-1.42331625509071	-1.65046362370252	-1.60121721561693	-1.77416283627728	-1.66865760963666	-1.48826537346266	-1.4181820351479	-1.73532967226624	-1.69460885138463	-1.6095219128522	-1.5140221818451	-1.40623639157838	-1.61083981847666	-1.55867013212007	-1.45317880955468	-1.56270030610368	-1.95278360010287	-1.62299752975286	-1.7217697734067	-1.6576895298479	-1.6371532012037	-1.49520526523193	-1.41682147998522
"9232"	-0.155775510787467	-0.377791563637592	-0.383130032680368	-0.119895376747264	-0.510789451104649	-0.124460310657175	-0.261981012989265	-0.602465070701967	-0.452374545747875	-0.364375542039045	-0.172989851433874	-0.364956841389437	-0.437741974620835	-0.468991985153332	-0.385719894114933	-0.529605583583264	-0.576054485900172	-0.696946343639362	-0.249998466826524	-0.225731812562046	-0.222405222041665	-0.291617240568386	-0.381573668718402	-0.373938915990291	-0.436443855764297	-0.24918610403855	-0.274318173118304	-0.361172684818747	-0.253335624235666	-0.429518935292459	-0.287099476200002	-0.215173917684611	-0.194544317240642	-0.110713380318459	-0.455701836942998	-0.476410633192066	-0.513661431000986	-0.271570030093297	-0.343704483482352
