	"ACH.000009"	"ACH.000015"	"ACH.000018"	"ACH.000030"	"ACH.000042"	"ACH.000053"	"ACH.000087"	"ACH.000098"	"ACH.000118"	"ACH.000128"	"ACH.000138"	"ACH.000142"	"ACH.000163"	"ACH.000169"	"ACH.000183"	"ACH.000188"	"ACH.000221"	"ACH.000222"	"ACH.000235"	"ACH.000238"	"ACH.000253"	"ACH.000256"	"ACH.000260"	"ACH.000265"	"ACH.000266"	"ACH.000279"	"ACH.000307"	"ACH.000308"	"ACH.000320"	"ACH.000332"	"ACH.000350"	"ACH.000365"	"ACH.000366"	"ACH.000374"	"ACH.000387"	"ACH.000401"	"ACH.000408"	"ACH.000414"	"ACH.000415"	"ACH.000421"	"ACH.000452"	"ACH.000454"	"ACH.000458"	"ACH.000461"	"ACH.000467"	"ACH.000475"	"ACH.000487"	"ACH.000490"	"ACH.000491"	"ACH.000499"	"ACH.000516"	"ACH.000518"	"ACH.000527"	"ACH.000528"	"ACH.000544"	"ACH.000545"	"ACH.000548"	"ACH.000549"	"ACH.000571"	"ACH.000573"	"ACH.000585"	"ACH.000588"	"ACH.000589"	"ACH.000593"	"ACH.000606"	"ACH.000618"	"ACH.000619"	"ACH.000621"	"ACH.000630"	"ACH.000632"	"ACH.000633"	"ACH.000651"	"ACH.000652"	"ACH.000658"	"ACH.000677"	"ACH.000718"	"ACH.000734"	"ACH.000735"	"ACH.000738"	"ACH.000746"	"ACH.000753"	"ACH.000757"	"ACH.000760"	"ACH.000762"	"ACH.000766"	"ACH.000767"	"ACH.000771"	"ACH.000776"	"ACH.000777"	"ACH.000781"	"ACH.000784"	"ACH.000787"	"ACH.000791"	"ACH.000794"	"ACH.000802"	"ACH.000809"	"ACH.000831"	"ACH.000833"	"ACH.000834"	"ACH.000837"	"ACH.000847"	"ACH.000848"	"ACH.000858"	"ACH.000873"	"ACH.000882"	"ACH.000889"	"ACH.000911"	"ACH.000913"	"ACH.000915"	"ACH.000937"	"ACH.000938"	"ACH.000943"	"ACH.000947"	"ACH.000948"	"ACH.000960"	"ACH.000968"	"ACH.000969"	"ACH.000994"	"ACH.001001"	"ACH.001031"	"ACH.001061"	"ACH.001151"	"ACH.001163"	"ACH.001274"	"ACH.001306"	"ACH.001318"	"ACH.001322"	"ACH.001328"	"ACH.001346"	"ACH.001377"	"ACH.001408"	"ACH.001500"	"ACH.001654"	"ACH.001736"
"344752"	0.0622737131684289	0.137621412157563	0.102250557831727	0.181794449125986	0.133414180386095	0.0956753872220588	0.206446504646063	0.164378197674461	0.091481938373088	-0.0417767814691286	0.0406642134161729	0.0345060939209368	0.10665730036618	0.149381026388432	0.260377119039361	0.230399442177762	0.101250581746091	0.176392947382352	0.0968065119621214	0.123824200284449	0.10557010399396	0.22647828340582	0.124612922921988	0.204919201124205	0.130370743230253	0.0799655202252146	0.122353987558871	0.17719496726454	0.276717981422181	0.130390281527018	0.099701052539129	0.197802892313125	0.108250849216629	0.175628138359653	0.147104331351331	0.172826769154138	0.186415674950207	0.0769790768079039	0.133182353139513	0.121778680717236	0.136071370200705	0.0289375797491244	0.184656213825826	0.170029529996533	0.0286700168683482	0.104575705647082	0.152468464955774	0.10091530581497	0.137396632478841	0.0269775192310793	0.181289495817786	0.209121123689164	0.140798677880571	0.0909703396919473	0.0975977369212658	0.107409258062057	0.194360601647097	0.0840193507911572	0.0401993377863884	0.133592211174553	0.095981502329526	-0.0341737432208752	0.167938825874246	0.109651779930689	0.309117667104455	0.130254200271305	0.152253279799947	0.100110043197077	0.151301066140716	0.12063597922523	0.0851161497971021	0.103568901257519	0.115374693824534	0.0679268630727087	0.216177345142784	0.118442696220082	0.11732273059844	0.0768891425923846	0.201558202130071	0.293136206025804	0.105650836535573	0.146669197473593	0.114619236647641	0.176279087359043	0.162946218513309	0.0923870196129519	0.29852188522332	0.184728176272058	0.244573472733262	0.181621848894958	0.118124306570616	0.00746740774031851	0.138031647909475	0.127836836791472	0.162479893264327	0.15523193388932	0.0417827503869717	0.205738747947594	0.17198748214996	0.170289411404813	0.0935085022038762	0.021973951002789	0.11547299941475	0.176941336237605	0.0217618833302401	0.0563772656793982	0.127482628326252	0.124109979171817	-0.00967749658232674	0.144549865690181	0.227100967895077	0.0486398459410698	0.126701520194414	0.124924354205846	0.198914966471498	0.0105621054163118	0.162692693615049	0.0938729309587596	0.0937063786110264	0.170103789673556	0.0962405693581513	0.189826131988133	0.154041277910432	0.242111613276542	0.0250884414613214	0.0168942336194156	-0.134699457577411	0.103270222169907	0.185239266985199	0.148515877147621	0.0921202343070331	0.15631680904998	0.161676169408636	0.132476238499669
"10449"	-0.147420245071948	-0.041607154287342	-0.117160732053021	-0.179614223578884	-0.198062629318992	-0.10186748336836	-0.0530381409850794	-0.0259489026425949	0.00868047680397209	-0.0687189295503007	-0.12342452474295	-0.140287539922389	-0.117615304959955	-0.192010858010542	-0.137185159358798	-0.153426355920643	-0.126669968912882	-0.0132364736996895	-0.142323512450558	-0.0874395775589868	-0.0652461014919496	-0.0771604712115224	-0.0463778553296006	-0.0978409933358965	-0.136561235246347	-0.123138931824087	-0.274295029792147	-0.0460112542643664	-0.153450910509568	-0.120383223664414	-0.133191418786812	0.041349750275205	-0.0264886082956039	0.0447415483294167	-0.103626195398416	-0.169173600726676	-0.0983096089457162	-0.113215464811147	-0.0597440940536814	-0.16366905854498	-0.164540609668178	-0.0483946139195228	-0.138630570687819	-0.110156263309124	-0.163110916536956	-0.147412897349666	-0.191467532321288	-0.105599812099691	-0.281429706605662	-0.173924071433006	-0.0691726726659747	0.0768218106312166	-0.140695217414214	-0.057906742771104	0.0434630986541087	-0.322381312200039	-0.114456635789404	-0.04348024436409	-0.170603610099308	-0.23625613350627	-0.126937420788495	0.0697286649949625	-0.0861411935173211	-0.0577990574766108	-0.203016208119366	-0.0415462701744252	-0.0954511530448385	-0.108254020245188	-0.152283898369339	0.0208869380416679	-0.180690559963807	-0.20392753097126	0.0688398991575471	-0.141993740633252	-0.11302215584651	-0.0723932628403748	-0.0791000255044663	-0.199049836952614	-0.0804818795241872	-0.0982851895697334	-0.0912165894624262	0.0206135162624295	-0.0681360715120137	-0.122651737166304	-0.259728468539529	-0.216502416470962	-0.139848754639319	-0.138344053995171	-0.0535221154119467	-0.149230518212832	-0.20252717115774	-0.0387332295580009	-0.217413773674985	-0.136861565064197	-0.137214691283225	-0.240706371424434	-0.136503773237395	-0.0608785844566243	-0.14365381903135	-0.0116127618595746	-0.0582369700953056	-0.147665652785514	-0.115637447698432	-0.218661113973315	-0.129823023905085	-0.116422512988033	-0.128519215074607	-0.0792259796012474	-0.134490422111782	-0.196771022062114	-0.147221140196283	-0.0403831187337352	-0.0963853599039788	-0.0536884683143987	-0.0832788754362847	-0.0204847426362874	-0.109259967041851	-0.251074260164877	-0.144856234110122	-0.131788477513469	-0.0143481292134094	-0.108755738508834	-0.0675069999528042	-0.171417451583667	-0.0314042151146632	-0.155666353321731	-0.143996390371232	-0.0838649729311614	-0.188549650343449	-0.244418441313524	-0.116937916011636	-0.0441499281997698	-0.210305629201673	-0.00761165211002313
"29882"	-1.04688069965832	-1.0866783430998	-1.05853368173792	-1.12681659284022	-1.01668514911381	-1.12562111006611	-1.1548747373182	-1.10666259009256	-1.03433897854464	-1.13335555540919	-0.891219766816175	-1.16996922632843	-0.919360313402526	-0.980255501418373	-1.2378404246744	-1.0066976683204	-1.13568148701056	-0.937308675658032	-0.966489812284371	-1.06454370694499	-1.07252723455365	-1.12387709796345	-1.17011359428181	-0.846848694787396	-0.971027760251636	-0.990676367635513	-0.931440311860955	-1.11208565288277	-1.08060832037687	-0.898115158473263	-1.02396670707872	-1.24841521587994	-1.09152900227866	-1.01244425532737	-1.04094304122453	-0.935770711167214	-0.86364015909554	-1.12671671378561	-1.05336895537228	-1.01980615850313	-1.08450223857964	-1.0695457113498	-0.799656952413502	-0.90582009202137	-1.0398059033174	-1.07943987448801	-1.00553877234402	-0.981096834984809	-1.32668167985896	-1.13323502469873	-0.822211577345139	-0.903526621862843	-0.851568955430083	-1.01913315427297	-0.966539844089669	-1.39193638012389	-1.07550316622355	-1.13762937895806	-1.10312744620163	-1.03023537694107	-0.999270668744269	-0.777688474684739	-1.03245536078505	-1.05702768584012	-1.03532225004309	-0.866123709667566	-0.973214776683839	-0.983502572242947	-1.11246046660598	-1.19709517467056	-0.903942874286796	-1.12541227960871	-0.906067237011838	-0.914733636097035	-1.13024592823174	-1.14525080536666	-0.905131264073052	-1.02641591412081	-1.0271660735476	-1.25024961438046	-1.05323288038935	-1.20111767900743	-1.09661443437855	-1.05561270118301	-0.986815232148979	-1.22916413366172	-1.18530273829806	-1.02577178569271	-1.00627263817002	-0.952906575508694	-0.924070491021098	-0.900866785889094	-1.01709563080991	-0.79625954244615	-1.20194840245255	-1.20994606184388	-1.06654233736248	-1.42237940180069	-1.01703767044962	-1.0826381136626	-1.04521503439609	-1.08743329354126	-1.01062663441944	-0.958519964046111	-1.24121018951047	-1.00081799167637	-1.00853949109912	-1.15842176065333	-0.994783953246754	-1.01320481915084	-0.889091902838858	-0.869723006948675	-1.0248714302984	-0.930382102116441	-0.791492727858968	-0.965327175532005	-1.05629508270844	-1.19581153045688	-1.14768441803862	-1.0703222413311	-1.01863499721118	-1.11752139223732	-1.12488392702189	-0.911933292366067	-1.16995944177486	-1.05358203160505	-0.839733894630827	-1.00798354093908	-1.01392843143039	-0.957848905738296	-0.853517267944023	-1.02944622913864	-1.02194082253017	-1.13294419257555
"23141"	-1.40810212119562	-1.46131147056841	-1.46600995933511	-1.34862338550327	-1.47885046562731	-1.45297859263352	-1.31510566651962	-1.45940771067549	-1.38684655136889	-1.58358297758788	-1.36926365201118	-1.4938794924758	-1.41845751574697	-1.28004028306183	-1.41927226388698	-1.40004726983945	-1.63324513835478	-1.44814676801287	-1.46079803809478	-1.43950878124922	-1.34425725413199	-1.36609636862925	-1.44159354465385	-1.39226235416765	-1.49412010799569	-1.49957185394154	-1.33408279718615	-1.49706285726226	-1.69293314954503	-1.39099337197639	-1.4332486665599	-1.5615373117449	-1.57613754342948	-1.4630384688272	-1.75492968022441	-1.34526231984186	-1.19576034204204	-1.51570847945109	-1.46533925001418	-1.43193113495664	-1.51800910076049	-1.11155698123512	-1.39230663600921	-1.44909671190141	-1.47101907620949	-1.44475296937535	-1.30481218669578	-1.29640697072279	-1.62388115155946	-1.44446298951685	-1.49540021061143	-1.57492130353172	-1.30817578166164	-1.563663082717	-1.35853662936876	-1.39631347623788	-1.4321323224034	-1.10430867057153	-1.57454505447714	-1.63875643980138	-1.6326272468399	-1.23562989279056	-1.42199697847391	-1.44144394215538	-1.3670704848514	-1.48134631349363	-1.18206608991663	-1.56122466514396	-1.46268611069843	-1.59947891233978	-1.34172521947843	-1.36633256398218	-1.22850340596885	-1.40787034244146	-1.46772431002089	-1.63393854621988	-1.45277978607075	-1.4123443744507	-1.26530890192765	-1.42433207155931	-1.40976883402166	-1.40124752982986	-1.42880484000482	-1.35072063396582	-1.48052897169501	-1.62483006158199	-1.31108106414626	-1.40791436241953	-1.53192075401699	-1.50575716281709	-1.39218678327983	-1.39839357451066	-1.33855069259058	-1.3824455426796	-1.5246931273969	-1.53887926963555	-1.34109249721222	-1.69198601331694	-1.21917844017203	-1.52538550374415	-1.43089942833057	-1.57578840786127	-1.25368552333524	-1.48733648969545	-1.38462990070376	-1.48993460319333	-1.41582473873901	-1.36566187645872	-1.25873975369379	-1.45268595499988	-1.40450675594714	-1.34765646026129	-1.5432875095409	-1.40035168290747	-1.48326877222435	-1.167444241308	-1.3164782246064	-1.21456621174644	-1.34348204795996	-1.50219985774631	-1.3744598948753	-1.39683423171877	-1.54391498631435	-1.47178475989134	-1.57820354141564	-1.51219444284202	-1.37736201112913	-1.36973998861069	-1.40657135970512	-1.53114006112991	-1.35915400945743	-1.21024041683618	-1.58232975218554	-1.41234682895589
"908"	-0.825667853298183	-0.787497530612231	-0.89429026363057	-0.450945456008156	-0.714856043502656	-0.758253848708339	-0.747787025047983	-0.707987035977194	-0.620518757425649	-1.0002166581559	-0.643500272500774	-0.466250151610896	-0.699620183014149	-0.501234940462659	-0.637951418845868	-0.688716989230177	-0.710450310286851	-0.644986365991989	-0.659802872602621	-0.577205018306993	-0.687526784215269	-0.768966112687785	-0.695034650962055	-0.696511010112087	-0.718728096548198	-0.771530110549291	-0.873060741872097	-0.960039890133374	-0.753039966003933	-0.622895959691563	-0.624780884122749	-0.668660788130483	-0.740215770082656	-0.667912653608094	-0.89149418291044	-0.747457758267271	-0.61541075015254	-0.806306972817107	-0.673454151852636	-0.835454225030994	-0.607757357126709	-0.491376596590174	-0.589076768650828	-0.696776419023885	-0.824962476544016	-0.86703758587731	-0.834367138355542	-0.80503699361942	-0.756995211081335	-0.776083552806289	-0.840284819754701	-0.528311423162518	-0.628373352705405	-0.656018145278758	-0.495268673057361	-0.693109564159334	-0.738424029626274	-0.647049145751123	-0.66099892724463	-0.756978347858462	-0.919696965808953	-0.627054770787922	-0.626290109788938	-0.739250632137504	-0.664796473066083	-0.642765195455501	-0.745009418318069	-0.849824973219206	-0.787455498233502	-0.75018205093837	-0.680221108922957	-0.594309248234935	-0.632329557751349	-0.710945802604897	-0.503531954253963	-0.69179413449831	-0.624795928833737	-0.798727904698453	-0.657859592466148	-0.435598085681947	-0.8615494070689	-0.647581532198055	-0.759184510760429	-0.482803358135662	-0.735217478767742	-0.724044619517273	-0.849642037598647	-0.719930218018059	-0.188707179683752	-0.717334048634867	-0.678955126528713	-0.553499693737937	-0.741308712561865	-0.752759126293475	-0.707730007931493	-0.668436927790531	-0.512152331018368	-0.623354326040328	-0.749832302942898	-0.712204155000285	-0.608404391943617	-0.933769948478303	-0.597216288270339	-0.70932531002243	-0.773614071315567	-0.653335354645308	-0.694010711084549	-0.743087762874505	-0.968029286688312	-0.634675494312014	-0.600755471304941	-0.755869793405969	-0.878345559362379	-0.722639842504236	-0.759787590599354	-0.738841348923961	-0.582886366529965	-0.636181001311419	-0.729147473011348	-0.823595942621769	-0.781213481794594	-0.683104878050661	-0.78109801017175	-0.86734839090147	-0.849063091543928	-0.728076694695533	-0.833286442552198	-0.518554625868929	-0.749297551112324	-0.820398037821889	-0.650907727173215	-0.723342607774586	-0.826715571451847	-0.690225212475607
"8872"	-1.52947451963133	-1.51031078534231	-1.52568282152218	-1.57057515623995	-1.49652837153116	-1.51031364549035	-1.59710122942839	-1.67609234497312	-1.54924923906274	-1.69227217564389	-1.45978202259565	-1.57536951238521	-1.5145548487315	-1.58235790136619	-1.63229875761565	-1.35688542391786	-1.78195151601413	-1.53913639553402	-1.48438731624736	-1.57596721820706	-1.59825917936833	-1.48471245207177	-1.5531348372926	-1.47764908068742	-1.45096637728686	-1.71527021687523	-1.51721516952974	-1.58675966452021	-1.69185394746819	-1.56916338165045	-1.61785717928319	-1.48920019808372	-1.48441483742014	-1.54587171175382	-1.30842246111559	-1.42586429435275	-1.37021614990713	-1.70256823382763	-1.73967299251426	-1.50827005732414	-1.75846856127702	-1.48435672481283	-1.40748879598879	-1.44343133483697	-1.67586644993921	-1.60668432629028	-1.56596066384488	-1.47093901503841	-1.53335420617871	-1.57023073867697	-1.57860861993726	-1.6452481295804	-1.49061095219443	-1.55118734885966	-1.56763434117582	-1.51232061787645	-1.61815827729347	-1.26929388765078	-1.62515016106117	-1.61762453987188	-1.81462421791447	-1.42245514962265	-1.3049502864282	-1.61585445226472	-1.46290363446852	-1.52283661127546	-1.53083238059126	-1.40037737467298	-1.48011451630859	-1.52129432411021	-1.30564282005475	-1.59262849514322	-1.45944118806148	-1.66605714993876	-1.17573795427169	-1.6778478769653	-1.65798157107273	-1.64519022969698	-1.59274561581075	-1.68069268103881	-1.44908709518538	-1.4886762673273	-1.27019396323327	-1.59575729352295	-1.66395658025108	-1.68467990520291	-1.44744528256152	-1.47197139092802	-1.53615447659598	-1.65893727265961	-1.73770262884313	-1.35286975480324	-1.61474810356816	-1.40672925349051	-1.61788225873706	-1.50508232147324	-1.51551260642361	-1.75764665658954	-1.45841645564375	-1.70565556143487	-1.60729566378982	-1.5524372624065	-1.37300785194443	-1.47684773796367	-1.41306134781532	-1.39602431416943	-1.48892735578351	-1.51115636445293	-1.59354338652443	-1.76320015667712	-1.56095668806491	-1.42972259144953	-1.49554705906851	-1.58682836483092	-1.46974623187947	-1.45699995977074	-1.61275553172481	-1.58541908633324	-1.67330515197632	-1.57467117613352	-1.58729960888482	-1.44287183350482	-1.56235053089028	-1.45342425791139	-1.25781830306173	-1.56191961506833	-1.44663460255338	-1.47279557035662	-1.40602665110716	-1.42448817443092	-1.80321960646028	-1.44199268018115	-1.7267332883061	-1.49292901177012
"1075"	0.132149700188491	0.107233212082928	0.061188889602621	0.124846009524737	0.0960587400487872	0.124358280898859	0.146065725747189	0.0992725540638994	0.0570227599256243	0.301432301539702	0.083700133071749	0.0721732773143539	0.140313154880824	0.201450319520668	-0.0758773667891826	0.0831152063778346	0.254929947964092	0.118431046500835	0.158147136896774	0.203111720398602	0.0979750135820709	0.092906170540462	0.162909636479572	0.111453598684741	0.0640218182470468	0.14941255036123	0.200151635276002	0.103767710040918	0.0350051538052869	0.172222220302628	0.082162902289988	0.129550793686894	0.0462617062980468	0.165602226105305	0.217044185607736	0.285607266935768	0.113607508380281	0.0582222254161347	0.133192020080176	0.209638431102983	0.145558061735835	0.21406579097214	0.0452586182790771	0.105542436242726	0.144742254252617	0.0441956490619589	0.0706598835740572	0.101857755829193	0.157473866064914	0.12461354469521	0.142334707768492	0.156476076206143	0.18043227084387	0.200321575213986	0.0654044194449075	0.156217972338414	0.142888287077173	0.146379309314995	0.151921825757064	0.140447473829595	0.0335952168910493	0.0856124069544589	0.0566670626526141	0.067799913393851	0.151116501700254	0.0170294432506756	0.147829992075778	0.114594345054519	0.114496437052099	0.0948172850972501	0.189581781212435	0.207366536799691	-0.00268098032976958	0.117765525028711	0.193279038997124	0.152812829712178	0.134131678784043	0.0187944223970245	0.0142911652048614	0.0905377982636758	0.148779334438148	0.120936500198639	0.207925783480406	0.201851445771911	0.254206591229781	0.0437034599624068	0.167845849361759	-0.049099976295305	0.145953749765577	0.0847402841998564	0.135470555284632	0.171697033294197	0.0640443963505206	0.112893522910364	0.0662158563046824	0.126122160016269	0.150002019125951	0.176090420653611	0.122764427105938	0.125302013191049	0.131234118065168	-0.0685664783221293	0.234275864358544	0.0590767407393908	0.132663662541839	0.143625827172939	0.107099078830936	0.182029543110809	0.0726585070483048	0.134716826091613	0.114236391626367	0.14551738707937	0.108883944751433	0.139765075124499	0.0255588570388694	0.0798298558203253	0.0161670887825386	0.278017936849167	0.112546115274248	0.26842226682126	0.119051914352041	0.102694051635135	0.126167731773934	0.338091235976002	0.140528802101373	0.260043121118783	0.128868898796795	0.119304562249472	0.0032957661850209	0.211165791655056	0.0870818632677629	0.121842699832287	0.0563534590830075	0.182548010288984
"1615"	-0.8366980021806	-0.790865646161377	-1.04587630178625	-0.886882841797724	-0.843649804082356	-0.862750072792784	-1.09375334872333	-0.982089079290274	-0.69151985923172	-0.959884700813587	-0.812633776499803	-0.774532963703258	-0.931286985972182	-0.94332615350661	-0.84639263925251	-0.724714096644136	-1.33380800986627	-0.652172780565143	-0.901526294972186	-0.850341860743621	-0.964512531214341	-0.872443570421189	-0.836735402011609	-0.876010366031227	-0.871021666831959	-0.931812310729865	-0.868411290291039	-0.731854885139281	-0.949752076965041	-0.866201737233368	-0.838800209327124	-0.912530963769898	-0.870355018491318	-0.931659246881168	-0.991919230811113	-0.791016304759899	-0.761690366062479	-1.01899647953358	-0.84400362927754	-0.827195450784092	-1.08207621779258	-1.04307347084037	-0.910248075644969	-0.529978174844368	-0.800879828541124	-0.893078192416592	-1.07182311621405	-0.789109081968249	-0.690206001008569	-0.728877546829254	-0.770440696046566	-1.08720044227073	-0.840356772968614	-1.02764211278713	-0.865111659473812	-0.890826580225666	-0.895322491247662	-0.805046322241806	-1.10118193494646	-1.02324893877928	-0.919177773114691	-0.690119677414559	-0.971025642075362	-0.908146108997445	-1.04516984443188	-0.72677142040328	-0.875381095589504	-0.86740827946045	-0.787988922063747	-0.885899029233761	-0.854898780711323	-1.00669086538125	-0.778426087635891	-0.856130523303804	-0.838178484076907	-1.01014034958561	-0.973878648541955	-0.788444940591605	-0.894197958650956	-1.08775872203667	-0.761365638794694	-0.849015962706429	-0.941578176504381	-0.691542077173265	-0.914233042414014	-0.921468878843743	-0.78339855242189	-0.960390804100512	-0.802237416632196	-0.84735539528433	-1.12026041610949	-0.825718710941649	-0.93537523642553	-0.841096896406666	-0.93224482431054	-0.945924872046074	-0.715191078604465	-0.823293710458193	-0.945185658513932	-0.969438701623055	-0.98690342260855	-0.793985022639437	-0.861098664508883	-0.694411082240274	-0.930187668835355	-0.954228069643211	-0.708501541584917	-0.826589515008397	-1.01277694144756	-0.753382950886478	-0.809739661186407	-1.03496659180517	-0.899054698109807	-0.863213048351455	-0.77571327784049	-0.936786545791525	-1.00228453882723	-0.837357678104741	-1.12084162309794	-0.802852152967146	-0.987665475269811	-0.867560760309505	-1.00261021950242	-0.946316549729598	-1.01268723116904	-0.903076132749298	-0.754359072892815	-0.892599816644865	-0.603244609436656	-1.10287201159141	-0.718220594095409	-1.07766989451164	-0.853160969967376	-0.687324814981001
"64850"	-0.268972083742099	-0.190801723933865	-0.00837269838188156	-0.148422464025124	-0.166116426424805	-0.187062429320028	-0.284363020784167	-0.279708560342832	-0.0389556506864338	-0.195838435386598	-0.0887338521096398	-0.124518299304843	-0.177247642418554	-0.295298075697895	-0.21505145044545	-0.114444128197215	-0.221909499912213	-0.0573101563287612	-0.176372747866926	-0.0683447652833452	-0.191910779214051	-0.183749655151932	-0.169393626865794	-0.17925976976413	-0.135573572848491	-0.286685053708218	-0.228813448337799	-0.195634361021956	-0.126332268311945	-0.0466836343981662	-0.143615975725733	-0.171637911522435	-0.201734486277376	-0.274904469947641	-0.281388712603431	-0.126808185200978	0.0559319509503073	-0.186444158961698	-0.099024821540404	-0.266791508402567	-0.101864091839411	-0.0885905607703636	-0.0286380310252126	-0.121309075738801	-0.213000464089317	-0.187370472802748	-0.177497262788857	-0.076412392010736	-0.234090251555108	-0.0878135263007581	-0.135727933884388	-0.133880424639938	-0.250020040715929	-0.115210703065327	-0.14375751025563	-0.277654998430293	-0.230808728126973	-0.192824402638891	-0.0945427096767995	-0.158535615516247	-0.168055420771569	-0.238345258374941	-0.139337486829622	-0.126985898813782	-0.0439042467126907	-0.258146781043672	-0.145131844764507	-0.173478256377906	-0.212563669910316	-0.154006369310475	-0.179291231829202	-0.257473607751576	-0.197306412767943	-0.207822508043839	-0.312439344216927	-0.115250124674199	-0.120356131367867	-0.141294728098246	-0.21593906569044	-0.296485053410412	-0.146824636763015	-0.145503308097152	-0.212404645185577	-0.166505833757011	-0.0504762858547241	-0.289284298234245	-0.102072574716054	-0.0982615589540695	-0.198240073691007	-0.193967112245632	-0.135382842056536	-0.0803890432097051	-0.216064308781569	-0.250625670706492	-0.264532283270698	-0.2320190617186	-0.0564940460639683	-0.343122857368762	-0.0462508706816821	-0.102161286140558	-0.0474834310500965	-0.301604884259582	-0.0256160521930106	-0.0791872514753908	-0.148567217775545	-0.128757220318321	-0.216229247082035	-0.164179409443177	-0.184586316455534	-0.219132991427604	-0.146965507133985	-0.175567791062075	-0.223729831919004	-0.153226446240695	-0.195010941154707	-0.220591403538847	-0.158696107765227	-0.108782343912798	-0.161623695872012	-0.101809552450478	-0.213058302970792	-0.164046673128976	-0.0778782029764843	-0.204737625543261	-0.240078724387739	-0.325024913564718	-0.129027146903618	-0.0972888372438385	-0.0928563216643377	-0.180762717909865	-0.103524351082186	-0.304400592805747	-0.0698456207857515	-0.0843418847624356
"2171"	-0.349748351237343	-0.146887056894619	-0.349982289292825	-0.398981703006938	-0.350453142822538	-0.23049868812556	-0.545133782673545	-0.218623906751761	-0.183764570351472	-0.310729365692412	-0.181307874601201	-0.309496934080233	-0.394735609673872	-0.397745556814043	-0.348797073818344	-0.393627808189982	-0.243234731784316	-0.0523988160911228	-0.227198456970952	-0.312851260156894	-0.336215268523688	-0.488361204405779	-0.298530867446236	-0.31808099702477	-0.298679888790371	-0.370766256999442	-0.400826533587174	-0.400352608367091	-0.373188011010707	-0.23710780353222	-0.37916547810759	-0.191489654457211	-0.128649565161842	-0.333592360844343	-0.428820073477267	-0.255303533767585	-0.335980519366199	-0.311780163584674	-0.501518431735199	-0.443727876397893	-0.124125554899136	-0.0129387517573286	-0.383013444863627	-0.246368566774439	-0.326252657861912	-0.268472717898028	-0.38090821730782	-0.199973649664003	-0.702598584818216	-0.258287483150285	-0.342771490487195	-0.0748182058455018	-0.240805643070156	-0.278874264963557	-0.19768268025414	-0.410485076845916	-0.541061915673027	-0.220557091194415	-0.213222584448179	-0.256393398690053	-0.146397637118378	-0.236702780799307	-0.389875716520856	0.00115742105196602	-0.33625044231494	-0.114753237401152	-0.222581618070831	-0.266012984668807	-0.117649498948272	-0.126545128398101	-0.595326344540806	-0.192549335024803	-0.313478678489083	-0.382833763162781	-0.247348811808163	-0.461347974773899	-0.228224208814648	-0.34528974580309	-0.390835609735999	-0.234664021948028	-0.213522933644306	-0.21023280526352	-0.189747734657047	-0.434053260446308	-0.339881917838552	-0.508396560073615	-0.271061043435399	-0.36313344193468	-0.270953221890274	-0.380577171900832	-0.388569384422326	-0.325748941799152	-0.283708372716023	-0.325403710651298	-0.309538829882535	-0.410316763397261	-0.353119994646491	-0.257484224105797	-0.339691017572883	-0.0473215830247858	-0.284714911093759	-0.422034642492997	-0.386312419192538	-0.414368270463895	-0.307982564518823	-0.23346397179479	-0.260604378312792	-0.23209938381619	-0.373787442828772	-0.406735041131318	0.0711671424498343	-0.405674448206284	-0.35025428732287	-0.345526483192703	-0.179938431048033	-0.418905580873631	-0.481245687367592	-0.327663082324821	-0.213169624243234	-0.284860969844245	-0.350220894265812	-0.210726055852145	-0.439232534765393	-0.364578429580257	-0.300182278275268	-0.249625861417354	-0.302825922024701	-0.109114228171659	-0.17398807736348	-0.472329187136172	-0.296567225715053	-0.193460939393346	-0.591283202379407	0.00239520439854627
