	"ACH.000014"	"ACH.000017"	"ACH.000085"	"ACH.000116"	"ACH.000123"	"ACH.000198"	"ACH.000207"	"ACH.000226"	"ACH.000233"	"ACH.000248"	"ACH.000251"	"ACH.000259"	"ACH.000277"	"ACH.000330"	"ACH.000356"	"ACH.000362"	"ACH.000427"	"ACH.000460"	"ACH.000477"	"ACH.000485"	"ACH.000527"	"ACH.000545"	"ACH.000548"	"ACH.000579"	"ACH.000580"	"ACH.000584"	"ACH.000589"	"ACH.000606"	"ACH.000637"	"ACH.000661"	"ACH.000725"	"ACH.000771"	"ACH.000783"	"ACH.000805"	"ACH.000822"	"ACH.000840"	"ACH.000876"	"ACH.000900"	"ACH.000929"	"ACH.000957"	"ACH.001654"	"ACH.001740"	"ACH.001745"
"55122"	-0.905844983400601	-0.616598828622361	-0.944360163793757	-0.736489070408611	-0.73818208551627	-0.820094665626595	-0.912346502779962	-0.64610952205866	-0.828109715705314	-0.66993844651839	-0.757676948211012	-0.760598006167235	-0.796803405861432	-0.67243413453121	-0.707395175346347	-0.703902874162588	-0.841603870495169	-0.646112222890538	-0.648631645523515	-0.830278892170239	-0.685699760821789	-0.678134812830508	-0.813188403652495	-0.783281321273813	-1.04222151388007	-0.736358388840179	-0.788381876012209	-0.712480133643442	-0.617557695853485	-0.780277815983969	-1.11383157409261	-0.736813586883412	-0.932887872055229	-0.60553624800209	-0.690262898730812	-0.712865521133911	-0.656342949890722	-0.818911445890084	-0.590110086636792	-0.698905030802168	-0.679472395818154	-1.01116079498669	-0.923216536226344
"1208"	-0.387993094521892	-0.238384604625888	-0.354291290509109	-0.367096388139298	-0.333403892213588	-0.410603306791211	-0.354477145410503	-0.0762329774192893	-0.248632980493979	-0.40515032518466	-0.419160829815495	-0.435405862816349	-0.505910321561088	-0.246016048526059	-0.444706595197426	-0.323908528501351	-0.329795722135865	-0.50844938806543	-0.379522112672276	-0.253194012061975	-0.32166063780649	-0.500932879104847	-0.324314143050642	-0.538713391958779	-0.195296916769151	-0.454838598767532	-0.2482820973351	-0.424018454077658	-0.355575680926746	-0.387809321764982	-0.481308037391159	-0.343103566847027	-0.649664358824523	-0.584901022627136	-0.405351097716657	-0.299101042247906	-0.370651924154543	-0.367457959200315	-0.228692376907227	-0.247315769455706	-0.319839803986694	-0.391981117304893	-0.465238368679223
"9276"	-1.18590520027243	-1.02804478646821	-1.24670531054971	-1.03523783864531	-1.0552822155445	-1.29102038338153	-1.18752835790049	-1.09328997910288	-1.35218695975167	-1.28555601455056	-1.31119762647066	-1.19023854303059	-1.19465685941137	-1.01092836106554	-1.24701047055653	-1.16461465869214	-1.35675134503874	-1.09740132101857	-1.19226807588917	-1.01231663815283	-0.980267849942159	-0.959236725079543	-1.19227946569355	-1.40377086167132	-1.5537885492351	-1.30105271578009	-1.1615517415485	-1.04553744543842	-1.10117389502832	-1.27912777752927	-1.34121624285233	-1.11167202434359	-1.40331596567534	-1.38843209836619	-1.57732311976091	-1.3464631992409	-1.36560724618701	-1.23676713891722	-1.3246262647296	-1.02497199550633	-1.13774743750171	-1.17979332461462	-1.21775848614973
"11319"	-1.37379063761324	-0.612991352247686	-1.04547313365954	-1.00360206887292	-0.982082070383123	-1.10657279744628	-1.01401719431534	-1.03508031271922	-1.08937358295325	-0.628302821256918	-1.07524945420335	-1.01000995587869	-1.17932611331996	-1.09266888096619	-1.11909207466589	-0.750143721504394	-0.923754132611511	-1.00946876243254	-0.603041368356096	-0.948822316768758	-1.08724536106362	-0.990425222209584	-1.07767328966601	-1.24454682885761	-1.42520095088861	-1.07479607260345	-1.0199389531503	-1.0228070941953	-0.702595378598354	-0.917505615354823	-0.965301192621994	-0.990069866115943	-1.37397279534825	-1.18641928903519	-1.38513109264148	-1.05787326962583	-0.939630842825057	-1.05816812085215	-0.614597569679753	-0.936527271178068	-1.21719819486597	-1.12123714051281	-0.969998140694753
"8663"	0.349929160178189	0.351715405043388	0.130184320599175	0.25656171655603	0.263725188032496	0.377128628928612	0.311160297095824	0.329490359648989	0.0896814213160893	0.348188485567196	0.248474800372608	0.196291589569659	0.174657202979374	0.239165563400875	0.0728578657105063	0.291306848068614	-0.101744898267054	0.178609686355033	0.487142051997893	0.332653279914201	0.128112690220356	0.0289951021025559	0.128242017577852	0.189978978474122	0.602911774395268	0.31300794212303	0.255456286256219	0.0789325792435935	0.0380455435132757	0.208226421881295	0.23000598752082	0.155677763523069	0.0747822441207695	0.178386937531276	0.153395788947734	0.323927347347979	0.2726506792167	0.215141754792611	0.0145646179042043	0.0855049708913365	0.143567264543279	0.363010779318473	0.252071448686802
"54801"	-0.878975262016967	-0.856863834221046	-0.696872998237789	-0.910887785637093	-0.7807620998056	-0.842820484589418	-0.984527945073036	-0.924368450232335	-0.73571378396312	-0.760150751832873	-0.825440077859006	-0.878689330231745	-0.847868431516836	-0.868387786298931	-0.838526243803642	-0.838938283086271	-0.812104918678468	-0.858817031354753	-0.79438136563522	-0.691432502418701	-0.650074289811729	-1.00796121166731	-0.796326417323317	-0.938094137401422	-0.95460761910928	-0.86692765866152	-0.971615256693413	-0.797529385885228	-0.70963254967064	-0.845312766270714	-0.893143557516641	-0.85502398657047	-1.10121706962764	-0.897762290559119	-1.1818688881876	-0.913130867780245	-0.933795760318898	-0.800046688743882	-0.709347455129841	-0.545759094783187	-0.873728557814826	-1.0385921036843	-0.988692388697773
"57117"	-0.627488260222897	-0.45714660318533	-0.557102981540775	-0.666596486619433	-0.531173217710362	-0.741319353485139	-0.357832791283886	-0.613146667222105	-0.723117945758021	-0.561760840374602	-0.589278003862125	-0.403556045975604	-0.680707839008131	-0.799300086172578	-0.780126432192473	-0.611424146547179	-0.474173922528784	-0.649345027698638	-0.821604751685478	-0.537482533605028	-0.73291148743891	-0.621918831906814	-0.613105021213649	-0.825721563956745	-0.992574002729435	-0.537939743660773	-0.560101502727429	-0.745656804477657	-0.446905558693512	-0.964278835551124	-0.610860023051135	-0.509865413419126	-0.553546017202514	-0.784624018906227	-0.67520612484716	0.846089032918411	-0.550392341551169	-0.482278050994181	-0.473348990362103	-0.763022623488069	-0.57591608935797	-0.509767369131103	-0.609053386695386
"84148"	-0.915655588724753	-0.850761938135873	-0.655630100883915	-0.792682424968861	-0.828420956964388	-0.849178250541772	-0.861808525542321	-0.937177209929296	-0.704431600100381	-0.764125712355132	-0.572448059824918	-0.868224733539245	-0.547348702861826	-0.94194311294131	-0.715751046443042	-0.802450055605799	-0.847769306341604	-0.878576217254852	-0.723176975964638	-0.859292127450846	-0.708305941920098	-0.730993523191561	-0.915306413299774	-0.880147464118926	-0.850063309522131	-0.919006673002352	-0.775493193473006	-0.80795736298219	-0.499813940971661	-0.843674116460497	-0.951536866414234	-0.910357495886106	-1.04086419145773	-0.665936763823272	-0.950838704073736	-0.97644178688653	-0.72574007566211	-0.954938749998373	-0.748260335181037	-0.741920033900154	-0.794862253445271	-0.668088706956466	-0.599198004668732
"259249"	-0.409786884471909	-0.0996676406419349	-0.161369864398509	-0.14009602297752	-0.214292173340633	-0.142096303027315	-0.160680242370486	-0.214598105855721	-0.127194871549318	-0.214455637326711	-0.150506361079028	-0.135135376657161	-0.252133785836642	-0.177859719500281	-0.163007455031914	-0.222089996561514	-0.147225648587095	-0.1563368626221	-0.331787394971286	-0.243952889863063	-0.166344382765275	-0.196005104455133	-0.179565643904967	-0.305824546080705	-0.289676279475938	-0.135839874259912	-0.160877185448325	-0.126520431937887	-0.26893028016739	-0.346510756885003	-0.141165109382164	-0.20312869697346	-0.297711834171953	-0.412556496613434	-0.123228271418213	-0.326481797776301	-0.153498751566325	-0.210282596462887	-0.065468319762281	-0.280358630587461	-0.182982723652561	-0.257210608533591	-0.2785347275638
"8654"	0.102860553498419	0.0941244527115659	-0.0441799510490438	-0.00323160616584921	0.04628179556739	0.0733733942137423	0.00415585616071579	0.00813278367709694	0.0011672519566534	0.00914849120852895	0.0504285007989224	-0.0577659040924596	0.00548194039365834	0.0253333329723402	-0.0688362337354719	0.00424950600043476	-0.143500362910493	0.0491449694831794	-0.0848755571930038	-0.0950270920165266	0.0736739249815289	0.131744763208388	0.0215185787782538	0.223495505746711	0.107079270255382	0.0168352453947524	0.0742895500126716	0.0140688818788862	0.0673256120705325	0.0760574279147876	0.134186459977562	0.0106892737359349	0.128198786382394	-0.178796385293541	0.119146318427919	0.00807594715198764	0.00766166482125755	0.127845925321129	-0.00101486438860861	0.151199687389484	0.024856076364126	-0.0471081929766358	0.00449989198656429
