	"ACH.000013"	"ACH.000052"	"ACH.000086"	"ACH.000092"	"ACH.000097"	"ACH.000138"	"ACH.000163"	"ACH.000189"	"ACH.000215"	"ACH.000364"	"ACH.000365"	"ACH.000397"	"ACH.000414"	"ACH.000484"	"ACH.000502"	"ACH.000621"	"ACH.000623"	"ACH.000661"	"ACH.000696"	"ACH.000718"	"ACH.000736"	"ACH.000757"	"ACH.000769"	"ACH.000781"	"ACH.000787"	"ACH.000799"	"ACH.000839"	"ACH.000858"	"ACH.000866"	"ACH.000872"	"ACH.000912"	"ACH.000957"	"ACH.000960"	"ACH.001001"	"ACH.001183"	"ACH.001196"	"ACH.001283"	"ACH.001328"	"ACH.001353"	"ACH.001368"	"ACH.001408"
"134526"	-0.377562047326549	-0.430181397133489	-0.485830342845751	-0.618270311765149	-0.635233744751892	-0.294409122803096	-0.433332748972508	-0.757178017186245	-0.543330925615726	-0.39319330578344	-0.37086343673593	-0.353276326443814	-0.384101547198841	-0.566174146515078	-0.24808111023119	-0.296852239586665	-0.405222562730781	-0.464967162872591	-0.342829660578481	-0.577299270712809	-0.286171001644231	-0.28691260166335	-0.287212706301471	-0.376792229027178	-0.40160051138478	-0.500659727768911	-0.369286372204039	-0.485807073358446	-0.284874281922363	-0.448060922752184	-0.373156301284255	-0.339154722726474	-0.383503257322212	-0.513608186009641	-0.557868511605447	-0.551977578750825	-0.370493362257434	-0.419014340933937	-0.316024032671497	-0.418913301838781	-0.375604161404732
"55009"	-0.082766889450935	-0.167185365768978	-0.172548495632295	-0.138248339902225	-0.169188233067455	-0.161395991309478	0.0510810604715953	-0.144284655528143	-0.153275108228977	-8.92777372833958E-4	-0.215341286277478	-0.149284004378719	-0.0542545863974499	-0.137083784513215	-0.0874571650240335	-0.13645134798568	-0.125629535704603	-0.144297861019882	-0.135072822163854	-0.23051580733061	-0.118346267953535	0.126183356144837	-0.191432222366614	-0.0451666400149603	-0.111323079872559	0.0190272264235651	-0.18786684313784	-0.118414190509796	-0.0369964061352413	-0.010060552672952	-0.201745221287308	0.0127802909181052	-0.123982305238613	-0.0214069951965256	-0.0749785587709486	-0.0980840414579818	-0.0851129848228881	-0.192680699930974	-0.203118325418865	-0.117002444431276	-0.039589472862622
"401466"	-0.323639282789158	-0.38632497582449	-0.263396574028519	-0.300779464852828	-0.268005847579127	-0.180418822516783	-0.253373837367902	-0.193385077365564	-0.240893295491317	-0.129365755625554	-0.228369714097854	-0.347551213796396	-0.183983407611099	-0.166393524054646	-0.345567110542455	-0.208997184763591	-0.140587277764141	-0.138796791732855	-0.416146694474447	-0.196435850189719	-0.18260885019379	-0.342769337062833	-0.300188777609352	-0.193814847912185	-0.172688523852748	-0.315722525647254	-0.0773788378346796	-0.231707017251097	-0.158324017566198	-0.220997867097194	-0.173888918903899	-0.322731835679325	-0.0923622027180007	-0.323116637669545	-0.136872188588601	-0.204510683865534	-0.427254450497898	-0.263724442197829	-0.123509528526868	-0.114677316500185	-0.140229900798189
"51490"	-1.20072230695316	-1.1206412292621	-1.03397634161682	-1.15850058417771	-1.16354670891769	-1.23141302968381	-1.15890780214012	-1.01360385606842	-1.20231183803141	-1.03147048624775	-1.03528045013792	-1.18138931552943	-1.05036461395717	-1.16654098347584	-1.01023396445878	-1.29804043050105	-1.09899890583957	-1.23521871977177	-1.09637273283963	-1.1587589433319	-1.10591155515375	-1.44746279313254	-1.03699205474869	-1.16265821213793	-1.14468394192319	-1.14408589280309	-1.03479347560802	-1.10609023419001	-1.14207511268442	-1.21005065679379	-1.02987879888437	-1.22234289964416	-1.15804517412918	-0.956673523065072	-1.09086339605733	-1.12147600061027	-1.19513741357767	-1.10333838201006	-1.20479150369337	-1.19889035242934	-1.07526925614943
"54862"	0.0320482238962077	0.0565284918110551	0.0733582412361259	0.0356482873270889	0.106263204013084	-0.00258020960046851	-0.10146832050605	0.102564407526315	0.13305422626636	0.0194102318180897	0.212277377070415	0.210938909664326	0.104109119555837	0.274233577054369	0.15854838296204	0.121031087640353	0.117854209323744	0.0191812461162633	0.0349899441270958	0.0967802180271379	0.112691430465026	-0.00476778625552882	0.00597479268850654	0.0464389571163561	0.201089206681581	0.0706566157106033	0.0897054007952525	-0.0157329452034969	0.11666371913093	0.113005076581983	0.0809720861883712	0.0753290126023391	0.0862367373268954	0.0769556770340477	0.176046679045371	0.275859485901188	0.0239314257479352	0.0752029559146793	0.0399989281526808	0.0976213927470668	0.148911613276659
"3078"	0.0250164603464311	0.0329768118679942	-0.210241968503258	-0.126376790498281	-0.169371786736905	-0.0717653703951604	-0.200872834518846	0.0161873869659679	-0.0383011370515077	-0.0973857243082763	-0.0183316262253215	-0.0549347857823257	-0.176744997920657	-0.256378071981691	-0.0124588556371264	0.0497444207339127	-0.0510941178294513	0.0797384047170053	0.0279471080283564	-3.10525840757231E-4	-0.109622044097099	-0.0242315586453305	-0.0750592086091391	-0.0642666465129382	-0.0599751714351076	0.165458847191831	0.0785865313161087	0.0230351475987156	-0.0391280267459915	-0.120833468814566	-0.0984243545473964	0.0741976080362613	0.0659825488367456	0.0198120921842869	0.057312147079058	-0.17611253149028	0.0339926219527927	-0.0624125237058426	-0.0836298956762588	-0.114226514645849	-0.00900256164866286
"2107"	-1.46604122382519	-1.39489544970431	-1.3492384853817	-1.3967650788465	-1.51311301644257	-1.41709979326642	-1.31181796855126	-1.2372217515319	-1.43190674723582	-1.41236974824398	-1.47018010115785	-1.4455665000809	-1.39652174255717	-1.595485738846	-1.33197380344595	-1.50890046715549	-1.38498591486935	-1.56342450869246	-1.36004870447022	-1.45169678528402	-1.4439050484223	-1.36347158134332	-1.37631219950023	-1.48680380563597	-1.45250212698703	-1.53766565112401	-1.38067530650243	-1.28860481658014	-1.37893217499193	-1.42001942296629	-1.56126867422872	-1.31829982880417	-1.49952788622656	-1.35552359261008	-1.25706238631089	-1.60372231719112	-1.26894493914005	-1.3535165204583	-1.59514099931319	-1.4729498677953	-1.3139023690319
"165215"	-0.186439098374681	-0.255028817305996	-0.152494943808556	-0.178508105908098	-0.156283385867799	-0.19853864220812	-0.0517545000033295	-0.275268821862157	-0.113744898339835	-0.0829325583240096	-0.131996827055651	-0.155899512303709	-0.0768926103138919	-0.148528832375487	-0.137340369515638	-0.164308978697623	-0.108300880617549	-0.0241442000348348	-0.221811479956959	-0.15701339904735	-0.17231136369542	-0.188002995852119	-0.0369130923316951	-0.21277299937009	-0.0370069099351834	-0.213198877170591	-0.229519741328081	-0.121123771958178	-0.166896629114574	-0.210603924492118	-0.185764597477223	-0.295467687605568	-0.131754697400305	-0.0776817753640098	-0.121656542096944	-0.137258469799773	-0.212314739963935	-0.18869152060732	-0.145576453498722	-0.160189905769519	-0.227638671761419
"85395"	-0.224336501479041	-0.346182607767661	-0.324197024324301	-0.262778829419768	-0.474965953570349	-0.249748861448563	-0.354181172997254	-0.192827937561381	-0.531608861111046	-0.295060251336193	-0.454905785478964	-0.498850792998252	-0.459753073454806	-0.457848996058677	-0.426427326119989	-0.279143224082792	-0.332909929832001	-0.378709137239753	-0.417434878719476	-0.302353970321575	-0.295895887617842	-0.287201800650188	-0.292394580799562	-0.313549873465809	-0.417628359173776	-0.373017259380236	-0.235460509258522	-0.334643360365765	-0.208110187572731	-0.335716539376485	-0.276378201384583	-0.129921025120863	-0.179289032723611	-0.2397442230338	-0.49403497314281	-0.221723419239171	-0.392479779977722	-0.253987864511227	-0.358054684251073	-0.312126537843747	-0.331515493260757
"10056"	-1.6858657870358	-1.48169873622901	-1.35106346863612	-1.38293993916727	-1.49699844419578	-1.55529024104248	-1.47410248984221	-1.40644896337178	-1.45062044188587	-1.23374958175487	-1.4499543503108	-1.47578051279006	-1.69128343990301	-1.19173480214522	-1.45827707103718	-1.47142808029335	-1.53198124252325	-1.76223763363566	-1.50250682793873	-1.43905178114105	-1.34621530442085	-1.55917097250086	-1.55721225656757	-1.58483193810671	-1.47827301304964	-1.40206338105248	-1.29853595393496	-1.43593332352882	-1.56979999541409	-1.68719001788903	-1.42376944438989	-1.55606493665087	-1.62253730033994	-1.34763649394511	-1.37220239520775	-1.55857472522006	-1.62711629764692	-1.36842206061783	-1.45800923193713	-1.52531238543067	-1.63438768448666
