	"ACH.000022"	"ACH.000030"	"ACH.000095"	"ACH.000223"	"ACH.000234"	"ACH.000235"	"ACH.000256"	"ACH.000261"	"ACH.000264"	"ACH.000291"	"ACH.000311"	"ACH.000330"	"ACH.000339"	"ACH.000383"	"ACH.000397"	"ACH.000403"	"ACH.000460"	"ACH.000517"	"ACH.000571"	"ACH.000585"	"ACH.000608"	"ACH.000624"	"ACH.000681"	"ACH.000711"	"ACH.000785"	"ACH.000788"	"ACH.000796"	"ACH.000867"	"ACH.000881"	"ACH.001151"	"ACH.001353"	"ACH.001377"
"79026"	-0.191042255815203	-0.113129076906483	-0.0679218279048289	-0.166356847679503	-0.08636078155515	-0.218913808688896	-0.249180311899179	-0.207522403528868	-0.10119645755336	-0.206715164802203	-0.0834317129901857	-0.408039802903375	-0.0463853473773568	-0.248312203608454	-0.196396077468017	-0.176777518914859	-0.163311732750882	-0.110492934962326	-0.122275543698757	-0.153163677068115	-0.123443203522851	-0.215598876084138	-0.205530749126968	-0.100987764461671	-0.114500116909592	-0.0989955360309703	-0.274526864754817	-0.0685888015906913	-0.110998690995033	-0.0930775671887453	-0.254047683602212	-0.209676441225452
"55616"	-0.0971460146266501	-0.0815780835932111	-0.0508602025843592	-0.0671725561807363	-0.0787742797754169	-0.0732063549647155	-0.0814313307576615	-0.0110616912028649	0.0256257770075712	-0.013397091008583	-0.123833760965085	0.0451304056556665	-0.0177529572223112	-0.0908436637922094	0.0111497642073649	-0.0824937703172502	-0.158645153085984	-0.0307454536798831	-0.0785038332345797	-0.0924221789036164	-0.130244417471452	-0.0700673029864783	-0.0764769059002274	-0.0795401921442178	-0.181334001116432	-0.106081670892287	-0.0583975302058842	-0.0249260699992375	-0.059905278466804	-0.0810122795327708	-0.12306419466	-0.0982627402581507
"23130"	-0.382530851259543	-0.225672317458762	-0.189223381119728	-0.325047764798684	-0.203773921552346	-0.265756722859216	-0.505901489263113	-0.290806240330457	-0.286503096344926	-0.313882351704625	-0.28768036442093	-0.348805460619212	-0.25760139427528	-0.312809812650417	-0.35697239134645	-0.119988676760309	-0.216715898514584	-0.154141795311485	-0.260060942007055	-0.411019277011321	-0.299130352011102	-0.223920862965427	-0.439018692957463	-0.234744708386817	-0.189050961770798	-0.351237059865466	-0.269140055914369	-0.216818449232238	-0.288170525133773	-0.113774119809512	-0.227304644567861	-0.312162937425357
"84239"	0.0317091066322852	-0.0339294511478483	-0.0364120840969574	-0.0858871162185497	0.0407681615877139	0.033298874580293	-0.166509034059673	-0.0590381394620357	-0.0376734517178333	-0.0769533900783316	0.0672783469367505	-0.0129402318604384	0.0265007241031726	-0.0447654762309658	-0.109058143685722	-0.0250289142516875	-0.0641565067696198	-0.0654440118360454	-0.0379713737426852	-0.041438037051113	-0.0546037890158602	0.0298273663856009	-0.072220865640496	-0.0213536532408028	-0.0139735397896214	0.0169506042814034	0.00763281883078781	0.0914316543821889	-0.105050460056335	-0.063356698063738	-0.157435151520182	-0.138523732734488
"80304"	-0.0906665214916709	0.096735879244264	0.00259520668765449	0.0558881408480993	-0.0551462031828259	-0.0818813140288351	0.176350580414115	-0.0125010839742375	0.0202295207474743	-0.00458058560445822	0.0613456475354576	0.107467646217764	0.0169091273972145	-0.0409971087177977	-0.0420091242905101	0.0190682645884889	0.07497237565193	0.0452336062315794	0.0252000120439699	-0.0399880562426119	0.0259182833265107	0.0131926950497735	0.0696857589158162	-0.0958418080411922	-0.0714723067985907	0.0198305921607075	-0.0157591335397873	0.0693099760613007	-0.0519077881800942	-0.0347450181270875	-0.37930342521605	-0.0946598972685204
"57010"	-0.232294786553317	-0.328488350362037	-0.350025982348396	-0.229737335912298	-0.269259912384417	-0.267694704604661	-0.422939087025284	-0.316191973904544	-0.235096634442104	-0.218967375234219	-0.0887753324450286	-0.227350040206409	-0.194723978067299	-0.28691952308295	-0.18269021279021	-0.250199119003142	-0.327870223496116	-0.261284536921159	-0.223039699819447	-0.34100537042416	-0.360066246355464	-0.301046595906142	-0.288343775407449	-0.215387891527589	-0.225543407339806	-0.288038980897712	-0.274599018683815	-0.266360532555773	-0.23769529069998	-0.256928614773564	-0.362117304622763	-0.373319017555713
"923"	-0.128091284788982	-0.0900448454725262	0.0138581175925062	-0.145542054993742	0.0303437901747636	-0.146660861981758	-0.321836130144738	-0.097055599533236	0.0302116350870138	0.0944196603665218	-0.0126644271316286	-0.317631016677492	-0.144321801800123	-0.0794845724664129	-0.0572844147819889	0.0513026820121577	-0.194221063171514	-0.0367491366235478	-0.150765854576366	-0.0527722998990442	-0.104529518345523	-0.0665381771881397	-0.168313136942576	-0.0121216782520607	0.0351427537943193	-0.123105794342708	0.0142272726883448	-0.0238385374568436	-0.0584976210235286	-0.0801100059398679	-0.144030595933935	-0.0847406968414599
"8318"	-1.58297088134348	-1.49864814274305	-1.39024481215584	-1.45934267167048	-1.37980093427596	-1.48916178049549	-1.38408207170629	-1.47935594992101	-1.43067009308607	-1.47781548554602	-1.53173697368871	-1.62335453844862	-1.3627095524406	-1.52211839271569	-1.62384180935427	-1.63429850809985	-1.41692184554132	-1.4429305216993	-1.52308993561982	-1.56572908409039	-1.59716491158903	-1.41164196281652	-1.40314298801752	-1.43496955275308	-1.67135634920996	-1.44003029576789	-1.4384894662454	-1.47301114514776	-1.55255580008191	-1.36974305164864	-1.46397097245143	-1.40778779244858
"1050"	-0.219016792475276	-0.278320647797235	-0.30591592755068	-0.263663446762872	-0.31286460609995	-0.229833794386073	-0.275957498531824	-0.211350483921391	-0.226904463635473	-0.26227389176645	-0.137677737837908	-0.358464016186183	-0.284029033590445	-0.249193628864776	-0.484742291528857	-0.319167073334829	-0.220070640957089	-0.262915791108149	-0.25929200599035	-0.225320595525642	-0.329719711470654	-0.271810585433093	-0.269051160032367	-0.334086862509796	-0.370189235661945	-0.240385780047948	-0.262996226576037	-0.342654240717157	-0.123110242809195	-0.218281272105985	-0.387554264825129	-0.309776800987439
"79643"	-1.3163852649413	-1.3463593973156	-1.06500061410249	-1.44128925488295	-1.25193200259041	-1.32868218461765	-1.37782650366284	-1.20733126306476	-1.33612410348372	-1.14656194299264	-1.27423861232897	-1.36379698874794	-1.14931431867971	-1.30142210570086	-1.29383783575125	-1.36595008304505	-1.40871542149454	-1.32139749903437	-1.27295984906928	-1.52929211871586	-1.33354930821671	-1.19369275920365	-1.3601057984467	-1.25755544538472	-1.63038577826449	-1.18463432527071	-1.40430999578769	-1.25991214197176	-1.42603124678768	-1.34626211289625	-1.29097266239847	-1.22654413759654
