	"ACH.000052"	"ACH.000123"	"ACH.000243"	"ACH.000266"	"ACH.000291"	"ACH.000332"	"ACH.000407"	"ACH.000488"	"ACH.000516"	"ACH.000622"	"ACH.000657"	"ACH.000898"	"ACH.000906"	"ACH.000958"	"ACH.000974"	"ACH.001532"	"ACH.001554"	"ACH.001654"
"6790"	-1.11955694154375	-1.16635376388468	-0.830735857209547	-0.953460726895687	-1.11719507471839	-0.904694306955237	-0.915085552705235	-0.996853480671574	-1.10640147411693	-1.06897792263657	-1.0291701812551	-0.972773160899553	-0.920043597263781	-0.870830309010815	-0.980246942003628	-0.9112041249864	-1.0779750314616	-1.0439452610551
"8314"	-0.702992531920814	-0.608569131085199	-0.513863678345183	-0.521331820329333	-0.704144154774374	-0.463619866443354	-0.531696967714151	-0.561229942791387	-0.357363590509688	-0.479962891408233	-0.555119893152118	-0.504300843475201	-0.453862793749082	-0.415316083206836	-0.631481315413112	-0.658784448023605	-0.463684537992141	-0.452387807554355
"80007"	-0.046073826565417	-0.184354352581339	-0.13438342150626	0.0143499363113596	0.0775293710602191	-0.0866375158670677	0.0695400229654691	0.0409453532110178	-0.00366491207828839	0.100796580703342	0.0760949239211412	-0.0332215874906823	0.117313408248575	0.0464077615203146	-0.121734117775832	-0.116735771188745	-0.0297573633279457	-0.0393716034499172
"445571"	-0.519586199361443	-0.543139577617524	-0.467527721402242	-0.576911738483602	-0.564478902896638	-0.576018395793383	-0.6084331896958	-0.514246431329171	-0.518969092929992	-0.689762272749784	-0.567310065905007	-0.60086220582548	-0.595498469815548	-0.50489319677042	-0.489658696685946	-0.607149386306395	-0.508940898291535	-0.558276048263696
"10849"	-0.400388878442666	-0.606474270797348	-0.495265572758723	-0.553387417164267	-0.316894514424391	-0.537645867131659	-0.316460592289375	-0.359287105552103	-0.463040739292785	-0.565481352013518	-0.461832391142905	-0.428558747203744	-0.531027479110379	-0.67164051580773	-0.438421586852505	-0.540278225585886	-0.447469112019174	-0.446681208315153
"8318"	-1.47401709165211	-1.36474764085714	-1.50380681633472	-1.46645261949705	-1.47781548554602	-1.34531513565524	-1.35689901649013	-1.42241798220893	-1.38274194843349	-1.53809068583789	-1.51964521381872	-1.5163257445262	-1.44117661367171	-1.55337415343553	-1.44840230650824	-1.48956989704743	-1.53970839396672	-1.51365403227952
"170712"	0.10538317272159	0.232776715993746	0.171521097654103	0.207228409803281	0.235065704833076	0.176416699248423	0.217498807334444	0.12355120618707	0.111189484668277	0.29166083258349	0.140471636388138	0.0516549048987254	0.103885471200792	0.117902083259447	0.0812230290312315	0.126972820416233	0.193515471831817	0.149768533835768
"83475"	-0.7378586363584	-0.708240852957972	-0.661138482935479	-0.608275243356039	-0.697747122343879	-0.644565549040373	-0.502088161348871	-0.570335597184059	-0.463476628828831	-0.670843217814915	-0.67890246852767	-0.528688454850873	-0.695944478424921	-0.525925880455071	-0.570230763933502	-0.488425702728923	-0.665828920841107	-0.615846710073381
"2730"	0.0435330026711578	0.139327862934443	-0.0030573186263158	0.0232097014185941	0.0639242333121501	0.0184197501568826	-0.0758530206623197	0.115616906112715	-0.0620111843902605	-0.16147266893331	0.0125953068545561	-0.0306160277893779	0.0230436811906777	0.0458784218007655	-0.0757735499575258	0.101845558090663	-0.00465242994969954	0.0392896328338654
"165082"	-0.0609987712445855	-0.190339465216941	-0.147012605383337	-0.0888850640641686	0.0547407395593421	-0.0916685655542822	0.114382600811284	-0.0644584088033674	-0.0944307471925464	-0.15791798908054	-0.0421118110576524	-0.0618680808590561	-0.0850068045148763	-0.162475777398593	-0.162095403363771	-0.141896415206807	-0.0489705643867507	-0.14178512875899
"3737"	-0.0697022325912708	0.0991409843623368	0.00210188107948491	0.0157831681413059	-0.0755393589703954	-0.0421020100509354	-0.0454900713835071	-0.021437562741987	-0.0204507771784019	0.0665466395454869	-0.0495532546645496	0.0181029848511316	0.044601526248925	0.0856144820553125	0.0218830161800907	0.0882767958809184	-0.0340190572839634	0.00217309202383778
"3849"	0.0689885947971712	0.211904934238728	0.0912767799124002	0.119159773499463	0.194896742910884	0.139902774953331	0.108953246275113	0.118742750655706	0.0538424728500926	0.228118858092823	0.127802176759625	0.174472544535543	0.16276669876613	0.0759280618766589	0.163011121271228	0.22709880472751	0.0819488537618844	0.113533836311792
"2956"	0.156747125936855	0.0811468909621845	-0.0516710307620819	0.0101735106231176	0.126774663987114	0.0357367762594254	-0.0586834467333907	0.0728664108334227	0.0861846896316623	0.130479533608268	0.0617265738204719	0.114271411169326	0.0718134700553076	0.0464057871979415	0.097254201453314	0.189378638802002	0.0630075183059431	0.0210266827037039
"51497"	-0.601100864702175	-0.558857120781031	-0.488425298374946	-0.514716905930867	-0.445656314929029	-0.399141105197867	-0.493480839164009	-0.448209054822485	-0.741863634025957	-0.435564029971499	-0.420334665947296	-0.340753440090157	-0.469873325956193	-0.622188561517585	-0.463608878156648	-0.501969871666983	-0.465865951699099	-0.444135779525739
"55200"	-0.0424960384257565	-0.152830205614338	-0.0851444022460648	-0.08875905154313	-0.109934143539926	-0.106846738408813	0.0106095572567668	0.00956256727374216	-0.10770935493314	-0.130501508449586	-0.18300993699162	-0.100796314719637	-0.0486340670056701	-0.185328214379734	-0.0821217962613038	-0.0980104200986725	-0.115769724358981	-0.170702106179251
"10213"	-1.42759098523327	-1.54111086377132	-1.51599610642359	-1.420697814635	-1.48382127714264	-1.44425167809057	-1.36546832178766	-1.37070042312479	-1.445180300632	-1.41584086499091	-1.54810435042792	-1.56854682684025	-1.50410487551855	-1.43258378757253	-1.53341734364664	-1.53923023049017	-1.63626216756562	-1.53316022634847
