	"ACH.000013"	"ACH.000017"	"ACH.000021"	"ACH.000036"	"ACH.000040"	"ACH.000042"	"ACH.000053"	"ACH.000054"	"ACH.000092"	"ACH.000097"	"ACH.000123"	"ACH.000132"	"ACH.000143"	"ACH.000159"	"ACH.000198"	"ACH.000222"	"ACH.000226"	"ACH.000231"	"ACH.000233"	"ACH.000235"	"ACH.000237"	"ACH.000259"	"ACH.000261"	"ACH.000266"	"ACH.000272"	"ACH.000277"	"ACH.000311"	"ACH.000312"	"ACH.000323"	"ACH.000337"	"ACH.000363"	"ACH.000364"	"ACH.000368"	"ACH.000383"	"ACH.000390"	"ACH.000403"	"ACH.000410"	"ACH.000425"	"ACH.000444"	"ACH.000448"	"ACH.000452"	"ACH.000454"	"ACH.000458"	"ACH.000466"	"ACH.000467"	"ACH.000471"	"ACH.000475"	"ACH.000476"	"ACH.000488"	"ACH.000496"	"ACH.000510"	"ACH.000517"	"ACH.000524"	"ACH.000537"	"ACH.000542"	"ACH.000552"	"ACH.000556"	"ACH.000571"	"ACH.000573"	"ACH.000584"	"ACH.000601"	"ACH.000616"	"ACH.000627"	"ACH.000630"	"ACH.000633"	"ACH.000637"	"ACH.000647"	"ACH.000673"	"ACH.000683"	"ACH.000713"	"ACH.000718"	"ACH.000721"	"ACH.000753"	"ACH.000760"	"ACH.000768"	"ACH.000770"	"ACH.000773"	"ACH.000777"	"ACH.000784"	"ACH.000787"	"ACH.000788"	"ACH.000796"	"ACH.000811"	"ACH.000827"	"ACH.000832"	"ACH.000841"	"ACH.000846"	"ACH.000847"	"ACH.000849"	"ACH.000859"	"ACH.000867"	"ACH.000876"	"ACH.000881"	"ACH.000882"	"ACH.000901"	"ACH.000906"	"ACH.000911"	"ACH.000924"	"ACH.000932"	"ACH.000948"	"ACH.000968"	"ACH.000974"	"ACH.001028"	"ACH.001038"	"ACH.001096"	"ACH.001151"	"ACH.001228"	"ACH.001328"	"ACH.001336"	"ACH.001353"	"ACH.001377"	"ACH.001554"	"ACH.001745"
"199990"	-0.324882336439363	-0.399038685433427	-0.297709605548705	-0.575694475751241	-0.616525199389084	-0.34731417981246	-0.223988409863926	-0.341571712977367	-0.318963005380024	-0.325019041824726	-0.275077737150064	-0.506673401770913	-0.473444629820781	-0.441653275235837	-0.196569345602939	-0.374814599606788	-0.371497100698297	-0.372399523610866	-0.366282754413381	-0.289168144420919	-0.495136706316011	-0.385929340887167	-0.316509584059094	-0.396777595593697	-0.355275693463964	-0.45433705644712	-0.523722829084898	-0.47488779068833	-0.40699515902364	-0.243111341647768	-0.35061016348375	-0.471793024427236	-0.383719731650632	-0.288455721310827	-0.206358394232459	-0.322665025308844	-0.364958716357465	-0.414323466111857	-0.351230430583484	-0.262521357755235	-0.280452312256167	-0.276372233466042	-0.337875987995553	-0.553748162262061	-0.380494804152413	-0.372424545860063	-0.319502296643343	-0.386196773801611	-0.340032025629622	-0.373529067733124	-0.286763635451428	-0.242662707880728	-0.349610208576516	-0.397721086072846	-0.310887603528524	-0.252881876539402	-0.214953137861588	-0.211105705777967	-0.306499755891921	-0.387341276360836	-0.492294954955952	-0.382061294139805	-0.409978512048924	-0.384151930373707	-0.568310252254933	-0.359476232502632	-0.341136379112882	-0.277016754102447	-0.445806889054393	-0.392224005404423	-0.330847170769863	-0.334083964451048	-0.301471776883201	-0.301210490462409	-0.426697255884818	-0.352408987440079	-0.350282938107422	-0.387043193422004	-0.353441804054449	-0.337020467464747	-0.304468250765296	-0.362355888783347	-0.299171897970243	-0.486709459672855	-0.392747606776231	-0.480452516350605	-0.236724180918669	-0.31746117610158	-0.382476425560253	-0.266580614820171	-0.243900859859787	-0.313040176438869	-0.339792547653294	-0.271404922261721	-0.456281565889057	-0.185604030788818	-0.253059557934802	-0.390910960104723	-0.284162643659909	-0.248449245952204	-0.475499149625518	-0.253623053724349	-0.328076972156302	-0.270809572348714	-0.229896749297774	-0.215721053012514	-0.438827941811271	-0.375996421444867	-0.25429451264951	-0.272957327814725	-0.314477321030465	-0.216117289240705	-0.307194237506271
"10645"	-0.33587566077429	-0.290874660774789	-0.367018409204395	-0.185507588559983	-0.351162480222164	-0.329349506937004	-0.250314692778054	-0.258769526728803	-0.274158104677225	-0.230949120857582	-0.174613991694063	-0.298327604137833	-0.369334830076178	-0.163796656697615	-0.123658030303831	-0.27046317239304	-0.32630611061589	-0.271416436032509	-0.144610034817454	-0.278327339942999	-0.221609396738323	-0.382669338702713	-0.204870907387863	-0.262090538488625	-0.154806916354493	-0.260289342466492	-0.203197853447804	-0.244794950456761	-0.392620252135398	-0.420030842531787	-0.143669287473786	-0.249992096751524	-0.316968316304286	-0.230076951184887	-0.326912270719402	-0.275054993155562	-0.259371639609884	-0.30838825943696	-0.401074606544763	-0.174563226424886	-0.30678411108723	-0.178138387415704	-0.220995744911114	-0.237281805685175	-0.12318682807004	-0.290898727583168	-0.288046865575676	-0.322622777642963	-0.18769144175698	-0.281255480037282	-0.219197664257272	-0.287707062093461	-0.306097387939365	-0.228829917783105	-0.24515875219216	-0.263879512392108	-0.353981787413892	-0.162334986239653	-0.257306852168747	-0.291802094357544	-0.230699526086331	-0.146556335760255	-0.31663245466545	-0.326815100924212	-0.240202783758002	-0.211273131341461	-0.308738842098748	-0.262222377195526	-0.254761610592072	-0.242824194266806	-0.301522773563417	-0.131960800543796	-0.274558202728471	-0.278531541225992	-0.325868551234298	-0.136773530221978	-0.323075623712803	-0.170949479480845	-0.224299992807422	-0.19075483230894	-0.243874920722767	-0.187460358713831	-0.34991939484243	-0.3317423178014	-0.273890251608805	-0.167095638454751	-0.259187238799347	-0.353218674957425	-0.196352424556362	-0.116894322636897	-0.213276675179544	-0.176449197411004	-0.193658123666736	-0.188278667107302	-0.253492723240361	-0.353863366084277	-0.225377786155797	-0.291425912131371	-0.242745688415062	-0.323343924691749	-0.0993027400415057	-0.193885292606369	-0.281639735386758	-0.323018792686586	-0.205065488938611	-0.301462253052677	-0.302678814807377	-0.320781032287764	-0.17609249360158	-0.278404730417824	-0.292767898449435	-0.226093260379079	-0.271865785390156
"6320"	0.0161147185483037	0.0915831721587632	0.102544198520824	0.141036030238071	0.181199414891549	0.064599810048798	0.020729240104629	0.146884545666612	0.00698339436767467	0.129271464105975	0.0346346228106756	0.202803083893662	-0.00592398424552827	0.0738635807933289	0.156017004824231	0.123519510170984	0.128007214070702	0.091283128029925	0.16983893198373	0.0338443157314358	0.166050047856266	0.1306508171774	0.0619923947595398	0.131034150803184	0.102652113348463	-0.0014057197465205	0.0555788919363362	0.24765268996252	0.045052309211167	0.0511430233806243	0.0829442934529335	0.150114779864639	0.233189283861265	0.0148427589067602	-0.0989855268651114	0.0435957936677505	0.166441356347655	0.141281203082815	0.125504844269168	0.162246873948276	0.122661376800367	0.276509179687674	0.0198455727148941	0.039437504321473	0.0959867859572293	-0.034954041619841	0.0915353539130403	0.020854587344918	0.127123341256071	0.0645750986206514	0.0528932368494318	0.04393646161143	0.0472296636660974	0.0471089571988866	0.154273106301954	0.051808118891178	0.0107267587828829	0.0504944588761761	0.120381453602564	-0.0728962248488977	0.17420753666887	0.0134252968190661	0.0836063013398184	0.00432156921609109	0.113773652700445	0.114404489998374	0.10559656685204	0.13559754994058	0.0492653850856869	0.0921182642894975	0.0920559851876669	0.0971981915470411	0.151891287855016	0.155649913641772	0.0704058802908141	0.0697488644332516	0.0666562392679367	0.0757685671137031	0.044600373403966	0.030386082122303	0.130813542374021	0.0846894795955603	0.102345720073049	0.154215131198927	0.14036995627965	0.0820337855817996	0.0437679712556649	-0.0193769504840131	0.0474221342053547	0.223809321799422	0.0677695139779169	0.154133754213003	0.0481419030499249	0.13002434487432	0.0307932346625322	0.0145743048996721	0.153030469480777	0.108503993732475	0.0668904578098139	0.0772244004623674	-0.0214860014342497	0.0550799137369032	0.177122481840275	0.0957738050533246	0.101358157733459	0.0174051649604085	-0.0617515327012002	0.00962218461611212	0.0539926791449861	0.0709190671271376	0.0779179945970372	0.136496222447221	-0.0426781462479667
"1580"	-0.100872260015985	-0.120585564164748	-0.103205398965722	-0.0750179598557516	-0.205525606175437	-0.188691810617269	-0.169191515337778	-0.207839115587651	-0.202733669318322	-0.161141525549481	-0.023572773937797	-0.209221694383705	0.0127844828728493	-0.100327630357496	-0.206392169114069	0.021727968684277	-0.225415466994327	-0.0965591663951794	-0.110474731061124	-0.178159855594468	-0.298797063874762	-0.164114412197823	-0.122895915477781	-0.0908603612909879	-0.272408053177305	-0.125937666277488	-0.193332587800863	-0.200421321016203	-0.285374065945409	-0.132649456780956	-0.141206310196286	-0.285066984268162	-0.227115750976493	-0.175502504343039	-0.123279622551557	-0.148274182096201	-0.152673717340304	-0.202498693063588	-0.113600277606092	-0.0802413378082806	-0.0539468265745405	-0.286092724291937	-0.14185872356388	-0.0238269685865971	-0.0554799248213069	-0.0717134898719111	-0.221646487153165	-0.181472518724796	-0.0922480991207065	-0.306135225303234	-0.0326858240745251	-0.221921635612758	-0.0755575157013496	0.0672615973137939	-0.229971063011325	-0.0160663115328441	-0.0719960125342068	-0.0839545815565923	-0.147931727421107	-0.0915447943350431	-0.0821430342190779	-0.154060775437439	-0.203090978204686	-0.0530459176752815	-0.0496651009015579	-0.189611235640565	-0.101077141925029	-0.132694354341141	-0.205613471783147	-0.117531843185925	-0.139245060974309	-0.059929433631951	-0.13705567062809	-0.329038270549847	-0.0685200222571816	-0.218104259301619	-0.0485376804517421	-0.16627320566034	-0.105106378490343	-0.122040958303412	-0.0650126373802592	-0.0966136894300912	-0.135145821563154	-0.233652672488986	-0.227775661435047	-0.0406567743743578	-0.155422174583523	0.0133449257164337	-0.2219046747662	-0.104311950948681	-0.21678739067867	-0.117878486660814	-0.209106271655441	-0.00180710443779391	-0.0952424172887971	-0.174711178586938	-0.0558846574616233	-0.0315557633294235	-0.113203239993713	-0.1692084382955	-0.121260745895174	-0.0402356817743165	-0.0940322163134955	-0.153216689381591	-0.120249837236696	-0.234975398992581	0.027537733849326	-0.253749068830864	-0.136373227852176	-0.140093133073129	-0.0438454131313806	-0.00685047203324808	-0.100251402703554
"1662"	-1.00375945827351	-0.889111647650564	-0.956708525926399	-1.16222335396085	-1.10756298132749	-0.982685148709351	-1.07160444830835	-0.973607533658302	-1.01194877115548	-1.17870806660165	-1.02721445931733	-1.03087753080944	-1.06088145572138	-1.132429451057	-1.15779155995046	-1.00897126882018	-1.01847642401387	-1.11254952316583	-0.989356873412519	-0.94310722104484	-0.906483592505425	-1.13118237163874	-1.03532005038329	-0.940630124215022	-1.01847940477502	-0.785421367343529	-1.23202572654457	-1.14808641980394	-1.08368308445069	-1.16438067455735	-0.895413805032164	-1.13302687776693	-1.19006657055503	-1.10834196508924	-1.1637859691645	-1.11111814443684	-1.11461088948937	-1.20035444117115	-1.18599848269324	-1.00669666609298	-1.15461117523293	-1.01875754815453	-1.11367908426382	-0.836201445475887	-0.934650671267227	-1.15436020165409	-1.04844409174656	-1.1940905365142	-0.951436098987497	-1.17809347491195	-0.940438052793679	-1.10867301055741	-0.935628004579398	-1.22634344008246	-0.937024064496417	-0.978747192108117	-1.03405624152893	-0.985197015484328	-1.11918517537007	-0.995062479204387	-1.08337547873805	-1.01171448565545	-1.10673108707008	-1.08696872602395	-1.04819901245284	-0.887882763651189	-1.04882816031465	-1.13553203392606	-1.13708339084514	-1.06207872029941	-1.05376659093978	-1.25847895631639	-0.986075624268966	-1.09637933720919	-1.0379647804579	-0.982625016618397	-1.12476778600849	-1.10867893728303	-0.96386568346151	-1.18924083187438	-1.0518593028615	-1.06167964411614	-0.978532765126422	-1.00668004635494	-0.99883451190772	-1.04118303525702	-1.26638988040017	-1.16574820670373	-0.787321588830133	-1.00794017402207	-0.985862228375809	-1.1233173665163	-0.95136790943678	-1.04988674853323	-1.11577001951684	-1.2334503135143	-0.803218161730338	-1.20798692014039	-0.875763605153456	-1.03608979906249	-1.10661475246164	-1.0663996809634	-1.04661699036737	-1.02019414780681	-0.981879377682775	-0.954999178012594	-1.12029201982049	-1.17844873818275	-1.02282745933476	-1.05032866758678	-0.97033492242446	-1.08606673485418	-1.04347716041584
"29909"	-0.00891915736360972	-0.0874413288566287	-0.135679680523205	-0.0661033759509597	-0.147953611339547	-0.0985067588127552	-0.114927328226517	-0.160435407828277	-0.210173390492949	-0.0483606080176585	-0.111557970040715	-0.101852656963464	-0.06657378562886	-0.0875517548330101	-0.235511280168787	-0.147561688453643	-0.188151232176714	-0.226021611272709	-0.112775682488037	-0.163103232439887	-0.150882715969986	-0.0897032818008926	0.145208173797462	-0.128013427369605	-0.115688995559086	-0.0855515277163611	-0.224432857498793	-0.0768893658527619	-0.146682763505783	0.0931363784120171	-0.105949037999766	-0.154105857365065	0.00307388825438346	-0.12717530185449	-0.109910696150004	-0.113623580942196	-0.206084298061654	-0.0218279771672794	-0.168572924534544	-0.118603229654211	-0.160272629812841	-0.104526277097162	-0.115739275133504	-0.0931426072398955	-0.0482666444043731	-0.171393757713453	-0.0920289959413383	-0.205165123564132	-0.111877515253557	-0.229275884569349	-0.0640021004214608	-0.11376248715219	-0.0935451344125526	-0.0598236292671978	-0.159627996009299	-0.164441359969393	-0.129393901696137	-0.123547023168423	-0.141136720959487	-0.13263906494096	-0.124650313227741	-0.0211701474052331	-0.133968697668896	-0.193492537539273	-0.14435215959926	-0.0451078799300113	-0.0615414619002084	-0.144650058664675	-0.0922197611368941	-0.133339760010481	-0.170127906752923	-0.106341981960925	-0.152257927106828	-0.141329575209257	-0.116844357633115	-0.150180430951125	-0.0889802864448281	-0.122884289270591	-0.164990687067112	-0.155583103112032	-0.125605298975298	-0.165000436673221	-0.087734725027307	-0.0814223264429208	-0.137160882659393	-0.0357440715801506	-0.291704305298607	-0.0783232757880133	-0.114078222369352	0.130478193849333	-0.0859558768266128	-0.0449180069712748	-0.100168698616929	-0.0790043823646818	-0.1960729025331	-0.168681339425364	-0.15970408326803	-0.147967431756163	-0.143695707822059	-0.0715650385738497	-0.0245135947335935	-0.177840051960484	-0.0839032846080228	-0.0807630584975031	-0.102241378186354	-0.113128258891929	-0.149454758288391	-0.0595217684791477	-0.0488307831098625	-0.173563550249307	-0.0347168782611978	-0.0574029594678864	-0.0811060077887376
"3840"	0.131942284200136	-0.0443406762144569	0.0446510533704553	-0.114199162203401	-0.064736745612287	0.120993899187095	0.110960213451155	-0.0359733906339662	-0.148922600862412	-0.0387445423490569	-7.47414565279589E-4	-0.0357511335650395	0.238137146635596	-0.0897124641537732	-0.0798415937354685	0.0521114832124287	-0.113503303815747	-0.163608765505483	0.120843677128972	0.0326891240453267	0.0766075026468006	0.161527217207315	-0.0791110856321029	-0.0107047847155988	-0.0927448827003874	4.52619045609829E-4	0.149068823374078	0.107557639298569	-0.176138585344305	0.154930972319401	0.0868169939085903	0.0451426135862327	-0.258660993292882	-0.0483491212474956	-0.0579485540434133	-0.00246457299208138	-0.00545951735254684	0.0248553971624043	0.122318568907035	-0.0213738240597001	-0.0535738478137331	0.104559331711177	0.0536761612284941	-0.0121052621608341	-0.171472961827414	0.0373121817485696	0.0827969553535555	0.058976389186233	2.04224386093982E-4	0.072534654799466	0.065824979637271	0.214708649871119	0.13169692383928	0.0360260545589899	-0.0559020532231071	0.00425888085617311	0.0462458682213442	-0.152418977150409	0.0432401378386409	0.0265449451325343	0.0818870828249264	-0.0345892101432902	0.0317830734429055	0.0352740925598616	0.0923785629475191	0.0342043061389837	0.0284488760182107	-0.0405034956974279	0.00374235370324468	-0.138615671795392	0.168968188606171	-0.00672120716555969	-0.010934753009499	0.0912778724406306	-0.0176229742238062	0.0649285369823659	0.0330986676893905	0.137642733358714	0.0686898148768939	-0.0545105808713815	0.00636125482840528	0.092428748120888	0.108476933155759	-0.115266636124405	-0.0759875361583827	-0.0852004479281324	0.00129951683851729	-0.0937266907082062	-0.163240608929546	0.027584533933347	-0.122602940575745	-0.0941694173307173	0.202336943049346	0.178043248658887	0.0208161783998753	0.10914727318336	-0.0321328438997059	-0.075896051492164	-0.0404921488198841	-0.18042378968266	-0.111286611841754	0.0534342172137557	-0.0327635406434635	0.0268068803484834	-0.0196169070118448	0.0448083491151582	0.0984246390386785	0.212759057867254	-0.229094539070436	0.020918577099099	0.07513001459931	0.00589869193536542	0.0463534939335709
"22953"	-0.151479884513702	-0.115670967123592	-0.20730360986421	-0.163757348447258	-0.370798668928847	-0.120797096683212	-0.0937869554037327	-0.224362495706306	-0.313144725978654	-0.255511773895209	-0.229710285320808	-0.265511832032844	-0.0368574032012674	-0.0797583316952973	-0.0967334885981248	-0.200840968475365	-0.211586468243657	-0.224964498974921	-0.314570790290515	-0.181473102897598	-0.173014684615872	-0.219410887229678	-0.205862310132168	-0.221696356195172	-0.135766600459153	-0.0705431904674466	-0.0773920572164196	-0.268065773930304	-0.276648485931315	-0.177842939690919	-0.266642184585878	0.0490133717037235	-0.445267805093855	-0.130009154402873	-0.200194850254862	-0.172099308929521	-0.189420268434297	-0.139373528856222	-0.171407720492234	-0.153886192790853	-0.152904757581612	-0.108371233441579	-0.143005467224868	-0.114193174207241	-0.132769040887567	-0.302653718161192	-0.103874343432615	-0.25776281761463	-0.14407549792693	-0.259437807994334	-0.158459617943619	-0.199691662424127	-0.194141145136128	-0.207754051094928	-0.248529761802946	-0.211160327923546	-0.26427560477698	-0.173038924638406	-0.18848723765031	-0.104530132490746	-0.31975171404203	-0.268425264376874	-0.201039881216184	-0.304785631756441	-0.169895546463708	-0.0969572133833405	-0.16229215017777	-0.240797886169409	-0.257895052959831	-0.118313555350026	-0.334482994048791	-0.218522171093312	-0.236634232552859	-0.145554266836187	-0.105107083325383	-0.169336645869774	-0.260244461646462	-0.118120725395635	-0.0826392524990937	-0.126122385725022	-0.182437820913903	-0.241221885120052	-0.190212382221052	-0.0735066413722284	-0.116873865795254	-2.29973398364925E-4	0.038594428098721	-0.167533258225136	-0.0635842841173547	-0.2197740832213	-0.212335850926014	-0.19745899507063	-0.0978549735740594	-0.140319982028599	-0.386338844252443	-0.211525271110114	-0.28768726037924	-0.259520947511836	-0.158648580302733	-0.170718823814841	-0.0953645660563701	-0.240655593077441	-0.254353277485317	-0.168355604773095	-0.260411474187509	-0.150900859743684	-0.0850433802189651	-0.292509072526457	-0.182704763921786	-0.225443432744423	-0.032266354101599	-0.165358914630471	-0.215642517503093
"5441"	-1.93230716109839	-1.73322839512651	-1.66905836371067	-1.53907346646957	-1.45267843023128	-1.86442404173544	-1.55260921317383	-1.57822678314709	-1.47869437877029	-1.73283344567903	-1.60321566112591	-1.45913485364875	-1.72750299221837	-1.71532864489254	-1.61008845326322	-1.60799778562256	-1.74567888148824	-1.40806567727181	-1.83345182938148	-1.64700870700582	-1.53807187131822	-1.9725373447198	-1.58332217305172	-1.57323859567071	-1.5803234552387	-1.36734054929938	-1.89589386722024	-1.50714072718227	-1.65646549070336	-1.80313401869562	-1.64561575761225	-1.61261045017386	-1.35144435676901	-1.60058436364279	-1.90689641994112	-1.62975473321848	-1.59698767837888	-1.58010548510672	-1.40030375568286	-1.42181067435032	-1.63340209406444	-1.72186856385297	-1.63477461896932	-1.70706596512475	-1.52515680739321	-1.53599382929674	-1.55610829442494	-1.62946560180965	-1.57230722878207	-1.80649830327696	-1.56812506886738	-1.68238392182258	-1.68987743273488	-1.60622463535304	-1.52461380936853	-1.51932927176838	-1.57589572866786	-1.65232454216955	-1.61890649446658	-1.7791782585886	-1.58253834804792	-1.55339971780197	-1.3087942508259	-1.52001344371381	-1.71735355323134	-1.69119285862054	-1.60142346070488	-1.37567754669511	-1.72372194224297	-1.57983234573858	-1.67735953898242	-1.50898681638708	-1.75704143315625	-1.58187372985828	-1.6439632037439	-1.68619197443832	-1.63495591906882	-1.59027071925	-1.72362022692572	-1.71457937795329	-1.62416737636608	-1.7007780439511	-1.48237494420129	-1.6248976746877	-1.64115200250252	-1.78706352694377	-1.56147597587964	-1.61353944787169	-1.66589761276859	-1.53924359590703	-1.78240436854371	-1.73140993793492	-1.77000928266861	-1.52844651633222	-1.82713134124635	-1.54063390125258	-1.57193217371779	-1.42782140866296	-1.59389541429819	-1.66887530918323	-1.61022921667414	-1.38235569035044	-1.60434621203183	-1.67821157838595	-1.70472095343501	-1.6081004510669	-1.8384189690469	-1.49211595906939	-1.66913939486048	-1.45673898151122	-1.68608349696372	-1.59575667563835	-1.68545321301399
"5715"	-0.361474542925158	-0.463656856881249	-0.542510787277887	-0.323136254844567	-0.519981346808847	-0.400021398696623	-0.305348510713797	-0.312853508286572	-0.373890797160859	-0.395748840355543	-0.236306995985236	-0.413087492448766	-0.301678214548441	-0.34196819445522	-0.431595479363315	-0.291365118129404	-0.405703865371666	-0.327492332948662	-0.464716965436868	-0.306401079008767	-0.452025530905433	-0.415905927458107	-0.292016357079547	-0.356319621890864	-0.261934725237673	-0.491692459682344	-0.189330526860127	-0.504367391431003	-0.321841245711169	-0.435036618912099	-0.462596751621253	-0.299708735961252	-0.451123014127014	-0.267942030089122	-0.442305372702167	-0.456291277184859	-0.41106378165646	-0.268274900417389	-0.495673476670102	-0.360740635941418	-0.337287227696055	-0.523714929722446	-0.259969605022826	-0.290157425351794	-0.295970405468242	-0.291171607074595	-0.43392593858727	-0.29324308187465	-0.297756038887356	-0.417756410702085	-0.246200733906036	-0.496501559113057	-0.257798342083062	-0.190277485195865	-0.385296992685368	-0.286687041585502	-0.378072161008394	-0.264379166380122	-0.385099769826584	-0.28043492783548	-0.373876067050388	-0.373616571027378	-0.439837333548272	-0.270546218022328	-0.481103755753044	-0.464986752123302	-0.349338605457722	-0.295369187670348	-0.37814525190558	-0.375618737120713	-0.300494120096004	-0.230188179784598	-0.310103998437377	-0.396086696090567	-0.507358684371687	-0.536469638728461	-0.375405847426332	-0.462170110648876	-0.251589547732442	-0.276935189985384	-0.39079912207173	-0.272377095055619	-0.277127245392375	-0.446098936715408	-0.23566018418071	-0.34454483798979	-0.407613026710872	-0.460019019039293	-0.265937815310465	-0.331734949203913	-0.41784807986559	-0.235714838885301	-0.302391172140861	-0.497965710254552	-0.503925388140387	-0.415913316401749	-0.334918266624882	-0.282364434156703	-0.333199549020042	-0.548166671533908	-0.406773322955067	-0.349907245725006	-0.312588276383274	-0.480904838104264	-0.299022422801386	-0.448410687662223	-0.432815494908662	-0.498343220370469	-0.43240748424256	-0.382266481189728	-0.422778252855648	-0.467172417295624	-0.493724958530143
