	"ACH.000018"	"ACH.000060"	"ACH.000138"	"ACH.000143"	"ACH.000160"	"ACH.000169"	"ACH.000188"	"ACH.000190"	"ACH.000223"	"ACH.000231"	"ACH.000237"	"ACH.000258"	"ACH.000260"	"ACH.000263"	"ACH.000266"	"ACH.000315"	"ACH.000318"	"ACH.000319"	"ACH.000331"	"ACH.000348"	"ACH.000375"	"ACH.000395"	"ACH.000408"	"ACH.000415"	"ACH.000425"	"ACH.000445"	"ACH.000452"	"ACH.000458"	"ACH.000469"	"ACH.000470"	"ACH.000483"	"ACH.000488"	"ACH.000490"	"ACH.000502"	"ACH.000503"	"ACH.000518"	"ACH.000520"	"ACH.000548"	"ACH.000549"	"ACH.000573"	"ACH.000584"	"ACH.000585"	"ACH.000606"	"ACH.000618"	"ACH.000624"	"ACH.000637"	"ACH.000638"	"ACH.000693"	"ACH.000694"	"ACH.000695"	"ACH.000696"	"ACH.000760"	"ACH.000768"	"ACH.000770"	"ACH.000776"	"ACH.000784"	"ACH.000799"	"ACH.000802"	"ACH.000805"	"ACH.000817"	"ACH.000823"	"ACH.000832"	"ACH.000835"	"ACH.000837"	"ACH.000843"	"ACH.000865"	"ACH.000912"	"ACH.000913"	"ACH.000936"	"ACH.000973"	"ACH.000986"	"ACH.000994"	"ACH.001336"	"ACH.001550"	"ACH.001654"	"ACH.001745"
"103"	-0.375126666262127	-0.423065784187899	-0.553612050723678	-0.27847669502666	-0.690709043519887	-0.366166111161772	-0.623288740468665	-0.439012354906319	-0.673200732401895	-0.761415423505427	-0.541012959203689	-0.161171208803923	-0.496670615569145	-0.540521619515822	-0.578627730996019	-0.562935272631	-0.48746109958963	-0.55365107524574	-0.432639631146274	-0.231854252208712	-0.24688013822532	-0.553341617423014	-0.611847652886997	-0.305255100656302	-0.480556128514962	-0.636939850949255	-0.42572403771324	-0.681354741884152	-0.71017380366176	-0.474882031835491	-0.321733094984024	-0.523899894586781	-0.623814182508457	-0.423375946298204	-0.512491106341885	-0.643068769041352	-0.494671250536772	-0.889172092835202	-0.545754747209442	-0.682264901890543	-0.419382232984124	-0.742266048496447	-0.729493369969125	-0.561109286040789	-0.759685548649592	-0.505538338765075	-0.515190981995942	-0.621973601292457	-0.655214138053368	-0.415825204963688	-0.593255898987607	-0.80021276294014	-0.453513370686657	-0.6133079966892	-0.65105079251303	-0.872746252351028	-0.448737007360486	-0.42963433527712	-0.308616747074183	-0.330824155244894	-0.784267920558945	-0.546517506267326	-0.355812421551939	-0.519385238914946	-0.718619023730877	-0.525065325858434	-0.382362473062331	-0.850067276586784	-0.651795063167525	-0.506248966198366	-0.607473316146418	-0.32925407291318	-0.855644891625334	-0.643842657366583	-0.643173573741955	-0.273299685339726
"701"	-0.972381662040091	-0.918359947663013	-1.02292596618181	-0.860965821673627	-1.40654770603942	-1.14275221602949	-0.882721493976013	-1.22925876478153	-1.25260759219856	-1.06892610028768	-1.15862918913786	-1.13609081915145	-1.11827574978164	-1.44344305915102	-1.21618353459218	-1.27124031468502	-1.14406840386769	-1.34728181855478	-1.09199053181241	-0.982658067205868	-1.05839421085021	-1.48702111087913	-1.21908587969972	-1.15383621672066	-1.19892172375647	-1.0179733426966	-1.35782479001792	-1.0145950412747	-1.12206966165978	-1.83993954304195	-1.20004509464519	-1.0789947502028	-1.03301713855224	-1.18245783610134	-1.35802535635381	-1.20419073253873	-1.30296497378818	-1.2232715236897	-1.23593455912839	-1.14859685296603	-1.15664321569514	-1.34091065730792	-1.05507410890335	-0.935890052045606	-1.04585813142343	-1.21450666160492	-1.07458557700084	-1.17799293481211	-1.17657705978238	-0.853359257548112	-1.20366073692445	-1.31897086333282	-1.14371898902936	-1.14002486049438	-1.07716721290165	-1.2168846956946	-1.07259514758413	-1.26959523090949	-1.31668505707142	-0.994117100099257	-1.31506709939085	-1.04251305929003	-1.15062258700317	-0.927645742084055	-1.04945707158029	-1.15137728036097	-1.15479281742267	-1.07275776358296	-1.06914559329805	-1.11463548694387	-1.09538821530016	-1.18760584804052	-1.28802232139159	-1.39468810811486	-1.12270336668288	-1.06899845868872
"389073"	-0.0943553383284752	0.149729504791519	0.068889430739682	-0.0374369932066973	-0.0248887852918829	0.0784998997883251	-0.0273774786951638	0.0472638074088268	-0.10443698177129	-0.0361121348026575	0.0132671716760713	0.0408462547151607	0.0551722986239006	0.154071849322744	-0.0400995597525236	0.114786496137271	-0.149533771839691	0.0930927266204544	-0.00864655893442537	0.0213563264430009	-0.107321925361536	0.0220815541840913	-0.0204927906488578	0.0476135732729437	-0.0943952483813481	-0.1897030656299	-0.00253167463793766	0.145920110570184	-0.0936314937107328	-0.0503527148389892	0.0247323468717455	-0.0277770990468733	0.0560524262244776	-0.00952734460490476	0.115851516850233	0.0336232736935051	-0.0542631697662134	0.0391284750479172	-0.00392108132833276	0.0176098654241926	-0.042432199444194	-0.00366334118826691	0.042791080284005	0.112966982720646	-8.09989584207172E-4	0.0203612314478539	0.264062841660274	-0.0466067312957138	0.00670999772379895	-0.129029107578365	0.063510517751885	0.0123577635992752	0.0242634846933472	0.0403648863008506	-0.0452605231296567	0.0585000203437079	-0.150489700286466	-0.056354588029831	0.019521580455729	-0.00895115448303142	-0.0380046680763303	0.105132234281518	0.0592017980213183	0.0660994834013343	0.054629347672329	0.026178832085638	0.0502681718870271	0.102803305270918	-0.00402834671592971	0.0113247674188404	0.0458927059829323	0.0571271146121924	0.00125136359801776	-0.00517224237894388	0.124065792626737	-0.0358251860842539
"51759"	-0.528959386207364	-0.568977684838554	-0.588924647254287	-0.611627570026991	-0.627863787970055	-0.505129075771552	-0.527393521076977	-0.780526197707131	-0.527154105433963	-0.578960596602761	-0.631562124855362	-0.546214838544942	-0.655523565940366	-0.648024416276336	-0.562003440310782	-0.699627901033501	-0.701354161758807	-0.612722555870929	-0.554399769234048	-0.570515130600605	-0.685873776607621	-0.731564279434215	-0.382655849228233	-0.510602368049251	-0.445800495811531	-0.705541509786573	-0.442736161599467	-0.625924677593105	-0.288688859677295	-0.603384966016401	-0.547334688568032	-0.608373132710505	-0.501436980861461	-0.609887404383307	-0.548783245088319	-0.560300092203701	-0.679804753589658	-0.465971145894822	-0.373550739244614	-0.574342607311869	-0.719425760036243	-0.401470061094866	-0.540068548674881	-0.596174535872973	-0.667960015767999	-0.557398483450025	-0.603058219835151	-0.540225296479347	-0.589578452552965	-0.351912859398186	-0.609345994598225	-0.569731121324656	-0.596785026392829	-0.491119815653257	-0.341893251172701	-0.506091391364567	-0.649247804639793	-0.590274239739988	-0.418016876656924	-0.449559700665553	-0.53143295607526	-0.454733956927339	-0.619694183400262	-0.583002589084181	-0.725283775466249	-0.591919406899187	-0.498245626903482	-0.622487945568367	-0.466974056121433	-0.629730046210718	-0.633165428854838	-0.521165702428024	-0.615398611962406	-0.620535890103665	-0.717111482080821	-0.585232996065011
"51142"	-0.390924441664372	-0.508691297115754	-0.47852821374672	-0.445688547783365	-0.452079588459487	-0.336991317217806	-0.471831849461094	-0.285496994029507	-0.480783038927382	-0.40149409952836	-0.541242052611744	-0.457585653365692	-0.337878687154656	-0.479421653849451	-0.409312771650602	-0.353638532443292	-0.247417650228344	-0.311268399205331	-0.438658676177678	-0.440620853511795	-0.40096618980055	-0.451077285900406	-0.538306684702217	-0.380686862228031	-0.298235021868882	-0.388257037555128	-0.317886897288314	-0.381470568197357	-0.269075854882808	-0.355180359227971	-0.673800632203846	-0.338765782428374	-0.360926427721634	-0.221248595012572	-0.214075521281579	-0.296722126602196	-0.605871867961409	-0.394501243191404	-0.157905142607371	-0.438808240114797	-0.432374386512411	-0.290542603410963	-0.568778582383598	-0.326015267268231	-0.429172406378249	-0.263829145343541	-0.403247810047736	-0.398235576073768	-0.34658645259738	-0.516490373683908	-0.372798884322418	-0.296572187490707	-0.407255552496176	-0.403480781723141	-0.387579073339816	-0.359798961796638	-0.326372151530715	-0.529494410725845	-0.462607870094629	-0.20847937639993	-0.366599284745119	-0.397060088964722	-0.478927465931488	-0.435685353719163	-0.539836576172616	-0.392091532417349	-0.280015361323814	-0.303205385670231	-0.39064269544474	-0.442922501886057	-0.375076255674717	-0.561680578376534	-0.484539976891391	-0.438788923262073	-0.451856815896506	-0.467530575837116
"27243"	-1.0595050962313	-1.12326452299975	-1.23242762597302	-0.916179103472241	-0.967331362993013	-1.18468539726366	-1.15317643384411	-1.16573043506366	-1.17876500881482	-1.09740099548597	-1.00205101998156	-0.779434927887119	-1.37802761283108	-1.10569237118153	-1.24508210670846	-1.39784592717365	-1.09194671491217	-1.12821328542467	-1.0048209257501	-1.13055663251551	-1.29122567391993	-0.996572858219865	-0.884026196146135	-1.1390235763208	-1.05371321590315	-1.19457811766526	-0.805966480445845	-1.13047157725959	-1.11379410982253	-1.47418417561355	-0.78207333636283	-1.14410213932967	-1.03224043686131	-1.17255507344625	-0.822561496148377	-1.03689075044646	-1.128185024286	-1.28704901829992	-1.04156718042649	-1.05667290222346	-1.13443032310398	-1.02689071674028	-1.07767874217125	-0.998519260377057	-0.681966156100189	-0.952011700726733	-1.06973604179117	-1.12372903564537	-0.9195392623799	-1.00789386210939	-1.26141825154248	-1.03809701328142	-1.05792833649344	-1.03373266841627	-1.10380391895486	-0.949128234911229	-1.12139923466477	-1.21796792220152	-0.966495398730379	-1.05010522664178	-1.07100518610869	-1.0711980269315	-1.10975883546895	-0.846471585588469	-0.959975757345988	-1.08884051770276	-1.08003155162859	-1.05112105656476	-1.16816993877869	-1.16358648200985	-1.12465747595788	-1.27100816292683	-1.1843194098153	-0.975191280583224	-0.945151126509651	-1.17025089851579
"4051"	-0.163034275200988	0.0778521771269566	-0.146322136072836	-0.186434246504535	-0.011447443474247	0.0517996427279953	-0.13179833857983	-0.314288416338007	-0.0689530513587901	0.0792497742495517	-0.0738749804042793	0.0360841870052668	-0.105151614305236	-0.344017676200981	-0.0978806649016767	0.204156829324612	-0.0912382887515885	-0.142053476946757	-0.185803176103742	-0.0110584810844282	-0.208942115337242	-0.239507191576906	-0.0442174077636507	-0.0701914111188934	0.0444496735431507	-0.277581187348533	-0.00641056302820318	-0.117673034154013	-0.0852359676557521	0.0686920841709269	-0.0374157249104632	-0.0839724415528711	-0.159345910227092	-0.094443720694664	-0.0905931130149151	-0.149568779354899	-0.0432253971242739	0.00404975364847869	-0.22790961322878	-0.0385312662982353	-0.0754863534097912	-0.0298922007929463	-0.00387535567792392	-0.0733163045101243	-0.0445195860953296	-0.020752093760362	-0.126677986368408	-0.0294614030623187	0.0181112710555276	0.130921319377861	-0.0134210114755033	0.0105753057241857	-0.0866962999842957	-0.0656902030479461	-0.238756620954478	-0.0445324739147873	0.0895846049175487	-0.198928383193704	0.00374395928275701	-0.172750050686586	-0.0888857926743668	-0.0887525619588882	0.125255007896714	-0.0655450121583984	-0.0502138712943245	-0.222137227723843	-0.0178168564109938	-0.0186895099233413	-0.0138983172820753	0.14336264742413	0.0422574265976217	0.216990623824481	-0.14583135116012	-0.0223697389431253	0.0172379235427926	-0.0711682963762898
"169792"	0.125789326607679	0.0167043489540095	0.136259628099061	0.107108343440608	0.0162722832111304	-0.0181573601278443	-0.00168219421582835	0.00866001095027889	-0.0236637536424121	0.113276905679913	0.0283677625889067	0.00328452611341786	0.100654174361139	0.230557293424929	0.173382029034932	0.128340477059654	0.0648776598680735	0.145445957823081	0.0649747000630234	0.0413580333140308	-0.129333829086952	0.0235241842471861	0.0969699223250332	0.117704852990967	0.110896494468929	-0.313559636878554	0.0778354322958997	0.0602703834165986	-0.1989690639351	0.154384539762491	0.0257396733995816	0.0351354100377983	-7.11287923703471E-4	0.118257010874785	0.144991547193186	0.0102631650203088	0.0488641720970271	0.17054396591507	0.0902545359850307	0.217274570393754	0.0382938507559729	0.0706748770651871	0.135874011135006	0.0696352205253131	-0.0139959247326975	-0.114273816935859	0.247346400621528	0.0848689621428704	-0.0265665865910558	-0.0174579604013527	-0.0188304673423693	-0.0197857357288142	0.0672859543755594	0.137461952826832	0.269082329078533	0.122920301158308	0.1258698295106	0.0175125304796589	-0.189475442195093	0.0493366826445303	0.0882204695248392	0.188267196920369	0.043694436583486	0.0759494495671516	0.102392625021748	0.0928207372404334	0.0571874572234965	0.0540602538285639	0.081574831902776	0.126646332270223	0.0448268410717408	0.0211056051969561	0.0910490725215069	-0.0103616994879044	0.0843849992341243	0.0728689715141034
"343069"	-0.500690234832278	-0.416221863600867	-0.230884286074483	-0.197022408006785	-0.46684646411035	-0.334116430404641	-0.327755910463478	-0.557628735355647	-0.352900051032351	-0.283918869920619	-0.509689281431544	-0.491408215435658	-0.299895074422949	-0.227199515977495	-0.342335863104438	-0.239033895531138	-0.406580259524694	-0.35364515281314	-0.494432421121702	-0.295477480019417	-0.310885620976869	-0.355223533191213	-0.26228004503955	-0.499287021250354	-0.419405791013389	-0.528153311232761	-0.343463519813253	-0.347318244833915	-0.357190138085125	-0.399425376580651	-0.224158476739142	-0.460259859698068	-0.23747752640672	-0.382801507458354	-0.204119027193973	-0.40760556745386	-0.400464287088611	-0.386055341471728	-0.570997013779212	-0.370300533224868	-0.303982285996242	-0.539459845879972	-0.30737387606063	-0.233298605279292	-0.242621047039128	-0.319459450089979	-0.464003902986737	-0.285777205703914	-0.346788858688506	-0.311783948784324	-0.381032084343913	-0.411608192343049	-0.289835614969229	-0.292920476325267	-0.40478603308349	-0.382827808224124	-0.368314854185123	-0.354831320806214	-0.405686715368103	-0.40737287566582	-0.470140097130282	-0.313543447559477	-0.458753056142056	-0.275845784945367	-0.485345208673373	-0.313264218466632	-0.236409067890675	-0.319417300652052	-0.473800199606025	-0.372018912875314	-0.388508978412258	-0.298051012818936	-0.500168638952612	-0.398595808798365	-0.479169019547114	-0.38557577468435
"169522"	0.206512246820777	0.0131862944288519	0.0319016578599297	0.273954093660322	0.180727842012706	0.178767195947198	0.155399356644	0.0782988626577138	0.175352932531961	0.148760367543141	0.0427716868436082	0.245767507821642	0.00800835591885827	-0.0499983462852051	0.103202834498284	0.0957976333073926	0.126976451004319	0.0123809546602189	0.056378155835357	0.0312709563292583	0.0281468564475436	0.0312903342149874	0.086007218953897	0.141687982520185	0.14480193702575	0.111039307039307	0.180846528874294	0.160236567513803	0.0916820886435558	0.014745415640452	0.229955954674845	0.152283605150786	0.0267484087117214	0.16343417557038	0.0957472981088389	0.133391827780879	0.063202519226466	0.0939817132227252	0.192166862438154	0.197793704447638	0.0650004550640836	0.115824366949445	0.16033826862506	0.166415598683154	0.125272566701173	0.071298124409174	0.0759851815502817	0.0869962528363756	0.145434601931167	0.0114839396769342	0.0917251765461245	0.120378405903215	0.102892226782274	0.00181705170781355	0.0732794670844115	0.0680257883598393	0.13143148655508	0.0413537933059191	0.108988988607036	0.111004209788174	0.133168924811552	0.157388658876167	0.1008143144408	0.0966234620163546	0.132493686323049	0.12789132289817	0.0742938579780473	0.0851085490713595	0.00429238597179905	0.0384891280012727	0.0464163446426306	-0.00471044684635648	0.135738270364434	0.119168573027044	0.118335562706413	0.033544863212433
