	"ACH.000030"	"ACH.000035"	"ACH.000041"	"ACH.000042"	"ACH.000047"	"ACH.000097"	"ACH.000108"	"ACH.000116"	"ACH.000118"	"ACH.000143"	"ACH.000163"	"ACH.000169"	"ACH.000226"	"ACH.000244"	"ACH.000261"	"ACH.000262"	"ACH.000274"	"ACH.000278"	"ACH.000330"	"ACH.000331"	"ACH.000332"	"ACH.000352"	"ACH.000356"	"ACH.000375"	"ACH.000381"	"ACH.000387"	"ACH.000389"	"ACH.000401"	"ACH.000406"	"ACH.000410"	"ACH.000421"	"ACH.000436"	"ACH.000454"	"ACH.000460"	"ACH.000467"	"ACH.000488"	"ACH.000507"	"ACH.000517"	"ACH.000552"	"ACH.000618"	"ACH.000624"	"ACH.000637"	"ACH.000638"	"ACH.000653"	"ACH.000665"	"ACH.000747"	"ACH.000771"	"ACH.000788"	"ACH.000824"	"ACH.000827"	"ACH.000832"	"ACH.000840"	"ACH.000867"	"ACH.000873"	"ACH.000878"	"ACH.000880"	"ACH.000884"	"ACH.000887"	"ACH.000896"	"ACH.000900"	"ACH.000911"	"ACH.000917"	"ACH.000929"	"ACH.000932"	"ACH.000935"	"ACH.000946"	"ACH.000986"	"ACH.000994"	"ACH.001038"	"ACH.001075"	"ACH.001134"	"ACH.001192"	"ACH.001275"	"ACH.001532"
"16"	-1.37761458043014	-1.37271017822255	-1.30698405632037	-1.1906596280091	-1.50125061482719	-1.15802968926839	-1.25103420542082	-1.50316034575878	-1.23631728634796	-1.47684410495805	-1.2782256205526	-1.44723948741861	-1.23656584564152	-1.52726881490986	-1.46123616030033	-1.23694373529508	-1.26357320205225	-1.37555861282153	-1.47442229396294	-1.24190927271159	-1.28433811757647	-1.25240570353416	-1.33568273340292	-1.36546578917008	-1.23283971426278	-1.42270529999285	-1.31880602516534	-1.40243551335881	-1.38512217271836	-1.33543166532731	-1.39474647153289	-1.27462069796983	-1.28097155949286	-1.37562002090453	-1.34633556246852	-1.28881317835767	-1.37752009778548	-1.47512354883004	-1.3283312167351	-1.41602632685504	-1.38684930493794	-1.31314751814455	-1.20570447213033	-1.31590533264221	-1.23205521142099	-1.39485843460402	-1.17422222262852	-1.36895428516408	-1.347305037127	-1.25438610453504	-1.25771350498621	-1.31316010261335	-1.24283273483668	-1.19795986157222	-1.16439425533388	-1.43256280562681	-1.3057596776447	-1.24079374759623	-1.33936711972044	-1.36680715815729	-1.38672801434075	-1.27616220097687	-1.33350228608986	-1.44001783862491	-1.1041875887029	-1.37388362389549	-1.3582771357484	-1.37545234154944	-1.41418971923297	-1.58497262519194	-1.09537996102509	-1.28177860883907	-1.32278011171119	-1.41408395752162
"29945"	-1.11914987925697	-0.876856461465361	-1.20143065511853	-1.01775500488068	-1.14262247857206	-0.875651403418893	-0.821660980510709	-1.06572958816632	-1.06454686379664	-0.992104801801219	-1.00025838581285	-1.14951970006839	-1.09906312374625	-1.06977854077184	-1.08158392016643	-1.0079250526696	-1.15144245860692	-1.08186054644024	-1.09188978940867	-0.973857767574563	-0.857525369567104	-1.13774276468251	-1.25499307991216	-1.11721433152913	-0.985699377088386	-1.21172257916075	-1.19929632159637	-1.30071864843915	-1.19222501861468	-1.16648282010003	-0.951360532177752	-1.14266178062189	-0.990205899662444	-1.12051574239435	-1.01545412188387	-1.05946963593961	-1.05875996603594	-1.15215150082262	-0.879608847202616	-1.20351363152059	-0.954187611668518	-1.35052392073256	-0.951144910601693	-0.853116408645311	-0.995953635003879	-1.14000433535539	-0.972888232898411	-1.05476825176602	-1.07738463672654	-0.87908707226858	-1.02567659014896	-1.18010220419286	-1.11468264099743	-0.822283567415766	-1.03110238206163	-0.86754982149004	-1.06244104720796	-0.952054519233613	-1.07399431666322	-1.04029624907872	-1.04463410379631	-1.15497569082359	-0.980686005834745	-1.01477378518755	-1.01043281019257	-1.10388258037377	-1.09547860499276	-0.946642700238654	-1.19028038316862	-1.07754748282228	-0.837837928883371	-1.28181080698239	-0.928495549333861	-1.20007851707987
"100996485"	-0.00280739663819846	0.0282671484522637	0.0663084958691831	0.0867928975358127	-0.0233716243400596	0.129198067724424	0.0519602718864412	0.0550695184178969	-0.0580187583847342	0.00537992211650775	0.0897634284024057	-0.0715724003212718	-0.128391232355051	0.0607214543417945	0.0251212541718389	-0.0390413086448505	0.036895886655217	-0.00599201434535511	-0.125417038707153	-0.0394218273593346	-0.00458173848860517	-0.00289086071192159	-0.0780600959515687	0.0871246833586811	0.078895253183866	-0.0301182173846041	-0.0288232618378562	0.069468159336073	0.0389870607993532	0.0607527437678753	0.00280872758548532	0.126243768702639	0.0255447869389469	-0.0135793158616973	-0.11664977615351	-0.0714659313106814	0.100815616799989	0.0510812491795163	-0.0307983027722524	0.0716094280387911	0.0056525053255335	0.0719234592318431	0.0288439369245811	0.075223490594432	-0.0736526171023618	-6.38895225048353E-4	0.0423564084124643	0.0208861450457294	9.28724386674141E-4	0.00814080124705691	-0.0674504001708322	-0.033466344127798	-0.019176645072865	0.0426712471062267	0.0682552267518901	-0.0111914583768957	0.00527642548079844	0.0322106914652337	0.00727900028807078	0.0107041880315328	-0.0113226380226811	0.0360589454490785	-0.0644966503843598	0.0159609427392276	0.0300844444826437	0.00132162896488492	-0.0512429100896618	0.0258854292393053	-0.0394525019506161	-0.00227529015787423	-0.0302689349202249	-0.0103194314835231	-0.027520269110704	-0.015752833869525
"8697"	-1.24644876083981	-1.16911224177774	-1.35360005008618	-1.30058915804271	-1.09061270885364	-1.14958275210359	-1.38446708382403	-1.45960112173319	-1.28713592417799	-1.15833647407466	-1.19458300179162	-1.3931183031322	-1.28687813303884	-1.30934657450091	-1.38910685310972	-1.1034436017565	-1.41213625517876	-1.35167210063376	-1.45698318062788	-1.34273608990581	-1.08097651891875	-1.36657982866605	-1.3611500634195	-1.27017444833047	-1.17290469810775	-1.60169367301759	-1.48167984718386	-1.16734130586137	-1.32259887861211	-1.21591898619387	-1.28039523437773	-1.44275392725711	-1.12799142247348	-1.12322967225427	-1.10893316869794	-1.18096653655329	-1.40871000634678	-1.44377916058163	-1.35384039679423	-1.28000950769975	-1.35044746551225	-1.37129849591808	-1.42514916280742	-1.49559468244448	-1.35644879494098	-1.27772702730069	-1.25063535038747	-1.43040616500618	-1.31463251269908	-1.30920883849518	-1.13813638368309	-1.39267105029091	-1.17213703525814	-1.36911985001898	-1.41791116544645	-1.09264503050049	-1.58487362613594	-1.30979748655758	-1.47187766444445	-1.18917106957149	-1.17072476959515	-1.09322246325883	-1.21998779067091	-1.10864848104911	-1.2382894115342	-1.28927541605384	-1.33077716968801	-1.31641825545695	-1.51345335623825	-1.20000693715904	-1.2540369140873	-1.49413730567513	-1.06039239979533	-1.27210408494912
"81620"	-1.03018082034882	-1.20279094639541	-1.01805067210469	-0.954784955393554	-1.16083458149693	-1.04876710788197	-1.07226392778714	-1.14590192490522	-1.08159678714308	-1.10966022473289	-0.946426345504079	-1.04370152845742	-0.959459258586268	-1.31828865418261	-1.12449346931411	-1.06925109452306	-1.00532385101552	-1.2119824085937	-1.35724733451475	-1.08023524044012	-1.22004144066248	-1.13617638553125	-1.45700547734107	-1.13392197545802	-1.18237584181073	-1.12440376751227	-0.920704011798327	-0.94279820467629	-1.25077396342128	-1.16343156520122	-1.20828300157058	-0.982314229771581	-0.902927825125176	-1.23742180019504	-0.950033765334503	-1.07647518406612	-1.16578268163747	-1.23274651060689	-1.0705651176704	-1.11078685123991	-1.24473031300969	-1.28787593884302	-0.886039397619647	-1.21692586418012	-1.1608254400953	-1.17107670872554	-1.13464205405774	-1.11345042558404	-0.934027451242053	-1.07519997028773	-1.15114492823095	-0.962805416433807	-1.09564224831266	-0.996940985192869	-0.792516642737299	-1.08241201744177	-1.14002238378395	-1.01223332593751	-0.885960750131486	-1.074780869333	-1.09277686895593	-0.981990793810376	-1.28386240046605	-0.923866387065248	-1.0151012599531	-1.12549401905348	-1.02769491226843	-0.92022735725671	-1.15943118880424	-1.00519541201251	-1.18770008557323	-1.09324376474289	-0.948936268640279	-1.09276187950992
"10428"	-0.472697128610036	-0.485509609868352	-0.415057699389179	-0.526743373263447	-0.665267526505773	-0.543031123999208	-0.5930122232926	-0.710219484589385	-0.619953333668823	-0.702175792905676	-0.55332331119778	-0.512281054255629	-0.762868359600377	-0.683963832281085	-0.410500669756305	-0.794289018065962	-0.640871153399432	-0.922994622986682	-0.726520914971019	-0.785878522801444	-0.732188722794007	-0.366050721666955	-0.594373471011713	-0.459677856799719	-0.545010135036762	-0.629610566500449	-0.583842603192889	-0.705387976527112	-0.595927057772032	-0.657100655462231	-0.586288617940896	-0.493390792597928	-0.613782701654549	-0.659035677419231	-0.766432833378877	-0.533540868956709	-0.639213373705787	-0.525434919701493	-0.624217778027407	-0.695926524038186	-0.503993171132077	-0.440166280087472	-0.534280810236578	-0.42460483298881	-0.558472383787078	-0.533466881767764	-0.624373263128012	-0.554108258117764	-0.440057342912414	-0.65700772398481	-0.562383085220956	-0.76782594483689	-0.466034873143467	-0.507813408417063	-0.53780050541222	-0.844161728488786	-0.630736329424122	-0.483365070767145	-0.487339121601262	-0.514766416077528	-0.532376662568731	-0.54053033787724	-0.919522070051598	-0.745214594765327	-0.733951267923839	-0.503806815351155	-0.486797504481532	-0.668131748005916	-0.588013608148788	-0.572309933790555	-0.41160845377298	-0.545990863230576	-0.571111228616113	-0.589859958771568
"57019"	-0.942878140268714	-0.874109971672649	-0.816964487312527	-0.79209486445454	-0.805553542382873	-0.856228112001838	-0.653192947151717	-0.860574642392651	-0.705539130043585	-0.938155927050506	-0.733742692926004	-0.913021909936711	-0.965439298276962	-0.723267503181059	-0.86761545454574	-0.90902482681959	-0.80582450235364	-1.065483890534	-0.877832409798727	-0.909256164696156	-0.88392920367254	-0.684320857768361	-0.768735570417889	-0.926262763463711	-0.73496894051978	-0.900944179326408	-0.737609220906586	-1.00489128835056	-0.889175645062463	-0.952805058263316	-0.857454287327035	-0.734021651921164	-0.976197159907266	-1.01064438437851	-0.657027075718047	-0.904699145677141	-0.845585840488867	-0.921116620681951	-0.927685279859974	-0.860617314896982	-0.926691723589165	-0.784296783012972	-0.730036802945121	-0.761471241620994	-0.787703278359475	-0.905714081391916	-0.777471350671533	-0.871131939469523	-0.704602663872778	-0.959178404042934	-0.816587589546369	-0.853798035559162	-0.684966166914041	-0.739838651529731	-0.927073209003972	-0.792116006418858	-0.798370827402154	-0.796447288986342	-0.923796103153162	-0.690271782852813	-0.834650098697182	-0.904434633344723	-0.754859976649478	-0.799055712398706	-0.789987926511422	-0.875467601901548	-1.07756008409419	-0.952495214532847	-0.841047163902578	-0.939232956048551	-1.0601726869311	-0.811439650597101	-0.833134705979235	-0.864690388512903
"1185"	0.0440542240290125	0.00248704251132879	-0.0959814603058708	0.0695635788270153	0.127888270591576	-0.0144732681973138	-0.0310498851099484	0.0291391119685532	0.126578703270171	-0.107893845210024	-0.0292850944796475	0.030119088139153	0.0139923990023142	0.0664053194171109	0.0548060872143488	0.0895862218097576	-0.0717575791457494	0.0617121981016725	-0.0973274529197189	-0.0148672606423816	0.0242402574841855	-0.0138065775005004	0.0122895674884798	-2.6759262200436E-4	0.109297167457535	0.0375876767068099	-0.0584630576986782	0.165328571239457	0.0207471230232991	-0.055808367619162	0.0534321956562409	0.0543941751532507	0.014966263452479	0.0353210040063747	2.00941713149542E-4	0.0136762008076862	0.120153399786745	0.00314248061331587	0.136400749733134	0.0619602059342897	0.0151032343537741	0.00288175759744828	-0.0746694573464803	-0.0365082201534895	0.112521766510021	-0.154280301127319	0.0417752202818593	0.0502331647257679	0.0173937341521717	0.0364904680162636	-0.00431012502129436	0.00201419113402742	0.0586174282714934	0.0151233603276292	0.0563984839130214	-0.0805774093820283	-0.106574724863981	-0.00971067404303171	0.122303724983167	0.017310055032422	-0.0382611233396187	0.061676791416794	-0.0311317527408695	0.0349012348988033	0.0235275976554798	0.0548703845455476	-0.0142970717123303	-0.0204233961405289	0.0840867079587756	0.0967054189441923	-0.0307235500237632	0.0301845238234244	-0.110634304090939	-0.0616812899373779
"100132463"	-0.0101364723958353	-0.0195644237097839	-0.037193030028826	-0.011266624537025	-0.0142415523330601	0.0440895600276105	0.0355802060212433	0.0592890723336563	0.0279688607886032	0.0554413984935324	0.0241550492001199	0.0102640480382149	0.0219899067044092	0.0834641188113268	-0.051680803928236	-0.0609977850175879	-0.0010665782481379	-0.0497087459049	0.0750669128346822	0.05174355157749	0.0467606352353444	0.0122356621895072	0.0639728903586945	-0.0483279954554848	-0.0139378329985018	0.0122160034218047	-0.107757343769582	0.0134553972513231	0.0372985891721056	-0.0192138024175737	0.00618189721457436	0.00734053598024753	-0.0296646724958041	-0.0696493080778515	-0.0359075389492968	0.0016863527548558	-0.00946788300000767	-0.017552586387282	0.0358156905700352	0.0381814826598868	0.00144869563400524	0.0578391226172607	0.0583274883944415	-0.107338548006698	0.0395969029315132	0.0203793100405675	0.00642111730678248	-0.0184410038899619	-0.0858701150493947	0.00337608866620112	-0.0245090519823174	-0.0709367223470691	0.0554142365279026	0.079972916843802	-0.0349555998824274	-0.0238144074341513	-0.082525620997286	-0.0289232931988986	-0.00743181478049059	0.0325172065553089	0.0116750222723589	0.111247333093889	0.045060905627098	-0.0215135370034639	-0.0327613937103709	-0.00218216210294682	0.0334628064163722	-0.106412250553598	-0.00444896837545521	-0.0386124339675042	0.0258096047075175	0.0152194336010006	0.0575745797304903	-0.0757161991009858
"9666"	-0.0548566205558766	-0.0730132012369032	0.0407660196656385	0.031968071430633	-0.0107569130686246	0.0217870229932806	-0.067386769986545	0.0844273107747464	-0.00165648920944263	-0.0322706272161917	-0.0626405218213304	-0.0620791554011521	-0.0621234141365375	-0.00449116281222072	-0.045112943098898	0.104383549586518	0.0192386901488267	0.0869304812063144	-0.0786873760738088	-0.0113785009012893	0.0362207869442688	-0.0932730849272832	-0.198328840581308	0.0221965266222962	-0.0568128778050393	0.0310137953399834	-0.00583770262783145	0.0894188493457917	-0.0409961190385309	0.108986749130014	-0.0226005510719571	0.022955478102158	-0.0823705338696714	-0.0625459654801315	-0.0496973075008209	0.00797193673603976	0.0684717067625199	0.00892788777844203	-0.0583621053823797	-0.00801444198662245	0.0244173440667855	-0.00148025905430821	-0.0782698965445764	-0.0681575368871206	0.0557356335768798	0.0176693527584442	-0.0131948570482709	-0.0332645229903965	0.00975334802055283	-0.0164548432102901	-0.0428827867464652	0.0426544038864951	-0.013343798644784	-0.00744020642164608	-0.0216970217906278	-0.0371579561379454	0.0524712180872722	0.0433769050322517	-0.0309133495338641	-0.0194772946612318	0.0413163480327244	0.00905063810093842	0.0194132545964875	0.0131808588791735	0.0748288941715719	0.00647356650100923	-0.0503485063961641	-0.0351756048615841	-1.35110665807856E-5	-0.0411196917996587	-0.104082350289435	0.0164120160087539	0.0926712118595558	-0.0554499702441091
