	"ACH.000021"	"ACH.000053"	"ACH.000060"	"ACH.000097"	"ACH.000223"	"ACH.000228"	"ACH.000235"	"ACH.000256"	"ACH.000264"	"ACH.000277"	"ACH.000280"	"ACH.000291"	"ACH.000293"	"ACH.000318"	"ACH.000352"	"ACH.000383"	"ACH.000403"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000466"	"ACH.000481"	"ACH.000517"	"ACH.000522"	"ACH.000524"	"ACH.000571"	"ACH.000608"	"ACH.000623"	"ACH.000624"	"ACH.000647"	"ACH.000699"	"ACH.000711"	"ACH.000735"	"ACH.000783"	"ACH.000785"	"ACH.000791"	"ACH.000796"	"ACH.000867"	"ACH.000988"	"ACH.001228"	"ACH.001353"	"ACH.001377"
"440712"	-0.184206596701652	-0.204520993833472	-0.0951402177553857	-0.208950456762983	-0.132186496022662	-0.0153802504986564	-0.224608092730448	-0.042918027411583	-0.17893485420061	-0.198250165209042	-0.0717430531097688	-0.131031494518495	-0.0451059509519537	-0.234864949016088	-0.0770959435315501	-0.29555335506388	-0.127713419183782	-0.151383027406762	-0.144064244150652	-0.159836259906363	-0.0853096666808332	-0.10624867833669	-0.104973574543836	-0.0893574369114183	-0.232000211104103	-0.167168018967455	-0.099787488156823	-0.0977269557117057	-0.158130958258112	-0.103897380784125	-0.119023816317632	-0.16868024403625	-0.155781886363017	-0.142019989014052	-0.117622951983763	-0.169833653083508	-0.135541054875241	-0.146277791394967	-0.0625995973667665	-0.29850138971205	-0.18601813010747	-0.236194425093064
"131076"	-0.252667340862061	-0.25601255254627	-0.414159853837176	-0.257133025475722	-0.328181688380967	-0.255323869651589	-0.197261628671943	-0.120725804037103	-0.102978622768188	-0.2726964524788	-0.214531315885312	-0.0960441222675904	-0.379168624934226	-0.232070975771385	-0.188557004247757	-0.257502799969678	-0.326948168177589	-0.155600411585556	-0.132292612838296	-0.154357343287113	-0.233658412467737	-0.266843104647907	-0.355112710849937	-0.278877029925115	-0.271561284893807	-0.289760818772095	-0.331240965649056	-0.242808952859688	-0.227848595859426	-0.260062290985163	-0.248002541303385	-0.186135934810141	-0.360618634741678	-0.234669009418149	-0.15934855456241	-0.311581113570198	-0.38857351205395	-0.200686851106899	-0.249169858908433	-0.285562829693723	-0.254861165955034	-0.269155281436503
"50619"	0.112357362414733	0.191710945844124	0.154037813710537	0.100754746327732	0.154857648562068	0.108630254846907	0.134165991765172	0.13944470900546	0.177936210098982	0.324909137627255	0.185860718009387	0.231684116762114	0.102830100046061	0.22735897086546	0.201630505072117	0.19019744381661	0.230080144603693	0.207687952818289	0.234302506112466	-0.0411923188075616	0.0965717152011122	0.118208903311469	0.177805333478146	0.103652260485698	0.12581393765572	0.243542269456359	0.164925285092342	0.155150777422311	0.165827553946869	0.121378902433407	0.16566604555424	0.0726014393884588	0.198778127827123	0.280895456632756	0.139323567068942	0.204239572407435	0.00525338173709259	0.211352523712707	0.289185756238168	0.156153858070778	0.224144973948171	0.255637210165526
"2529"	-0.0694543460559578	0.0254465284902228	-0.0446113419327472	0.0412031023508976	-0.0715554517997241	-0.0735339562999068	-0.0752853263875227	-0.132807371368403	-0.00835844907998927	-0.167429160969165	-0.0996249494563328	-0.0228836952211561	0.181284931444776	-0.0349938501389522	-0.119092130975463	-0.120843816995997	-0.261315817733264	0.105984036273018	-0.146011414046248	0.0108110556959023	-0.0732040860114871	-0.0802595247611402	-0.125858000851353	-0.0738127171452734	-0.130240900834112	-0.168096497849522	-0.11814338343533	-0.0544370210103396	-0.126915451971287	0.0490178492066781	-0.0364919641453871	-0.00890871032638415	-0.0356121299213085	-0.0917772161169445	-0.0693100400680449	-0.172664090606125	-0.125384649477441	0.0366220691191289	-0.165764777306766	-0.150632413590991	-0.118025735155666	-0.145347339950231
"23438"	-0.55903903733509	-0.610104487814571	-0.604483441809121	-0.510256181425229	-0.666242651201819	-0.515138336268418	-0.668964888411788	-0.703067630273245	-0.639639722024406	-0.899626553620322	-0.536302817830965	-0.582773671718947	-0.762592692434014	-0.646361920729874	-0.713253896835781	-0.695889341611082	-0.490102847432509	-0.660628063332198	-0.697408789776208	-0.50503260780141	-0.646909521495205	-0.627671716713915	-0.390430553527875	-0.646306733900112	-0.496135444444646	-0.600327445623931	-0.556174423709624	-0.578348525083572	-0.511529063536405	-0.869450731641984	-0.653934156455218	-0.912383331771281	-0.705569135169881	-0.398673957438964	-0.748282287147243	-0.592953821779778	-0.743596204010893	-0.46302837799855	-0.550154787806493	-0.612983186497537	-0.461624874109264	-0.61423508033214
"57189"	-0.101149099682811	-0.0638646599604567	-0.34261433591524	-0.0936022285326544	0.0904555937779371	-0.0192821908790502	-0.148640705924488	-0.0115548192187367	-0.102358466878567	-0.00125730602190773	0.0847995489483714	-0.104598539511062	-0.120264209223163	-0.096319143325	-0.089044047371345	-0.220227091417552	-0.042959884997066	-0.152314755051854	-0.148472197685175	-0.194851377489021	-0.0578385444775458	-0.116594067633249	-0.131705483482216	-0.071531133257387	-0.0446412002889242	-0.0961790168028466	-0.206759323464852	0.0411734800697121	-0.186703185703462	-0.0444292442903437	0.0466898029259501	-0.156013466103066	-0.12044037378352	0.00675153263893988	-0.0367645706321652	-0.180602848884562	-0.282728713271723	-0.102930919747596	0.100165694749338	0.114238729062707	0.00119515674147737	0.151499331191146
"85293"	0.171100831597622	0.126324734798691	0.308931833509006	0.145235574746502	0.200097878562687	0.0497328216934953	0.105629364516879	0.0131234131234229	0.0607489052978607	0.13409074611602	-0.0570358330450036	0.0498517829799376	0.099683737778877	0.0726846783529648	0.19686968852959	0.193508487443799	0.0260081849044805	0.160036355427751	0.0758862485490889	-0.0123160238230903	0.0499608271356749	0.0463638165876303	0.00537090262904179	0.0365617581409983	0.0491065775886008	0.0723837651887759	0.0913729828661183	0.0951493485939286	0.0177481560461183	0.0733543276595712	0.184397738344718	0.124389214999252	0.00658292857529787	0.080224894811079	-0.0687542038571467	0.113073797213242	0.062263463922848	0.0490908414095865	0.0668688143330708	0.242851406705934	0.110281172063782	0.133026761338709
"149175"	-0.048597500490613	-0.0144292899608516	6.34164551963069E-4	0.0152557672756346	0.00681911971625847	-0.0368223754225102	-0.0582201883009013	-0.00495147904681209	-0.0647884052685485	-0.020896249604589	-0.0122366080773862	0.0536329028497518	-0.01861942235679	0.0320833252596819	-0.0540141900380253	-0.0666576800060688	-0.129705849462692	-0.0388799951527958	0.0479665831937583	0.00504014514350921	-0.0402416012467049	0.0694831917503235	-0.046908479995889	-0.0371401259229576	-0.0127273862748514	0.0830836358017079	0.0615846940769282	-0.00767048879659869	-0.045763620027697	0.01185361690634	-0.0352335952381913	-0.00563802477146908	0.0304888647636937	-0.013159756932563	0.0287519604457669	-0.12589777078826	-0.0236013096033155	0.0423240534386533	0.151013594988093	-0.0511241318330181	0.0297196179557646	0.0686463650782492
"28998"	-0.447366497386197	-0.365101493078785	-0.387962236437597	-0.405111704962673	-0.551564761031803	-0.305451329493373	-0.474719691935	-0.639940371189229	-0.32882748601484	-0.87527980069845	-0.244073546915131	-0.470111534902984	-0.584106411472247	-0.468644128814804	-0.423186587862971	-0.445311234777752	-0.43135717980772	-0.360074667341908	-0.584405070185288	-0.462943506657058	-0.38193256880386	-0.421526098860141	-0.342810634870774	-0.587391314666483	-0.354313629214456	-0.357015003308047	-0.395270714965838	-0.373798370012547	-0.230147986746145	-0.652783018033557	-0.550334909969666	-0.456441964997644	-0.39146228080791	-0.375892137200639	-0.470504919041535	-0.344783926236832	-0.464973388034424	-0.35531845101784	-0.322188677283587	-0.390710106240053	-0.212552346797407	-0.505180196451676
"64928"	-0.497990557586325	-0.656078991049807	-0.494868391371805	-0.549974223749239	-0.652082476160292	-0.564438697867116	-0.565129036056018	-0.429026874155863	-0.484000343280158	-0.66471687180984	-0.551919577335936	-0.570551946958368	-0.561584510011839	-0.570587411648416	-0.623922709172231	-0.582080401347103	-0.439266697842313	-0.432094169025034	-0.631959291289905	-0.437767631078507	-0.393483325489483	-0.469689811273874	-0.500345231296159	-0.634835410869069	-0.527942224520605	-0.515748276490726	-0.469126087448591	-0.580966990486863	-0.490489415606472	-0.676261016724256	-0.580955179802019	-0.556947699334067	-0.513771803901048	-0.334318222226079	-0.548365576407245	-0.597411402354021	-0.541432978450167	-0.47930358200509	-0.480872229261921	-0.578416471024524	-0.363601185765011	-0.640554185408947
