	"ACH.000078"	"ACH.000160"	"ACH.000223"	"ACH.000231"	"ACH.000246"	"ACH.000256"	"ACH.000260"	"ACH.000364"	"ACH.000389"	"ACH.000420"	"ACH.000606"	"ACH.000632"	"ACH.000694"	"ACH.000699"	"ACH.000721"	"ACH.000839"	"ACH.001053"	"ACH.001300"	"ACH.001550"
"389337"	0.0614432760695354	0.0478976819099483	0.142948499824863	0.0795490990294205	0.108266255056097	0.124681027570186	0.0895481014815641	0.171473010048723	0.0914900877697719	0.350116882967144	0.0249336790669184	0.166110713393396	0.0234034276661428	0.0975289640717964	0.0322296080013832	0.106495201149666	0.0924539285127103	0.0756934787058534	0.0128174657835111
"128602"	0.0851376091054042	0.109495368797042	0.033789535949991	0.0615645536329734	-0.0444018354224237	0.0900085135124776	0.0296371252103414	-0.0846546992921327	0.0821022291205162	0.181487852749917	0.210280009891636	0.118353934064023	0.122454861630856	-0.0485226459585244	0.0120871199334653	0.0883760522565239	-0.102709862997071	0.0207194612508944	0.0405690165486315
"85445"	0.244036783963273	0.196004402510389	0.245618952539563	0.200655955353159	0.253499782953048	0.185446855681563	0.243035243237627	0.178632215023792	0.332662612476498	0.329960561377677	0.246491314914917	0.281517444492285	0.201811336589032	0.214163633611194	0.298701134891854	0.332260149525317	0.375471591197599	0.197937391272459	0.189557600351469
"51692"	-1.02340681073637	-0.690275764680896	-1.10315127484058	-1.0509545379248	-0.927256079419209	-0.75529357204621	-1.01880306489214	-1.0177140317778	-1.07726880480238	-0.949862287617714	-0.841502064978856	-1.05600642883365	-0.845822216879065	-1.05605300130127	-1.01417690784807	-1.17505437913617	-1.03377799669005	-0.95373904239147	-0.705385946056679
"3301"	-0.406626320093803	-0.486978713294729	-0.375610216489632	-0.413068525034591	-0.260210824826401	-0.324671251564295	-0.404111826584887	-0.406845857591044	-0.702985910699392	-0.55451740927267	-0.657401729151725	-0.229247656426628	-0.385831613381973	-0.515499554804394	-0.326433067387167	-0.311897180966014	-0.494432680966744	-0.509199691872658	-0.48661912850086
"1809"	0.131133132726943	0.109455757652151	0.0832393637068079	0.0695957333599575	0.114008331382619	0.116378710692134	0.0065759871611071	0.254313969911338	0.113781991252167	0.111020639540341	0.0863891454125245	0.116352490109675	0.117436263854677	0.0138862344238629	0.0749109859689933	0.17538348834451	-0.0507927215954714	3.53347270977319E-4	0.0868081509162739
"1979"	-0.197271683203207	-0.232661011248173	-0.283377929035004	-0.394248607784406	-0.313054732675989	-0.245331731147009	-0.281202811484376	0.0869735668447015	-0.30463205039388	-0.421072796685627	-0.381936294308005	-0.310746313176831	-0.190805383462597	-0.305839515178335	-0.218761917419153	-0.134903014804021	0.0454500518858387	-0.281617981525808	-0.231642638362246
"83641"	0.204895057525215	0.0750956787865265	0.0626997138179393	0.204215797501792	0.0838218388533261	0.143887190005467	0.224734378545517	0.0810599477742024	0.135345364190104	0.06508268233724	0.147576129185561	0.0978608818583487	0.160326497733895	0.157910191373354	0.157262890811003	0.134683236239722	0.417567791332175	0.107751269586389	0.124482439611959
"54815"	-0.258446527890677	0.0719566363490526	-0.191241763338561	-0.317234316699318	-0.381242405953155	-0.305531068423276	-0.295940996405884	-0.46590146330618	-0.306838028028539	-0.360665850577904	-0.190054605171315	-0.370872914159372	-0.175392143259008	-0.217629260709334	-0.311200078435935	-0.274321501202011	-0.376835416310821	-0.335661119442039	8.08926546121967E-4
"2878"	0.19848495807635	0.0850993123185966	0.0906624870864277	0.167008357438117	0.0663695508594248	0.117331291585177	0.133404834575915	0.213761500926695	0.149570947307958	0.262259352499176	0.159728800236563	0.120335242534011	0.118755363101448	0.207079708760456	0.128592472488025	0.17084309148419	0.175384797302344	0.146819446304374	0.0914816327516897
