	"ACH.000009"	"ACH.000013"	"ACH.000022"	"ACH.000030"	"ACH.000036"	"ACH.000041"	"ACH.000060"	"ACH.000070"	"ACH.000078"	"ACH.000082"	"ACH.000085"	"ACH.000113"	"ACH.000132"	"ACH.000146"	"ACH.000150"	"ACH.000159"	"ACH.000178"	"ACH.000183"	"ACH.000190"	"ACH.000211"	"ACH.000215"	"ACH.000221"	"ACH.000232"	"ACH.000238"	"ACH.000246"	"ACH.000253"	"ACH.000256"	"ACH.000274"	"ACH.000281"	"ACH.000294"	"ACH.000296"	"ACH.000330"	"ACH.000341"	"ACH.000350"	"ACH.000381"	"ACH.000395"	"ACH.000397"	"ACH.000402"	"ACH.000408"	"ACH.000410"	"ACH.000414"	"ACH.000426"	"ACH.000445"	"ACH.000454"	"ACH.000458"	"ACH.000459"	"ACH.000463"	"ACH.000469"	"ACH.000481"	"ACH.000499"	"ACH.000500"	"ACH.000503"	"ACH.000507"	"ACH.000511"	"ACH.000545"	"ACH.000549"	"ACH.000557"	"ACH.000570"	"ACH.000571"	"ACH.000579"	"ACH.000605"	"ACH.000606"	"ACH.000608"	"ACH.000614"	"ACH.000618"	"ACH.000623"	"ACH.000624"	"ACH.000631"	"ACH.000632"	"ACH.000633"	"ACH.000646"	"ACH.000657"	"ACH.000661"	"ACH.000696"	"ACH.000720"	"ACH.000721"	"ACH.000735"	"ACH.000746"	"ACH.000756"	"ACH.000770"	"ACH.000777"	"ACH.000781"	"ACH.000785"	"ACH.000791"	"ACH.000798"	"ACH.000804"	"ACH.000811"	"ACH.000817"	"ACH.000821"	"ACH.000829"	"ACH.000835"	"ACH.000843"	"ACH.000878"	"ACH.000882"	"ACH.000910"	"ACH.000915"	"ACH.000936"	"ACH.000937"	"ACH.000938"	"ACH.000950"	"ACH.000953"	"ACH.000954"	"ACH.000969"	"ACH.000988"	"ACH.001061"	"ACH.001075"	"ACH.001212"	"ACH.001301"	"ACH.001346"	"ACH.001367"	"ACH.001374"	"ACH.001377"	"ACH.001380"	"ACH.001450"	"ACH.001735"	"ACH.001740"	"ACH.001745"
"221120"	0.00817042358494917	-0.138056960110599	-0.0793656247629251	-0.0350451858935089	-0.254361398884307	-0.0530222955371556	0.0177283344075421	-0.0482205871582867	-0.0580076834385867	-0.160013087353187	-0.147726348250494	-0.0165727701007218	-0.0311399046278021	0.165461870880333	-0.0100257573471922	-0.0828034146867343	-0.038472804540301	0.0122920389701408	0.220404684800956	-0.0108875012308663	-0.0494999688393669	-0.0477928754284886	-0.12875865892252	0.00668631151613115	0.0373121637590968	-0.0893756872207	-0.0645846035218407	-0.0102678842076031	-0.105660545937226	0.135315052033281	-0.0346865143122075	0.00484037208093109	-0.0262611641797282	0.0838387992464096	0.152612756270989	-0.115672997642288	0.0268487519674354	-0.279059688765093	0.0133076646085925	-0.00576781012132356	0.0418673504932318	0.0345044233126847	0.0287888256750151	-0.0906773551145696	-0.105112566650644	-0.0273540024999129	-0.128350728543954	0.0394697874943358	0.0604446763218238	-0.121185351747612	0.115708368154863	-0.0891383775210733	-0.048275642381294	0.0789571761998043	-0.144690437588541	-0.0749511921960863	-0.0619926957011173	-0.0476709586237941	-0.0374653585317499	0.139396287975706	0.0518114212945759	-0.0855843067542036	0.0535791738051509	-0.09282062914847	0.00130357369671949	-0.143835658917504	0.0171341105970981	-0.155020192814495	0.0345646918569911	0.024932425065416	-0.049995105482676	-0.0385683180762158	-0.136018538955182	-0.101582425678819	-0.14454821580605	0.0128424586962905	0.162359572862446	0.032938235689647	-0.0955520551636729	0.036553508690431	0.100518333366172	-0.0224679997929596	0.0313062988576115	-0.127009911963718	0.0388322788317196	0.152099228562429	0.02717894397378	0.0106818913554963	-0.065252099448242	0.0370403918772214	-0.0284884324990885	-0.240730850880175	-0.185884857888591	-0.15051722530516	-0.110797745644477	-0.122922590439155	0.0873106799102484	-0.0988797870870121	-0.0877654640735284	0.0279110242827811	-0.0173834101527249	-0.388670517299743	0.0487955420368476	0.130341226371533	-0.0352264521307223	-0.249776251147019	-0.210333392813756	-0.103171827916959	-0.103391884174566	-0.235906779857107	-0.396481123281497	-0.112003414381243	0.0201728828093573	-0.271952628393902	-0.116963914485689	0.170649861602716	-0.0173526742436034
"372"	-0.909535513293247	-0.933548139185387	-0.889179546321678	-0.760047413054038	-0.869276069870436	-0.66307232815656	-1.001555323989	-0.800874542483334	-0.966987439467509	-1.02759097825549	-0.91034390311909	-0.955567124506885	-0.942449912095401	-0.868648301097532	-0.949910596939997	-1.06217147412668	-0.857347739781321	-1.08064270170657	-1.02764419366467	-0.770758926072395	-0.786106625911541	-0.735754230297841	-0.923929197950788	-0.980101000431644	-1.06603719536346	-1.00693828275655	-0.880205580175105	-0.945989055901579	-0.619172631036747	-0.282099770505925	-0.937276627496216	-1.32440092752487	-0.704389664632709	-0.751493533097682	-0.889213533948067	-0.981413764538254	-1.0398208266802	-0.798981790004874	-0.966552355669045	-1.00825177006019	-0.844345074313401	-1.00409730563503	-1.13384098991503	-1.07775083390355	-0.902531397603763	-1.36578032384916	-0.847075122065809	-0.858093488526005	-0.991634788493218	-0.779341858425719	-1.07151638909842	-1.0514588906659	-0.858834061639952	-0.928964870361044	-1.0039595036714	-1.02228541809934	-0.890152280143216	-0.952493506408999	-0.810732545880557	-0.797371898251172	-0.910312007868557	-1.0150062253984	-0.861846783148647	-1.14387898212054	-0.995975670861658	-0.891895168065559	-0.846090696406836	-0.77118432795376	-1.02847693522016	-1.05007897862441	-1.09042674530874	-0.972948368949617	-0.824248071157397	-1.10293748646926	-0.897324154235384	-0.878239295505338	-0.807466953681083	-0.731075605126062	-0.979768095070674	-1.06253799915331	-0.839104814216154	-0.934508532900957	-0.898433474735379	-0.752773877192007	-0.957153234785375	-1.15380502845096	-0.982205981467978	-0.756333048667383	-0.781004417958163	-0.806707205821116	-0.624127482678119	-0.870537631031172	-0.497747919515464	-1.04420834111524	-0.953446695430967	-0.821903660279755	-0.689220689422364	-0.785263512948942	-0.780888693325832	-0.802810281950127	-0.647733613426449	-0.766796549986036	-0.932743299463493	-0.696239722291976	-0.939808982365734	-0.704008859737552	-1.04323419244643	-1.00360186719269	-0.997366357466777	-0.990706212535722	-0.936378742412511	-0.896266306510426	-0.912427509223262	-0.716632313538063	-0.967600764578856	-0.892563574096046	-0.816085677715757
"29028"	0.115576936854069	-0.0210323006315443	-0.0207381548988147	-0.0365736715498177	-0.101005809726417	-0.185487001637402	-0.126538133242393	-0.0643321607764426	0.00279428755632211	-0.0866607029826498	-0.364589487806231	-0.109604264193871	0.0729734328148083	-0.0152602192230856	-0.252264389508534	-0.147044712724629	-0.109632156931607	0.00191692722835062	0.333068820291067	-0.0259097956981227	-0.0531383981515894	0.0672296615110356	-0.006295141347343	0.072363879023309	-0.164032483734315	0.041549933887429	-0.00829492567822355	-0.0266378038965013	-0.0800703908105845	0.0198714298526004	0.0546359817382565	-0.0105711313857432	0.0791646479036324	-0.147248135542973	0.120924904388101	-0.145384559106087	-0.0387179307951614	-0.353672412534107	-0.0263897794361284	0.0523210371307615	-0.118100381352165	0.135007344638335	-0.0280346518268551	0.104476692829481	0.127162253514146	0.0739980003746901	-0.0317926736829334	0.161579749913116	0.107158943941412	-0.267964055901214	-0.0594677592467905	0.209216183109692	-0.253745818622831	-0.0845556972792534	-0.052566990450827	-0.147704821012934	0.0176911654274264	-0.0638983417619464	-0.0149426971179084	-0.0391612126404319	-0.0837344090326753	-0.075434361974302	0.063010508980253	-0.152211090499722	0.00475536453938493	0.173333763861114	0.0230797384656318	-0.0808833241861094	0.100763426674822	-0.0548505301927162	-0.0890201131626315	-0.0405654614801219	-0.0691198342941905	0.0980670064412142	0.0826425006874475	-0.0857461510678119	-0.00258707307985939	-0.0698488765884483	-0.0926682002526211	-0.0276759496457551	-0.170805433470594	-0.0503267672679387	1.92316581784125E-4	0.0454361654819348	-0.183144966467597	-0.0257126111857866	-0.0226324539120197	-0.144176269245772	0.045593432889725	-0.0786381823599124	-0.119711636795931	-0.0999677508947719	-0.0754123438758133	0.0497968454991824	-0.112358177168344	0.120163739252642	-0.0133286262433304	0.0208127237154347	0.031579437243414	0.0192973470969145	-0.0685675019451669	-0.284187662712865	-0.152799380268039	0.0644912563099361	8.78898173503691E-7	-0.144430853656101	-0.0706060973048517	-0.097445236631182	-0.0404718328634436	-0.0933592325227726	-0.19721414964824	-0.09948090572858	0.0365787600380873	0.125780097024389	-0.0323505310296039	-0.0416764465801425	0.0631023278448261
"84267"	-0.00318592970198311	0.0231343791740233	0.091894448052799	0.04879022475376	0.0250795378590014	0.02375268339247	0.107200360938527	-0.161702106067063	0.119361845096214	0.132618826164563	0.22206806328037	-0.00570917423599272	0.157944819138661	0.0603771032199533	-0.240874567616832	0.0252002974239704	0.0567293696582273	-0.00463598404047154	0.331814137096912	0.0773294240859039	0.0333938634599948	-0.0220555588551294	0.0148203504859434	0.0179306479459442	-0.0376274259533101	0.0160830233339796	0.0417174892957725	0.0649152463104238	-0.196280423616136	0.0578666712810962	0.0558670362876042	0.195228626692265	0.174314005937371	0.139852067637172	-0.0286668368259946	0.0898944231177947	-0.169306531607339	-0.170475158280911	0.11552767517457	0.0396633752740014	0.0122081571128019	-0.0215077291184887	-0.0230735700531693	-0.207888489306629	0.153991528436281	0.225586486637843	0.0136458722778478	-0.00868983752279387	-0.114963297708755	-0.216568637749707	-0.0260237777492018	-0.0694714791873563	-0.0794010222226321	0.124890491219857	0.0585382844258606	0.0640872666872399	-0.076689791545362	0.0509779326817841	-0.0728482699633491	-0.0374044119130067	-0.00144768075536146	-0.0161904680731594	0.0939226955077331	0.0138648537804155	0.13783463283902	-9.95803443382279E-4	0.0739781891459669	-0.0320403309273647	0.0590352276651297	-0.0647105080083321	-0.176729185490257	-0.0968013540612718	-6.21439912066295E-4	-0.0195664330991368	0.0503377709263935	-0.0664934352049131	0.225297863989718	0.165651899063405	0.0954692738452485	0.0286539064306254	-0.0496289534955646	-0.0235451893270873	-0.0393880084461252	0.00864743983013211	-0.204099472537945	-0.0473817869278987	0.0630041171265667	-0.0448523578008499	-0.0165014690342872	-0.0739060960526732	-0.159208816661677	0.0831496135114931	0.179251624360765	0.0521307191231774	0.0562158810299057	0.107184064746081	-0.0404882100833389	0.0292490376368919	-0.0648319852401571	0.0247984629925549	0.0153992563264992	-0.113294358182285	-0.108619086161551	0.108577493699187	0.133683173771669	0.119551329621044	0.0422040416274129	0.0686321530986664	-0.100936597275099	-0.319468819924628	0.265008406906948	0.0408385411210086	-0.121265505668413	-0.163641056969936	0.136334888714114	0.0293394123666789	0.086492788289874
"728642"	-0.788351061736618	-0.57969911768957	-0.841922418557686	-0.749140863570643	-0.757796646636819	-0.642438682140069	-0.902128456443183	-0.738290232198407	-0.745505396040397	-0.894242307641852	-0.573535013602252	-0.871983398053673	-0.651524568681437	-0.583492959764298	-0.895740036873196	-0.548259495999781	-0.618244892359155	-0.479338210229848	-0.525304676101927	-0.575671343798845	-0.677076281492279	-0.717652370856251	-0.584609920596077	-0.810438303410238	-0.761104394784963	-0.547106977966977	-0.665524374752363	-0.662711144996527	-0.61466923214969	-1.0311754998423	-0.94452009404438	-0.910535200500086	-0.588280950779379	-0.611150108307099	-0.789120439247042	-0.802823801401931	-0.841200484035013	-0.768006201829623	-0.807854624431916	-0.60083448632954	-0.653152715448973	-0.648052369701153	-0.782437955355042	-0.685056087839065	-0.619277818016487	-0.665842596008699	-0.707440391385546	-0.690822396797451	-0.868809635106044	-0.707381315306837	-0.938838042823905	-0.572283790979272	-0.64659173577449	-0.654562256756012	-0.656410036524895	-0.640248650040586	-0.826135906202126	-0.737850835816064	-0.597879887991162	-0.526713452109132	-0.718041519703395	-0.59839481319252	-0.786628738943716	-0.632766615599636	-0.638255144682734	-0.859664509343296	-0.626830092522748	-0.635678326474151	-0.531513924887446	-0.523413354365763	-1.1148624664065	-0.651351678733701	-0.505628428369262	-0.872459269293065	-0.64034990909443	-0.58787467659061	-0.638192449413856	-0.846032074773876	-0.776864895749071	-0.631113901485834	-0.680937323101934	-0.603423654667669	-0.637457843532217	-0.538192740766721	-0.717574838918894	-0.79007426311807	-0.660248642405788	-0.455384999410114	-0.295244616553625	-0.827205620863323	-0.573007162076991	-1.101190548909	-0.594765523016043	-0.613738954196372	-0.661997720641864	-0.650691113286015	-0.72190588678712	-0.584847901932248	-0.521502850679553	-0.447550439417966	-0.49912486194211	-0.605549714119319	-0.614257870123867	-0.622053477281561	-0.547337535544283	-1.00158394925469	-0.869718634658955	-0.956046948831998	-0.896758470720786	-0.675510787681521	-1.06480116794052	-0.720459970306335	-0.866693511527107	-0.466726863055296	-0.598321669522543	-0.79228976239233	-0.978950513652361
"26038"	0.00835560173767855	0.0594550572698708	0.0463700079654574	0.0495901283854864	-0.0897749907303379	-0.178023247541585	-0.0943942604202442	-0.0885726585711973	-0.112907896175293	-0.0406881170223616	-0.247485660805887	-0.0487463254347256	0.126157258453161	-0.140203411915327	-0.331635942264777	0.0631607709330809	0.0168598849383607	0.0988199313224312	0.509947322022568	0.0259888418528384	-0.0665698125572484	-0.0696248182129972	0.0444836439409273	0.0568420350886891	-0.0351431398916839	0.055638595094062	-0.0743144220836713	-0.0574567635375079	-0.00795963003548688	0.0120095489111047	0.150452420119252	-0.175824488050415	0.104012171666081	-0.0190225165984192	-0.147716239733614	-0.121284355303676	0.0402806443984674	-0.436724560332767	-0.118892463708989	0.0334944589580616	-0.0292066445012771	0.0356700933850299	-0.0208093297197424	0.0421460474007312	-0.0389461879707776	0.0408685804939816	-0.022350894067597	0.0382032349491285	0.0823882244766887	-0.0397525361476916	0.0561438934976165	-0.156066434372405	0.0692879956996014	0.100218575999983	0.022293279213938	-0.101395618629834	-0.231514700486574	-0.054064923459847	0.0716853866731974	0.109277443633181	0.114197682894773	-0.124016642422185	0.0470197185754863	0.0291196964472811	-0.0232278362855358	0.0154921937931461	0.107489213911821	-0.187159872100211	0.0060749182445877	-0.16670712593983	-0.148788597046805	-0.0150100513072284	0.0502871450151506	0.134369246526728	-0.112911155478238	4.01253828655416E-4	0.0366809983273625	-0.186502372856736	-0.00966249859674765	-0.0256204498317395	0.119604526003919	-0.0155463439903228	0.105767506558863	-0.0558900014932062	-0.071086994036957	-0.0791754285508534	0.0131309898478578	0.0332992506795652	0.220643831254304	-0.0891344997464415	0.108522806171565	-0.0638114803260554	0.138518543912951	-0.0467647758680163	-0.128365467226822	-0.0810871652063119	-0.0472831542375275	-0.232705808915414	0.0332489647532577	-0.127170242287209	-0.129828465843852	-0.0130976109103539	0.13242738941217	0.0852758799675499	0.0830310251876593	-0.114712881899969	-0.0998533174524297	-0.105266738123195	0.0365869335000172	-0.182570176788552	0.377362843220862	0.0281561287552779	-0.0035502779211202	0.104598676958519	-0.206699022454742	-0.0745921541895282	-0.119977815842761
"1315"	-1.4670211411883	-1.21640098517531	-1.46103470534741	-1.4576021128758	-1.35583420353952	-1.49387466010103	-1.35308705664175	-1.3535137969984	-1.48221113234129	-1.48215047389897	-1.53012825794198	-1.41445375501783	-1.22103372248929	-1.44521275528027	-1.2173802488684	-1.34700322992679	-1.33214132226929	-1.60898851046574	-1.4146447822336	-1.27406660807883	-1.50712128041146	-1.40307016644741	-1.43192884529395	-1.40358268516393	-1.3188252444792	-1.38999166920359	-2.24043980399155	-1.35265159843274	-1.00992916265643	-1.18799200432263	-1.31159374931398	-1.45238821670407	-1.36922995305826	-1.38762313778124	-1.05420686877193	-1.34373827718549	-1.41455953998689	-1.04526976201381	-1.43430912949273	-1.45518595193174	-1.59944016049741	-1.20021194269827	-1.62270305212948	-1.63665070891217	-1.34822192928769	-1.76375768075509	-1.28868702999175	-1.56974871133661	-1.46151720865892	-1.34287954776165	-1.2951799490992	-1.34864560074018	-1.37633151463906	-1.30958595728704	-1.39691010005666	-1.51128032128856	-1.33353586737105	-1.61983016249093	-1.05435396126824	-1.00540729692789	-1.58679727463581	-1.21178951276031	-1.37454027445461	-1.51072960189345	-1.65295539812792	-1.51768163710334	-1.38781819164922	-1.02260683044753	-1.44205734923824	-1.60136377710083	-2.02254023769701	-1.39167071566851	-1.65487633129165	-1.51250158249439	-1.26672854478416	-1.07590285337726	-1.10981669727828	-1.1356438857794	-1.49477967350087	-1.45592461190806	-1.28079169212814	-1.46188032376276	-1.58141599977846	-1.24199886566807	-1.36701776972328	-1.45917377554842	-1.35014493127936	-1.40613112320388	-1.71127042125477	-1.39505025974223	-1.20632090376978	-1.52756161486024	-1.27454195698983	-1.43035142592338	-1.60384029970096	-1.23722078756747	-1.32059652354032	-1.38155375930969	-1.43645935973075	-1.12087068608625	-1.00675620731529	-1.60641649354048	-1.44085022694423	-1.43024743156658	-1.14337197085772	-1.23670012235775	-1.21515573479715	-1.01602489282935	-1.18278702426488	-1.56594658450822	-1.13893331374065	-1.21152465931949	-1.3931288097157	-1.25102193002984	-1.48804067304915	-1.50998003093222	-1.47951533480169
"1615"	-0.8366980021806	-0.929325074487513	-0.850672462284345	-0.886882841797724	-0.740052234901768	-0.916480956381256	-0.636380974536355	-0.930996093968623	-0.843912638310261	-1.02614294657447	-1.07425204539801	-0.882973500167628	-0.855281887233491	-1.01393233884995	-0.578305511959616	-0.957827756623065	-0.898366550011113	-0.84639263925251	-1.0250528847384	-0.945583213042156	-0.806103387607095	-1.33380800986627	-0.881036412769294	-0.850341860743621	-0.812930515164464	-0.964512531214341	-0.872443570421189	-0.923741894221435	-0.851633030612707	-0.912926143010294	-0.541720843003582	-0.883074395548948	-0.869147596810645	-0.838800209327124	-0.835342015830938	-0.808327821967918	-0.811564847611675	-1.12915010869252	-0.761690366062479	-0.828976241734579	-1.01899647953358	-0.896487875602149	-0.927186863762603	-1.04307347084037	-0.910248075644969	-0.505418059779102	-0.894495317403752	-0.848240048393354	-1.41874247058814	-0.728877546829254	-1.15959729085996	-0.743197655793355	-0.930863550348233	-0.859110323840902	-0.890826580225666	-0.805046322241806	-0.765716181318856	-0.957323608026954	-1.10118193494646	-0.726301562104207	-1.30061163260064	-1.04516984443188	-0.725524926506008	-1.10083411992237	-0.72677142040328	-0.943560627973175	-0.926934368697492	-1.18803915288056	-0.885899029233761	-0.854898780711323	-0.570477599158978	-1.04384478042181	-1.31193189461338	-1.02834414773964	-0.922764871620548	-1.30775167489009	-0.788444940591605	-1.08775872203667	-0.865886000373866	-0.923011500545482	-0.802237416632196	-0.84735539528433	-0.888631878346246	-0.93537523642553	-0.780524898564569	-0.829944019547992	-0.877123746455723	-0.96347142887006	-0.937646395902889	-0.928313824899284	-0.847919220849522	-0.853696798077811	-0.839434612140796	-0.930187668835355	-0.857642376760001	-1.01277694144756	-0.838581142350216	-0.753382950886478	-0.809739661186407	-0.931986665451444	-0.851667134510344	-0.96054291612893	-1.00228453882723	-0.828876921062644	-0.987665475269811	-1.00299647223673	-0.653034911414281	-0.731004437439799	-0.603244609436656	-1.01857179867642	-0.844234172120582	-1.10287201159141	-1.07473526789556	-0.816782096178401	-0.908741567806847	-0.749335553666981	-0.747193193704197
"1665"	-1.11910884630451	-1.10920830611832	-0.877765225981898	-1.11607315019423	-0.955760973328173	-1.15656022608978	-1.13199769741692	-0.833135505371963	-1.17103319275221	-0.623939152645628	-1.21781388408909	-1.10557514193517	-0.739967660763152	-1.11269721143175	-1.15770272431711	-1.04509874430733	-1.0164964802622	-0.998054031297877	-1.10447954229914	-1.02610556855324	-1.03015521894774	-1.05888089507627	-1.20606458202518	-1.12270226631308	-1.04329569094349	-0.78207387072132	-1.28157745703691	-1.11759094453402	-0.954931829679991	-1.00788462025315	-0.919564842911443	-1.1056369416191	-1.06431177735007	-0.893408037919554	-0.963670521598662	-0.893145993407986	-1.15143943136883	-0.847716769492912	-1.16333472932233	-0.839827670315588	-1.12472235506963	-0.628125293990708	-1.05583799122742	-0.909996373712602	-1.15404296858647	-0.768858383766368	-0.996206244070335	-1.22706894704954	-0.9572315903324	-1.24153252779507	-0.97458549306211	-0.774074343315309	-1.06019288635159	-0.992181071377647	-1.02634802477999	-0.969410438260788	-1.02143726675625	-1.0959985853527	-1.23635589805908	-1.00045790385206	-1.06199769619035	-1.02133248986781	-1.14609462041083	-1.19067814204839	-1.11850701585141	-1.01800744407261	-1.05814222752513	-1.40642356100298	-1.12531388409514	-0.79270034731072	-0.770901543475579	-1.01961523838419	-1.06941701486999	-1.11650830722192	-1.10884009306899	-0.907501301426754	-1.04718740300351	-0.928486316264168	-0.959199905162812	-1.0742265138825	-1.01605800959923	-1.12718525340274	-1.28103255101385	-0.784092802072559	-0.932374757814736	-1.03708712240402	-0.790067291795924	-1.08077879621551	-0.936923252697145	-0.996006251100328	-1.21900391600361	-1.13526593693841	-1.03859154329855	-0.9494805408917	-1.24405676939297	-0.842321099483607	-1.14002089723859	-1.04651526817393	-1.03959865212263	-1.08846118275043	-0.897091039323414	-1.03657487866764	-1.02209816425332	-1.25573402898364	-0.886466993016805	-0.98136052388169	-1.05657588076985	-1.04641420348843	-1.10020283331952	-1.14267679289312	-1.0477700221129	-0.991100347651275	-1.01527114963695	-0.989553975378828	-1.09676706606546	-0.898346440666932	-0.991696380498876
"8892"	-1.02208008480726	-0.874521457760859	-0.820960185765622	-0.850363322109037	-1.13824412943289	-1.22654730848507	-0.84847131407306	-0.761598967463137	-1.26009525207404	-0.907053754691384	-1.19537211810795	-0.99682071164041	-0.894406225541327	-1.02135143415277	-0.711504194126365	-1.00936380441708	-0.928098511686362	-0.823238543758029	-1.00826416511514	-0.937794583294702	-0.87918311955367	-1.09316658283867	-1.00511107820244	-1.02415708231902	-0.985886255381663	-1.05432171184712	-1.03005598175893	-0.879642263441766	-0.904049064224198	-0.893968415040319	-0.989382089428059	-0.999265606602846	-1.52440508737601	-1.02489791796872	-1.04745279861357	-0.931881174223711	-0.876255060268576	-0.966713299522788	-0.903359609311958	-1.02743408351047	-0.743344332318496	-1.14509618032493	-0.996885134268485	-0.956765136128921	-0.837592237624645	-0.899191300714178	-0.902572033379866	-0.887418310329523	-1.09105699160189	-1.34167389167261	-1.06897860896461	-1.16589958810066	-0.925425446201958	-0.921536018688098	-1.05899043781239	-1.04238187578035	-0.946494920044611	-0.99984947354633	-0.915581988774946	-0.868453002112442	-0.870796876906275	-0.913266765268853	-0.909974930734648	-0.872857769967507	-0.837361292402844	-1.14484085140327	-0.999928575285665	-1.23934986612811	-0.727380389550834	-1.06644300206551	-0.685617112907339	-0.923445652649784	-1.12855489277723	-0.949218263147663	-0.946356460552039	-0.870766351050166	-0.922901644150672	-1.03208936161527	-0.848832729039819	-1.18558964758683	-0.888246643863547	-0.924325812336022	-0.815389408688889	-1.01110276691934	-0.841111783067192	-0.928086564044694	-0.98860827961043	-0.96263199668484	-1.10259105506541	-0.846323218577977	-1.15605998178338	-1.02271448951418	-1.26477200175498	-1.01832914095722	-0.857961152409378	-1.08626864680794	-1.20544678309089	-0.82674294307075	-0.938725950436287	-0.862683668601857	-0.767712483055806	-1.06789107630184	-0.856500079202447	-0.97176659859652	-0.896877165419013	-1.00132183706273	-0.8540654706662	-1.10957137411778	-0.895097844972806	-1.42395798961175	-1.16113296093215	-0.832294278915795	-1.0398752399931	-0.781463658939348	-1.01875873903861	-0.98595592320699	-1.04331138916465
