	"ACH.000012"	"ACH.000015"	"ACH.000025"	"ACH.000030"	"ACH.000035"	"ACH.000042"	"ACH.000052"	"ACH.000054"	"ACH.000086"	"ACH.000113"	"ACH.000116"	"ACH.000127"	"ACH.000132"	"ACH.000133"	"ACH.000152"	"ACH.000169"	"ACH.000211"	"ACH.000231"	"ACH.000232"	"ACH.000235"	"ACH.000238"	"ACH.000250"	"ACH.000253"	"ACH.000255"	"ACH.000261"	"ACH.000265"	"ACH.000266"	"ACH.000307"	"ACH.000308"	"ACH.000319"	"ACH.000324"	"ACH.000331"	"ACH.000332"	"ACH.000339"	"ACH.000348"	"ACH.000376"	"ACH.000387"	"ACH.000390"	"ACH.000403"	"ACH.000410"	"ACH.000444"	"ACH.000448"	"ACH.000468"	"ACH.000469"	"ACH.000475"	"ACH.000486"	"ACH.000510"	"ACH.000511"	"ACH.000522"	"ACH.000527"	"ACH.000528"	"ACH.000542"	"ACH.000552"	"ACH.000570"	"ACH.000605"	"ACH.000623"	"ACH.000627"	"ACH.000632"	"ACH.000638"	"ACH.000647"	"ACH.000657"	"ACH.000665"	"ACH.000676"	"ACH.000677"	"ACH.000681"	"ACH.000706"	"ACH.000713"	"ACH.000720"	"ACH.000732"	"ACH.000765"	"ACH.000768"	"ACH.000769"	"ACH.000781"	"ACH.000783"	"ACH.000784"	"ACH.000787"	"ACH.000788"	"ACH.000796"	"ACH.000811"	"ACH.000819"	"ACH.000832"	"ACH.000835"	"ACH.000839"	"ACH.000841"	"ACH.000843"	"ACH.000851"	"ACH.000859"	"ACH.000861"	"ACH.000865"	"ACH.000872"	"ACH.000881"	"ACH.000882"	"ACH.000884"	"ACH.000887"	"ACH.000901"	"ACH.000906"	"ACH.000912"	"ACH.000913"	"ACH.000917"	"ACH.000921"	"ACH.000924"	"ACH.000932"	"ACH.000986"	"ACH.001061"	"ACH.001232"	"ACH.001306"	"ACH.001318"	"ACH.001336"	"ACH.001380"	"ACH.001654"
"11047"	-0.501630174591733	-0.306016104077915	-0.389056538346812	-0.667910169821315	-0.215214748857041	-0.39028052368741	-0.505860908406221	-0.855732619436573	-0.554090110025174	-0.48613769203974	-0.363274112991684	-0.415551507525795	-0.58750162927573	-0.44835733103662	-0.451213944686362	-0.404809485532804	-0.753888135590806	-0.4704638547345	-0.443324797160005	-0.454627518481462	-0.637468982561714	-0.438212345488243	-0.357946930215748	-0.526665834574333	-0.630923799034039	-0.31507028130985	-0.624106311534355	-0.560302166648968	-0.410519245317592	-0.411657449922151	-0.475016786989917	-0.627622542451718	-0.290925716496571	-0.522304096986684	-0.308727994503613	-0.553274013550283	-0.498489697475828	-0.592756298189145	-0.529599312148584	-0.206218854855235	-0.452911169186263	-0.537622895637309	-0.840064792517277	-0.603528485645675	-0.410390779671468	-0.832662801814579	-0.447523621094129	-0.357018276986959	-0.732474887208583	-0.569608445256057	-0.244441020769818	-0.611223277882662	-0.330080821920183	-0.494788521687353	-0.312901741884519	-0.447693071983853	-0.562325309634681	-0.487203636781332	-0.200023514962918	-0.520974886182734	-0.401571364372643	-0.718555711346452	-0.367847601400023	-0.786224770053916	-0.561212078772117	-0.372984336380147	-0.313062277664444	-0.29745106697029	-0.525593852863655	-0.441671687136694	-0.609886728338697	-0.536618126875988	-0.240291361541968	-0.507626861214047	-0.518233693095228	-0.545306114319672	-0.308217688053518	-0.569662337797307	-0.340741337571588	-0.351910919449745	-0.452518329753575	-0.352776346061162	-0.560444980509887	-0.259159436827537	-0.440896347057824	-0.490896092098423	-0.534830583437053	-0.189878747321959	-0.318470259522898	-0.248877413697657	-0.54754285875182	-0.69459559293454	-0.246123302741521	-0.395077622406585	-0.268417149744599	-0.515897705257675	-0.237856715825575	-0.501742844175085	-0.493851116170333	-0.624690988856218	-0.409918725755097	-0.777364807338388	-0.483696259155047	-0.410751678604071	-0.321992619839284	-0.461249032144433	-0.0923399450169661	-0.544888523746168	-0.200459493366125	-0.361029765951991
"388381"	-0.214137464145508	-0.0420107542619644	-0.0556178970617626	-0.146098199938142	-0.155277332264534	0.050453164762625	-0.152949967460708	0.0826227106065319	-0.0906131302644659	-0.0126174571808295	-0.0132890016996281	-0.0688449901738319	-0.182103244975025	-0.0690617456132409	-0.0750338310506341	-0.0920776556651376	-0.182249185569857	-0.082248378290959	-0.042918800236937	-0.178559402225637	-0.18626645998282	-0.107609170660658	-0.117059282143937	-0.189234271049379	-0.0535043414792652	-0.0748064050613567	-0.0564377709095654	-0.087544498441402	-0.110152641062388	-0.0733294934699883	-0.0276230628279559	-0.0918921486188919	-0.0820170396714491	-0.138435450751264	-0.0473865210746806	-0.0973289607319363	-0.139511181002301	-0.181027410786633	-0.0960277511774648	-0.122938277970169	-0.0790268007693671	-0.0107291060464303	-0.0684914904203232	-0.106999050113913	-0.161626138052091	-0.105558705829414	-0.0057728297971421	-0.103168559567485	-0.164236942802743	-0.0909758616002838	-0.0825429556207195	-0.131654865709897	0.0052804871887547	-0.0227001876536536	-0.0966003599575537	-0.0730651297387236	-0.0469166804307183	-0.142650609328031	-0.168629584581737	-0.169986212833041	-0.0509364408934435	-0.0566072650386008	-0.120440558598615	-0.0913126151936457	-0.131215008425038	-0.174360465053866	-0.186488132522376	-0.1891634395544	-0.205126381542592	-0.152034238932174	-0.171895670138287	0.0274307592877275	-0.0280358207893414	-0.0343768323410136	-0.179932078807123	0.020431364952772	-0.0929464928198152	-0.118241570972363	-0.125971569341299	-0.00115326567154006	-0.130721415828843	-0.0384538267199968	-0.0886785702184857	-0.0958548228133921	-0.013043560068388	-0.206774713285426	0.0173922444387676	-0.0435239024794236	-0.0533842245600953	-0.0677316988100871	-0.190579577168157	-0.20560353047568	-0.0842504423873654	-0.10378439600637	-0.173137573318816	-0.119222926962678	-0.0942296691732863	-0.0900960742186358	-0.0921690283069907	-0.126776590471812	-0.100632969775796	-0.0108851060820388	-0.0803851819558885	-0.190114709258958	-0.203715236362882	-0.179676136319005	-0.0398802110243747	-0.0580363793234453	-0.168675400307452	-0.121015375026558
"2107"	-1.49374587976699	-1.49282840310424	-1.24271417617931	-1.55689674815766	-1.23777819343558	-1.32435669265838	-1.39489544970431	-1.42375950555334	-1.3492384853817	-1.5520852869487	-1.52608732808706	-1.338906537908	-1.41107654256936	-1.40508736020797	-1.31293001100048	-1.32916495976924	-1.35290875481457	-1.3162403253114	-1.29644094953374	-1.449036293272	-1.59680096973562	-1.31805079268709	-1.41624227626345	-1.34220208219333	-1.25447286539063	-1.41175248815446	-1.37359939820636	-1.3093782586883	-1.42443822392488	-1.24443145195067	-1.35308930491929	-1.37755979240832	-1.2479282290694	-1.34971394447985	-1.65884446832477	-1.43324762573148	-1.48295852858697	-1.4494274879374	-1.55293452977113	-1.39009491605836	-1.28364689693202	-1.34396074070273	-1.39028567532829	-1.39064889186085	-1.51670352713327	-1.25729450485742	-1.3397592099311	-1.39377980706027	-1.37404203066506	-1.37060313032373	-1.42836975255522	-1.2539824265733	-1.29099774068479	-1.34891889287525	-1.53736039794993	-1.38498591486935	-1.15743466339996	-1.36517147916045	-1.35423736582794	-1.39832054515893	-1.53112268338855	-1.33095170636967	-1.32704250511787	-1.52587296530164	-1.30021902328281	-1.26993374008592	-1.15970296268948	-1.45348446930348	-1.45935142259825	-1.43948594217569	-1.33411890517298	-1.37631219950023	-1.48680380563597	-1.49705100674635	-1.39043409834397	-1.45250212698703	-1.34015016696375	-1.16654389555471	-1.45142105571753	-1.30244416971762	-1.25887728796594	-1.46356293046659	-1.38067530650243	-1.36908942587866	-1.13746034184219	-1.47060592188396	-1.35258352553443	-1.50072547165387	-1.36304490618669	-1.42001942296629	-1.40838880101573	-1.35217143347209	-1.48545866029172	-1.32929589021025	-1.35458391489951	-1.43788763244508	-1.56126867422872	-1.34365085098116	-1.56102363522866	-1.46962019291975	-1.34170865050218	-1.43512934977316	-1.39895838649178	-1.37547375258169	-1.43283549785589	-1.44675224744027	-1.40586682021898	-1.37668134524527	-1.51957396241793	-1.43242011015022
"352954"	-0.158819240241511	-0.0627806580936597	-0.206699162650159	-0.0979807074164925	-0.330027362868839	-0.247795686598437	-0.16978213413845	-0.235948475277565	-0.046359294498996	-0.189165695220827	-0.12271430936544	-0.385953321446935	-0.120198161486103	-0.173365859633615	-0.211548758169339	-0.165883670744923	-0.302002651398875	-0.206790696857291	-0.243154382022316	-0.255199213485662	-0.251919332677833	-0.101320433550737	-0.310450218990121	-0.269904427743126	-0.322993063888808	-0.103538318507472	-0.275401172619812	-0.194698972986047	-0.0884334079245087	-0.1702092393272	-0.260994104029287	-0.302177889687785	-0.172833601467655	-0.270959118797187	-0.17332419610257	-0.280815725984571	-0.149151904341927	-0.137269204018187	-0.157774358341899	-0.153492331502124	-0.194341842330113	-0.10960523318531	-0.16044612572559	-0.285162052598571	-0.166381081991784	-0.108458610002028	-0.161387585126344	-0.234044862053458	-0.255241678914229	-0.212384249242295	-0.111358174445443	-0.289142180676939	-0.174009696363661	-0.0264902146947554	-0.0633931611059936	-0.151954259297182	-0.220891408947966	-0.370725987829862	-0.29952038816148	-0.0709375781187011	-0.131764484652228	-0.270477845637012	-0.190642705384253	-0.128774968014731	-0.285670306550051	-0.296179335163238	-0.224978201808458	-0.15290434171796	-0.0851345768420124	-0.193891929662121	-0.138308326803583	-0.165616308706104	-0.107312033540329	-0.0853528756922557	-0.145410904765218	-0.262251975672441	-0.263050670672255	-0.23499749165265	-0.384937990172229	-0.14821614455587	-0.196071028249237	-0.255683712673147	0.127114925924436	-0.331658514766773	-0.171702864758313	-0.272704936487447	-0.0351598078177253	-0.194543287065181	-0.220977986844249	-0.0095675163788722	-0.230660987131583	-0.326429601092548	-0.164995404382873	-0.336706372813108	-0.353098799019963	-0.210675368988676	-0.277548413701231	-0.23321366805468	-0.226937300333801	-0.407316530467395	-0.193271976883056	-0.172768524397776	-0.164578893416056	-0.151006214740439	-0.210869574655663	-0.31710458421439	0.0923263557270603	-0.235407146977334	-0.311809672419584	-0.291370409894667
"2783"	-0.193723120445359	-0.062733203014422	-0.169107506809715	-0.409726231768633	-0.392864767307298	-0.283159177566913	-0.322647315325952	-0.295652353731407	-0.224866128265594	-0.466158855746519	-0.211425330187593	-0.275500315341829	-0.315818096081713	-0.198560781222062	-0.429372204221891	-0.218499183339275	-0.225114250943988	-0.344625296334902	-0.347395529343405	-0.349288063453085	-0.446861622354001	-0.472977617907052	-0.262774605562299	-0.318975412116196	-0.246536868834262	-0.174499756707374	-0.307444902909983	-0.254026479688537	-0.236457694862559	-0.175274314637218	-0.314194261800624	-0.247337227107164	-0.240987381757381	-0.182058740797256	-0.223331277390537	-0.367904510970188	-0.20361206155368	-0.264985365753479	-0.290154039099974	-0.270325411528637	-0.215913991682646	-0.277693586913703	-0.333378692124226	-0.468273450209517	-0.210888353001989	-0.0403863774480494	-0.144964604845779	-0.232446408140808	-0.421446141123277	-0.0797490262425148	-0.0997055379815719	-0.363519311291871	-0.22656284928311	-0.231432519735389	-0.220752289985949	-0.111641365041829	-0.288777345277061	-0.161963755041379	-0.186185273864324	-0.132704184447395	-0.212744319851717	-0.131837931183594	-0.144655044554065	-0.230155024464909	-0.312758864374729	-0.190439566014226	-0.152311093047852	-0.143521032848273	0.0542856763059915	-0.115087694633345	-0.173848201771545	-0.182660808678837	-0.0713622331076882	-0.196567998159323	-0.251965822600129	-0.123740303037536	-0.390576563583135	-0.257423625406811	-0.181705193463781	-0.1783910323159	-0.135521345625339	-0.0649912692866299	-0.202467769703677	-0.440807466251058	-0.0587065245995849	-0.37746149473919	-0.0894539038700712	-0.117722475190513	-0.0927133327306181	-0.138618475002748	-0.225725275650486	-0.173432765537792	-0.237700981068662	-0.248690447523875	-0.155747800501855	-0.156905844141467	-0.275553105445901	-0.229583335650851	-0.124703082884851	-0.32670452204973	-0.155775942029042	-0.406552440765014	-0.270440505096	-0.214007101983366	-0.229396712304974	-0.493794013001498	0.102013787492152	-0.197919231747829	-0.244887750070739	-0.266766383226842
"2996"	-0.0747422547941012	-0.0158026676913901	-0.00900656849965549	-0.0974068665106632	-0.0374617077923532	-0.037448325589562	-0.399368182978476	-0.0886926263676571	-0.162304224562293	-0.0739473886571971	-0.220853061108903	-0.0814840543385835	-0.0449291018286333	-0.0530623484499413	-0.18047557549	0.0250990837388189	-0.176793307111798	-0.128347550616204	-0.140745737086864	-0.0350049680087341	-0.0995695938289239	-0.172283129937657	-0.218471344225609	-0.101975483735523	-0.120362006689518	0.0216872726986299	-0.114490494444154	-0.104244804490052	-0.18859678657385	0.0159844924463853	-0.0962923729607404	0.022600828177604	-0.0946329233497294	-0.086844857359839	-0.0439832503419625	-0.138806329755484	-0.114904206829662	-0.140857019939435	-0.185638042554437	-0.00861400160189027	-0.0192456273562332	-0.202766254546444	-0.238416100632123	-0.268092144969637	-0.110692090539001	-0.121428404902341	-0.134977546600951	-0.265453906444429	-0.0734080734550013	-0.0834738350392023	-0.218011877101601	-0.0859877613973344	-0.0364590344813566	-0.140120005391389	-0.07597365993455	-0.0918749986221403	-0.213558921358284	-0.0377057634134641	0.00726247803186071	-0.119980646199454	-0.0795294997266747	-0.0506746509599174	-0.031374380399769	-0.143850663438443	-0.108579274907113	-0.0346933813692747	-0.112127094418177	-0.16117892018878	-0.100832268731195	0.0505824698700225	-0.183977702025142	-0.106673298317111	-0.111036701761929	-0.143582350370011	-0.0733474140624068	-0.107236748722862	-0.0561419025284333	-0.115570306988736	-0.108650898756684	-0.123787918211516	-0.11956245006733	-0.0421371042946193	-0.235663158121031	-0.114263609479448	-0.0517292456132042	-0.162646884588658	-0.0485758923959579	-0.0910820294065431	-0.120420688450983	-0.0452301585149682	-0.101372095342897	-0.0691663266500538	-0.174286662653322	-0.0956183418082007	-0.194650127835703	-0.197435691461545	-0.0981391913829293	0.0363087130173599	0.0735296077697727	-0.109395404572553	-0.149570009040495	-0.12687703343112	-0.106801887768378	-0.102801849800323	-0.0996604550151176	-0.0156982545228803	-0.0184012353539053	-0.122465044084782	-0.0436471887604147	-0.111874584777434
"64792"	-0.203177234428615	-0.0098645755041653	-0.120542059842929	0.0256960480837184	-0.0749313796980255	-0.0211596130822306	-0.0820349024256652	-0.0356101021102642	0.0978748800589527	0.047963519889953	-0.0541735744014114	-0.0666559446518323	0.101318005088853	-0.0347102215248232	0.00743319065392294	-0.0458341105420014	-0.109476733368281	-0.0113805606014736	-0.04249442257777	-0.121702364352429	-0.189886285905989	-0.0740728674569476	-0.076331964879694	-0.206272055143776	-0.0152553687141068	-0.0121307519349141	-0.0673026494643176	-0.0690500763770186	-0.052495272354243	-0.0563187486678147	-0.168882675756978	0.0513867382913151	-0.169349604459996	-0.067461031770917	-0.0450455055637444	-0.129393046473376	0.00667144302168628	-0.0960382142512889	-0.0541667271894225	0.16536224761565	0.0229776904328963	-0.129006046037022	-0.0737411379128616	-0.0981953174018578	-0.110824960058336	0.00633848465901557	-0.0771807590004299	0.0328369498476006	-0.0391591856756429	-0.146010856058981	-0.105982191516898	-0.0321588671673085	-0.00199611443052104	0.0371314802413025	0.0260487197882895	0.0527182961781412	-0.0307106824707939	-0.0744112151835001	0.0207991360171864	0.135601765838278	-0.0491287152901053	-0.0337242452030679	-0.0445366505394194	-0.0781410750105374	-0.185378957908487	-0.122564442389937	0.0776377086601632	-0.0334143303340651	0.163436082459853	0.110801869724175	-0.00428081951672566	-0.140124678795638	0.0447935047007084	0.0265203659335654	-0.0239313727987241	-0.00605567696089964	-0.225045383679788	-0.0409452131343664	-0.11778588580804	-0.00105783848487151	-0.01059216143391	-0.0491127522436558	0.0851306974674961	-0.228713635725458	0.00450944484969471	-0.0834502672257853	0.0415953593588159	-0.0250091971209958	-0.00194232378450442	-0.0178321099465605	0.144217768076531	-0.0705559588361488	-0.073628528768928	-0.0539354381958748	-0.0847112033107153	-0.0886275029633736	-0.13322345837499	-0.127797964927214	-0.134328036993637	-0.0336510913128426	-0.0772957144160809	-0.163678989314458	-0.02907951454296	-0.0730472450463802	-0.0440880737123492	-0.197103262950068	0.0598350751614126	-0.0642868825801632	-0.190656268035187	-0.0665984092177432
"3837"	-1.50327876238544	-1.29370983381229	-1.45888920768219	-1.53506256014514	-1.46355638529228	-1.37843300177101	-1.60564751664488	-1.50369018792968	-1.31652896751284	-1.5180289861304	-1.39192107867321	-1.37603783219224	-1.43927832236389	-1.33763380614123	-1.28907919796511	-1.54386779457716	-1.32770665060597	-1.46715973636107	-1.43811554174108	-1.37870209929509	-1.47937396181245	-1.32176935910809	-1.36406040487583	-1.2968210212651	-1.41886079514339	-1.59008654689664	-1.36420756684586	-1.41822140024027	-1.50122629126882	-1.62098591723716	-1.46547616392215	-1.34569563036394	-1.44031943834274	-1.52060906823942	-1.65304079483646	-1.39294076367672	-1.66270577349345	-1.55181181500365	-1.61540926699639	-1.36420748673265	-1.36990178731149	-1.45031753275816	-1.54019560168158	-1.50692173517655	-1.43408136876195	-1.51616543187726	-1.54279584696536	-1.3506436690303	-1.44530277777096	-1.32679096749899	-1.39274072870018	-1.42626635636843	-1.57275470782702	-1.40601051044645	-1.43316153610093	-1.42333095004165	-1.35157046972525	-1.37753447012785	-1.44325447272149	-1.3587052501661	-1.61124996765644	-1.36584728834421	-1.50243081064717	-1.56084645795379	-1.4766083161103	-1.53877977701923	-1.5363920631064	-1.58647546091236	-1.36677501671296	-1.46859295752223	-1.48862154791297	-1.31699302158685	-1.49743982360221	-1.63696063654924	-1.38817636483919	-1.43828980913594	-1.4303454094127	-1.38355158374801	-1.50925190442779	-1.50476735727795	-1.52396635545603	-1.40125639696529	-1.19153739489321	-1.43684867425542	-1.4760325940724	-1.39953613911901	-1.32820016085844	-1.46723700353173	-1.58984036853174	-1.4463176753304	-1.35571399359794	-1.40116409304846	-1.52393328362285	-1.27579033405843	-1.49403824025441	-1.33024875459775	-1.48260531808125	-1.40612517404842	-1.34263363318796	-1.45079153227357	-1.39238857615099	-1.59191232540075	-1.41062921205593	-1.35387331984154	-1.3726954505276	-1.46545716323691	-1.51217063839623	-1.37800544605245	-1.35655967874886	-1.39781057544524
"3976"	-0.0685009672076062	-0.109260515540643	-0.257528186638819	-0.14261864967682	-0.175668928790651	-0.221030114008086	-0.221706447678558	0.0324778446294124	0.162522193908767	-0.0133471738470587	-0.0725852966739402	0.00504823258781799	0.00414781642191288	-0.0385462644848891	-0.0223554731862849	-0.095106512252021	0.00706285458036077	-0.063003204571533	-0.0544031597129396	0.114212204279274	-0.0256541955125481	0.0254045969605354	0.0798734407910349	0.007218727127722	-0.0110733227428647	-0.041008456706382	0.0321252349168908	-0.0138336725518886	-0.0110414819142774	0.112761200325279	-0.0129729785728082	-0.0382745154572044	0.0214039784611599	0.0122700292440373	-0.0748339335528849	-0.0535103881512709	-0.151428734013822	-0.0267515588118872	0.091341220017012	0.0717166942916096	-0.0163511828912917	-0.00771525571498592	-0.121325962013856	-0.162571640437119	-0.0521809116241978	-0.132821996208413	-0.0228605583482506	-0.0930055894564944	0.156646968303087	-0.028753269954806	-0.22343515320712	-0.0394434708155989	-0.0967582773512241	-0.125834854735035	0.0201633838816298	-0.180830657575418	-0.137708224690006	-0.123236410772659	-0.105774527720903	-0.0421145916239287	0.0604031700902251	-0.107779225989167	-0.109496287594837	0.105758392788726	0.0418473473633255	-0.0552690083106106	0.0370043254180236	0.101484134494856	-0.174919493342984	-0.139195828857113	-0.125707860871421	-0.216917149915817	-0.0565315449137541	0.0613201022494239	-0.0301668605317943	-0.0962224199819602	-0.0779419345025526	-0.00970972949090258	-0.0473051572615553	-0.266446140366596	-0.125564867565154	-0.194006210541524	-0.0429474391348899	-0.11721151552414	-0.09692844175662	-0.0724597515089343	0.0401136960713035	0.0538408564500791	-0.0711972277323924	-0.170972157618759	-0.29292525680654	-0.12834433538859	-0.154008081095386	0.0593515292472464	0.0238316309531172	-0.0302083372789985	0.00107816481263726	-0.157687946009605	0.0172731145573762	-0.0731949646226379	-0.0842893394969093	-0.0471198005655342	0.106300827383926	-0.113935165696941	-0.0132534977547864	-0.0868651834854225	0.0195069939506036	-0.171680110113708	0.0281300182148561	-0.047167859619264
"79109"	-0.0358070297928813	-0.171742906012054	-0.318815966189199	-0.200905918133287	-0.281722510540042	-0.348348580859845	-0.330108873135616	-0.332387052753206	-0.45158651918309	-0.228831669500399	-0.127106919041607	-0.214881680184264	-0.155619885377037	-0.237848225058535	-0.508608224753264	-0.154859073784053	-0.355418360082172	-0.42883740405207	-0.503097123952152	-0.380691725086391	-0.310242838299948	-0.226376037965583	-0.191805395372065	-0.460602843023788	-0.398170588246371	-0.243730286967497	-0.276805457707307	-0.315307758666332	-0.254323172368205	-0.238420673214305	-0.195452477531531	-0.211197290257212	-0.243528219360808	-0.167137384969539	-0.35341377289134	-0.549141684561456	-0.213057466666275	-0.24420828588387	-0.21976750620981	-0.509188721681292	-0.217690071760575	-0.253081181882848	-0.306666079275411	-0.314261895844826	-0.216562828324624	-0.159151902962242	-0.217427427048613	-0.250669514878169	-0.437814043615027	-0.404058018394503	-0.366272034964466	-0.240805353897172	-0.263799254937279	-0.380002013991394	-0.355839650116772	-0.270136511559957	-0.367855981467895	-0.292783828628995	-0.254874344328467	-0.314213336203476	-0.286674031411012	-0.245803252455036	-0.236141193300745	-0.275473386249135	-0.369153143827767	-0.350893443718955	-0.154538263798255	-0.169195279958742	-0.316171052245925	-0.44787930757433	-0.13222274553088	-0.330657004610186	-0.535114068108699	-0.220140305483865	-0.365634078059557	-0.422327683057438	-0.531376691823804	-0.182102531345089	-0.369460530062032	-0.455746863484825	-0.0485575252064565	-0.429594673578911	-0.294873354687631	-0.320520538995241	-0.301372824166029	-0.493109985664234	-0.183270324691388	-0.426564809063347	-0.218657359538698	-0.367778869302543	-0.522693455971885	-0.206215710871873	-0.411275625786109	-0.391125535104088	-0.34920926576477	-0.234929085150993	-0.206245231505731	-0.341364522380104	-0.193790802445603	-0.401129921953299	-0.414194311411246	-0.364493578637721	-0.174534742433059	-0.287193813212675	-0.168634842380283	-0.362492337017461	-0.142265673047408	-0.332235033915875	-0.526049339122165	-0.248476044420788
