	"ACH.000054"	"ACH.000060"	"ACH.000078"	"ACH.000098"	"ACH.000099"	"ACH.000120"	"ACH.000132"	"ACH.000163"	"ACH.000222"	"ACH.000243"	"ACH.000246"	"ACH.000261"	"ACH.000266"	"ACH.000316"	"ACH.000323"	"ACH.000332"	"ACH.000348"	"ACH.000366"	"ACH.000393"	"ACH.000420"	"ACH.000471"	"ACH.000476"	"ACH.000507"	"ACH.000521"	"ACH.000528"	"ACH.000537"	"ACH.000600"	"ACH.000630"	"ACH.000738"	"ACH.000748"	"ACH.000777"	"ACH.000784"	"ACH.000827"	"ACH.000851"	"ACH.000861"	"ACH.000862"	"ACH.000872"	"ACH.000898"	"ACH.000907"	"ACH.000936"	"ACH.001053"	"ACH.001054"	"ACH.001067"	"ACH.001183"	"ACH.001196"	"ACH.001277"	"ACH.001300"	"ACH.001765"
"341405"	0.0302255024882392	0.144733326913207	0.181240800042276	0.0181281387663918	-0.044551247696731	-0.0263110867223453	0.0300652708955381	-0.17022850496556	-0.0118748427802965	-0.0560083598375127	-0.072246372708401	-0.106840369508483	-0.0907740305838733	0.0960546793748181	0.0413868181913432	-0.00578074586625116	-0.0643619769848159	-0.0265957654431947	0.109902655220019	-0.195772956396694	0.0486131849062306	-0.0422468256583915	-0.041413276403995	-0.0479507400045084	-0.0190774814987975	-0.0312342597999237	-0.139331182400596	0.0387382686964238	-0.0848934183532445	-0.115208111369531	-0.048831699896979	-0.107551779890615	-0.0386413834148641	-0.0129013892856616	-0.144272275011007	-0.0283663391752783	0.0726121546394093	-0.0686468851459046	-0.067767134182465	-0.0441118929172978	-0.10397259558701	-0.0516449964017833	-0.0617230725630956	-0.00187152368367297	-0.0788636308546483	-0.0797467159645967	-0.184147978964633	-0.0462074103002885
"196527"	0.0524277752572282	9.84565466428015E-4	-0.0324468824126699	0.0227795847679502	-0.0584915497105322	-0.00930972148914141	0.0251968364489606	-0.0805274428062609	0.212784356178688	0.029558712848364	-0.037215693672595	-0.0306084066862806	0.0444827121975428	0.0131538023885615	0.0542908678958188	0.038372853175722	-0.110677001584934	-0.0653221247776694	0.0140692205302927	-0.044809180065592	-0.0366818027422778	0.0729716034681694	-0.0091403297598477	0.0199857896759152	-0.00223141600638079	-0.00544608241368128	0.0398695606581584	-0.0481480075536387	0.0189305529306665	-0.0402962989108195	0.088011669369233	-0.0381520800893448	0.0166803859571536	-0.146204884761926	-0.164725810916845	-0.0535981022450337	-0.0983304889913187	0.0956539622426906	0.113396921131135	-0.110390926491167	0.0820849938504166	0.0256103526194252	0.0205913370664713	-0.0728010113356821	0.0274197292835014	-0.0531621586399402	0.00295359770945048	-0.0818035780556349
"51411"	-0.091682945806319	-0.0952164580868229	-0.13995059517477	-0.0953221414359964	-0.142690509354159	-0.0982965800431829	-0.0937090652537126	-0.19585725330563	-0.199478983904552	-0.123672220167181	-0.0270637916982347	-0.181216034588647	-0.153194644805589	-0.0632620004970815	-0.121144356651863	-0.120914109619636	-0.0895995458661947	-0.201906554362173	0.0149707144054994	-0.0796565893789465	-0.0264250362536657	-0.185361776436365	-0.289490192699155	-0.0616040413290993	-0.0235644099934359	-0.0533899746103131	-0.136515724654293	-0.16257179447053	-9.14557906420417E-4	-0.0380965402463776	-0.0489162598768755	-0.194423643901336	-0.105558917949087	-0.0864968124173268	-0.0991663228687737	-0.0918873698581774	-0.0576602509715368	-0.173258597791318	0.00405427835741199	-0.112882811674064	-0.10784243905792	0.0282182991540203	0.0189479456132044	-0.131960809027044	-0.122944360162736	-0.0343038230123096	-0.0654002448425172	-0.193805835623718
"81576"	-0.602085195575932	-0.686262001868334	-0.646878685211537	-0.366196432428792	-0.525368618207305	-0.626984452674021	-0.492006297407057	-0.909992170627422	-0.750739695405666	-0.793339339971817	-0.787911613106237	-0.485349824779543	-0.714925098462309	-0.601054075179029	-0.53188189636899	-0.506243339249039	-0.830073470834169	-0.757957875230653	-0.598173581935501	-0.560910760596206	-0.795001920761221	-0.409731248659451	-0.756143961129889	-0.292497200378122	-0.853824440368882	-0.622664798978702	-0.364841598759581	-0.777034854419041	-0.589572964862839	-0.603996382815645	-0.74304341665361	-0.638482186133647	-0.675049211747998	-0.642412371933982	-0.74568053146602	-0.646413872668494	-0.844508202838199	-0.850131796814929	-0.608892877618266	-0.714716904603445	-0.58558825544244	-0.783332581663551	-0.702450732818193	-0.797981466866645	-0.769982227140511	-0.84128835179322	-0.627192547169174	-0.731673580495451
"8208"	-1.49078847090128	-1.61980807307697	-1.39623148876098	-1.41201821769039	-1.51892715858798	-1.58090541616799	-1.53672012659517	-1.34344274700776	-1.49848095115025	-1.48664042906572	-1.28839042441984	-1.51651073739587	-1.46610402957546	-1.36898910401194	-1.47032780694595	-1.47386921705026	-1.54723449554681	-1.41708725988191	-1.53636674539513	-1.51010408392904	-1.49965205174123	-1.31979633752168	-1.4205028895854	-1.60681699793122	-1.54935725444196	-1.53199208434646	-1.52289541234008	-1.37911560184162	-1.6426853947917	-1.43145168244593	-1.46907150675389	-1.49806692035985	-1.44322410934427	-1.38468640023377	-1.57454632537562	-1.54962247026069	-1.47834634085315	-1.51757794190161	-1.26880356634829	-1.37880025532359	-1.53331627053069	-1.40157028238225	-1.54800777189282	-1.27251874309358	-1.52145669242885	-1.45260155128227	-1.54782280877782	-1.54776346509481
"63946"	-0.10242357224136	0.0108397424974278	-0.114758046582661	-0.202307013699684	-0.0515756664347846	-0.0832222545797329	-0.125236898100128	-0.0198734777897656	-0.218589047299564	-0.10279265140449	-0.112443599681406	-0.144130808065028	-0.150393165528925	0.0454536345682376	-0.0807167187494459	-0.131784370704675	-0.203099537315352	-0.302647428413526	-0.0516179760664224	-0.111159765261935	-0.0766390627925791	-0.245509653196208	-0.0603326568828976	-0.043808483385119	0.0185179041593506	0.0478396636575532	-0.0575901391239032	-0.0659347438921844	0.0139782671001792	-0.127923929412568	-0.301461739828753	-0.188228241024037	-0.00336084639620546	0.167192809538556	-0.423398553518194	-0.259795203528852	-0.310020697983472	-0.185052171545785	-0.181127875278504	-0.32984449154986	-0.1359803927741	-0.11935431217122	-0.350880004788107	-0.142530924324005	-0.0173990484330686	-0.248254022491004	-0.183870971708815	-0.138241503732606
"2981"	0.144149939639485	0.114708832406025	0.0916996015762978	0.0728213213173396	0.0764612063630368	0.128623944886992	-0.0753878212337572	0.162842834371288	0.217960049980476	0.123378395035742	0.189470151601774	0.171942152866863	0.194102592073631	0.0783470215340768	0.0844782619996344	0.152523971557012	0.053641451862346	0.146408293849394	0.182581234016899	0.0976299477629675	0.130224896373729	0.0417334465870407	0.144612600075351	-0.0374361340199028	0.139559564596896	0.119970102179481	0.00757238939843718	-0.067570888719012	0.143891702048211	0.245608047646252	0.0944026522768021	0.0740775312099893	0.0853990964683362	0.107125640670614	0.10040705431877	0.0790967039139713	0.164141563788243	0.0983532256784661	-0.0230581142503529	0.014239670330188	0.0291186934497572	0.114675358405866	0.184675331065876	0.105785781315897	0.039932450251251	0.0656696400297361	0.200898737048045	0.0054483772728048
"3015"	-0.400654834972444	-0.701399125928915	-0.557475863872425	-0.727700811034909	-0.444591357437046	-0.687583474341627	-0.442257670336643	-0.621446432238616	-0.594584880979833	-0.201068887614847	-0.366471248528326	-0.333081146763513	-0.393243176633115	-0.620387365668342	-0.475588654008645	-0.555371543887745	-0.411245999878065	-0.595859147003872	-0.461143191905187	-0.492318212428653	-0.304436537698349	-0.45949240134812	-0.365554450857561	-0.600435530480161	-0.401516391216807	-0.299103158524305	-0.48753889916683	-0.505945074416574	-0.383927874161751	-0.373798786908599	-0.475387199065141	-0.313360077406558	-0.390987318650925	-0.326605546226671	-0.473705583508306	-0.307935040640531	-0.266247204058491	-0.519552504964782	-0.559834310003687	-0.578753153354431	-0.736341833568084	-0.876319287497201	-0.51130574492342	-0.376865155598792	-0.422030412990163	-0.607322170243815	-0.527710368056368	-0.650190630385588
"3386"	-0.121598818253526	-0.177259956500955	-0.238145468874826	-0.203297375519329	-0.097323468358712	-0.111219196271407	-0.170472806483301	-0.36283836655617	0.0484390940061478	-0.0821273718469284	-0.242861666556441	-0.134237009851707	-0.0799465004245788	-0.0561163083355139	-0.125358785037511	-0.199759791774172	-0.105474438535064	-0.11472128697395	-0.0952368632237934	-0.167719605473195	-0.201398022504255	-0.0681282669689479	-0.237494505856023	-0.158879914805816	-0.0730241660726731	-0.242526774925247	-0.165383552591928	-0.186330725572386	-0.13848597611622	-0.393683709281291	-0.124437931573858	-0.174188510474077	-0.144038235067102	0.0884975501706434	-0.181657615313001	-0.159718228296859	-0.154950590422655	-0.250529972272287	0.106411948929554	-0.17282809864802	-0.236378207654861	-0.114674276688869	-0.0437196364741115	-0.0982498341944652	-0.258041367390069	-0.0969767903801376	-0.18046455110372	-0.183952729820322
"51690"	-1.1251166950396	-1.01987720523069	-1.06916931281493	-0.998714074290045	-0.89676315321715	-1.24904576068235	-1.16231086338444	-1.03549778896016	-0.895682152622456	-1.14324836410481	-1.01660949777433	-1.0598340764836	-1.05661295381417	-0.934475988838166	-1.04261293773356	-1.03070371444396	-0.875927160847214	-1.1140857844804	-1.16952043749465	-0.981049962885986	-1.03278442179533	-0.957070374313273	-1.20396272108505	-0.971008996062997	-1.08587274554517	-1.1191602759868	-0.858429278463326	-1.02606700884716	-1.01241690408976	-1.199424535714	-0.981895932865527	-0.972229225440495	-1.04018972567023	-1.02041074323848	-0.99352808381629	-0.872104527229254	-1.08773069000291	-1.11717693554908	-0.935068424918694	-1.19693026031944	-0.939121810727637	-0.972329380694322	-1.03841356605199	-1.06239199699019	-1.05633527966663	-0.92406515595219	-0.978669379913627	-1.13766137881255
