	"ACH.000012"	"ACH.000015"	"ACH.000025"	"ACH.000030"	"ACH.000035"	"ACH.000042"	"ACH.000053"	"ACH.000086"	"ACH.000098"	"ACH.000099"	"ACH.000116"	"ACH.000127"	"ACH.000133"	"ACH.000211"	"ACH.000215"	"ACH.000228"	"ACH.000231"	"ACH.000232"	"ACH.000234"	"ACH.000246"	"ACH.000250"	"ACH.000253"	"ACH.000255"	"ACH.000265"	"ACH.000272"	"ACH.000288"	"ACH.000317"	"ACH.000348"	"ACH.000352"	"ACH.000366"	"ACH.000376"	"ACH.000383"	"ACH.000390"	"ACH.000397"	"ACH.000401"	"ACH.000410"	"ACH.000425"	"ACH.000444"	"ACH.000448"	"ACH.000467"	"ACH.000468"	"ACH.000469"	"ACH.000471"	"ACH.000472"	"ACH.000475"	"ACH.000476"	"ACH.000485"	"ACH.000505"	"ACH.000510"	"ACH.000511"	"ACH.000522"	"ACH.000527"	"ACH.000542"	"ACH.000544"	"ACH.000552"	"ACH.000570"	"ACH.000584"	"ACH.000585"	"ACH.000601"	"ACH.000605"	"ACH.000623"	"ACH.000627"	"ACH.000632"	"ACH.000647"	"ACH.000649"	"ACH.000665"	"ACH.000676"	"ACH.000683"	"ACH.000706"	"ACH.000711"	"ACH.000713"	"ACH.000720"	"ACH.000721"	"ACH.000732"	"ACH.000734"	"ACH.000735"	"ACH.000753"	"ACH.000765"	"ACH.000769"	"ACH.000771"	"ACH.000781"	"ACH.000788"	"ACH.000804"	"ACH.000819"	"ACH.000835"	"ACH.000841"	"ACH.000865"	"ACH.000866"	"ACH.000881"	"ACH.000882"	"ACH.000884"	"ACH.000887"	"ACH.000905"	"ACH.000911"	"ACH.000912"	"ACH.000937"	"ACH.000943"	"ACH.000946"	"ACH.000948"	"ACH.000953"	"ACH.000986"	"ACH.001001"	"ACH.001048"	"ACH.001151"	"ACH.001232"	"ACH.001239"	"ACH.001301"	"ACH.001306"	"ACH.001318"	"ACH.001336"	"ACH.001353"	"ACH.001380"	"ACH.001523"	"ACH.001654"
"10449"	-0.0790151120270579	-0.041607154287342	0.0711617582690081	-0.179614223578884	-0.0758789738272545	-0.198062629318992	-0.10186748336836	0.0926626965847334	-0.0259489026425949	-0.0110662033908969	-0.122281331112174	-0.0827241247822967	-0.0637091029550903	-0.242232943223686	-0.0898066123542195	-0.0346522140274338	-0.0352377638977664	-0.126005917212719	-0.0786498507594061	-0.127757288577649	-0.114376671167109	-0.0652461014919496	0.0150349091284712	-0.0978409933358965	-0.189637717338718	-0.0478273796089742	0.0182013093703531	-0.139904627101281	-0.189672912035775	-0.0264886082956039	-0.149432169085765	-0.182883392897979	-0.189084984224779	-0.0725127339955341	-0.169173600726676	-0.0845548394891793	-0.169257040184329	-0.0255375016139864	-0.0386581959824915	-0.163110916536956	-0.120718364018732	-0.0708544926458441	-0.112678722714393	-0.199724177235077	-0.147412897349666	-0.229714210975605	-0.00708935083849967	-0.244772618149113	-0.0827693786917069	-0.100027548996749	-0.076667898937942	-0.140695217414214	-0.126311913758659	0.0434630986541087	-0.20222503731732	-0.098211478930303	-0.144085707590929	-0.126937420788495	-0.0305590878658895	-0.149676218694058	-0.119395794966275	-0.0869949678717871	0.0208869380416679	-0.162476409778008	-0.0899180179116021	-0.0940663034054635	-0.0432573824752453	-0.141206599759964	-0.127349532076777	-0.179716684735441	-0.0420425191082609	-0.0851888446353366	-0.0193856516140791	0.0382183698267735	-0.0791000255044663	-0.199049836952614	-0.0912165894624262	-0.0399966301402974	-0.037421179699169	-0.139848754639319	-0.149230518212832	-0.0568174755547049	-0.0198642067291544	-0.0886669516966846	-0.0206674566249738	-0.126850226199694	-0.0350296301487585	-0.0619944330372864	-0.131979966877587	-0.129823023905085	-0.203732403988279	-0.165947695662994	-0.132111898111294	-0.128519215074607	-0.0831251523305493	-0.196771022062114	-0.0403831187337352	-0.200164359469511	-0.0536884683143987	-0.292497806986882	-0.16331003565628	-0.144856234110122	-0.107929604668454	-0.108755738508834	0.0503840521798345	-0.0909342805150796	-0.0598105946733252	-0.0314042151146632	-0.155666353321731	-0.10976828104881	-0.110200937161949	-0.27588201097129	-0.219908708528883	-0.210305629201673
"1465"	0.00850321578804938	0.108014789476649	0.0754286673494492	0.1011761345683	-0.00545284115277501	0.0647552213562885	-0.00249074255187935	5.60189544914761E-4	0.00733587612365345	0.0595876748830599	0.0494272867790055	0.0779425386917265	-0.0676984545735284	0.127618899800649	0.0225359586121458	0.0554715377852962	0.10115986537571	0.0796349012085138	-0.00435082740445205	0.197447334623007	0.0497616962786644	0.170105333022048	0.0527125628122363	0.0266334672077333	0.0547922360278473	0.0621091901462031	0.0835498119963269	0.0340963758909314	0.0859650928504598	0.0445064854349309	0.112074288931988	0.0319734362412205	0.0891616752995881	0.0829112724330209	0.152471903486936	-0.0306277982802641	-0.0430422408015124	0.103047785061307	-0.00720824994882588	-0.0348564531285222	0.183528449322567	0.0846990876055805	0.114190392711244	0.00677670738098021	0.0388721620723078	-0.0717025049557477	0.0918502283445595	-0.0458773532170272	-0.0110310543531428	0.0883285689641014	0.12765555955322	0.0955914705918543	0.028557422150801	-0.0737137580566136	-0.134087346032971	0.140279778157844	0.185972778663416	0.0724822458808983	0.0440109524261682	-0.114318563500532	-0.017407992924218	0.0817722466708871	0.186827709466152	-0.010370645787008	0.0817971888059377	0.0140155896061128	0.0238235385238014	-0.12350433246348	0.0881133342683656	-0.0220459164216466	-0.0218925051965794	0.144516563890463	0.117676704685758	-0.0303801407806216	0.102923067483698	-0.128720509934373	-0.0258948858349986	0.0394525740346719	0.0615378061315357	0.0648625138475267	0.0978019757825736	0.108594786414557	0.265372273398642	-0.0628510667072066	0.00365530223529828	-0.0497133206356569	0.0715290430355503	0.133065790441706	0.153417043843921	0.0211006695170272	0.0958472596240909	0.0243670324591683	0.0773069048650633	0.0610336168129948	-0.0168072585713198	0.0893730970324195	0.0330354019488609	-0.142357717209314	-0.0439045903910514	0.0854771206541714	-0.0730750425961794	-0.0516642070539536	0.0465778664897698	0.0282386554088279	0.0206485302573189	0.0420650762071969	0.0753526043952183	-0.0364631172904266	0.137480148916392	0.120531914173239	-0.0257505820645316	0.0435411577386637	0.0739482538048667	-0.0151455124162419
"1075"	0.103149261922263	0.107233212082928	0.153950083174116	0.124846009524737	0.142436095250366	0.0960587400487872	0.124358280898859	0.176317346847948	0.0992725540638994	0.0967789356851093	0.114766689627126	0.166163167638221	0.0514489932567249	0.189262588569987	0.0766603603450194	-0.0040177161283372	0.126674021642422	0.08182196683392	0.16064811082736	0.0895726402665634	0.10042848554695	0.0979750135820709	0.134429522178	0.111453598684741	0.254164581771095	0.042857987165371	0.0223825413477116	0.185339564359402	0.114662745416838	0.0462617062980468	0.116163551163281	0.155332740168118	0.0286166461162554	0.180698376290587	0.285607266935768	0.0410481836967291	0.0985719517051556	0.102979253469363	0.114799162593599	0.144742254252617	0.185058304644647	-1.39341363535433E-4	0.188835247815718	0.152169736052702	0.0441956490619589	0.191831504054779	0.0747387074778155	0.125095673362473	0.159551590809062	0.0856947225215214	0.108651334187531	0.18043227084387	0.104135113493867	0.0654044194449075	0.146040375478575	0.124299327576628	0.117655805090817	0.0335952168910493	0.174783917254549	-0.0991307116897714	0.203741999513357	0.188210331325789	0.0948172850972501	0.0503479998349891	0.174296361781577	0.11118342362527	0.169905587421178	0.0470593183986074	0.144247598363079	0.137016604744021	0.116951657433047	0.127612174809377	0.213955809176873	0.095803725012838	0.134131678784043	0.0187944223970245	0.148779334438148	0.0844043957486298	0.0720919025149772	0.167845849361759	0.0847402841998564	0.107961121233184	0.183470652998029	0.122457991540555	0.187695214426499	0.131769486954898	0.0940513096384472	0.110162427320312	0.127943919639947	0.132663662541839	0.080378377880809	0.0889549046366736	0.145381509082229	0.107099078830936	-0.0114578030177345	0.134716826091613	0.14551738707937	0.0922433954016677	0.139765075124499	0.124900849544711	0.0935055466389279	0.112546115274248	0.121841792892896	0.102694051635135	0.0109038271966263	0.178879879659653	0.171660287248403	0.140528802101373	0.260043121118783	0.0578250985709426	0.139010114651121	0.164087752507273	0.124431082876508	0.0563534590830075
"1768"	0.194936147138957	0.209992487441589	0.185711706793747	0.0891865903135549	0.14880649228609	0.15918692902055	0.177074418578823	0.132413238130069	0.251360403769788	0.195317142074066	0.214452669687542	0.115111513476912	0.146125841805976	0.159587816383603	0.241920395811357	0.184898661691899	0.18389211892618	0.274841714209374	0.0810414714290178	0.174863231782729	0.215137592692371	0.221570634363667	0.0825533419317901	0.120520633143419	0.0338715179000731	0.173416084498327	0.193391140770759	0.13574852987679	0.186892957571421	0.236378258648244	0.100679398800637	0.188196191401325	0.121118701561273	0.133784820965946	0.166218943643874	0.259703215491925	0.226073332693816	0.223978268112776	0.1166785028021	0.191612941493334	0.233035499972254	0.216466951618655	0.140249597002055	0.247946075700589	0.182520556297983	0.130044774391133	0.206516706022796	0.1898052477676	0.213359441350965	0.172238381723619	0.202487980730449	0.0914142879334823	0.226404432845108	0.10931035602051	0.182906533601381	0.115944057173799	0.143722390861592	0.128882281041991	0.243002535748755	0.1686872625149	0.111895523894782	0.121305849944669	0.162940616174992	0.281677146075137	0.109383831066892	0.0630106154231326	0.145527890157464	0.148720744168051	0.184428141420001	0.107303379857677	0.251726983258323	0.180470687538779	0.108863735549898	0.109261602206793	0.102752966061684	0.145193484266086	0.216779867819083	0.28728207887869	0.112579565362729	0.137359532737867	0.22055219462285	0.19417246488841	0.174212206700713	0.250026535763175	0.17473911925457	0.117512758177128	0.18717545015038	0.19938378210973	0.18057422022121	0.137655539691851	0.143525370268481	0.171389814189175	0.166215888015558	0.0785613220810209	0.100445934746687	0.204186431076067	0.147207508735565	0.0325256302556381	0.136971653592804	0.206390769045664	0.159926669181093	0.111202915699976	0.16744662286947	0.136739313520023	0.136341250065974	0.224521149094913	0.179372386581151	0.244759272497009	0.219552136861901	0.0688774858663692	0.0881141546698389	0.0792831123593763	0.187046675418961	0.217675210014959
"1759"	-0.462775483394037	-0.560427011215318	-0.286831853406862	-0.380201845945069	-0.359363417044465	-0.357460897902959	-0.435813580490584	-0.370258693533757	-0.375976694967772	-0.40976602684822	-0.272365175503536	-0.266932710726029	-0.358144587669732	-0.349139585186039	-0.344013676689405	-0.40299506851841	-0.346516811918776	-0.356776481964258	-0.366242444548532	-0.273044700627251	-0.349331997352495	-0.349262667347549	-0.438979547217971	-0.246471572583003	-0.204072150329801	-0.327883557272555	-0.209615033044211	-0.385682884777138	-0.444529934668307	-0.458055832428697	-0.350101272631937	-0.395145013894789	-0.420150260643971	-0.402302082885844	-0.295087764819287	-0.0913847774711464	-0.392698540166532	-0.279801432175694	-0.362285644095858	-0.315904297328212	-0.41111030884017	-0.373050823123746	-0.337969839030148	-0.362363194562292	-0.415251534638921	-0.355986384742335	-0.253327079594875	-0.229458802156984	-0.204657055618773	-0.44097309656567	-0.349860749681242	-0.392193519234673	-0.342471142801534	-0.506292618758525	-0.386383147613684	-0.299894013428618	-0.293753874659283	-0.286015304945696	-0.419217961871934	-0.374941306877508	-0.224181707488214	-0.306307481009235	-0.422002037409849	-0.403486190085871	-0.4105067098134	-0.254373929856232	-0.310224092544946	-0.421604016776524	-0.396487421872216	-0.33069372880585	-0.404051722454876	-0.363281281700296	-0.453213760401369	-0.228409558686922	-0.384970271423782	-0.513067103975813	-0.382024237414806	-0.305938903225541	-0.334384408418772	-0.276458228858202	-0.410529445855159	-0.36395956197318	-0.465838747615488	-0.412447106536948	-0.585735892886896	-0.275024600123911	-0.319801978598119	-0.350531774151066	-0.260517184273691	-0.452825307057114	-0.413514732677169	-0.432091749810417	-0.170496315928836	-0.389463426526584	-0.410977488024092	-0.39869156206835	-0.399944202482974	-0.328154227223607	-0.321267077108501	-0.267451585158554	-0.482690700994532	-0.349860042076234	-0.281000562118383	-0.454498341087136	-0.407797762663821	-0.425100254025895	-0.401784652277632	-0.205476789945977	-0.324757421600898	-0.222837560744855	-0.286184598295449	-0.348391206044604	-0.451996524631936	-0.47282286573045
"1854"	-1.15997074896441	-1.24349365595337	-1.20682659156207	-1.24224600771169	-1.30885932311712	-1.36213855086429	-1.17295569638724	-0.804689751730741	-1.0445572807563	-1.04284099528271	-1.05786430026007	-1.15683930610761	-1.10878004359267	-1.23479406249739	-1.18666375114621	-0.999668276592963	-1.12822460463678	-1.21824477494142	-0.997801265417583	-1.18688888219078	-1.0624265851344	-1.25689794244124	-1.21628009858255	-1.13157626924192	-1.18042305270005	-1.15145652904285	-1.29960849357657	-1.23965180461857	-1.25863322415644	-1.14995804458342	-1.1308499960846	-1.24994946556698	-1.33137189770555	-0.932094993595996	-1.10944785035823	-1.04521875324082	-0.991910629930954	-1.12378084865469	-1.18150864194419	-1.00496158232796	-1.21874810988492	-1.24774083598816	-1.21166312454831	-1.29071380637029	-1.17577530855097	-1.04816353671196	-1.13098079509535	-1.07479265292597	-1.29090952849749	-1.15796980974437	-1.22519934642162	-1.16728197024953	-1.18987540391924	-1.12570579609719	-1.19395329742694	-1.22240763328074	-1.31401083074106	-1.31024678773443	-1.12462591331971	-1.49512644256645	-1.05621169966611	-1.00619606203611	-1.27586672250852	-1.09232083713915	-1.27777515221465	-1.24980168392295	-1.10038378843386	-1.30005033941785	-1.12890997524837	-1.1626299619144	-1.24159666132855	-1.3429040825142	-1.13432472353014	-1.10028633917104	-1.20578346283141	-1.03433587236116	-1.26990238303494	-1.15274555925982	-1.03902358538027	-1.24841817808476	-1.29504806324385	-1.21801033311897	-1.07329992040436	-1.1915395538083	-1.10611556491608	-1.15254046852024	-1.0242881001746	-1.11601658929002	-1.3223068967866	-1.17932735325812	-1.07681611967585	-1.00866481212451	-1.25015778656909	-1.24468307988388	-1.29667050687152	-1.43298403509028	-1.20357602992207	-1.12215298422887	-1.18987015935914	-1.23424777057396	-1.11839949515826	-1.1397600850901	-1.06232870138776	-1.2988487201512	-1.24763710099421	-1.14219446939938	-1.19489973537732	-1.07654877960963	-1.2483470277734	-1.06426425355104	-1.28077355839704	-1.02662580477517	-1.18335591131986	-1.13471831893326
"83658"	-1.26003630096201	-1.32314644479291	-1.52786345311051	-1.36243724675137	-1.04177771531868	-1.4943985569412	-1.22896423961805	-1.27326331360292	-1.43502200385016	-1.45910401344877	-1.26088258255103	-1.36920896140299	-1.28905878175435	-1.4263860619743	-1.56187929371847	-1.44606266334298	-1.53791264464886	-1.44013446141407	-1.44872944692373	-1.14466649363577	-1.39579753549189	-1.10568684643025	-1.30753059743514	-1.3147631486224	-1.28357044794025	-1.45401107589781	-1.71084824902402	-1.14941593852891	-1.32116488142468	-1.19465073695997	-1.25954613325518	-1.35801992272312	-1.04027767614321	-1.44329597867048	-1.19121102261811	-1.2008806088114	-1.17623938422825	-1.33134477709574	-1.32968989607951	-1.21320728708318	-1.15056251085616	-1.45380847497925	-1.5422982095114	-1.39052697112158	-1.51263973330762	-1.32553441893178	-1.40423852586891	-1.40036458623853	-1.26133110733173	-1.22478207493372	-1.56799486248372	-1.30121237333625	-1.32850110852306	-1.19542579334424	-1.45773777244404	-1.50765603924305	-1.72078154128071	-1.7596711650056	-1.41665697275227	-1.53012105228364	-1.38831036665093	-1.35058175432541	-1.31831372258824	-1.31324314582301	-1.42123605202707	-1.07775407491614	-1.23719476064588	-1.47222803521506	-1.59075176993455	-1.38183544417216	-1.49185706119413	-1.45623653101001	-1.39359673772209	-1.36131874059107	-1.40833863116155	-1.32356222787419	-1.34324512347041	-1.24881347418812	-1.31605423189401	-1.22753473266074	-1.59563185872876	-1.0116232885297	-1.32931869070385	-1.47004351259061	-1.39478297742664	-1.23214759334411	-1.54318447331882	-1.31080175424741	-1.37010009773743	-1.35151075493449	-1.23084797852829	-1.2756602307449	-1.31859509028751	-1.19466522552965	-1.47302626266537	-1.5457852292053	-1.1375115244552	-1.31817035044073	-1.14775725027564	-1.33363337913608	-1.42406054351012	-1.32414839877069	-1.42438131086606	-1.26740173840425	-1.32257422630583	-1.36071049573181	-1.22820308374589	-0.926823120686589	-1.36027010285712	-1.25744114539263	-1.36942095458231	-1.34672136750595	-1.56278558114	-1.35411403376017
"54898"	-0.0400899677319897	0.0204283872882978	0.037094909869334	-0.131225592027634	-0.119962897691104	-0.0593153826488246	-0.0739092755348038	-0.0551244513289839	-0.144188775725564	-0.0351110224744374	-0.106572583954438	-0.142826330570851	-0.0375800346915218	-0.0727701270239517	-0.114395528603922	-0.0469178159919067	-0.0612690494974414	-0.00388284409176048	-0.00427212830368886	0.00805589428987778	-0.115026119785212	0.0223282977199277	-0.0344006189439242	-0.00350468851596349	-0.0981199809522455	-0.0443004187527095	-0.153743294676021	-0.0541944161291836	-0.0882785959840502	-0.0409372567748635	-0.0745428240454594	-0.0958202306019434	-0.086851886396044	-0.054839522005432	-0.0492145194588436	-0.00630032230692252	-0.0581905134273869	-0.0606033639590623	-0.132739315304153	-0.0116610023840448	-0.0594525019470383	-0.123107372163057	-0.0666343740941883	-0.0395321966399369	-0.104423864472955	-0.162620668388955	-0.179073221355147	-0.0592486069187021	-0.0812214899700659	-0.189158155481326	-0.0475138459263081	-0.0981953015599556	-0.0372243950655282	-0.0689043474161847	-0.0733550691795896	-0.0605045909171604	-0.126280279081276	-0.180553784991386	-0.0126320489289352	-0.0461708554662554	-0.0855893048228581	-0.0774155376113101	-0.0750916331990745	-0.16123443387752	-0.122876769921659	-0.0833791923645535	-0.0912032436985756	-0.0627876759718567	-0.150494508188847	-0.0886370288146387	-0.134303816839631	0.0495780486628318	-0.0620994908370523	0.048640132858491	-0.0716822980515641	-0.0755499652238622	-0.123678335196389	-0.0458704736247166	-0.194978962306049	-0.137707521257064	-0.141410380602161	-0.158977001703415	-0.0499947802753881	-0.0703145914061648	-0.0252334118146047	-0.183494453186546	-0.130078548034404	-0.0240868202520742	-0.12435052847456	-0.205799157083719	-0.0468721589935894	-0.106200771972622	-0.16270867109563	-0.0705073023903397	-0.0332943709374799	-0.0109968122392273	-0.0398029797074883	-0.179508721307971	-0.132667828117477	-0.0506143079616336	-0.0362275423290378	-0.063071126139389	-0.143544468092597	0.00773048719132078	-0.107782577688985	-0.139667874547703	-0.145243498462867	-0.00163786818975492	-0.0311747264232381	-0.0375161037075839	-0.107778245194727	-0.0945869782634555	-0.0257786000795563	-0.148160769007351
"100133093"	-0.739621086374159	-0.608048752162197	-0.774420579688108	-0.829423627963199	-0.742580962292753	-0.816940557689983	-0.612430691673597	-0.613387779676465	-0.804774806588775	-0.715704254066986	-0.732780573107972	-0.733622963440962	-0.768925256187176	-0.849046096751699	-0.924109958663337	-1.02284877967586	-0.901119658309265	-0.831142988789276	-0.700769645578109	-0.567923571056762	-0.699373976630245	-0.654747612703055	-0.667098758744866	-0.730777165996042	-0.707405630289946	-0.977701517072622	-0.821347038922656	-0.838270819250308	-0.583352836675787	-0.734928703854722	-0.845377307654447	-0.672101872645153	-0.744826527660685	-0.673505794306328	-0.672627980575025	-0.631999080165733	-0.827288919795183	-0.572806403946243	-0.692228174242908	-0.669712054352545	-0.632216746536351	-0.816652973990234	-0.891730602276489	-0.93853021491611	-0.81271109526829	-0.650281028404085	-0.744965459995301	-0.7097354598565	-0.717176956645893	-0.696416161795439	-0.895987444351555	-0.673218139739384	-0.772807870119916	-0.872506383995687	-0.737301022275628	-0.731657918320587	-1.07417426083557	-0.649726384049716	-0.688568444585279	-0.774804828946194	-1.01487200956616	-0.622454748787172	-0.694179310903298	-0.787433421460157	-0.700019787711193	-0.772598605273586	-0.811313091788284	-0.914322348097522	-0.732613980124876	-0.981046809181376	-0.609012857870877	-0.626697979015966	-0.776951163871433	-0.56185781277012	-0.733118596506483	-0.734970555064742	-0.725325377968468	-0.737730168779548	-0.68071598544712	-0.641619802229042	-0.80860213381958	-0.949653560629238	-0.887299841495951	-0.759894188335914	-0.714582171603941	-0.761424883154001	-0.757732386931411	-0.8814733131535	-0.768368711789335	-0.808176196355746	-0.686015398385065	-0.699970675939528	-0.820455057626	-0.734578834245503	-0.849395096102495	-1.11859534206069	-0.688179782431612	-0.695223832786791	-0.760256704887986	-0.745010554064923	-0.751247141894629	-0.755248973965501	-0.668049216330117	-0.859519840171066	-0.659668312514109	-0.790990992496825	-0.725024550169033	-0.657164746256703	-0.776646673800473	-0.622022266888285	-0.981978564181705	-0.638814240173143	-0.765671449766234	-0.714838176843346
"222235"	-0.0307373991173488	-0.0624541298363998	-0.0901221130912375	-0.0619082155286295	-0.302677319471815	-0.101304439369833	-0.0914214899532117	0.157246026293251	-0.125471580567	-0.0923494822589579	-0.0638190991092834	-0.0555143106148822	-0.153066708804351	-0.0239843822229517	-0.146087151420118	0.126608139442992	-0.11305077029644	-0.0464425697452813	0.0950241301330193	-0.0446941821487349	-0.219853963616737	0.00754175977773845	-0.0687924154752732	-0.0254122084137669	-0.0622688594582764	-0.00558206352982441	0.0412629316738513	-0.0231745176723193	-0.121303942066901	-0.216971061164909	-0.0564093615087898	-0.23817747249717	-0.0335204664622473	-0.140029471577766	-0.108672869401427	-0.0494364860851216	-0.202759742398146	-0.0677546314645097	-0.127609848425324	-0.045579068410829	-0.127465517914501	0.00623208821507159	-0.207610077164654	-0.156157835605894	-0.0727189494026343	-0.0607303757227226	-0.0386234677643757	-0.0423799149756586	-0.111900804104647	-0.157703825542489	0.0121984820286136	-0.0155844176592449	-0.088941601932982	-0.0810139299473797	-0.183974990809311	-5.74507138484493E-4	-0.0959721398361352	-0.127269659328903	-0.0481265272375821	0.0129345791409371	-0.0211390858249382	-0.135638826180602	-0.111704012534593	-0.05221703599407	-0.0375365992975611	-0.0867255018366857	-0.0808376004876306	-0.0405118469309576	-0.162107099137513	-0.0609673054842739	-0.0715737339522438	-0.145870847316805	-0.134875992426338	0.0196407869418562	-0.0829864462815312	-0.133238518743724	-0.0308789618442632	-0.0741738935774415	-0.134464037660284	-0.0905944288022086	-0.0758389615241255	-0.117818940109727	-0.138260796402462	-0.0135954219714539	-0.167911447310358	-0.214842969215188	-0.152643594944234	-0.0324427163286039	-0.0679147132645072	-0.112463086444574	-0.0700657712020974	-0.0961012972504757	-0.179344833431934	0.0139196375511272	-0.185274514443044	-8.53798538908733E-4	-0.14275388051753	-0.0348545027063234	-0.0235709826505495	-0.0960242231410812	-0.0885438839806214	-0.194475045982442	-0.0369681704094037	-0.166007772957112	-0.00894553342003405	-0.127113810351386	-0.163609597067284	-0.0908738742193218	-0.0948895213583552	-0.139244021590963	-0.13795422929269	-0.0982804308727733	-0.161074175764352	-0.198851026760569
