	"ACH.000123"	"ACH.000260"	"ACH.000415"	"ACH.000452"	"ACH.000470"	"ACH.000517"	"ACH.000584"	"ACH.000622"	"ACH.000657"	"ACH.000683"	"ACH.000718"	"ACH.000736"	"ACH.000788"	"ACH.000880"	"ACH.000898"	"ACH.000943"	"ACH.001532"
"84964"	-0.183163414410247	0.0935777796602613	0.00857766751121733	0.0874028966885603	-0.255857584551768	-0.0474251499351862	0.0482571342051246	0.139962841044494	-0.0454089042296405	0.138138122181061	0.0903499817534438	-0.18869337488566	-0.0770558854091058	0.0212553435970909	-0.0763693990191404	-0.105028021484658	-0.216535519170899
"529"	-0.91578372677414	-0.757051956165178	-0.877601837608974	-0.743484771580592	-1.0932139480439	-0.982187909886567	-0.985299986221723	-0.978289318743567	-0.761634336860736	-0.782422784860209	-0.882678323449852	-0.851091579072652	-0.770318191036148	-0.809617727507738	-0.969649979215438	-0.839874015516747	-0.946271314240887
"56970"	-0.654710920146261	-0.272022104461024	-0.406411754886243	-0.530393117809569	-0.651968063343935	-0.559382421475085	-0.565149706002307	-0.615742630106102	-0.446823449099181	-0.319672260177491	-0.435353304130417	-0.480585942611251	-0.400676113455636	-0.415214371082108	-0.410416926282795	-0.384337557502812	-0.706851165916891
"389084"	-0.152623590015957	-0.0484614179497396	-0.0351857873079876	-0.182629459713306	-0.154247633303629	-0.189211068654173	-0.216589087649283	-0.208680765665377	-0.239943520834641	-0.211508530054304	-0.180045910735668	-0.219319867294855	-0.11954281669551	0.0396511694712701	-0.155555161394721	-0.104121774927718	-0.267769957421127
"8318"	-1.36474764085714	-1.58274491204866	-1.42654723409963	-1.58035343485969	-1.57174251542893	-1.4429305216993	-1.43630633283226	-1.53809068583789	-1.51964521381872	-1.43070431172854	-1.44972671805842	-1.39383108764395	-1.44003029576789	-1.51446110374755	-1.5163257445262	-1.62514890260543	-1.48956989704743
"644414"	0.170615880929106	-0.0242696514086308	-0.0647781891250837	-0.0310933593060508	-0.139771352858119	-0.0344782618785291	-0.159006401725255	-0.154035725929304	-0.0163687101038656	-0.042631053939738	0.0999582906679004	0.112503434510249	0.0679105605342028	-0.0693267808756131	-0.105205930920164	-0.030272799033486	-0.0263398812859211
"10613"	-0.14487711446463	-0.0403411007400658	-0.0997065996169972	-0.122139765390173	-0.232579202855702	0.0299506676181777	-0.103621407597139	-0.14558611676663	-0.0612327878666577	-0.0274266808231949	-0.0561143856249577	-0.123668133739141	-0.0895140655044794	-0.13426180728636	-0.00207419125046214	-0.0234758249531131	-0.21172969947552
"2519"	-0.103210703830807	0.0973608803148229	-0.141989971322064	0.0163037048090684	-0.170480742616329	-0.0704558589306589	-0.0070544070778902	-0.187403846288171	0.00186734322936702	-0.161792823196693	-0.101544086645668	-0.117934591328348	0.00641716797140889	-0.0712646346881952	0.0106311567467284	-0.0360970376019376	-0.182420810005657
"51608"	-0.259187026104229	0.118885988105813	-0.331071683365999	-0.0697924506117979	-0.175805912476522	-0.0484638721072063	-0.107187480088627	-0.3862669371197	-0.321552224822492	-0.216223103984628	-0.201099873451836	-0.175055255641716	-0.265819005548006	-0.0953189833102144	-0.188766969013635	-0.328719739099185	-0.191266119712167
"117245"	-0.377982617500469	-0.136678504454721	-0.303125453511975	-0.258497749311142	-0.31146314178228	-0.0917176439107718	-0.236871186827097	-0.263462832337436	-0.269965695330516	-0.257087562624325	-0.14649665417057	-0.204839332897279	-0.187115350682417	-0.250160986995646	-0.118903457754375	-0.231245323808164	-0.264456561195866
"3339"	0.0736652563659115	-0.016185018515375	-0.0436877468292917	0.0440961703509828	0.126466799724371	-0.00105515821292244	0.0313778953640446	-0.112157407614946	0.0473893349236821	-0.0798957234085394	-0.0586188343169036	0.0509925345480105	0.0531164312616507	0.0838785538768806	0.029595087707312	-0.0745834780400093	0.065614828884835
