	"ACH.000009"	"ACH.000013"	"ACH.000014"	"ACH.000021"	"ACH.000022"	"ACH.000040"	"ACH.000098"	"ACH.000123"	"ACH.000128"	"ACH.000138"	"ACH.000143"	"ACH.000148"	"ACH.000159"	"ACH.000183"	"ACH.000235"	"ACH.000259"	"ACH.000272"	"ACH.000274"	"ACH.000302"	"ACH.000308"	"ACH.000329"	"ACH.000331"	"ACH.000339"	"ACH.000416"	"ACH.000472"	"ACH.000475"	"ACH.000486"	"ACH.000511"	"ACH.000556"	"ACH.000570"	"ACH.000593"	"ACH.000601"	"ACH.000620"	"ACH.000621"	"ACH.000632"	"ACH.000657"	"ACH.000696"	"ACH.000721"	"ACH.000788"	"ACH.000792"	"ACH.000823"	"ACH.000851"	"ACH.000856"	"ACH.000866"	"ACH.000869"	"ACH.000921"	"ACH.000926"	"ACH.000932"	"ACH.000941"	"ACH.000946"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.001038"	"ACH.001119"	"ACH.001151"	"ACH.001368"	"ACH.001554"
"98"	0.0759001534941501	0.106800729712779	-0.0311720776951623	0.157527361470453	0.073923226037935	0.00617727315097637	0.05676402637974	0.0039078507095886	0.049458254763673	0.0580307186633639	0.0327641238618424	0.19841608110082	0.0319525544879332	0.0328424145084577	0.084969584145163	0.117178163879801	0.0890428701792159	-0.0415516801441571	0.0151488744184555	0.0152846274487404	0.0477190144406255	0.0526618582851395	0.0615871338838609	0.073026039475235	0.0486556274249401	0.0595555276459019	0.109291517996488	0.122679028046083	0.0920605287407907	-0.025575710635416	0.0430468281462226	0.119936999749288	0.0968443317692059	0.0858866677854818	0.0380278724587674	0.0537250422074301	0.0629578028523488	-0.0434679807890115	0.0123199825265357	-0.00351408816505957	0.0370013933320972	0.0626025363587246	-0.05340592208116	0.0351077350424076	0.0532035940977649	0.0889620424235276	-0.0235351640728972	4.51529787393303E-4	0.14118522261334	-0.0451353571987735	0.0855518333788789	0.115172731547286	0.043002947560621	0.0894917260871681	0.0514411636360221	0.0211059301400224	0.0231596656777746	0.0192258369470728
"55102"	0.0277277869129763	0.225668779793219	0.151062986197169	0.129698063147673	0.156703157075511	0.0806536048034784	0.0823274919878916	0.0566832208690906	0.0627811357487928	0.052121895737085	0.0264727483930371	0.0987485581332053	0.0637351143625663	0.17415331109763	0.0374669850452861	0.00586741992510974	0.083343016635704	0.11891839735405	0.0967335208108639	0.155577472555568	0.0957726560123113	0.145555236332569	0.0936698595310879	0.0853921333356417	0.0900675860625944	0.17732489566837	0.0998211876305353	0.127243118833204	0.224520993515272	0.128483979546239	0.125298726020176	0.118424699725462	0.0466550235245051	0.17917413809179	0.0595897149413258	0.100827700335313	0.121862096246709	0.057759347555904	0.0607754018669109	0.11868070778706	0.208320172021436	0.10907071707519	0.118555527534651	0.186009079714823	3.26927650873594E-4	-0.00103368244691496	0.0194014523065318	0.0303913505025495	0.108470858819335	0.0528435660688727	0.128037262662984	0.101664901365102	0.108837500221261	0.10694363629225	-0.00146071357836044	0.0878233505713842	0.0730216809658453	0.128920573888512
"55765"	-0.150620365348031	-0.167875818395168	-0.0672083257140053	-0.129230793211102	-0.286458760511781	-0.0875582304825428	-0.0467416214657911	-0.0634683649204834	-0.0682043824915039	-0.126220951635934	-0.0217951214959772	-0.200897403992361	-0.113717433693086	-0.0674957625847788	-0.176027471851468	-0.143806853131567	-0.111158076372799	-0.137044497060336	-0.101569381397207	-0.109774856777183	-0.151028176658879	-0.16084212401815	0.040563567844245	-0.112878933804509	-0.096721324450743	-0.126962487032506	-0.079389236367455	-0.0665594639608535	-0.11126986928101	0.0136814973159182	-0.0993591614693701	-0.117680744186854	-0.192009016467928	0.0251961412425282	0.0957867503666322	-0.201733430803527	-0.119079004841834	-0.060332088565872	-0.0145702471999801	-0.125863524975625	-0.237995467801374	-0.0828255829586403	-0.0290358701698968	-0.0874265397044088	-0.0685997774856388	-0.201982539614378	-0.106562361063911	-0.077622867867815	-0.0943740555572291	-0.205528159287783	-0.210157985043417	-0.118199375026319	-0.159326379384477	-0.0872294722516168	-0.220390987809276	-0.0385391917127605	-0.103810991699557	-0.0618545372118713
"93190"	0.0947996658040307	0.138299178436479	-0.0603691357183505	0.00722946899898542	0.113390170824855	0.0240447005693586	0.0360584762135725	0.0589015163037683	-0.0846739080403502	0.105208459814257	-0.0844940681118072	0.0998123445187116	0.0419811312336875	0.0926164743071283	0.0686492404760306	0.0146269469418507	0.155286461308672	-0.0201488517674453	0.0172625905123626	0.115346314026219	0.0676488027462678	-0.130420713013291	0.0649058003067333	0.105583109152338	0.0586074136518673	0.0511998789352531	0.094342749485547	-0.0756288959360225	0.117542278618404	0.0969475580806274	-0.0284399390718931	0.070030697400211	0.098536103916093	-0.0309967792909495	0.0520996292919822	0.0751099873708406	-0.0362440145996417	0.0667115940669719	0.0312129117908304	0.0581296100447066	0.066240560274694	-0.03687591016446	0.0342768601620302	0.0411544403632325	0.0137415441716605	-0.0525125104795284	-0.0176005275046564	0.0658461686980556	0.222756957603069	0.0143268423014639	0.0198647675447117	-0.0512636280315133	0.0789154941806873	0.0691963023836707	0.0680897961861302	0.0511319758645367	0.00958850466701712	0.0997647275750029
"988"	-1.27879571758607	-1.38405030124823	-1.16916070145307	-1.07785717356711	-1.30541200667064	-0.912307695960896	-1.04605907414423	-1.22123592607791	-1.40377008953807	-1.1229578856737	-1.27940780196573	-1.32839126323281	-1.18139919983625	-1.25549210559176	-1.15503950347304	-0.985607145845666	-0.989478860722289	-0.925873152422018	-1.51560683290434	-1.13517911835817	-1.27228706545536	-1.19751094443198	-1.19295032176156	-1.19166298359493	-1.00533934259093	-1.17979051344629	-1.12544920550353	-1.08315922812565	-1.13233112391009	-1.23239733244176	-1.04470214089508	-1.17253444128585	-1.12763711046342	-1.33630630829067	-1.01422554975715	-1.22373845514532	-1.2140256418319	-1.26130991146322	-1.14414295152121	-1.22107701304693	-1.24300351293754	-1.19800579950176	-1.17953771163746	-1.09272939376642	-1.17985785704201	-1.06877927485013	-1.25578455995315	-1.21644600890708	-1.36590840096683	-1.16441763237717	-1.38294480313898	-1.23231483238038	-1.33982102084789	-1.09600733083376	-1.25507993845718	-1.17175736141449	-1.22819238721594	-1.26022692992916
"85445"	0.160557562105544	0.242138006518961	0.211997648080899	0.189868325243246	0.227331180141895	0.185316679759671	0.248474629004239	0.174267439205953	0.159007945310071	0.218939610941699	0.108336232856321	0.142927342219706	0.370282087342768	0.212961667873373	0.19070693143798	0.299138553993439	0.183873843081042	0.202387467566539	0.253899695096077	0.234797217643148	0.0988896125102538	0.254134809513887	0.174083485847141	0.378737644286121	0.227609865461356	0.195956461650427	0.327816675543397	0.29233859686554	0.191106016898102	0.243187385216173	0.227313537062932	0.241772761593538	0.229872267666622	0.160446620973168	0.281517444492285	0.299228377470137	0.132565228108506	0.298701134891854	0.212460240046818	0.168837710709673	0.249067760626038	0.194814785684232	0.205885834648536	0.26339811759866	0.211125845897124	0.081570493748349	0.170694095338437	0.173741007085282	0.207458398025469	0.156497404960326	0.307373992092291	0.252421860849366	0.201160537447601	0.213256344078373	0.347379569980097	0.185082627708587	0.136138009636717	0.111645916220877
"1638"	0.0344142046255186	-0.0959398810647134	-0.007784322863165	0.100094917009571	-0.0545665961430372	0.0528867632209289	0.00322351157870831	-0.101861996708686	-0.162323324989793	0.0129835876705092	0.0755074676029701	-0.0862116973521926	-0.116744455547466	-0.129070298180536	-0.0231119352630821	-0.0194993383815267	-0.00674367121644641	-0.093032013485972	-0.0477349374430754	-0.0169991326142711	-0.0464290984025099	0.0315305635463392	0.0355463141299854	-0.0148907596988976	-0.0154027474085904	-0.0793176652068799	0.0511126115242519	-0.0250021890994698	-0.0827074942198219	0.122298584210036	-0.0598201426042118	0.0241142744415951	0.0239219664391534	-0.0433450129242945	0.0437369487478402	-0.077488575066909	-0.00240040019771649	0.0624982348330959	-0.00539794436614536	0.0365064096068929	0.00794931903060771	0.0609223488569204	-0.11243410714634	0.130862489012494	0.0596205823683245	0.0524317769613258	-0.0572679968218402	-0.0299074656002604	0.0449938596959941	-0.0471390943066161	0.0914139599806696	-0.0838589128527644	0.114076989371746	-0.104536821088978	-0.0440103352720452	-0.0116970202666694	-0.024628889084657	-0.0520075712609531
"374946"	0.0224623158251822	0.198166298314665	0.122635176243062	0.0676865561059486	0.185519558364133	0.157120070225774	0.0371302805140525	0.0390030438201676	-0.0551443168204985	0.243438412684783	0.163687768601072	0.192639590966241	0.186090946273389	0.14788596692496	0.0659529110724468	0.115324622952335	0.159203204970033	0.0228702276933351	0.102812968957058	0.119463257217119	0.129422206407773	0.122578632774342	0.140335163545799	0.176483753335015	0.0356563315249981	0.14216830862598	0.10969819809055	0.140671993286934	0.216963176347473	0.161138341565141	0.0172438458646144	0.0844311205773123	0.0874142929140671	0.109666093648085	0.153558903797754	0.196680571274423	0.124069946972452	0.111924399642746	0.0839075025715524	0.0487855614935119	0.151084947018819	0.114491432790039	0.276471658916402	0.141284673795692	0.081161978646404	0.1847923808824	0.152291897572451	0.0854113074692975	0.137330075616315	0.156012750064662	0.0630259611458386	0.197774022653116	0.21236736032508	0.190740514295345	0.110772082527036	0.0640851868771139	0.0521427353918281	0.122923001707259
"23438"	-0.594588912452804	-0.737543508760719	-0.743998790946822	-0.55903903733509	-0.896449967371273	-0.560500608373266	-0.602981156492211	-0.729959866959371	-0.770394663578627	-0.65594124299156	-1.07510284942887	-0.877536695620153	-0.516662466888399	-0.57690571442381	-0.668964888411788	-0.811833937733809	-0.579548881374515	-0.65889025683657	-0.710850766975549	-0.620134775403794	-0.889483539037409	-0.758070764848416	-0.718361137876134	-0.386285265099387	-0.591993003307299	-0.691051203346302	-0.795435731612952	-0.70122297761945	-0.546085973437555	-0.733258268831671	-0.845558149999102	-0.626387629762955	-0.877371247472687	-0.48803453431019	-0.56010812502925	-0.648806518042835	-0.861296875774124	-0.742586003408626	-0.350004358853879	-0.526431956635877	-0.672552680446905	-0.967148843877246	-0.652196188629377	-0.813929695569035	-0.651482525090305	-0.96742865440205	-0.750759543757091	-0.731761324240663	-0.739718812042174	-0.667666528716812	-0.935805937654583	-0.523178270717693	-0.575721041610974	-0.873546340560925	-0.598026719190279	-0.413493042510121	-0.701732953472876	-0.884676621570048
"283284"	-0.113108617813161	-0.0394996097218247	-0.193877060175411	-0.137556046172338	-0.0957780787810025	-0.147326007954811	-0.062244076254725	-0.172679211518652	-0.17589458182558	-0.0486345274195612	-0.0323991073689764	-0.143783059067217	-0.118987111316557	0.0940874161557653	-0.109993140505885	-0.0356579795939395	-0.0645206978624909	-0.117897251233875	0.0439679540257008	-0.107509939186799	-0.0193589369604667	-0.11101786499452	-0.137445509170116	-0.0817457675146596	-0.039909909163425	-0.0542293280678346	-0.0355797199159709	-0.147596992792383	-0.0286129368648742	-0.2143698184326	-0.0855450594243385	-0.0862059714925966	-0.0104427213588515	-0.0578637674406412	-0.114416431796976	-0.0197458806920751	-0.074736345915965	-0.0348277000676971	-0.121128574837294	-0.145834454143593	-0.0948979860043602	-0.0417167729247449	-0.213798131317076	-0.0863557979979838	-0.0615545861694201	-0.0278093475357061	-0.0319072511250674	-0.00188450018945062	-0.0173636344343419	-0.0237424193401011	-0.0893690982775834	-0.161104693837412	-0.0908356992451103	-0.0152795047234458	-0.151273894800473	-0.0935453480078836	-0.0211700901716725	-0.0417290029808624
