	"ACH.000009"	"ACH.000021"	"ACH.000022"	"ACH.000025"	"ACH.000054"	"ACH.000098"	"ACH.000128"	"ACH.000137"	"ACH.000143"	"ACH.000148"	"ACH.000198"	"ACH.000235"	"ACH.000237"	"ACH.000261"	"ACH.000264"	"ACH.000266"	"ACH.000288"	"ACH.000302"	"ACH.000307"	"ACH.000308"	"ACH.000329"	"ACH.000339"	"ACH.000366"	"ACH.000375"	"ACH.000416"	"ACH.000421"	"ACH.000448"	"ACH.000458"	"ACH.000467"	"ACH.000471"	"ACH.000475"	"ACH.000480"	"ACH.000488"	"ACH.000490"	"ACH.000507"	"ACH.000556"	"ACH.000570"	"ACH.000571"	"ACH.000601"	"ACH.000620"	"ACH.000621"	"ACH.000649"	"ACH.000652"	"ACH.000657"	"ACH.000671"	"ACH.000681"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000747"	"ACH.000748"	"ACH.000753"	"ACH.000758"	"ACH.000796"	"ACH.000823"	"ACH.000848"	"ACH.000849"	"ACH.000851"	"ACH.000856"	"ACH.000862"	"ACH.000866"	"ACH.000869"	"ACH.000881"	"ACH.000885"	"ACH.000887"	"ACH.000906"	"ACH.000910"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000932"	"ACH.000936"	"ACH.000941"	"ACH.000946"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.001001"	"ACH.001028"	"ACH.001038"	"ACH.001048"	"ACH.001061"	"ACH.001151"	"ACH.001163"	"ACH.001368"	"ACH.001380"	"ACH.001391"	"ACH.001554"	"ACH.001654"
"79719"	0.0968413365461399	-0.0820704953808338	0.023368348176354	0.014364346349798	0.151704640771572	0.106657612383724	0.0295776339914727	0.175705786895321	0.127696037021285	0.0743356723968652	0.00924537707202434	0.00803737012051957	-0.0727966261969753	0.159113067238769	-0.00197045434371236	0.0114625896180515	-0.105859770016822	0.0688109382027857	-0.0234688801543076	0.0408090241353829	0.0196960225451362	-0.065857675804554	0.0519595578080994	-0.0437990102163315	0.00142145930791966	-0.087201625810097	0.0427819957952627	-0.0483255294757547	0.109844669225775	0.0481896185842933	0.143142663067089	-0.0748601615445155	-0.127209843861719	0.158493183597032	-0.159959584785914	0.191457051600828	0.0432178259152389	0.0849249304347695	0.147531836111633	-0.166382604433651	0.00497818130736859	-0.0870326071633473	0.00871156957147738	0.168079359276208	0.0340644587094393	0.10980678919779	0.0192967070791875	-0.0115181741059873	-0.133513305018245	-0.00635933818999371	0.109543776171323	-0.134809650984703	-0.0279528914629586	-0.155981521814821	-0.164780633800912	0.0742828703328775	-0.27828875934337	-0.121507576146439	-0.0356699477751782	-0.0118327811222803	0.057515434066305	0.0812551428033742	-0.0161439706005651	0.060099932045527	-0.0358856556956367	0.0228077295120913	-0.0544242277649035	0.0959737968035211	-0.0866323245803962	0.00610510665679316	0.00870005523223453	0.0102279184958803	0.063275649155894	0.0259019841916755	-0.0604628957095513	0.0242794298612505	-0.0317188755415585	0.102033362714433	-0.0284912552388947	0.00394670701093341	0.0786642937861341	-0.298644791145382	-0.164102111814149	-0.0764697166106313	0.0118589435502613	-0.0186202516170548	0.0697483647503527	-0.114672833083	0.0172002940283588
"16"	-1.27589790410201	-1.31719848684395	-1.23577918267034	-1.34910119239865	-1.42479557105788	-1.39287750211583	-1.33779824357354	-1.4578571726016	-1.47684410495805	-1.52879473391361	-1.38164358564597	-1.23838545406391	-1.33167134340687	-1.46123616030033	-1.39159738822657	-1.28621208802608	-1.39781263847614	-1.55870938210815	-1.13317149739258	-1.28725362379126	-1.23698974226583	-1.29275215559948	-1.29133442145864	-1.36546578917008	-1.31623273691665	-1.39474647153289	-1.24500793706424	-1.25079601034609	-1.34633556246852	-1.31652633652996	-1.35332261765929	-1.47474852731356	-1.28881317835767	-1.32525070831994	-1.37752009778548	-1.3228982725489	-1.133058893024	-1.50127519922829	-1.29417798192278	-1.3619370131444	-1.46815342291733	-1.34481933924709	-1.31087600136102	-1.33305980286	-1.26065638776725	-1.31737155356068	-1.43361645458329	-1.37748139243286	-1.38816845975819	-1.39485843460402	-1.31264402453062	-1.38848894842651	-1.29794911365446	-1.38100729944936	-1.40123028877693	-1.24546995619103	-1.48622593482246	-1.40674708445344	-1.22966343205806	-1.22063106137351	-1.40887084782782	-1.42074122720099	-1.60668961491386	-1.38428812508393	-1.24079374759623	-1.29783944391799	-1.4847540754125	-1.46795201023605	-1.38150231213855	-1.3251873279266	-1.44001783862491	-1.39419221036121	-1.49111079232424	-1.37388362389549	-1.20630105773534	-1.23454387355051	-1.2684122474566	-1.34709151903686	-1.26906759645774	-1.41418971923297	-1.36235253431227	-1.3192449298571	-1.40317252636597	-1.31888511060646	-1.54649772736456	-1.19656657336015	-1.38809892269805	-1.44206355864034	-1.39098306475475
"55122"	-0.634641917705734	-0.598344928544764	-0.616367895908134	-0.775220247165256	-0.540912570280152	-0.552960185620883	-0.613713740384846	-0.952030730623835	-0.972121322135626	-0.674902761269743	-0.820094665626595	-0.65391210789451	-0.639475248616555	-0.68625929999116	-0.859207985072278	-0.687863179625674	-0.59965537566819	-0.62809624256922	-0.88778458080181	-0.640799031963523	-0.613422779751358	-0.607361905233604	-0.631257399324078	-0.692157570016574	-0.855741745669984	-0.89560160565821	-0.628788597473556	-0.622340898177749	-0.837398680690394	-0.785257882828226	-0.744275409129243	-0.800151056108393	-0.68677359898973	-0.799964968979545	-0.792137249725108	-0.678277366625173	-0.733376434184475	-0.729238221707228	-0.606413778299043	-0.794131276136588	-0.579730873023191	-0.69546493574969	-0.733594386525536	-0.75196833905933	-0.615981624733593	-0.723585283055754	-0.785327571870599	-0.671514167085442	-0.691264974358364	-0.580202033050885	-0.902438198169717	-0.61770219572011	-0.696892288425756	-0.763339419463601	-0.874371170622742	-0.554826552751428	-0.597051744121726	-0.675372726148334	-0.513698810269402	-1.01967620111483	-0.66834255272813	-0.798350152070053	-0.78494097433965	-0.711303665982925	-0.6870600066704	-0.614220319393803	-0.434503304241229	-0.615092727268868	-0.764809700353853	-0.41204319264595	-0.631986730538015	-0.591676175699638	-0.717315532643176	-0.798725630816436	-0.918608827590297	-0.615724627705772	-0.670993194190299	-0.482872052012245	-0.541042028343461	-0.763342894858205	-0.536311768009097	-0.648555296644222	-0.87164963834228	-0.549349849587436	-0.65576144624931	-0.950387727493536	-0.577635148850059	-0.705384033032279	-0.679472395818154
"64115"	0.0449082166862883	0.0527330024966585	0.0779476955998791	-0.0218593105894977	0.059537936055528	0.0761588654329584	-0.086523094952184	-0.032124053070402	-0.142214897275468	-0.019787720432004	0.00883073242740969	0.108011787516154	0.040124027166678	-0.0288385003162075	-0.0178745404034794	0.0367846518091725	-0.0155228611595907	-0.00590218103207669	0.0848168754086442	0.0104616260676483	0.0131497897829309	-0.0224740516723429	-0.0307608672990278	0.153200820234137	0.0341701103429267	0.00196697144713074	0.172639714908224	0.00667827464321987	0.0938329390864093	0.0439302905945776	0.0284640640070597	0.0363988661035131	0.0597589063111964	-0.056998601488467	0.0729538679329023	-0.0608374785693816	0.0478766376710211	0.0832121551991594	0.0487258037613367	0.238335261617566	-0.0143065110655683	-0.0435367973054323	0.116018106938288	0.138072564225498	-0.0373690555585451	-0.0754116441269357	-0.0493188880252893	-0.0535170044069821	0.106865283685741	-0.0527753721556051	0.0194499853674138	0.128681213425833	0.0943136064169091	0.066456037077792	0.0751697503331554	0.137479391604221	-0.132037423927488	-0.120627526363986	0.090600336734422	-0.00989055042737711	0.0703187459861597	0.0835027928285336	-7.79983736251098E-4	0.00468750331997799	0.115074695624164	0.103862554296199	0.0402369205275581	0.0772630766996287	-0.037284252233168	-0.0580988704470694	0.00381544469641189	-0.0191290750023085	-0.0179265696630973	0.0613766871085932	0.157988941318379	0.147405314779979	0.00864568440494401	0.012858676038701	-0.0665878654533079	0.0522870064544717	0.0385858631719327	-0.0169447304961695	0.0410191722129705	0.0795798503322101	0.0527215936526035	-0.00234200248253444	-0.0575122447815097	0.0388861149156831	-0.0437463954666722
"10438"	-0.230286234548234	-0.532703958945293	-0.230016865551581	-0.610440742085187	-0.440914817319299	-0.376762478636334	-0.264493395893665	-0.361601255104858	-0.373333545938146	-0.439493967359208	-0.382986397119826	-0.23630661271295	-0.512376615286525	-0.24038407845653	-0.489707976128818	-0.319148532433721	-0.56982976423411	-0.637073866863047	-0.329947176251549	-0.320534177003842	-0.19757233104739	-0.626943557021265	-0.347314826168614	-0.47896081598475	-0.540330981726407	-0.490571944336598	-0.557434794943905	-0.577974326094969	-0.464023576089777	-0.536738954063488	-0.270872532964219	-0.507323364899535	-0.343156835860534	-0.531183937812781	-0.196494496227814	-0.339189106811502	-0.303622849680576	-0.27980212235507	-0.562470798310012	-0.265045950107218	-0.534307659175515	-0.529533135314412	-0.309746839178155	-0.447088520217984	-0.315124711891873	-0.336631530121548	-0.716312642138415	-0.774402627773293	-0.612896266001195	-0.199318335620307	-0.538622039504229	-0.352322080531066	-0.406721108664236	-0.475459023676292	-0.655974635321966	-0.65447474251914	-0.455157794017106	-0.291822364224911	-0.524045550546488	-0.483415985993369	-0.263935326251263	-0.314187191260992	-0.545470239139693	-0.367834057367563	-0.708089387016894	-0.47447084643838	-0.150079144630762	-0.620927036221103	-0.56319588657507	-0.422969703485316	-0.44239910284917	-0.695064770227801	-0.281653937742375	-0.404925417262983	-0.449367911207705	-0.487373100230626	-0.517663728668423	-0.377087980515109	-0.223273517567018	-0.244610933487117	-0.497674244991091	-0.439075467072626	-0.356219158817042	-0.411884054517585	-0.195442685102056	-0.444697650032328	-0.414037977774083	-0.522108673643943	-0.626206002306989
"8872"	-1.52947451963133	-1.81376671529455	-1.59436922979431	-1.59300349960153	-1.39717437559239	-1.67609234497312	-1.69227217564389	-1.62088329137261	-1.43731899900547	-1.6940960959066	-1.43365343323418	-1.48438731624736	-1.55777023402804	-1.51892814688131	-1.6322009259183	-1.45096637728686	-1.45788267990777	-1.63222749986895	-1.51721516952974	-1.58675966452021	-1.62346928274842	-1.38418799982848	-1.48441483742014	-1.38464454651951	-1.459142131618	-1.50827005732414	-1.3961311074217	-1.40748879598879	-1.67586644993921	-1.40971195834915	-1.60668432629028	-1.46228303710679	-1.51121503528776	-1.47093901503841	-1.47012672835065	-1.57273633443186	-1.51194849778774	-1.62515016106117	-1.35988912167738	-1.40987499163396	-1.40037737467298	-1.53826493716282	-1.45944118806148	-1.52963558105557	-1.47214083703998	-1.45571034337297	-1.55863821857574	-1.51371417051958	-1.44811274185691	-1.69654437889871	-1.4210595590469	-1.44908709518538	-1.48127866819735	-1.44643355641211	-1.52366663196317	-1.5524372624065	-1.58194678979949	-1.52718504757847	-1.48088198152671	-1.69940650452203	-1.59878943458879	-1.21803882893361	-1.74693169568284	-1.38853432369566	-1.45825650595242	-1.42600691932079	-1.52694878572495	-1.62799819992116	-1.32353320428836	-1.5117450172485	-1.24971929573174	-1.59513114597931	-1.72494911234649	-1.48085892343743	-1.58682836483092	-1.42098612590291	-1.67702416098415	-1.67330515197632	-1.44187662363771	-1.34259258256145	-1.63226662827879	-1.58729960888482	-1.44287183350482	-1.56235053089028	-1.62912892772837	-1.47444754557049	-1.4577577533599	-1.71685911734826	-1.7267332883061
"65061"	-0.00360042620931163	0.103679900964081	0.0672667862244633	0.274883824024535	-0.0533405615604998	0.0124968399618682	-0.143783332925328	0.164561532426023	-0.0264276153485679	0.0870280454830629	0.10194567406154	0.0638669757601062	-0.0536288559667941	0.0283041386272742	0.0316951692291866	0.0305976782621382	0.0814314052965927	0.0715769223097166	0.0745499768887881	0.0284296040004285	-0.0443283628859936	0.0205211857960743	0.0390144083430234	0.088949406861012	0.122009270061955	0.141861401773403	-0.0402525388549371	0.185200112025703	0.121168425311532	0.058457106144419	0.0317998543767085	-0.169067847982919	0.0600010681774289	0.057648731880818	0.0927569803968866	0.0546252259726238	0.0775251510468278	0.115759869161023	0.0837376181203577	0.159550493957237	0.0478871264856869	0.150645528639314	0.179768738728723	0.0605954218797781	0.186425210144773	0.1014123544038	0.0440026264338133	0.00798215036984026	0.0917277171897996	0.0874739983002749	0.0176759613820744	0.0872564285368128	0.111161798931315	-0.0244431754850218	0.135961486628596	0.0883238342187057	0.0952622413426958	0.140812151864228	0.0593044137044476	0.100288301375437	0.0166628246012846	0.11131297082492	0.126663022507747	-0.003824066690565	0.162275928431395	0.0178766996248839	0.0380130721731084	0.173160792992344	0.0366411738144707	-0.0113945177867125	0.168028347675592	0.0656236886606547	0.153351452473573	0.109239671143395	0.179167059030905	0.105471538077079	0.0173352580964133	0.0398787879562674	-0.00703350318254557	0.0414798679422695	0.138449865773247	0.122029338926812	0.109689073777453	0.0762040818378995	0.0956018831270395	0.0623476176498703	-0.0128728106832499	0.105571696094772	0.142197847219745
"64105"	-0.998043203130078	-0.951800199701178	-1.03053402481062	-1.03432403784531	-1.08953019909906	-0.782242666676891	-1.05253799330355	-1.09415184768194	-0.882768438748842	-1.12401884748334	-1.10033395876882	-0.987373302760864	-1.1819001533296	-1.0612756153634	-1.1456071790965	-0.933550972495566	-1.06277543244999	-1.13762840954573	-0.879983151160093	-1.00659692713367	-0.984442569282034	-0.989056830725136	-0.948337020094027	-0.932689783427087	-1.11911282819585	-0.961076537368751	-0.995550260926923	-1.03328457268387	-0.930281784371004	-0.967089334931124	-1.0520986666303	-0.861041901254141	-1.07808185142209	-1.00664950836671	-1.1308698617813	-0.840310085425455	-0.956683473811527	-0.850293348635933	-0.860041088773256	-0.945848034621717	-0.995396229408462	-0.9967799751522	-0.90079649157721	-0.985992663933965	-0.999836964008342	-1.14317786221624	-1.09800672956549	-1.18455941081104	-1.07838254645286	-1.09362783537239	-0.930464031860383	-1.13592343155294	-1.12063732086932	-1.10995951665679	-1.05891359660825	-1.19509680306358	-0.99375789593036	-0.951259418474457	-0.901200700985262	-1.04305215219332	-1.08354428018711	-1.09351915017555	-0.828061796289894	-1.16678147013024	-0.888407075928633	-1.02559556194181	-1.2202581856959	-1.29283052646576	-0.903798458117787	-0.914030338064332	-1.07487042836588	-1.04465513619095	-1.16014034695773	-1.1900667785847	-0.827234357718258	-0.998467243463491	-1.19141779440907	-1.11459820037412	-1.04667559870188	-0.993195469452293	-1.12981596740966	-0.939198322283146	-1.03613292008292	-0.936543676889797	-1.10374803049854	-1.09439010888713	-0.757189721566714	-1.11987884690126	-0.962147362555745
"9685"	-1.45569465019244E-4	-0.185773655444143	0.0679452223947341	0.191346710001616	0.221823861692194	0.0855298409495723	0.133425405877981	7.57002393739803E-4	-0.0610237426359868	-0.0817212268657962	9.0204242148215E-4	-0.0937989895532702	-0.128553414591477	-0.0440303816624585	-0.0580239049327333	0.077983640062606	-0.0487760011539154	-0.0269299545150611	-0.0471552603192508	0.013517686815395	0.022968246094464	-0.0275739702708769	-0.0889037487190957	-0.0499027815684441	-0.0278167999556252	-0.0464505711014823	0.0812046535297557	0.0583863787921858	-0.122227997990074	-0.0279716187505606	0.18246196154312	0.0917003383554057	0.0982347042276023	-0.0544963107111214	-0.195509788512456	0.0764254638712891	-0.123344977815717	0.115824062554549	-0.0417174699254254	0.120119747982761	0.0500199407053842	0.0178921716101428	0.254238829859408	0.074130046994753	0.207434003959117	0.215181836989696	0.0194220652308451	-0.0381891985978852	0.085904394245027	-0.0725783789787509	-0.0322717521729498	-0.0817062044249603	-0.0367561199324438	-0.0140572950748366	0.0643572548028835	0.0767197994003528	-0.102072533739472	-0.133817708634147	0.0833686303489183	0.0497282328147576	0.0887072859709364	-0.060203981749833	0.134369086107981	0.00196313169988809	-0.0428769343214318	-0.0114970480600908	0.0515186576133048	0.149005190435183	0.0814829080363994	-0.111376143419601	-0.227202015504742	0.0757095614836073	0.145737785424765	-0.0705251884404936	-0.108502838368965	-0.0761641252630469	-0.0213463353595105	-0.112534783736445	0.0710778900897009	0.0167776878161707	0.120356999273993	0.0456948343408162	-0.0354727953278222	0.0304242180204692	-0.00367541815396691	-0.00981253638838545	-0.0267912318550368	-0.0706197469276743	0.123067828970201
"8454"	-0.608745030144218	-1.15648894061886	-0.73519926925488	-0.905257385927579	-0.787244974195688	-0.803569718776483	-1.02445596263308	-1.10965530572884	-0.778447413023689	-0.792855834486492	-0.955649999609493	-0.89238405760611	-0.956425958806029	-0.994844712970019	-0.75145833084353	-0.943814430059354	-0.784668719689053	-0.875451453203753	-0.806033826450831	-0.786556932346036	-0.747459587860356	-0.902576278209626	-0.869105532665316	-0.841982036120546	-0.801290902437919	-0.901996057743059	-0.976569731624652	-1.12199139727995	-0.91991644834369	-0.840312979361884	-0.816280265162727	-0.738081965774118	-0.935423775640923	-1.1259968731835	-0.742113318193688	-0.638417132384744	-0.864125832164607	-0.927154573452094	-0.586557175177317	-0.955832538792633	-1.19094772972461	-0.888126944412728	-0.818308553259068	-0.899609027401192	-1.03116585679689	-0.866761184151522	-0.976110909774926	-1.0183402944472	-1.11585076671459	-0.811319588289054	-0.924132148371924	-0.926498119476004	-0.946279833310533	-1.15697719706554	-1.01173355578324	-0.94618269475268	-0.720400638185258	-0.798793473953215	-0.964971956875068	-1.09657079018117	-0.909545446728409	-1.08152787537238	-0.766769609168343	-0.966512818995128	-1.04146391352503	-0.769935795670071	-0.840899941838974	-1.01257649965199	-0.99598767513733	-0.905546689999203	-0.833550514112591	-0.636358087401062	-0.907883160366053	-0.767718655268563	-1.14083993677115	-0.983893501585566	-0.792446498771479	-0.996134886559515	-0.677645029585144	-0.832796478367873	-0.821263027292685	-0.928264410418892	-0.882426404697099	-0.754114581074513	-1.21869176131105	-0.998355075442407	-0.859319650089126	-0.83589298075654	-0.83831288839574
