	"ACH.000009"	"ACH.000030"	"ACH.000128"	"ACH.000148"	"ACH.000160"	"ACH.000206"	"ACH.000235"	"ACH.000265"	"ACH.000304"	"ACH.000307"	"ACH.000316"	"ACH.000317"	"ACH.000318"	"ACH.000320"	"ACH.000348"	"ACH.000415"	"ACH.000454"	"ACH.000458"	"ACH.000468"	"ACH.000507"	"ACH.000522"	"ACH.000547"	"ACH.000556"	"ACH.000570"	"ACH.000584"	"ACH.000589"	"ACH.000593"	"ACH.000605"	"ACH.000606"	"ACH.000614"	"ACH.000620"	"ACH.000630"	"ACH.000651"	"ACH.000652"	"ACH.000661"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000738"	"ACH.000747"	"ACH.000753"	"ACH.000760"	"ACH.000800"	"ACH.000802"	"ACH.000804"	"ACH.000827"	"ACH.000831"	"ACH.000833"	"ACH.000855"	"ACH.000856"	"ACH.000858"	"ACH.000865"	"ACH.000910"	"ACH.000917"	"ACH.000935"	"ACH.000943"	"ACH.000957"	"ACH.000973"	"ACH.001028"	"ACH.001031"	"ACH.001278"	"ACH.001283"	"ACH.001289"	"ACH.001318"	"ACH.001332"	"ACH.001336"	"ACH.001346"	"ACH.001380"	"ACH.001408"	"ACH.001550"
"90580"	-0.528483708428717	-0.449703563887054	-0.393953964649897	-0.610878562010727	-0.331041717624388	-0.24955841897321	-0.487794771116064	-0.520274818862505	-0.380628812347703	-0.646719213616765	-0.735274508933065	-0.305271504252718	-0.493890611835832	-0.586176462589929	-0.549627523616636	-0.786513495581526	-0.531358734313721	-0.721433613504472	-0.398993928482332	-0.554345064115508	-0.630473952906622	-0.678999448424584	-0.391038316463625	-0.552918594654902	-0.553516978238217	-0.392152132221283	-0.516250606187763	-0.468903208135876	-0.595520770036308	-0.494110725490027	-0.409241554708038	-0.545316649378666	-0.668588980960014	-0.503855564514955	-0.736901113352984	-0.489930076814984	-0.346537914408281	-0.55336331562736	-0.366112731116958	-0.557429322110811	-0.416460382668169	-0.608315867705579	-0.345800506913849	-0.27828064693792	-0.366467462859003	-0.497258365821669	-0.530121611300448	-0.499124585872302	-0.419800877431097	-0.607209220393406	-0.553445368417466	-0.593352190689828	-0.281310476649027	-0.580429565010074	-0.485544941769257	-0.498463674001351	-0.506008407272282	-0.310591351084569	-0.529051661200917	-0.421557019395496	-0.451839045292358	-0.602722370097716	-0.210705301543082	-0.611748694628489	-0.702403119956165	-0.573770434535162	-0.57660971603087	-0.493777362479813	-0.667174768734921	-0.333825591132717
"1004"	-0.0219661291297516	0.106807982625291	0.0400742277910515	0.0571709524281351	0.0589092163055347	0.107113464775909	-0.0274201086120708	0.0202785567295635	0.0790714769593315	0.0598369943166201	0.0963754537326434	0.0111090156938666	0.122811473771528	-0.0610135239296496	0.0541037933873678	0.0982468300235313	0.129843682386136	-0.0430082799365871	0.0151052607519825	0.0197155336721616	0.00328151483941541	-0.0211521828751018	0.0839470223288879	-0.0131595756640785	-0.00582693135884753	-0.0586337408994314	-0.111382534440793	0.0982631000152667	-0.102820294873103	-0.182582512499077	-0.101714168157734	-0.1015321161584	0.0344288574570503	0.0976939457047027	-0.0300330022076937	0.120651604048239	0.0918004499648689	0.0784996313181843	0.0133871957981108	0.195455081797865	0.13568189634059	-0.0506281602846424	0.0905980613996371	-0.0144102298524008	-0.0988253331197337	0.0791721658022003	0.135702193948643	0.032836242392327	0.0758675892122007	-0.0920792798820561	0.0120623015899633	0.0105644419531489	0.0199711459352452	-0.101832275807825	-0.0682202897122016	0.0328512943127513	0.138001345412623	-0.0121358888077979	0.132089683838174	0.0343719502652322	0.0840878428562423	0.0657797321633782	-0.0316516878468317	0.0243707770476579	-0.224937002889981	0.127551939818555	0.0818478459938844	-0.0112761018595105	0.126141206694784	0.0690919273291315
"1203"	0.0191754196827367	0.0158585682224097	-0.0249644628219908	-0.00175171852189176	0.00740014255926375	-0.127311078267797	0.00323908557124039	0.0616704060884075	0.131197885895068	0.0319011812916192	-0.0685893807773653	0.190947502471136	-0.00554390320987172	0.0484995986786534	0.0338909444204303	-0.0793606811345658	0.163049255886261	-0.0483915708885668	0.0358085060554489	-0.00304843156632177	-0.0391969488368944	0.0767338025320968	0.0645752673059109	0.0631587833851845	0.0253913048702983	0.0168721112954509	0.0479051638190318	0.145390231795878	-0.0154125382603059	0.0661975917451038	0.00904069183857609	0.0707163153608332	-0.159840593401085	0.0587064336321095	-0.0700765219136069	0.0586959274942095	-0.0435671537964357	0.0231061573666723	0.0174213873845706	0.118058437544592	0.0522119053633663	-0.0718489009087834	0.0606982811040408	-0.113758580164246	0.0917020943094244	0.0229398408663332	0.00428259756769075	-0.057325692078634	-0.0646684408872765	0.0808938988158976	-0.0749400595137006	0.0248693330136389	0.0944096372875644	0.0253438488038689	-0.00310357795302057	0.0421917099288734	0.122136965149718	-0.0548834430857779	0.0813015621821882	0.155712540401455	0.115996972282389	0.0871691119014528	0.113057926817601	0.0823733986915579	0.0945316436920256	-0.122297465596148	-0.0379791806937935	0.00496727518537534	0.0879936243239557	0.00982271588781643
"23070"	-0.954382715428526	-0.902907908541817	-0.705386852367159	-0.87244730277233	-0.633590147267553	-0.591349567291595	-0.912499628742617	-0.881599567771554	-0.726591451637901	-0.918984118301628	-0.913823499798737	-1.06791389811962	-0.935304420643538	-0.893894665089003	-0.855653710545287	-1.00944459563863	-0.943470684634676	-1.08017631723607	-1.07064999697228	-0.913626401090044	-0.750260665574059	-1.01028562143198	-0.565363069102565	-1.00089325665569	-1.14096143567806	-0.769732195889298	-0.895480854538303	-0.78992249026761	-1.00372108673978	-0.593166059594464	-0.67562685186945	-0.97179505853416	-0.979389423287595	-0.942676866656121	-0.836730176274154	-0.924332460150544	-0.925696188145481	-0.883213329478041	-0.653328049301319	-0.828805902086576	-0.834887224405081	-0.771490780240552	-0.804611286345743	-0.946864300754635	-0.5964014977411	-1.00071386731415	-0.924171350188488	-0.463368438210107	-1.03411056392859	-0.936241708251224	-0.870945981032157	-0.949074441013517	-0.515531840086053	-1.08306226609835	-0.788291323491919	-0.781980717843362	-0.669686819939909	-0.995572885325297	-0.895550299956251	-0.993484618705344	-0.96717881455478	-0.970163324634521	-0.805576583658948	-1.00382205721804	-1.0066616159581	-0.756602595060429	-0.925508117587453	-0.748253263062833	-0.908526694712263	-0.65873235801789
"23333"	0.0740407598313565	-0.0354074854472784	-0.0860804744911945	0.0165629892593674	-0.0138447653403415	-0.0546717016714433	0.00234888275516838	0.056610142189149	0.212293028251976	-0.0755670494863102	0.140049778229595	0.30401312727432	-0.0906458263700983	-0.147519795710613	0.00839971426783892	-0.0364576209387887	-0.126744223376623	-0.0144886108645363	0.0544784200558177	0.0186348119816119	-0.0376199822992712	-0.0182877090591781	-0.0215817402873054	0.284157727959143	-0.0486012771905582	-0.0879837984641784	0.0439253642565998	-0.0121126624383841	-0.00471507101813025	-0.139578548953057	-0.0385189278643879	-0.07247104350378	-0.0369269799573159	-0.110200301153715	0.0201438474009144	0.0538643587442772	-0.053918482618887	0.00104578656010078	-3.19094999994497E-4	0.0805635439087194	-0.0872590447284064	-0.0668372629159563	-0.161939716807305	-0.0722525478412391	0.0153617017407507	-0.072084654013154	-0.00466225730181693	0.00204299961733095	-0.00490870748985958	-0.0190171785148114	0.0504803127631317	-0.00117457834552124	0.0786249137780966	-0.0875050847921829	-0.14200166715373	0.0554890214720987	-0.112259678739439	-0.131551380399261	-0.0124068214789763	0.0647791240830534	0.109265667313659	-0.0448656348504519	0.0947621467241606	-0.0392620626339376	0.321456397559503	-0.204990751588518	-0.0304454628718219	-9.03457519245134E-4	-0.0759270725916178	0.00121892919045116
"79833"	-0.88866849264773	-0.832693836571356	-1.20340434336952	-0.807396914153826	-0.825642525509636	-0.842318663129446	-0.737564179765781	-0.725391339609033	-0.873540659437063	-0.825880465186382	-0.787078269969275	-0.850646927370573	-0.977637655472038	-0.724361041197468	-0.906217412856066	-0.802685047993037	-0.925453507667501	-0.688457661414162	-1.03328853060773	-0.75169260355315	-0.947931003735392	-0.925718749172245	-0.818820740993231	-1.04095927523507	-0.940578389052569	-0.687703795927644	-1.11882655314508	-0.909368160381616	-1.00624922445738	-0.7465286057945	-0.636115216499006	-0.968304838566389	-1.09219543783439	-0.736517230732964	-1.01992018785682	-0.808369789316951	-0.845943974157716	-0.981632849584467	-0.850434832214123	-0.745000062914295	-0.897425169201547	-1.151453094575	-0.949082562869798	-0.917624854157482	-0.850544848985274	-0.994155671275235	-0.834811200552706	-0.851020871504411	-1.26744195249284	-0.669046027857417	-0.803939725157896	-0.917824822515705	-0.800311134777402	-0.94267733129779	-1.0188418780231	-0.963523134586469	-0.848267030367757	-0.818063679162725	-0.699752070175272	-0.938417813317613	-0.82630229441978	-0.934329935888358	-0.685052459532882	-0.837102625068898	-0.850277812033808	-1.07432854041521	-0.756963215882693	-0.840610558518625	-0.816561503336053	-0.806533288084421
"2671"	-0.556823985072588	-0.509672240190851	-0.6435144427835	-0.821188626057543	-0.647588536921941	-0.606752059088073	-0.542568663412442	-0.836691799136949	-0.711068400640773	-0.737307035927365	-0.970904165085798	-0.844569865185022	-0.629250079499551	-0.719651588861127	-0.798471387587277	-0.764723032035433	-0.836680835878654	-0.540752104324088	-0.604422327200966	-0.615139822369646	-0.799092014293534	-0.792313411647558	-0.597103207533812	-0.823788513132201	-0.776650425859529	-0.614383877451772	-0.53118328207266	-0.719176929579614	-0.737198045177852	-0.460660008773961	-0.717962649884731	-0.68593491928497	-0.65652720697908	-0.89169833904845	-0.862179137798581	-0.571950813209162	-0.607785771600006	-0.672968019738661	-0.624954577941255	-0.805385808125385	-0.656984046444594	-0.750291609032693	-0.495079544461024	-0.750542411934874	-0.38714789721376	-0.84383305087532	-0.83143556679612	-0.727892293288617	-0.878275863054387	-0.52437213314981	-0.735925120279244	-0.701996836467807	-0.659193627977583	-0.803463219373589	-0.326461032340689	-0.718408477825383	-0.652565574049506	-0.648888784681971	-0.63583483404433	-0.635703870938888	-0.555609152587473	-0.708768414897013	-0.618036030145531	-0.78533988133593	-0.676093917695697	-0.777581109195959	-0.699891958172482	-0.619032962862773	-0.771145177743943	-0.553412344871677
"54584"	-0.84284268980676	-0.90289301343281	-0.859602720349543	-0.690953496371398	-0.5460151798286	-0.745178072939382	-0.893794640422826	-0.868807279420503	-0.799449630959591	-0.837559209210549	-0.926992062821424	-0.864311709621218	-0.89724612585798	-0.913923545654468	-0.761549300934422	-0.838546067243125	-0.904962428696997	-0.621782001273537	-0.753252358875437	-0.648201520273267	-0.75201902451585	-0.651076225323329	-0.467674168889476	-0.935694294913107	-0.967165496864503	-0.872426140302572	-0.945460243442514	-0.804261936809977	-0.823653045218784	-0.448076549485794	-0.701918712941882	-0.921962104666704	-0.873669799034278	-0.870593954623242	-0.607828054193398	-0.988982370554762	-0.937568309717994	-0.864958580794228	-0.733230393637533	-0.794208895887873	-0.915441087026745	-0.842855888381978	-0.969166955303654	-0.742055735152992	-0.707535961722182	-0.81808442292154	-0.734481620606957	-1.01576461331401	-0.957321555373073	-0.728509752114225	-0.935479329186652	-0.868475611262386	-0.596620711591914	-0.838560653286921	-0.607877435605235	-0.565966416442641	-0.57699789418096	-0.753485749640742	-0.797616664412211	-0.87261155171161	-0.893818028250892	-0.914509125329312	-0.458105016000956	-0.893165360752536	-1.16383053697316	-0.901389214380734	-0.981692300787972	-0.804864301990576	-0.995454403822775	-0.619146123675246
"2966"	-0.456995857838059	-0.456784709938165	-0.582446451630652	-0.462907828653948	-0.296686510422133	-0.274134589933628	-0.476921477870506	-0.383339445545265	-0.367535775248258	-0.380172562636817	-0.554056377887984	-0.550488036076649	-0.464051841807871	-0.457195898870112	-0.381685942224805	-0.543253184802907	-0.479407290614107	-0.347231175208046	-0.312678973244951	-0.39487393044796	-0.554119447410705	-0.616819854484275	-0.296800070017092	-0.357753985058955	-0.59360684013641	-0.405292410827257	-0.524760663273406	-0.517429722859037	-0.430709980035678	-0.226165394877252	-0.449725562745428	-0.469484867672042	-0.480646257025593	-0.459769708475245	-0.350439337616989	-0.475922685483462	-0.432950914508208	-0.425670909387844	-0.492188025054534	-0.463564422002463	-0.48764530035425	-0.450139300013813	-0.519816215405095	-0.469522972100343	-0.311167920631534	-0.379830143724392	-0.475935639386658	-0.482778228629337	-0.478040031742859	-0.452755696513177	-0.486706611336587	-0.54650998329497	-0.417715919032437	-0.383129794094793	-0.291906847362818	-0.461641044814454	-0.341908070349068	-0.502338245183355	-0.453382458718516	-0.420775110131946	-0.259953875835516	-0.334197440491076	-0.439255723202087	-0.469749023969396	-0.626954448187772	-0.539842780239855	-0.360397832399957	-0.429821089633244	-0.424014426575367	-0.374267761918792
"728340"	-0.577220606151416	-0.596828334540746	-0.644238616571553	-0.566374139935178	-0.416770013104022	-0.472684975793061	-0.57891363380216	-0.458198734740443	-0.540957131699763	-0.512204504977421	-0.65033655464307	-0.580555746745948	-0.604364205522236	-0.521193322606518	-0.460236202139704	-0.672924089167379	-0.512496799998922	-0.470230193984301	-0.522615431049783	-0.659085060370886	-0.645275558062919	-0.674905883503413	-0.360864286682402	-0.590779722672305	-0.695904846281976	-0.394276835402219	-0.654719400437275	-0.625558496486862	-0.51597218872139	-0.313999799101327	-0.519817905752938	-0.608042597346089	-0.581212873689695	-0.66069900256503	-0.488023653909661	-0.577093299456942	-0.572822735211155	-0.495221944682964	-0.56241391719771	-0.471744320975164	-0.550279709470634	-0.665660044365343	-0.467990352803202	-0.620952145038992	-0.345711413371633	-0.498076773855334	-0.501173567838717	-0.53839348455019	-0.637745632416594	-0.465073451198072	-0.542204565446808	-0.627815261290107	-0.486806002219623	-0.549691386920513	-0.493637869725249	-0.570556988138272	-0.357388769286071	-0.583522731374889	-0.641412710374869	-0.565778518261964	-0.439508486974173	-0.396722557712163	-0.219215975973895	-0.697876620021438	-0.528414397208011	-0.651492448990051	-0.567351431233325	-0.600854919083873	-0.497078689622038	-0.508273043961176
