	"ACH.000040"	"ACH.000054"	"ACH.000075"	"ACH.000098"	"ACH.000116"	"ACH.000118"	"ACH.000123"	"ACH.000127"	"ACH.000128"	"ACH.000138"	"ACH.000143"	"ACH.000148"	"ACH.000150"	"ACH.000168"	"ACH.000169"	"ACH.000215"	"ACH.000232"	"ACH.000234"	"ACH.000237"	"ACH.000238"	"ACH.000244"	"ACH.000246"	"ACH.000272"	"ACH.000288"	"ACH.000302"	"ACH.000310"	"ACH.000312"	"ACH.000323"	"ACH.000331"	"ACH.000339"	"ACH.000348"	"ACH.000352"	"ACH.000375"	"ACH.000390"	"ACH.000444"	"ACH.000471"	"ACH.000472"	"ACH.000473"	"ACH.000475"	"ACH.000488"	"ACH.000511"	"ACH.000516"	"ACH.000520"	"ACH.000527"	"ACH.000542"	"ACH.000571"	"ACH.000588"	"ACH.000591"	"ACH.000593"	"ACH.000605"	"ACH.000622"	"ACH.000657"	"ACH.000663"	"ACH.000673"	"ACH.000676"	"ACH.000684"	"ACH.000706"	"ACH.000720"	"ACH.000753"	"ACH.000768"	"ACH.000811"	"ACH.000817"	"ACH.000831"	"ACH.000835"	"ACH.000851"	"ACH.000862"	"ACH.000881"	"ACH.000889"	"ACH.000906"	"ACH.000910"	"ACH.000913"	"ACH.000932"	"ACH.000943"	"ACH.000947"	"ACH.001048"	"ACH.001232"	"ACH.001328"	"ACH.001346"	"ACH.001367"	"ACH.001380"	"ACH.001391"	"ACH.001500"
"57180"	0.00675264616407733	0.0770276151872374	0.24368645168872	0.146484940521735	0.0442766790222108	0.187492140768785	-0.0591649328997402	0.107540621521402	0.192679818711268	0.0851121962534568	0.176314126069714	-0.0838463886867986	0.128540808594812	0.195998317679115	0.171600738746762	0.124783596179022	-0.00421535789172955	0.0393952300885349	-0.0240431065651042	0.00228030361312146	0.120608583180683	0.16994281986105	-0.0551925220940493	0.066136465893273	0.0802397710371136	0.0171820957571892	0.080581715529046	0.158942466112952	0.0378529821323589	0.0613336772019038	0.132456881380911	0.207323551966585	0.0125062432412355	0.0244754120441118	0.0404174042594139	-0.0268025745667354	0.0707129315806541	0.207365379002957	0.0822079064582937	0.0875136794331383	-0.0560588187902176	0.147540425605286	-0.0778800656154729	0.0620796951496191	0.0962695544299024	0.150185337098802	0.0574269008290302	-0.108200464410278	0.0210552103754018	0.0550927202766064	-0.0307917395230137	0.13898856915577	0.0733303215574704	-0.0170204678674769	0.0532078198322586	-0.0467186414234909	0.135423893726845	0.114236279416772	0.106111085204836	0.1650798272817	-0.0873435804385304	-0.0448936604710014	0.190521583244111	0.0639906005774282	0.0663156381890463	0.0732771694788212	0.109622951906316	0.0955968523678441	0.0921862237868013	0.0793604063865608	0.123916314108781	-0.0367019243322143	0.0521772111155909	0.0502063948368596	0.0302360491343086	0.118162158583826	0.0175807516195342	0.185609289822944	-0.0694641199729196	-0.0620367026932226	-0.0468788747271473	-0.0120652206958067
"8539"	-0.476597285926151	-0.0733163187789125	-0.469065229189943	-0.116372786889362	-0.428745081752412	-0.245784408100485	-0.330169545246605	-0.331195185410695	-0.336481772803531	-0.202475610235356	-0.429666466893617	-0.279668855753661	-0.224030476660019	-0.385503199805093	0.00687763480091609	-0.272667895028153	-0.291925065369584	-0.119712202611775	-0.130265480350885	-0.488906367536858	-0.227158822333705	-0.209020938252182	-0.259150606569914	-0.124240107698425	-0.255002188090931	-0.258446311738212	-0.102442343120118	-0.264269565681352	-0.422048024979773	-0.297432089588969	-0.30526185380216	-0.214218782379678	-0.297520703677612	-0.319443208621329	-0.415855007573917	-0.382173560378441	-0.16166208287491	-0.459063918051921	-0.557414336877157	-0.18842733680478	-0.20571041894755	-0.145517299075457	-0.287120125688558	-0.211885150777326	-0.189832717781587	-0.348476800621915	-0.618233080841135	-0.171268796203367	-0.23117732240606	-0.424919765333008	-0.277963754891486	-0.152472545552939	-0.147926920226631	-0.156305691924507	-0.27180572266739	-0.29358743882457	-0.334632603792089	-0.40283420666211	-0.256570292176798	-0.253600020612953	-0.229794366386713	-0.476064974070263	-0.199326427673506	-0.166629077621314	-0.349199683521073	-0.2819502591019	-0.247160567658106	-0.282846573946435	-0.331128182042836	-0.255042094519786	-0.311947794249376	-0.236052427604482	-0.201196525413717	-0.17970163157789	-0.267220492340839	-0.245128112867214	-0.402544688011163	-0.43915774382492	-0.334034071782447	-0.153303116943993	-0.222792278469555	-0.299656212664067
"148223"	-0.600604698870364	-0.4155178337041	-0.606212462289951	-0.523595178460482	-0.668073125850771	-0.60713825709242	-0.37435548393203	-0.784044208801343	-0.343590910481947	-0.371627545359078	-0.546345655732942	-0.723085212138976	-0.660431591783143	-0.618079600685004	-0.6760874333208	-0.517808252134456	-0.420361283732994	-0.757544222468377	-0.604066503554494	-0.661759852793945	-0.854812406097462	-0.676148741586476	-0.794027188195042	-0.836836317796083	-0.618998217958483	-0.516061810134338	-0.416196380022626	-0.658846809097391	-0.739568487215578	-0.730240590994588	-0.785469439898667	-0.700437243096344	-0.545427707757139	-0.290894602262899	-0.40374754675692	-0.900765290996103	-0.714996496426464	-0.31753540192095	-0.697294933502815	-0.428052921842072	-0.323743617748652	-0.685301137194462	-0.600334351001314	-0.617856941073545	-0.550500114874845	-0.727117224123636	-0.663810666603883	-0.573389066543119	-0.606012828702423	-0.528872313338304	-0.444502162603764	-0.453993214254842	-0.705906024921939	-0.851525568768321	-0.715916176847106	-0.577095840192133	-0.654799936140009	-0.816905415048307	-0.77665595312263	-0.7546254471064	-0.312305271914826	-0.808792845965123	-0.391737788080125	-0.489485305823108	-0.711899278919737	-0.313780707786797	-0.557507566636744	-0.413659658812508	-0.596446404602864	-0.285378271370353	-0.58288810158485	-0.351411739947478	-0.4682092924949	-0.44989812535514	-0.785192348188045	-0.971928711252662	-0.795585397762695	-0.739147067053616	-0.593750397425931	-0.78151540888232	-0.456231936491305	-0.451232381504302
"100287177"	-0.0970245251570899	-0.315363177441922	-0.245260135474325	-0.276736561994717	-0.366151430498391	-0.366865737608444	-0.30107910638615	-0.446235058054272	-0.220115767353074	-0.308187336422814	-0.223931106200744	-0.249378064431444	-0.42019418502353	-0.248136419468249	-0.288291839051791	-0.29259560656013	-0.339858893647642	-0.371162180128581	-0.432894161578667	-0.263807751258637	-0.515387849790703	-0.376382798852124	-0.37583774398693	-0.350280284072772	-0.380189051325951	-0.330277285153401	-0.449565979063066	-0.316373623867981	-0.35275328202903	-0.383670756839863	-0.279576886766731	-0.38627005253422	-0.262936486724509	-0.30900868649128	-0.215768451414561	-0.317101338282027	-0.30819474417639	-0.287490477429609	-0.264111428340553	-0.299799203766816	-0.212879319258044	-0.242983023681509	-0.173260475398157	-0.337539467566586	-0.345750328608438	-0.297767945544912	-0.463284546047916	-0.295813120135553	-0.44128337758889	-0.273872723551381	-0.266164179186294	-0.344070772844398	-0.363238179078203	-0.270078030623545	-0.351232514760842	-0.398462303998319	-0.235486663436486	-0.366765386449446	-0.349333722006574	-0.391053617021973	-0.400373743680248	-0.0795597730181233	-0.303512266406333	-0.252038952902238	-0.43145673203483	-0.239438799246509	-0.232629253188105	-0.321053365731423	-0.31185791097447	-0.265266889261049	-0.239155858326236	-0.351558900482298	-0.353254291753775	-0.323959532993346	-0.386535936478159	-0.324225475787352	-0.319020158834875	-0.295920401985779	-0.411573504716707	-0.311761006522191	-0.490231722099847	-0.331912234570969
"644019"	0.296937730485241	0.189094579619712	0.234216568149313	0.253529944672282	0.255508999217257	0.25304313174318	0.241730688238608	0.146103188612302	0.218366593551749	0.158688710280989	0.236114987370733	0.174125921690334	0.220230539100914	0.210230577778439	0.199403475992734	0.21091640138274	0.168973280445079	0.121942762936985	0.141595130372352	0.195088401627821	0.165738983555424	0.22038726481674	0.164085596928699	0.242283557913409	0.273934760253981	0.295041989645963	0.241244141404006	0.210550593440739	0.202578704298987	0.138386254928389	0.235030448233732	0.181964307737306	0.330043592787975	0.0628422414462008	0.282244743791875	0.191426111444401	0.11404861800274	0.294083955458917	0.291648774246256	0.180795215547934	0.26254503675892	0.247206683038457	0.367779969493593	0.173841476012067	0.176778601674479	0.137927300117522	0.319395025127553	0.310027679284778	0.390487448008954	0.115109381741214	0.130816168096446	0.129131226125557	0.223430623986084	0.222532649630643	0.203170466407006	0.359034212278829	0.208597351260841	0.171854105488241	0.255876964979853	0.255440728754874	0.170377983073856	0.369281333739541	0.1647392716707	0.171087412160406	0.229116465764452	0.209377647604076	0.172406044773749	0.136801808940139	0.182852779406316	0.232098334142018	0.149414060172039	0.180633618720658	0.220107043463849	0.182086012661121	0.244607843565929	0.265868691355321	0.175224512274216	0.1597775918245	0.290490290155498	0.132540161642859	0.241322350228143	0.154891333116979
"921"	-0.4745693031362	-0.194451075319682	-0.4303741685071	-0.125615271259252	-0.278761887538061	-0.420038210025489	-0.323474824811786	-0.262650012426646	-0.249304930696768	-0.125652085659892	-0.353301039848288	-0.115862795273601	-0.482988845428549	-0.136746937162284	-0.359542047072805	-0.266467853006464	-0.267278528551271	-0.204168424288186	-0.263777945434692	-0.26988281154344	-0.34367596790317	-0.237654932343243	-0.191875554160821	-0.343045294794719	-0.240496948051833	-0.236982244679183	-0.188418135630949	-0.303824518174123	-0.347605969049512	-0.25227754923184	-0.194816069447055	-0.278757399161572	-0.287561343490027	-0.251126879973369	-0.213839339901714	-0.261613905262772	-0.183560450893714	-0.248597834026306	-0.181328757712015	-0.228721183149887	-0.284187378674744	-0.144054933919489	-0.169126238660376	-0.141537030510783	-0.260635955624907	-0.252634149588503	-0.312405624328631	-0.185419847525444	-0.274391791398194	-0.241564366942333	-0.411383110943441	-0.197149878701588	-0.174843233151196	-0.251512997172454	-0.283118135655594	-0.247700773062474	-0.239444706677262	-0.195366405835787	-0.286306117966274	-0.25314405120068	-0.212194688977565	-0.423181000625621	-0.472237289767311	-0.168752356166555	-0.251990491118246	-0.151426036694426	-0.262620060056711	-0.139455211199437	-0.267745134324315	-0.409008725305004	-0.241127397388887	-0.185351869673152	-0.189265666612711	-0.190767105471963	-0.261324210966634	-0.205778562623505	-0.208056525553624	-0.238659640220198	-0.31945635668204	-0.21161282603268	-0.304794797147183	-0.198857814893668
"26047"	0.0627510583810503	-0.0168509094447287	-0.00569521786075069	0.192348276258147	0.0205972898672614	0.134525062990723	0.00864026932103908	0.146554531518239	0.149099959670292	0.00401913011005282	0.0794664976056857	0.0793420344306671	0.110147495083776	-0.0121305729439114	0.156998085215096	0.0586504578600378	-0.0713310384181604	0.0198511983549295	-0.0413911006155943	0.0549104641162961	-0.0914549998945465	0.0754719003316831	0.048382905124773	0.0823123458014812	0.0743131717724241	-0.0591285788395728	0.0158752549126648	0.142982489539575	0.0787353745154265	-0.0232046639511906	0.0791478565054323	0.0856307717766977	-0.0318484709934814	0.0845714590999424	0.0350006511256661	0.00174311357609076	0.0416787637103405	0.0433185641551557	0.0416182587348036	0.0698048219912731	0.116315108141406	0.0813874079375946	-0.00969891012132481	0.0197569051030617	0.0231225737266449	0.0200487440996687	0.0968693845301043	0.122573146820095	0.147930651023581	0.147636094001326	0.0704577943046157	0.0574991621398333	0.138548076041677	0.0334386616497764	-0.0081552454978517	-0.0575164530526549	0.0614452807194807	-0.00999662850584446	0.138335597780565	0.0716159905274452	0.0250615297565219	0.0371348916229281	0.161415521501478	0.0279390718350418	0.0317293163743558	-0.051702207672792	0.052016015252964	0.0653328253943535	0.0114801877113982	0.030610957355403	0.175121126223977	9.72981672630086E-4	0.00408672798703514	-0.0457076185852749	0.0444147088511832	0.123003423224332	0.09418227171649	0.0295921225825185	-0.0265876194981742	0.0306457160651522	0.0702016514689121	0.00397623772966156
"1892"	0.128364779706828	0.0597368180023328	0.0913656908962644	0.0448065743282901	0.0413397485101779	0.0306990799249918	0.142159788972405	0.103276201976528	-0.0168632164773442	-0.0100145246435122	0.232313247074028	-0.185985921501931	-0.175686580809924	0.145592620367387	-0.0596830743941319	0.190378624112812	-0.290083398656381	-0.0221043775170053	0.00266010380460339	0.0185768546251712	0.157880087092986	0.0802988874950909	0.0210190718467564	-0.0235676635001212	0.0810285246902359	0.0625012827444934	-0.0493664570228555	0.198253593901774	0.0964830245064383	0.112074499532182	0.152919974625732	0.0389723238314183	0.0236166530745109	0.057548673679091	0.110146596818218	0.0493211269666277	0.0364552825883618	-0.144407262698454	0.130849677281339	0.0860622595228051	0.0992042184855001	-0.0203518038122004	-0.114725505788315	0.0520037346985658	0.0767011219391923	0.00639383297838848	0.135395327594679	0.00377123722763169	0.120279676683463	-0.031026735109682	0.0771789240169712	0.0626618902425017	0.0186696271821688	0.0945664563808487	-0.0195952165191123	-0.0348269808514556	0.117874016951299	0.0700821341061358	0.106874943149317	0.245753087533641	-0.0727312319702694	0.171068446826316	-0.090663592032115	0.142266443973224	0.146076223082997	0.120430781852091	0.0765055509684807	0.0045144926159407	0.0799999103984114	0.027078956539538	0.0148292042893453	-0.0478650555349034	-0.126945418214578	-0.0676679828219911	0.108036686319996	0.0994027138607182	0.058644830684665	0.115573207046995	0.0178710235956314	0.00151171805339661	0.109082701880636	0.0711435385431326
"1961"	0.0558679051781893	0.0438390509224459	0.0431640796148106	0.00749443008676663	-0.13612295660702	-0.0884435723753191	-0.191326323481163	-0.0763693474152647	0.0206767641958174	-0.0436042956771927	-0.168325071948385	-0.0620024098319397	0.00209898305645613	-0.00332413813600413	-0.0321123147582908	-0.0420404491985753	-0.0398993421440378	-0.0498678000549335	0.014944766160029	0.0426940031846967	-0.112673215307343	-0.0718975134640584	-0.0696787770223941	-0.0154623302825423	0.0340113859967571	0.0419677639113573	0.0517398063433173	-0.0536310791252793	-0.0702608259006184	-0.078145388214848	-0.0305076781899464	-0.0379907402315662	0.0177784070332069	-0.0258444776911378	-0.154085597490859	0.0416322277240712	-0.00990145929128665	-0.0796387605645582	0.00489063436310498	0.0100096500487816	0.117902340436247	-0.028856372417901	-0.0280126712049349	-0.0497646786979777	-0.0100819813262535	0.0544308836586473	-0.0534761074714775	-0.157280438939053	-0.155647847609103	0.019744829159158	0.132719742283106	0.0505275956574458	4.0378924317482E-4	-0.104554538189421	0.0166922080921952	0.0109923583223237	-0.0597539594018575	-0.0740051807738408	-0.0780427605037347	-0.0680610983020843	-0.00473159350207024	-0.261608888071041	-0.0881518234371237	-0.0774796145107991	-0.0875495801893564	-0.0716387707109083	0.1163941325122	-0.0402959499481049	0.102052932739701	-0.0120193340000141	0.0823797832922534	-0.108345466734021	0.00599758658012582	-0.139442920644832	-0.0128447362435064	-0.205120088767421	-0.138715238375249	0.00338966968546936	-0.0600055181785733	0.0138929916452023	-0.0984421871402696	0.108901312853806
"25817"	0.0503353422761741	0.0552539443146207	-0.0945684789870473	0.037672397495629	-0.0338945552384593	-0.0187209740406999	0.0687700801066805	0.0503115570303626	-0.0506073414106174	0.157382092121835	-0.0925844289771438	0.129089019970376	-0.0159768993445801	0.0773817373074916	0.1386411586707	0.0383250826378735	0.0220912667718266	0.119256939969486	0.0462953651701554	0.177225080444761	0.143823464573051	0.0668195484558216	0.152735056823764	0.105440663748106	0.09460611969616	-0.150341421948099	-0.0829292211198644	-0.0537608095940401	0.0584609826372684	0.0527715165246127	0.10981952088598	0.114858777284601	0.00786150274429434	0.0559052434490461	0.161486603732826	0.0474497658905742	0.111109185796117	0.108559086615733	0.0554073890562909	0.046299423393309	0.0580354364342916	0.0231391079683483	0.0507537614680019	0.132680001029768	0.125994801058776	0.00139774639338795	0.102008176037717	0.0512023042419377	0.174424060227518	0.065946131864641	0.158252464731023	0.00835373032007588	-0.0490490456444803	-0.0331559540059453	0.135649982631606	0.0945100232819931	-0.0993367319578295	0.0173432941076919	0.125146996660371	0.202763504566995	0.080877928738822	0.124957671002394	0.09273851352719	-0.0327350970525719	0.103281876813269	0.0479643399409301	0.0284543151528436	0.131593229653234	0.0609986904959092	0.00471513402439733	0.093232915843214	0.0931690077517568	0.111580213041419	0.0934418624648791	0.106736433750329	0.094790092028548	0.0420955796092072	0.0191320815424622	0.00961033218476161	0.122806274500108	0.325748913455813	0.0849531264850494
