	"ACH.000123"	"ACH.000183"	"ACH.000198"	"ACH.000226"	"ACH.000235"	"ACH.000277"	"ACH.000332"	"ACH.000338"	"ACH.000401"	"ACH.000425"	"ACH.000485"	"ACH.000500"	"ACH.000696"	"ACH.000768"	"ACH.000778"	"ACH.000827"	"ACH.000865"	"ACH.000872"	"ACH.000878"	"ACH.000938"	"ACH.000960"	"ACH.001322"	"ACH.001523"	"ACH.001554"
"31"	-0.265249680289079	-0.334187414940023	-0.149495257408897	-0.365070539630167	-0.387528217164307	-0.21255071233926	-0.0940459225327803	-0.217649908324242	-0.223683918856193	-0.38518902780686	-0.252610778321657	-0.00560923228072027	-0.26986298355672	-0.357733396327545	-0.196041984706925	-0.414553244903307	-0.029423902429448	-0.256883185608303	-0.276708235182999	-0.127995458383539	0.226069791412679	-0.202831802699238	-0.278229264935539	-0.157201780438606
"47"	-0.485259333219866	-0.70881812152176	-0.477056444750712	-0.597003326809681	-0.340381765290745	-0.440324672032963	-0.394629869386243	0.0842643479375804	-0.685146441875753	-0.52701672655125	-0.378383149398196	-0.45070253160876	-0.43528496284602	-0.40258103433294	-0.376842375459212	-0.630823892596448	-0.418954772604802	-0.309746335342752	-0.63684589927454	-0.485126715172995	-0.670150924973672	-0.476375898106706	-0.424373484071583	-0.563950414821922
"9550"	-1.01149616325539	-1.13496844413077	-0.695136007281933	-0.828539449134535	-1.17168481282801	-1.19282103740789	-1.0596285601239	-0.778000815135841	-1.32083781882701	-1.09715977817682	-1.05459096209192	-0.768371577238823	-0.981013256842933	-1.10772299603597	-1.2943376354195	-1.04671737031744	-1.14355327296279	-1.55690331637692	-1.0644612556903	-0.786544726231393	-1.17839238610124	-0.8219893163652	-0.909363046192695	-1.00634790893
"64417"	0.178405140338078	0.222975684212152	0.317481041160983	0.148006191070023	0.216190843156848	0.287756611888247	0.251345821749764	0.258225223295877	0.268341214927447	0.160384407728877	0.224896520013111	0.0737765615262158	0.287780290691697	0.308290126561608	0.333443373951178	0.201035868692737	0.24204242159363	0.169884997444987	0.164099709428635	0.246226677306166	0.229778628492867	0.257818559182975	0.312817534099859	0.166939040590773
"1785"	-0.866565999998228	-0.98665521837691	-0.823417274923528	-1.04368005800615	-1.2030984739113	-1.11258831836144	-1.12766890814998	-1.34021303259183	-1.086317625726	-1.03528673525507	-0.858216314083698	-0.668467624304447	-0.889726161228707	-1.14431542713961	-1.11838996752049	-1.03319480610363	-0.971316182590469	-1.23327289759061	-1.20689942509135	-1.08643733741798	-1.06545566359909	-0.930066742533244	-1.0886669447965	-0.964683598059547
"348980"	0.100209960582803	0.182819876139504	0.251702194059592	0.175438199425935	0.122813410014119	0.161766012451983	0.0995801708782519	0.15527740942617	0.181142133587738	0.0806925611049082	0.200260707105224	0.0709274047419446	0.143150072516809	0.071519001894821	0.18864985036646	0.139711166479626	0.0792335495602723	0.17590490594105	0.0400381892928611	-0.0245698419680951	0.0881396623699106	0.198751798863556	0.171816662489367	0.116627514633311
"133558"	0.11909500691968	0.214529417469204	0.189260672846324	0.190489054406672	0.146766009810333	0.199548153483885	0.148897423651263	-0.0572578605768913	0.183507533452337	0.138874981009269	0.104240130113445	-0.0598280144583887	0.190644459298629	0.146847504944435	0.207212531331654	0.132833415076918	0.15328712651969	0.0924018376834555	0.0984976741764201	0.0889155454167527	0.173224495972154	0.245779169080725	0.253883970330034	0.159865167238497
"4543"	0.0223817743802228	0.063379793823757	0.0116089127049733	0.052565138148877	-0.0425922669539279	-0.00604976248910122	0.0274232847996798	0.0115476445760937	0.0715106357123543	-0.0469160199588836	-0.0103345218743959	0.00405309097305696	-0.0114700207617988	-0.0186404718496434	0.00674903043696601	-0.0464017058383716	-0.0049011110533298	0.00339801448303746	0.00797425746907951	-0.0522284075016595	0.0668231291469936	-0.0134993980648129	0.10328828938504	0.00906028194365696
"4609"	-1.25632205487816	-1.58865877077759	-1.29394263465195	-1.38847519945273	-1.53411639435357	-1.49679937552126	-1.60519158886914	-2.03684892819516	-1.70343065284777	-1.53592691850107	-1.55974188132116	-1.18930232315322	-1.29772821330615	-1.57944577706791	-1.8874962819949	-1.42883441705198	-1.58648745518759	-1.68253466378904	-1.77144023422391	-1.68718953945213	-1.49935995487549	-1.63266612072618	-1.74121020655944	-1.45220585489979
"5130"	-0.412021133727971	-0.460190164627775	-0.445913653941899	-0.353774491127867	-0.428528034207012	-0.52236806157564	-0.230078340592938	-0.392746566713482	-0.432119281456875	-0.45830593536554	-0.293626885111283	-0.192261463542781	-0.330631793860167	-0.544417157997284	-0.603739092345296	-0.57087949540857	-0.378081925696839	-0.356639548772754	-0.490006464703874	-0.653056536565371	-0.459680039623243	-0.730899532254421	-0.626801303709153	-0.507615824920702
