	"ACH.000095"	"ACH.000097"	"ACH.000099"	"ACH.000223"	"ACH.000264"	"ACH.000274"	"ACH.000291"	"ACH.000318"	"ACH.000329"	"ACH.000383"	"ACH.000397"	"ACH.000403"	"ACH.000414"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000481"	"ACH.000483"	"ACH.000517"	"ACH.000524"	"ACH.000571"	"ACH.000608"	"ACH.000624"	"ACH.000657"	"ACH.000699"	"ACH.000701"	"ACH.000711"	"ACH.000770"	"ACH.000783"	"ACH.000785"	"ACH.000796"	"ACH.000867"	"ACH.001134"	"ACH.001228"	"ACH.001353"	"ACH.001377"
"29945"	-1.0461174731693	-0.875651403418893	-1.01229809343841	-1.18845165632032	-1.0272424646622	-1.15144245860692	-0.799324454716801	-1.36068717025005	-1.13316499318278	-0.959839445470403	-1.3111014254893	-1.14617409337384	-1.29633346493921	-1.00105029806551	-1.12051574239435	-0.877059245788333	-1.12748633407495	-1.35494997101858	-1.15215150082262	-1.20757533096005	-1.34185777032995	-1.03684157893941	-0.954187611668518	-1.00907275217918	-1.33372842362014	-1.03235041130952	-1.15743166649447	-1.16455911264521	-0.970434098287453	-1.30236255298006	-0.98097667182803	-1.11468264099743	-0.837837928883371	-1.12018383414418	-1.05633880707568	-1.08724782060787
"55608"	-0.156601202428737	-0.0976880928317152	-0.0750693493047559	-0.170661515102715	-0.0989915728360575	-0.0913638688339063	-0.0214468940561644	-0.0605380139751765	-0.140853200884531	-0.0311472883583504	-0.139459662550605	-0.170309635956704	0.0463963184373803	-0.0867039965807634	-0.141197433590739	0.150680945680003	-0.0101710807679381	-0.0366739730157456	-0.0138674358417888	-0.0476162688985056	0.0475573249198923	-0.0584683037221944	-0.0749595776078166	0.0154016341902714	-0.0633247967089475	-0.140777074407855	0.0546806934911752	0.0214637460431535	-0.0449057634602216	-0.0654647600872985	-0.153803536765814	-0.00435963273417467	-0.103477167208991	0.0245024024611929	-0.0218515039721	-0.0463100803778631
"10550"	-0.160139514397862	-0.0729980305920705	-0.102119729968532	-0.154611653909825	-0.197330167868776	-0.0626095956352525	-0.224805833400391	-0.137094226018564	-0.0508491567071462	-0.153323970435152	-0.111930745437486	-0.179222863650578	-0.0964056189317146	-0.201801288985331	-0.12666889366039	-0.135168930077025	-0.0265010183309914	0.0266700415969033	-0.162023051433646	-0.0743666649051903	-0.0578134839332801	-0.142123676291354	-0.183077434358167	-0.161260396689368	-0.0182577740205182	-0.176895349975096	-0.139386968185624	-0.156680809508645	-0.0270023569348297	-0.0471636570718323	-0.184385157851327	-0.222795807927954	-0.189292500818464	-0.133837370996483	-0.0160054934820103	-0.0941155753012974
"136991"	-0.218703459582407	-0.110129540536788	-0.110511569064509	-0.100852303233094	-0.0638428896311061	-0.128279276287529	-0.166102792255303	-0.140486095383608	-0.0780821241336671	-0.152616959100293	-0.193247105539286	-0.173110950722689	-0.110550211143783	-0.164342108589577	-0.151355215242175	-0.0660876044111702	-0.107475906958786	-0.128500872542391	-0.0489998035469884	-0.0900279249086044	-0.0893132723051708	-0.139722849046939	-0.158966067077633	-0.164565008235111	-0.145252131959643	-0.191984206064857	-0.133184398970513	-0.125889042960894	-0.055655994902564	0.0232198175300734	-0.0938852679373031	-0.0832776169257854	-0.183744977169969	-0.0241875855746823	-0.0689252188537763	-0.156201934328051
"578"	-0.329768309367738	-0.28306803200287	-0.327492683736121	-0.406314630968207	-0.351825106292495	-0.439884655756863	-0.392741561170672	-0.320604264170719	-0.298499978960802	-0.348747768115165	-0.32122984697455	-0.436278159339645	-0.258412786162134	-0.370909529038918	-0.18725319786218	-0.214035822431991	-0.20130232340061	-0.085045945887307	-0.280036369713489	-0.438413814043233	-0.253241426423089	-0.339250816900882	-0.3484525215488	-0.31328349919288	-0.130852840346935	-0.400334359482034	-0.293815823564483	-0.284458425270202	-0.413124262957365	-0.344956168337027	-0.309309758773555	-0.293414551763602	-0.246231138842018	-0.28123415027409	-0.360910919449377	-0.33630936892362
"55727"	-0.16124999183103	-0.0972162771259527	-0.167305381577329	-0.0429587170308954	0.0272466245744619	-0.0857798011408698	0.0515681847736844	0.0815514703822203	-0.090669468108389	-0.0105089701357156	0.0351856129013393	-0.145282541074576	-0.117650115050552	-0.0377698722592732	-0.0372665580599503	0.11431221941968	0.00684947115535706	-0.0825146264540266	-0.10546000711153	-0.159737464786027	0.0266999782972007	-0.112242265754304	-0.0855108382318449	-0.0939573839200674	-0.0504436027484468	0.0442443374438689	-0.0467502271457687	-0.0800469474864488	-0.0134291182674037	-0.0100765179120826	-0.342807737286995	-0.0485937496536134	0.0387593173614263	0.0949626047122469	-0.118271775789877	-0.0673409029371248
"150160"	-0.0172735475064024	0.00277174256407796	0.0175685506892941	-0.0401416397289697	-0.00819924592881721	0.0203494478515313	-0.12107726174441	0.127643267406751	0.0325092845683678	-0.00705695135721638	-0.199774836689302	0.0838113819312138	0.0613011604888241	-0.0858053773657387	0.0450095612032825	-0.0928184194689624	0.0422963844257441	-0.0392935432761519	-0.0542852541855664	-0.10817408191655	-0.0683440648483856	0.0818240671414135	-0.0694973048160918	-0.032923179347248	0.141566550221919	0.226430113539024	0.0683781097339894	0.0289471848439846	0.150374562537886	0.0391826155474312	0.274879260938359	-0.00469251958209375	0.114978450101244	0.0605214697791532	0.116819585356888	0.147803518747641
"92359"	-0.148913780294398	0.0361949259606253	0.0209021719973969	0.0135396750011899	0.0421221645946075	-0.150991593087077	0.00880197061865448	0.096868273992769	0.0786304262966683	-0.0659149314543728	-0.0787417110518402	-0.350131025279313	0.14465916509276	-0.0319420734827564	-0.167760388474801	-0.180171688042293	-0.0235601288008195	-0.0462276761777931	-0.100614913610722	-0.100044386972368	-0.071921456550233	-0.134783140076307	-0.115741342602219	0.0139370363965077	-0.135773169442193	0.020574335529319	0.0609488173816611	0.0407464662704654	-0.0297562285594953	-0.0672836088314936	-0.360074812881559	-0.0604419712570564	0.0818294848943827	0.111583237111136	-0.0718909338414059	-0.0972359833493442
"10106"	-0.426890922955448	-0.210315328725135	-0.360087072345539	-0.3154224795829	-0.201556857587289	-0.263641916002718	-0.229317539914241	-0.284235754361114	-0.293608404399306	-0.199361660701187	-0.394541223112197	-0.443118217439094	-0.247279080985561	-0.333795673281214	-0.262167349736886	-0.355154569170816	-0.238306261829706	-0.139237194196102	-0.36762696897101	-0.231078648421984	-0.131041450528891	-0.294219917092699	-0.238174517166038	-0.231880783852167	-0.284494401337694	-0.438398802982029	-0.202236999942461	-0.378232135975989	-0.368307089066882	-0.319290464614994	-0.404075106277372	-0.307800803386005	-0.407160818133031	-0.115495787038445	-0.205187098772533	-0.305847602365844
"9547"	-0.158557099478975	-0.0563452280381776	-0.0788104144363906	-0.123953477034713	-0.229529082155918	-0.0277013705381563	-0.148224561427082	-0.0858360917611641	-0.0735572160987117	-0.184044118479103	-0.143976864459702	-0.101974083192168	-0.133131604949288	-0.164473119212133	0.0321848763880044	-0.0815676409397303	-0.0579430300680557	-0.0998104290963046	-0.0672173914620126	-0.0207216327862263	-0.158220239799825	-0.0877105917635011	-0.075077329143331	-0.16378645059636	-0.0643971481299305	-0.204423935992829	-0.178011956860885	-0.0546103724702897	-0.0413592316817133	-0.0132004340969708	-0.183858816264757	-0.135474652930422	-0.0595328849187349	-0.0746569206631942	-0.104755947696784	-0.13575817160253
"29980"	-1.53086822350655	-1.36677065522497	-1.13571992430165	-1.53548243103379	-1.38960436577342	-1.42547584705027	-1.20794431284137	-1.79234247426274	-1.40448890528887	-1.37308148029126	-1.75889629949867	-1.71752814669475	-1.65639465624196	-1.34568415561786	-1.40184482303938	-1.34626888891559	-1.61457894610591	-1.71696152551576	-1.40594539862924	-1.773642138469	-1.46521398164367	-1.36864230043851	-1.39164998287838	-1.44992089579168	-1.71996511278844	-1.76006054904748	-1.32122134758461	-1.53203811808408	-1.45051586722927	-1.59332193814198	-1.30836348026872	-1.43149281853454	-1.40708598186036	-1.25756660598108	-1.53074656124744	-1.48780633081887
"1849"	0.0676327854913896	0.00902439326443054	-0.0335379514703984	-0.0400674994128043	-0.141989390475327	-0.00373646119279973	-0.133661900547678	0.00891612716775008	-0.061295750200751	8.67747879162606E-5	-0.159754397819377	-0.051894402112916	0.0311921156500605	0.00414901948339438	-0.00899451165676162	-0.01315709507418	0.0333112917422828	-0.0247961590706802	-0.00738876667711663	0.00956196889516318	0.00339630750434315	0.072551972211788	-0.117569766780006	0.00121128998203587	-0.095720155267796	-0.162878754359477	0.00143397563046317	-0.0482064536680715	-0.0195474320944938	-0.0836179717021434	-0.184361533969634	-0.0579712795170752	-0.242482787611839	-0.109755018057764	-0.0842225541354568	0.0964024080706427
"1975"	-0.642415406626027	-0.506412718707806	-0.827857196746962	-0.818884914998391	-0.636484173614221	-0.770800045828707	-0.724542967303157	-0.638363227389679	-0.679673150449162	-0.528814720557478	-0.728995161890142	-0.87816781177	-0.581020938732804	-0.762401270170295	-0.741552600493977	-0.539480170576333	-0.56757604694214	-0.404370696388355	-0.56531979337576	-0.744557259215001	-0.566246538608423	-0.785484004524133	-0.485334833899992	-0.667319557375788	-0.529343550285625	-0.744713668115918	-0.60123999612893	-0.721164123205606	-0.906631559760567	-0.843988617609626	-0.704665699472787	-0.557117912062907	-0.792401931557618	-0.654852050284675	-0.649328625693828	-0.735511235132127
"79767"	0.0792204536229687	0.0165914922809707	0.0981570336904707	-0.00639117785624032	0.0910207556963391	0.127415382390768	-0.0104519817133176	-0.0569722750732031	0.103102628567343	-0.0299313336001289	-0.155637358198888	-0.110458076180044	-0.00758322128263094	-0.062162557453558	0.00695937048466835	0.0614508732383788	-0.147170427259299	0.0611004327593013	0.0350696826675043	0.0414159781590899	-0.0812668480905935	-0.074852865871154	-0.00867018178863539	-0.0386130886866118	0.083173618238074	0.0854179983950211	0.0705105287562207	0.0134336372264565	-0.0914587089398385	-0.0620084243826685	-0.355657617937564	0.0293429440877375	0.111157869193892	-0.0356581862074768	-0.127357907814544	0.17180179683384
"56915"	-0.925181103105543	-0.735036379745075	-0.676145356443363	-0.842248725417966	-0.699734827184788	-0.769128642283546	-0.894882300933748	-0.788265298637332	-0.653630910003299	-0.763336894548986	-1.05605127946738	-0.886033221665149	-0.526344015159802	-0.75229439023557	-0.568445237947641	-0.90373916064144	-0.943970666434229	-0.607422130750608	-0.799181474326483	-0.516843261570145	-0.515828799899228	-0.76970727955733	-0.996516562482256	-0.843090075652867	-0.585730255083183	-0.801468857687553	-0.87630507040236	-0.639099894266495	-0.488046091667651	-0.625372876075223	-0.790141800790314	-0.831841885104954	-0.565354215604452	-0.624963308577355	-0.900981361465803	-0.734990973205446
"2160"	-0.0857458660775361	-0.0233382270470924	-0.106194942032846	-0.0988866663830922	0.0139697808599072	-0.0606364944596325	0.010335877428547	0.0383307113822524	-0.0545549658618834	0.0317218762351634	0.0966663101620842	-0.062617792228706	0.0402591318929022	-0.0628299117924742	-0.109107776837695	-0.0317785698669207	-0.107779167505369	-0.0280499720748661	0.00137446832695508	0.037139592803321	-0.0105335741511825	-0.0539091499122848	0.0372217936358262	-0.021331749122975	0.00413648749828197	-0.0617313637305435	0.00807038977167548	-0.00285459992407772	-0.0424590265977367	0.0128801665927386	-0.127213878344681	0.0577765712040148	-0.00672912294734782	0.0201629820967318	-0.0132501497679016	-0.00950878541479437
"153643"	0.0427013375755569	0.0165722119348369	6.67048604955758E-4	0.105754842951953	0.015376378966303	-0.0939543886203047	-0.0239078049421207	-0.0165670649690544	0.049514542633381	0.0726724975516736	-0.107453040174071	0.0697610763740042	-0.0231182877114262	0.0517081467182618	-0.0459885689224582	0.0208121703867038	-0.0297952387806776	0.0447256645017547	0.0221493679698244	0.0471874172230273	-0.00418395041515057	0.0929481000698012	0.0309287949916151	-0.0720620194518781	-0.0470729536022213	0.021550563519789	-0.0726567129782578	0.0126707592545293	0.00953742867966013	0.0201918246192606	-0.0954171226061107	0.0141521790743575	0.0107622014355577	0.0128607790289444	9.19088999913657E-4	-0.0533293546547191
"23062"	0.0407231506718299	0.0258208988843228	0.145185941209653	0.123162382285871	0.147860389386066	0.0580946119635981	0.0585219194133588	0.00613104065756092	0.0376949458197227	0.0388170199956138	0.10644865333715	0.181682077169621	0.0891613124528191	0.0408495887582271	0.0606374712807548	0.0195770983204726	-0.040600431201745	0.0246546396655308	0.058118561942898	0.0532251250554922	0.0325169889719403	0.0556686055657188	-0.082777383589251	2.59706094993942E-5	0.00145440529046289	0.123088428118268	0.105120466886224	0.0726667511409429	0.0135270064550496	0.146063915121525	0.149650804213568	0.0342535617983238	0.0385613494000214	-0.0181153008524301	0.122640035445385	4.72611400013805E-4
"9555"	-0.23869428838799	-0.0411384753304766	-0.156570987357076	-0.138837048082215	-0.305034826492303	-0.202911508147051	-0.122256821342467	-0.0948257901212864	-0.175399880873361	-0.172327839875801	-0.312394842753938	-0.262221134577737	-0.179632186301482	-0.131423465230718	-0.231004664735476	-0.243863405573214	-0.145282893761932	0.0196912048648544	-0.0868712669140104	-0.13892597276135	-0.151469302857027	-0.136389969316593	-0.188600567919262	-0.166254102046136	-0.0631731192401454	-0.18744391064483	-0.163005516375606	-0.18394007603782	-0.283882516345195	-0.141441953585314	-0.275545715746895	-0.161832927593123	-0.0326803413702807	-0.00371740659668458	-0.11508072862539	-0.0960507640860777
"3207"	-0.0823067580151658	-0.121657497490142	-0.161164195665577	-0.0795172762786489	-0.215866564188426	-0.0738248019575971	-0.0263333977956336	0.0275178695231182	-0.0648909369013966	-0.175520282100759	-0.092088507287942	-0.271383777636047	-0.0341717721201498	-0.205818395934271	-0.267435725849	-0.0367961618537937	-0.00520735983952404	0.0462666882405518	-0.117396112291501	-0.066311002658256	-0.105246739399602	-0.0650256404849034	-0.0552467530796753	-0.0870875530739333	-0.134975369975636	-0.021691257908913	-0.143843135474861	-0.219929321451302	-0.18047720567614	-0.19333218632013	-0.266963399081206	-0.0536798901668414	-0.0102029212335471	-0.215685317080463	-0.169279554936394	0.00927541485055596
