	"ACH.000014"	"ACH.000017"	"ACH.000042"	"ACH.000053"	"ACH.000085"	"ACH.000222"	"ACH.000233"	"ACH.000235"	"ACH.000246"	"ACH.000251"	"ACH.000260"	"ACH.000406"	"ACH.000450"	"ACH.000452"	"ACH.000458"	"ACH.000477"	"ACH.000556"	"ACH.000580"	"ACH.000614"	"ACH.000632"	"ACH.000637"	"ACH.000646"	"ACH.000661"	"ACH.000720"	"ACH.000724"	"ACH.000725"	"ACH.000778"	"ACH.000781"	"ACH.000791"	"ACH.000855"	"ACH.000912"	"ACH.000929"	"ACH.000957"	"ACH.001164"
"10880"	0.0401145576508097	0.00675842885318559	-0.089261924190416	-0.0210083938636305	0.409533881366273	0.0392429231748575	0.0257693234933815	-0.114749785664719	0.0452037498357147	0.0255389498695578	-0.0169170529631323	-0.0393605532216374	-0.0813700835745464	0.02715612734609	-0.094053806540174	-0.17413824012732	0.0674901000574506	-0.0146537508262286	-0.0251424066077721	-0.156091938598122	0.140886192847315	0.132675778683635	-0.216183743598847	-0.0245113673155851	0.0156059758755953	-0.188312742734776	-0.128150372879442	-0.0541709916094825	-0.0206153194781346	-0.134614538281288	-0.0454285992442648	-0.0536344837264348	-0.204219632193858	0.0367069063991385
"10393"	-0.298544735419318	-0.403021228304665	-0.333849170087426	-0.397584988103382	-0.247154532615903	-0.290221503610058	-0.405503731964518	-0.34565042956409	-0.35473767547598	-0.737479183324817	-0.386487869295683	-0.29391598216492	-0.209849541397665	-0.336558961086048	-0.314290950139733	-0.433086139815262	-0.51610502607699	-0.331857695531908	-0.273316493942521	-0.403270774899826	-0.116899472034651	-0.212078006308077	-0.232072854187935	-0.399989947650033	-0.331806885770618	-0.340282084295063	-0.363514601281618	-0.343745037097488	-0.480966042080658	-0.347590275202076	-0.315077326766587	-0.519155705517644	-0.2788463032157	-0.443570399257048
"9184"	-1.66989316553715	-1.87593695001582	-1.84927642144124	-1.51919085872758	-2.1291733338145	-1.74303872480951	-1.85467605051101	-1.56500872189887	-1.58466656467084	-2.07600842893528	-1.66804544857928	-1.89718190590057	-2.21568660479088	-1.79499563447128	-1.86326748781052	-1.85641587733236	-1.63676549443669	-1.83520953698242	-1.79152545455118	-1.81618781506442	-1.55958212955982	-1.65601985538828	-2.01956228082879	-1.78410242795012	-2.71534332550053	-0.867287103088122	-2.28901486903711	-1.80709046710795	-1.76327319460085	-1.83910634543938	-1.63632153628783	-1.51252623074822	-1.62608932276831	-1.75240117271618
"26074"	0.0589957799438101	0.0402421168050166	-0.0169522367582456	-0.0148156077907193	0.131254786266254	0.0676682123547108	0.00100499348019951	-0.0300094088381705	-0.0207685169869337	-0.0535691246843515	0.0172400294618792	0.0134806786333281	0.0909285663454482	0.062477998199199	0.0233088627196532	-0.0574508469972196	-0.00383542946096267	0.0309990860472524	0.0702909102058336	0.0407568355392516	0.296402687619545	0.0214284171361311	-0.176986905874931	-0.0521866030632635	-0.124251591319262	-0.0563171318017848	0.0220669797354682	0.0476125694309793	-0.00202683783971274	-0.0156570976167598	0.0123307721539384	0.141826336242219	0.0241853906068779	-0.0354520838568536
"285679"	-0.146457742380513	-0.154146087117417	-0.00256929102062143	-0.0570552608257495	0.00712119284775267	-0.159530958531367	-0.300559763037172	-0.0818203055654729	-0.141367077437307	-0.524602324773557	-0.0254029518461433	-0.101030647330259	0.148801669108999	-0.0511716516547384	-0.0372289875735412	0.0598983004803705	0.0578554666893794	0.110120162641719	0.0134225967724145	-0.0862645808206741	0.0375551628778437	-0.0587498112228565	-0.206866631806796	-0.0296420316669566	0.00385435625888097	0.00152503868265916	0.0782481341573753	-0.046352966633716	-0.0437554972947678	-0.134822349004511	-0.0188775768851056	0.0995035339185828	0.0548681584542412	-0.073507039851054
"8697"	-1.41703022909544	-1.11622632999137	-1.30058915804271	-1.18489091221732	-1.31898522221339	-1.1259791906596	-1.11979603026199	-1.20657754196202	-1.118500925943	-1.40544556775711	-1.47025756425009	-1.32259887861211	-1.35073548317469	-1.35006295220147	-1.25325603472952	-1.39541510828099	-1.35631363300871	-1.20506961000345	-1.15464543749356	-1.23117169195995	-1.37129849591808	-0.929232638761265	-1.43008386835115	-1.2622062131851	-1.44225250338717	-1.22807023986427	-1.49343530554726	-1.25027549337665	-1.42000437193833	-1.20022263353219	-1.28537164904958	-1.21998779067091	-1.24050608555133	-1.13818233933948
"1603"	-1.2917471371218	-1.10635266353632	-1.12371222331875	-1.06476909674141	-1.26211709858802	-1.11935351910332	-0.99983765278057	-1.06727311016231	-1.23128193290621	-1.24075945720998	-1.21427543730955	-1.34436061590356	-1.46204116683221	-1.25558881297494	-1.37598661444498	-1.3610730171214	-1.07045672912788	-1.47117359566696	-1.31596776298233	-1.25351952557572	-1.21081441660357	-1.08199931673219	-1.4605393430189	-1.25184979657284	-1.6649623411134	-0.658473163601299	-1.25871104822682	-1.28599983511505	-1.33087534864589	-1.40106946737676	-1.22727716333635	-1.1840222808369	-1.38456246723539	-1.38781951253068
"1798"	-1.58767510049951	-1.18471009022484	-1.6869742323083	-1.37762627282958	-1.32346088545333	-1.62502843229071	-1.427493620894	-1.46135944742218	-1.48247556759134	-1.7507386061501	-1.68263636054048	-1.69091338292212	-1.79009450654068	-1.64429384181509	-1.54023501532778	-2.22410955100016	-1.42628739423995	-1.82032072638993	-1.84748480684162	-1.67521530625374	-1.80895433864397	-1.84078576015713	-2.02314340741984	-1.43363720460438	-1.44722567328051	-0.734652535908415	-2.55187686673131	-1.60309487627595	-1.60059559248739	-1.81763929100048	-1.4501704622431	-1.6748761753857	-1.46129633022173	-1.4322543922221
"55711"	-0.207066077270829	-0.0219359666835981	-0.0679782255512283	0.0459785016071384	0.0426739045313158	-0.155532644639017	-0.11789265596436	-0.0867761018530208	-0.0567726399736771	-0.320002788214675	0.0655382118660488	-0.122585219787039	-0.0947910962117325	-0.223130181082685	0.0301686174418747	-0.289126566856476	-0.136642994448595	-0.137237918684916	-0.0615063768353943	-0.00463366095481784	-0.0187213938988791	-0.0592977910765113	-0.105279867222341	-0.101581807182303	-0.0954021741541284	-0.00461949370359242	-0.11909864954026	-0.00710544361537283	-0.171807785416524	-0.0579201756657552	-0.0423742553046182	-0.0933537538999759	-0.0563982135365403	0.155205104115575
"23769"	0.0748166627170821	-0.114190584458701	-0.22619437157796	-0.0970925037378781	-0.150523590200047	-0.25968468223878	-0.0768780265010416	-0.223168913394556	-0.13332539039167	-0.0662234954918769	-0.207723244632677	-0.171759145032404	-0.138217889863807	-0.200886794210715	-0.290322078945141	-0.317234046069241	-0.195146156811082	-0.0482003563588965	0.0531217858147411	-0.211517446108294	-0.260038520981507	0.0368163189951178	-0.205767159215695	-0.273414533375133	-0.109558798447077	-0.253315357702947	-0.275679219538754	-0.131207548812777	-0.234540118678938	0.0507202289326517	-0.194768851405669	-0.0235940094875689	-0.171079565526829	-0.23777648126346
