	"ACH.000087"	"ACH.000116"	"ACH.000138"	"ACH.000232"	"ACH.000293"	"ACH.000304"	"ACH.000361"	"ACH.000374"	"ACH.000450"	"ACH.000460"	"ACH.000638"	"ACH.000649"	"ACH.000651"	"ACH.000693"	"ACH.000762"	"ACH.000769"	"ACH.000784"	"ACH.000822"	"ACH.000858"	"ACH.000876"	"ACH.000878"	"ACH.000948"	"ACH.001048"	"ACH.001211"	"ACH.001336"
"146"	0.0894513536814112	0.0951378129168354	0.091135566028096	-0.0185608057232483	0.0707965027648809	0.225564294268189	0.0239773500422933	0.0170937536138813	-0.0593080481414463	0.0832086243964353	0.0802116217532919	0.0496080636896726	-0.219312132168591	-0.107151344084677	0.0204311640706498	0.114580486740086	-0.0223975210596719	0.0161011240608963	0.0432791342109225	0.0511800982966645	0.133777833499883	0.110615783693012	-0.0687793273132357	-0.172128402171578	0.0360700108760093
"570"	0.0112371156374187	0.141095409036354	0.0386191242034577	0.12754528189803	0.035987026916276	0.184767685648423	0.0952753952457564	-0.00127593405876443	0.00660253357003386	0.0312937576760945	-0.00493054278486879	0.0414454084829112	0.13331092965081	0.0840510731296604	0.0626803876676493	0.0552131864106955	0.0303165892477127	0.011229240291395	0.126131954439671	0.116597929111495	0.203970167151374	0.126374646874551	0.0561362569566132	0.12247742841882	0.120137503795973
"131474"	-0.814027655270157	-0.877302014409777	-0.943940003447874	-0.89985304801823	-0.865603159823041	-0.7562524497981	-0.69245127431837	-1.17165850702613	-0.841691171559422	-0.872883382108579	-0.845166466691094	-0.893827538539807	-1.09414308727778	-0.925861421081205	-0.796689936715328	-0.81128378579763	-1.00274582819551	-0.655321822310235	-1.06502385637094	-1.01936106668001	-1.05847043754085	-0.846723649022388	-0.878266009765731	-0.966889167615848	-1.11093716297781
"1437"	-0.0812132817570536	-0.00464888074376175	-0.0695041533605118	-0.0618891852191736	0.0275024622190621	-0.147032076548066	-0.0836246698409749	-0.0152189102949825	0.164573322611663	0.00713708416382047	0.0812366716889275	0.0424598827201325	-0.0347814388095287	0.0413111730143628	-0.147027481861602	0.0609253427445693	-0.0211059347619803	-0.0428968267450537	-0.0324340621644481	0.0212613654956014	-0.119522678161087	-0.0775497331305741	0.0178238068182303	-0.0985589861303486	0.0051491751726598
"57696"	-1.07307630447496	-0.957346428883767	-1.13153699473031	-1.25480803608071	-1.05148842773637	-1.11232022227444	-1.10775150160081	-1.30878475594222	-1.15712729309276	-1.17049604511962	-1.19777976242509	-1.22134847649219	-1.24424731576059	-1.12723978372155	-1.1515387292888	-1.08086868149248	-1.22461824258991	-0.88911592880669	-1.13152366960907	-0.996450359037642	-1.14125036838349	-1.13145746351222	-1.18073253214311	-1.27009745408643	-1.25428629613839
"27042"	-0.601061420225055	-0.460301691710738	-0.41513684443819	-0.451942550155449	-0.396233179456398	-0.571416264059463	-0.833055410966883	-0.409013767798898	-0.548727457176364	-0.431226688541293	-0.453545172965596	-0.56986055249978	-0.490984293000273	-0.583882459552354	-0.501361653518554	-0.63652108229817	-0.570772621076912	-0.316691374079871	-0.455102907977636	-0.461207601565569	-0.54194048729746	-0.477136343401655	-0.455106095972078	-0.345956797780722	-0.570872409434003
"51514"	-1.21516815095666	-1.31393128957238	-1.14884436290421	-1.33241200402486	-1.05390035094209	-1.37945401322635	-1.20604241892893	-1.0706693159435	-1.00020548329743	-1.14189652306535	-1.39204843344481	-1.18577032478743	-1.31636510843961	-1.26641955564699	-1.24920832738259	-1.16405396066398	-1.23930776408993	-1.21775043365412	-1.30305123193228	-1.09963334355837	-1.16534953138439	-1.12440944121827	-1.24160687681219	-0.858725069030924	-1.41679422161361
"127943"	0.0216569536340978	-0.00383688027449193	-0.0526701873807873	-0.0287708397291318	0.00652487025278104	-0.223851319446364	0.0882276213977229	-0.0462646649311278	0.147275059264701	-0.00982863497378891	0.00858527949593359	-0.0288331970165876	-0.0245620155357824	-0.0404996212809293	0.0354508382403525	0.0445312091026562	-0.13777002103791	-0.105374667036518	-1.65382256882859E-4	0.00125509982490915	0.164104735142858	-0.0903846299550789	-0.0257818290996065	-0.218545823817003	-0.119714922499852
"2987"	-1.22606374846764	-0.971522644905724	-1.13423061393701	-1.20725147983614	-1.2878044396567	-1.23331945747254	-1.30944133531035	-1.3691181167752	-1.34777062100415	-1.20283277998053	-1.12793687322725	-1.24437047823349	-1.34613562627684	-1.09963928133532	-1.1874348901415	-1.17453412861474	-1.29925228874248	-1.29520927987254	-1.13980269403155	-0.724234830093524	-1.18406762797181	-1.06075053455515	-1.27580611313775	-1.05231416147135	-1.41328898108239
"9670"	-0.657546653346704	-0.728251384759975	-0.758366859383912	-0.766957844309749	-0.680638790383213	-0.893210040475386	-0.809368559921844	-0.591906272565752	-0.903144929012708	-0.6191586492895	-0.758984749363963	-0.681411581566472	-0.832294415342744	-0.655017405985943	-0.570105931097946	-0.832282731245457	-0.664965772738215	-0.793923273549533	-0.866665676234533	-0.602102864223759	-0.72737883512025	-0.576781651146478	-0.613984411402556	-0.675548763278686	-0.945049319241824
