	"ACH.000127"	"ACH.000168"	"ACH.000204"	"ACH.000206"	"ACH.000235"	"ACH.000258"	"ACH.000266"	"ACH.000294"	"ACH.000295"	"ACH.000312"	"ACH.000315"	"ACH.000334"	"ACH.000336"	"ACH.000339"	"ACH.000363"	"ACH.000366"	"ACH.000436"	"ACH.000471"	"ACH.000512"	"ACH.000557"	"ACH.000576"	"ACH.000653"	"ACH.000658"	"ACH.000676"	"ACH.000711"	"ACH.000714"	"ACH.000753"	"ACH.000763"	"ACH.000766"	"ACH.000781"	"ACH.000791"	"ACH.000817"	"ACH.000821"	"ACH.000838"	"ACH.000953"	"ACH.001111"	"ACH.001151"	"ACH.001450"
"92949"	0.00358599080247511	0.0482835615488816	-0.0058849491707325	-0.0741421059731849	0.00881047887167468	-0.204184125038969	-0.056007376511565	0.0927723074520878	-0.0320874962220749	-0.130078846404301	0.1226032020694	0.12019197392226	-0.135809592744645	-0.141510930929006	0.0072579072098178	-0.112220754209047	-0.119384619860468	0.0323480938493984	0.0276491895643742	-0.207606911290323	-0.128854412677582	0.0822858893490971	-0.234121334066659	-0.0752525789995397	-0.0576315935772066	-0.182682549838526	-0.0289215411932399	-0.148683429823117	-0.00552037615821931	-0.104598118191177	-0.0261819420525828	-0.176008601147685	-0.0554840697856311	-0.00605448554480826	-0.00213757367045362	0.048237284918243	-0.124477266347295	-0.0445342944005834
"50808"	0.049868435077704	-0.0822735612800321	-0.0350842155950518	0.137727503626689	0.0139924160376481	0.0083474472464188	0.0315867858210409	-0.0554582994485575	-0.0527809079929058	0.124910677655123	0.225284331710391	0.0393364771904961	0.00734742649314506	0.0742384308548707	-0.0614328041064189	-0.0816227564474139	0.119559004505045	0.0863368802577191	0.103876908208432	0.03062994731041	-0.0122219116425048	0.00586540647352034	-0.0824056832000448	0.0130439099562868	0.00820163009596123	-0.0626394671024729	0.0546792783061158	-0.0174485162314228	-0.0751309564395566	0.0736390751685003	0.0150428229564534	-0.00252329488106211	-0.0478016922328151	-0.0025057107687283	0.0855058264305819	0.200912723815731	0.0274635579177599	0.213704443160508
"503582"	-0.459600694828462	-0.50669614435379	-0.47826018867579	-0.632870771013895	-0.485806676665226	-0.51497926763052	-0.446776867200298	-0.384432733281372	-0.377280441510619	-0.441033098925272	-0.419570968834348	-0.626339015638107	-0.424162980267056	-0.545798006385321	-0.501656487211668	-0.56497513280048	-0.48266014655142	-0.506208825296921	-0.689453302801915	-0.409843364069642	-0.426903087061778	-0.613876696194958	-0.49091014343015	-0.46066833325162	-0.544567735999939	-0.760135790862895	-0.530050355566736	-0.605163169623771	-0.568257270369923	-0.476999664304772	-0.518080438427986	-0.52369877589485	-0.795048629851765	-0.544555646688589	-0.449606957139662	-0.387145919145726	-0.463083538944362	-0.501858496332384
"675"	-0.550174188648562	-0.426912199489543	-0.299946712953968	-0.801064112513778	-0.587190885676026	-0.760685863362506	-0.62181005188911	-0.539311867493446	-0.232614539335897	-0.38863690586119	-0.575294408687825	-0.632149973516906	-0.566946844158943	-0.635492821269797	-0.544133981473743	-0.595128793261451	-0.775983247648847	-0.670650510679708	-0.61611844614837	-0.356286054097172	-0.373220791291884	-0.749048515044161	-0.358881377172448	-0.53032968219149	-0.551047512879489	-0.757775508181486	-0.528114928459332	-0.841121759271227	-0.385537997674105	-0.509056265148169	-0.688840142384298	-0.63441252714309	-1.0349382037748	-0.603068595535517	-0.26975074606267	-0.258596204386158	-0.598193469214451	-0.691896370218163
"55664"	0.105984782436691	-0.103100113114004	-0.154103232120686	-0.293959057159945	-0.154716868331828	-0.115220064239054	-0.0880475450437999	0.037407585948777	-0.0793720052285627	-0.0938386477410479	0.179471150607148	-0.00143294749710986	-0.226252898592523	-0.124814812984496	-0.0301606734413036	-0.0827200006844966	-0.146586149482593	0.0990825864445537	-0.00165078208457838	-0.0670698285526327	-0.0387682250142448	-0.315121462128925	-0.0553052217296413	-0.0588966465421056	-0.00232472673693492	-0.129448958979754	-0.05613421178617	-0.324194211588664	-0.138817537997197	-0.107228304847702	0.0134265324256614	0.174090893207145	-0.295850757088968	-0.0206576575394031	-0.0107351656003593	-0.149745050873279	-0.11387941999643	0.0162129208116015
"81620"	-1.37469202544807	-1.22520504594273	-0.730296836160451	-1.50151658870589	-0.951209048601681	-1.17058641495494	-1.28414107051443	-0.97425344052271	-1.15318908259009	-1.10181938672673	-1.20269447794727	-1.07555497533552	-1.06500218458717	-1.06784785850354	-1.40044288619814	-0.941136870920946	-0.982314229771581	-1.08000502199071	-0.655277490126332	-1.33477588065289	-1.02501710898264	-1.21692586418012	-0.930236302984971	-0.962883131479441	-0.912409668375329	-1.11353470830318	-1.05115108316186	-1.73830638269652	-1.12851545275023	-1.16004846454779	-1.06899332300977	-1.09630484695391	-1.58083245349015	-1.09041166102133	-0.898883685508989	-1.19879595697341	-1.09426607474208	-1.0910814277018
"54875"	-0.024405381505724	0.0501272877175036	0.0441916666664567	0.132422344420031	-8.41183309304425E-4	-0.0542782141408115	-0.0494835618278033	0.00493993478339595	0.00919636615924981	-0.0458954840813999	0.139714587440224	0.0778709959571195	-0.188685962759168	-0.0197996675406969	-0.107949383666058	-0.0463981300757173	0.0401203628319896	0.0212266033526951	-0.0280679233057861	-0.0941998326316424	-0.0770323373555657	0.0760985310067454	0.0307302813983174	0.00182957787173206	0.0190459849904605	-0.00688443406325186	0.0349188533246159	0.0347007435830704	-0.124079433027297	-0.063204186659142	-0.0108157649524728	0.0104538070124853	-0.104052451668952	0.00159736753698609	0.0939702074365833	0.111109936347982	-0.142533321522797	0.16809584340967
"22818"	-0.954841870538752	-0.967042074224591	-0.82150443866494	-0.692208817971993	-0.821904790694463	-1.00386403687333	-1.01084093414844	-1.00534969245912	-0.932249596471196	-0.906924210071361	-0.906201217834904	-1.04981094797751	-0.799410085123828	-0.997558864390106	-0.932378570095168	-0.803416902003655	-0.981482661764122	-0.944826224157719	-0.88227612699567	-1.0892940196099	-0.781359248373573	-0.962840027040862	-0.871851993640596	-0.774232751160756	-0.89187974594045	-0.785862162832352	-0.866720587089898	-1.15794851418126	-0.929493466165894	-0.7824632137951	-0.831655900790594	-0.982255354213429	-1.28149689723181	-0.971357609808457	-0.582024369971106	-0.806125344475234	-0.965857745632434	-0.880274525633367
"23586"	-0.0915232912288966	-0.0698323569961274	-0.0670663829795204	0.117141780688561	0.00986457455417014	0.0461013907709878	-0.0536958986535808	0.0574282336345342	-0.0934106790418531	0.0325852061822955	0.210061937134413	0.0217603593457519	-0.0333787987621797	-0.0788495995025437	-0.183660810006431	-0.0182680579228086	-0.139417526255384	-0.0356993815056744	0.0571216403909604	-0.10546602254496	-0.130168860220674	-0.018201121311866	-0.114715193214177	-0.0669617177510357	-0.047644454883081	-0.0589155366093085	0.0593063354831426	-0.100123406008712	-0.0384825690954914	-0.0467976010498225	-0.0509372566554549	-0.0584756029362608	-0.0914984862534113	0.00100547193319753	-0.0614986674834613	0.11644420510877	-0.132415068567844	0.106582653008477
"10655"	0.375302844145851	0.225427993423198	0.305565418900209	0.328819039915575	0.342461217996736	0.341448621610861	0.393129302355297	0.396719197562531	0.267599957716476	0.287423162203577	0.102480942040462	0.38957931287518	0.314495226896468	0.319642348815206	0.20387738381598	0.383305686594257	0.342345295191939	0.409109015994346	0.149895194617235	0.348557048283218	0.318470151286154	0.332261460490726	0.4229469925965	0.310294665715117	0.371123647011536	0.374285243637811	0.401821400789562	0.392038326624147	0.279402930722229	0.388780032036186	0.416954233730056	0.340043576837577	0.405073723841384	0.442870195739751	0.368760522653172	0.158724713940491	0.26821818504763	0.125943495303816
