	"92.cdc15 160 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"516.2.5mM DTT 060 min"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1664.cdc15 170 min"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"5239.DES460 (wt) - mock irradiation - 30 min"	"5240.DES460 (wt) - mock irradiation - 60 min"	"5242.DES460 (wt) - mock irradiation - 90 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"13133.Ca/Ca+FK 30min (2)"	"14946.Hydrostatic pressure (C2 vs P2)"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YBL064C"	1.421	3.764	3.794	2.5	3.768	4.454	4.288	1.086	1.355	3.578	3.751	4.025	3.988	3.559	2.277	2.713	2.825	2.387	2.13	0.07	2.2695	1.392	1.145	0.656	0.474	0.694	1.83	4.937	0.807	-0.403	-1.0155	2.97	4.277	3.627	3.707	3.768	4.371	1.108	-1.561
"YBR183W"	1.692	2.642	2.332	1.841	2.479	2.801	2.592	-0.443	1.258	1.838	4.661	3.119	2.557	3.002	1.909	2.418	2.43	1.861	1.727	-0.2865	-0.009	0.669	0.566	-0.289	-0.445	-0.134	1.234	2.809	0.895	-1.255	0.161	2.512	4.031	3.236	3.09	3.705	4.716	1.461	-0.539
"YBR230C"	NaN	3.52	3.132	2.459	3.122	3.534	3.545	0.255	1.337	2.736	3.909	4.829	4.066	4.149	1.695	2.09	2.594	2.343	2.238	-0.057	0.648	NaN	-0.015	0.191	0.389	0.832	1.338	3.751	0.993	-0.568	-1.466	3.382	2.284	1.482	2.939	3.455	4.138	0.939	-0.883
"YCL059C"	-0.713	-3.484	-4.242	-2.109	-3.611	-4.218	-3.675	-0.924	-1.901	-2.587	-4.786	-2.115	-1.94	-1.722	-2.731	-2.27	-1.67	-1.283	-1.197	0.019	-0.579	-0.2165	-0.192	-0.199	-0.894	-0.948	-1.537	-4.664	0.393	0.708	-1.093	-2.026	-2.908	-2.614	-4.103	-3.887	-4.436	-1.937	0.882
"YDL027C"	0.767	1.737	1.39	0.81	1.115	1.355	1.363	0.614	1.038	1.321	2.472	2.161	2.369	1.371	0.474	1.338	1.569	0.976	0.801	0.009	0.671	0.218	-0.151	0.138	0.052	0.128	1.026	1.027	-0.38	-0.142	-0.508	1.349	2.429	1.787	1.549	1.296	2.575	0.708	-0.532
"YDR001C"	0.699	3.722	3.273	1.757	3.0	3.255	3.511	0.433	1.006	1.935	3.121	1.716	1.561	1.852	1.691	0.879	1.4	1.167	0.779	0.087	1.28	0.549	-0.003	0.371	0.002	-0.023	1.078	3.574	-0.376	-0.144	-0.548	2.468	3.999	3.377	3.286	2.067	3.563	0.773	-1.198
"YDR091C"	0.248	-2.613	-2.435	-0.948	-2.061	-2.869	-2.781	-0.217	-2.561	-1.892	-3.288	-2.045	-1.789	-1.68	-2.163	-2.925	-2.268	-2.03	-2.498	0.006	-0.787	-0.129	-0.691	0.182	0.412	-0.225	-1.077	-2.972	0.143	1.08	-0.335	-2.997	-2.978	-1.412	-3.163	-3.117	-2.953	-1.671	-0.021
"YDR165W"	-0.095	-3.154	-2.85	-1.053	-2.419	-2.874	-2.762	-0.218	-1.9	-2.006	-4.096	-2.538	-2.179	-2.247	-2.69	-3.015	-2.243	-1.636	-1.883	0.27	-0.459	-0.183	-0.01	-0.129	-0.743	-0.675	-1.145	-2.787	0.208	0.776	0.142	-2.796	-3.068	-1.809	-3.533	-2.479	-3.205	-1.431	0.561
"YDR272W"	0.546333333333333	1.398	1.726	1.245	1.169	1.5475	1.5175	0.0975	0.7025	1.201	2.977	2.0815	2.1805	1.707	0.836	1.303	1.3	0.972	0.893	0.009	0.271	0.35925	0.08	-0.297	-0.1465	-0.119	0.5055	1.611	-0.113	-0.027	0.203	1.366	1.6255	1.1975	1.1665	2.7975	2.887	0.729	-0.2495
"YDR287W"	0.2925	1.814	1.632	1.003	1.395	1.521	1.298	-0.193	0.437	0.928	1.181	1.262	1.273	0.975	1.309	1.229	1.469	1.062	0.825	-0.025	0.034	0.0	0.104	-0.064	-0.156	-0.169	0.222	1.722	0.098	0.023	0.167	1.376	1.629	1.388	1.568	2.101	2.471	0.572	0.323
"YDR361C"	-0.371	-2.862	-3.438	-1.896	-3.115	-3.356	-3.263	-0.56	-2.556	-2.149	-3.61	-2.016	-1.951	-1.707	-2.237	-2.072	-1.799	-1.299	-1.313	0.0655	-0.497	0.059	-0.054	-0.053	-0.344	-0.683	-1.541	-3.92	0.464	0.662	0.319	NaN	-2.614	-2.362	-3.229	-2.708	-3.998	-1.09	-0.365
"YDR398W"	-0.672	-5.035	-4.358	-1.272	-3.115	-4.082	-3.388	-1.322	-3.183	-2.576	-4.143	-2.42	-2.114	-1.993	-2.012	-3.069	-2.517	-1.62	-1.907	0.266	-0.908	-0.106	0.284	0.265	-0.978	-0.437	-1.234	-4.269	-0.063	0.48	-0.61	-3.627	-4.76	-2.67	-1.871	-1.745	-3.061	-2.566	0.239
