	"58.Elutriation2:Sample2:Time5.0hrs"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"514.2.5mM DTT 030 min"	"516.2.5mM DTT 060 min"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YBL049W"	-0.2575	-0.012	0.629	1.303	0.687	0.847	0.615	1.0	0.493	-0.745	-0.723	-0.921	-0.568	-0.687	0.846	0.4615	0.492	3.632	4.071	3.507	4.101	4.812	2.844	4.254	1.645	-0.487	1.128	2.326	2.309	3.401	3.138	3.3385	2.7155	2.9925	3.8385	4.9405	5.2455	4.1525	2.982	3.192	0.673	0.328	0.15	0.781	0.899	0.483	0.239	0.436	3.034	2.943	2.941	3.5405	3.074	3.249	1.081	0.096	0.13	0.379	0.288	0.159	0.253	0.445	1.042	0.252	1.127	-0.248	0.24	0.633	0.501	1.021	0.873	0.9305	0.745	-1.149	1.761	1.1725	1.3155	1.457	1.6375	1.86	1.7875	1.235	1.505	0.4705	0.7385	3.243	4.358	4.543	4.201	4.835	4.581	5.083	2.402	3.747	3.88	2.311	1.928	2.474	2.146
"YBL111C"	0.1285	-0.165	-0.46	0.248	-0.079	0.105	0.352	0.603	0.368	-0.215	-0.057	-0.179	0.17	0.086	0.242	0.054	-0.4395	1.153	1.353	0.958	1.333	1.363	1.729	0.976	0.954	-0.115	0.163	-0.266	0.856	0.647	1.094	0.9975	0.909	0.98	0.8965	1.8905	1.505	1.4865	-0.487	0.354	0.253	-0.098	0.415	0.1	0.121	0.307	-0.027	-0.093	0.699	0.6355	0.422	0.7025	0.6045	-0.045	0.069	-0.036	-0.53	-1.092	-0.689	-0.081	-0.756	-0.126	-0.155	-0.557	-0.102	-0.564	-0.182	-0.423	-0.303	-0.587	-0.453	-0.3855	0.441	-0.9955	0.415	0.4165	0.0485	-0.894	0.3635	0.487	0.903	0.1535	-0.3635	-0.453	0.4165	-1.091	-0.015	-0.291	0.258	-0.088	-0.258	-0.121	-0.071	0.22	0.096	-0.173	-0.046	0.099	-0.14
"YBL112C"	-0.1585	-0.022	0.095	0.218	0.12	0.504	0.456	0.54	0.183	-0.173	-0.187	-0.009	-0.119	-0.172	-0.14	-0.721	-0.939	0.612	1.113	0.859	0.773	1.485	1.253	0.919	1.524	0.24	0.409	0.764	1.464	0.737	1.415	0.1385	-0.0285	0.65	0.473	0.922	0.267	0.364	-0.508	0.492	-0.02	0.166	0.488	0.292	-0.096	0.025	-0.067	-0.246	0.761	-0.1605	0.2285	0.105	0.5855	-1.382	0.21	-0.12	-0.131	-0.606	-0.499	-0.397	-0.232	-0.376	-0.533	-0.79	-0.525	-0.228	-0.268	-0.654	-0.691	-0.6855	-0.8	-0.1765	-0.0115	-0.402	0.4945	0.433	-0.563	-1.517	0.4585	0.6835	0.6975	0.4635	-0.037	0.37	0.4665	-0.384	0.198	-0.026	1.054	0.43	0.631	0.513	0.715	0.771	-0.043	0.341	0.624	0.086	0.515
"YBL113C"	0.193	-0.013	-0.015	0.537	0.218	0.5	0.424	0.742	0.405	-0.0145	0.258	0.0	0.279	0.103	0.419	-0.0355	-0.609	1.56	1.53	1.636	1.682	1.636	2.044	1.614	0.29	0.557	0.276	-0.117	0.126	0.159	1.039	1.0905	0.9465	0.9705	0.9345	2.1505	1.732	1.7605	-0.544	-0.275	0.149	0.258	0.339	0.187	0.608	0.186	0.106	-0.12	0.854	0.805	0.5635	0.844	0.667	0.159	0.004	-0.098	-0.278	-0.373	-0.274	0.029	-0.394	-0.316	-0.412	-0.434	-0.283	-0.453	-0.339	-0.405	-0.424	-0.596	-0.8855	-0.3155	0.55	-0.027	0.358	0.6045	-0.1705	0.1305	0.2425	0.296	0.5885	0.6105	0.0815	0.6975	-0.249	-0.113	0.263	0.229	0.753	0.325	0.151	0.07	0.075	-1.314	0.094	0.098	0.436	0.329	0.298
"YBR068C"	-0.0695	0.922	0.439	1.048	0.886	0.946	0.308	0.866	1.024	-0.17	0.093	-0.402	-0.053	-0.362	0.17	0.534	0.3025	2.286	1.602	1.562	1.451	1.363	1.807	3.311	-0.442	-0.179	0.363	-0.909	0.145	-0.063	-0.008	1.641	0.872	0.706	0.629	2.5145	1.5815	1.063	1.057	0.605	1.403	0.45	1.404	1.441	1.776	0.606	1.01	1.277	1.02	-2.1395	-2.463	-1.334	-1.5275	-1.8675	0.246	-0.286	-0.851	-0.317	-0.223	-0.782	-0.605	0.6	0.077	0.357	0.355	-0.007	0.791	0.17	-0.422	0.387	-0.1945	1.39	2.598	-1.306	-1.123	-0.4365	-0.701	-1.0675	-1.082	-1.097	-1.0345	-1.169	-1.205	-1.1275	-1.4385	0.77	0.144	-0.148	0.54	0.379	0.219	0.948	-0.22	0.736	0.86	-0.744	-0.596	0.057	0.243
"YBR072W"	-1.8855	2.931	3.885	3.887	2.88	3.876	2.858	2.693	3.52	-3.739	-0.151	-0.599	-3.952	-4.327	1.905	0.684	0.6465	6.093	5.199	5.621	6.166	6.58	6.039	6.376	4.833	0.605	1.465	5.101	5.494	3.184	5.003	4.395	4.745	5.1185	5.612	5.8345	5.538	4.627	3.802	3.313	3.297	2.822	3.412	2.118	2.859	1.052	1.273	1.083	4.963	3.025	4.1315	3.815	3.5045	4.227	4.415	-0.963	-0.771	-0.759	-0.915	-0.879	-0.669	2.342	2.998	0.885	3.125	0.754	1.195	1.703	2.156	1.525	2.485	2.881	3.226	-1.0435	2.807	1.9565	2.36	2.6275	2.829	2.9835	2.693	3.0185	3.211	1.4525	2.5625	4.847	4.309	4.529	4.368	5.026	3.864	6.476	4.285	4.891	4.271	5.366	5.543	5.406	5.559
"YBR116C"	-1.781	0.11	3.412	5.014	4.694	4.622	2.439	4.069	3.738	-1.4165	-0.567	-0.429	-0.948	-1.86	1.578	2.2065	2.446	5.024	2.559	3.144	5.238	4.953	4.752	1.264	2.275	1.348	2.647	3.653	3.997	4.532	3.657	1.9485	2.735	3.6175	4.18	3.1755	2.713	0.5935	2.018	2.797	3.826	1.421	4.426	2.492	2.357	1.034	2.642	1.633	3.955	0.0715	2.4275	1.7405	0.9555	1.669	5.472	-0.509	-0.122	1.63	1.718	1.865	1.893	2.584	3.185	2.303	3.196	3.016	4.433	5.404	4.057	4.8175	4.0245	5.5625	5.8495	0.003	3.184	1.607	1.708	3.055	3.354	3.482	2.676	3.4745	4.3585	2.3035	3.0115	3.992	3.895	3.864	6.117	5.234	3.102	4.859	4.355	6.279	4.141	4.609	4.966	4.819	5.276
"YBR147W"	-0.2765	1.061	2.153	2.689	2.319	2.151	1.015	1.465	1.485	-1.515	-0.886	-0.671	-1.485	-1.561	1.079	1.2525	0.926	2.527	3.946	3.882	3.475	3.896	4.309	4.268	2.431	0.841	0.761	2.055	2.504	2.791	2.353	3.7075	2.881	3.7465	4.052	4.7615	4.3825	3.614	3.082	2.89	1.545	0.361	1.234	1.598	1.816	1.049	1.462	1.549	3.883	2.6205	2.871	3.1115	2.8695	3.421	2.181	-0.149	-0.233	0.3	0.723	0.524	0.106	-0.062	0.832	0.414	1.084	-0.7	0.194	NaN	1.599	1.3285	1.167	1.1975	0.42	-0.49	-1.444	-0.8375	-3.6205	-0.9205	-0.557	-1.731	-1.46	-0.648	-1.207	0.0785	0.0495	3.275	4.38	2.803	4.312	4.452	3.294	4.622	2.098	2.406	2.06	0.664	0.502	-0.178	0.317
"YBR207W"	-0.0715	-0.221	0.138	0.523	0.158	0.121	0.319	0.278	-0.02	-0.0445	-0.485	0.461	0.072	-0.049	0.666	0.1235	0.1225	1.078	1.804	1.179	0.796	1.437	1.164	1.777	1.03	-0.354	-0.115	0.906	0.651	0.854	1.044	1.664	1.1645	1.0315	1.2685	1.488	1.3975	1.2015	0.364	0.35	-0.334	0.263	-0.596	0.142	0.068	-0.302	-0.064	0.086	0.352	1.018	0.4045	0.6175	0.583	0.5695	-0.005	-0.454	-0.566	-0.048	-0.617	0.166	0.012	0.506	1.301	0.077	1.375	0.123	0.464	1.029	1.186	0.968	0.7385	0.739	0.999	-0.533	-0.805	-0.807	-0.526	-0.618	-0.63	-0.328	-0.285	-0.869	-1.386	0.818	-1.174	0.558	0.07	-0.062	0.732	0.537	0.332	0.918	0.665	0.097	0.513	-0.569	-0.337	0.223	-0.868
"YBR212W"	-0.1425	0.817	1.417	1.814	1.326	1.223	1.471	1.667	1.411	-0.56	-0.015	1.399	-0.676	-0.71	0.921	0.871	0.576	2.545	2.038	1.873	1.802	2.283	1.936	3.329	2.244	0.598	0.703	1.824	1.89	1.746	1.422	2.072	1.504	2.075	1.8265	4.222	4.5675	3.4615	0.336	1.683	1.343	0.654	1.428	1.711	1.544	0.838	1.4	1.605	2.252	0.509	0.8155	1.0515	0.792	0.953	1.093	-0.179	-0.253	0.123	-0.069	0.123	-0.282	1.347	1.291	1.272	1.359	0.377	1.371	1.395	0.513	1.7315	0.9805	1.336	1.817	-0.515	0.83	0.347	0.125	-0.137	0.406	0.014	0.025	0.037	-0.648	0.004	0.496	2.252	1.337	1.503	2.491	1.768	1.525	1.707	1.321	1.506	1.135	-0.135	-0.688	-0.885	-0.036
