	"861.YPD_5_d_30C"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"
"YBL036C"	-2.848	-0.026
"YBR014C"	-3.116	0.625
"YBR016W"	-1.006	0.585
"YBR038W"	-0.605	0.308
"YBR118W"	-5.272	2.192
"YBR121C"	-5.791	0.965
"YBR143C"	-4.642	0.679
"YBR206W"	-3.253	0.279
"YBR234C"	-3.956	3.342
"YBR249C"	-6.025	0.703
"YCL057W"	-3.12	1.002
"YCL066W"	-1.554	0.504
"YCLX05C"	-1.0815	0.586
"YCR002C"	-5.182	0.226
"YCR003W"	-2.705	0.576
"YCR013C"	-5.566	1.752
"YCR067C"	-2.0615	0.441
"YCRX12W"	-3.729	-0.376
"YDL127W"	-2.211	0.566
"YDL227C"	-3.3575	0.889
"YDR023W"	-5.745	1.091
"YDR103W"	-2.78	-0.019
"YDR116C"	-3.351	0.849
"YDR209C"	-5.369	0.335
"YDR320C"	-4.218	0.114
"YDR341C"	-5.262	0.661
"YDR376W"	-2.283	0.545
"YDR399W"	-4.784	1.394
"YDR510W"	-2.892	0.704
"YDR528W"	-2.873	-0.321
"YEL017W"	-3.749	0.786
"YEL042W"	-4.334	0.76
"YEL061C"	-1.6505	0.321
"YER009W"	-4.765	0.441
"YER016W"	-9.725	0.017
"YER027C"	-2.819	0.848
"YER031C"	-4.144	0.261
"YER052C"	-5.276	1.651
"YER086W"	-5.173	0.841
"YER118C"	-3.457	0.571
"YFL039C"	-3.733	1.336
"YFR002W"	-7.825	0.718
"YFR009W"	-4.932	0.052
"YFR044C"	-5.917	1.186
"YGL027C"	-4.731	0.539
"YGL060W"	-3.155	0.379
"YGL112C"	-3.043	0.167
"YGL115W"	-3.416	0.583
"YGL157W"	-6.107	0.792
"YGL216W"	-1.592	-0.133
"YGL241W"	-4.045	0.105
"YGR001C"	-3.271	0.151
"YGR020C"	-3.926	0.898
"YGR056W"	-2.933	0.016
"YGR062C"	-0.378	1.124
"YGR084C"	-3.069	0.499
"YGR092W"	-3.742	0.815
"YGR119C"	-3.791	0.4
"YGR120C"	-4.938	0.224
"YGR135W"	-4.32	0.47
"YGR185C"	-6.361	0.603
"YGR189C"	-4.894	0.484
"YGR195W"	-3.999	0.241
"YGR199W"	-2.439	0.374
"YGR229C"	-4.256	0.662
"YGR254W"	-5.012	1.736
"YHL006C"	-1.959	0.461
"YHR005C"	-4.17	0.31
"YHR019C"	-5.077	0.642
"YHR121W"	-4.718	0.352
"YHR122W"	-2.568	0.555
"YHR127W"	-2.837	0.045
"YHR190W"	-3.849	1.137
"YHR201C"	-4.155	0.02
"YIL009W"	-2.351	0.428
"YIL021W"	-3.289	0.323
"YIL078W"	-6.059	0.484
"YJL002C"	-4.487	0.707
"YJL008C"	-4.824	-0.014
"YJL097W"	-4.683	1.162
"YJL111W"	-6.57	0.698
"YJL124C"	-5.188	0.35
"YJL138C"	-5.625	0.94
"YJL167W"	-7.538	0.946
"YJL169W"	-3.972	0.615
"YJL176C"	-3.318	0.561
"YJL183W"	-4.986	0.524
"YJR006W"	-3.835	0.526
"YJR007W"	-8.057	0.551
"YJR087W"	-3.553	0.691
"YJR132W"	-3.493	0.663
"YKL008C"	-3.176	0.61
"YKL056C"	-5.119	0.379
"YKL073W"	-3.282	1.138
"YKL092C"	-2.057	0.479
"YKL135C"	-3.285	0.51
"YKL145W"	-3.898	0.409
"YKL152C"	-4.943	0.752
"YKL210W"	-4.432	0.767
"YKR013W"	-2.894	0.23
"YKR070W"	-3.904	0.528
"YLL030C"	-0.804	0.74
"YLR064W"	-3.247	0.551
"YLR210W"	-4.137	0.843
"YLR223C"	-2.17	0.505
"YLR268W"	-3.316	0.733
"YLR291C"	-4.762	0.677
"YLR292C"	-3.717	0.581
"YLR321C"	-3.485	0.182
"YLR353W"	-4.835	0.049
"YML028W"	-5.853	1.006
"YML064C"	-3.73	-0.018
"YML074C"	-5.319	0.512
"YML075C"	-0.982	0.643
"YMR047C"	-3.61	0.331
"YMR091C"	-4.005	0.448
"YMR099C"	-5.036	0.525
"YMR163C"	-2.462	-0.008
"YMR202W"	-5.431	1.573
"YMR220W"	-3.12	0.239
"YMR235C"	-5.187	0.401
"YNL026W"	-4.57	0.108
"YNL079C"	-4.703	0.539
"YNL135C"	-3.543	0.839
"YNL167C"	-3.18	0.395
"YNL222W"	-0.9705	0.27
"YNL229C"	-4.931	0.327
"YNL280C"	-3.802	1.068
"YNL314W"	-1.545	-0.385
"YNL316C"	-3.472	0.222
"YOL062C"	-4.46	0.173
"YOL095C"	-2.059	0.809
"YOL139C"	-5.5	-0.067
"YOR157C"	-4.5095	-0.032
"YOR202W"	-3.4735	-0.164
"YOR209C"	-6.004	0.435
"YOR239W"	-5.0985	0.428
"YOR241W"	-6.523	0.297
"YOR249C"	-2.421	0.244
"YOR280C"	-4.249	-0.302
"YOR286W"	-3.0285	0.153
"YOR295W"	-2.262	-0.778
"YOR320C"	-3.6785	0.529
"YPL001W"	-4.084	-0.087
"YPL011C"	-2.1735	-0.189
"YPL028W"	-5.5385	1.073
"YPL037C"	-5.417	0.53
"YPL053C"	-4.4065	-0.15
"YPL081W"	-6.801	0.025
"YPL118W"	-3.472	0.339
"YPL237W"	-5.7585	-0.062
"YPL238C"	-4.788	0.547
"YPL256C"	-3.624	0.431
"YPR018W"	-2.8605	0.305
"YPR029C"	-4.2395	0.574
"YPR033C"	-7.94	0.401
"YPR089W"	-3.974	-0.751
"YPR090W"	-3.97	0.56
"YPR173C"	-3.6935	0.071
"YPR188C"	-3.36	0.175
