	"814.DBYmsn2-4- 37degree heat - 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"8227.dtt 000 min"	"8228.dtt 015 min"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13133.Ca/Ca+FK 30min (2)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34360.batch 02X25 4"
"YBL039C"	-2.1165	0.171	-3.74	-3.092	-4.323	-7.004	-1.782	0.434	-2.736	-2.628	-2.386	-2.176	-4.7305	-0.368	0.192	0.527	1.237	1.247	1.019	0.737	0.786	-1.635	-2.769	-2.12	-3.951	-3.379	-2.546	0.476	0.357	-1.908
"YBL072C"	-2.02	0.716	-3.835	-3.367	-3.192	-6.241	-1.659	0.424	-3.06	-3.401	-3.188	-3.091	-4.1825	-0.5055	0.181	0.422	1.154	1.008	0.729	0.846	0.809	-3.331	-2.84	-1.71	-1.857	-2.598	-2.041	0.973	0.987	-1.539
"YBL077W"	-1.0285	0.067	-3.41	-2.161	-3.136	-5.081	-1.351	0.223	-2.763	-2.285	-2.607	-2.667	-2.792	0.0115	-0.031	-0.014	0.663	0.717	0.376	0.524	0.423	-2.847	-2.93	-1.236	-2.854	-2.752	-2.048	-0.027	-0.341	-1.204
"YBL092W"	-1.3695	0.379	-3.458	-3.598	-2.896	-5.158	-1.759	0.468	-3.0	-2.812	-2.665	-2.635	-3.5865	-0.65	0.487	0.081	0.866	1.055	0.33	0.504	0.306	-2.124	-2.013	-1.866	-2.599	-2.171	-2.311	0.636	0.886	-1.066
"YBR247C"	-1.2645	0.294	-3.42	-2.12	-2.212	-3.969	-2.164	0.315	-3.12	-1.618	-1.623	-1.939	-3.3455	0.2965	0.062	-0.16	0.944	1.05	1.403	0.634	0.418	-2.285	-2.153	-1.74	-1.576	-2.15	-1.289	0.426	-0.25	-1.741
"YDL061C"	-1.189	0.401	-3.45	-2.443	-3.265	-4.279	-1.571	0.371	-2.985	-2.81	-1.687	-3.127	-3.44	0.108	0.275	0.264	1.085	0.904	0.552	0.882	0.745	-2.373	-2.153	-1.162	-2.791	-2.682	-1.35	0.421	0.319	-1.307
"YDR025W"	-1.745	0.334	-3.904	-3.548	-3.393	-6.697	-1.997	0.399	-3.357	-3.356	-3.471	-3.326	-4.504	-0.926	0.198	0.084	0.906	0.637	0.7205	0.7575	0.835	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	0.592	0.458	-1.818
"YDR064W"	-1.773	0.48	-3.874	-3.241	-3.761	-5.03	-1.745	0.225	-3.208	-3.138	-2.511	-2.495	-3.65	-0.279	0.005	-0.038	1.003	0.794	0.6125	0.826	0.914	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	0.015	0.092	-2.475
"YDR165W"	-0.982	0.245	-4.096	-2.538	-3.111	-5.309	-1.82	0.322	-3.015	-2.243	-1.636	-1.883	-3.057	0.203	0.386	0.356	1.027	1.379	0.205	0.442	0.208	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	0.067	0.0	-1.941
"YDR244W"	0.211	-0.177	1.28	1.385	1.9295	-0.6355	1.1185	0.3335	0.3945	0.4555	0.2805	0.9385	1.1105	0.2795	NaN	NaN	-0.2295	-0.42	-0.163	-0.255333333333333	-0.346666666666667	1.0215	0.829	0.231	0.94	0.699	0.7375	-0.0205	0.0995	0.698
