	"514.2.5mM DTT 030 min"	"584.17 deg growth"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6344.DES460 + 0.02% MMS - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"8210.steady state 33 dec C"	"8235.dtt 480 min"	"11466.yO1 test hyb"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"30773.Pomona/Brown Sir3x red"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"
"YAL036C"	-0.221	-1.02	-1.024	-1.113	-1.409	-2.145	-3.743	-2.056	-1.616	-1.117	-1.9095	-1.486	-1.4315	-1.841	-2.0465	-0.0645	-0.211	-0.285	0.039	-0.013	0.153	-1.194	-0.002	0.116	-0.08
"YAR002W"	-0.447	-0.86	-0.672	-1.058	-0.771	-1.515	-2.289	-0.658	-0.884	-1.164	-1.1825	-1.2165	-1.493	-1.9265	-1.5805	-0.0685	-0.128	0.058	0.191	0.094	-0.383	-0.798	0.171	0.119	-0.241
"YBL077W"	0.097	-0.964	-1.571	-2.021	-1.176	-3.136	-5.081	-2.285	-2.607	-2.667	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.0635	-0.076	-0.095	0.357	0.043	-0.077	-1.547	-0.4145	0.115	0.057
"YBR048W"	0.161	-0.6165	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-3.137	-3.295	-3.375	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.190666666666667	0.3725	0.278	0.299	0.0945	0.1435	-2.013	-1.5525	-0.118	0.298
"YBR073W"	-0.773	-0.927	-0.804	-0.847	-0.579	-2.163	-2.523	-0.818	-0.836	-1.469	-0.6035	-0.6915	-1.6215	-2.5665	-2.3205	0.1015	-0.776	0.109	0.311	0.546	-0.193	-0.895	-0.157	-0.055	-0.563
"YBR087W"	-0.076	-0.174	-0.796	-0.711	-0.775	-3.228	-2.99	-0.684	-0.249	0.762	-0.514	-0.734	-1.4185	-1.95	-1.263	0.189	-0.056	-0.019	0.358	0.259	0.12	-0.287	-0.305	0.139	0.121
"YBR106W"	0.762	-0.204	-1.83	-2.108	-1.986	-3.354	-5.052	-2.173	-2.595	-2.731	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.066	0.313	0.166	0.38	0.091	0.282	-1.924	-0.2355	0.118	0.451
"YBR121C"	0.064	-0.774	-1.543	-2.186	-2.714	-4.037	-5.791	-1.95	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.1215	-0.152	0.03	0.346	0.053	-0.069	-2.249	-0.9585	0.12	0.278
"YBR142W"	-0.169	NaN	-1.515	-1.8	-0.992	-2.133	-4.241	-1.12	-0.958	-1.016	-2.0035	-2.148	-2.2985	-2.5785	-2.8165	0.0815	-0.803	-0.202	0.56	0.048	-0.16	-0.86	-0.0855	-0.143	0.275
"YBR143C"	-0.077	-0.301	-2.197	-1.932	-2.537	-3.195	-4.642	-2.231	-2.012	-2.112	-2.126	-2.659	-2.698	-2.699	-3.572	0.029	-0.17	0.012	0.385	-0.106	-0.04	-1.699	-0.6585	0.105	0.146
"YBR191W"	0.186	-0.065	-2.249	-1.912	-2.071	-3.167	-5.241	-3.411	-2.563	-2.467	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.1555	0.538	0.359	0.467	0.222	-0.031	-1.3105	-0.9185	-0.1725	0.254
"YBR246W"	-0.415	-0.441	-1.195	-0.766	-0.796	-2.137	-3.138	-1.284	-1.077	-1.419	-0.9095	-0.74	-1.3615	-1.8565	-1.287	-0.1025	-0.139	-0.152	-0.039	-0.183	0.124	-0.088	-0.01	0.083	-0.172
