	"812.1M sorbitol - 45 min (* centrifugation problem)"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"
"YDL164C"	-0.149	-2.07	-2.932	-0.441	-0.983	-1.128	-0.654	-1.221	-0.848	-0.591	-1.104	-1.04	-1.585	0.208	-0.115	0.073	0.075	0.203	-0.003	-1.523	-0.823	-0.634	-0.52	0.029	0.326
"YDR023W"	-0.041	-2.907	-5.745	-1.036	-1.288	-1.116	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	-0.019	0.024	0.054	0.175	0.128	-0.031	-1.396	-1.983	-2.106	-1.812	-0.357	-0.47
"YDR037W"	-0.072	-4.551	-5.224	-0.977	-3.226	-2.505	-2.756	-2.42	-2.681	-2.313	-2.916	-3.368	-3.772	-0.13	0.385	0.112	0.213	-0.141	-0.318	-1.695	-1.749	-1.681	-1.888	-0.541	-0.304
"YDR158W"	-0.398	-3.546	-5.115	0.799	-1.263	-1.689	-1.965	-1.881	-0.996	-1.763	-3.109	-3.802	-4.509	0.129	0.207	0.626	0.569	0.213	0.215	-2.13	-1.682	-1.935	-1.614	1.087	0.878
"YDR233C"	0.399	-2.587	-3.48	-0.518	-0.956	-1.246	-1.566	-1.509	-0.467	-0.606	-2.047	-2.27	-2.451	0.064	0.175	-0.204	-0.201	0.035	0.055	-1.38	-1.061	-1.24	-0.746	-0.719	-0.521
"YDR256C"	-0.114	7.008	4.029	-0.015	2.584	1.657	2.52	2.094	2.336	2.135	4.776	6.245	5.494	0.177	-0.344	-0.148	-0.234	-0.192	-0.079	1.445	0.861	0.383	1.499	-0.59	-0.116
"YDR341C"	-0.222	-3.212	-5.262	-1.223	-2.587	-2.171	-2.134	-2.218	-1.942	-2.263	-3.262	-3.294	-3.559	0.1	0.023	0.005	0.144	0.024	0.144	-1.663	-1.444	-1.45	-1.573	-0.551	-0.582
"YER009W"	-0.211	-2.671	-4.765	-0.796	-1.145	-1.222	-2.143	-1.906	-1.407	-1.465	-2.034	-2.393	-2.025	-0.029	0.325	-0.17	-0.2	-0.065	0.027	-1.282	-1.276	-1.476	-0.662	-0.59	-0.705
"YER043C"	-0.337	-4.78	-6.476	-1.214	-2.364	-1.977	-3.096	-3.18	-3.174	-3.716	-3.31	-4.857	-4.918	-0.103	0.078	-0.709	-0.87	-0.786	-0.875	-2.015	-2.503	-2.487	-2.96	-0.649	-0.837
"YER056C"	-0.205	-2.346	-3.168	-0.153	-1.347	-0.932	-0.62	-0.802	-0.962	-1.162	-1.712	-1.735	-2.211	0.108	0.031	-0.051	-0.068	0.17	0.015	1.236	1.147	0.873	0.505	0.826	0.05
