	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1018.YPD 13 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"
"YBL040C"	-0.556	-1.585	-3.288	-1.5345	-2.3045	0.787
"YBR011C"	1.264	-4.081	-5.344	-2.3835	-3.4585	0.569
"YBR086C"	0.7	-1.0055	-3.741	-0.864	-1.613	0.774
"YBR118W"	0.675	-2.846	-5.272	-1.7525	-3.221	2.192
"YBR129C"	-0.005	-0.824	-2.509	-0.093	-1.103	0.269
"YBR143C"	0.781	-3.195	-4.642	-2.698	-3.572	0.679
"YBR206W"	0.76	-2.307	-3.253	-1.0975	-1.6555	0.279
"YBR246W"	0.989	-2.137	-3.138	-1.3615	-1.287	0.045
"YCL045C"	0.967	-3.044	-3.911	-2.25533333333333	-2.69566666666667	0.881
"YCR003W"	0.244	-1.833	-2.705	-1.028	-1.3805	0.576
"YCR034W"	1.683	-3.204	-4.331	-3.0135	-3.3025	1.218
"YCR055C"	0.855	-3.878	-6.433	-2.2405	-2.4225	-0.077
"YCR057C"	1.06	-3.423	-5.109	-1.962	-2.1505	NaN
"YDL135C"	1.283	-1.586	-4.374	-1.246	-1.559	0.444
"YDL185W"	0.816	-2.522	-4.417	-1.557	-3.0	0.585
"YDL195W"	-0.173	-2.022	-4.61	-2.271	-2.391	0.447
"YDR098C"	-0.349	-1.722	-3.797	-1.355	-2.226	0.696
"YDR158W"	1.798	-3.546	-5.115	-3.109	-4.509	0.939
"YDR211W"	0.3	-1.706	-4.77	-2.119	-3.034	0.527
"YDR312W"	0.36	-2.612	-3.564	-2.214	-2.68	0.666
"YDR331W"	0.206	-1.384	-2.808	-0.59	-0.854	0.371
"YDR385W"	1.278	-3.158	-5.463	-1.848	-3.65	1.172
"YDR427W"	0.38	-1.953	-4.214	-1.642	-2.388	0.828
"YDR454C"	0.672	-2.876	-4.275	-1.835	-2.28	1.813
"YER0561C"	2.023	-2.974	-4.828	-2.398	-3.617	0.553
"YER057C"	0.314	-0.86	-4.084	-0.301	-1.275	1.038
"YFL004W"	0.475	-1.866	-3.639	-1.927	-2.284	1.572
"YFL045C"	0.546	-2.163	-4.897	-1.923	-2.378	1.02
"YFL048C"	0.292	-1.131	-2.659	-0.342	-0.87	0.554
"YFR013W"	1.214	-1.774	-3.723	-1.523	-1.759	0.424
"YFR028C"	1.035	-2.027	-4.271	-1.092	-1.575	0.513
"YGL001C"	0.674	-2.878	-4.137	-1.719	-2.176	0.813
"YGL021W"	1.267	-2.714	-5.572	-2.192	-2.246	0.345
"YGL027C"	0.755	-2.354	-4.731	-2.105	-3.083	0.539
"YGL065C"	-0.077	-1.909	-2.778	-1.365	-2.045	0.476
"YGL115W"	0.603	-1.41	-3.416	-1.21	-1.566	0.583
"YGL231C"	-0.28	-1.893	-3.788	-1.455	-1.822	0.513
"YGL232W"	0.209	-2.079	-2.628	-1.825	-2.353	0.691
"YGR037C"	-0.383	-3.63	-4.976	-1.964	-2.416	0.29
"YGR135W"	0.123	-1.553	-4.32	-1.689	-1.935	0.47
"YGR229C"	0.092	-2.847	-4.256	-2.401	-3.391	0.662
"YGR266W"	-0.054	-1.917	-4.267	-1.709	-1.537	-0.299
"YHL034C"	-0.475	-1.801	-3.26	-1.2	-1.822	0.715
"YHR043C"	-0.792	-1.983	-3.778	-1.59	-1.696	0.895
"YHR068W"	1.075	-4.28	-6.532	-2.724	-3.425	0.518
"YHR098C"	0.071	-2.065	-3.065	-1.917	-2.553	0.751
"YHR118C"	0.008	-1.129	-2.376	-0.662	-1.036	0.252
"YHR121W"	0.392	-1.976	-4.718	-1.573	-1.852	0.352
"YIL016W"	0.356	-3.214	-4.374	-1.401	-1.503	0.108
"YIL094C"	1.839	-1.869	-5.071	-1.45	-1.766	1.068
"YIL095W"	0.543	-1.215	-2.7495	-0.978	-1.229	0.469
"YIL128W"	0.267	-2.602	-4.056	-1.552	-1.64	-0.057
"YIL131C"	1.558	-2.028	-4.479	-1.725	-1.95	-0.152
"YIL138C"	-0.075	-2.433	-3.747	-1.524	-1.906	0.617
"YIL142W"	0.638	-1.422	-4.403	-0.687	-1.276	0.374
"YJL081C"	0.388	-1.725	-4.519	-1.259	-1.52	0.135
"YJL097W"	0.761	-2.596	-4.683	-1.461	-2.276	1.162
"YJL145W"	0.434	-2.136	-3.628	-2.303	-2.853	0.619
"YJL167W"	0.273	-2.323	-7.538	-2.066	-2.924	0.946
"YJL176C"	1.025	-1.496	-3.318	-1.533	-1.645	0.561
"YJR006W"	0.416	-1.626	-3.835	-1.436	-1.692	0.526
"YJR007W"	0.955	-3.21	-8.057	-2.909	-3.616	0.551
"YJR043C"	0.503	-2.002	-2.641	-1.699	-2.339	0.351
"YJR051W"	0.226	-1.012	-3.003	0.075	-0.922	0.389
"YJR087W"	0.103	-2.136	-3.553	-1.125	-1.145	0.691
"YKL017C"	-0.102	-1.639	-3.434	-1.11	-1.073	0.822
"YKL126W"	0.934	-1.529	-2.583	-0.921	-1.517	0.631
"YKL212W"	0.721	-3.014	-4.806	-2.516	-3.374	0.728
"YKR023W"	-0.07	-1.089	-2.31	-0.546	-1.348	0.779
"YLR066W"	0.102	-1.805	-4.153	-1.092	-2.746	0.46
"YLR100W"	0.321	-2.507	-4.853	-1.855	-2.128	0.736
"YLR101C"	-0.231	-2.239	-3.161	-1.911	-2.518	0.75
"YLR277C"	0.858	-1.526	-3.303	-1.054	-1.345	-0.235
"YLR291C"	0.754	-3.037	-4.762	-1.783	-2.363	0.677
"YLR293C"	1.003	-3.488	-6.281	-2.379	-3.186	0.76
"YLR313C"	0.742	-1.199	-2.959	-0.49	-1.226	0.492
"YLR321C"	0.59	-1.495	-3.485	-1.296	-1.552	0.182
"YLR354C"	0.492	-2.178	-4.965	-2.325	-3.661	0.997
"YLR359W"	-0.175	-2.567	-5.36	-1.039	-1.828	0.777
"YLR367W"	2.175	-2.78	-6.716	-2.165	-3.007	0.804
"YLR386W"	0.412	-1.399	-3.703	-0.538	-1.312	0.38
"YLR409C"	1.471	-3.204	-4.211	-2.713	-3.47	0.648
"YML012W"	-0.112	-1.75	-3.467	-0.548	-0.811	0.616
"YML019W"	0.341	-1.914	-3.311	-1.333	-1.638	0.598
"YML021W"	0.602	-1.877	-3.917	-1.095	-1.511	0.584
"YML105C"	0.015	-3.491	-5.249	-1.556	-1.698	0.197
"YMR099C"	0.034	-1.645	-5.036	-0.713	-1.892	0.525
"YMR203W"	1.547	-1.421	-4.985	-0.486	-1.861	0.777
"YMR208W"	0.715	-2.542	-3.618	-1.98	-2.354	0.757
"YMR212C"	1.01	-2.04	-6.75	-2.693	-2.761	0.647
"YNL016W"	0.6875	-1.2125	-3.2085	-1.256	-1.9635	0.932
"YNL026W"	0.165	-1.792	-4.57	-1.742	-1.966	0.108
"YNL041C"	-0.275	-2.304	-3.473	-2.075	-2.875	0.598
"YNL085W"	0.569	-2.342	-5.369	-2.001	-3.291	0.571
"YNL096C"	2.487	-4.038	-6.106	-3.644	-4.68	0.51
"YNL118C"	0.616	-1.807	-5.007	-2.012	-2.675	0.466
"YNL130C"	1.065	-1.94	-2.872	-0.934	-1.614	0.768
"YNL181W"	0.201	-1.86	-3.847	-1.588	-1.612	0.462
"YNL189W"	0.697	-2.367	-4.06	-2.058	-3.084	0.634
"YNL316C"	0.885	-1.309	-3.472	-1.127	-1.41	0.222
"YNR022C"	-0.107	-1.3735	-3.1775	-0.885	-1.215	0.221
"YNR043W"	0.697	-2.934	-5.1565	-2.655	-3.856	0.422
"YOR164C"	0.488	-2.555	-4.0095	-1.603	-2.107	0.32
"YOR197W"	0.708	-1.971	-3.178	-1.165	-1.64	0.388
"YOR241W"	0.607	-2.668	-6.523	-1.779	-2.058	0.297
"YPL001W"	-0.176	-1.671	-4.084	-1.427	-1.844	-0.087
"YPL079W"	2.125	-3.892	-6.4765	-3.015	-4.547	-0.088
"YPL195W"	0.1095	-1.607	-4.488	-1.595	-1.904	-0.146
"YPR048W"	0.432	-2.8705	-3.8405	-1.405	-1.555	0.159
"YPR074C"	1.867	-5.337	-5.42	-3.369	-3.663	0.988
"YPR102C"	2.3265	-4.045	-6.451	-3.352	-4.692	0.019
"YPR173C"	-0.0135	-1.224	-3.6935	-0.973	-1.431	0.071
