	"404.W303a vs GZY29-3b"	"407.heat shock 33 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"976.wt_plus_gamma_5_min"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1253.mec1_plus_gamma_45_min"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6685.trr - 0.3 mM H2O2 - 10 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YBL068W"	-0.247	-0.416	-0.618	-1.242	-2.464	-1.272	-1.354	-1.322	-2.087	-3.069	-2.71	-1.955	-1.468	-1.336	-1.506	-1.303	-0.756	-1.537	-1.0465	-1.472	-1.9665	-1.375	-2.429	-2.56	-0.0975	-0.644	-0.63	-0.525	-0.568	-0.933	-1.092	-2.071	-1.4885	-1.245	-1.3185	-0.984	-0.291	-0.7755	-0.1035	0.2045	-1.446	-0.706	-0.999
"YBL077W"	-0.141	-0.375	-0.586	-0.856	-3.41	-2.161	-1.571	-2.021	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.667	-0.209	0.289	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.0375	-1.087	-0.162	-0.223	-1.147	-0.751	-1.547	-2.306	-2.488	-2.2065	-2.3345	-2.1125	-0.8685	-0.0985	-0.6715	-0.4315	-2.847	-1.123	-1.275
"YBR048W"	0.064	-0.7545	-0.82	-1.564	-3.385	-2.4795	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-3.0685	-3.137	-3.295	-3.375	-0.525666666666667	0.102	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.092	-2.145	-0.189	-0.254	-1.792	-1.91	-2.013	-3.33333333333333	-2.61066666666667	-1.818	-2.09966666666667	-1.63966666666667	-1.335	-1.02825	-0.45725	-0.9625	-4.043	-1.159	-1.581
"YBR121C"	-0.355	-1.029	-0.852	-1.376	-2.66	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-0.9	0.024	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.5445	-1.406	-0.332	-0.234	-1.272	-1.2	-2.249	-2.1	-2.5385	-2.551	-2.637	-2.6705	-1.0775	-1.0075	-0.625	-0.753	-2.549	-1.562	-1.532
"YBR143C"	-0.524	-0.345	-0.912	-1.143	-2.729	-2.378	-2.197	-1.932	-2.537	-3.195	-4.642	-2.033	-2.231	-2.012	-2.112	-0.745	-0.31	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.2595	-1.337	-0.514	-0.261	-0.972	-1.577	-1.699	-1.875	-1.91	-1.8905	-1.8585	-1.737	-0.7505	-1.085	-0.8415	-1.1885	-2.722	-1.074	-1.342
"YCR053W"	-0.011	-0.348	-0.182	-0.434	-2.562	-1.828	-1.952	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-0.083	0.021	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.434	-1.321	0.19	0.2	-0.557	-0.726	-1.451	-1.5425	-1.6735	-1.907	-1.727	-1.764	-0.617	-0.639	0.766	-0.014	-2.722	-1.2405	-1.745
"YDL082W"	-0.069	-0.546	-0.715	-1.256	-3.223	-2.484	-1.739	-1.446	-1.723	-3.326	-5.816	-2.537	-3.01	-1.18	-2.105	-0.96	-0.026	-2.915	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	0.218	-1.657	-0.225	-0.155	-1.965	-1.466	-1.852	-2.982	-2.121	-0.983	-1.38	-1.088	-1.337	-1.251	-0.2415	-1.0445	-4.398	-0.825	-0.8
"YDR023W"	-0.37	-0.94	-0.635	-0.61	-1.814	-2.122	-1.347	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	-0.556	-0.343	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	-0.098	-1.135	-0.114	0.248	-1.24	-1.082	-2.091	-1.635	-1.396	-1.983	-2.106	-1.812	-0.848	-1.152	-0.55	-1.215	-2.302	-0.925	-1.865
"YEL042W"	-0.195	-0.739	-1.195	-1.559	-1.578	-0.84	-0.736	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.924	-0.468	0.434	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	-0.452	-0.967	-0.12	-0.374	-1.072	-0.862	-1.2195	-1.211	-1.754	-1.366	-1.753	-1.736	-0.705	-0.94	-0.6335	0.658	-1.793	-1.121	-1.3
"YER043C"	-0.697	-0.41	-0.866	-1.274	-3.945	-1.445	-2.553	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.18	-0.945	-0.29	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-0.049	-1.204	-0.419	-0.535	-1.272	-1.158	-1.415	-2.241	-2.015	-2.503	-2.487	-2.96	-0.918	-1.444	-0.719	-0.746	-3.094	-1.329	-2.914
