	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"797.Heat Shock 000 minutes (series 3)"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"964.1 mM Menadione (160 min) redo"	"978.wt_plus_gamma_20_min"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"7536.25C -- 30 min"	"8197.steady state 25 dec C"	"8204.steady state 29 dec C"	"8520.DES460 + 0.02% MMS - 120 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"18416.2mM MD 120min"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YBL027W"	-2.395	-1.979	-1.98	-0.675	-1.956	-2.978	-3.487	1.424	-2.0365	-2.851	-2.474	-2.081	-1.613	-2.671	-5.577	-2.494	-2.654	-0.738	-0.62	-3.9845	-0.0485	-0.007	0.3635	0.074	0.0265	1.029	0.658	0.678	-0.637	0.1225	-3.078	0.262	-0.1555	-1.01066666666667	-0.0365	-2.107	-3.528	-3.012	-3.351	-3.139
"YBL039C"	-4.793	-4.124	-2.316	-1.083	-4.307	-4.486	-3.781	1.128	-3.047	-3.74	-3.092	-3.457	-2.373	-4.323	-7.004	-2.736	-2.628	-0.624	-1.1025	-4.7305	0.173	-0.0805	-0.105	-0.72	0.1075	1.896	0.659	0.568	-1.3285	-0.2685	-4.956	0.889	0.243	-2.022	0.134	-4.509	-1.635	-2.769	-3.951	-3.379
"YBL072C"	-1.8	-2.148	-1.686	-0.785	-1.74	-2.905	-3.46	1.296	-2.843	-3.835	-3.367	-3.036	-2.694	-3.192	-6.241	-3.06	-3.401	-0.37	-0.794	-4.1825	0.2455	0.611	0.2515	0.31	0.095	1.029	0.505	0.57	-0.1455	0.2455	-2.881	0.566	0.223	-1.6445	0.135	-1.92	-3.331	-2.84	-1.857	-2.598
"YBR048W"	-1.3425	-1.976	-1.7005	-1.111	-1.916	-2.541	-3.002	0.2985	-2.469	-3.385	-2.4795	-2.968	-2.171	-3.0195	-5.0065	-3.0685	-3.137	-0.2545	-0.827333333333333	-4.66033333333333	-0.0496666666666667	0.190666666666667	0.224666666666667	0.278	-0.0666666666666667	1.0115	0.53	0.4805	-0.477666666666667	-0.01	-2.7435	0.4465	-0.463666666666667	-2.01825	-0.118	-2.372	-4.043	-3.545	-4.089	-3.69
"YBR168W"	0.901	0.508	0.246	0.224	0.515	0.656	0.608	-0.018	0.684	1.315	0.826	1.201	0.742	-0.202	-2.452	0.607	0.601	NaN	-0.021	1.1225	0.046	-0.012	0.2345	-0.115	0.13	-0.481	-0.058	-0.22	-0.191	0.0985	0.403	0.06	0.037	-0.341	0.208	0.877	1.52	0.771	1.616	0.91
"YDL014W"	-3.382	-2.366	-1.899	-1.03	-2.465	-4.46	-4.776	1.058	-1.8255	-3.37	-2.435	-2.318	-1.989	-3.061	-2.641	-1.412	-0.789	2.807	-1.344	-2.2875	0.414	-0.232	-0.289	-0.252	-0.492	1.639	0.188	-0.06	-0.758	-0.206	-4.277	0.407	0.674	-2.061	0.121	-3.718	-3.918	-4.085	-4.482	-4.004
"YDL062W"	-3.223	-2.714	-1.458	-1.215	-2.741	-3.056	-2.043	0.698	-2.494	-2.463	-1.977	-1.768	-1.336	-2.106	-2.509	-1.918	-1.869	-0.58	-0.541	-1.915	-0.264	0.026	-0.103	-0.356	-0.6	0.364	0.152	0.103	-0.863	0.042	-3.168	0.091	0.268	-1.2	0.608	-1.685	-1.723	-3.159	-2.908	-2.697
"YDL082W"	-1.994	-1.806	-1.479	-0.716	-2.339	-3.052	-2.521	0.863	-2.569	-3.223	-2.484	-2.853	-1.739	-3.326	-5.816	-2.537	-3.01	-1.031	-0.631	-2.915	0.068	0.063	0.218	0.34	-0.171	1.332	0.511	0.561	-0.634	0.167	-3.338	0.355	0.221	-1.87266666666667	-0.321	-2.511	-4.398	-3.698	-4.518	-3.314
"YDL191W"	-1.605	-1.918	-1.434	-0.807	-1.445	-2.102	-2.434	0.713	-2.056	-1.985	-2.367	-2.75	-2.497	-2.737	-5.192	-2.911	-2.813	-0.036	-0.608	-3.616	0.005	0.158	-0.202	0.194	-0.082	0.847	0.493	0.497	-0.894	0.052	-1.898	0.001	-0.085	-2.00766666666667	-0.2955	-2.167	-3.35	-2.399	-3.234	-2.557
"YDR025W"	-1.598	-2.141	-1.495	-1.062	-2.0	-3.031	-3.248	0.806	-2.011	-3.904	-3.548	-3.252	-2.573	-3.393	-6.697	-3.357	-3.356	-0.137	-0.896	-4.504	0.181	-0.035	0.038	0.236	-0.365	0.903	0.304	0.344	-0.426	-0.451	-3.042	0.0	-0.785	-1.149	-0.1195	-2.278	-4.772	-3.127	-3.906	-3.552
